Facility Name,Address,Phone Number,Capacity,City,Zip Code,State,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,County,Licensee,License Number,Facility ID
Taylorsville House,350 SCHOOL DRIVE,(828)635-8989,60.0,Taylorsville,28681-2340,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Alexander,"TAYLORSVILLE HOUSE, LLC",HAL-002-003,971401.0
Meadowview Terrace Of Wadesboro,123 ANSON HIGH SCHOOL ROAD,(704)994-9050,60.0,Wadesboro,28170,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Anson,"JFC MERIDIAN OPCO-WADESBORO, LLC",HAL-004-003,40187.0
Ashe Assisted Living And Memory Care,182 CHATTYROB LANE,(336)846-6200,55.0,West Jefferson,28694,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Ashe,"ASHE SERVICES FOR AGING, INC",HAL-005-013,70051.0
Forest Ridge,151 VILLAGE PARK DRIVE,(336)846-1008,60.0,West Jefferson,28694,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Ashe,"FOREST RIDGE ASSISTED LIVING , LLC",HAL-005-015,20751.0
Cranberry House,6215 N.  US 19 E HIGHWAY,(828)733-5558,60.0,Newland,28657-9447,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Avery,"WP-NEWLAND HEALTH HOLDINGS, LLC",HAL-006-007,980293.0
The Heritage Of Sugar Mountain,264 SUGAR MTN. #2 ROAD,(828)733-6249,40.0,Newland,28657-9998,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Avery,"THE HERITAGE OF SUGAR MOUNTAIN, LLC",HAL-006-005,921117.0
Autumnfield Of Belhaven,1345 SEED TICK NECK ROAD,(252)964-2490,64.0,Pinetown,27865,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Beaufort,BILLIE ALBRITTON,HAL-007-001,920053.0
Clara Manor,1218 PAMLICO STREET,(252)946-2481,20.0,Washington,27889,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Beaufort,SOVEREIGN HEALTHCARE LLC,HAL-007-014,920354.0
Pantego Rest Home,143 SWAMP ROAD,(252)944-0075,30.0,Pantego,27860,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Beaufort,"SOVEREIGN HEALTHCARE, LLC",HAL-007-015,921132.0
Washington Manor,609 WEST 2ND STREET,(252)946-1701,9.0,Washington,27889,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Beaufort,JOHN S. ASBY & KIMBERLY ANN ASBY,HAL-007-019,941309.0
Willow Manor,4288 HIGHWAY 17 SOUTH,(910)458-5635,34.0,Chocowinity,27817,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Beaufort,EAKES INVESTMENT LP,HAL-007-023,920959.0
Windsor House,336 SOUTH RHODES AVENUE,(252)794-9333,60.0,Windsor,27983-9611,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Bertie,"WP-WINDSOR HEALTH HOLDINGS, LLC",HAL-008-034,971515.0
Winston Gardens,205 WATSON STREET,(252)484-1048,25.0,Windsor,27983,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Bertie,"SOVEREIGN HEALTHCARE, LLC",HAL-008-041,921362.0
Bladen Manor Assisted Living,53 SOUTH SMITH STREET,(910)647-2421,60.0,Clarkton,28433,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Bladen,"BLADEN MANOR ASSISTED LIVING, LLC",HAL-009-029,920162.0
West Bladen Assisted Living,714 BLADEN STREET,(910)863-4500,60.0,Bladenboro,28320,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Bladen,"WEST BLADEN ASSISTED LIVING, LLC",HAL-009-025,920537.0
Coastal Pointe,5220 OCEAN HWY W,(910)713-1717,110.0,Shallotte,28470,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Brunswick,"THE BRUNSWICK COMMUNITY, LLC",HAL-010-012,150394.0
Elmcroft Of Southport,1125 E LEONARD STREET,(910)454-4001,96.0,Southport,28461,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Brunswick,"EC OPCO SOUTHPORT, LP",HAL-010-010,459.0
Leland House,1935 LINCOLN ROAD,(910)383-6235,78.0,Leland,28451-9187,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Brunswick,"LELAND HOUSE, LLC",HAL-010-007,960422.0
Ocean Isle Operations,5490 ARBOR BRANCH DRIVE,(910)754-8080,40.0,Shallotte,28470,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Brunswick,"OCEAN ISLE OPERATIONS, LLC",HAL-010-011,150390.0
Shallotte Assisted Living,520 MULBERRY STREET,(910)754-6621,80.0,Shallotte,28470,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Brunswick,"JOHNSON ADULT CARE, LLC",HAL-010-008,940164.0
The Landings Of Oak Island,2910 PINE PLANTATION PARKWAY,(910)540-2578,0.0,Oak Island,28461,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Brunswick,"BRUNSWICK OPCO HOLDINGS, LLC",HAL-010-013,150395.0
Arbor Terrace Of Asheville,3199 SWEETEN CREEK ROAD,(404)237-4026,70.0,Asheville,28803,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"ARHC ATASHNC01 TRS, LLC",HAL-011-338,970842.0
Becky'S Rest Home #1,316 LOWER BRUSH CREEK ROAD,(828)628-3395,15.0,Fletcher,28732,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"BECKY'S REST HOME #1, INC",HAL-011-002,920075.0
Becky'S Rest Home #2,316 LOWER BRUSH CREEK ROAD,(828)628-1943,15.0,Fletcher,28732,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"BECKY'S REST HOME, INC",HAL-011-003,920076.0
Brookdale Asheville Overlook,308 OVERLOOK ROAD,(828)684-1982,79.0,Asheville,28803,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"SOUTHERN ASSISTED LIVING, LLC",HAL-011-036,920036.0
Brookdale Asheville Walden Ridge,4 WALDEN RIDGE DRIVE,(828)687-0155,38.0,Asheville,28803,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",HAL-011-035,980697.0
Candler Living Center,136 ROBINSON COVE ROAD,(828)667-4453,29.0,Candler,28715,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"INTEGRITY - CANDLER LIVING CENTER, LLC",HAL-011-369,920447.0
Chase Samaritan Assisted Living,30 DALEA DRIVE,(828)298-7592,54.0,Asheville,28805,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"DAVIS & DAVIS ASSOCIATES, LLC",HAL-011-133,921153.0
Chunn'S Cove Assisted Living,67 MOUNTAIN BROOK ROAD,(828)258-8787,67.0,Asheville,28805,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"CHUNN'S COVE OF ASHEVILLE, LLC",HAL-011-262,960749.0
Flesher'S Fairview Rest Home,3016 CANE CREEK ROAD,(828)628-1066,64.0,Fairview,28730,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"FLESHER'S FAIRVIEW REST HOME, INC",HAL-011-005,920387.0
Harmony At Reynolds Mountain,41 COBBLER'S WAY,(828)575-0627,99.0,Asheville,28804,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"BUNCOMBE OPERATIONS, LLC",HAL-011-361,140015.0
Heather Glen At Ardenwoods,103 APPALACHIAN BOULEVARD,(828)687-7321,60.0,Arden,28704,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"ARDEN RETIREMENT, LLC",HAL-011-371,980995.0
Hominy Valley Retirement Center,2189 SMOKEY PARK HIGHWAY,(828)667-0158,30.0,Candler,28715,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"INTEGRITY - HOMINY VALLEY, LLC",HAL-011-370,921323.0
Marjorie Mccune Memorial Center,101 LIONS WAY,(828)669-8452,64.0,Black Mountain,28711,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,WESTERN NORTH CAROLINA LION'S INC,HAL-011-011,920722.0
"Richard A. Wood, Jr. Assisted Living Center",100 WESLEY DRIVE,(828)274-4800,56.0,Asheville,28803,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"GIVENS ESTATES, INC.",HAL-011-130,10236.0
Richmond Hill Rest Home #1,95 RICHMOND HILL ROAD,(828)252-6229,12.0,Asheville,28806,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,ASHEVILLE GERIATRIC. LLC,HAL-011-376,921006.0
Richmond Hill Rest Home #2,95 RICHMOND HILL ROAD,(828)252-6229,12.0,Asheville,28806,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"ASHEVILLE GERIATRIC, LLC",HAL-011-375,921007.0
Richmond Hill Rest Home #3,95 RICHMOND HILL ROAD,(828)252-6229,12.0,Asheville,28806,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"ASHEVILLE GERIATRIC, LLC",HAL-011-374,921008.0
Richmond Hill Rest Home #4,95 RICHMOND HILL ROAD,(828)252-6229,12.0,Asheville,28806,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"ASHEVILLE GERIATRIC, LLC",HAL-011-373,921009.0
Richmond Hill Rest Home #5,95 RICHMOND HILL ROAD,(828)252-6229,12.0,Asheville,28806,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"ASHEVILLE GERIATRIC, LLC",HAL-011-372,921010.0
Trinity View,2533 HENDERSONVILLE ROAD,(828)687-0068,24.0,Arden,28704,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,"LUTHERAN RETIREMENT CENTER AT LUTHERIDGE, INC.",HAL-011-022,920279.0
Windwood Assisted Living,6 WINDWOOD DR,(828)665-1021,12.0,Candler,28715,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Buncombe,MOUNTAIN AREA ENTERPRISES INC,HAL-011-296,921358.0
Burke Long Term Care,125 CAMELLIA GARDEN STREET,(828)433-5875,24.0,Morganton,28655,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Burke,"BURKE REST HOME, INC",HAL-012-042,920145.0
Cambridge House,114 TENTH STREET NE,(828)325-4980,60.0,Hildebran,28637,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Burke,"DEPAUL ADULT CARE COMMUNITIES, INC",HAL-012-010,971201.0
Jonas Ridge Adult Care,9051 HWY 181,(828)733-2224,57.0,Jonas Ridge,28641,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Burke,"RENCARE SOLUTIONS, INC",HAL-012-040,920610.0
Mcalpine Adult Care,3806 KATHY ROAD,(828)584-4513,60.0,Morganton,28655,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Burke,"INTEGRITY-MCALPINE ADULT CARE, LLC",HAL-012-041,940740.0
"Morganton Long Term Care, Southview Facility",151 SOUTHVIEW STREET,(828)433-5069,64.0,Morganton,28655,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Burke,"MORGANTON LONG TERM CARE, INC.",HAL-012-007,956885.0
The Berkeley,330 JUNIPER STREET,(828)433-7400,63.0,Morganton,28655,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Burke,"MORGANTON OPCO HOLDINGS, LLC",HAL-012-043,150436.0
Brookdale Concord Parkway,2452 ROCK HILL CHURCH ROAD NW,(704)782-7594,112.0,Concord,28027,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"SOUTHERN ASSISTED LIVING, LLC",HAL-013-019,960773.0
Caremoor Retirement Center,4876 CAREMOOR PLACE,(704)938-2927,30.0,Kannapolis,28081,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"CAREMOOR RETIREMENT CENTER, INC.",HAL-013-007,930169.0
Concord Place,1501 ZION CHURCH ROAD,(704)782-1100,60.0,Concord,28025,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"CONCORD BG OPCO, LLC",HAL-013-045,960405.0
Elmcroft Of Harrisburg,6200 ROBERTA ROAD,(704)455-6226,96.0,Harrisburg,28075,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"EC OPCO HARRISBURG, LP",HAL-013-048,960654.0
Morningside Of Concord,"500 PENNY LANE, NE",(704)795-1200,105.0,Concord,28025,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,SNH NC TENANT LLC,HAL-013-047,960752.0
Mt. Pleasant House,935 PAGE STREET,(704)436-2923,74.0,Mt. Pleasant,28124-9735,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"WP-MT PLEASANT HEALTH HOLDINGS, LLC",HAL-013-041,920835.0
St. Andrews Living Center,246 CABARRUS AVENUE WEST,(704)788-1018,56.0,Concord,28025,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"ST. ANDREWS LIVING CENTER, INC",HAL-013-006,921139.0
The Country Home,2908 COUNTRY HOME ROAD,(704)782-5288,40.0,Concord,28025,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,K & B ADULT CARE LLC,HAL-013-042,921184.0
The Landings Of Cabarrus,4968 MILESTONE AVENUE,(704)933-4000,67.0,Kannapolis,28081,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"CABARRUS AL HOLDINGS, LLC",HAL-013-046,140292.0
The Living Center Of Concord,160 WARREN C. COLEMAN BLVD. N,(704)793-4760,180.0,Concord,28027,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cabarrus,"MPV ENTERPRISES, LLC",HAL-013-044,920384.0
Brockford Inn,56 N. HIGHLAND AVENUE,(828)396-3111,67.0,Granite Falls,28630,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caldwell,"CAMELOT MANOR, INC",HAL-014-014,920158.0
Brookdale Lenoir,1145 POWELL ROAD NE,(828)757-7800,82.0,Lenoir,28645,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caldwell,"SOUTHERN ASSISTED LIVING, LLC",HAL-014-010,970705.0
Grace Village Assisted Living,"229 WILSON STREET, NW",(828)754-6106,60.0,Lenoir,28645,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caldwell,"GRACE VILLAGE, INC.",HAL-014-016,920552.0
Grandview Villa Assisted Living,2544 GRANDVIEW CIRCLE SW,(828)757-0136,40.0,Lenoir,28645,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caldwell,"GRANDVIEW VILLA ASSISTED LIVING, LLC",HAL-014-015,921118.0
The Shaire Center,1450 SHAIRE CENTER DRIVE,(828)728-6500,82.0,Lenoir,28645,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caldwell,"THE SHAIRE CENTER, INC. / SHAIRE TOO",HAL-014-004,921220.0
Needham Adult Care Home,916 A SANDY HOOK RD,(252)336-2700,24.0,Shiloh,27974,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Camden,"NEEDHAM FCH, INC.",HAL-015-002,80592.0
Brookdale Morehead City,107 BRYAN STREET,(252)726-4454,72.0,Morehead City,28557,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Carteret,"SOUTHERN ASSISTED LIVING, LLC",HAL-016-006,971005.0
Carteret House,3020 MARKET STREET,(252)223-2600,64.0,Newport,28570-8708,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Carteret,"NEWPORT AL HOLDINGS, LLC",HAL-016-018,945270.0
Carteret Landing,221 FRIENDLY ROAD,(252)773-0980,110.0,Morehead City,28557,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Carteret,"CARTERET LANDING, LLC",HAL-016-022,80618.0
Caswell House,535 US HIGHWAY 158 WEST,(336)694-1555,100.0,Yanceyville,27379-8305,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caswell,"WP-YANCEYVILLE HEALTH HOLDINGS, LLC",HAL-017-054,60221.0
G. Anthony Rucker Rest Home,1196 HODGES DAIRY ROAD,(336)694-5360,12.0,Yanceyville,27379,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caswell,"G. ANTHONY RUCKER REST HOME, INC",HAL-017-040,920934.0
Jefferson Care Home,111 STALEY BOSWELL ROAD,(336)524-0355,12.0,Yanceyville,27379,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Caswell,JEFFERSON CARE HOMES TRUST,HAL-017-058,920596.0
Austin Adult Care,511 BUMGARNER INDUSTRIAL DRIVE,(828)466-0300,29.0,Conover,28613,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,THE AUSTIN CORPORATION,HAL-018-023,920187.0
Brookdale Falling Creek,910 29TH AVENUE NE,(828)328-6090,60.0,Hickory,28601,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",HAL-018-011,970652.0
Brookdale Hickory Northeast,"2530 16TH STREET, N.E.",(828)324-5400,88.0,Hickory,28601,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"SOUTHERN ASSISTED LIVING, LLC",HAL-018-016,944618.0
Catawba Valley Living At Rock Barn,4174 SHOOK ROAD,(828)459-0008,80.0,Claremont,28610,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"CATAWBA VALLEY LIVING, LLC",HAL-018-024,41372.0
Elmcroft Of Newton,1088 RADIO STATION ROAD,(828)466-7474,96.0,Newton,28658,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"EC OPCO NEWTON, LP",HAL-018-036,980168.0
Heritage Care Of Conover,3430 LESTER STREET,(828)256-9868,60.0,Conover,28613,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"HERITAGE CARE OF CONOVER, LLC",HAL-018-018,920525.0
Hickory Village,427 3RD AVENUE S.E.,(828)322-2230,56.0,Hickory,28602,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"DEPAUL ADULT CARE COMMUNITIES, INC",HAL-018-015,970790.0
Piedmont Village At Newton,1345 CHAPMAN LANE,(828)464-6490,40.0,Newton,28658,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,P & C ADULT CARE LLC,HAL-018-037,940186.0
Springs Of Catawba,"2010 29TH AVENUE DRIVE, NE",(828)326-7200,66.0,Hickory,28601-7517,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"HICKORY HEALTH INVESTORS, LLC",HAL-018-032,960659.0
The Alberta House,807 4TH ST. SW,(828)464-3715,21.0,Conover,28613,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Catawba,"CHOPAH, INC.",HAL-018-030,920267.0
Cambridge Hills Of Pittsboro,140 BROOKSTONE LANE,(919)545-9573,90.0,Pittsboro,27312,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chatham,"REME, LLC",HAL-019-019,990292.0
Carolina Meadows Fairways,700  A CAROLINA MEADOWS,(919)942-4014,95.0,Chapel Hill,27517,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chatham,"CAROLINA MEADOWS, INC",HAL-019-020,60596.0
Chatham Ridge Assisted Living,114 POLKS VILLAGE LANE,(919)918-7872,91.0,Chapel Hill,27517,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chatham,"CHATHAM RIDGE ASSISTED LIVING, LLC",HAL-019-021,110283.0
Coventry House Of Siler City,260 VILLAGE LAKE ROAD,(919)742-4052,86.0,Siler City,27344,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chatham,"SILER CITY OPCO, LLC",HAL-019-022,30840.0
Pittsboro Christian Village,1825 EAST STREET,(919)542-3151,40.0,Pittsboro,27312,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chatham,"PITTSBORO CHRISTIAN VILLAGE, INC.",HAL-019-006,920950.0
Carolina Care Home #1,4021 PISGAH ROAD,(828)321-4272,12.0,Andrews,28901,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cherokee,"CAROLINA CARE HOMES, INC",HAL-020-001,920175.0
Carolina Care Home #2,4025 PISGAH ROAD,(828)321-4272,12.0,Andrews,28901,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cherokee,"CAROLINA CARE HOMES, INC",HAL-020-002,920176.0
Edenton House,323 MEDICAL ARTS DRIVE,(252)482-1113,60.0,Edenton,27932-8608,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chowan,"WP-EDENTON HEALTH HOLDINGS, LLC",HAL-021-009,971527.0
Edenton Prime Time Retirement Village,106 MARK DRIVE,(252)482-4491,60.0,Edenton,27932,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Chowan,EDENTON RETIREMENT COMMUNITY LLC,HAL-021-008,920345.0
Hayesville House,480 OLD 64 WEST,(828)389-8700,60.0,Hayesville,28904-7268,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Clay,"WP-HAYESVILLE HEALTH HOLDINGS, LLC",HAL-022-005,60220.0
Brookdale Shelby,1425 E. MARION STREET,(704)481-0150,60.0,Shelby,28150,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",HAL-023-011,970653.0
Cleveland House,950 HARDIN DRIVE,(704)480-9800,72.0,Shelby,28150-3500,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,"SHELBY HOUSE, LLC",HAL-023-045,920681.0
Elmcroft Of Shelby,1550 CHARLES ROAD,(704)471-2828,96.0,Shelby,28152,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,"EC OPCO SHELBY, LP",HAL-023-048,980167.0
Golden Years Rest Home,630 SUGAR HILL ROAD,(704)538-8855,12.0,Lawndale,28090,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,GOLDEN YEARS REST HOME INC,HAL-023-041,920442.0
Kings Mountain Care Center,115 FERGUSON DRIVE,(704)739-5929,20.0,Kings Mountain,28086,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,"KINGS MOUNTAIN CARE CENTER, INC",HAL-023-031,920631.0
Openview Retirement Center,112 PONY BARN ROAD,(704)538-8026,24.0,Lawndale,28090,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,S & V ADULT CARE LLC,HAL-023-047,940880.0
Shelby Manor,1176 WYKE ROAD,(704)482-0000,74.0,Shelby,28150,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,"SHELBY OPCO, LLC",HAL-023-046,921104.0
Summit Place Of Kings Mountain,1001 PHIFER ROAD,(704)739-6772,65.0,Kings Mountain,28086,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cleveland,SNH SE KINGS MTN TENANT LLC,HAL-023-042,980109.0
Tabor Commons,703 ELIZABETH ST.,(910)653-4055,80.0,Tabor City,28463,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Columbus,"RENCARE SOLUTIONS, INC",HAL-024-015,920244.0
Brookdale New Bern,1336 SOUTH GLENBURNIE ROAD,(252)638-6660,60.0,New Bern,28562,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",HAL-025-012,970888.0
Croatan Village,4522 OLD CHERRY POINT ROAD,(252)634-9066,72.0,New Bern,28560,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,"PREMIER OPERATING CROATAN, LLC",HAL-025-037,971021.0
Good Shepherd Home For The Aged,603 WEST STREET,(252)636-2722,54.0,New Bern,28560,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,"SOVEREIGN HEALTHCARE, LLC",HAL-025-023,920445.0
Homeplace Of New Bern,1309 MCCARTHY BLVD.,(252)637-7133,60.0,New Bern,28562,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,SNH NC TENANT LLC,HAL-025-039,970675.0
Riverstone,104 EFIRD BOULEVARD,(252)633-3455,64.0,New Bern,28562,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,"RIVERSTONE HEALTH MANAGEMENT, INC.",HAL-025-026,920215.0
The Gardens Of Trent,2915 BRUNSWICK AVENUE,(252)638-4680,60.0,New Bern,28562-2601,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,"WP-NEW BERN HEALTH HOLDINGS, LLC",HAL-025-035,970158.0
The Oaks Of New Bern,3407 OAKS ROAD,(336)643-0555,83.0,New Bern,28560,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,"PIERCE PROPERTIES #1, LLC",HAL-025-042,920850.0
"Truewood By Merrill, New Bern",2701 AMHURST BOULEVARD,(252)297-1758,55.0,New Bern,28562,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,MERRILL GARDENS L.L.C,HAL-025-041,950090.0
"Truewood By Merrill, New Bern Memory Care",2701 AMHURST BOULEVARD,(252)297-1758,25.0,New Bern,28562,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Craven,MERRILL GARDENS L.L.C.,HAL-025-040,970789.0
Arc Of Hope Mills,4124 PECAN DR,(910)425-6530,29.0,Hope Mills,28348,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"A1A - ARC OF HOPE MILLS, LLC",HAL-026-067,920499.0
Carolina Inn At Village Green,400 FORSYTHE STREET,(910)829-0100,100.0,Fayetteville,28303,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"THE CAROLINA INN AT VILLAGE GREEN, LLC",HAL-026-017,960985.0
