XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
Craven,Good Shepherd Home for the Aged,54,"Sovereign Healthcare, LLC",603 West Street,New Bern,NC,28560,P O Box 724,,Washington,NC,27889,(252)636-2722,(252)946-9334,HAL-025-023,920445,Active,0
Craven,Homeplace of New Bern,60,SNH NC Tenant LLC,1309 McCarthy Blvd.,New Bern,NC,28562,400 Centre Street,,Newton,MA,2458,(252)637-7133,(252)637-7332,HAL-025-039,970675,Ownership Changed,4
Craven,Riverstone,64,"Riverstone Health Management, Inc.",104 Efird Boulevard,New Bern,NC,28562,P. O. Box 12383,,New Bern,NC,28562,(252)633-3455,(252)633-3898,HAL-025-026,920215,Active,2
Craven,The Gardens of Trent,60,"WP-New Bern Health Holdings, LLC",2915 Brunswick Avenue,New Bern,NC,28562-2601,PO Box 26255,,Winston Salem,NC,27114,(252)638-4680,(252)577-0369,HAL-025-035,970158,Active,3
Craven,The Oaks of New Bern,83,"Pierce Properties #1, LLC",3407 Oaks Road,New Bern,NC,28560,8006 Linville Rd.,,Oak Ridge,NC,27310,(336)643-0555,(336)643-0553,HAL-025-042,920850,Ownership Changed,0
Craven,"Truewood by Merrill, New Bern",55,Merrill Gardens L.L.C,2701 Amhurst Boulevard,New Bern,NC,28562,"1938 Fairview Avenue E., #300",,Seattle,WA,98102,(252)297-1758,(252)634-9336,HAL-025-041,950090,Ownership Changed,2
Craven,"Truewood by Merrill, New Bern Memory Care",25,Merrill Gardens L.L.C.,2701 Amhurst Boulevard,New Bern,NC,28562,"1938 Fairview Avenue E., #300",,Seattle,WA,98102,(252)297-1758,(252)634-9336,HAL-025-040,970789,Ownership Changed,3
Cumberland,Arc of Hope Mills,29,"A1A - Arc of Hope Mills, LLC",4124 Pecan Dr,Hope Mills,NC,28348,10752 Deerwood Park Blvd,Ste 100,Jacksonville,FL,32256,(910)425-6530,(910)425-4537,HAL-026-067,920499,Ownership Changed,2
Cumberland,Carolina Inn at Village Green,100,"The Carolina Inn at Village Green, LLC",400 Forsythe Street,Fayetteville,NC,28303,400 Forsythe Street,,Fayetteville,NC,28303,(910)829-0100,(910)829-7100,HAL-026-017,960985,Active,4
Cumberland,Cumberland Village Assisted Living,163,"Cumberland Village Assisted Living, LLC",1124 Cedar Creek Road,Fayetteville,NC,28312,1124 Cedar Creek Road,,Fayetteville,NC,28312,(910)323-8212,(910)485-0890,HAL-026-062,920670,Active,3
Cumberland,Fayetteville Manor,60,"Fayetteville Manor, LLC",231 Treetop Drive,Fayetteville,NC,28311-0600,231 Treetop Drive,,Fayetteville,NC,28311-0600,(910)488-4821,(910)488-5069,HAL-026-054,951078,Active,1
Cumberland,Harmony at Hope Mills,100,"Cumberland Operations, LLC",7051 Rockfish Road,Fayetteville,NC,28306,7051 Rockfish Road,,Fayetteville,NC,28306,(910)635-0555,(910)500-9701,HAL-026-065,160155,Active,1
Cumberland,Heritage Suites,62,"Cool Springs Senior Care, LLC",240 Ann Street,Fayetteville,NC,28301-5543,1000 Legion Place,Suite 1600,Orlando,FL,32801,(910)323-4925,(910)678-8673,HAL-026-064,990115,Active,3
Cumberland,Hope Mills Retirement Center,64,"Hope Mills Retirement Center, Inc",4217 Elk Road,Hope Mills,NC,28348,4217 Elk Road,,Hope Mills,NC,28348,(910)425-6306,(910)425-6799,HAL-026-008,920570,Active,3
Cumberland,Morning Star Special Care Unit,44,J&S Care Inc.,3017 Dunn Road,Fayetteville,NC,28312,1314 School Rd,,Fairmont,NC,28340,(910)822-5552,(910)521-3266,HAL-026-066,923426,Ownership Changed,1
Cumberland,Pine Valley Adult Care Home,40,"Pine Valley Care, Inc.",3522 Camden Road,Fayetteville,NC,28306,P O Box 35534,,Fayetteville,NC,28303,(910)425-8954,(910)425-4932,HAL-026-048,920393,Active,0
Cumberland,The Addison of Fayetteville,96,"GA HC Reit II Fayetteville Alf TRS Sub, LLC",1164 71st School Rd,Fayetteville,NC,28314,"303 E. Wacker Dr.,",Suite 2400,Chicago,IL,60601,(910)764-2020,(910)764-2022,HAL-026-068,80399,Ownership Changed,3
Cumberland,Valley Pines Adult Care,23,"Valley Pines Adult Care, LLC",2521 Muriel Drive,Fayetteville,NC,28306,PO Box 35534,,Fayetteville,NC,28303,(910)484-4429,(910)484-7124,HAL-026-052,920549,Active,3
Currituck,Currituck House,90,"CHI Holdings, LLC",141 Moyock Landing Drive,Moyock,NC,27958-9080,P.O. Box 26255,,Winston Salem,NC,27114,(252)435-1024,(252)435-1045,HAL-027-003,80097,Active,2
Dare,Spring Arbor of the Outer Banks,102,"Spring Arbor of Nags Head, L.P.",803 Bermuda Bay Blvd,Kill Devil Hills,NC,27948,803 Bermuda Bay Blvd,,Kill Devil Hills,NC,27948,(252)449-4455,(252)441-0705,HAL-028-001,970709,Active,1
Davidson,Brookdale Lexington,76,"Southern Assisted Living, LLC",161 Young Drive,Lexington,NC,27292,161 Young Drive,,Lexington,NC,27292,(336)238-1700,(336)224-1448,HAL-029-006,970192,Active,3
Davidson,Brookstone Retirement Center,115,"Brookstone Rest Home & Retirement Center, Inc.",2968 Old Salisbury Road,Lexington,NC,27295,2968 Old Salisbury Road,,Lexington,NC,27295,(336)243-2500,(336)243-2910,HAL-029-001,940136,Active,3
Davidson,Grayson Creek of Welcome,75,"Landmark Assisted Living, LLC",6781 Old US HWY 52,Lexington,NC,27295,2959 Sowers Road,,Linwood,NC,27299,(336)619-4036,(336)619-4249,HAL-029-010,90508,Active,0
Davidson,Hilltop Living Center,65,"Plemmons Enterprises, Inc",212 Plemmons Drive,Linwood,NC,27299,212 Plemmons Drive,,Linwood,NC,27299,(336)853-8113,(336)853-8105,HAL-029-002,920551,Active,3
Davidson,Mallard Ridge Assisted Living,100,"Mallard Ridge, LLC",9420 N NC Highway 150,Clemmons,NC,27012,853 Old Winston Rd,Suite 118,Kernersville,NC,27284,(336)775-2205,(336)775-2207,HAL-029-007,980506,Active,3
Davidson,Spring Arbor of Thomasville,62,The Oaks Of Thomasville II LP,915 West Cooksey Drive,Thomasville,NC,27360,915 West Cooksey Drive,,Thomasville,NC,27360,(336)472-7171,(336)472-8270,HAL-029-004,921210,Active,2
Davie,Mocksville Senior Living and Memory Care,69,"Mocksville Opco, LLC",337 Hospital Street,Mocksville,NC,27028,PO Box 26255,,Winston Salem,NC,27114,(336)751-2175,(336)751-2273,HAL-030-009,920863,Active,0
Davie,PS Senior Living of Mocksville,40,"PS Senior Living of Mocksville, LLC",191 Crestview Drive,Mocksville,NC,27028,PO Box 1189,,Oxford,NC,27565,(336)751-1515,(336)751-1621,HAL-030-010,940294,Ownership Changed,0
Davie,Somerset Court of Mocksville,60,"JFC Meridian Opco-Mocksville, LLC",150 Ken Dwiggins Drive,Mocksville,NC,27028,P O Box 26255,,Winston Salem,NC,27114,(336)751-1209,(336)751-0601,HAL-030-008,990698,Active,3
Duplin,Autumn Village,88,"WP-Beulaville Health Holdings, LLC",235 North NC 41,Beulaville,NC,28518-8633,P O Box 26255,,Winston-Salem,NC,27114,(910)298-5877,(910)298-5797,HAL-031-018,920050,Active,2
Duplin,DaySpring of Wallace,80,DePaul Adult Care Communities Inc,4026 S NC 11,Wallace,NC,28466,4026 S NC 11,,Wallace,NC,28466,(910)285-9050,(910)286-6660,HAL-031-017,970835,Active,4
Duplin,Golden Care,30,"Five Star Investments, Inc.",4002 South NC 41,Wallace,NC,28466,4002 South NC 41,,Wallace,NC,28466,(910)285-5352,(910)285-5352,HAL-031-003,920438,Active,0
Duplin,The Gardens of Rose Hill,45,"Rosehill Opco, LLC",571 S. Sycamore Street,Rose Hill,NC,28458,P O Box 26255,,WINSTON SALEM,NC,27114,(910)289-2435,(910)289-2450,HAL-031-019,945023,Active,3
Duplin,Wallace Gardens,64,"Wallace Gardens, Inc.",1052 NE Railroad Street,Wallace,NC,28466,PO Box 566,,Wallace,NC,28466,(910)285-7881,(910)285-3525,HAL-031-016,970130,Active,4
Duplin,Wellington Park,80,"Wellington Park, Inc.",329 Cooper Street,Kenansville,NC,28349,2135 South Scales Street,,Reidsville,NC,27320,(910)296-0333,(910)296-6101,HAL-031-020,921357,Active,0
Durham,Atria Southpoint Walk,20,"WG Durham, LP",5705 Fayetteville Rd,Durham,NC,27713,300 East Market Street Suite 100,Attn: Legal Dept.,Louisville,KY,40202,(919)401-0100,(919)544-8402,HAL-032-131,70323,Active,4
Durham,Brookdale Chapel Hill,38,"Brookdale Senior Living Community, Inc.",2230 Farmington Drive,Chapel Hill,NC,27517,2230 Farmington Drive,,Chapel Hill,NC,27517,(919)929-5850,(919)493-3672,HAL-032-019,970542,Active,3
Durham,Brookdale Chapel Hill AL (NC),70,"Brookdale Senior Living Communities, Inc.",2220 Farmington Drive,Chapel Hill,NC,27517,2220 Farmington Drive,,Chapel Hill,NC,27517,(919)933-1430,(919)933-1543,HAL-032-016,970049,Active,3
Durham,Brookdale Durham,119,"Southern Assisted Living, LLC",4434 Ben Franklin Boulevard,Durham,NC,27704,4434 Ben Franklin Boulevard,,Durham,NC,27704,(919)479-9966,(919)479-9977,HAL-032-065,970590,Active,3
Durham,Calyx Living of Durham,84,"Carillon Assisted Living, LLC",4214 Guess Road,Durham,NC,27712,4901 Waters Edge Drive,Suite 200,Raleigh,NC,27606,(919)471-0091,(919)471-0092,HAL-032-134,180020,New,0
Durham,Camellia Gardens,81,"KC Care Management, Inc",5010 S. Alston Avenue,Durham,NC,27713,5010 S. Alston Avenue,,Durham,NC,27713,(919)544-0257,(919)544-3943,HAL-032-071,944745,Active,3
Durham,Carolina Reserve of Durham,60,"RSS/Durham Operations, LLC",4523 Hope Valley Road,Durham,NC,27707,"5430 Wade Park Blvd, Suite 402",,Raleigh,NC,27607,(919)403-0055,(   )   -,HAL-032-132,956359,Active,3
Durham,Croasdaile Village,64,United Methodist Retirement Homes Inc,2600 Croasdaile Farm Parkway,Durham,NC,27705,2600 Croasdaile Farm Parkway,,Durham,NC,27705,(919)384-2000,(919)384-2181,HAL-032-020,990906,Active,4
Durham,Durham Ridge Assisted Living,142,"Durham Ridge Assisted Living, LLC",3420 Wake Forrest Hwy,Durham,NC,27703,3420 Wake Forrest Hwy,,Durham,NC,27703,(919)596-9464,(919)957-8915,HAL-032-091,920869,Active,0
Durham,Eden Spring Living Center,19,"Eden Spring Living Center, Inc",3812 Booker Street,Durham,NC,27713,P O Box 15927,,Durham,NC,27704,(919)544-0874,(919)544-0802,HAL-032-073,920577,Active,3
Durham,Eno Pointe Assisted Living,147,"Durham Rest Home, Inc.",5600 N. Roxboro Road,Durham,NC,27712,PO Box 71779,,Durham,NC,27722,(919)471-6306,(919)471-0554,HAL-032-001,920333,Active,3
Durham,Seasons @ Southpoint,51,"SNH SE Tenant TRS, Inc.",1002 East Highway 54,Durham,NC,27713,"ATTN: Licensing, 400 Centre St",,Newton,MA,2458,(919)484-8518,(919)484-8520,HAL-032-109,960836,Active,3
Durham,The Addison of Durham,96,"GA HC Reit II Durham Alf TRS Sub, LLC",4713 Garrett Road,Durham,NC,27707,303 E. Wacker Dr.,Suite 2400,Chicago,IL,60601,(919)401-1101,(919)401-1102,HAL-032-133,100294,Ownership Changed,3
Edgecombe,Heritage Care of Rocky Mount,126,"Heritage of Rocky Mount, LLC",1650 Cokey Road,Rocky Mount,NC,27801,1650 Cokey Road,,Rocky Mount,NC,27801-6925,(252)977-6199,(252)977-6510,HAL-033-005,920534,Active,1
Edgecombe,Tarboro Senior Living,130,"Tarboro Opco, LLC",3210 Western Boulevard,Tarboro,NC,27886,PO Box 26255,,Winston Salem,NC,27114,(252)823-8546,(252)823-3878,HAL-033-006,920129,Ownership Changed,0
Forsyth,Brighton Gardens of Winston-Salem,115,"Prime Care One, LLC",2601 Reynolda Road,Winston-Salem,NC,27106,2601 Reynolda Rd,,Winston-Salem,NC,27106,(336)722-2224,(336)722-7212,HAL-034-026,970699,Active,3
Forsyth,Brookdale Reynolda Road,72,"Southern Assisted Living, LLC",2980 Reynolda Road,Winston-Salem,NC,27106,2980 Reynolda Road,,Winston-Salem,NC,27106,(336)722-1617,(336)722-1660,HAL-034-035,960455,Active,3
Forsyth,Brookdale Winston-Salem,38,"Brookdale Senior Living Communities, Inc",275 South Peace Haven Road,Winston-Salem,NC,27104,275 South Peace Haven Road,,Winston-Salem,NC,27104,(336)659-7797,(336)659-6474,HAL-034-027,971374,Active,4
Forsyth,Brookstone of Clemmons,40,"Brookstone of Clemmons, LLC",4430 Clinard Road,Clemmons,NC,27012,PO Box 1682,,Clemmons,NC,27012,(336)766-5000,(336)766-5020,HAL-034-102,970694,Active,3
Forsyth,C.R.T. - Golden Lamb Rest Home,40,"C.R.T. - Golden Lamb Rest Home, Inc",1515 Golden Lamb Court,Winston-Salem,NC,27105,1515 Golden Lamb Court,,Winston-Salem,NC,27105,(336)727-9119,(336)727-1128,HAL-034-019,955729,Active,3
Forsyth,Cadence at Clemmons,96,"GAHC3 Clemmons NC TRS Sub, LLC",1165 S. Peace Haven Road,Clemmons,NC,27012,8501 N. Scottsdale Rd.,Suite 255,Scottsdale,AZ,85253,(336)766-6220,(336)766-7613,HAL-034-106,120137,Active,3
Forsyth,Clemmons Village I,60,"Clemmons Village I, LLC",6401 Holder Road,Clemmons,NC,27012,6401 Holder Road,,Clemmons,NC,27012,(336)766-2990,(336)766-6240,HAL-034-090,960006,Active,3
Forsyth,Clemmons Village II,66,"Clemmons Assisted Living, LLC",6441 Holder Road,Clemmons,NC,27012,6441 Holder Road,,Clemmons,NC,27012,(336)778-8548,(336)778-8875,HAL-034-062,970639,Active,4
Forsyth,Creekside Manor,60,"Creekside Manor of Forsyth, LLC",6206 Reidsville Road,Kernersville,NC,27284,6206 Reidsville Road,,Kernersville,NC,27284,(336)595-9889,(336)595-9395,HAL-034-060,941250,Active,4
Forsyth,Danby House,100,"Danby House, LLC",3150 Burke Mill Road,Winston-Salem,NC,27103-6431,P.O. Box 26255,,Winston Salem,NC,27114,(336)768-5656,(336)837-1235,HAL-034-093,980709,Active,0
Forsyth,Forest Heights Senior Living Community,125,"Five Star Quality Care-OBX Operator, LLC",2500 Polo Ridge Court,Winston-Salem,NC,27106-3950,400 Centre St,,Newton,MA,2458,(336)722-7118,(336)722-9785,HAL-034-087,970731,Active,4
Forsyth,Homestead Hills Assisted Living,66,Homestead Hills Retirement Limited Partnership,2101 Homestead Hills Drive,Winston-Salem,NC,27103,2101 Homestead Hills Drive,,Winston-Salem,NC,27103,(336)659-0708,(336)659-8506,HAL-034-023,930565,Active,3
Forsyth,Kerner Ridge Assisted Living,66,"Kerner Ridge Assisted Living, LLC",250 Hopkins Road,Kernersville,NC,27284,853 Old Winston Road,Suite 118,Kernersville,NC,27284,(336)993-1881,(336)993-2592,HAL-034-058,990384,Active,4
Forsyth,Magnolia Creek Assisted Living,117,"WP-Winston Salem Health Holdings, LLC",2560 Willard Road,Winston-Salem,NC,27107-5543,P.O. Box 26255,,Winston Salem,NC,27114,(336)650-0699,(336)650-0132,HAL-034-097,944516,Active,4
Forsyth,Memory Care of the Triad,42,"The Bradford Village of Kernersville, East, LLC",413 North Main Street,Kernersville,NC,27284,413 North Main Street,,Kernersville,NC,27284,(336)993-4696,(336)993-0957,HAL-034-068,920116,Active,3
Forsyth,Salem Terrace,142,"BHM Salem Terrace, LLC",2609 Old Salisbury Road,Winston-Salem,NC,27127,3540 Clemmons Rd,,Clemmons,NC,27012,(336)785-1935,(336)785-2735,HAL-034-098,920768,Active,3
Forsyth,Salemtowne,46,"The Moravian Home, Inc.",2000 Salemtowne,Winston Salem,NC,27106,1000 Salemtowne Drive,,Winston Salem,NC,27106,(336)767-8130,(336)767-4090,HAL-034-103,923440,Active,3
Forsyth,Shuler Health Care/Crane Villa,12,"Star Care Network, Inc",250 Pitt Street,Kernersville,NC,27284,PO Box 548,,Kernersville,NC,27285,(336)996-0772,(336)996-6225,HAL-034-111,921086,Ownership Changed,3
Forsyth,Shuler Health Care/Phillips Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27284,PO Box 548,,Kernersville,NC,27284,(336)996-0772,(336)996-6225,HAL-034-110,921085,Ownership Changed,4
Forsyth,Shuler Health Care/Pierce Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27285,PO Box 548,,Kernersville,NC,27285,(336)996-0772,(336)996-6225,HAL-034-109,921087,Ownership Changed,4
Forsyth,Shuler Health Care/Record Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27284,P O Box 548,,Kernersville,NC,27285,(336)996-0772,(336)996-6225,HAL-034-108,921088,Ownership Changed,3
Forsyth,Shuler Health Care/Storey Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27285,P O Box 548,,Kernersville,NC,27285,(336)996-0772,(336)996-6225,HAL-034-107,921089,Ownership Changed,3
Forsyth,Somerset Court at University Place,60,"JFC Meridian Opco-Winston-Salem, LLC",1635 East 5th Street,Winston Salem,NC,27101,PO Box 26255,,Winston Salem,NC,27114,(336)722-7119,(336)837-0212,HAL-034-100,991125,Active,3
Forsyth,Southfork,78,DePaul Adult Care Communities Inc,1345 Jonestown Road,Winston-Salem,NC,27103,1345 Jonestown Road,,Winston-Salem,NC,27103,(336)768-8828,(336)768-0607,HAL-034-028,960775,Active,3
Forsyth,The Bradford Village of Kernersville - West,62,"The Bradford Village of Kernersville - West, LLC",602 Piney Grove Road,Kernersville,NC,27284,602 Piney Grove Road,,Kernersville,NC,27284,(336)993-8711,(336)993-8499,HAL-034-069,920117,Active,0
Forsyth,The Ivy at Clemmons,70,The Ivy at Clemmons LLC,6010 Meadowbrook Mall Court,Clemmons,NC,27012-9266,6010 Meadowbrook Mall Court,,Clemmons,NC,27012-9266,(336)766-8050,(336)766-8054,HAL-034-105,920769,Active,0
Forsyth,Tranquility Care,60,"Tranquility Care of Winston-Salem, LLC",5100 Lansing Drive,Winston-Salem,NC,27105,3013 Spillman Frye Lane,,East Bend,NC,27018,(336)744-8270,(336)774-8269,HAL-034-104,920396,Active,3
Forsyth,Trinity Elms,104,"LSA Elms At Tanglewood, Inc",3750 Harper Road,Clemmons,NC,27012,3750 Harper Rd,,Clemmons,NC,27012,(336)766-2131,(336)766-2160,HAL-034-085,971182,Active,4
Forsyth,Verra Spring at Heritage Woods,29,"KRC Woods, LP",3812 Forrestgate Drive,Winston-Salem,NC,27103,5790 Fleet St,Suite 300,Carlsbad,CA,92008,(336)768-2011,(336)760-4258,HAL-034-003,920535,Active,3
Forsyth,Vienna Village,90,"Vienna Village, Inc",6601 Yadkinville Road,Pfafftown,NC,27040,6601 Yadkinville Road,,Pfafftown,NC,27040,(336)945-5410,(336)945-6488,HAL-034-016,921290,Active,4
Franklin,Franklin Manor Assisted Living Center,54,"Franklin Operations, LLC",100 Sunset Drive,Youngsville,NC,27596,23700 Commerce Park,,Beachwood,OH,44122,(919)562-5550,(919)562-5505,HAL-035-024,110290,Active,2
Franklin,Liberty Commons Assisted Living of Franklin County,60,"Liberty Healthcare Group, LLC",114 Smoketree Way,Louisburg,NC,27549,P.O. Box 489,,Louisburg,NC,27549,(919)496-6084,(919)496-5458,HAL-035-032,920691,Ownership Changed,3
Franklin,"Southern Living for Seniors of Louisburg, NC",60,"Southern Living for Seniors of Louisburg NC, LLC",361 Leonard Road,Louisburg,NC,27549,302 WI Parkway,,Dallas,GA,30132,(919)497-0144,(919)497-0146,HAL-035-031,920147,Active,0
Gaston,Brookdale New Hope,86,"Southern Assisted Living, LLC",1680 South New Hope Road,Gastonia,NC,28054,1680 South New Hope Road,,Gastonia,NC,28054,(704)864-0801,(704)866-9848,HAL-036-013,970656,Active,3
Gaston,Brookdale Robinwood,89,"Southern Assisted Living, LLC",1750 Robinwood Road,Gastonia,NC,28054,1750 Robinwood Road,,Gastoina,NC,28054,(704)864-2480,(704)864-4448,HAL-036-015,961020,Active,3
Gaston,Brookdale Union,78,"Southern Assisted Living, LLC",1717 Union Road,Gastonia,NC,28054,1717 Union Road,,Gastonia,NC,28054,(704)864-9440,(704)864-1935,HAL-036-012,955352,Active,3
Gaston,Country Time Inn,59,"Country Time Inn, LLC",602 Brevard Road,Kings Mountain,NC,28086-8692,P.O. Box 26255,,Winston Salem,NC,27114,(704)739-2760,(704)739-4775,HAL-036-018,940276,Active,4
Gaston,Elmcroft of Cramerton,128,"EC Opco Cramerton, LP",500 Cramer Mountain Road,Cramerton,NC,28032,"5885 Meadows Rd., Suite 500",,Lake Oswego,OR,97035,(704)823-0500,(704)823-0504,HAL-036-039,980170,Ownership Changed,3
Gaston,Heritage Oaks Assisted Living,86,"Gaston Area Lutheran Foundation, INC.",916 S. Marietta Street,Gastonia,NC,28054,P O Box 1965,,Gastonia,NC,28053,(704)864-3249,(704)854-3397,HAL-036-036,921119,Active,3
Gaston,Heritage Oaks Assisted Living,86,"Gaston Area Lutheran Foundation, INC.",916 S. Marietta Street,Gastonia,NC,28054,P O Box 1965,,Gastonia,NC,28053,(704)864-3249,(704)854-3397,HAL-036-036,921119,Active,3
Gaston,Morningside of Gastonia,105,SNH NC Tenant LLC,2755 Union Road,Gastonia,NC,28054,"ATTN: Licensing, 400 Centre St",,Newton,MA,2458,(704)810-0111,(704)810-9586,HAL-036-037,970732,Active,3
Gaston,Rosewood Assisted Living,48,"Lancaster Health Care, Inc.","721 Dr. Martin Luther King, Jr. Way",Gastonia,NC,28052,PO Box 964,,Troutman,NC,28166,(704)865-2238,(704)864-7626,HAL-036-004,921042,Active,3
Gaston,Somerset Court of Cherryville,60,"JFC Meridian Opco-Cherryville, LLC",401 West Academy Street,Cherryville,NC,28021,P O Box 26255,,Winston Salem,NC,27114,(704)445-1554,(704)445-1501,HAL-036-034,971259,Active,4
Gaston,Terrace Ridge Assisted Living,74,"Terrace Ridge Assisted Living, Inc",1251 E Hudson Blvd,Gastonia,NC,28054-6102,PO Box 1678,,Clemmons,NC,27012,(704)865-5556,(704)865-5560,HAL-036-023,971399,Active,4
Gaston,Wellington House,48,"WP-Gastonia Health Holdings, LLC",850 Majestic Court,Gastonia,NC,28054-5131,P.O. Box 26255,,Winston-Salem,NC,27114,(704)864-7739,(704)685-9203,HAL-036-031,920427,Active,1
Gaston,Woodlawn Haven,80,Everett Yates Springs,301 Craig Street,Mt. Holly,NC,28120,301 Craig Street,,Mt. Holly,NC,28120,(704)827-1573,(704)827-5705,HAL-036-006,931371,Active,0
Gates,Gates House,70,"Gates House, LLC",11 Commerce Drive,Gatesville,NC,27938,P.O. Box 26255,,Winston Salem,NC,27114,(252)357-1379,(252)357-1588,HAL-037-001,110136,Active,0
Granville,Granville House,60,"Granville Opco, LLC",200 Coventry Drive,Oxford,NC,27565,PO Box 130,,Sanford,NC,27331,(919)603-5576,(919)692-0114,HAL-039-016,971402,Active,3
Granville,Heritage Meadows Long Term Care,80,"North Carolina Community Homes, LLC",6659 Private School Road,Oxford,NC,27565,4610 Fairvista Drive,,Charlotte,NC,28629,(919)690-1299,(919)690-1297,HAL-039-015,940532,Active,3
Granville,Toney Rest Home,60,"PS Senior Living, LLC",904 Raleigh Street,Oxford,NC,27565,P.O. Box 1189,,Oxford,NC,27565,(919)693-2123,(919)690-0984,HAL-039-017,920336,Ownership Changed,3
Granville,Tre' More Manor ALF,31,Crescent Green Inc.,6016 Pine Town Road,Oxford,NC,27565,1085 Silverleaf Dr.,,Youngsville,NC,27596,(919)693-2984,(919)603-0287,HAL-039-018,955531,Ownership Changed,3
Greene,Snow Hill Assisted Living,40,"Greene Opco, LLC",1328 S. E. Second Street,Snow Hill,NC,28580,P.O. Box 26255,,Winston Salem,NC,27114,(252)747-8100,(252)332-2290,HAL-040-009,960866,Ownership Changed,3
Guilford,Abbotswood at Irving Park Assisted Living,28,KRC Greensboro LP,3506 Flint Street,Greensboro,NC,27405,5790 Fleet Street Ste 300,,Carlsbad,CA,92008,(336)282-8870,(336)282-9148,HAL-041-060,980538,Active,4
Guilford,Alpha Concord of Greensboro,64,"Alpha Concord of Greensboro, LLC",3301 Gar Place,Greensboro,NC,27406,P O Box 41153,,Raleigh,NC,27629,(919)819-3882,(347)521-2471,HAL-041-082,920473,Active,0
Guilford,Brighton Gardens of Greensboro,125,"HCP Greensboro NC OpCo, LLC",1208 New Garden Road,Greensboro,NC,27410,1208 New Garden Rd,,Greensboro,NC,27410,(336)297-4700,(336)297-1244,HAL-041-084,970066,Ownership Changed,2
Guilford,Brookdale High Point,82,"Southern Assisted Living, LLC",201 West Hartley Drive,High Point,NC,27265,201 West Hartley Drive,,High Point,NC,27265,(336)885-8600,(336)885-5817,HAL-041-030,944614,Active,3
Guilford,Brookdale High Point North,65,"Southern Assisted Living, LLC",1564 Skeet Club Road,High Point,NC,27265,1564 Skeet Club Road,,High Point,NC,27265,(336)869-4188,(336)869-7276,HAL-041-033,980269,Active,3
Guilford,Brookdale High Point North AL (NC),102,"Southern Assisted Living, LLC",1568 Skeet Club Road,High Point,NC,27265,1568 Skeet Club Road,,High Point,NC,27265,(336)869-0026,(336)869-0062,HAL-041-039,980795,Active,3
Guilford,Brookdale Lawndale Park,118,Southern Assisted Living LLC,4400 Lawndale Drive,Greensboro,NC,27455,4400 Lawndale Drive,,Greensboro,NC,27455,(336)286-3432,(336)286-3005,HAL-041-062,970613,Active,3
Guilford,Brookdale Northwest Greensboro,81,"Southern Assisted Living, LLC",5809 Old Oak Ridge Road,Greensboro,NC,27410,5809 Old Oak Ridge Road,,Greensboro,NC,27410,(336)297-9900,(336)856-1060,HAL-041-031,970040,Active,3
Guilford,Brookdale Skeet Club,79,"Southern Assisted Living, LLC",1560 Skeet Club Road,High Point,NC,27265,1560 Skeet Club Rd,,High Point,NC,27265,(336)869-0301,(336)869-0252,HAL-041-029,970263,Active,4
Guilford,Carriage House Senior Living Community,108,"Five Star Quality Care - OBX Operator, LLC",3896 N. Elm Street,Greensboro,NC,27455-2596,"400 Centre St, Attn: Licensing",,Newton,MA,2458,(336)286-1235,(336)286-9863,HAL-041-065,960702,Active,2
Guilford,Clapp's Assisted Living,30,"Clapp's Assisted Living, Inc",4558 Pleasant Garden Road,Pleasant Garden,NC,27313-0249,PO Box 249,,Pleasant Garden,NC,27313-0249,(336)674-2253,(336)674-3260,HAL-041-054,953104,Active,4
Guilford,Guilford House,60,"Greensboro AL Holdings, LLC",5918 Netfield Road,Greensboro,NC,27455-9245,PO Box 26255,,Winston Salem,NC,27114,(336)553-0272,(336)553-0651,HAL-041-077,100777,Active,3
Guilford,Harmony at Greensboro,92,"Greensboro Operations, LLC",3420 Whitehurst Road,Greensboro,NC,27410,3420 Whitehurst Road,,Greensboro,NC,27410,(336)355-7733,(   )   -,HAL-041-086,160498,Active,3
Guilford,Holden Heights,96,"Greensboro Opco Holdings, LLC",1915 Boulevard Street,Greensboro,NC,27407,P O Box 26255,,Winston Salem,NC,27114,(336)855-1414,(336)855-7455,HAL-041-080,920765,Active,1
Guilford,Lawson's Adult Enrichment Center,18,James & Willie Lawson,1319 Woodbriar Avenue,Greensboro,NC,27405-5361,PO Box 14982,,Greensboro,NC,27415-4982,(336)273-0017,(336)273-0964,HAL-041-015,944966,Active,3
Guilford,Morningview at Irving Park,105,"Morningside of Greensboro, LLC",3200 N. Elm Street,Greensboro,NC,27408,400 Centre St,Attn: Licensing,Newton,MA,2458,(336)545-3444,(336)545-3424,HAL-041-052,960751,Active,3
Guilford,Piedmont Christian Home,93,"Piedmont Christian Home, Inc.",1510 Deep River Road,High Point,NC,27265,1510 Deep River Road,,High Point,NC,27265,(336)883-6023,(336)883-6024,HAL-041-010,920918,Active,1
