County,Facility Name,Capacity,Licensee,Address,City,State,Zip Code,Phone Number,License Number,Facility ID,State Facility Type 1 Literal,State Facility Type 2 Literal,Date Accessed
Cumberland,The Addison of Fayetteville,96,"GA HC Reit II Fayetteville Alf TRS Sub, LLC",1164 71st School Rd,Fayetteville,NC,28314,(910)764-2020,HAL-026-068,80399,Assisted Living Residence,Adult Care Home,6/29/21
Cumberland,Valley Pines Adult Care,23,"Valley Pines Adult Care, LLC",2521 Muriel Drive,Fayetteville,NC,28306,(910)484-4429,HAL-026-052,920549,Assisted Living Residence,Adult Care Home,6/29/21
Currituck,Currituck House,90,"CHI Holdings, LLC",141 Moyock Landing Drive,Moyock,NC,27958-9080,(252)435-1024,HAL-027-003,80097,Assisted Living Residence,Adult Care Home,6/29/21
Dare,Spring Arbor of the Outer Banks,102,"Spring Arbor of Nags Head, L.P.",803 Bermuda Bay Blvd,Kill Devil Hills,NC,27948,(252)449-4455,HAL-028-001,970709,Assisted Living Residence,Adult Care Home,6/29/21
Davidson,Brookdale Lexington,76,"Southern Assisted Living, LLC",161 Young Drive,Lexington,NC,27292,(336)238-1700,HAL-029-006,970192,Assisted Living Residence,Adult Care Home,6/29/21
Davidson,Brookstone Retirement Center,115,"Brookstone Rest Home & Retirement Center, Inc.",2968 Old Salisbury Road,Lexington,NC,27295,(336)243-2500,HAL-029-001,940136,Assisted Living Residence,Adult Care Home,6/29/21
Davidson,Grayson Creek of Welcome,75,"Landmark Assisted Living, LLC",6781 Old US HWY 52,Lexington,NC,27295,(336)619-4036,HAL-029-010,90508,Assisted Living Residence,Adult Care Home,6/29/21
Davidson,Hilltop Living Center,65,"Plemmons Enterprises, Inc",212 Plemmons Drive,Linwood,NC,27299,(336)853-8113,HAL-029-002,920551,Assisted Living Residence,Adult Care Home,6/29/21
Davidson,Mallard Ridge Assisted Living,100,"Mallard Ridge, LLC",9420 N NC Highway 150,Clemmons,NC,27012,(336)775-2205,HAL-029-007,980506,Assisted Living Residence,Adult Care Home,6/29/21
Davidson,Spring Arbor of Thomasville,62,The Oaks Of Thomasville II LP,915 West Cooksey Drive,Thomasville,NC,27360,(336)472-7171,HAL-029-004,921210,Assisted Living Residence,Adult Care Home,6/29/21
Davie,Mocksville Senior Living and Memory Care,69,"Mocksville Opco, LLC",337 Hospital Street,Mocksville,NC,27028,(336)751-2175,HAL-030-009,920863,Assisted Living Residence,Adult Care Home,6/29/21
Davie,PS Senior Living of Mocksville,40,"PS Senior Living of Mocksville, LLC",191 Crestview Drive,Mocksville,NC,27028,(336)751-1515,HAL-030-010,940294,Assisted Living Residence,Adult Care Home,6/29/21
Davie,Somerset Court of Mocksville,60,"JFC Meridian Opco-Mocksville, LLC",150 Ken Dwiggins Drive,Mocksville,NC,27028,(336)751-1209,HAL-030-008,990698,Assisted Living Residence,Adult Care Home,6/29/21
Duplin,Autumn Village,88,"WP-Beulaville Health Holdings, LLC",235 North NC 41,Beulaville,NC,28518-8633,(910)298-5877,HAL-031-018,920050,Assisted Living Residence,Adult Care Home,6/29/21
Duplin,DaySpring of Wallace,80,DePaul Adult Care Communities Inc,4026 S NC 11,Wallace,NC,28466,(910)285-9050,HAL-031-017,970835,Assisted Living Residence,Adult Care Home,6/29/21
Duplin,Golden Care,30,"Five Star Investments, Inc.",4002 South NC 41,Wallace,NC,28466,(910)285-5352,HAL-031-003,920438,Assisted Living Residence,Adult Care Home,6/29/21
Duplin,The Gardens of Rose Hill,45,"Rosehill Opco, LLC",571 S. Sycamore Street,Rose Hill,NC,28458,(910)289-2435,HAL-031-019,945023,Assisted Living Residence,Adult Care Home,6/29/21
Duplin,Wallace Gardens,64,"Wallace Gardens, Inc.",1052 NE Railroad Street,Wallace,NC,28466,(910)285-7881,HAL-031-016,970130,Assisted Living Residence,Adult Care Home,6/29/21
Duplin,Wellington Park,80,"Wellington Park, Inc.",329 Cooper Street,Kenansville,NC,28349,(910)296-0333,HAL-031-020,921357,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Atria Southpoint Walk,20,"WG Durham, LP",5705 Fayetteville Rd,Durham,NC,27713,(919)401-0100,HAL-032-131,70323,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Brookdale Chapel Hill,38,"Brookdale Senior Living Community, Inc.",2230 Farmington Drive,Chapel Hill,NC,27517,(919)929-5850,HAL-032-019,970542,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Brookdale Chapel Hill AL (NC),70,"Brookdale Senior Living Communities, Inc.",2220 Farmington Drive,Chapel Hill,NC,27517,(919)933-1430,HAL-032-016,970049,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Brookdale Durham,119,"Southern Assisted Living, LLC",4434 Ben Franklin Boulevard,Durham,NC,27704,(919)479-9966,HAL-032-065,970590,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Calyx Living of Durham,84,"Carillon Assisted Living, LLC",4214 Guess Road,Durham,NC,27712,(919)471-0091,HAL-032-134,180020,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Camellia Gardens,81,"KC Care Management, Inc",5010 S. Alston Avenue,Durham,NC,27713,(919)544-0257,HAL-032-071,944745,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Carolina Reserve of Durham,60,"RSS/Durham Operations, LLC",4523 Hope Valley Road,Durham,NC,27707,(919)403-0055,HAL-032-132,956359,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Croasdaile Village,64,United Methodist Retirement Homes Inc,2600 Croasdaile Farm Parkway,Durham,NC,27705,(919)384-2000,HAL-032-020,990906,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Durham Ridge Assisted Living,142,"Durham Ridge Assisted Living, LLC",3420 Wake Forrest Hwy,Durham,NC,27703,(919)596-9464,HAL-032-091,920869,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Eden Spring Living Center,19,"Eden Spring Living Center, Inc",3812 Booker Street,Durham,NC,27713,(919)544-0874,HAL-032-073,920577,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Eno Pointe Assisted Living,147,"Durham Rest Home, Inc.",5600 N. Roxboro Road,Durham,NC,27712,(919)471-6306,HAL-032-001,920333,Assisted Living Residence,Adult Care Home,6/29/21
Durham,Seasons @ Southpoint,51,"SNH SE Tenant TRS, Inc.",1002 East Highway 54,Durham,NC,27713,(919)484-8518,HAL-032-109,960836,Assisted Living Residence,Adult Care Home,6/29/21
Durham,The Addison of Durham,96,"GA HC Reit II Durham Alf TRS Sub, LLC",4713 Garrett Road,Durham,NC,27707,(919)401-1101,HAL-032-133,100294,Assisted Living Residence,Adult Care Home,6/29/21
Edgecombe,Heritage Care of Rocky Mount,126,"Heritage of Rocky Mount, LLC",1650 Cokey Road,Rocky Mount,NC,27801,(252)977-6199,HAL-033-005,920534,Assisted Living Residence,Adult Care Home,6/29/21
Edgecombe,Tarboro Senior Living,130,"Tarboro Opco, LLC",3210 Western Boulevard,Tarboro,NC,27886,(252)823-8546,HAL-033-006,920129,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Brighton Gardens of Winston-Salem,115,"Prime Care One, LLC",2601 Reynolda Road,Winston-Salem,NC,27106,(336)722-2224,HAL-034-026,970699,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Brookdale Reynolda Road,72,"Southern Assisted Living, LLC",2980 Reynolda Road,Winston-Salem,NC,27106,(336)722-1617,HAL-034-035,960455,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Brookdale Winston-Salem,38,"Brookdale Senior Living Communities, Inc",275 South Peace Haven Road,Winston-Salem,NC,27104,(336)659-7797,HAL-034-027,971374,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Brookstone of Clemmons,40,"Brookstone of Clemmons, LLC",4430 Clinard Road,Clemmons,NC,27012,(336)766-5000,HAL-034-102,970694,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,C.R.T. - Golden Lamb Rest Home,40,"C.R.T. - Golden Lamb Rest Home, Inc",1515 Golden Lamb Court,Winston-Salem,NC,27105,(336)727-9119,HAL-034-019,955729,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Cadence at Clemmons,96,"GAHC3 Clemmons NC TRS Sub, LLC",1165 S. Peace Haven Road,Clemmons,NC,27012,(336)766-6220,HAL-034-106,120137,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Clemmons Village I,60,"Clemmons Village I, LLC",6401 Holder Road,Clemmons,NC,27012,(336)766-2990,HAL-034-090,960006,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Clemmons Village II,66,"Clemmons Assisted Living, LLC",6441 Holder Road,Clemmons,NC,27012,(336)778-8548,HAL-034-062,970639,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Creekside Manor,60,"Creekside Manor of Forsyth, LLC",6206 Reidsville Road,Kernersville,NC,27284,(336)595-9889,HAL-034-060,941250,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Danby House,100,"Danby House, LLC",3150 Burke Mill Road,Winston-Salem,NC,27103-6431,(336)768-5656,HAL-034-093,980709,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Forest Heights Senior Living Community,125,"Five Star Quality Care-OBX Operator, LLC",2500 Polo Ridge Court,Winston-Salem,NC,27106-3950,(336)722-7118,HAL-034-087,970731,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Homestead Hills Assisted Living,66,Homestead Hills Retirement Limited Partnership,2101 Homestead Hills Drive,Winston-Salem,NC,27103,(336)659-0708,HAL-034-023,930565,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Kerner Ridge Assisted Living,66,"Kerner Ridge Assisted Living, LLC",250 Hopkins Road,Kernersville,NC,27284,(336)993-1881,HAL-034-058,990384,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Magnolia Creek Assisted Living,117,"WP-Winston Salem Health Holdings, LLC",2560 Willard Road,Winston-Salem,NC,27107-5543,(336)650-0699,HAL-034-097,944516,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Memory Care of the Triad,42,"The Bradford Village of Kernersville, East, LLC",413 North Main Street,Kernersville,NC,27284,(336)993-4696,HAL-034-068,920116,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Salem Terrace,142,"BHM Salem Terrace, LLC",2609 Old Salisbury Road,Winston-Salem,NC,27127,(336)785-1935,HAL-034-098,920768,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Salemtowne,46,"The Moravian Home, Inc.",2000 Salemtowne,Winston Salem,NC,27106,(336)767-8130,HAL-034-103,923440,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Shuler Health Care/Crane Villa,12,"Star Care Network, Inc",250 Pitt Street,Kernersville,NC,27284,(336)996-0772,HAL-034-111,921086,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Shuler Health Care/Phillips Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27284,(336)996-0772,HAL-034-110,921085,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Shuler Health Care/Pierce Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27285,(336)996-0772,HAL-034-109,921087,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Shuler Health Care/Record Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27284,(336)996-0772,HAL-034-108,921088,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Shuler Health Care/Storey Villa,12,"Star Care Network, Inc.",250 Pitt Street,Kernersville,NC,27285,(336)996-0772,HAL-034-107,921089,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Somerset Court at University Place,60,"JFC Meridian Opco-Winston-Salem, LLC",1635 East 5th Street,Winston Salem,NC,27101,(336)722-7119,HAL-034-100,991125,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Southfork,78,DePaul Adult Care Communities Inc,1345 Jonestown Road,Winston-Salem,NC,27103,(336)768-8828,HAL-034-028,960775,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,The Bradford Village of Kernersville - West,62,"The Bradford Village of Kernersville - West, LLC",602 Piney Grove Road,Kernersville,NC,27284,(336)993-8711,HAL-034-069,920117,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,The Ivy at Clemmons,70,The Ivy at Clemmons LLC,6010 Meadowbrook Mall Court,Clemmons,NC,27012-9266,(336)766-8050,HAL-034-105,920769,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Tranquility Care,60,"Tranquility Care of Winston-Salem, LLC",5100 Lansing Drive,Winston-Salem,NC,27105,(336)744-8270,HAL-034-104,920396,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Trinity Elms,104,"LSA Elms At Tanglewood, Inc",3750 Harper Road,Clemmons,NC,27012,(336)766-2131,HAL-034-085,971182,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Verra Spring at Heritage Woods,29,"KRC Woods, LP",3812 Forrestgate Drive,Winston-Salem,NC,27103,(336)768-2011,HAL-034-003,920535,Assisted Living Residence,Adult Care Home,6/29/21
Forsyth,Vienna Village,90,"Vienna Village, Inc",6601 Yadkinville Road,Pfafftown,NC,27040,(336)945-5410,HAL-034-016,921290,Assisted Living Residence,Adult Care Home,6/29/21
Franklin,Franklin Manor Assisted Living Center,54,"Franklin Operations, LLC",100 Sunset Drive,Youngsville,NC,27596,(919)562-5550,HAL-035-024,110290,Assisted Living Residence,Adult Care Home,6/29/21
Franklin,Liberty Commons Assisted Living of Franklin County,60,"Liberty Healthcare Group, LLC",114 Smoketree Way,Louisburg,NC,27549,(919)496-6084,HAL-035-032,920691,Assisted Living Residence,Adult Care Home,6/29/21
Franklin,"Southern Living for Seniors of Louisburg, NC",60,"Southern Living for Seniors of Louisburg NC, LLC",361 Leonard Road,Louisburg,NC,27549,(919)497-0144,HAL-035-031,920147,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Brookdale New Hope,86,"Southern Assisted Living, LLC",1680 South New Hope Road,Gastonia,NC,28054,(704)864-0801,HAL-036-013,970656,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Brookdale Robinwood,89,"Southern Assisted Living, LLC",1750 Robinwood Road,Gastonia,NC,28054,(704)864-2480,HAL-036-015,961020,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Brookdale Union,78,"Southern Assisted Living, LLC",1717 Union Road,Gastonia,NC,28054,(704)864-9440,HAL-036-012,955352,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Country Time Inn,59,"Country Time Inn, LLC",602 Brevard Road,Kings Mountain,NC,28086-8692,(704)739-2760,HAL-036-018,940276,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Elmcroft of Cramerton,128,"EC Opco Cramerton, LP",500 Cramer Mountain Road,Cramerton,NC,28032,(704)823-0500,HAL-036-039,980170,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Heritage Oaks Assisted Living,86,"Gaston Area Lutheran Foundation, INC.",916 S. Marietta Street,Gastonia,NC,28054,(704)864-3249,HAL-036-036,921119,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Heritage Oaks Assisted Living,86,"Gaston Area Lutheran Foundation, INC.",916 S. Marietta Street,Gastonia,NC,28054,(704)864-3249,HAL-036-036,921119,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Morningside of Gastonia,105,SNH NC Tenant LLC,2755 Union Road,Gastonia,NC,28054,(704)810-0111,HAL-036-037,970732,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Rosewood Assisted Living,48,"Lancaster Health Care, Inc.","721 Dr. Martin Luther King, Jr. Way",Gastonia,NC,28052,(704)865-2238,HAL-036-004,921042,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Somerset Court of Cherryville,60,"JFC Meridian Opco-Cherryville, LLC",401 West Academy Street,Cherryville,NC,28021,(704)445-1554,HAL-036-034,971259,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Terrace Ridge Assisted Living,74,"Terrace Ridge Assisted Living, Inc",1251 E Hudson Blvd,Gastonia,NC,28054-6102,(704)865-5556,HAL-036-023,971399,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Wellington House,48,"WP-Gastonia Health Holdings, LLC",850 Majestic Court,Gastonia,NC,28054-5131,(704)864-7739,HAL-036-031,920427,Assisted Living Residence,Adult Care Home,6/29/21
Gaston,Woodlawn Haven,80,Everett Yates Springs,301 Craig Street,Mt. Holly,NC,28120,(704)827-1573,HAL-036-006,931371,Assisted Living Residence,Adult Care Home,6/29/21
Gates,Gates House,70,"Gates House, LLC",11 Commerce Drive,Gatesville,NC,27938,(252)357-1379,HAL-037-001,110136,Assisted Living Residence,Adult Care Home,6/29/21
Granville,Granville House,60,"Granville Opco, LLC",200 Coventry Drive,Oxford,NC,27565,(919)603-5576,HAL-039-016,971402,Assisted Living Residence,Adult Care Home,6/29/21
Granville,Heritage Meadows Long Term Care,80,"North Carolina Community Homes, LLC",6659 Private School Road,Oxford,NC,27565,(919)690-1299,HAL-039-015,940532,Assisted Living Residence,Adult Care Home,6/29/21
Granville,Toney Rest Home,60,"PS Senior Living, LLC",904 Raleigh Street,Oxford,NC,27565,(919)693-2123,HAL-039-017,920336,Assisted Living Residence,Adult Care Home,6/29/21
Granville,Tre' More Manor ALF,31,Crescent Green Inc.,6016 Pine Town Road,Oxford,NC,27565,(919)693-2984,HAL-039-018,955531,Assisted Living Residence,Adult Care Home,6/29/21
Greene,Snow Hill Assisted Living,40,"Greene Opco, LLC",1328 S. E. Second Street,Snow Hill,NC,28580,(252)747-8100,HAL-040-009,960866,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Abbotswood at Irving Park Assisted Living,28,KRC Greensboro LP,3506 Flint Street,Greensboro,NC,27405,(336)282-8870,HAL-041-060,980538,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Alpha Concord of Greensboro,64,"Alpha Concord of Greensboro, LLC",3301 Gar Place,Greensboro,NC,27406,(919)819-3882,HAL-041-082,920473,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brighton Gardens of Greensboro,125,"HCP Greensboro NC OpCo, LLC",1208 New Garden Road,Greensboro,NC,27410,(336)297-4700,HAL-041-084,970066,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brookdale High Point,82,"Southern Assisted Living, LLC",201 West Hartley Drive,High Point,NC,27265,(336)885-8600,HAL-041-030,944614,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brookdale High Point North,65,"Southern Assisted Living, LLC",1564 Skeet Club Road,High Point,NC,27265,(336)869-4188,HAL-041-033,980269,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brookdale High Point North AL (NC),102,"Southern Assisted Living, LLC",1568 Skeet Club Road,High Point,NC,27265,(336)869-0026,HAL-041-039,980795,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brookdale Lawndale Park,118,Southern Assisted Living LLC,4400 Lawndale Drive,Greensboro,NC,27455,(336)286-3432,HAL-041-062,970613,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brookdale Northwest Greensboro,81,"Southern Assisted Living, LLC",5809 Old Oak Ridge Road,Greensboro,NC,27410,(336)297-9900,HAL-041-031,970040,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Brookdale Skeet Club,79,"Southern Assisted Living, LLC",1560 Skeet Club Road,High Point,NC,27265,(336)869-0301,HAL-041-029,970263,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Carriage House Senior Living Community,108,"Five Star Quality Care - OBX Operator, LLC",3896 N. Elm Street,Greensboro,NC,27455-2596,(336)286-1235,HAL-041-065,960702,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Clapp's Assisted Living,30,"Clapp's Assisted Living, Inc",4558 Pleasant Garden Road,Pleasant Garden,NC,27313-0249,(336)674-2253,HAL-041-054,953104,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Guilford House,60,"Greensboro AL Holdings, LLC",5918 Netfield Road,Greensboro,NC,27455-9245,(336)553-0272,HAL-041-077,100777,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Harmony at Greensboro,92,"Greensboro Operations, LLC",3420 Whitehurst Road,Greensboro,NC,27410,(336)355-7733,HAL-041-086,160498,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Holden Heights,96,"Greensboro Opco Holdings, LLC",1915 Boulevard Street,Greensboro,NC,27407,(336)855-1414,HAL-041-080,920765,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Lawson's Adult Enrichment Center,18,James & Willie Lawson,1319 Woodbriar Avenue,Greensboro,NC,27405-5361,(336)273-0017,HAL-041-015,944966,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Morningview at Irving Park,105,"Morningside of Greensboro, LLC",3200 N. Elm Street,Greensboro,NC,27408,(336)545-3444,HAL-041-052,960751,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Piedmont Christian Home,93,"Piedmont Christian Home, Inc.",1510 Deep River Road,High Point,NC,27265,(336)883-6023,HAL-041-010,920918,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Richland Place,70,"Greensboro BG OPCO, LLC",3823 Lawndale Drive,Greensboro,NC,27455,(336)288-8688,HAL-041-081,970071,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Spring Arbor of Greensboro,100,Spring Arbor of Greensboro Limited Partnership,5125 Michaux Road,Greensboro,NC,27410,(336)286-6404,HAL-041-074,90346,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,St. Gales Estates,60,"St. Gales Estates, Inc",1411 Lee's Chapel Road,Greensboro,NC,27405-1615,(336)621-5336,HAL-041-023,960822,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,The Arboretum at Heritage Greens,66,"KC Heritage Greens, LLC",709 Meadowood Street,Greensboro,NC,27409,(760)804-5900,HAL-041-078,980248,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,The Elms at Abbotswood,48,KRC Greensboro Limited Partnership,3508 Flint Street,Greensboro,NC,27405,(336)282-8870,HAL-041-085,150329,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Verra Springs at Heritage Greens,45,"KC Heritage Greens, LLC",803 Meadowood Street,Greensboro,NC,27409,(760)804-5900,HAL-041-079,940530,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Wellington Oaks,85,"Greensboro Health Holdings, LLC",3004 Dexter Avenue,Greensboro,NC,27407-3616,(336)553-3917,HAL-041-072,920871,Assisted Living Residence,Adult Care Home,6/29/21
Guilford,Westchester Harbour,90,"Providence Place Assisted Living, Inc",630 Whittier Avenue,High Point,NC,27262,(336)888-6777,HAL-041-073,90501,Assisted Living Residence,Adult Care Home,6/29/21
Halifax,Carolina Rest Home,40,"Carolina Care of Halifax, LLC",1361 Carolina Rest Home Road,Roanoke Rapids,NC,27870,(252)533-0014,HAL-042-005,920177,Assisted Living Residence,Adult Care Home,6/29/21
Halifax,Scotland House,60,"Halifax Opco Holdings, LLC",27669 Highway 125,Scotland Neck,NC,27874,(252)826-0475,HAL-042-006,61339,Assisted Living Residence,Adult Care Home,6/29/21
Halifax,The Landings of Lake Gaston,0,"Lake Gaston Opco Holdings, LLC",206 North Mosby Ave,Littleton,NC,27850,(828)270-0661,HAL-042-007,160282,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Absolute Care Assisted Living,12,"Absolute Care Assisted Living, LLC",431 Junny Road,Angier,NC,27501,(919)639-6322,HAL-043-029,970273,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Absolute Care Assisted Living II,12,"Absolute Care Assisted Living, LLC",431 Junny Road,Angier,NC,27501-1091,(919)673-2146,HAL-043-031,980225,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Arc of Dunn,36,"A1A - Arc of Dunn, LLC",217 Jonesboro Road,Dunn,NC,28334,(910)892-1711,HAL-043-033,920260,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Green Leaf Care Center,105,"Lillington Operations, LLC",2041 NC 210 North,Lillington,NC,27546,(910)893-8181,HAL-043-027,920134,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Johnson Better Care Facility,50,Jerry Johnson,3485 Hwy 301 North,Dunn,NC,28335,(910)892-1155,HAL-043-003,920602,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Oak Hill Living Center,122,"The Autumn Group, Inc.",9767 NC 210-N,Angier,NC,27501,(919)639-9000,HAL-043-015,971532,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Pinecrest Gardens,60,Senior Management Inc,1984 Old US 421,Lillington,NC,27546,(910)893-2766,HAL-043-022,970133,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Senior Citizens Village,65,"Moore Health Care, Inc.",504 West Canal Drive,Dunn,NC,28334,(910)892-1241,HAL-043-006,941082,Assisted Living Residence,Adult Care Home,6/29/21
Harnett,Senter's Rest Home,50,"Fuquay-Varina Health Holdings, LLC",40 Rawls Club Road,Fuquay-Varina,NC,27526-8031,(919)552-6264,HAL-043-024,921084,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Chestnut Park Retirement Center,20,Barbara J Hannah,84 Chestnut Park Drive,Waynesville,NC,28786,(828)456-3337,HAL-044-022,920207,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Creekside Villas,20,Earl Enterprises Inc,465 Boyd Avenue,Waynesville,NC,28786-4317,(828)456-9241,HAL-044-044,920977,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Haywood House,60,"Haywood Health Holdings, LLC",27 North Main Street,Canton,NC,28716-1449,(828)276-1004,HAL-044-042,110041,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Haywood Lodge and Retirement Center,68,"Earl Enterprises, Inc",251 Shelton Street,Waynesville,NC,28786-3362,(828)456-8365,HAL-044-009,920515,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,McCracken Rest Home,22,"CDS Management Group, LLC",203 McCracken Street,Waynesville,NC,28786,(828)456-9004,HAL-044-046,920745,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Pigeon Valley Rest Home,29,Pigeon Valley Rest Home LLC,55 Lake Drive,Canton,NC,28716,(828)648-2044,HAL-044-012,920921,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Richland Community Care #2,11,Bronwyn Pruitt,290 Killian Street,Waynesville,NC,28786,(828)452-0456,HAL-044-045,921005,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Spicewood Cottages Elms,20,"Earl Enterprises, Inc",39 Loving Way,Clyde,NC,28721-9471,(828)452-0238,HAL-044-039,920250,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Spicewood Cottages Oaks,20,"Earl Enterprises, Inc",67 Loving Way,Clyde,NC,28721-9471,(828)452-3822,HAL-044-040,920253,Assisted Living Residence,Adult Care Home,6/29/21
Haywood,Spicewood Cottages Willows,20,"Earl Enterprises, Inc",65 Loving Way,Clyde,NC,28721-9471,(828)452-0913,HAL-044-041,920252,Assisted Living Residence,Adult Care Home,6/29/21
Henderson,Carolina Reserve of Hendersonville,61,"RSS Hendersonville Operations, LLC",1820 Pisgah Drive,Hendersonville,NC,28791,(828)692-6440,HAL-045-125,960697,Assisted Living Residence,Adult Care Home,6/29/21
Henderson,Carolina Reserve of Laurel Park,48,"RSS Hendersonville West Operations, LLC",1825 Pisgah Drive,Hendersonville,NC,28791,(828)697-7800,HAL-045-126,980406,Assisted Living Residence,Adult Care Home,6/29/21
Henderson,Carolina Village,60,"Carolina Village, Inc.",600 Carolina Village Road,Hendersonville,NC,28792,(828)692-6275,HAL-045-067,11225,Assisted Living Residence,Adult Care Home,6/29/21
Henderson,Cherry Springs Village,60,"WP-Hendersonville Health Holdings, LLC",358 Clear Creek Road,Hendersonville,NC,28792-2595,(828)698-6501,HAL-045-115,970589,Assisted Living Residence,Adult Care Home,6/29/21
