License #,Facility Name,County,Address,Region,Initial Date,Total Bed Count,Number of Secured Beds,Adult Day Care Services Beds
324,Summit View,Hamilton,"825 Runyan Drive
Chattanooga, TN 37405",East,39924,40,0,0
497,Sunset Gardens,Johnson,"3683 Hwy 421 South
Mountain City, TN 37683",East,43381,30,0,0
291,Sweetwater Living,Monroe,"245 Butler Dr
Sweetwater, TN 37874",East,39264,10,0,0
474,"Sycamore Place Alzheimer's
Special Care Center",Shelby,"8722 Winchester Rd
Memphis, TN 38125",West,43305,66,66,0
398,"Sycamore Springs Senior Living
Community",Carter,"1504 W Elk Ave
Elizabethton, TN 37643",East,42157,60,18,0
152,Sycamore Trace,Roane,"1098 Bradford Way
Kingston, TN 37763",East,36266,51,0,0
39,The Arbors at Dogwood Pointe,Gibson,"2080 Craig Dr
Milan, TN 38358",West,36007,42,42,0
470,The Arbors at Springfield Heights,Robertson,"2530 South Main Street
Springfield, TN 37172",Middle,44019,22,22,0
426,"The Arbors at The Etheridge
House",Obion,"1400 S Home St
Union City, TN 38261",West,41942,32,32,0
518,The Blake at Kingsport,Sullivan,"915 Holston Hills Drive
Kingsport, TN 37664",East,43663,130,48,0
165,"The Bridge Assisted Living at Life
Care Center of Columbia",Maury,"851 W James Campbell Blvd
Columbia, TN 38401",West,36168,74,0,0
208,"The Bridge Assisted Living at Life
Care Center of Sparta",White,"508 Mose Drive
Sparta, TN 38583",East,36759,60,0,5
360,The Bridge at Hickory Woods,Davidson,"4220 Murfreesboro Pike
Antioch, TN 37013",Middle,41929,143,0,0
381,The Bridge at Ooltewah,Hamilton,"5901 Snow Hill Rd
Ooltewah, TN 37363",East,41851,108,0,0
378,The Bridge at Rhea County,Rhea,"10055 Rhea County Hwy
Dayton, TN 37321",East,41331,40,0,0
346,"The Courtyards Senior Living
Briarcliff",Anderson,"300 Briarcliff Ave Bldg #1
Oak Ridge, TN 37830",East,40571,50,25,3
376,"The Courtyards Senior Living
Johnson City",Washington,"2111 E Lakeview Dr
Johnson City, TN 37601",East,41416,83,83,6
445,"The Courtyards Senior Living
Knoxville",Knox,"1029 W Parkway Ave
Knoxville, TN 37912",East,42408,32,32,3
377,"The Courtyards Senior Living
Knoxville 3",Knox,"801 E Inskip Dr
Knoxville, TN 37912",East,41397,57,57,6
20,The Etheridge House,Obion,"701 Sherrill
Union City, TN 38261",West,35977,46,0,0
285,The Gardens at Providence Place,Wilson,"1016 Charlie Daniels Pkwy
Mount Juliet, TN 37122",Middle,39532,33,33,0
314,The Glenmary at Evergreen,Shelby,"1550 N Parkway
Memphis, TN 38112",West,40039,54,0,0
161,"The Health Center at Richland
Place",Davidson,"504 Elmington Ave
Nashville, TN 37205",Middle,36103,30,0,0
384,The Hearth at Franklin,Williamson,"1035 Fulton Greer Lane
Franklin, TN 37064",West,41950,149,44,0
286,"The Lantern Alzheimer's Center at
Morning Pointe",Hamilton,"9300 Messinger Lane
Ooltewah, TN 37363",East,39062,42,42,0
495,"The Lantern at Morning Pointe
Alzheimer's Center",Knox,"9647 Westland Dr
Knoxville, TN 37922",East,44071,70,20,0
507,"The Lantern at Morning Pointe
Alzheimer's Center",Maury,"1003 McCutheon Creek Ln
Spring Hill, TN 37174",West,43872,52,52,0
362,"The Lantern at Morning Pointe
Alzheimer's Center",Loudon,"155 Morning Pointe Dr
Lenoir City, TN 37772",East,41036,49,49,0
502,"The Lantern at Morning Pointe of
Franklin",Williamson,"1015 Generations Way
Franklin, TN 37064",West,43290,52,52,0
367,The Lodge at Natchez Trace,Davidson,"8207 Hwy 100
Nashville, TN 37221",Middle,41649,122,18,0
159,The Lodge at Wood Village,Monroe,"524 Old Highway 68
Sweetwater, TN 37874",East,36321,36,0,0
307,The Maristone of Franklin,Williamson,"347 Riverside Dr
Franklin, TN 37064",West,40421,72,17,2
372,The Meadows at Halltown,Sumner,"711 Halltown Rd
Portland, TN 37148",Middle,41101,21,0,0
216,"The Neighborhood at Tellico
Village",Loudon,"100 Chatuga Drive W
Loudon, TN 37774",East,37760,112,34,4
480,The Pavilion Assisted Living,Wilson,"1409 Medical Center Dr
Lebanon, TN 37087",Middle,42979,74,18,0
475,The Pinnacle on Schaeffer,Knox,"10520 Waterville Lane
Knoxville, TN 37923",East,43136,74,0,0
510,The Place at Crossfield,Sumner,"111 Crossfield Drive
Hendersonville, TN 37075",Middle,43613,11,0,0
131,The Pointe at Kirby Gate,Shelby,"6480 Quince Rd
Memphis, TN 38119",West,36354,60,19,0
451,The Pointe at Lifespring,Knox,"4371 Lifespring Lane
Knoxville, TN 37918",East,42853,94,46,0
456,The Reserve at Spring Hill,Maury,"2000 Reserve Blvd
Spring Hill, TN 37174",West,43215,30,0,0
213,The Rutherford Assisted Living,Rutherford,"1658 Lacassas Pike
Murfreesboro, TN 37130",Middle,37134,74,0,0
274,The Rutherford Memory Care,Rutherford,"2045 Gold Valley Dr
Murfreesboro, TN 37130",Middle,39090,32,32,0
167,The Summit of Lawrenceburg,Lawrence,"186 Prosser Rd
Lawrenceburg, TN 38464",West,36208,45,0,0
257,The Terrace at Mountain Creek,Hamilton,"1005 Mountain Creek Rd
Chattanooga, TN 37405",East,38190,120,15,0
239,The Village at Allandale,Hawkins,"100 Strickland Court
Kingsport, TN 37660",East,37771,78,50,0
253,The Village at Germantown,Shelby,"8020 Walking Horse Cir
Germantown, TN 38138",West,38869,60,16,9
22,The Village at Primacy Place,Shelby,"6015 Primacy Pkwy
Memphis, TN 38119",West,35977,70,0,0
145,The Village Manor,Marshall,"101 Tiger Blvd
Lewisburg, TN 37091",West,36342,58,0,0
498,The Village of Murfreesboro,Rutherford,"2550 Willowoak Trail
Murfreesboro, TN 37129",Middle,43207,22,22,0
296,The Waterford in Smyrna,Rutherford,"10540 Cedar Grove Rd
Smyrna, TN 37167",Middle,40161,92,24,2
35,"The Webb House Retirement
Center",DeKalb,"115 Jennings Lane
Smithville, TN 37166",East,35999,53,12,2
368,"The Webb House Retirement
Center of McMinnville",Warren,"3877 Manchester Hwy
McMinnville, TN 37110",East,41577,60,20,9
23,The White House Assisted Living,Macon,"405 Red Boiling Springs Rd
Lafayette, TN 37083",Middle,35977,30,0,0
357,"Towne Square Care Assisted Living
of Puryear",Henry,"220 College Street
Puryear, TN 38251",West,41360,10,0,0
493,Traditions of Mill Creek,Williamson,"7110 S Point Pkwy
Brentwood, TN 37027",Middle,43902,95,24,0
494,Traditions of Smyrna,Rutherford,"800 Great Circle
Smyrna, TN 37167",Middle,43587,110,24,0
455,Traditions of Spring Hill,Williamson,"3056 Miles Johnson Pkwy
Spring Hill, TN 37174",West,43084,97,24,0
522,Tree of Life Residential Care,Grundy,"293 King Road
Tracy City, TN 37387",East,43805,39,0,0
284,Trinity Hills of Knoxville,Knox,"4611 Asheville Hwy
Knoxville, TN 37914",East,39210,109,14,0
276,Trousdale Senior Living Center,Trousdale,"263 W McMurry Blvd
Hartsville, TN 37074",Middle,39093,36,0,0
219,Valley View Assisted Living,Marion,"101 North Maple St
Whitwell, TN 37397",East,37518,80,0,0
380,"Vantage Pointe Village at Ashland
City",Cheatham,"2035 Vantage Pointe Rd
Ashland City, TN 37015",West,42160,100,44,0
147,Victorian Square Assisted Living,Roane,"241 S Chamberlain Ave
Rockwood, TN 37854",East,36213,84,19,0
48,Walking Horse Meadows,Montgomery,"207 Uffelman Dr
Clarksville, TN 37043",West,36026,99,28,0
153,Wellington Manor,Cocke,"375 Hedrick Dr
Newport, TN 37821",East,36543,60,13,0
371,Wellington Place,Williamson,"209 Ward Circle
Brentwood, TN 37027",West,41031,47,0,0
155,Wellmont Madison House,Sullivan,"2000 Greenway St
Kingsport, TN 37660",East,36180,29,0,20
160,"Whitehaven Assisted Care Living
Facility",Robertson,"403 S Church St
Adams, TN  37010",West,36118,39,0,0
305,Willow Springs Assisted Living & Alzheimers Care by Americare,Williamson,"1040 Campbell Station Pkwy Spring Hill, TN 37174",West,40129,71,24,0
158,"Wilson Manor, An Inspirit Senior
Living Community",Wilson,"900 Coles Ferry Pike
Lebanon, TN 37087",Middle,36524,65,0,0
156,"Windsor Gardens Assisted Living
Center",Knox,"5611 Central Ave Pike
Knoxville, TN 37912",East,36553,70,0,0
