License Number,Facility Name,County,Address,Capacity,State Facility Type 1 Literal,Date Accessed,City,Zip Code,State
512,Jubilee Hills At Warfield,Montgomery,475 BELLAMY LANE,110,ASSISTED CARE LIVING FACILITY,6/30/21,Clarksville,37043,TN
295,Keestone Senior Community,Lawrence,322 KENNEDY STREET,45,ASSISTED CARE LIVING FACILITY,6/30/21,Lawrenceburg,38464,TN
463,Kempton Of Hermitage,Davidson,3778 CENTRAL PIKE,99,ASSISTED CARE LIVING FACILITY,6/30/21,Hermitage,37076,TN
217,Lafollette Court Assisted Living Community,Campbell,139 MASSACHUSETTS AVE,55,ASSISTED CARE LIVING FACILITY,6/30/21,Lafollette,37766,TN
265,Lakewood Place,Loudon,1125 GROVE STREET,46,ASSISTED CARE LIVING FACILITY,6/30/21,Loudon,37774,TN
481,Legacy Village Of Cleveland,Bradley,2255 CANDIES LANE NW,121,ASSISTED CARE LIVING FACILITY,6/30/21,Cleveland,37312,TN
527,"Liberty Assisted Living, Llc",Blount,"312 MCMASTER PLACE     MARYVILLE,",28,ASSISTED CARE LIVING FACILITY,6/30/21,Tn 37801,,TN
215,"Lincoln Manor, An Inspirit Senior Living Community",Lincoln,115 MEDICAL CENTER BLVD,49,ASSISTED CARE LIVING FACILITY,6/30/21,Fayetteville,37334,TN
222,Lynnfield Place Assisted Care Living Facility,Mcnairy,150 HIGH SCHOOL RD,48,ASSISTED CARE LIVING FACILITY,6/30/21,Selmer,38375,TN
254,Mabry Assisted Living,Jackson,100 JETTIE MABRY LANE,28,ASSISTED CARE LIVING FACILITY,6/30/21,Gainesboro,38562,TN
225,Magnolia Place,Humphreys,811 W MAIN ST,47,ASSISTED CARE LIVING FACILITY,6/30/21,Waverly,37185,TN
234,Magnolia Place,Obion,1620 N CLOVER ST,42,ASSISTED CARE LIVING FACILITY,6/30/21,Union City,38261,TN
141,Main Street Senior Living,Sumner,674 E MAIN ST,99,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
163,Manorhouse Assisted Living,Knox,8501 E NORTHSHORE DR,105,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37922,TN
183,Manorhouse Assisted Living,Hamilton,1148 MOUNTAIN CREEK RD,105,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37405,TN
503,Maple Cottage Assisted Living,Sumner,101 MAPLE DR,16,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
388,Maple Court,Knox,7545 THUNDER LANE,60,ASSISTED CARE LIVING FACILITY,6/30/21,Powell,37849,TN
212,Maple Ridge Manor,Dyer,705 LAKE ROAD,50,ASSISTED CARE LIVING FACILITY,6/30/21,Dyersburg,38024,TN
359,Maristone Of Providence,Wilson,140 PROVIDENCE TRAIL,74,ASSISTED CARE LIVING FACILITY,6/30/21,Mount Juliet,37122,TN
177,Martin-Boyd Christian Home,Hamilton,6845 STANDIFER GAP RD,124,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
218,"Mary, Queen Of Angels",Davidson,34 WHITE BRIDGE RD,130,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37205,TN
40,Maybelle Carter Senior Adult Home,Davidson,208 W DUE WEST AVE,103,ASSISTED CARE LIVING FACILITY,6/30/21,Madison,37115,TN
303,Mcarthur Manor Assisted Living,Coffee,119 BRYAN AVE,62,ASSISTED CARE LIVING FACILITY,6/30/21,Manchester,37355,TN
237,Mckendree Village,Davidson,4347 LEBANON RD,99,ASSISTED CARE LIVING FACILITY,6/30/21,Hermitage,37076,TN
170,Mcminnville Boarding Home For The Elderly,Warren,345 GARFIELD ST,33,ASSISTED CARE LIVING FACILITY,6/30/21,Mcminnville,37110,TN
344,Meadow View Senior Living Community,Anderson,111 ACUFF LANE,49,ASSISTED CARE LIVING FACILITY,6/30/21,Clinton,37716,TN
482,Memory Assisted Living At Uplands Village,Cumberland,880 W MAIN ST,31,ASSISTED CARE LIVING FACILITY,6/30/21,Pleasant Hill,38578,TN
96,Morning Pointe Of Athens,Mcminn,1025 CRESTWAY DR,56,ASSISTED CARE LIVING FACILITY,6/30/21,Athens,37303,TN
364,Morning Pointe Of Brentwood,Williamson,1522 WILSON PIKE,80,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
137,Morning Pointe Of Chattanooga,Hamilton,7620 SHALLOWFORD RD,69,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
400,Morning Pointe Of Chattanooga At Shallowford,Hamilton,7719 SHALLOWFORD RD,90,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37421,TN
201,Morning Pointe Of Clinton,Anderson,960 S CHARLES G SEIVERS BLVD,58,ASSISTED CARE LIVING FACILITY,6/30/21,Clinton,37716,TN
273,Morning Pointe Of Collegedale At Greenbriar Cove,Hamilton,9650 LEYLAND DR,65,ASSISTED CARE LIVING FACILITY,6/30/21,Ooltewah,37363,TN
85,Morning Pointe Of Greeneville,Greene,324 MT BETHEL RD,49,ASSISTED CARE LIVING FACILITY,6/30/21,Greeneville,37745,TN
311,Morning Pointe Of Hixson,Hamilton,5501 OLD HIXSON PIKE,80,ASSISTED CARE LIVING FACILITY,6/30/21,Hixson,37343,TN
484,Morning Pointe Of Knoxville,Knox,9649 WESTLAND DR,81,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37922,TN
304,Morning Pointe Of Lenoir City,Loudon,198 MORNING POINTE DR,66,ASSISTED CARE LIVING FACILITY,6/30/21,Lenoir City,37772,TN
389,Morning Pointe Of Powell,Knox,7700 DANNAHER DR,80,ASSISTED CARE LIVING FACILITY,6/30/21,Powell,37849,TN
450,Morning Pointe Of Spring Hill,Maury,1001 MCCUTHEON CREEK LN,80,ASSISTED CARE LIVING FACILITY,6/30/21,Spring Hill,37174,TN
80,Morning Pointe Of Tullahoma,Coffee,711 KINGS LANE,56,ASSISTED CARE LIVING FACILITY,6/30/21,Tullahoma,37388,TN
97,Morningside Of Belmont,Davidson,1710 MAGNOLIA BLVD,130,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37212,TN
115,Morningside Of Cleveland,Bradley,2900 WESTSIDE DR NW,49,ASSISTED CARE LIVING FACILITY,6/30/21,Cleveland,37312,TN
91,Morningside Of Cookeville,Putnam,1010 EAST SPRING ST,84,ASSISTED CARE LIVING FACILITY,6/30/21,Cookeville,38501,TN
87,Morningside Of Franklin,Williamson,105 SUNRISE CIRCLE,49,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37067,TN
50,Morningside Of Gallatin,Sumner,1085 HARTSVILLE PIKE,49,ASSISTED CARE LIVING FACILITY,6/30/21,Gallatin,37066,TN
2,Morningside Of Jackson,Madison,1200 NORTH PARKWAY,70,ASSISTED CARE LIVING FACILITY,6/30/21,Jackson,38305,TN
30,Morningside Of Paris,Henry,350 VOLUNTEER DR,84,ASSISTED CARE LIVING FACILITY,6/30/21,Paris,38242,TN
51,Morningside Of Springfield,Robertson,205 WESTGATE DR,55,ASSISTED CARE LIVING FACILITY,6/30/21,Springfield,37172,TN
209,Morningview Village,Blount,2304 E LAMAR ALEXANDER PKWY,85,ASSISTED CARE LIVING FACILITY,6/30/21,Maryville,37804,TN
13,Mountainbrook Assisted Living,Sevier,700 MARKHILL DR,74,ASSISTED CARE LIVING FACILITY,6/30/21,Sevierville,37862,TN
196,Navion Bke Bellevue,Davidson,8118-B SAWYER BROWN RD,99,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37221,TN
128,Navion Bke Oak Ridge,Anderson,734 EMORY VALLEY RD,94,ASSISTED CARE LIVING FACILITY,6/30/21,Oak Ridge,37830,TN
84,Nhc Healthcare Dickson,Dickson,812 N CHARLOTTE ST,20,ASSISTED CARE LIVING FACILITY,6/30/21,Dickson,37055,TN
189,Nhc Healthcare Smithville,Dekalb,825 FISHER AVE,6,ASSISTED CARE LIVING FACILITY,6/30/21,Smithville,37166,TN
164,Nhc Healthcare Somerville,Fayette,308 LAKE DRIVE,12,ASSISTED CARE LIVING FACILITY,6/30/21,Somerville,38068,TN
245,Nhc Place At Cool Springs,Williamson,211 COOL SPRINGS BLVD,108,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37069,TN
447,Nhc Place At The Trace,Davidson,8353 HWY 100,99,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37221,TN
488,Nhc Place Cavette Hill,Knox,121 CAVETTE HILL LANE,64,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37934,TN
6,Nhc Place Farragut,Knox,122 CAVETT HILL LANE,124,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37934,TN
401,Nhc Place Sumner,Sumner,140 THORNE BLVD,99,ASSISTED CARE LIVING FACILITY,6/30/21,Gallatin,37066,TN
369,Northcliff Assisted Living,Henderson,14691 HIGHWAY 22 N,48,ASSISTED CARE LIVING FACILITY,6/30/21,Lexington,38351,TN
467,Northshore Senior Living,Knox,8804 S NORTHSHORE DR,74,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37922,TN
118,Oak Haven Assisted Care Living Facility,Henderson,1460 CRUCIFER ROAD,24,ASSISTED CARE LIVING FACILITY,6/30/21,Huron,38345,TN
391,Oakwood Senior Living,Knox,232 E CHURCHWELL AVE,74,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37917,TN
81,Olive Branch Assisted Living,Dickson,110 LUTHER ROAD,58,ASSISTED CARE LIVING FACILITY,6/30/21,Dickson,37055,TN
448,Opal At Music City,Davidson,2733 MCCAMPBELL AVE,115,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37214,TN
45,Parkway Cove,Tipton,805 BERT JOHNSTON,42,ASSISTED CARE LIVING FACILITY,6/30/21,Covington,38019,TN
77,Poplar Estates Retirement Center,Maury,1310 ROSEWOOD DR,58,ASSISTED CARE LIVING FACILITY,6/30/21,Columbia,38401,TN
280,Preston Place Ii,Sullivan,2303 N JOHN B DENNIS HWY,36,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
3,Preston Place Suites,Sullivan,2001 N JOHN B DENNIS HWY,66,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
486,Princeton Transitional Care & Assisted Living,Washington,401 PRINCETON ROAD,79,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37601,TN
431,Prosperity Pointe,Knox,214 PROSPERITY DR,74,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37923,TN
174,Providence Place Of Mt Juliet,Wilson,1020 CHARLIE DANIELS PKWY,55,ASSISTED CARE LIVING FACILITY,6/30/21,Mount Juliet,37122,TN
407,Quail Ridge Alzheimer'S Special Care Center,Shelby,2820 KIRBY WHITTEN PKWY,66,ASSISTED CARE LIVING FACILITY,6/30/21,Bartlett,38134,TN
361,Raintree Terrace,Knox,555 RAIN FOREST RD,72,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37923,TN
329,Red Cedar Glen,Sumner,202 WALTON FERRY RD,49,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
150,Regency House,Hamilton,2062 HAMILL RD,54,ASSISTED CARE LIVING FACILITY,6/30/21,Hixson,37343,TN
288,Regency Retirement Village,Hamblen,739 E 2ND NORTH ST,168,ASSISTED CARE LIVING FACILITY,6/30/21,Morristown,37814,TN
124,Regency Retirement Village Of Jackson,Madison,420 CHEYENNE DR,74,ASSISTED CARE LIVING FACILITY,6/30/21,Jackson,38305,TN
277,Renaissance Terrace,Knox,215 BEARDEN PLACE,50,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37917,TN
299,Richland Place Senior Living Center,Sumner,201 RICHLAND LAKE DR,64,ASSISTED CARE LIVING FACILITY,6/30/21,Portland,37148,TN
319,Ridgemont Manor #1,Shelby,3805 RIDGEMONT AVE,12,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38128,TN
312,Ridgemont Manor #2,Shelby,3815 RIDGEMONT AVE,12,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38128,TN
41,River Oaks Place,Loudon,100 FIFTH AVE,35,ASSISTED CARE LIVING FACILITY,6/30/21,Lenoir City,37771,TN
52,River Oaks Place - Loudon,Loudon,1101 GROVE ST,49,ASSISTED CARE LIVING FACILITY,6/30/21,Loudon,37774,TN
200,River Wick,Hardin,1545 FLORENCE RD,48,ASSISTED CARE LIVING FACILITY,6/30/21,Savannah,38372,TN
370,Riverdale Assisted Living Facility,Shelby,6880 EAST RAINES ROAD,96,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38115,TN
114,Riverview Terrace,Warren,114 HIGHLAND DR,42,ASSISTED CARE LIVING FACILITY,6/30/21,Mcminnville,37110,TN
373,Rockgate Assisted Living Facility,Franklin,328 CUMBERLAND ST W,17,ASSISTED CARE LIVING FACILITY,6/30/21,Cowan,37318,TN
292,Rose Of Sharon'S Senior Villa,Hamilton,5410 LEE AVENUE,28,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37410,TN
290,Schilling Gardens Assisted Living By Americare,Shelby,15 SCHILLING BEND COMMONS,78,ASSISTED CARE LIVING FACILITY,6/30/21,Collierville,38017,TN
135,Shannondale Assisted Living Center,Knox,7350 MIDDLEBROOK PIKE,49,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37909,TN
238,Shannondale Of Maryville Assisted Living Center,Blount,805 SHANNONDALE WAY,59,ASSISTED CARE LIVING FACILITY,6/30/21,Maryville,37803,TN
26,Shelby Gardens Place,Shelby,1535 APPLING CARE LANE,88,ASSISTED CARE LIVING FACILITY,6/30/21,Cordova,38018,TN
492,Sheltering Arms,Grundy,265 TURNER ROAD,8,ASSISTED CARE LIVING FACILITY,6/30/21,Palmer,37365,TN
424,Signature Lifestyles,Jefferson,129 MOSEY CREEK DR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Jefferson City,37760,TN
427,Signature Lifestyles,Hawkins,1341 E MAIN ST,60,ASSISTED CARE LIVING FACILITY,6/30/21,Rogersville,37857,TN
434,Somerby Of Franklin,Williamson,870 OAK MEADOW DR,96,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37064,TN
485,Somerfield At The Heritage,Williamson,900 HERITAGE WAY,11,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
343,Someroak Senior Living,Fayette,10790 HIGHWAY 64 W,40,ASSISTED CARE LIVING FACILITY,6/30/21,Somerville,38068,TN
514,South High Senior Living,Knox,835 TIPTON AVE,74,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37221,TN
363,Southbreeze Assisted Living,Shelby,3168 HACKS CROSS RD,88,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38125,TN
300,Southerland Place,Williamson,200 WINNERS CIRCLE S,52,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
7,Southern Care,Williamson,3595 CAROTHERS PKWY,60,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37067,TN
197,Southern Oaks,Chester,558 WHITE AVE,38,ASSISTED CARE LIVING FACILITY,6/30/21,Henderson,38340,TN
240,Springfield Heights Assisted Living Facility,Robertson,2540 SOUTH MAIN ST,50,ASSISTED CARE LIVING FACILITY,6/30/21,Springfield,37172,TN
471,Springhouse Village Of Collierville Assisted Care Living And Memory Care,Shelby,1633 WINCHESTER BLVD,124,ASSISTED CARE LIVING FACILITY,6/30/21,Collierville,38017,TN
302,Stonecrest,Macon,2861 HWY 52 BY-PASS E,28,ASSISTED CARE LIVING FACILITY,6/30/21,Lafayette,37083,TN
142,Stones River Manor,Rutherford,205 HAYNES DR,100,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37129,TN
293,Sugar Creek Retirement Center,Haywood,1169 DUPREE AVE,37,ASSISTED CARE LIVING FACILITY,6/30/21,Brownsville,38012,TN
324,Summit View,Hamilton,825 RUNYAN DRIVE,40,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37405,TN
497,Sunset Gardens,Johnson,3683 HWY 421 SOUTH,30,ASSISTED CARE LIVING FACILITY,6/30/21,Mountain City,37683,TN
291,Sweetwater Living,Monroe,245 BUTLER DR,10,ASSISTED CARE LIVING FACILITY,6/30/21,Sweetwater,37874,TN
474,Sycamore Place Alzheimer'S Special Care Center,Shelby,8722 WINCHESTER RD,66,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38125,TN
398,Sycamore Springs Senior Living Community,Carter,1504 W ELK AVE,60,ASSISTED CARE LIVING FACILITY,6/30/21,Elizabethton,37643,TN
152,Sycamore Trace,Roane,1098 BRADFORD WAY,51,ASSISTED CARE LIVING FACILITY,6/30/21,Kingston,37763,TN
39,The Arbors At Dogwood Pointe,Gibson,2080 CRAIG DR,42,ASSISTED CARE LIVING FACILITY,6/30/21,Milan,38358,TN
470,The Arbors At Springfield Heights,Robertson,2530 SOUTH MAIN STREET,22,ASSISTED CARE LIVING FACILITY,6/30/21,Springfield,37172,TN
426,The Arbors At The Etheridge House,Obion,1400 S HOME ST,32,ASSISTED CARE LIVING FACILITY,6/30/21,Union City,38261,TN
518,The Blake At Kingsport,Sullivan,915 HOLSTON HILLS DRIVE,130,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37664,TN
165,The Bridge Assisted Living At Life Care Center Of Columbia,Maury,851 W JAMES CAMPBELL BLVD,74,ASSISTED CARE LIVING FACILITY,6/30/21,Columbia,38401,TN
208,The Bridge Assisted Living At Life Care Center Of Sparta,White,508 MOSE DRIVE,60,ASSISTED CARE LIVING FACILITY,6/30/21,Sparta,38583,TN
360,The Bridge At Hickory Woods,Davidson,4220 MURFREESBORO PIKE,143,ASSISTED CARE LIVING FACILITY,6/30/21,Antioch,37013,TN
381,The Bridge At Ooltewah,Hamilton,5901 SNOW HILL RD,108,ASSISTED CARE LIVING FACILITY,6/30/21,Ooltewah,37363,TN
378,The Bridge At Rhea County,Rhea,10055 RHEA COUNTY HWY,40,ASSISTED CARE LIVING FACILITY,6/30/21,Dayton,37321,TN
346,The Courtyards Senior Living Briarcliff,Anderson,300 BRIARCLIFF AVE BLDG #1,50,ASSISTED CARE LIVING FACILITY,6/30/21,Oak Ridge,37830,TN
376,The Courtyards Senior Living Johnson City,Washington,2111 E LAKEVIEW DR,83,ASSISTED CARE LIVING FACILITY,6/30/21,Johnson City,37601,TN
445,The Courtyards Senior Living Knoxville,Knox,1029 W PARKWAY AVE,32,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37912,TN
377,The Courtyards Senior Living Knoxville 3,Knox,801 E INSKIP DR,57,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37912,TN
20,The Etheridge House,Obion,701 SHERRILL,46,ASSISTED CARE LIVING FACILITY,6/30/21,Union City,38261,TN
285,The Gardens At Providence Place,Wilson,1016 CHARLIE DANIELS PKWY,33,ASSISTED CARE LIVING FACILITY,6/30/21,Mount Juliet,37122,TN
314,The Glenmary At Evergreen,Shelby,1550 N PARKWAY,54,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38112,TN
161,The Health Center At Richland Place,Davidson,504 ELMINGTON AVE,30,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37205,TN
384,The Hearth At Franklin,Williamson,1035 FULTON GREER LANE,149,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37064,TN
286,The Lantern Alzheimer'S Center At Morning Pointe,Hamilton,9300 MESSINGER LANE,42,ASSISTED CARE LIVING FACILITY,6/30/21,Ooltewah,37363,TN
495,The Lantern At Morning Pointe Alzheimer'S Center,Knox,9647 WESTLAND DR,70,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37922,TN
507,The Lantern At Morning Pointe Alzheimer'S Center,Maury,1003 MCCUTHEON CREEK LN,52,ASSISTED CARE LIVING FACILITY,6/30/21,Spring Hill,37174,TN
362,The Lantern At Morning Pointe Alzheimer'S Center,Loudon,155 MORNING POINTE DR,49,ASSISTED CARE LIVING FACILITY,6/30/21,Lenoir City,37772,TN
502,The Lantern At Morning Pointe Of Franklin,Williamson,1015 GENERATIONS WAY,52,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37064,TN
367,The Lodge At Natchez Trace,Davidson,8207 HWY 100,122,ASSISTED CARE LIVING FACILITY,6/30/21,Nashville,37221,TN
159,The Lodge At Wood Village,Monroe,524 OLD HIGHWAY 68,36,ASSISTED CARE LIVING FACILITY,6/30/21,Sweetwater,37874,TN
307,The Maristone Of Franklin,Williamson,347 RIVERSIDE DR,72,ASSISTED CARE LIVING FACILITY,6/30/21,Franklin,37064,TN
372,The Meadows At Halltown,Sumner,711 HALLTOWN RD,21,ASSISTED CARE LIVING FACILITY,6/30/21,Portland,37148,TN
216,The Neighborhood At Tellico Village,Loudon,100 CHATUGA DRIVE W,112,ASSISTED CARE LIVING FACILITY,6/30/21,Loudon,37774,TN
480,The Pavilion Assisted Living,Wilson,1409 MEDICAL CENTER DR,74,ASSISTED CARE LIVING FACILITY,6/30/21,Lebanon,37087,TN
475,The Pinnacle On Schaeffer,Knox,10520 WATERVILLE LANE,74,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37923,TN
510,The Place At Crossfield,Sumner,111 CROSSFIELD DRIVE,11,ASSISTED CARE LIVING FACILITY,6/30/21,Hendersonville,37075,TN
131,The Pointe At Kirby Gate,Shelby,6480 QUINCE RD,60,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38119,TN
451,The Pointe At Lifespring,Knox,4371 LIFESPRING LANE,94,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37918,TN
456,The Reserve At Spring Hill,Maury,2000 RESERVE BLVD,30,ASSISTED CARE LIVING FACILITY,6/30/21,Spring Hill,37174,TN
213,The Rutherford Assisted Living,Rutherford,1658 LACASSAS PIKE,74,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37130,TN
274,The Rutherford Memory Care,Rutherford,2045 GOLD VALLEY DR,32,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37130,TN
167,The Summit Of Lawrenceburg,Lawrence,186 PROSSER RD,45,ASSISTED CARE LIVING FACILITY,6/30/21,Lawrenceburg,38464,TN
257,The Terrace At Mountain Creek,Hamilton,1005 MOUNTAIN CREEK RD,120,ASSISTED CARE LIVING FACILITY,6/30/21,Chattanooga,37405,TN
239,The Village At Allandale,Hawkins,100 STRICKLAND COURT,78,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
253,The Village At Germantown,Shelby,8020 WALKING HORSE CIR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Germantown,38138,TN
22,The Village At Primacy Place,Shelby,6015 PRIMACY PKWY,70,ASSISTED CARE LIVING FACILITY,6/30/21,Memphis,38119,TN
145,The Village Manor,Marshall,101 TIGER BLVD,58,ASSISTED CARE LIVING FACILITY,6/30/21,Lewisburg,37091,TN
498,The Village Of Murfreesboro,Rutherford,2550 WILLOWOAK TRAIL,22,ASSISTED CARE LIVING FACILITY,6/30/21,Murfreesboro,37129,TN
296,The Waterford In Smyrna,Rutherford,10540 CEDAR GROVE RD,92,ASSISTED CARE LIVING FACILITY,6/30/21,Smyrna,37167,TN
35,The Webb House Retirement Center,Dekalb,115 JENNINGS LANE,53,ASSISTED CARE LIVING FACILITY,6/30/21,Smithville,37166,TN
368,The Webb House Retirement Center Of Mcminnville,Warren,3877 MANCHESTER HWY,60,ASSISTED CARE LIVING FACILITY,6/30/21,Mcminnville,37110,TN
23,The White House Assisted Living,Macon,405 RED BOILING SPRINGS RD,30,ASSISTED CARE LIVING FACILITY,6/30/21,Lafayette,37083,TN
357,Towne Square Care Assisted Living Of Puryear,Henry,220 COLLEGE STREET,10,ASSISTED CARE LIVING FACILITY,6/30/21,Puryear,38251,TN
493,Traditions Of Mill Creek,Williamson,7110 S POINT PKWY,95,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
494,Traditions Of Smyrna,Rutherford,800 GREAT CIRCLE,110,ASSISTED CARE LIVING FACILITY,6/30/21,Smyrna,37167,TN
455,Traditions Of Spring Hill,Williamson,3056 MILES JOHNSON PKWY,97,ASSISTED CARE LIVING FACILITY,6/30/21,Spring Hill,37174,TN
522,Tree Of Life Residential Care,Grundy,293 KING ROAD,39,ASSISTED CARE LIVING FACILITY,6/30/21,Tracy City,37387,TN
284,Trinity Hills Of Knoxville,Knox,4611 ASHEVILLE HWY,109,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37914,TN
276,Trousdale Senior Living Center,Trousdale,263 W MCMURRY BLVD,36,ASSISTED CARE LIVING FACILITY,6/30/21,Hartsville,37074,TN
219,Valley View Assisted Living,Marion,101 NORTH MAPLE ST,80,ASSISTED CARE LIVING FACILITY,6/30/21,Whitwell,37397,TN
380,Vantage Pointe Village At Ashland City,Cheatham,2035 VANTAGE POINTE RD,100,ASSISTED CARE LIVING FACILITY,6/30/21,Ashland City,37015,TN
147,Victorian Square Assisted Living,Roane,241 S CHAMBERLAIN AVE,84,ASSISTED CARE LIVING FACILITY,6/30/21,Rockwood,37854,TN
48,Walking Horse Meadows,Montgomery,207 UFFELMAN DR,99,ASSISTED CARE LIVING FACILITY,6/30/21,Clarksville,37043,TN
153,Wellington Manor,Cocke,375 HEDRICK DR,60,ASSISTED CARE LIVING FACILITY,6/30/21,Newport,37821,TN
371,Wellington Place,Williamson,209 WARD CIRCLE,47,ASSISTED CARE LIVING FACILITY,6/30/21,Brentwood,37027,TN
155,Wellmont Madison House,Sullivan,2000 GREENWAY ST,29,ASSISTED CARE LIVING FACILITY,6/30/21,Kingsport,37660,TN
160,Whitehaven Assisted Care Living Facility,Robertson,403 S CHURCH ST,39,ASSISTED CARE LIVING FACILITY,6/30/21,Adams,,TN
305,Willow Springs Assisted Living & Alzheimers Care By Americare,Williamson,"1040 CAMPBELL STATION PKWY SPRING HILL, TN 37174",71,ASSISTED CARE LIVING FACILITY,6/30/21,,,TN
158,"Wilson Manor, An Inspirit Senior Living Community",Wilson,900 COLES FERRY PIKE,65,ASSISTED CARE LIVING FACILITY,6/30/21,Lebanon,37087,TN
156,Windsor Gardens Assisted Living Center,Knox,5611 CENTRAL AVE PIKE,70,ASSISTED CARE LIVING FACILITY,6/30/21,Knoxville,37912,TN
