License Number,Facility Name,County,Address,Capacity
368,"The Webb House Retirement
Center of McMinnville",Warren,"3877 Manchester Hwy
McMinnville, TN 37110",60
23,The White House Assisted Living,Macon,"405 Red Boiling Springs Rd
Lafayette, TN 37083",30
357,"Towne Square Care Assisted Living
of Puryear",Henry,"220 College Street
Puryear, TN 38251",10
493,Traditions of Mill Creek,Williamson,"7110 S Point Pkwy
Brentwood, TN 37027",95
494,Traditions of Smyrna,Rutherford,"800 Great Circle
Smyrna, TN 37167",110
455,Traditions of Spring Hill,Williamson,"3056 Miles Johnson Pkwy
Spring Hill, TN 37174",97
522,Tree of Life Residential Care,Grundy,"293 King Road
Tracy City, TN 37387",39
284,Trinity Hills of Knoxville,Knox,"4611 Asheville Hwy
Knoxville, TN 37914",109
276,Trousdale Senior Living Center,Trousdale,"263 W McMurry Blvd
Hartsville, TN 37074",36
219,Valley View Assisted Living,Marion,"101 North Maple St
Whitwell, TN 37397",80
380,"Vantage Pointe Village at Ashland
City",Cheatham,"2035 Vantage Pointe Rd
Ashland City, TN 37015",100
147,Victorian Square Assisted Living,Roane,"241 S Chamberlain Ave
Rockwood, TN 37854",84
48,Walking Horse Meadows,Montgomery,"207 Uffelman Dr
Clarksville, TN 37043",99
153,Wellington Manor,Cocke,"375 Hedrick Dr
Newport, TN 37821",60
371,Wellington Place,Williamson,"209 Ward Circle
Brentwood, TN 37027",47
155,Wellmont Madison House,Sullivan,"2000 Greenway St
Kingsport, TN 37660",29
160,"Whitehaven Assisted Care Living
Facility",Robertson,"403 S Church St
Adams, TN  37010",39
305,Willow Springs Assisted Living & Alzheimers Care by Americare,Williamson,"1040 Campbell Station Pkwy Spring Hill, TN 37174",71
158,"Wilson Manor, An Inspirit Senior
Living Community",Wilson,"900 Coles Ferry Pike
Lebanon, TN 37087",65
156,"Windsor Gardens Assisted Living
Center",Knox,"5611 Central Ave Pike
Knoxville, TN 37912",70
