Est Name,Address,City,State,Zip,Phone,License Number,Issued,Expires,AZ,Reg,FL,Total,Alzheimer,Adult Day,County
Fountainview Manor Memory Care,3432 Village Lane,Granite City,IL,62040,6189313999,5103129,09/29/18,09/29/20,46,,,46,Yes,No,Madison
Fox Point,3300 Charles Miller Road,McHenry,,60050,8153859840,5104408,10/29/18,10/29/19,,80,17,97,No,No,McHenry
Fox Point Manor,3350 Charles Miller Road,McHenry,,60050,8153859840,5104416,10/29/18,10/29/19,40,,,40,Yes,Yes,McHenry
Fox River Apartments,1016 Parker St,Olney,IL,62450,6183926168,5100554,09/12/18,09/12/19,,30,,30,No,No,Richland
Franciscan Village of Lemont,1260 Franciscan Dr,Lemont,IL,60439,6302433500,5100570,01/24/19,01/24/20,14,33,,47,Yes,No,Cook
Friendship Manor of Illinois,1209 21st Ave,Rock Island,IL,61201,3097869667,5101495,12/23/17,12/23/18,24,73,,97,Yes,No,Rock Island
Friendship Village of Schaumburg,350 W Schaumburg Rd,Schaumburg,IL,60194,8478845000,5100604,10/10/18,10/10/20,24,82,,106,Yes,No,Cook
Galena Stauss Assisted Living,200 Altenburg Dr,Galena,IL,61036,8157767375,5100612,10/29/18,10/29/19,,24,,24,No,No,Jo Daviess
Garden Place Columbia,480 DD Road,Columbia,,62236,6182814200,5106007,01/18/19,09/22/19,,,46,46,No,No,Monroe
Garden Place Millstadt,208 S. Kossuth,Millstadt,IL,62260,6184761440,5106049,09/22/18,09/22/19,,,15,15,No,No,St Clair
Garden Place Red Bud,351 Lockwood,Red Bud,IL,62278,6182827775,5106015,09/22/18,09/22/19,,,15,15,No,No,Randolph
Garden Place Waterloo,735 Columbia Ave,Waterloo,,62298,6189394900,5106031,09/22/18,09/22/19,,,20,20,No,No,Monroe
Gardens at Moweaqua (The),525 South Macon Street,Moweaqua,IL,62550,2177683951,5105231,04/01/19,04/01/21,,16,,16,No,No,Shelby
Gardens at Park Pointe (The),1550 Dupont Avenue,Morris,,60450,8155857200,5105801,11/14/18,11/14/19,15,45,,60,Yes,No,Grundy
Generations at Riverview Senior Living,500 Centennial Drive,East Peoria,,61611,3096940022,5106759,03/01/19,03/01/20,,42,,42,No,No,Tazewell
"Glenwood of Effingham, The",14061 East 1600th St.,Effingham,,62401,2173478880,5104804,02/28/18,02/28/19,,42,,42,No,No,Effingham
"Glenwood of Mahomet, The",1709 South Division Street,Mahomet,,61853,2175865100,5104796,02/28/18,02/28/20,,44,,44,No,No,Champaign
Golden Age Assisted Living,5734 S. Thurlow St,Hinsdale,IL,60521,6302461968,5201543,04/30/19,10/30/19,,4,,4,No,No,Du Page
Good Samaritan Home of Quincy,2130 Harrison St,Quincy,IL,62301,2172238717,5103772,05/15/17,05/15/19,,26,,26,No,No,Adams
Grace Point Place,5701 W 101st,Oak Lawn,IL,60453,7082903255,5106403,09/24/18,09/24/19,66,,,66,Yes,No,Cook
Grand Victorian of Rockford,3495 McFarland Road,Rockford,,61114,8156541400,5105710,07/16/18,07/16/19,,,62,62,No,No,Winnebago
Grand Victorian of Sycamore,1440 Somonauk Street,Sycamore,,60173,8158951900,5105017,04/21/19,04/21/20,,,61,61,No,No,DeKalb
Grand View Alzheimer's SCC,6210 N. University Street,Peoria,IL,61614,3093238518,5104895,04/01/19,04/01/21,38,,,38,Yes,No,Peoria
Grand View Estates,540 Pleasant St,Elizabeth,IL,61028,8158582275,5100646,05/26/18,05/26/19,,23,,23,No,No,Jo Daviess
Green House of Clark-Lindsey Village (The),101 W Windsor Rd,Urbana,,61802,2173442144,5201675,06/20/18,06/20/19,12,,,12,Yes,No,Champaign
Green Oaks Senior Living,14595 West Rockland Road,Libertyville,IL,60048,8476801205,5106098,02/13/19,02/13/20,24,48,,72,Yes,No,Lake
Greenfields of Geneva,0N801 Friendship Way,Geneva,IL,60134,6305786600,5103954,12/02/17,12/02/19,26,51,,77,Yes,No,Kane
Greentree at Mt. Vernon,208 Zackery Rd,Mt Vernon,,62864,6182445580,5106841,02/12/19,06/12/19,30,82,,112,Yes,No,Jefferson
Griggsville Estates,201 S. Oak,Griggsville,IL,62340,2178332369,5102121,09/06/17,09/06/19,,20,,20,No,No,Pike
Gurnee Manor,5631 Manchester,Gurnee,IL,60031,3125434404,5201709,02/28/19,06/28/19,,8,,8,No,No,Lake
Halina's Home Care-5th Avenue,825 N. 5th Avenue,St. Charles,IL,60174,6306700819,5201014,09/26/18,03/26/19,,5,,5,No,No,Kane
Halina's Home Care-Marion Ave,555 Marion Ave.,St. Charles,,60174,6306700819,5201667,03/27/19,07/27/19,,,,5,No,No,Kane
Harbor Chase of Long Grove,1190 Old McHenry Rd,Long Grove,IL,60047,8476134838,5106288,08/02/18,08/02/19,58,80,,138,Yes,No,Lake
Harbor Chase of Naperville,1619 N. Mill Street,Naperville,,60563,6307783475,5105603,02/13/19,02/13/20,32,69,,101,Yes,No,Du Page
Harbor Chase of Plainfield,12446 S. Van Dyke Road,Plainfield,,60585,8152673510,5104523,11/26/18,11/26/19,30,80,,110,Yes,No,Will
Harry Ekstam Assisted Living,831 N. Batavia Ave,Batavia,IL,60510,6308794300,5100794,02/07/19,02/07/20,27,35,,62,Yes,No,Kane
Hartwell Place,5520 N. Paulina St,Chicago,IL,60640,7732752400,5100653,02/13/19,02/13/20,29,,,29,Yes,No,Cook
Harvest View,100 Harvest View Lane,Herscher,IL,60941,8154262000,5103004,07/06/18,07/06/20,,,42,42,No,Yes,Kankakee
Harvester Place,150 South Frontage Road,Burr Ridge,,60527,6302301170,5105314,11/29/18,11/29/19,66,,,66,Yes,No,DuPage
Hawthorne Inn of Galesburg,2245 N. Seminary St.,Galesburg,IL,61401,3093435050,5101941,10/29/18,10/29/20,13,39,,52,Yes,No,Knox
Hawthorne Inn of Parkway,3116 Williamson County Pk.,Marion,IL,62959,6189938600,5102253,06/30/18,06/30/20,,17,,17,No,No,Williamson
Hawthorne Inn of Peoria,6906 N Stalworth Dr.,Peoria,IL,61615,3096931400,5100687,02/28/19,02/28/20,13,39,,52,Yes,No,Peoria
Hawthorne Inn of Peru,1101 31st St,Peru,IL,61354,8152242200,5100695,02/07/19,02/07/21,13,39,,52,Yes,No,LaSalle
Hawthorne Inn of Pittsfield,625 Prospect St.,Pittsfield,IL,62363,2172855200,5102295,06/27/17,06/27/19,,22,,22,No,No,Pike
Hawthorne Inn of Rochelle,2201 Flagg Rd,Rochelle,IL,61068,8155614099,5106528,10/01/18,10/01/20,,,46,46,No,No,Ogle
Hawthorne Inn of Shelbyville,1111 W. North 12th St.,Shelbyville,IL,62565,2177741020,5102246,06/06/18,06/06/20,,20,,20,No,No,Shelby
Hearthstone of Arlington Heights,800 W. Oakton St.,Arlington Heights,IL,60004,8473687300,5100729,08/25/17,08/25/19,,100,,100,No,No,Cook
Hearthstone Village,840 N. Seminary Ave,Woodstock,IL,60098,8153382110,5101859,07/12/18,07/12/19,,73,,73,No,No,McHenry
Heartis Village of Orland Park,7420 W. 159th Street,Orland Park,IL,60462,7084441231,5106262,11/26/18,11/26/19,24,72,,96,Yes,No,Cook
Heartis Village of Peoria,8201 N. IL State Route 91,Peoria,,61615,3096933960,5105595,04/08/19,04/08/20,36,72,,108,Yes,No,Peoria
Heritage House/Carthage,601 Locust St,Carthage,IL,62321,2173573651,5200180,06/24/18,06/24/19,,6,,6,No,No,Hancock
"Heritage Woods of Huntley, LLC",12450 Regency Parkway,Huntley,IL,60142,8476695185,5103251,09/26/18,09/26/19,30,81,,111,Yes,Yes,Kane
Herrin Affordable,400 Lou Ann Drive,Herrin,IL,62948,6189889540,5100810,03/19/19,03/19/20,,24,,24,No,No,Williamson
Herrin Market,400 Lou Ann Dr,Herrin,IL,62948,6189889540,5100828,03/19/19,03/19/20,,28,,28,No,No,Williamson
Hickory Estates of Taylorville,1091 E. 1500 N. Rd,Taylorville,IL,62568,2178243355,5105926,03/01/19,03/01/20,,46,,46,No,No,Christian
Hickory Point Christian Village,565 W. Marion Ave,Forsyth,IL,62535,2178721122,5102097,05/18/19,05/18/21,18,30,,48,Yes,No,Macon
Highlands at Westminster Place,3131 Simpson Street,Evanston,IL,60201,8478661605,5100745,04/10/19,04/10/20,,85,,85,No,No,Cook
Highlands of Lake Forest Place,1101 Pembridge Dr,Lake Forest,IL,60045,8476046700,5100752,09/24/18,09/24/19,,31,,31,No,No,Lake
Highview in the Woodlands,1000 Falcon Point Place,Rockton,IL,61072,8156246700,5100760,10/08/18,10/08/19,,36,,36,No,No,Winnebago
Home Care Advantage 1,646 Van Nortwick Court,Batavia,IL,60510,6306772850,5201436,08/15/18,08/15/19,,4,,4,No,No,Kane
Home Sweet Home of Arlington Hts.,207 W. Appletree Lane,Arlington Heights,,60004,8477978646,5201196,12/01/18,12/01/19,,4,,4,No,No,Cook
Hopedale Commons,221 SW Railroad St,Hopedale,IL,61747,3094496790,5100802,12/22/17,12/22/19,,45,,45,No,No,Tazewell
Imboden Creek Gardens,185 W. Imboden Dr,Decatur,IL,62521,2172331425,5100836,02/24/18,02/24/20,,46,,46,No,No,Macon
Inspirations,1000 N. 6th Ave.,St. Charles,,60174,6307122233,5201154,06/15/17,06/15/19,,6,,6,No,No,Kane
Lake Barrington Woods,22320 Classic Ct.,Lake Barrington,,60010,8478428900,5104093,01/26/19,01/26/20,,,100,100,No,No,Lake
Lakeview Memory Care Community,241 E. Lake St.,Bloomingdale,,60108,8474665183,5105728,09/17/18,09/17/19,46,,,46,Yes,Yes,Du Page
Lamoine Retirement Living (The),203 N. Randolph Street,Macomb,IL,61455,3095753018,5106676,03/16/19,03/16/20,24,22,,46,No,No,McDonough
"Landings of Carbondale, LLC (The)",2100 Reed Station Parkway,Carbondale,IL,62901,6185199600,5106056,10/30/18,10/30/19,20,71,,91,Yes,Yes,Jackson
Lavender Ridge - Jacksonville,750 W. Walnut,Jacksonville,,62650,2172438550,5104515,10/15/17,10/15/19,28,,,28,Yes,No,Morgan
Lavender Ridge - Olney,1304 N. East St.,Olney,,62450,6183924747,5105769,08/17/18,08/17/19,28,,,28,Yes,No,Richland
Lavender Ridge Inc. - Mt. Vernon,1400 S. 34th St,Mt. Vernon,IL,62864,6182424050,5103087,07/10/18,07/10/19,28,,,28,Yes,No,Jefferson
"Lexington Sq LC Lombard, LLC",555 Foxworth Blvd.,Lombard,IL,60148,6306292900,5103194,05/27/18,05/27/19,68,58,,126,Yes,No,DuPage
Lexington Sq Lifecare Elmhurst,400 W. Butterfield Rd,Elmhurst,,60126,6308325959,5103889,10/23/18,10/23/19,,38,32,70,No,No,DuPage
Liberty Court,124 Liberty Court,Dixon,,61021,8152852000,5106478,10/11/18,10/11/19,18,18,,36,Yes,No,Lee
Liberty Village of Geneseo,920 S Chicago St.,Geneseo,IL,61254,3099440460,5100885,09/26/18,09/26/20,,,30,30,No,No,Henry
Liberty Village of Streator,2322 N Eastwood Ave.,Streator,IL,61364,8156721900,5100901,09/20/17,09/20/19,,16,14,30,No,No,LaSalle
Life's Journey Mattoon II,300 South Lerna Road South,Mattoon,IL,61938,2172343003,5105918,05/22/18,05/22/19,22,,,22,Yes,No,Coles
Life's Journey SL Mattoon,300 Lerna Road South,Mattoon,,61938,2172343003,5105272,01/01/19,01/01/20,28,,,28,Yes,No,Coles
Life's Journey SL Pana,340 Illinois Route 29,Pana,,62557,2175623004,5201683,01/01/18,01/01/20,15,,,15,Yes,No,Christian
Life's Journey SL Paris,705 Kenton Avenue,Paris,,61944,2174633003,5105264,01/01/19,01/01/20,24,,,24,Yes,No,Edgar
Life's Journey SL Taylorville,920 McAdam Drive,Taylorville,,62568,2172877000,5105298,01/01/19,01/01/20,46,,,46,Yes,No,Christian
Lincolnshire Place,710 Vellagio,Sycamore,IL,60178,8158959870,5103475,06/02/18,06/02/19,40,,,40,Yes,No,DeKalb
Lincolnshire Place - Decatur,1215 W. Arbor Drive,Decatur,,62526,2178751440,5104739,03/21/18,03/21/20,40,,,40,Yes,No,Macon
Lincolnshire Place Loves Park,6617 Broadcast Parkway,Loves Park,IL,61111,8156335880,5103640,03/05/19,03/05/20,40,,,40,Yes,No,Winnebago
Lincolnwood Place,7000 N. McCormick Blvd,Lincolnwood,IL,60712,8476864739,5106692,03/30/19,03/30/20,,45,,45,No,No,Cook
Lodge at Manito (The),1303 S. East Avenue,Manito,IL,61546,3099685330,5105819,01/25/19,01/25/20,24,24,,48,Yes,No,Mason
Lombard Place Assisted Living & MC,300 West 22nd Street,Lombard,,60148,6309537472,5105199,12/11/18,06/11/19,32,61,,93,Yes,No,DuPage
Luther Center,111 W. State St,Rockford,IL,61101,8159650055,5105900,08/27/18,08/27/19,,29,,29,No,No,Winnebago
Luther Oaks Inc.,601 Lutz Rd,Bloomington,IL,61704,3096645940,5102642,02/27/18,02/27/20,18,40,,58,Yes,No,McLean
Luther Place Assisted Living,403 North 4th Street,Danforth,,60930,8152692970,5106502,12/31/17,12/31/19,,,20,20,No,No,Iroquois
Magnolia House,22 Pinewood Drive,Carbondale,IL,62901,6185199560,5201865,01/24/19,05/24/19,,8,,8,No,No,Jackson
Manteno Springs,600 N Birch St,Manteno,IL,60950,8154686896,5100943,02/13/19,02/13/20,,22,,22,No,No,Kankakee
Maple Glen Memory Care,750 S. Park Blvd,Glen Ellyn,IL,60137,6304740991,5105967,02/13/19,02/13/20,46,,,46,Yes,Yes,DuPage
Maple Grove Memory Care Red,401 South Adams,Carthage,,62321,2173578800,5201337,01/11/19,01/11/20,10,,,10,Yes,No,Hancock
Maple Grove Memory Care Silver,403 South Adams,Carthage,,62321,2173578800,5201345,01/11/19,01/11/20,10,,,10,Yes,No,Hancock
Marian Village,15624 Marian Dr,Homer Glen,IL,60491,7082263780,5100588,12/02/18,12/02/20,,27,,27,No,No,Will
Marley Oaks AL Residence,12631 W. 187th St,Mokena,IL,60448,8154855860,5201766,10/12/18,10/12/19,,10,,10,No,No,Will
Mary Lou's Country Home,11629 Maurer Rd,Buffalo,IL,62515,2175253733,5201113,06/04/18,06/04/19,,7,,7,No,Yes,Sangamon
Mather (The),425 Davis St.,Evanston,IL,60201,8474925000,5103350,07/22/18,07/22/19,12,10,,22,Yes,No,Cook
"Meadows of Franklin Grove, The",510 N. State Street,Franklin Grove,,61031,8154563000,5105157,11/08/18,11/08/19,,44,,44,No,No,Lee
"Mercy Circle
(11/25/13)",3659 West 99th Street,Chicago,IL,60655,7732533600,5104507,06/17/18,06/17/20,9,34,,43,Yes,No,Cook
Meridian Village Association,27 Auerbach Place,Glen Carbon,IL,62034,6182883700,5101701,04/25/18,04/25/20,14,54,,68,Yes,No,Madison
Mill Creek Alzheimer's SCC,3319 Ginger Creek Dr,Springfield,,62711,2177267900,5104119,07/12/18,08/31/19,38,,,38,Yes,No,Sangamon
Montgomery Place,5550 South Shore Drive,Chicago,IL,60637,7737534100,5103046,12/24/18,04/17/20,6,13,,19,Yes,No,Cook
"Moorings of Arlington Heights, LLC  (MC)",1061 S. Moorings Drive,Arlington Heights,IL,60005,8479564500,5106858,05/01/19,09/01/19,20,,,20,Yes,No,Cook
"Moorings of Arlington Heights, LLC (AL)",1071 S. Moorings Dr,Arlington Heights,IL,60005,8479564500,5106148,05/12/18,05/12/19,,73,,73,No,No,Cook
"Morning Star Village, Inc.",1160 North Mulford Road,Rockford,IL,61107,8154849500,5103202,11/20/18,11/20/19,,75,,75,No,No,Winnebago
Morningside of Godfrey,1373 D'Adrian Professional Park,Godfrey,,62035,6184677062,5105108,08/01/18,08/01/19,17,61,,78,Yes,No,Madison
Morningside of Pekin,2700 S. 14th Street,Pekin,,61544,3099294131,5105074,07/24/18,07/24/19,,61,,61,No,No,Tazewell
Morningside of Shiloh,1201 Hartman Lane,Shiloh,,62221,6184762760,5105751,04/08/18,04/08/20,,63,,63,No,No,St Clair
Morningside of Sterling,2705 Avenue E,Sterling,IL,61081,8156256601,5105116,03/01/19,03/01/20,26,61,,87,Yes,No,Whiteside
Morningside of Troy,39 Dorothy Drive,Troy,,62294,6186671342,5105744,04/08/19,04/08/20,,63,,63,No,No,Madison
Morningside of Washington,100 Grand Victorian Place,Washington,,61571,3094447400,5105082,07/27/18,07/27/19,,61,,61,No,No,Tazewell
Neighbors Next Door - Gerten 700,700 Gerten Ave,Aurora,IL,60505,6306505706,5200743,06/08/17,06/08/19,,4,,4,No,No,Kane
Neighbors Next Door - Gerten 701,701 Gerten Avenue,Aurora,IL,60505,6306505706,5200891,06/08/17,06/08/19,,4,,4,No,No,Kane
Neighbors Next Door Konen,735 Konen Avenue,Aurora,IL,60505,6306505706,5200909,06/08/17,06/08/19,,4,,4,No,No,Kane
Neighbors Next Door-Audrey,680 Audrey Ave,Aurora,IL,60505,6306505706,5200735,06/08/17,06/08/19,,4,,4,No,No,Kane
New Perspective-Silvis,1900 Tenth St.,Silvis,IL,61282,3097922800,5102444,05/03/18,05/03/20,18,43,20,81,Yes,No,Rock Island
North Shore Place,1000 Sunset Ridge Road,Northbrook,,60062,2243262600,5106163,01/01/19,01/01/20,40,116,,156,Yes,No,Cook
Northbrook Inn Memory Care,99 Pointe Drive,Northbrook,,60062,2242310690,5105512,11/30/18,05/30/19,49,,,49,Yes,Yes,Cook
Northpointe Terrace,5601 E. Rockton Rd,Roscoe,IL,61073,8155254800,5102352,04/25/18,04/25/20,,24,,24,No,No,Winnebago
Norwood Crossing,6016-20 N. Nina Ave,Chicago,IL,60631,7736314856,5103137,01/23/19,01/23/20,20,35,,55,Yes,No,Cook
Oak Park Arms,408 S. Oak Park Ave,Oak Park,IL,60302,7083864040,5100984,05/13/17,05/13/19,,47,13,60,No,No,Cook
Oakley Courts,3117 Kunkle Blvd,Freeport,IL,61032,8152335129,5100992,03/21/19,03/21/20,17,29,,46,Yes,No,Stephenson
Overlook Village Assisted,941 6th Street,Moline,IL,61265,3095584986,5106536,12/23/18,12/23/19,18,52,,70,No,No,Rock Island
Park Place Christian Community,1150 Euclid Avenue,Elmhurst,,60126,6309364100,5103913,11/12/18,11/12/19,20,46,,66,Yes,No,DuPage
Park Vista Retirement Living,1451 20th Ave,East Moline,IL,61244,3097529711,5104598,05/01/18,05/01/20,27,1,67,95,Yes,No,Rock Island
Parkway Gardens,379 Fountains Parkway,Fairview Heights,IL,62208,6186229940,5103517,01/27/19,01/27/20,,28,,28,No,Yes,St Clair
Patrician Home,1511 N. Bigelow St,Peoria,IL,61604,3096858716,5201816,05/05/18,05/05/19,,10,,10,No,No,Peoria
Peace Village,10300 Village Circle Dr,Palos Park,IL,60464,7086712470,5101065,08/19/18,08/19/19,16,49,,65,Yes,No,Cook
Pleasant Dale Place,28719 Pleasant Dale,Girard,IL,62640,2176273093,5201097,11/30/17,11/30/19,,4,,4,No,No,Macoupin
Pleasant Hill Residence,1016 W. North St.,Girard,,62640,2176279502,5104440,11/27/18,11/27/20,,,25,25,No,No,Macoupin
Pleasant View Hearthstone AL,505 College Ave,Ottawa,IL,61350,8155871001,5103681,12/29/17,12/29/19,,41,,41,No,No,LaSalle
"Plymouth Place, Inc.",315 N. LaGrange Rd,LaGrange Park,IL,60526,7084826848,5102782,05/08/18,05/08/19,26,52,,78,Yes,No,Cook
Porter Place,17833 Harlem Ave,Tinley Park,,60477,7087811050,5105488,12/02/18,12/02/19,66,,,66,Yes,No,Cook
Prairie Ridge of Galena,1 Prairie Ridge Drive,Galena,IL,61036,8152812393,5105868,12/14/18,12/14/19,14,,,14,Yes,No,Jo Daviess
Prairie View Assisted Living,500 E. McNair Rd,Winnebago,IL,61088,8153351800,5104234,04/02/19,04/02/20,,30,,30,No,No,Winnebago
Prairieview at the Garlands,6000 Garlands Lane,Barrington,,60010,8478523400,5101529,01/14/19,01/14/20,20,30,,50,Yes,No,Lake
Presence Bethlehem Woods Ret Comm,1571 W. Ogden Ave,LaGrange Park,IL,60526,7085793663,5100216,08/24/18,08/24/19,,64,,64,No,No,Cook
Presence Fox Knoll,421 N. Lake St,Aurora,IL,60506,6308440380,5101073,06/03/18,06/03/19,15,64,,79,Yes,No,Kane
Presence Heritage Lodge,995 N. Entrance Ave,Kankakee,IL,60901,8159363229,5101081,07/29/18,07/29/20,,26,,26,No,No,Kankakee
Presence Resurrection Retirement Community,7262 W. Peterson Ave,Chicago,IL,60631,7737927930,5101685,02/14/19,02/14/21,,37,,37,No,No,Cook
Primrose of Decatur,1145 W. Arbor Drive,Decatur,,62526,2178721800,5104259,04/17/19,04/17/21,,32,36,68,No,No,Macon
Providence Place,100 Faith Dr.,Highland,IL,62249,6186544600,5101099,11/26/18,11/26/19,,36,,36,No,No,Madison
R & R Country Care LLC,1026 Janet Dr,Ruma,IL,62278,6182828585,5105520,03/03/19,03/03/20,,15,,15,No,No,Randolph
Radcliff at Wood Dale (The),276 East Irving Park Rd.,Wood Dale,IL,60191,6302422988,5106080,02/12/19,02/12/20,42,73,,115,No,No,DuPage
Radford Green,960 Audubon Way,Lincolnshire,IL,60069,8478762401,5106593,03/27/19,12/03/19,19,18,,37,Yes,No,Lake
Randall Residence of Decatur,1415 W Mound Rd.,Decatur,IL,62526,2178775327,5105876,07/31/18,07/31/20,15,40,,55,Yes,No,Macon
Red Oak Estates,435 N. 16th St,Canton,IL,61520,3096472475,5101867,02/17/19,02/17/20,,43,,43,No,No,Fulton
Red Oak Memory Care,421 N 16th Ave,Canton,,61520,3096471732,5105561,12/08/18,12/08/19,24,,,24,Yes,No,Fulton
Reflections at Garden Place,710 S. Main,Columbia,IL,62236,6182813388,5106023,09/22/18,09/22/19,19,,,19,Yes,No,Monroe
Reflections Memory Care - Chatham,401 N. Park Avenue,Chatham,IL,62629,2174834490,5104648,02/17/18,02/17/20,32,,,32,Yes,Yes,Sangamon
Reflections Memory Care - Herrin,517 Rushing Drive,Carterville,IL,62918,6189882889,5104630,04/01/18,04/01/20,32,,,32,Yes,No,Williamson
Reflections Memory Care - Morton,1717 North Main,Morton,IL,61550,3093218690,5106742,03/16/19,03/16/20,32,,,32,Yes,No,Tazewell
Reflections Memory Care - Savoy,62 E. Airport Road,Savoy,,61874,2173596073,5104952,12/15/18,12/15/19,32,,,32,Yes,Yes,Champaign
Reflections Memory Care - Washington,1280 Independence Court,Washington,,61571,3095087200,5104465,09/27/18,09/27/19,32,,,32,Yes,Yes,Tazewell
Reserve of Geneva (The),2508 Kaneville Rd,Geneva,,60134,6302089188,5105785,02/20/19,02/20/20,,9,3,12,No,No,Kane
Residential Living Center Inc,608 East Illinois Highway 15,Mt. Vernon,,62864,6182449318,5105322,03/01/19,03/01/20,16,32,,48,Yes,No,Jefferson
Resthave Home of Whiteside,408 Maple Ave.,Morrison,IL,61270,8157724021,5104432,03/18/18,03/18/20,,37,,37,No,No,Whiteside
River Birch Senior Living,4016 Cockrell Lane,Springfield,IL,62711,2176984016,5200966,06/04/18,06/04/19,14,,,14,Yes,Yes,Sangamon
River Birch Senior Living,4008 Cockrell Lane,Springfield,IL,62711,2176984008,5201071,06/04/18,06/04/19,14,,,14,Yes,Yes,Sangamon
River Birch Senior Living,4012 Cockrell Lane,Springfield,IL,62711,2175470400,5200933,06/04/18,06/04/19,,14,,14,No,Yes,Sangamon
River Glen of St. Charles,975 North 5th Avenue,St. Charles,IL,60174,6304438220,5105827,04/16/18,04/16/19,15,63,,78,Yes,No,Kane
Riverside Senior Life Bourb,85 E. Burns Rd,Bourbonnais,,60914,8159353332,5104770,01/28/19,01/28/21,48,32,,80,Yes,No,Kankakee
Riverside Senior Life Community,1485 Butterfield Trail,Kankakee,IL,60901,8159330793,5100323,06/09/17,06/09/19,20,76,,96,Yes,No,Kankakee
Robin's Nest Assisted Living - 1522 Fargo,1522 Fargo Blvd,Geneva,IL,60134,6309352935,5201568,10/03/18,10/03/19,7,,,7,Yes,No,Kane
Robin's Nest Assisted Living -1101 Geneva,1101 Geneva Rd,St. Charles,,60174,6309352935,5201576,10/03/18,10/03/19,8,,,8,Yes,No,Kane
Robin's Nest Assisted Living-1819 Fargo,1819 Fargo Blvd,Geneva,IL,60134,6309352935,5201592,10/03/18,04/03/19,7,,,7,Yes,No,Kane
Rock Run Place Assisted Living,3320 Executive Drive,Joliet,,60431,8157294773,5105660,12/31/18,12/31/19,,101,,101,No,No,Will
Rock Run Place Memory Care,3315 Executive Drive,Joliet,,60431,8157252364,5105678,12/31/18,06/30/19,38,,,38,Yes,No,Will
Rolling Hills Place,3521 16th St,Zion,IL,60099,8477462147,5101107,11/21/18,11/21/19,,59,,59,No,No,Lake
Roma Home Care Inc.,13740 S. Archer Ave,Lemont,,60439,6303305644,5201261,02/27/19,02/27/20,,4,,4,No,No,Cook
Samaritan Place,6901 N. Galena Rd,Peoria,IL,61614,3096899661,5101123,12/29/17,12/29/19,,63,,63,No,No,Peoria
San Gabriel Memory Care,241 Magnolia Drive,Glen Carbon,IL,62034,6182055280,5105959,02/10/19,02/10/20,34,,,34,Yes,No,Madison
San Gabriel Memory Care,813 Lars Hoffman Crossing,Godfrey,IL,62035,6184666447,5106486,01/07/19,05/07/19,34,,,34,No,No,Madison
San Gabriel Memory Care,2509 Frank Watson Parkway,Highland,,62249,6186514444,5104911,09/14/18,09/14/19,34,,,34,Yes,No,Madison
"Selfhelp Home, Inc",908 W Argyle,Chicago,IL,60640,7732710300,5102261,01/22/19,07/22/19,,,60,60,No,No,Cook
Senior Star at Weber Place,600 S. Edward Dr,Romeoville,IL,60446,8154399955,5103319,12/26/17,12/26/19,77,,,77,Yes,No,Will
Senior Star at Weber Place-AL,605 S. Edward Dr.,Romeoville,IL,60446,8154392033,5103368,05/04/18,05/04/19,,187,18,205,No,No,Will
Serenity Assisted Living,4000 North Main Street,East Peoria,IL,61611,3092222424,5106213,08/04/18,08/04/19,18,54,,72,Yes,No,Tazewell
Serenity Villa,1 Fairview Dr,Fairbury,IL,61739,8156922572,5106361,12/17/18,12/17/19,20,,,20,No,No,Livingston
Shepherd Premier Senior Living,6809 Barnard Mill Road,Ringwood,,60072,2243336247,5201485,12/02/18,12/02/19,,7,,7,No,No,McHenry
Sheridan at Green Oaks,29330 North Waukegan Rd,Lake Bluff,IL,60044,2245346660,5105884,08/07/18,08/07/19,56,64,,120,Yes,Yes,Lake
Sheridan at Park Ridge (The),501 Busse Highway,Park Ridge,IL,60068,8476530653,5106577,03/01/19,03/01/20,36,64,,100,Yes,No,Cook
Sheridan at Tyler Creek (The),508 North McLean,Elgin,,60123,2242683268,5105629,09/08/18,09/08/19,32,64,,96,Yes,No,Kane
Silverado #550 Lake Zurich,550 America Ct,Lake Zurich,IL,60047,8473076990,5103715,07/30/18,07/30/19,16,,,16,Yes,No,Lake
Silverado #555 Lake Zurich,555 America Ct.,Lake Zurich,IL,60047,8473076990,5103723,07/30/18,07/30/19,16,,,16,Yes,No,Lake
Silverado #579 Lake Zurich,579 America Ct.,Lake Zurich,IL,60047,8473076990,5103731,07/30/18,07/30/19,16,,,16,Yes,No,Lake
Silverado #600 Lake Zurich,600 America Ct.,Lake Zurich,,60047,8473076990,5103749,07/30/18,07/30/19,16,,,16,Yes,No,Lake
Silverado Highland Park,1651 Richfield Ave,Highland Park,,60035,2247650094,5104390,03/04/19,03/04/20,62,,,62,Yes,No,Lake
Silverado Naperville,1936 Brookdale Road,Naperville,,60563,6307789221,5105645,04/06/18,04/06/19,50,,,50,Yes,No,DuPage
Silverado Orchard Park,5520 Lincoln Avenue,Morton Grove,,60053,8475839800,5104382,10/29/18,10/29/19,84,,,84,Yes,No,Cook
Silverado St. Charles,4058 E. Main Street,St. Charles,IL,60174,6307934464,5106494,12/02/18,12/02/19,55,,,55,No,No,Kane
Simple Blessings,203 E. Monroe,Casey,IL,62420,2179322603,5200750,11/15/17,11/15/19,,10,,10,No,No,Clark
Simple Comfort Retirement Home,2412 Becker Dr,Peru,IL,61354,8152233045,5200768,10/19/18,10/19/19,,6,,6,No,No,LaSalle
