Facility Name,Address,City,State,Zip Code,Phone Number,License Number,Capacity,County,Date Accessed,State Facility Type 1 Literal
Crimson Pointe,7130 CRIMSON RIDGE DR.,Rockford,IL,61107,8153987792,5103699,73,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Eastland Retirement Community,901 EASTLAND DRIVE,Auburn,IL,62615,2174389394,5105405,42,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Eberhardt Village,431 W. PALMER,Arthur,IL,61911,2175433705,5101917,37,Moultrie,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Eden Retirement Center, Inc",300 S.STATION RD,Glen Carbon,IL,62034,6182885014,5103020,124,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Elevate Saint Andrew Living,7000 N. NEWARK AVENUE,Niles,IL,60714,8476478332,5106973,59,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Elmcroft Of Wyndcrest,4817 OAK HILL ROAD,Rochester,IL,62563,2174986959,5104424,37,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Emerald Place,1879 CHESTNUT AVENUE,Glenview,IL,60025,2242069588,5106197,66,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Ems Haven Of Rest,719 S. MCKINLEY,Havana,IL,62644,3094020060,5200404,4,Mason,6/24/21,ASSISTED LIVING/SHARED HOUSING
Estates Senior Living & Spa (Ninebark),6800 NINEBARK,Springfield,IL,62712,2179713905,5201733,6,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Estates Senior Living & Spa, The",3305 COLLINGWOOD DRIVE,Springfield,IL,62711,2179713905,5201477,5,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Eve Assisted Living,10 N. WASHINGTON,Hinsdale,IL,60521,6304911000,5103756,61,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Ever-Green Manor Memory Care,8641 SOUTH SAGINAW,Chicago,IL,60617,7732034098,5201782,6,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Evergreen Place,4114 WEST SPRINGFIELD AVENUE,Champaign,IL,61822,2175304300,5106726,52,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Evergreen Place Al,801 W GREGORY ST,Normal,IL,61761,3094519355,5100497,60,Mclean,6/24/21,ASSISTED LIVING/SHARED HOUSING
Evergreen Place Senior Living - Orland Park,10820 183RD STREET,Orland Park,IL,60467,7084791082,5105439,116,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Evergreen Senior Living - Chillicothe,404 S. STILLWATER DRIVE,Chillicothe,IL,61523,3092745440,5105033,73,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Fairview Assisted Living,605 NORTH 4TH ST.,Fairbury,IL,61739,8156922572,5201857,13,Livingston,6/24/21,ASSISTED LIVING/SHARED HOUSING
Family 1St Shared Home Of Oregon,8 TERRACE VIEW BLVD,Oregon,IL,61061,8157324045,5200628,16,Ogle,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Fifth Season Res., Benton",401 N. DUQUOIN ST,Benton,IL,62812,6184396600,5101719,28,Franklin,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Fifth Season Res., Radcliffe",915 RADCLIFFE ST,Marion,IL,62959,6189932800,5100513,26,Williamson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Fountains At Crystal Lake,965 N. BRIGHTON CIRCLE,Crystal Lake,IL,60012,8154558400,5105140,135,Mchenry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Fountainview Manor Memory Care,3432 VILLAGE LANE,Granite City,IL,62040,6189313999,5103129,46,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Fox Point,3300 CHARLES MILLER ROAD,Mchenry,IL,60050,8153859840,5104408,97,Mchenry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Fox Point Manor,3350 CHARLES MILLER ROAD,Mchenry,IL,60050,8153859840,5104416,40,Mchenry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Fox River Apartments,1016 PARKER ST,Olney,IL,62450,6183926168,5100554,30,Richland,6/24/21,ASSISTED LIVING/SHARED HOUSING
Franciscan Village Of Lemont,1260 FRANCISCAN DR,Lemont,IL,60439,6302433500,5100570,47,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Friendship Manor Of Illinois,1209 21ST AVE,Rock Island,IL,61201,3097869667,5101495,97,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Friendship Village Of Schaumburg,350 W SCHAUMBURG RD,Schaumburg,IL,60194,8478845000,5100604,106,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Galena Stauss Assisted Living,200 ALTENBURG DR,Galena,IL,61036,8157767375,5100612,24,Jo Daviess,6/24/21,ASSISTED LIVING/SHARED HOUSING
Garden Place Columbia,480 DD ROAD,Columbia,IL,62236,6182814200,5106007,46,Monroe,6/24/21,ASSISTED LIVING/SHARED HOUSING
Garden Place Millstadt,208 S. KOSSUTH,Millstadt,IL,62260,6184761440,5106049,15,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Garden Place Red Bud,351 LOCKWOOD,Red Bud,IL,62278,6182827775,5106015,15,Randolph,6/24/21,ASSISTED LIVING/SHARED HOUSING
Garden Place Waterloo,735 COLUMBIA AVE,Waterloo,IL,62298,6189394900,5106031,20,Monroe,6/24/21,ASSISTED LIVING/SHARED HOUSING
Gardens At Moweaqua (The),525 SOUTH MACON STREET,Moweaqua,IL,62550,2177683951,5105231,16,Shelby,6/24/21,ASSISTED LIVING/SHARED HOUSING
Gardens At Park Pointe (The),1550 DUPONT AVENUE,Morris,IL,60450,8155857200,5105801,60,Grundy,6/24/21,ASSISTED LIVING/SHARED HOUSING
Generations At Riverview Senior Living,500 CENTENNIAL DRIVE,East Peoria,IL,61611,3096940022,5106759,42,Tazewell,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Glenwood Of Effingham, The",14061 EAST 1600TH ST.,Effingham,IL,62401,2173478880,5104804,42,Effingham,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Glenwood Of Mahomet, The",1709 SOUTH DIVISION STREET,Mahomet,IL,61853,2175865100,5104796,44,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Golden Age Assisted Living,5734 S. THURLOW ST,Hinsdale,IL,60521,6302461968,5201543,4,Du Page,6/24/21,ASSISTED LIVING/SHARED HOUSING
Good Samaritan Home Of Quincy,2130 HARRISON ST,Quincy,IL,62301,2172238717,5103772,26,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
Grace Point Place,5701 W 101ST,Oak Lawn,IL,60453,7082903255,5106403,66,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Grand Victorian Of Rockford,3495 MCFARLAND ROAD,Rockford,IL,61114,8156541400,5105710,62,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Grand Victorian Of Sycamore,1440 SOMONAUK STREET,Sycamore,IL,60173,8158951900,5105017,61,Dekalb,6/24/21,ASSISTED LIVING/SHARED HOUSING
Grand View Alzheimer'S Scc,6210 N. UNIVERSITY STREET,Peoria,IL,61614,3093238518,5104895,38,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Grand View Estates,540 PLEASANT ST,Elizabeth,IL,61028,8158582275,5100646,23,Jo Daviess,6/24/21,ASSISTED LIVING/SHARED HOUSING
Green House Of Clark-Lindsey Village (The),101 W WINDSOR RD,Urbana,IL,61802,2173442144,5201675,12,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Green Oaks Senior Living,14595 WEST ROCKLAND ROAD,Libertyville,IL,60048,8476801205,5106098,72,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Greenfields Of Geneva,0N801 FRIENDSHIP WAY,Geneva,IL,60134,6305786600,5103954,77,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Greentree At Mt. Vernon,208 ZACKERY RD,Mt Vernon,IL,62864,6182445580,5106841,112,Jefferson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Griggsville Estates,201 S. OAK,Griggsville,IL,62340,2178332369,5102121,20,Pike,6/24/21,ASSISTED LIVING/SHARED HOUSING
Gurnee Manor,5631 MANCHESTER,Gurnee,IL,60031,3125434404,5201709,8,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Halina'S Home Care-5Th Avenue,825 N. 5TH AVENUE,St. Charles,IL,60174,6306700819,5201014,5,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Halina'S Home Care-Marion Ave,555 MARION AVE.,St. Charles,IL,60174,6306700819,5201667,5,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Harbor Chase Of Long Grove,1190 OLD MCHENRY RD,Long Grove,IL,60047,8476134838,5106288,138,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Harbor Chase Of Naperville,1619 N. MILL STREET,Naperville,IL,60563,6307783475,5105603,101,Du Page,6/24/21,ASSISTED LIVING/SHARED HOUSING
Harbor Chase Of Plainfield,12446 S. VAN DYKE ROAD,Plainfield,IL,60585,8152673510,5104523,110,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Harry Ekstam Assisted Living,831 N. BATAVIA AVE,Batavia,IL,60510,6308794300,5100794,62,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hartwell Place,5520 N. PAULINA ST,Chicago,IL,60640,7732752400,5100653,29,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Harvest View,100 HARVEST VIEW LANE,Herscher,IL,60941,8154262000,5103004,42,Kankakee,6/24/21,ASSISTED LIVING/SHARED HOUSING
Harvester Place,150 SOUTH FRONTAGE ROAD,Burr Ridge,IL,60527,6302301170,5105314,66,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Galesburg,2245 N. SEMINARY ST.,Galesburg,IL,61401,3093435050,5101941,52,Knox,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Parkway,3116 WILLIAMSON COUNTY PK.,Marion,IL,62959,6189938600,5102253,17,Williamson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Peoria,6906 N STALWORTH DR.,Peoria,IL,61615,3096931400,5100687,52,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Peru,1101 31ST ST,Peru,IL,61354,8152242200,5100695,52,Lasalle,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Pittsfield,625 PROSPECT ST.,Pittsfield,IL,62363,2172855200,5102295,22,Pike,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Rochelle,2201 FLAGG RD,Rochelle,IL,61068,8155614099,5106528,46,Ogle,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hawthorne Inn Of Shelbyville,1111 W. NORTH 12TH ST.,Shelbyville,IL,62565,2177741020,5102246,20,Shelby,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hearthstone Of Arlington Heights,800 W. OAKTON ST.,Arlington Heights,IL,60004,8473687300,5100729,100,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hearthstone Village,840 N. SEMINARY AVE,Woodstock,IL,60098,8153382110,5101859,73,Mchenry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Heartis Village Of Orland Park,7420 W. 159TH STREET,Orland Park,IL,60462,7084441231,5106262,96,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Heartis Village Of Peoria,8201 N. IL STATE ROUTE 91,Peoria,IL,61615,3096933960,5105595,108,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Heritage House/Carthage,601 LOCUST ST,Carthage,IL,62321,2173573651,5200180,6,Hancock,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Heritage Woods Of Huntley, Llc",12450 REGENCY PARKWAY,Huntley,IL,60142,8476695185,5103251,111,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Herrin Affordable,400 LOU ANN DRIVE,Herrin,IL,62948,6189889540,5100810,24,Williamson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Herrin Market,400 LOU ANN DR,Herrin,IL,62948,6189889540,5100828,28,Williamson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hickory Estates Of Taylorville,1091 E. 1500 N. RD,Taylorville,IL,62568,2178243355,5105926,46,Christian,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hickory Point Christian Village,565 W. MARION AVE,Forsyth,IL,62535,2178721122,5102097,48,Macon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Highlands At Westminster Place,3131 SIMPSON STREET,Evanston,IL,60201,8478661605,5100745,85,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Highlands Of Lake Forest Place,1101 PEMBRIDGE DR,Lake Forest,IL,60045,8476046700,5100752,31,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Highview In The Woodlands,1000 FALCON POINT PLACE,Rockton,IL,61072,8156246700,5100760,36,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Home Care Advantage 1,646 VAN NORTWICK COURT,Batavia,IL,60510,6306772850,5201436,4,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Home Sweet Home Of Arlington Hts.,207 W. APPLETREE LANE,Arlington Heights,IL,60004,8477978646,5201196,4,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Hopedale Commons,221 SW RAILROAD ST,Hopedale,IL,61747,3094496790,5100802,45,Tazewell,6/24/21,ASSISTED LIVING/SHARED HOUSING
Imboden Creek Gardens,185 W. IMBODEN DR,Decatur,IL,62521,2172331425,5100836,46,Macon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Inspirations,1000 N. 6TH AVE.,St. Charles,IL,60174,6307122233,5201154,6,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lake Barrington Woods,22320 CLASSIC CT.,Lake Barrington,IL,60010,8478428900,5104093,100,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lakeview Memory Care Community,241 E. LAKE ST.,Bloomingdale,IL,60108,8474665183,5105728,46,Du Page,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lamoine Retirement Living (The),203 N. RANDOLPH STREET,Macomb,IL,61455,3095753018,5106676,46,Mcdonough,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Landings Of Carbondale, Llc (The)",2100 REED STATION PARKWAY,Carbondale,IL,62901,6185199600,5106056,91,Jackson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lavender Ridge - Jacksonville,750 W. WALNUT,Jacksonville,IL,62650,2172438550,5104515,28,Morgan,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lavender Ridge - Olney,1304 N. EAST ST.,Olney,IL,62450,6183924747,5105769,28,Richland,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lavender Ridge Inc. - Mt. Vernon,1400 S. 34TH ST,Mt. Vernon,IL,62864,6182424050,5103087,28,Jefferson,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Lexington Sq Lc Lombard, Llc",555 FOXWORTH BLVD.,Lombard,IL,60148,6306292900,5103194,126,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lexington Sq Lifecare Elmhurst,400 W. BUTTERFIELD RD,Elmhurst,IL,60126,6308325959,5103889,70,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Liberty Court,124 LIBERTY COURT,Dixon,IL,61021,8152852000,5106478,36,Lee,6/24/21,ASSISTED LIVING/SHARED HOUSING
Liberty Village Of Geneseo,920 S CHICAGO ST.,Geneseo,IL,61254,3099440460,5100885,30,Henry,6/24/21,ASSISTED LIVING/SHARED HOUSING
Liberty Village Of Streator,2322 N EASTWOOD AVE.,Streator,IL,61364,8156721900,5100901,30,Lasalle,6/24/21,ASSISTED LIVING/SHARED HOUSING
Life'S Journey Mattoon Ii,300 SOUTH LERNA ROAD SOUTH,Mattoon,IL,61938,2172343003,5105918,22,Coles,6/24/21,ASSISTED LIVING/SHARED HOUSING
Life'S Journey Sl Mattoon,300 LERNA ROAD SOUTH,Mattoon,IL,61938,2172343003,5105272,28,Coles,6/24/21,ASSISTED LIVING/SHARED HOUSING
Life'S Journey Sl Pana,340 ILLINOIS ROUTE 29,Pana,IL,62557,2175623004,5201683,15,Christian,6/24/21,ASSISTED LIVING/SHARED HOUSING
Life'S Journey Sl Paris,705 KENTON AVENUE,Paris,IL,61944,2174633003,5105264,24,Edgar,6/24/21,ASSISTED LIVING/SHARED HOUSING
Life'S Journey Sl Taylorville,920 MCADAM DRIVE,Taylorville,IL,62568,2172877000,5105298,46,Christian,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lincolnshire Place,710 VELLAGIO,Sycamore,IL,60178,8158959870,5103475,40,Dekalb,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lincolnshire Place - Decatur,1215 W. ARBOR DRIVE,Decatur,IL,62526,2178751440,5104739,40,Macon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lincolnshire Place Loves Park,6617 BROADCAST PARKWAY,Loves Park,IL,61111,8156335880,5103640,40,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lincolnwood Place,7000 N. MCCORMICK BLVD,Lincolnwood,IL,60712,8476864739,5106692,45,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lodge At Manito (The),1303 S. EAST AVENUE,Manito,IL,61546,3099685330,5105819,48,Mason,6/24/21,ASSISTED LIVING/SHARED HOUSING
Lombard Place Assisted Living & Mc,300 WEST 22ND STREET,Lombard,IL,60148,6309537472,5105199,93,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Luther Center,111 W. STATE ST,Rockford,IL,61101,8159650055,5105900,29,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Luther Oaks Inc.,601 LUTZ RD,Bloomington,IL,61704,3096645940,5102642,58,Mclean,6/24/21,ASSISTED LIVING/SHARED HOUSING
Luther Place Assisted Living,403 NORTH 4TH STREET,Danforth,IL,60930,8152692970,5106502,20,Iroquois,6/24/21,ASSISTED LIVING/SHARED HOUSING
Magnolia House,22 PINEWOOD DRIVE,Carbondale,IL,62901,6185199560,5201865,8,Jackson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Manteno Springs,600 N BIRCH ST,Manteno,IL,60950,8154686896,5100943,22,Kankakee,6/24/21,ASSISTED LIVING/SHARED HOUSING
Maple Glen Memory Care,750 S. PARK BLVD,Glen Ellyn,IL,60137,6304740991,5105967,46,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Maple Grove Memory Care Red,401 SOUTH ADAMS,Carthage,IL,62321,2173578800,5201337,10,Hancock,6/24/21,ASSISTED LIVING/SHARED HOUSING
Maple Grove Memory Care Silver,403 SOUTH ADAMS,Carthage,IL,62321,2173578800,5201345,10,Hancock,6/24/21,ASSISTED LIVING/SHARED HOUSING
Marian Village,15624 MARIAN DR,Homer Glen,IL,60491,7082263780,5100588,27,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Marley Oaks Al Residence,12631 W. 187TH ST,Mokena,IL,60448,8154855860,5201766,10,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Mary Lou'S Country Home,11629 MAURER RD,Buffalo,IL,62515,2175253733,5201113,7,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Mather (The),425 DAVIS ST.,Evanston,IL,60201,8474925000,5103350,22,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Meadows Of Franklin Grove, The",510 N. STATE STREET,Franklin Grove,IL,61031,8154563000,5105157,44,Lee,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Mercy Circle
(11/25/13)",3659 WEST 99TH STREET,Chicago,IL,60655,7732533600,5104507,43,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Meridian Village Association,27 AUERBACH PLACE,Glen Carbon,IL,62034,6182883700,5101701,68,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Mill Creek Alzheimer'S Scc,3319 GINGER CREEK DR,Springfield,IL,62711,2177267900,5104119,38,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Montgomery Place,5550 SOUTH SHORE DRIVE,Chicago,IL,60637,7737534100,5103046,19,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Moorings Of Arlington Heights, Llc  (Mc)",1061 S. MOORINGS DRIVE,Arlington Heights,IL,60005,8479564500,5106858,20,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Moorings Of Arlington Heights, Llc (Al)",1071 S. MOORINGS DR,Arlington Heights,IL,60005,8479564500,5106148,73,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Morning Star Village, Inc.",1160 NORTH MULFORD ROAD,Rockford,IL,61107,8154849500,5103202,75,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Morningside Of Godfrey,1373 D'ADRIAN PROFESSIONAL PARK,Godfrey,IL,62035,6184677062,5105108,78,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Morningside Of Pekin,2700 S. 14TH STREET,Pekin,IL,61544,3099294131,5105074,61,Tazewell,6/24/21,ASSISTED LIVING/SHARED HOUSING
Morningside Of Shiloh,1201 HARTMAN LANE,Shiloh,IL,62221,6184762760,5105751,63,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Morningside Of Sterling,2705 AVENUE E,Sterling,IL,61081,8156256601,5105116,87,Whiteside,6/24/21,ASSISTED LIVING/SHARED HOUSING
Morningside Of Troy,39 DOROTHY DRIVE,Troy,IL,62294,6186671342,5105744,63,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Morningside Of Washington,100 GRAND VICTORIAN PLACE,Washington,IL,61571,3094447400,5105082,61,Tazewell,6/24/21,ASSISTED LIVING/SHARED HOUSING
Neighbors Next Door - Gerten 700,700 GERTEN AVE,Aurora,IL,60505,6306505706,5200743,4,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Neighbors Next Door - Gerten 701,701 GERTEN AVENUE,Aurora,IL,60505,6306505706,5200891,4,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Neighbors Next Door Konen,735 KONEN AVENUE,Aurora,IL,60505,6306505706,5200909,4,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Neighbors Next Door-Audrey,680 AUDREY AVE,Aurora,IL,60505,6306505706,5200735,4,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
New Perspective-Silvis,1900 TENTH ST.,Silvis,IL,61282,3097922800,5102444,81,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
North Shore Place,1000 SUNSET RIDGE ROAD,Northbrook,IL,60062,2243262600,5106163,156,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Northbrook Inn Memory Care,99 POINTE DRIVE,Northbrook,IL,60062,2242310690,5105512,49,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Northpointe Terrace,5601 E. ROCKTON RD,Roscoe,IL,61073,8155254800,5102352,24,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Norwood Crossing,6016-20 N. NINA AVE,Chicago,IL,60631,7736314856,5103137,55,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Oak Park Arms,408 S. OAK PARK AVE,Oak Park,IL,60302,7083864040,5100984,60,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Oakley Courts,3117 KUNKLE BLVD,Freeport,IL,61032,8152335129,5100992,46,Stephenson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Overlook Village Assisted,941 6TH STREET,Moline,IL,61265,3095584986,5106536,70,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Park Place Christian Community,1150 EUCLID AVENUE,Elmhurst,IL,60126,6309364100,5103913,66,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Park Vista Retirement Living,1451 20TH AVE,East Moline,IL,61244,3097529711,5104598,95,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Parkway Gardens,379 FOUNTAINS PARKWAY,Fairview Heights,IL,62208,6186229940,5103517,28,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Patrician Home,1511 N. BIGELOW ST,Peoria,IL,61604,3096858716,5201816,10,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Peace Village,10300 VILLAGE CIRCLE DR,Palos Park,IL,60464,7086712470,5101065,65,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Pleasant Dale Place,28719 PLEASANT DALE,Girard,IL,62640,2176273093,5201097,4,Macoupin,6/24/21,ASSISTED LIVING/SHARED HOUSING
Pleasant Hill Residence,1016 W. NORTH ST.,Girard,IL,62640,2176279502,5104440,25,Macoupin,6/24/21,ASSISTED LIVING/SHARED HOUSING
Pleasant View Hearthstone Al,505 COLLEGE AVE,Ottawa,IL,61350,8155871001,5103681,41,Lasalle,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Plymouth Place, Inc.",315 N. LAGRANGE RD,Lagrange Park,IL,60526,7084826848,5102782,78,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Porter Place,17833 HARLEM AVE,Tinley Park,IL,60477,7087811050,5105488,66,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Prairie Ridge Of Galena,1 PRAIRIE RIDGE DRIVE,Galena,IL,61036,8152812393,5105868,14,Jo Daviess,6/24/21,ASSISTED LIVING/SHARED HOUSING
Prairie View Assisted Living,500 E. MCNAIR RD,Winnebago,IL,61088,8153351800,5104234,30,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Prairieview At The Garlands,6000 GARLANDS LANE,Barrington,IL,60010,8478523400,5101529,50,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Presence Bethlehem Woods Ret Comm,1571 W. OGDEN AVE,Lagrange Park,IL,60526,7085793663,5100216,64,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Presence Fox Knoll,421 N. LAKE ST,Aurora,IL,60506,6308440380,5101073,79,Kane,6/24/21,ASSISTED LIVING/SHARED HOUSING
Presence Heritage Lodge,995 N. ENTRANCE AVE,Kankakee,IL,60901,8159363229,5101081,26,Kankakee,6/24/21,ASSISTED LIVING/SHARED HOUSING
Presence Resurrection Retirement Community,7262 W. PETERSON AVE,Chicago,IL,60631,7737927930,5101685,37,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Primrose Of Decatur,1145 W. ARBOR DRIVE,Decatur,IL,62526,2178721800,5104259,68,Macon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Providence Place,100 FAITH DR.,Highland,IL,62249,6186544600,5101099,36,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
R & R Country Care Llc,1026 JANET DR,Ruma,IL,62278,6182828585,5105520,15,Randolph,6/24/21,ASSISTED LIVING/SHARED HOUSING
Radcliff At Wood Dale (The),276 EAST IRVING PARK RD.,Wood Dale,IL,60191,6302422988,5106080,115,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Radford Green,960 AUDUBON WAY,Lincolnshire,IL,60069,8478762401,5106593,37,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
Randall Residence Of Decatur,1415 W MOUND RD.,Decatur,IL,62526,2178775327,5105876,55,Macon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Red Oak Estates,435 N. 16TH ST,Canton,IL,61520,3096472475,5101867,43,Fulton,6/24/21,ASSISTED LIVING/SHARED HOUSING
Red Oak Memory Care,421 N 16TH AVE,Canton,IL,61520,3096471732,5105561,24,Fulton,6/24/21,ASSISTED LIVING/SHARED HOUSING
Reflections At Garden Place,710 S. MAIN,Columbia,IL,62236,6182813388,5106023,19,Monroe,6/24/21,ASSISTED LIVING/SHARED HOUSING
