Facility Name,Address,City,State,Zip Code,Phone Number,License Number,Capacity,County
Life's Journey SL Taylorville,920 McAdam Drive,Taylorville,IL,62568,2172877000,5105298,46,Christian
Lincolnshire Place,710 Vellagio,Sycamore,IL,60178,8158959870,5103475,40,DeKalb
Lincolnshire Place - Decatur,1215 W. Arbor Drive,Decatur,IL,62526,2178751440,5104739,40,Macon
Lincolnshire Place Loves Park,6617 Broadcast Parkway,Loves Park,IL,61111,8156335880,5103640,40,Winnebago
Lincolnwood Place,7000 N. McCormick Blvd,Lincolnwood,IL,60712,8476864739,5106692,45,Cook
Lodge at Manito (The),1303 S. East Avenue,Manito,IL,61546,3099685330,5105819,48,Mason
Lombard Place Assisted Living & MC,300 West 22nd Street,Lombard,IL,60148,6309537472,5105199,93,DuPage
Luther Center,111 W. State St,Rockford,IL,61101,8159650055,5105900,29,Winnebago
Luther Oaks Inc.,601 Lutz Rd,Bloomington,IL,61704,3096645940,5102642,58,McLean
Luther Place Assisted Living,403 North 4th Street,Danforth,IL,60930,8152692970,5106502,20,Iroquois
Magnolia House,22 Pinewood Drive,Carbondale,IL,62901,6185199560,5201865,8,Jackson
Manteno Springs,600 N Birch St,Manteno,IL,60950,8154686896,5100943,22,Kankakee
Maple Glen Memory Care,750 S. Park Blvd,Glen Ellyn,IL,60137,6304740991,5105967,46,DuPage
Maple Grove Memory Care Red,401 South Adams,Carthage,IL,62321,2173578800,5201337,10,Hancock
Maple Grove Memory Care Silver,403 South Adams,Carthage,IL,62321,2173578800,5201345,10,Hancock
Marian Village,15624 Marian Dr,Homer Glen,IL,60491,7082263780,5100588,27,Will
Marley Oaks AL Residence,12631 W. 187th St,Mokena,IL,60448,8154855860,5201766,10,Will
Mary Lou's Country Home,11629 Maurer Rd,Buffalo,IL,62515,2175253733,5201113,7,Sangamon
Mather (The),425 Davis St.,Evanston,IL,60201,8474925000,5103350,22,Cook
"Meadows of Franklin Grove, The",510 N. State Street,Franklin Grove,IL,61031,8154563000,5105157,44,Lee
"Mercy Circle
(11/25/13)",3659 West 99th Street,Chicago,IL,60655,7732533600,5104507,43,Cook
Meridian Village Association,27 Auerbach Place,Glen Carbon,IL,62034,6182883700,5101701,68,Madison
Mill Creek Alzheimer's SCC,3319 Ginger Creek Dr,Springfield,IL,62711,2177267900,5104119,38,Sangamon
Montgomery Place,5550 South Shore Drive,Chicago,IL,60637,7737534100,5103046,19,Cook
"Moorings of Arlington Heights, LLC  (MC)",1061 S. Moorings Drive,Arlington Heights,IL,60005,8479564500,5106858,20,Cook
"Moorings of Arlington Heights, LLC (AL)",1071 S. Moorings Dr,Arlington Heights,IL,60005,8479564500,5106148,73,Cook
"Morning Star Village, Inc.",1160 North Mulford Road,Rockford,IL,61107,8154849500,5103202,75,Winnebago
Morningside of Godfrey,1373 D'Adrian Professional Park,Godfrey,IL,62035,6184677062,5105108,78,Madison
Morningside of Pekin,2700 S. 14th Street,Pekin,IL,61544,3099294131,5105074,61,Tazewell
Morningside of Shiloh,1201 Hartman Lane,Shiloh,IL,62221,6184762760,5105751,63,St Clair
Morningside of Sterling,2705 Avenue E,Sterling,IL,61081,8156256601,5105116,87,Whiteside
Morningside of Troy,39 Dorothy Drive,Troy,IL,62294,6186671342,5105744,63,Madison
Morningside of Washington,100 Grand Victorian Place,Washington,IL,61571,3094447400,5105082,61,Tazewell
Neighbors Next Door - Gerten 700,700 Gerten Ave,Aurora,IL,60505,6306505706,5200743,4,Kane
Neighbors Next Door - Gerten 701,701 Gerten Avenue,Aurora,IL,60505,6306505706,5200891,4,Kane
Neighbors Next Door Konen,735 Konen Avenue,Aurora,IL,60505,6306505706,5200909,4,Kane
Neighbors Next Door-Audrey,680 Audrey Ave,Aurora,IL,60505,6306505706,5200735,4,Kane
New Perspective-Silvis,1900 Tenth St.,Silvis,IL,61282,3097922800,5102444,81,Rock Island
North Shore Place,1000 Sunset Ridge Road,Northbrook,IL,60062,2243262600,5106163,156,Cook
Northbrook Inn Memory Care,99 Pointe Drive,Northbrook,IL,60062,2242310690,5105512,49,Cook
Northpointe Terrace,5601 E. Rockton Rd,Roscoe,IL,61073,8155254800,5102352,24,Winnebago
Norwood Crossing,6016-20 N. Nina Ave,Chicago,IL,60631,7736314856,5103137,55,Cook
Oak Park Arms,408 S. Oak Park Ave,Oak Park,IL,60302,7083864040,5100984,60,Cook
Oakley Courts,3117 Kunkle Blvd,Freeport,IL,61032,8152335129,5100992,46,Stephenson
Overlook Village Assisted,941 6th Street,Moline,IL,61265,3095584986,5106536,70,Rock Island
Park Place Christian Community,1150 Euclid Avenue,Elmhurst,IL,60126,6309364100,5103913,66,DuPage
Park Vista Retirement Living,1451 20th Ave,East Moline,IL,61244,3097529711,5104598,95,Rock Island
Parkway Gardens,379 Fountains Parkway,Fairview Heights,IL,62208,6186229940,5103517,28,St Clair
Patrician Home,1511 N. Bigelow St,Peoria,IL,61604,3096858716,5201816,10,Peoria
Peace Village,10300 Village Circle Dr,Palos Park,IL,60464,7086712470,5101065,65,Cook
Pleasant Dale Place,28719 Pleasant Dale,Girard,IL,62640,2176273093,5201097,4,Macoupin
Pleasant Hill Residence,1016 W. North St.,Girard,IL,62640,2176279502,5104440,25,Macoupin
Pleasant View Hearthstone AL,505 College Ave,Ottawa,IL,61350,8155871001,5103681,41,LaSalle
"Plymouth Place, Inc.",315 N. LaGrange Rd,LaGrange Park,IL,60526,7084826848,5102782,78,Cook
Porter Place,17833 Harlem Ave,Tinley Park,IL,60477,7087811050,5105488,66,Cook
Prairie Ridge of Galena,1 Prairie Ridge Drive,Galena,IL,61036,8152812393,5105868,14,Jo Daviess
Prairie View Assisted Living,500 E. McNair Rd,Winnebago,IL,61088,8153351800,5104234,30,Winnebago
Prairieview at the Garlands,6000 Garlands Lane,Barrington,IL,60010,8478523400,5101529,50,Lake
Presence Bethlehem Woods Ret Comm,1571 W. Ogden Ave,LaGrange Park,IL,60526,7085793663,5100216,64,Cook
Presence Fox Knoll,421 N. Lake St,Aurora,IL,60506,6308440380,5101073,79,Kane
Presence Heritage Lodge,995 N. Entrance Ave,Kankakee,IL,60901,8159363229,5101081,26,Kankakee
Presence Resurrection Retirement Community,7262 W. Peterson Ave,Chicago,IL,60631,7737927930,5101685,37,Cook
Primrose of Decatur,1145 W. Arbor Drive,Decatur,IL,62526,2178721800,5104259,68,Macon
Providence Place,100 Faith Dr.,Highland,IL,62249,6186544600,5101099,36,Madison
R & R Country Care LLC,1026 Janet Dr,Ruma,IL,62278,6182828585,5105520,15,Randolph
Radcliff at Wood Dale (The),276 East Irving Park Rd.,Wood Dale,IL,60191,6302422988,5106080,115,DuPage
Radford Green,960 Audubon Way,Lincolnshire,IL,60069,8478762401,5106593,37,Lake
Randall Residence of Decatur,1415 W Mound Rd.,Decatur,IL,62526,2178775327,5105876,55,Macon
Red Oak Estates,435 N. 16th St,Canton,IL,61520,3096472475,5101867,43,Fulton
Red Oak Memory Care,421 N 16th Ave,Canton,IL,61520,3096471732,5105561,24,Fulton
Reflections at Garden Place,710 S. Main,Columbia,IL,62236,6182813388,5106023,19,Monroe
Reflections Memory Care - Chatham,401 N. Park Avenue,Chatham,IL,62629,2174834490,5104648,32,Sangamon
Reflections Memory Care - Herrin,517 Rushing Drive,Carterville,IL,62918,6189882889,5104630,32,Williamson
Reflections Memory Care - Morton,1717 North Main,Morton,IL,61550,3093218690,5106742,32,Tazewell
Reflections Memory Care - Savoy,62 E. Airport Road,Savoy,IL,61874,2173596073,5104952,32,Champaign
Reflections Memory Care - Washington,1280 Independence Court,Washington,IL,61571,3095087200,5104465,32,Tazewell
Reserve of Geneva (The),2508 Kaneville Rd,Geneva,IL,60134,6302089188,5105785,12,Kane
Residential Living Center Inc,608 East Illinois Highway 15,Mt. Vernon,IL,62864,6182449318,5105322,48,Jefferson
Resthave Home of Whiteside,408 Maple Ave.,Morrison,IL,61270,8157724021,5104432,37,Whiteside
River Birch Senior Living,4016 Cockrell Lane,Springfield,IL,62711,2176984016,5200966,14,Sangamon
River Birch Senior Living,4008 Cockrell Lane,Springfield,IL,62711,2176984008,5201071,14,Sangamon
River Birch Senior Living,4012 Cockrell Lane,Springfield,IL,62711,2175470400,5200933,14,Sangamon
River Glen of St. Charles,975 North 5th Avenue,St. Charles,IL,60174,6304438220,5105827,78,Kane
Riverside Senior Life Bourb,85 E. Burns Rd,Bourbonnais,IL,60914,8159353332,5104770,80,Kankakee
Riverside Senior Life Community,1485 Butterfield Trail,Kankakee,IL,60901,8159330793,5100323,96,Kankakee
Robin's Nest Assisted Living - 1522 Fargo,1522 Fargo Blvd,Geneva,IL,60134,6309352935,5201568,7,Kane
Robin's Nest Assisted Living -1101 Geneva,1101 Geneva Rd,St. Charles,IL,60174,6309352935,5201576,8,Kane
Robin's Nest Assisted Living-1819 Fargo,1819 Fargo Blvd,Geneva,IL,60134,6309352935,5201592,7,Kane
Rock Run Place Assisted Living,3320 Executive Drive,Joliet,IL,60431,8157294773,5105660,101,Will
Rock Run Place Memory Care,3315 Executive Drive,Joliet,IL,60431,8157252364,5105678,38,Will
Rolling Hills Place,3521 16th St,Zion,IL,60099,8477462147,5101107,59,Lake
Roma Home Care Inc.,13740 S. Archer Ave,Lemont,IL,60439,6303305644,5201261,4,Cook
Samaritan Place,6901 N. Galena Rd,Peoria,IL,61614,3096899661,5101123,63,Peoria
San Gabriel Memory Care,241 Magnolia Drive,Glen Carbon,IL,62034,6182055280,5105959,34,Madison
San Gabriel Memory Care,813 Lars Hoffman Crossing,Godfrey,IL,62035,6184666447,5106486,34,Madison
San Gabriel Memory Care,2509 Frank Watson Parkway,Highland,IL,62249,6186514444,5104911,34,Madison
"Selfhelp Home, Inc",908 W Argyle,Chicago,IL,60640,7732710300,5102261,60,Cook
Senior Star at Weber Place,600 S. Edward Dr,Romeoville,IL,60446,8154399955,5103319,77,Will
Senior Star at Weber Place-AL,605 S. Edward Dr.,Romeoville,IL,60446,8154392033,5103368,205,Will
Serenity Assisted Living,4000 North Main Street,East Peoria,IL,61611,3092222424,5106213,72,Tazewell
Serenity Villa,1 Fairview Dr,Fairbury,IL,61739,8156922572,5106361,20,Livingston
Shepherd Premier Senior Living,6809 Barnard Mill Road,Ringwood,IL,60072,2243336247,5201485,7,McHenry
Sheridan at Green Oaks,29330 North Waukegan Rd,Lake Bluff,IL,60044,2245346660,5105884,120,Lake
Sheridan at Park Ridge (The),501 Busse Highway,Park Ridge,IL,60068,8476530653,5106577,100,Cook
Sheridan at Tyler Creek (The),508 North McLean,Elgin,IL,60123,2242683268,5105629,96,Kane
Silverado #550 Lake Zurich,550 America Ct,Lake Zurich,IL,60047,8473076990,5103715,16,Lake
Silverado #555 Lake Zurich,555 America Ct.,Lake Zurich,IL,60047,8473076990,5103723,16,Lake
Silverado #579 Lake Zurich,579 America Ct.,Lake Zurich,IL,60047,8473076990,5103731,16,Lake
Silverado #600 Lake Zurich,600 America Ct.,Lake Zurich,IL,60047,8473076990,5103749,16,Lake
Silverado Highland Park,1651 Richfield Ave,Highland Park,IL,60035,2247650094,5104390,62,Lake
Silverado Naperville,1936 Brookdale Road,Naperville,IL,60563,6307789221,5105645,50,DuPage
Silverado Orchard Park,5520 Lincoln Avenue,Morton Grove,IL,60053,8475839800,5104382,84,Cook
Silverado St. Charles,4058 E. Main Street,St. Charles,IL,60174,6307934464,5106494,55,Kane
Simple Blessings,203 E. Monroe,Casey,IL,62420,2179322603,5200750,10,Clark
Simple Comfort Retirement Home,2412 Becker Dr,Peru,IL,61354,8152233045,5200768,6,LaSalle
Smith Crossing,10501 Emilie Ln,Orland Park,IL,60467,7083262326,5101677,62,Will
Smith Village,2320 W. 113th Place,Chicago,IL,60643,7734747314,5102006,82,Cook
Snyder Village Assisted Living,1115 Harbers Lane,Metamora,IL,61548,3093672500,5100950,65,Woodford
"Solana Deer Park, The",21840 W. Lake Cook Road,Deer Park,IL,60010,8475501927,5105389,84,Lake
Spring Meadows Libertyville,901 Florsheim Drive,Libertyville,IL,60048,8478169990,5103673,100,Lake
Spring Meadows Naperville,504 N River Rd,Naperville,IL,60563,6305484488,5103665,107,DuPage
Springfield Homes The Ranch,3363 Spaulding Orchard Road,Springfield,IL,62711,2176791030,5201873,5,Sangamon
"Springs at Monarch Landing, The",2308 N. Route 59,Naperville,IL,60563,6303001200,5106585,28,DuPage
Springs of Vernon Hills (The),350 South Milwaukee Ave,Vernon Hills,IL,60061,8476349300,5106254,70,Lake
"St. James Villas Wellness, Rehab Villas",1251 East Richton Road,Crete,IL,60417,7086726700,5104705,60,Will
St. Joseph Village of Chicago,4021 W. Belmont,Chicago,IL,60641,7733285500,5102030,40,Cook
"Stillwater Senior Living, LLC",1111 University Drive,Edwardsville,IL,62025,6186922273,5104903,46,Madison
Stonecroft Village Retirement Community,1700 Burlington St.,Mendota,IL,61342,8155385300,5106452,32,LaSalle
Sugar Creek Alzheimer's SCC,505 E Vernon Ave,Normal,IL,61761,3094513000,5104127,38,McLean
Summit of Uptown,10 N. Summit,Park Ridge,IL,60068,8478251161,5106569,65,Cook
Sunrise of Barrington,510 Northwest Highway,Barrington,IL,60010,8473828888,5104028,45,Lake
Sunrise of Bloomingdale,129 E Lake St.,Bloomingdale,IL,60108,6302958600,5101206,82,DuPage
Sunrise of Buffalo Grove,180 West Half Day Rd,Buffalo Grove,IL,60089,8474788484,5101214,79,Lake
Sunrise of Crystal Lake,751 E Terra Cotta Ave,Crystal Lake,IL,60014,8154446600,5101222,58,McHenry
Sunrise of Flossmoor,19715 Governor's Hwy,Flossmoor,IL,60422,7087981600,5101230,62,Cook
Sunrise of Fountain Square,2210 Fountain Square,Lombard,IL,60148,6308741405,5103343,80,DuPage
Sunrise of Gurnee,500 N. Hunt Club Rd.,Gurnee,IL,60031,8478568100,5101255,59,Lake
Sunrise of Highland Park,1601 Green Bay Road,Highland Park,IL,60035,8476811620,5104275,75,Lake
Sunrise of Lincoln Park,2710 N. Clark St,Chicago,IL,60614,7732440005,5101263,60,Cook
Sunrise of Naperville,960 E. Chicago Ave.,Naperville,IL,60540,6305791400,5101271,76,DuPage
Sunrise of Naperville North,535 W. Ogden Ave.,Naperville,IL,60563,6303059400,5101289,77,DuPage
Sunrise of Palos Park,12828 S. LaGrange Rd.,Palos Park,IL,60464,7083613577,5101297,85,Cook
Sunrise of Park Ridge,1725 Ballard Rd.,Park Ridge,IL,60068,8478241724,5101305,110,Cook
Sunrise of Schaumburg,790 N. Plum Grove Rd,Schaumburg,IL,60193,8475179700,5101313,82,Cook
Sunrise of Willowbrook,6300 Clarendon Hill Rd,Willowbrook,IL,60527,6307349954,5101321,82,DuPage
Sunrise of Wilmette,615 Ridge Rd,Wilmette,IL,60091,8472561600,5106791,28,Cook
Sunrise Villa Olympia Fields,3633 Breakers Drive,Olympia Fields,IL,60461,7087473333,5105470,31,Cook
Sunset Haven,361 N. Alfred Ave,Elgin,IL,60123,8477421448,5200669,7,Kane
Sunshine Gardens,442 Comfort Drive,Marion,IL,62959,6183640482,5105215,63,Williamson
Sycamore Village,217 Castellano Dr,Swansea,IL,62226,6182222571,5103863,109,St. Clair
Taylorville Estates Inc,705 South Houston Street,Taylorville,IL,62568,2178242222,5104473,49,Christian
Terra Vista of Oakbrook Terrace LLC,1635 D. Ardmore Avenue,Oakbrook Terrace,IL,60181,6305340886,5105207,106,DuPage
Terraces at The Clare,55 East Pearson Street,Chicago,IL,60611,3127848100,5104044,39,Cook
"Theresa's Home Care 1, LLC",6455 Cunningham Court,Gurnee,IL,60031,8475252816,5200917,5,Lake
"Theresa's Home Care II, LLC",5044 Darlene Dr,Gurnee,IL,60031,8475252816,5201063,4,Lake
"Theresa's Home Care III, LLC",402 Bonnie Brae Ave,Grayslake,IL,60030,8475252816,5201303,3,Lake
Three Crowns Park,2323 McDaniel,Evanston,IL,60201,8473288700,5102915,18,Cook
Three Oaks Assisted Living,1055 Silver Lake Rd,Cary,IL,60013,8475166016,5103947,94,McHenry
Timber Creek Village,201 Stahlhut,Lincoln,IL,62656,2176518771,5104812,40,Logan
Timber Creek Village,101 W. Sallee Street,Litchfield,IL,62056,2173132208,5106510,40,Montgomery
Timber Creek Village,1302 W Highland Ave.,Robinson,IL,62454,6185448877,5103855,39,Crawford
Timbers of Shorewood,1100 N. River Rd,Shorewood,IL,60404,8156090669,5101347,90,Will
Travanse Living at Grayslake,1865 East Belvidere Rd,Grayslake,IL,60030,8475487000,5105694,96,Lake
Travanse Living at Wheaton,219 E. Parkway Drive,Wheaton,IL,60187,6307520644,5105793,84,Du Page
Tremont Ridge Assisted Living,801 E Tremont St,Hillsboro,IL,62049,2175322733,5101354,38,Montgomery
Trenton Village LLC,980 E. Broadway,Trenton,IL,62293,6182249465,5102170,57,Clinton
United Methodist Village N. Campus,2101 James St,Lawrenceville,IL,62439,6189433444,5200974,6,Lawrence
"United Methodist Village Retirement Community, INC.",5201 Asbury Avenue,Godfrey,IL,62035,6184670191,5101362,44,Madison
Vi at The Glen,2401 Indigo Lane,Glenview,IL,60026,8479044710,5100398,36,Cook
Victorian Inn,12600 Renaissance Circle,Homer Glen,IL,60491,7083010800,5101370,60,Will
Villa Catherine AL,491 Clinton St,Carlyle,IL,62231,6185948363,5101388,18,Clinton
Village at Mercy Creek (The),1501 Mercy Creek Dr.,Normal,IL,61761,3092681501,5106684,60,McLean
Village Woods,2681 S. Route 394,Crete,IL,60417,7086726111,5101404,50,Will
Villas at St. James,14335 Jamestown Road,Breese,IL,62230,6185260100,5104663,65,Clinton
Villas of Holly Brook & Reflections Pekin,2720 S. 14th Street,Pekin,IL,61455,3092013763,5105777,86,Tazewell
Villas of Holly Brook Bethalto,312 Mechanical Drive,East Alton,IL,62024,6187170820,5106551,74,Madison
Villas of Holly Brook Bloomington Fox Creek,2016 Fox Creek Rd,Bloomington,IL,61701,3098084027,5106239,71,McLean
Villas of Holly Brook Charleston,738 18th Street,Charleston,IL,61920,2175122773,5106106,71,Coles
Villas of Holly Brook Chatham,825 East Walnut,Chatham,IL,62629,2174834655,5104564,50,Sangamon
Villas of Holly Brook Effingham,904 West Evergreen,Effingham,IL,62401,2173422345,5104572,44,Effingham
Villas of Holly Brook Gibson City,1400 N. Melvin Street,Gibson City,IL,60936,2177271082,5105223,50,Ford
Villas of Holly Brook Harrisburg,220 Ron Crank Drive,Harrisburg,IL,62946,6182529218,5105538,68,Saline
Villas of Holly Brook Herrin,505 Rushing Drive,Carterville,IL,62918,6189931997,5104580,50,Williamson
Villas of Holly Brook Marshall,17050 North Quality Lime Road,Marshall,IL,62441,2178265600,5104531,46,Clark
Villas of Holly Brook Monticello,901 Medical Center Dr,Monticello,IL,61856,2176311136,5104291,50,Piatt
Villas of Holly Brook Morton,1709 North Main Street,Morton,IL,61550,3093218393,5105173,76,Tazewell
Villas of Holly Brook Newton,101 South Gregory Dr.,Newton,IL,62448,6187834181,5104549,41,Jasper
Villas of Holly Brook Rantoul,722 Stone Bridge Center Drive,Rantoul,IL,61866,2172829854,5106312,74,Champaign
Villas of Holly Brook Savoy,68 E. Airport Road,Savoy,IL,61874,2173596224,5104945,50,Champaign
Villas of Holly Brook Shelbyville,2201 W. Main Street,Shelbyville,IL,62565,2177741040,5104556,45,Shelby
Villas of Holly Brook Towanda Barnes,1815 N. Towanda Barnes Road,Bloomington,IL,61701,3095850541,5106445,74,McLean
Villas of Holly Brook Washington,1285 Independence Court,Washington,IL,61571,3095087100,5104457,79,Tazewell
Villas of South Park,10000 South Main Street,Chatham,IL,62629,2176975415,5105447,50,Sangamon
Vines Senior Home (The),971 Bode Rd,Elgin,IL,60120,8476959600,5106122,14,Cook
Violet Lane,101 N. Violet Lane,Carbondale,IL,62901,6185199560,5200941,6,Jackson
Voyage Senior Living - Marion South,815 Mississippi Drive,Marion,IL,62959,6189933503,5104218,27,Williamson
Voyage Senior Living - Murphysboro East,5 North Shawnee Dr,Murphysboro,IL,62966,6186845818,5100299,50,Jackson
Voyage Senior Living - Murphysboro West,11 N. Shawnee Dr,Murphysboro,IL,62966,6186845818,5100281,24,Jackson
Waterford Estates,17400 S. Kedzie Ave,Hazel Crest,IL,60429,7083351600,5101412,80,Cook
Waverly Inn Memory Care Community,515 W. Rand Road,Arlington Heights,IL,60004,2242488916,5106411,60,Cook
Weinberg Community,1551 Lake Cook Rd,Deerfield,IL,60015,8473740500,5101420,165,Cook
Welbrook Bloomington Operating Co,1402 Leslie Dr,Bloomington,IL,61704,3096032500,5106387,80,McLean
Wellshire Morton Grove,8415 Waukegan Road,Morton Grove,IL,60053,8474704550,5104887,45,Cook
Westbridge Assisted Living,500 Wyndemere Circle,Wheaton,IL,60187,6306906662,5105025,82,DuPage
Westbrook Senior Living,110 W. Schaumburg Rd,Streamwood,IL,60107,6303724114,5105504,80,Cook
Westminster Village AL,2025 E. Lincoln St,Bloomington,IL,61701,3096636474,5102329,60,McLean
White Oaks at Heritage Woods of McHenry,4605 W. Crystal Lake Rd,Mc Henry,IL,60050,8153442970,5106072,40,McHenry
White Oaks at Spring Street,1300 Spring Street,South Elgin,IL,60177,8477173187,5104846,30,Kane
Willow Crossing Senior Living,809 N. Central Ave.,Addison,IL,60101,6302917500,5201790,3,DuPage
Willow Falls,1681 Willow Circle Drive,Crest Hill,IL,60403,8157255868,5105546,113,Will
Willowbrook of Effingham,100 Blohm Avenue,Effingham,IL,62401,2178210779,5200990,12,Effingham
Willowbrook of Effingham #3,104 Blohm Avenue,Effingham,IL,62401,2178210779,5201550,12,Effingham
Willowbrook of Effingham East,102 Blohm Ave,Effingham,IL,62401,2173423239,5201105,12,Effingham
Willowbrook of Marshall #1,1002 North Second St,Marshall,IL,62441,2178210779,5201741,12,Clark
Willowbrook of Marshall #2,1000 N. 2nd Street,Marshall,IL,62441,2178210779,5201840,12,Clark
Willowbrook of Savoy,404 W. Curtis,Savoy,IL,61874,2176078932,5201394,12,Champaign
Willowbrook of Savoy #2,406 W. Curtis,Savoy,IL,61874,2176007705,5201493,12,Champaign
Willowbrook of Savoy #3,408 W Curtis,Savoy,IL,61874,2178210779,5201527,12,Champaign
Willowbrook of Vandalia #1,1125 Sunset Drive,Vandalia,IL,62471,2178210779,5201808,12,Fayette
Windsor Court - Savoy,401 Burwash Ave,Savoy,IL,61874,2173511490,5102337,36,Champaign
Windsor Manor Morrison,403 Scenic Street,Morrison,IL,61270,8157724031,5104721,40,Whiteside
Windsor Park Manor,124 Windsor Park Dr,Carol Stream,IL,60188,6305105200,5101453,38,DuPage
Winn Prairie,1545 S. Forest Road,Freeport,IL,61032,8156564800,5105587,61,Stephenson
Woodlands at The British Home,3000 McCormick Ave,Brookfield,IL,60513,7084850135,5101461,73,Cook
"Woods Garden Villa, The",302 S. Main St,Lincoln,IL,62656,2177322189,5201535,12,Logan
