Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
BROOKDALE BRUSHY CREEK,2010 BRUSHY CREEK RD,GREER,SC,29650-2614,Greenville,864-244-9994, PH#: ,JDEATON@BROOKDALE.COM,,CRC-1306 / 12/31/2021,Greenville / Corporation,2010 BRUSHY CREEK RD,GREER,SC,29650-2614,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,Y,52,54,-82.28780171,34.89949366,HLRESIDENTIALCARE,382339.0035,3862653.998
BROOKDALE CENTRAL,131 VICKERY DR,CENTRAL,SC,29630-8330,Pickens,864-653-4674,"STOVALL, SHARON PH#: ",PFOARD@BROOKDALE.COM,SSTOVALL1@BROOKDALE.COM,CRC-1307 / 12/31/2021,Pickens / Limited Liability,131 VICKERY DR,CENTRAL,SC,29630-8330,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,N,52,52,-82.79112331,34.70644647,HLRESIDENTIALCARE,335966.0017,3841949.995
BROOKDALE COLUMBIA,251 SPRINGTREE DR,COLUMBIA,SC,29223-7989,Richland,803-741-2600,"SHULL, BRIAN PH#: 803-741-2600",BSHULL@BROOKDALE.COM,BSHULL@BROOKDALE.COM,CRC-1310 / 12/31/2021,Richland / Corporation,251 SPRINGTREE DR,COLUMBIA,SC,29223-7989,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,Y,52,52,-80.96166671,34.07716662,HLRESIDENTIALCARE,503536.792,3770712.776
BROOKDALE CONWAY,872 SINGLETON RIDGE RD,CONWAY,SC,29526-9166,Horry,843-347-3050, PH#: ,DKEAR@BROOKDALE.COM,,CRC-2143 / 01/31/2022,Horry / Limited Liability,,,,,BKD CONWAY SC LLC,N,N,52,,-79.017916,33.777742,HLRESIDENTIALCARE,683530.6682,3739278.275
BROOKDALE EBENEZER ROAD,1920 EBENEZER RD,ROCK HILL,SC,29732-1014,York,803-366-1189, PH#: ,MDELTORO1@BROOKDALE.COM,,CRC-1308 / 02/28/2022,York / Corporation,1920 EBENEZER RD,ROCK HILL,SC,29732-1014,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,N,52,52,-81.05020137,34.96340516,HLRESIDENTIALCARE,495417.0033,3868985.998
BROOKDALE GREENWOOD,1408 PKWY RD,GREENWOOD,SC,29646-4043,Greenwood,864-223-2281,"ROWE, PAULA PH#: ",PFOARD@BROOKDALE.COM,PFOARD@BROOKDALE.COM,CRC-1309 / 12/31/2021,Greenwood / Limited Liability,1408 PKWY RD,GREENWOOD,SC,29646-4043,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,Y,52,52,-82.15838109,34.17183273,HLRESIDENTIALCARE,393239.19,3781814.939
BROOKDALE HARBISON,51 WOODCROSS DR,COLUMBIA,SC,29212-2350,Richland,803-732-0300,"KEAR, DOUGAL PH#: 803-732-0300",DKEAR@BROOKDALE.COM,DKEAR@BROOKDALE.COM,CRC-2053 / 12/31/2021,Richland / Limited Liability,111 WESTWOOD PL STE 400,BRENTWOOD,TN,37027-5057,AHC STERLING HOUSE OF HARBISON LLC,Y,Y,52,,-81.145986,34.076896,HLRESIDENTIALCARE,486530.776,3770691.683
BROOKDALE NORTH AUGUSTA,105 N HILLS DR OFC,NORTH AUGUSTA,SC,29841-0113,Aiken,803-819-0034, PH#: ,ALARKE@BROOKDALE.COM,,CRC-1298 / 02/28/2022,Aiken / Corporation,105 N HILLS DR OFC,NORTH AUGUSTA,SC,29841-0113,BROOKDALE SENIOR LIVING COMMUNITIES INC,N,N,52,52,-81.97032074,33.50984994,HLRESIDENTIALCARE,409879.9078,3708232.594
BROOKDALE SUMTER,1180 WILSON HALL RD OFC,SUMTER,SC,29150-1741,Sumter,803-469-4508,"SCOTT, SHERRI R. PH#: 803-469-4508",SSCOTT24@BROOKDALE.COM,SSCOTT24@BROOKDALE.COM,CRC-1312 / 12/31/2021,Sumter / Corporation,1180 WILSON HALL RD OFC,SUMTER,SC,29150-1741,BROOKDALE SENIOR LIVING COMMUNITIES INC,Y,Y,52,52,-80.40103272,33.95361063,HLRESIDENTIALCARE,555343.7625,3757174.009
BROOKDALE WEST ASHLEY,2030 CHARLIE HALL BLVD,CHARLESTON,SC,29414-5830,Charleston,843-763-4055,"KING, ELIZABETH NASSIF PH#: 843-763-4055",CSTRASBURG@BROOKDALE.COM,EKING16@BROOKDALE. COM,CRC-2018 / 03/31/2022,Charleston / Limited Liability,6737 W WASHINGTON ST STE 2300,MILWAUKEE,WI,53214-5650,BKD CHARLESTON SOUTH CAROLINA LLC,Y,Y,100,,-80.041125,32.816019,HLRESIDENTIALCARE,589761.3685,3631298.133
BROOKSTONE TERRACE OF WOODRUFF LLC,80 MEDICAL CENTER DR,WOODRUFF,SC,29388-8781,Spartanburg,864-476-9100, PH#: ,GRAY.ANGELL@YAHOO.COM,,CRC-2151 / 04/30/2022,Spartanburg / Limited Liability,,,,,BROOKSTONE TERRACE OF WOODRUFF LLC,N,N,60,,-82.023185,34.746989,HLRESIDENTIALCARE,406344.4849,3845462.292
BROOKWOOD COMMUNITY RESIDENCE,181 BROOKWOOD DR,BATESBURG,SC,29006-2324,Lexington,803-532-4440,"RUFF, MURRY J., JR. PH#: 803-532-4440",SRICHARDSON@BABCOCKCENTER.ORG,JRUFF@BABCOCKCENTER.ORG,CRC-0879 / 09/30/2021,Lexington / Non-Profit Corporation,2725 BANNY JONES AVE,WEST COLUMBIA,SC,29170-2109,BABCOCK CENTER INC,N,N,8,8,-81.52968862,33.90472113,HLRESIDENTIALCARE,451029.5927,3751717.996
BTU REST HOME,113 ELLISON ST,BENNETTSVILLE,SC,29512-0352,Marlboro,843-479-9053,"CAIN, MICHAEL PH#: 843-479-9053",MICHAELCAIN94@AOL.COM,MICHAELCAIN94@AOL.COM,CRC-0235 / 09/30/2021,Marlboro / Corporation,PO BOX 352,BENNETTSVILLE,SC,29512-0352,BTU REST HOME INC,N,N,80,80,-79.70034062,34.6074514,HLRESIDENTIALCARE,619163.3132,3830279.995
BUILDERS CARE HOME,731 SIMS AVE,COLUMBIA,SC,29205-1837,Richland,803-376-8991,"RAY-HILL, ROSEMARY PH#: 803-376-8991",COLUMBIAHOMECARE73@ATT.NET,COLUMBIAHOMECARE73@ATT.NET,CRC-1491 / 04/30/2022,Richland / Non-Profit Corporation,731 SIMS AVE,COLUMBIA,SC,29205-1837,ALDERSGATE SPECIAL NEEDS MINISTRY,N,N,6,,-80.99916657,33.99930592,HLRESIDENTIALCARE,500076.9662,3762079.02
BURGESS RESIDENTIAL CARE #3,615 W EVANS ST,FLORENCE,SC,29501-3409,Florence,843-407-4901,"BURGESS, SANDY PH#: 843-407-4901",SANDYBURGESS98@YAHOO.COM,SANDYBURGESS98@YAHOO.COM,CRC-1913 / 08/31/2021,Florence / Limited Liability,PO BOX 6023,FLORENCE,SC,29502-6023,DELLAVISION LLC,N,N,9,,-79.77728287,34.19699579,HLRESIDENTIALCARE,612657.1281,3784674.507
BURGESS RESIDENTIAL CARE FACILITY,2591 S BREHENAN DR,FLORENCE,SC,29505-6203,Florence,843-665-6843, PH#: ,SANDYBURGESS98@YAHOO.COM,,CRC-0925 / 04/30/2022,Florence / Sole Proprietorship,2527 TRIPLE CROWN DR,FLORENCE,SC,29505,"BURGESS, SANDY",N,N,9,9,-79.74310702,34.15979884,HLRESIDENTIALCARE,615857.0033,3780587.998
BURGESS RESIDENTIAL CARE FACILITY #4,412 PEE DEE CHRUCH RD,DILLON,SC,29536,Dillon,843-774-0623,"MAYNOR, BEVERLY D. PH#: 843-774-0623",SANDYBURGESS98@YAHOO.COM,SANDYBURGESS98@YAHOO.COM,CRC-2046 / 10/31/2021,Dillon / Limited Liability,412 PEE DEE CHURCH RD,DILLON,SC,29536-7429,DELLAVISION LLC,N,N,30,,-79.326779,34.391711,HLRESIDENTIALCARE,653813.5078,3806858.282
CABADING HOMES #1,3431 RIVERS AVE,NORTH CHARLESTON,SC,29405-7760,Charleston,843-747-3050,"CABADING, LOLITA B. PH#: 843-745-3050",CABOOTY105@AOL.COM,CABOOTY105@AOL.COM,CRC-0394 / 07/31/2021,Charleston / Corporation,2149 DORCHESTER RD,NORTH CHARLESTON,SC,29405-7763,CABADING HOMES INC,N,N,18,18,-79.97820938,32.85605012,HLRESIDENTIALCARE,595608.2234,3635791.379
CABADING HOMES #2,3435 RIVERS AVE,NORTH CHARLESTON,SC,29405-7760,Charleston,843-566-1075,"CABADING, LOLITA B. PH#: 843-566-1075",CABOOTY105@AOL.COM,CABOOTY105@AOL.COM,CRC-0571 / 02/28/2022,Charleston / Corporation,2149 DORCHESTER RD,NORTH CHARLESTON,SC,29405-7763,CABADING HOMES INC,N,N,15,15,-79.97837946,32.85611224,HLRESIDENTIALCARE,595592.241,3635798.111
CABADING HOMES #3,2149 DORCHESTER RD,NORTH CHARLESTON,SC,29405-7763,Charleston,843-745-9182,"CABADING, ALLAN M. PH#: 843-745-9182",CABOOTY105@AOL.COM,CABOOTY105@AOL.COM,CRC-0825 / 07/31/2021,Charleston / Corporation,2149 DORCHESTER RD,NORTH CHARLESTON,SC,29405-7763,CABADING HOMES INC,N,N,25,25,-79.98012621,32.85391684,HLRESIDENTIALCARE,595431.143,3635553.139
CAMDEN I,975 WATEREE BLVD,CAMDEN,SC,29020-4134,Kershaw,803-432-0973,"WRIGHT, CRYSTAL J. PH#: 803-432-0973",C.WRIGHT@CHESCOSERVICES.ORG,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1525 / 09/30/2021,Kershaw / Sole Proprietorship,"110 PONTIAC BUSINESS CENTER DR STE C, CHESCO SERVICES",ELGIN,SC,29045,CHESCO SERVICES,N,N,8,,-80.62632662,34.24654415,HLRESIDENTIALCARE,534408.0029,3789555.996
CAMDEN II,975 WATEREE BLVD,CAMDEN,SC,29020-4134,Kershaw,803-432-1345,"WRIGHT, CRYSTAL J. PH#: 803-432-0973",C.WRIGHT@CHESCOSERVICES.ORG,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1522 / 05/31/2022,Kershaw / Sole Proprietorship,110 PONTIAC BUSINESS CENTER DR STE C,ELGIN,SC,29045,CHESCO SERVICES,N,N,8,,-80.62642702,34.24644881,HLRESIDENTIALCARE,534398.796,3789545.39
CAMP COMMUNITY RESIDENCE,1251 CAMP RD,JAMES ISLAND,SC,29412-9212,Charleston,843-795-6983, PH#: ,ETURNER@DSNCC.COM,,CRC-1371 / 01/31/2022,Charleston / State,"PO BOX 22708, DISABILITIES BOARD OF CHARLESTON COUNTY",CHARLESTON,SC,29413-2708,DISABILITIES BOARD OF CHARLESTON COUNTY,N,N,8,8,-79.9498129,32.72764523,HLRESIDENTIALCARE,598406.7133,3621581.946
CANTERFIELD OF BLUFFTON,567 N OKATIE HWY,RIDGELAND,SC,29936,Jasper,843-645-4000,"ARROYO, SHAZIA PH#: 000-000-0000",SHAZIA@CANTERFIELDOFBLUFFTON.COM,SHAZIA@CANTERFIELDOFBLUFFTON.COM,CRC-1571 / 11/30/2021,Jasper / Limited Liability,567 N OKATIE HWY,RIDGELAND,SC,29936,CANTERFIELD OF BLUFFTON LLC,Y,Y,93,,-80.93503196,32.30814302,HLRESIDENTIALCARE,506115.9674,3574593.708
CANTRELL'S RESIDENTIAL CARE FACILITY,124 GLADYS CT,SPARTANBURG,SC,29301-3701,Spartanburg,864-587-1993,"WALKER, LINDA C. PH#: 864-587-1993",WYOMINGSWITZER@ICLOUD.COM,LCWALKER428@YAHOO.COM,CRC-1105 / 06/30/2022,Spartanburg / Corporation,124 GLADYS CT,SPARTANBURG,SC,29301-3701,CANTRELL'S RESIDENTIAL CARE FACILITY INC,N,N,22,22,-81.98207561,34.92103246,HLRESIDENTIALCARE,410296.4394,3864726.032
CARE WITH LOVE,3408 LENAPE ST,NORTH CHARLESTON,SC,29405-7777,Charleston,843-744-0313, PH#: ,SHEILAPNELSON@GMAIL.COM,,CRC-2164 / 01/31/2022,Charleston / Sole Proprietorship,,,,,SHEILA NELSON,N,N,5,,-79.977828,32.855043,HLRESIDENTIALCARE,595645.102,3635680.051
CARE WITH LOVE II,2109 COMMANDER RD,NORTH CHARLESTON,SC,29405-7704,Charleston,843-718-3034,"FEILDS, HATTIE PH#: 843-425-4422",SHEILAPNELSON@GMAIL.COM,,CRC-2163 / 01/31/2022,Charleston / Sole Proprietorship,,,,,SHEILA NELSON,N,N,5,,-79.978503,32.855324,HLRESIDENTIALCARE,595581.64,3635710.614
CARLISLE PLACE,21 DR FRANK PRESSLY DR,DUE WEST,SC,29639-9705,Abbeville,864-379-2570,"WRIGHT, MALEIKA PH#: ",DLITTLE3@MINDSPRING.COM,ED@THERENAISSANCESENIORLIVING.COM,CRC-1538 / 12/31/2021,Abbeville / ,PO BOX 6384,SPARTANBURG,SC,29304-6384,THE RENAISSANCE LLC,N,N,28,,-82.39463264,34.33025767,HLRESIDENTIALCARE,371704.6125,3799655.961
CAROLINA GARDENS AT CONWAY,2310 HWY 378,CONWAY,SC,29527,Horry,843-397-1010,"FRANKS, MIRANDA PH#: 843-397-1010",MFRANKS@PRIORITYLC.COM,MIRFRANKS@PRUITTHEALTH.COM,CRC-2059 / 03/31/2022,Horry / Limited Liability,2310 HWY 378,CONWAY,SC,29527,SGS CONWAY OPCO LLC,Y,Y,100,,-79.09014295,33.84352107,HLRESIDENTIALCARE,676706.4255,3746446.696
CAROLINA GARDENS AT GARDEN CITY,11951 GRANDHAVEN DR,MURRELS INLET,SC,29576-7843,Horry,843-357-0200, PH#: ,MPIEPENBRING@PRIORITYLC.COM,,CRC-2115 / 12/31/2021,Horry / Limited Liability,,,,,VP GARDEN CITY OPCP LLC,N,N,111,,-79.024916,33.587267,HLRESIDENTIALCARE,683286.4016,3718142.508
CAROLINA GARDENS AT KATHWOOD,4520 TRENHOLM RD,COLUMBIA,SC,29206-4425,Richland,803-787-1234, PH#: ,SBARTON@PRIORITYLC.COM,,CRC-2056 / 03/31/2022,Richland / Limited Liability,4520 TRENHOLM RD,COLUMBIA,SC,29206-4425,SGS KATHWOOD OPCO LLC,N,N,100,,-80.968651,34.008255,HLRESIDENTIALCARE,502894.8445,3763071.72
CAROLINA GARDENS AT LAURENS,420 W FARLEY AVE,LAURENS,SC,29360,Laurens,864-984-9844, PH#: ,LMIMS@PRIORITYLC.COM,,CRC-2055 / 03/31/2022,Laurens / Limited Liability,420 W FARLEY AVE,LAURENS,SC,29360,SGS LAURENS OPCO LLC,N,Y,100,,-82.026632,34.489572,HLRESIDENTIALCARE,405738.4251,3816919.121
CAROLINA GARDENS AT LEXINGTON,5422 AUGUSTA RD,LEXINGTON,SC,29072-3892,Lexington,803-520-5850,"BURNS, JO BABS PH#: ; SHUFELT, BOBBIEANN PH#: ",APRILBYRD01@GMAIL.COM,BBURNS@COMFORTCARE-HOSPICE.COM,CRC-2058 / 03/31/2022,Lexington / Limited Liability,5422 AUGUSTA RD,LEXINGTON,SC,29072-3892,SGS LEXINGTON OPCO LLC,Y,Y,90,,-81.218783,33.976916,HLRESIDENTIALCARE,479790.4983,3759618.055
CAROLINA GARDENS AT ROCK HILL,1785 LEXINGTON COMMONS DR,ROCK HILL,SC,29732,York,803-207-8000,"KIMBALL, JOHNATHAN PH#: ",JKIMBALL@PRIORITYLC.COM,,CRC-2116 / 12/31/2021,York / Limited Liability,,,,,VP ROCK HILL OPCO LLC,Y,Y,90,,-80.994784,34.983962,HLRESIDENTIALCARE,500476.1867,3871264.559
CAROLINA GARDENS AT YORK,1020 N CONGRESS ST,YORK,SC,29745,York,803-684-0183, PH#: ,KMCCUIN@PRIORITYLC.COM,,CRC-2060 / 03/31/2022,York / Limited Liability,1020 N CONGRESS ST,YORK,SC,29745,SGS YORK OPCO LLC,Y,Y,143,,-81.22452841,35.00736061,HLRESIDENTIALCARE,479513.2276,3873882.357
CAROLINA PLACE,240 CHARLES ST,LAKE CITY,SC,29560-2161,Florence,843-394-5707,"UWAGBAI, LINDA G. PH#: 843-394-5707",LUWAGBAI@FCDSN.ORG,LUWAGBAI@FCDSN.ORG,CRC-1258 / 01/31/2022,Florence / State,"1211 E NATIONAL CEMETERY RD, FLORENCE COUNTY DSNB",FLORENCE,SC,29506-3240,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-79.74901319,33.87417658,HLRESIDENTIALCARE,615699.484,3748909.141
CAROLINIAN,718 S DARGAN ST,FLORENCE,SC,29506-2559,Florence,843-665-9314, PH#: ,DEBORAH.STOUFF@RHF.ORG,,CRC-0468 / 04/30/2021,Florence / Corporation,911 N STUDEBAKER RD,LONG BEACH,CA,90815-4900,FLORENCE RHF HOUSING INC,N,N,38,38,-79.76337334,34.18600778,HLRESIDENTIALCARE,613953.561,3783471.497
CARRIAGE HOUSE SENIOR LIVING OF FLORENCE,739 S PARKER DR,FLORENCE,SC,29501-6062,Florence,843-661-6655,"FLOYD, NICA PH#: ",T.BIGLER@ETCARE.BIZ,CHSLFLORENCEADM@ETCARE.BIZ,CRC-1590 / 01/31/2022,Florence / ,201 S MCPHERSON CHURCH RD STE 228,FAYETTEVILLE,NC,28301,CARRIAGE HOUSE SENIOR LIVING OF FLORENCE INC,N,N,80,,-79.82700204,34.1769165,HLRESIDENTIALCARE,608101.5414,3782394.075
CARRIAGE HOUSE SENIOR LIVING OF HARTSVILLE,1131 E HOME AVE,HARTSVILLE,SC,29550,Darlington,843-383-6990,"RUFER, KYLE PH#: ",CHSLHARTSVILLEADM@ETCARE.BIZ,,CRC-0994 / 01/31/2022,Darlington / Corporation,201 S MCPHERSON CHURCH RD STE 226,FAYETTEVILLE,NC,28303,CARRIAGE HOUSE SENIOR LIVING OF HARTSVILLE INC,N,N,60,60,-80.04588632,34.3826454,HLRESIDENTIALCARE,587714.7694,3804996.718
CARRIAGE HOUSE SENIOR LIVING OF SUMTER,431 N MAIN ST,SUMTER,SC,29150-4232,Sumter,803-773-0965,"SINGLETARY, MARY JANE PH#: 803-773-0965",CHSLSUMTERADM@ETCARE.BIZ,CHSLSUMTERADM@ETCARE.BIZ,CRC-0997 / 01/31/2022,Sumter / Corporation,PO BOX 3300,SUMTER,SC,29151-3300,CARRIAGE HOUSE OF SUMTER INC,N,N,60,60,-80.34122512,33.92884378,HLRESIDENTIALCARE,560887.6216,3754461.745
CARRIAGE HOUSE SENIOR LIVING OF TAYLORS,402 W MAIN ST,TAYLORS,SC,29687-2951,Greenville,864-292-2416,"BOUDREAU, GAIL R. PH#: ",ETCAREINC@EARTHLINK.NET,,CRC-0978 / 01/13/2022,Greenville / Corporation,201 S MCPHERSON CHURCH RD STE 226,FAYETTEVILLE,NC,28303,CARRIAGE HOUSE SENIOR LIVING OF TAYLORS INC,N,N,44,44,-82.31121919,34.91927781,HLRESIDENTIALCARE,380228.0598,3864875.923
CARSON'S COMMUNITY CARE,10219 FARROW RD,BLYTHEWOOD,SC,29016-9612,Richland,803-786-7513,"CARSON, ANNIE P. PH#: 803-786-7513",ANNIEPCARSON1@GMAIL.COM,ANNIEPEARLCARSON1@GMAIL.COM,CRC-0916 / 02/28/2022,Richland / Sole Proprietorship,217 BRIARCLIFFE W,ELGIN,SC,29045,"CARSON, JAMES E.",N,N,10,11,-80.95418868,34.15368787,HLRESIDENTIALCARE,504222.9421,3779197.745
CARTER-MAY HOME,1660 INGRAM RD,CHARLESTON,SC,29407-4242,Charleston,843-556-8314,"BAUDER, JANINE NEWELL PH#: 843-556-8314",JANINE@CHARLESTONDIOCESE.ORG,JANINE@CHARLESTONDIOCESE.ORG,CRC-0064 / 04/30/2022,Charleston / Corporation,1660 INGRAM RD,CHARLESTON,SC,29407-4242,CATHOLIC CHARITIES OF THE DIOCESE OF CHARLESTON INC,N,N,25,25,-79.99345575,32.81420687,HLRESIDENTIALCARE,594225.7624,3631138.755
CASCADES VERDAE ASSISTED LIVING,30 SPRINGCREST CT,GREENVILLE,SC,29607-4034,Greenville,864-528-5529,"JONES, GWENDOLYN PH#: ",LICENSING@CASCADES-VERDAECOM,,CRC-1490 / 04/30/2022,Greenville / Limited Liability,3530 TORINGDON WAY STE 204,CHARLOTTE,NC,28277-3436,CASCADES NURSING LLC,Y,Y,92,,-82.31828984,34.82490563,HLRESIDENTIALCARE,379444.4511,3854418.146
CASUAL COMMUNITY CARE HOME,112 GOODRICH ST,COLUMBIA,SC,29223-7725,Richland,803-788-2721,"BRIGGS, MARY E. PH#: 803-788-2721",MARYPBRIGGS1@GMAIL.COM,MARYPBRIGGS1@GMAIL.COM,CRC-0701 / 01/31/2022,Richland / Sole Proprietorship,PO BOX 121,STATE PARK,SC,29147-0121,"BRIGGS, MARY",N,N,8,9,-80.93963866,34.11785668,HLRESIDENTIALCARE,505566.5291,3775225.462
CATHERINE'S MANOR II,261 SUMMERS AVE,ORANGEBURG,SC,29115-5421,Orangeburg,803-539-0899,"CARR, GUSS, JR. PH#: 803-539-0899",EVERNECARR12@GMAIL.COM,EVERNECARR12@GMAIL.COM,CRC-1033 / 08/31/2021,Orangeburg / Sole Proprietorship,261 SUMMERS AVE,ORANGEBURG,SC,29115-5421,GUSS CARR AS PERSONAL REPRESENTATIVE OF THE ESTATE OF CATHERINE CARR,N,N,5,6,-80.86199583,33.49411725,HLRESIDENTIALCARE,512819.4411,3706075.526
CHANDLER PLACE ASSISTED LIVING & MEMORY CARE,1800 INDIA HOOK RD,ROCK HILL,SC,29732-1933,York,803-325-1144,"LAUGHLIN, AMY PH#: ",AMY.LAUGHLIN@NAVIONSL.COM,,CRC-2098 / 09/30/2021,York / Limited Liability,,,,,NAVION BKE SPRING ARBOR LLC,Y,Y,92,,-81.033073,34.963062,HLRESIDENTIALCARE,496980.7815,3868947.309
CHARLES M INGRAM SR COMMUNITY RESIDENCE,1615 STATE RD,CHERAW,SC,29520-5107,Chesterfield,843-537-5122,"TURNER, SUSAN PH#: 803-608-8703",T.CAMPBELL@CHESCOSERVICES.ORG,,CRC-1440 / 05/31/2022,Chesterfield / Sole Proprietorship,"1224 EAST BLVD, PO BOX 151",CHESTERFIELD,SC,29709-0151,CHESCO SERVICES,N,N,8,8,-79.92843518,34.69989762,HLRESIDENTIALCARE,598139.7515,3840286.149
CHESTERFIELD COMMUNITY RESIDENCE,817 E MAIN ST,CHESTERFIELD,SC,29709-1807,Chesterfield,843-623-6586,"TURNER, SUSAN PH#: 803-608-8703",T.CAMPBELL@CHESCOSERVICES.ORG,,CRC-1441 / 05/31/2022,Chesterfield / Sole Proprietorship,"1224 EAST BLVD, PO BOX 151",CHESTERFIELD,SC,29709-0151,CHESCO SERVICES,N,N,8,8,-80.100508,34.73607091,HLRESIDENTIALCARE,582344.0098,3844143.283
CLARKE HOUSE,919 SHILOH RD,SALUDA,SC,29138-8101,Saluda,864-445-8816,"CLARKE, IDORA H. PH#: 864-445-8816",THECLARKEHOUSE1988@GMAIL.COM,THECLARKEHOUSE1988@GMAIL.COM,CRC-0485 / 07/31/2021,Saluda / Sole Proprietorship,919 SHILOH RD,SALUDA,SC,29138-8101,IDORA H CLARKE,N,N,18,18,-81.78010338,34.09970285,HLRESIDENTIALCARE,428042.588,3773485.566
CLEMSON DOWNS ASSISTED LIVING,500 DOWNS LOOP,CLEMSON,SC,29631-2099,Pickens,864-654-1155,"HILL, JAMES A. PH#: ",JHILL@CLEMSONSDOWNS.COM,,CRC-1154 / 07/31/2021,Pickens / Corporation,500 DOWNS LOOP,CLEMSON,SC,29631-2099,CARC INC,Y,N,56,24,-82.79528066,34.67611739,HLRESIDENTIALCARE,335525.2118,3838592.989
CLEMSON HERITAGE LLC,140 CAMBRIDGE DR,CLEMSON,SC,29631-1208,Pickens,864-513-4105,"HOWARD, AMY PH#: 864-430-6919",AHOWARD@SSMGRP.COM,AHOWARD@SSMGRP.COM,CRC-1563 / 11/30/2021,Pickens / Limited Liability,203 OAKWOOD CT,GREENVILLE,SC,29607-5831,CLEMSON HERITAGE LLC,Y,Y,96,,-82.792248,34.69632,HLRESIDENTIALCARE,335843.084,3840828.648
CLS CARE HOME,1024 TUCKER TOWN RD STE 1024A,GADSDEN,SC,29052-9789,Richland,803-353-2151,"DOWDY-SPEARMAN, HELEN PH#: 803-353-2151",HEDOWDY52@AOL.COM,HEDOWDY52@AOL.COM,CRC-1200 / 06/30/2021,Richland / Sole Proprietorship,1024 TUCKER TOWN RD STE 1024A,GADSDEN,SC,29052-9789,CORA SCOTT,N,N,5,5,-80.69845745,33.81960008,HLRESIDENTIALCARE,527905.5787,3742194.757
COLONIAL AT OLD CAMDEN,209 BROAD ST,CAMDEN,SC,29020,Kershaw,803-272-4445,"OWENS, ALICIA J. PH#: 803-272-4445",YOLANDA.HUNTER@PHOENIXSRLIVING.COM,,CRC-2122 / 02/28/2022,Kershaw / Limited Liability,,,,,WATEREE RIVER AL LLC,Y,Y,60,,-80.606016,34.231896,HLRESIDENTIALCARE,536284.606,3787938.823
COLONIAL GARDENS ALZHEIMER'S SPECIAL CARE CENTER,3565 SUNSET BLVD,WEST COLUMBIA,SC,29169-3043,Lexington,803-796-2556,"SURRETT, DALE K. PH#: 803-796-2556",COLONIALGARDENS-ADM@JEASENIORLIVING.COM,DALE.SURRETT@JEASENIORLIVING.COM,CRC-1542 / 03/31/2022,Lexington / ,3565 SUNSET BLVD,WEST COLUMBIA,SC,29169-3043,COLUMBIA CARE GROUP LLC,Y,Y,66,,-81.13284858,34.00757119,HLRESIDENTIALCARE,487732.8063,3763003.411
COOPER HALL AT THE PALMS OF MT PLEASANT,937 BOWMAN RD OFC,MOUNT PLEASANT,SC,29464-3222,Charleston,843-884-6949,"CARR, JOSEPH J. PH#: 843-884-6949",LICENSING@5SSL.COM,,CRC-1432 / 06/30/2022,Charleston / Limited Liability,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE SG TENANT LLC,N,N,44,30,-79.85945033,32.8162139,HLRESIDENTIALCARE,606768.6781,3631488.665
COTTONWOOD VILLAS,800 W CHURCH ST,BISHOPVILLE,SC,29010-1054,Lee,803-484-5303,"GAINEY, FELICIA PH#: 803-484-5303",MARIE@LAKEFIELDPROP.COM,FELICIA@LAKEFIELDPROP.COM,CRC-1186 / 06/30/2021,Lee / Limited Liability,800 W CHURCH ST,BISHOPVILLE,SC,29010-1054,LAKEFIELD PROPERTIES LLC,Y,Y,85,71,-80.259131,34.227819,HLRESIDENTIALCARE,568235.2891,3787664.699
COUNTRY COMFORT COMMUNITY HOME,204 JOE ARTHUR CIR,BLYTHEWOOD,SC,29016-8807,Richland,803-735-9777,"COUNTS, CLIFFORD A. PH#: 803-735-9777",COUNTS_COUNTRYCOMFORT@YAHOO.COM,COUNTS_COUNTRYCOMFORT@YAHOO.COM,CRC-1467 / 02/28/2022,Richland / ,2452 ROLLING PINES RD,COLUMBIA,SC,29210,COUNTRY COMFORT HOMES LLC,N,N,9,7,-80.978063,34.20057,HLRESIDENTIALCARE,502021.1371,3784395.322
COVENANT PLACE,2825 CARTER RD OFC,SUMTER,SC,29150-1736,Sumter,803-469-7007,"LINDER, RISLEY E., SR. PH#: 803-469-7007",RLINDER@COVENANTPLACE.ORG,RLINDER@COVENANTPLACE.ORG,CRC-0758 / 03/31/2022,Sumter / Non-Profit Corporation,2825 CARTER RD OFC,SUMTER,SC,29150-1736,COVENANT PLACE OF SUMTER INC,Y,Y,70,70,-80.40652955,33.95482153,HLRESIDENTIALCARE,554835.0789,3757305.321
