Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
CARRIAGE HOUSE SENIOR LIVING OF SUMTER,431 N MAIN ST,SUMTER,SC,29150-4232,Sumter,803-773-0965,CHSLSUMTERADM@ETCARE.BIZ,CRC-0997 / 01/31/2022,Sumter / Corporation,CARRIAGE HOUSE OF SUMTER INC,60,-80.34122512,33.92884378
CARRIAGE HOUSE SENIOR LIVING OF TAYLORS,402 W MAIN ST,TAYLORS,SC,29687-2951,Greenville,864-292-2416,ETCAREINC@EARTHLINK.NET,CRC-0978 / 01/13/2022,Greenville / Corporation,CARRIAGE HOUSE SENIOR LIVING OF TAYLORS INC,44,-82.31121919,34.91927781
CARSON'S COMMUNITY CARE,10219 FARROW RD,BLYTHEWOOD,SC,29016-9612,Richland,803-786-7513,ANNIEPCARSON1@GMAIL.COM,CRC-0916 / 02/28/2022,Richland / Sole Proprietorship,"CARSON, JAMES E.",10,-80.95418868,34.15368787
CARTER-MAY HOME,1660 INGRAM RD,CHARLESTON,SC,29407-4242,Charleston,843-556-8314,JANINE@CHARLESTONDIOCESE.ORG,CRC-0064 / 04/30/2022,Charleston / Corporation,CATHOLIC CHARITIES OF THE DIOCESE OF CHARLESTON INC,25,-79.99345575,32.81420687
CASCADES VERDAE ASSISTED LIVING,30 SPRINGCREST CT,GREENVILLE,SC,29607-4034,Greenville,864-528-5529,LICENSING@CASCADES-VERDAECOM,CRC-1490 / 04/30/2022,Greenville / Limited Liability,CASCADES NURSING LLC,92,-82.31828984,34.82490563
CASUAL COMMUNITY CARE HOME,112 GOODRICH ST,COLUMBIA,SC,29223-7725,Richland,803-788-2721,MARYPBRIGGS1@GMAIL.COM,CRC-0701 / 01/31/2022,Richland / Sole Proprietorship,"BRIGGS, MARY",8,-80.93963866,34.11785668
CATHERINE'S MANOR II,261 SUMMERS AVE,ORANGEBURG,SC,29115-5421,Orangeburg,803-539-0899,EVERNECARR12@GMAIL.COM,CRC-1033 / 08/31/2021,Orangeburg / Sole Proprietorship,GUSS CARR AS PERSONAL REPRESENTATIVE OF THE ESTATE OF CATHERINE CARR,5,-80.86199583,33.49411725
CHANDLER PLACE ASSISTED LIVING & MEMORY CARE,1800 INDIA HOOK RD,ROCK HILL,SC,29732-1933,York,803-325-1144,AMY.LAUGHLIN@NAVIONSL.COM,CRC-2098 / 09/30/2021,York / Limited Liability,NAVION BKE SPRING ARBOR LLC,92,-81.033073,34.963062
CHARLES M INGRAM SR COMMUNITY RESIDENCE,1615 STATE RD,CHERAW,SC,29520-5107,Chesterfield,843-537-5122,T.CAMPBELL@CHESCOSERVICES.ORG,CRC-1440 / 05/31/2022,Chesterfield / Sole Proprietorship,CHESCO SERVICES,8,-79.92843518,34.69989762
CHESTERFIELD COMMUNITY RESIDENCE,817 E MAIN ST,CHESTERFIELD,SC,29709-1807,Chesterfield,843-623-6586,T.CAMPBELL@CHESCOSERVICES.ORG,CRC-1441 / 05/31/2022,Chesterfield / Sole Proprietorship,CHESCO SERVICES,8,-80.100508,34.73607091
CLARKE HOUSE,919 SHILOH RD,SALUDA,SC,29138-8101,Saluda,864-445-8816,THECLARKEHOUSE1988@GMAIL.COM,CRC-0485 / 07/31/2021,Saluda / Sole Proprietorship,IDORA H CLARKE,18,-81.78010338,34.09970285
CLEMSON DOWNS ASSISTED LIVING,500 DOWNS LOOP,CLEMSON,SC,29631-2099,Pickens,864-654-1155,JHILL@CLEMSONSDOWNS.COM,CRC-1154 / 07/31/2021,Pickens / Corporation,CARC INC,56,-82.79528066,34.67611739
CLEMSON HERITAGE LLC,140 CAMBRIDGE DR,CLEMSON,SC,29631-1208,Pickens,864-513-4105,AHOWARD@SSMGRP.COM,CRC-1563 / 11/30/2021,Pickens / Limited Liability,CLEMSON HERITAGE LLC,96,-82.792248,34.69632
CLS CARE HOME,1024 TUCKER TOWN RD STE 1024A,GADSDEN,SC,29052-9789,Richland,803-353-2151,HEDOWDY52@AOL.COM,CRC-1200 / 06/30/2021,Richland / Sole Proprietorship,CORA SCOTT,5,-80.69845745,33.81960008
COLONIAL AT OLD CAMDEN,209 BROAD ST,CAMDEN,SC,29020,Kershaw,803-272-4445,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-2122 / 02/28/2022,Kershaw / Limited Liability,WATEREE RIVER AL LLC,60,-80.606016,34.231896
COLONIAL GARDENS ALZHEIMER'S SPECIAL CARE CENTER,3565 SUNSET BLVD,WEST COLUMBIA,SC,29169-3043,Lexington,803-796-2556,COLONIALGARDENS-ADM@JEASENIORLIVING.COM,CRC-1542 / 03/31/2022,Lexington / ,COLUMBIA CARE GROUP LLC,66,-81.13284858,34.00757119
COOPER HALL AT THE PALMS OF MT PLEASANT,937 BOWMAN RD OFC,MOUNT PLEASANT,SC,29464-3222,Charleston,843-884-6949,LICENSING@5SSL.COM,CRC-1432 / 06/30/2022,Charleston / Limited Liability,SNH SE SG TENANT LLC,44,-79.85945033,32.8162139
COTTONWOOD VILLAS,800 W CHURCH ST,BISHOPVILLE,SC,29010-1054,Lee,803-484-5303,MARIE@LAKEFIELDPROP.COM,CRC-1186 / 06/30/2021,Lee / Limited Liability,LAKEFIELD PROPERTIES LLC,85,-80.259131,34.227819
COUNTRY COMFORT COMMUNITY HOME,204 JOE ARTHUR CIR,BLYTHEWOOD,SC,29016-8807,Richland,803-735-9777,COUNTS_COUNTRYCOMFORT@YAHOO.COM,CRC-1467 / 02/28/2022,Richland / ,COUNTRY COMFORT HOMES LLC,9,-80.978063,34.20057
COVENANT PLACE,2825 CARTER RD OFC,SUMTER,SC,29150-1736,Sumter,803-469-7007,RLINDER@COVENANTPLACE.ORG,CRC-0758 / 03/31/2022,Sumter / Non-Profit Corporation,COVENANT PLACE OF SUMTER INC,70,-80.40652955,33.95482153
CUMMINGS COMMUNITY RESIDENTIAL CARE HOME,2606 STARK LN,NORTH CHARLESTON,SC,29405-5537,Charleston,843-747-7088,OCUMMINGS03@COMCAST.NET,CRC-0891 / 10/31/2021,Charleston / Sole Proprietorship,"CUMMINGS, OLYMPIA W.",8,-79.99037799,32.85222403
CURAMENG RESIDENTIAL HOME CARE,2021 COSGROVE AVE,NORTH CHARLESTON,SC,29405-7710,Charleston,843-566-1266,MYLESR05@YAHOO.COM,CRC-1187 / 11/30/2021,Charleston / Corporation,JFJ INC,8,-79.97612224,32.85682768
CYPRESS PLACE,205 MIDLAND PKWY,SUMMERVILLE,SC,29485-8104,Dorchester,843-875-7163,JHOOLEY@ENLIVANT.COM,CRC-1411 / 11/30/2021,Dorchester / Limited Liability,CYPRESS AID OPCO LLC,44,-80.16174068,32.96584168
DALTONS CMC RESIDENTIAL CARE FACILITY,1231 EUTAW ST,ORANGEBURG,SC,29115-3529,Orangeburg,803-747-7006,CHERYLGDALTON@GMAIL.COM,CRC-1447 / 07/31/2021,Orangeburg / Sole Proprietorship,"GIBSON-DALTON, CHERYL",5,-80.85527775,33.50685519
DAVIDSON STREET COMMUNITY RESIDENCE,313 DAVIDSON ST,CLINTON,SC,29325-2023,Laurens,864-833-7284,KMCGOWAN@LCDSNB.ORG,CRC-1420 / 12/31/2021,Laurens / Non-Profit Corporation,LAURENS COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.87336934,34.47938172
DAYSPRING ASSISTED LIVING,5146 TOWLES RD,HOLLYWOOD,SC,29449-6119,Charleston,843-889-9757,DAYSPRINGSC@YAHOO.COM,CRC-1385 / 03/31/2022,Charleston / Ltd. Liability,DAYSPRING ASSISTED LIVING LLC,16,-80.20733598,32.74101737
DAYSPRING OF JOHNS ISLAND,3455 BOHICKET RD,JOHNS ISLAND,SC,29455-7222,Charleston,843-768-5335,DAYSPRINGSC@YAHOO.COM,CRC-1915 / 03/31/2022,Charleston / Corporation,DAYSPRING OF JOHNS ISLAND INC,24,-80.12889705,32.65920026
DILLON COMMUNITY RESIDENCE,506 S 14TH AVE,DILLON,SC,29536-4369,Dillon,843-841-0778,MKEITH@MDDSN.ORG,CRC-1377 / 04/30/2022,Dillon / County,MARION-DILLON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-79.3681371,34.40965224
DIVINE MANOR ASSISTED LIVING CENTER,2210 OAK POND RD,ROCK HILL,SC,29730-7958,York,803-329-4494,DIVINEMANOR@COMPORIUM.NET,CRC-1361 / 07/31/2021,York / Limited Liability,DIVINE NURSE CONSULTANT LLC,32,-80.97044434,34.88098469
DIXON'S COMMUNITY CARE HOME,1456 DIXON RD,ELGIN,SC,29045-9030,Kershaw,803-729-4309,JADIXON35@GMAIL.COM,CRC-0934 / 09/30/2021,Kershaw / Corporation,DIXON'S COMMUNITY CARE HOME INC,5,-80.78691634,34.19085943
DOMINION SENIOR LIVING AT PATRICK SQUARE,100 PERSHING AVE,CLEMSON,SC,29631,Pickens,864-722-2811,MARKT@DOMINIONDG.COM,CRC-1966 / 03/31/2022,Pickens / ,DOMINION CLEMSON LLC,78,-82.81369678,34.68502466
DOMINION SENIOR LIVING OF ANDERSON,3461 N HWY 81,ANDERSON,SC,29621,Anderson,864-332-4511,CHRISP@DOMINIONANDERSON.COM,CRC-1955 / 12/31/2021,Anderson / Limited Liability Company (multiple member),DOMINION ANDERSON LLC,70,-82.62094374,34.58819084
DORCH COMMUNITY RESIDENTIAL CARE,3921 GREELEYVILLE HWY,MANNING,SC,29102,Clarendon,803-473-4681,DORCHANDREW@YAHOO.COM,CRC-1078 / 04/30/2022,Clarendon / Partnership,EVELYN DORCH LEWIS AND ANDREW DORCH,13,-80.162579,33.680951
DOWDY'S COMMUNITY CARE HOME #2,4609 ARLINGTON ST,COLUMBIA,SC,29203-4143,Richland,803-786-2105,TDOWDY@CIO.SC.GOV,CRC-0173 / 08/31/2021,Richland / Sole Proprietorship,ANNIE R DOWDY,9,-81.04150667,34.04639827
DREAMLAND RESIDENTIAL CARE,6941 NORTH RD,NORTH,SC,29112-8832,Orangeburg,803-533-7492,DELORESWRIGHT4@AOL.COM,CRC-0795 / 10/31/2021,Orangeburg / Sole Proprietorship,DELORES M WRIGHT,5,-81.00873397,33.60945225
EASLEY PLACE- A CONTINUUM OF CARE COMMUNITY,706 PELZER HWY,EASLEY,SC,29642-3800,Pickens,864-859-0167,MARLEDGE@EASLEYPLACE.COM,CRC-2137 / 11/30/2021,Pickens / Limited Liability,SCHOOL ROAD SENIOR LIVING LLC,85,-82.595774,34.794567
EASLEY PLACE NORTH- A CONTINUUM OF CARE COMMUNITY,125 ZION SCHOOL RD,EASLEY,SC,29642-2833,Pickens,864-859-0167,MARLEDGE@EASLEYPLACE.COM,CRC-2138 / 01/31/2022,Pickens / Limited Liability,SCHOOL ROAD SENIOR LIVING LLC,66,-82.597129,34.79485
EASLEY RETIREMENT CENTER,102 DOWLING ST,EASLEY,SC,29641,Pickens,864-859-3722,SARAFOSTER@EASLEYRETIREMENT.NET,CRC-0359 / 02/28/2022,Pickens / Corporation,WEST END RETIREMENT CENTER INC,16,-82.57720289,34.83531995
EASY LIVING,506 E JACKSON ST,LAMAR,SC,29069-9162,Darlington,843-326-5884,19EJONES19@GMAIL.COM,CRC-1512 / 03/31/2022,Darlington / Sole Proprietorship,"GEORGE, EDELL",5,-80.05408685,34.16723558
EDEN TERRACE OF SPARTANBURG,2780 E MAIN ST,SPARTANBURG,SC,29307-1248,Spartanburg,864-579-7387,CINDY.HUGHES@ARBORCOMPANY.COM,CRC-1213 / 05/31/2022,Spartanburg / Ltd. Liability,BRISTOL SPARTANBURG LLC,140,-81.86995037,34.98080472
ELLIOTT'S RESIDENTIAL CARE HOME,2432 LANDSDOWNE RD,BOWMAN,SC,29018-9583,Orangeburg,803-829-3348,ELLIOTTSCAREHOME@GMAIL.COM,CRC-0272 / 10/31/2021,Orangeburg / Corporation,ELLIOTT'S RESIDENTIAL CARE HOME INC,7,-80.61298639,33.37819678
ELMCROFT OF FLORENCE,3006 HOFFMEYER RD,FLORENCE,SC,29501-7551,Florence,843-292-0012,JANICE.COSGROVE@ELMCROFT.COM,CRC-2026 / 01/31/2022,Florence / Limited Liability,EC OPCO FLORENCE SC LLC,82,-79.837347,34.205748
EMERALD GARDENS OF GREENWOOD,201 OVERLAND DR,GREENWOOD,SC,29646-4097,Greenwood,864-953-2174,MPATTERSON@EMERALDGARDENSASSISTEDLIVING.,CRC-1378 / 10/31/2021,Greenwood / Ltd. Liability,EMERALD GARDENS OF GREENWOOD LLC,66,-82.15664203,34.16976197
EMERALD RCF I,2244 BROWNTOWN RD,BISHOPVILLE,SC,29010-9664,Lee,803-428-6044,MARJORIE.WILSON-GUESS@SCDMH.ORG,CRC-2066 / 02/28/2022,Lee / State,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,5,-80.34352035,34.19410739
EMERALD RCF II,2262 BROWNTOWN RD,BISHOPVILLE,SC,29010-9664,Lee,803-428-6044,MARJORIE.WILSON-GUESS@SCDMH.ORG,CRC-2074 / 02/28/2022,Lee / State,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,5,-80.34405215,34.19378994
EUGENIA'S RESIDENTIAL CARE FACILITY,2232 HEYWARD BROCKINGTON RD,COLUMBIA,SC,29203-9677,Richland,803-786-1047,DAVISCCHANDERCF.INFO@GMAIL.COM,CRC-0538 / 08/31/2021,Richland / Partnership,ELIJAH DAVIS THOMASENA DAVIS & EUGENIA M EARGLE,23,-81.05536427,34.132021
FAIRVIEW PARK ASSISTED LIVING,544 HARRISON BRIDGE RD,SIMPSONVILLE,SC,29860,Greenville,864-757-8812,ASURLS@ATLASSENIORLIVING.COM,CRC-2050 / 02/28/2022,Greenville / Limited Liability,AFF18 FAIRVIEW PARL ALF LLC,90,-82.26765015,34.70224315
FAMILY RESIDENTIAL CARE HOME I,21 EDWARDS ST,SUMTER,SC,29150-4808,Sumter,803-757-1032,TWRG32@YAHOO.COM,CRC-1233 / 02/28/2022,Sumter / Sole Proprietorship,"WALTERS, MICHAEL A.",5,-80.35312692,33.91900055
FAMILY RESIDENTIAL CARE HOME II,23 EDWARDS ST,SUMTER,SC,29150-4808,Sumter,803-775-9555,TWRG32@YAHOO.COM,CRC-1277 / 06/30/2021,Sumter / Sole Proprietorship,"WALTERS, MICHAEL A.",5,-80.35313083,33.91887233
FAMILY RESIDENTIAL CARE HOME III,25 EDWARDS ST,SUMTER,SC,29150-4808,Sumter,803-775-9555,TWRG32@YAHOO.COM,CRC-1537 / 02/28/2022,Sumter / Sole Proprietorship,"WALTERS, MICHAEL A.",12,-80.35295163,33.91873198
FARMINGTON COMMUNITY RESIDENCE,1269 CAMP RD,JAMES ISLAND,SC,29412-9212,Charleston,843-795-2461,ETURNER@DSNCC.COM,CRC-1370 / 01/31/2022,Charleston / State,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.950656,32.72794038
FH&C RESIDENTIAL CARE LLC,101 COE RD,ANDERSON,SC,29624,Anderson,864-437-8327,0911BEAUTYJ@GMAIL.COM,CRC-2169 / 10/31/2021,Anderson / Limited Liability,FH&C RESIDENTIAL CARE LLC,10,-82.644342,34.481708
FIRST CHOICE HOME CARE FACILITY,2003 COSGROVE AVE,NORTH CHARLESTON,SC,29405-5702,Charleston,843-225-0637,EJCRELLORA@GMAIL.COM,CRC-0742 / 10/31/2021,Charleston / Partnership,DQR CAMBA/NM CAMBA/GT MARTINEZ/P MARTINEZ/P PAJOTA,8,-79.97586154,32.85741949
FLANAGAN COMMUNITY CARE HOME,665 SHARPE RD,COLUMBIA,SC,29203-9304,Richland,803-754-2136,MARYPBRIGGS1@GMAIL.COM,CRC-0314 / 09/30/2021,Richland / Sole Proprietorship,"BRIGGS, MARY E.",9,-81.00065852,34.08987981
FLORA'S RESIDENTIAL CARE FACILITY II,703 S HARVIN ST,SUMTER,SC,29150-6415,Sumter,803-775-6007,LUCINDAHERRIOTT@GMAIL.COM,CRC-1519 / 12/31/2021,Sumter / Sole Proprietorship,"YORK-HERRIOTT, LUCINDA",5,-80.33938221,33.90734302
FLORENCE PLACE,1938 MOUNTAIN LAUREL CT,FLORENCE,SC,29505-6084,Florence,312-725-7000,JHILL2@ENLIVANT.COM,CRC-1990 / 10/31/2021,Florence / Limited Liability,FLORENCE BG OPCO LLC,90,-79.755179,34.157879
FLOWERS RESIDENTIAL CARE FACILITY,855 WATTS HILL RD,LUGOFF,SC,29078-9234,Kershaw,803-438-2654,MLA3524@YAHOO.COM,CRC-0297 / 11/30/2021,Kershaw / Sole Proprietorship,"FLOWERS, MARY C.",7,-80.76543959,34.18145043
FOOTHILLS ASSISTED LIVING,999 W UNION RD,WEST UNION,SC,29696-2642,Oconee,864-638-4370,KNICHOLS@CITE-MGMT.COM,CRC-1364 / 08/31/2021,Oconee / Corporation,CITE HEALTH MANAGEMENT SERVICES INC,76,-83.02961237,34.73891615
FOREST CIRCLE COMMUNITY RESIDENCE,505 FOREST CIR,WALTERBORO,SC,29488-2869,Colleton,843-549-5140,TFARMER@COLLETONDSN.ORG,CRC-1527 / 09/30/2021,Colleton / State,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-80.67920271,32.91592428
FOREST VIEW MANOR RETIREMENT CENTER,141 CALLISON HWY,MCCORMICK,SC,29835-3524,Edgefield,864-443-5857,KMNIXON62@AOL.COM,CRC-0500 / 11/30/2021,Edgefield / Corporation,HILLSIDE INC,40,-82.12227553,33.93562387
FRANKE HOME,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,Charleston,843-856-4705,SSTOLL@FRANKEATSEASIDE.ORG,CRC-1082 / 09/30/2021,Charleston / Non-Profit Corporation,LUTHERAN HOMES OF SOUTH CAROLINA INC,86,-79.8197044,32.82152193
GABLES ON PELHAM ASSISTED LIVING AND MEMORY CARE,1306 PELHAM RD,GREENVILLE,SC,29615-3600,Greenville,864-286-6600,SUE@THEGABLESONPELHAM.COM,CRC-2157 / 07/31/2021,Greenville / Limited Liability,FSL GREENVILLE SC TENANT LLC,119,-82.307621,34.855499
GARDEN HOUSE LLC,201 EDGEBROOK DR,ANDERSON,SC,29621-2573,Anderson,864-964-5668,LICENSING@PRINCIPALSENIORLIVING.COM,CRC-1437 / 07/31/2021,Anderson / Ltd. Liability,ARHC GHANDSC01 TRS LLC,75,-82.63319202,34.5534423
GARDENS AT EASTSIDE,275 COMMONWEALTH DR,GREENVILLE,SC,29615-4814,Greenville,864-329-1200,JANE.FORD@ARBORCOMPANY.COM,CRC-1222 / 08/31/2021,Greenville / Ltd. Liability,EASTSIDE ASSISTED LIVING LLC,83,-82.32004193,34.85234452
GARDENS AT SUMTER,2065 MCCRAYS MILL RD,SUMTER,SC,29154-6111,Sumter,803-778-9690,MDEATON@AFFINITYLIVINGGROUP.COM,CRC-0988 / 06/30/2021,Sumter / Limited Liability,SUMTER AL HOLDINGS LLC,140,-80.38657628,33.90480121
GENERATIONS OF BATESBURG,111 GENERATIONS BLVD,BATESBURG,SC,29006-2315,Lexington,803-532-8428,TIM@GENERATIONSOFCHAPIN.COM,CRC-0647 / 09/30/2021,Lexington / Corporation,GENERATIONS OF BATESBURG INC,88,-81.53487748,33.90702979
GENERATIONS OF CHAPIN,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,Lexington,803-345-1911,TODD@GENERATIONSOFCHAPIN.COM,CRC-1128 / 10/31/2021,Lexington / Corporation,GENERATIONS OF CHAPIN INC,56,-81.3396408,34.16188585
GENERATIONS OF IRMO,7142 WOODROW ST,IRMO,SC,29063-2832,Lexington,803-227-8991,DEDWARDS@CAREBYGENERATIONS.COM,CRC-1477 / 05/31/2022,Lexington / Limited Liability,GENERATIONS OF IRMO LLC,78,-81.17879583,34.07940226
GENERATIONS OF MONETTA,77 CATO RD,MONETTA,SC,29105-9319,Aiken,803-685-7820,TODD@GENERATIONSOFCHAPIN.COM,CRC-0876 / 10/31/2021,Aiken / Ltd. Liability,GENERATIONS OF MONETTA LLC,22,-81.59765022,33.85076214
GENE'S RESIDENTIAL CARE FACILITY #3,1312 W EVANS ST,FLORENCE,SC,29501-3324,Florence,843-667-6636,NUGGIE23@GMAIL.COM,CRC-0482 / 02/28/2022,Florence / Sole Proprietorship,"JONES, GENE E.",9,-79.79066725,34.19584651
GOD'S HAVEN OF REST,516 BELVEDERE CLEARWATER RD,NORTH AUGUSTA,SC,29841-2583,Aiken,803-279-1129,LEIGH.3@COMCAST.NET,CRC-1237 / 12/31/2021,Aiken / Sole Proprietorship,"AYERS, HAZEL LEIGH",9,-81.93704366,33.53091428
GOOD DEEDS RESIDENTIAL I,23 KENDRICK ST,SUMTER,SC,29150-5224,Sumter,803-778-2780,GLOVER2180@GMAIL.COM,CRC-2140 / 01/31/2022,Sumter / Limited Liability,GOOD DEEDS RESIDENTIAL CARE FACILITY LLC,21,-80.338308,33.918397
GOOD DEEDS RESIDENTIAL II,28 S MAGNOLIA ST,SUMTER,SC,29150-5243,Sumter,803-778-2780,GLOVER2180@GMAIL.COM,CRC-2139 / 01/31/2022,Sumter / Limited Liability,GOOD DEEDS RESIDENTIAL CARE FACILITY LLC,12,-80.337812,33.918216
GOOD SAMARITAN RESIDENTIAL CARE,1356 BUBZY RD,KINGSTREE,SC,29556-5246,Williamsburg,843-382-3530,GSRFC1356@GMAIL.COM,CRC-1015 / 05/31/2022,Williamsburg / Corporation,GOOD SAMARITAN RESIDENTIAL CARE FACILITY INC,9,-79.750733,33.632072
GOOSE CREEK MANOR #1,104 MARILYN ST,GOOSE CREEK,SC,29445-3104,Berkeley,843-572-7442,ADMIN@GOOSECREEKALF.COM,CRC-2027 / 06/30/2021,Berkeley / Limited Liability,STAR CAPITAL INC,7,-80.041086,32.997868
GOOSE CREEK MANOR #2,104 MARILYN ST,GOOSE CREEK,SC,29445-3104,Berkeley,843-572-7442,ADMIN@GOOSECREEKALF.COM,CRC-2028 / 06/30/2021,Berkeley / Corporation,STAR CAPITAL INC,36,-80.041086,32.997868
GRACE RESIDENTIAL CARE FACILITY,6534 CAROLINA HWY,DENMARK,SC,29042-2366,Bamberg,803-793-3423,BERNESTINEDAVIS@YAHOO.COM,CRC-0584 / 08/31/2021,Bamberg / Corporation,GRACE RESIDENTIAL CARE FACILITY INC,22,-81.146165,33.300003
GRACELYNN RESIDENTIAL CARE FACILITY,203 JEWEL ST N,NEW ELLENTON,SC,29809-2942,Aiken,803-761-2045,ADULTANDSENIORSERVICES@GMAIL.COM,CRC-1609 / 11/30/2021,Aiken / Limited Liability Company (single member),GRACELYNN RESIDENTIAL CARE FACILITY LLC,6,-81.68776331,33.41973844
GREENVILLE COMMUNITY RESIDENCE,158 CAVALIER DR,GREENVILLE,SC,29607-4262,Greenville,864-277-9656,DAVID.BELLEW@THRIVEUPSTATE.ORG,CRC-0073 / 03/31/2022,Greenville / State,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,12,-82.35241353,34.79343826
GREENVILLE GLEN ASSISTED LIVING,1101 GARLINGTON RD,GREENVILLE,SC,29615-5446,Greenville,864-627-8700,ED@GREENVILLEGLEN.COM,CRC-2069 / 08/31/2021,Greenville / Limited Liability,ML GREENVILLE GLEN LLC,51,-82.26459,34.850229
GREENVILLE PLACE,2006 PELHAM RD,GREENVILLE,SC,29615-4005,Greenville,864-288-3331,TERRI.BAKER@JEASENIORLIVING.COM,CRC-1402 / 11/30/2021,Greenville / Corporation,CSL LEASECO INC,153,-82.28389583,34.86175355
GREER COMMUNITY RESIDENCE,112 S BEVERLY LN,GREER,SC,29651-1738,Greenville,864-449-5982,SHELETHA.MAYS@THRIVEUPSTATE.ORG,CRC-0237 / 09/30/2021,Greenville / State,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,12,-82.24401411,34.94031453
GUARDIAN ANGELS RESIDENTIAL CARE,2126 SUCCESS ST,NORTH CHARLESTON,SC,29405-7992,Charleston,843-744-0448,GUARDIANANGELSRCF@YAHOO.COM,CRC-1049 / 11/30/2021,Charleston / Corporation,GUARDIAN ANGELS ASSISTED LIVING INC,18,-79.97206793,32.8518404
HAMMOND PLACE,128 WALNUT LN,NORTH AUGUSTA,SC,29860-9206,Aiken,803-441-8441,DRANDALL@ENLIVANT.COM,CRC-1405 / 11/30/2021,Aiken / ,HAMMOND AID OPCO LLC,44,-81.94392484,33.57270425
HAMPTON STREET COMMUNITY RESIDENCE,425 HAMPTON ST,DENMARK,SC,29042-1368,Bamberg,803-793-4093,TDAVIS@BCDSNB.ORG,CRC-1296 / 06/30/2021,Bamberg / ,BAMBERG COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.13521893,33.32453911
HANNAH RESIDENTIAL MANOR,3750 SHEMINALLY RD,PAMPLICO,SC,29583-5700,Florence,843-493-0001,PATRICIAHART0910@GMAIL.COM,CRC-0712 / 05/31/2022,Florence / Partnership,PATRICIA W HART & RONALD E HART SR,48,-79.56819309,33.8818065
HARBISON SHORES,990 COLUMBIA AVE,IRMO,SC,29063-2854,Lexington,803-749-7889,NSHANNON@TARANTINO.COM,CRC-2180 / 05/31/2022,Lexington / Limited Liability Company (multiple member),TARANTINO SENIOR LIVING COMMUNITIES LLC,82,-81.173122,34.087204
HARBOR COVE MEMORY CARE,48 MAIN ST,HILTON HEAD ISLAND,SC,29926-1647,Beaufort,843-342-7122,KLEE.LATHAM@NAVIONSL.COM,CRC-2099 / 09/30/2021,Beaufort / Limited Liability,NAVION BKE HILTON HEAD COURT LLC,36,-80.717136,32.219457
HARBORCHASE OF AIKEN,1385 SILVER BLUFF RD,AIKEN,SC,29803-8860,Aiken,803-721-4639,NGILLIAM@HRAONLINE.NET,CRC-1316 / 11/30/2021,Aiken / Corporation,TWENTY TWO PACK MANAGEMENT CORPORATION,110,-81.74049678,33.50515409
HARBORCHASE OF COLUMBIA,120 FAIRFOREST RD,COLUMBIA,SC,29212-2308,Richland,803-615-5735,MCALDWELL@HRAONLINE.NET,CRC-1315 / 11/30/2021,Richland / Corporation,TWENTY TWO PACK MANAGEMENT CORPORATION,66,-81.14665978,34.07764698
HARBORCHASE OF RIVERWALK,749 DUNKINS FERRY RD,ROCK HILL,SC,29730,York,803-393-2983,SJUSTICE@HRAONLINE.NET,CRC-2033 / 01/31/2022,York / Limited Liability,RB ROCKHILL PROPERTY LLC,97,-80.973661,34.97406
HARBORCHASE OF ROCK HILL,1611 CONSTITUTION BLVD,ROCK HILL,SC,29732-3047,York,803-981-6855,LPRESSLEY@HRAONLINE.NET,CRC-1290 / 11/30/2021,York / Corporation,TWENTY TWO PACK MANAGEMENT CORPORATION,110,-81.04961696,34.95299469
HARMONY AT FIVE FORKS,345 FIVE FORKS RD,SIMPSONVILLE,SC,29681,Greenville,864-412-4700,PLAUGAVITZ@HARMONYATFIVEFORKS.COM,CRC-1960 / 08/31/2021,Greenville / Limited Liability,GREENVILLE OPERATIONS LLC,92,-82.23225956,34.80452107
HARMONY AT WESCOTT PLANTATION,5130 WESCOTT BLVD,SUMMERVILLE,SC,29485,Dorchester,843-486-2712,KPATTERSON@HARMONYARATWESCOTTPLANTATION,CRC-1596 / 06/30/2021,Dorchester / Limited Liability,CHARLESTON OPERATIONS LLC,105,-80.14226931,32.94464128
HARMONY AT WEST ASHLEY,1925 ESSEX FARMS DR,CHARLESTON,SC,29414,Charleston,843-804-8850,CCURE@HARMONYATWESTASHLEY.COM,CRC-1899 / 10/31/2021,Charleston / Limited Liability,WEST ASHLEY OPERATIONS LLC,105,-80.05137543,32.80859732
