Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Ownership Type,Licensee,Capacity,Longitude,Latitude,Date Accessed,State Facility Type 1 Literal,License Number
Carolinian,718 S DARGAN ST,Florence,SC,29506-2559,Florence,843-665-9314,deborah.stouff@rhf.org,CORPORATION,FLORENCE RHF HOUSING INC,38,-79.76337334,34.18600778,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0468
Carriage House Senior Living Of Florence,739 S PARKER DR,Florence,SC,29501-6062,Florence,843-661-6655,t.bigler@etcare.biz,,CARRIAGE HOUSE SENIOR LIVING OF FLORENCE INC,80,-79.82700204,34.1769165,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1590
Carriage House Senior Living Of Hartsville,1131 E HOME AVE,Hartsville,SC,29550,Darlington,843-383-6990,chslhartsvilleadm@etcare.biz,CORPORATION,CARRIAGE HOUSE SENIOR LIVING OF HARTSVILLE INC,60,-80.04588632,34.3826454,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0994
Carriage House Senior Living Of Sumter,431 N MAIN ST,Sumter,SC,29150-4232,Sumter,803-773-0965,chslsumteradm@etcare.biz,CORPORATION,CARRIAGE HOUSE OF SUMTER INC,60,-80.34122512,33.92884378,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0997
Carriage House Senior Living Of Taylors,402 W MAIN ST,Taylors,SC,29687-2951,Greenville,864-292-2416,etcareinc@earthlink.net,CORPORATION,CARRIAGE HOUSE SENIOR LIVING OF TAYLORS INC,44,-82.31121919,34.91927781,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0978
Carson'S Community Care,10219 FARROW RD,Blythewood,SC,29016-9612,Richland,803-786-7513,anniepcarson1@gmail.com,SOLE PROPRIETORSHIP,"CARSON, JAMES E.",10,-80.95418868,34.15368787,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0916
Carter-May Home,1660 INGRAM RD,Charleston,SC,29407-4242,Charleston,843-556-8314,janine@charlestondiocese.org,CORPORATION,CATHOLIC CHARITIES OF THE DIOCESE OF CHARLESTON INC,25,-79.99345575,32.81420687,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0064
Cascades Verdae Assisted Living,30 SPRINGCREST CT,Greenville,SC,29607-4034,Greenville,864-528-5529,licensing@cascades-verdaecom,LIMITED LIABILITY,CASCADES NURSING LLC,92,-82.31828984,34.82490563,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1490
Casual Community Care Home,112 GOODRICH ST,Columbia,SC,29223-7725,Richland,803-788-2721,marypbriggs1@gmail.com,SOLE PROPRIETORSHIP,"BRIGGS, MARY",8,-80.93963866,34.11785668,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0701
Catherine'S Manor Ii,261 SUMMERS AVE,Orangeburg,SC,29115-5421,Orangeburg,803-539-0899,evernecarr12@gmail.com,SOLE PROPRIETORSHIP,GUSS CARR AS PERSONAL REPRESENTATIVE OF THE ESTATE OF CATHERINE CARR,5,-80.86199583,33.49411725,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1033
Chandler Place Assisted Living & Memory Care,1800 INDIA HOOK RD,Rock Hill,SC,29732-1933,York,803-325-1144,amy.laughlin@navionsl.com,LIMITED LIABILITY,NAVION BKE SPRING ARBOR LLC,92,-81.033073,34.963062,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2098
Charles M Ingram Sr Community Residence,1615 STATE RD,Cheraw,SC,29520-5107,Chesterfield,843-537-5122,t.campbell@chescoservices.org,SOLE PROPRIETORSHIP,CHESCO SERVICES,8,-79.92843518,34.69989762,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1440
Chesterfield Community Residence,817 E MAIN ST,Chesterfield,SC,29709-1807,Chesterfield,843-623-6586,t.campbell@chescoservices.org,SOLE PROPRIETORSHIP,CHESCO SERVICES,8,-80.100508,34.73607091,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1441
Clarke House,919 SHILOH RD,Saluda,SC,29138-8101,Saluda,864-445-8816,theclarkehouse1988@gmail.com,SOLE PROPRIETORSHIP,IDORA H CLARKE,18,-81.78010338,34.09970285,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0485
Clemson Downs Assisted Living,500 DOWNS LOOP,Clemson,SC,29631-2099,Pickens,864-654-1155,jhill@clemsonsdowns.com,CORPORATION,CARC INC,56,-82.79528066,34.67611739,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1154
Clemson Heritage Llc,140 CAMBRIDGE DR,Clemson,SC,29631-1208,Pickens,864-513-4105,ahoward@ssmgrp.com,LIMITED LIABILITY,CLEMSON HERITAGE LLC,96,-82.792248,34.69632,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1563
Cls Care Home,1024 TUCKER TOWN RD STE 1024A,Gadsden,SC,29052-9789,Richland,803-353-2151,hedowdy52@aol.com,SOLE PROPRIETORSHIP,CORA SCOTT,5,-80.69845745,33.81960008,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1200
Colonial At Old Camden,209 BROAD ST,Camden,SC,29020,Kershaw,803-272-4445,yolanda.hunter@phoenixsrliving.com,LIMITED LIABILITY,WATEREE RIVER AL LLC,60,-80.606016,34.231896,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2122
Colonial Gardens Alzheimer'S Special Care Center,3565 SUNSET BLVD,West Columbia,SC,29169-3043,Lexington,803-796-2556,colonialgardens-adm@jeaseniorliving.com,,COLUMBIA CARE GROUP LLC,66,-81.13284858,34.00757119,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1542
Cooper Hall At The Palms Of Mt Pleasant,937 BOWMAN RD OFC,Mount Pleasant,SC,29464-3222,Charleston,843-884-6949,licensing@5ssl.com,LIMITED LIABILITY,SNH SE SG TENANT LLC,44,-79.85945033,32.8162139,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1432
Cottonwood Villas,800 W CHURCH ST,Bishopville,SC,29010-1054,Lee,803-484-5303,marie@lakefieldprop.com,LIMITED LIABILITY,LAKEFIELD PROPERTIES LLC,85,-80.259131,34.227819,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1186
Country Comfort Community Home,204 JOE ARTHUR CIR,Blythewood,SC,29016-8807,Richland,803-735-9777,counts_countrycomfort@yahoo.com,,COUNTRY COMFORT HOMES LLC,9,-80.978063,34.20057,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1467
Covenant Place,2825 CARTER RD OFC,Sumter,SC,29150-1736,Sumter,803-469-7007,rlinder@covenantplace.org,NON-PROFIT CORPORATION,COVENANT PLACE OF SUMTER INC,70,-80.40652955,33.95482153,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0758
Cummings Community Residential Care Home,2606 STARK LN,North Charleston,SC,29405-5537,Charleston,843-747-7088,ocummings03@comcast.net,SOLE PROPRIETORSHIP,"CUMMINGS, OLYMPIA W.",8,-79.99037799,32.85222403,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0891
Curameng Residential Home Care,2021 COSGROVE AVE,North Charleston,SC,29405-7710,Charleston,843-566-1266,mylesr05@yahoo.com,CORPORATION,JFJ INC,8,-79.97612224,32.85682768,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1187
Cypress Place,205 MIDLAND PKWY,Summerville,SC,29485-8104,Dorchester,843-875-7163,jhooley@enlivant.com,LIMITED LIABILITY,CYPRESS AID OPCO LLC,44,-80.16174068,32.96584168,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1411
Daltons Cmc Residential Care Facility,1231 EUTAW ST,Orangeburg,SC,29115-3529,Orangeburg,803-747-7006,cherylgdalton@gmail.com,SOLE PROPRIETORSHIP,"GIBSON-DALTON, CHERYL",5,-80.85527775,33.50685519,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1447
Davidson Street Community Residence,313 DAVIDSON ST,Clinton,SC,29325-2023,Laurens,864-833-7284,kmcgowan@lcdsnb.org,NON-PROFIT CORPORATION,LAURENS COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.87336934,34.47938172,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1420
Dayspring Assisted Living,5146 TOWLES RD,Hollywood,SC,29449-6119,Charleston,843-889-9757,dayspringsc@yahoo.com,LTD. LIABILITY,DAYSPRING ASSISTED LIVING LLC,16,-80.20733598,32.74101737,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1385
Dayspring Of Johns Island,3455 BOHICKET RD,Johns Island,SC,29455-7222,Charleston,843-768-5335,dayspringsc@yahoo.com,CORPORATION,DAYSPRING OF JOHNS ISLAND INC,24,-80.12889705,32.65920026,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1915
Dillon Community Residence,506 S 14TH AVE,Dillon,SC,29536-4369,Dillon,843-841-0778,mkeith@mddsn.org,COUNTY,MARION-DILLON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-79.3681371,34.40965224,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1377
Divine Manor Assisted Living Center,2210 OAK POND RD,Rock Hill,SC,29730-7958,York,803-329-4494,divinemanor@comporium.net,LIMITED LIABILITY,DIVINE NURSE CONSULTANT LLC,32,-80.97044434,34.88098469,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1361
Dixon'S Community Care Home,1456 DIXON RD,Elgin,SC,29045-9030,Kershaw,803-729-4309,jadixon35@gmail.com,CORPORATION,DIXON'S COMMUNITY CARE HOME INC,5,-80.78691634,34.19085943,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0934
Dominion Senior Living At Patrick Square,100 PERSHING AVE,Clemson,SC,29631,Pickens,864-722-2811,markt@dominiondg.com,,DOMINION CLEMSON LLC,78,-82.81369678,34.68502466,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1966
Dominion Senior Living Of Anderson,3461 N HWY 81,Anderson,SC,29621,Anderson,864-332-4511,chrisp@dominionanderson.com,LIMITED LIABILITY COMPANY (MULTIPLE MEMBER),DOMINION ANDERSON LLC,70,-82.62094374,34.58819084,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1955
Dorch Community Residential Care,3921 GREELEYVILLE HWY,Manning,SC,29102,Clarendon,803-473-4681,dorchandrew@yahoo.com,PARTNERSHIP,EVELYN DORCH LEWIS AND ANDREW DORCH,13,-80.162579,33.680951,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1078
Dowdy'S Community Care Home #2,4609 ARLINGTON ST,Columbia,SC,29203-4143,Richland,803-786-2105,tdowdy@cio.sc.gov,SOLE PROPRIETORSHIP,ANNIE R DOWDY,9,-81.04150667,34.04639827,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0173
Dreamland Residential Care,6941 NORTH RD,North,SC,29112-8832,Orangeburg,803-533-7492,deloreswright4@aol.com,SOLE PROPRIETORSHIP,DELORES M WRIGHT,5,-81.00873397,33.60945225,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0795
Easley Place- A Continuum Of Care Community,706 PELZER HWY,Easley,SC,29642-3800,Pickens,864-859-0167,marledge@easleyplace.com,LIMITED LIABILITY,SCHOOL ROAD SENIOR LIVING LLC,85,-82.595774,34.794567,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2137
Easley Place North- A Continuum Of Care Community,125 ZION SCHOOL RD,Easley,SC,29642-2833,Pickens,864-859-0167,marledge@easleyplace.com,LIMITED LIABILITY,SCHOOL ROAD SENIOR LIVING LLC,66,-82.597129,34.79485,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2138
Easley Retirement Center,102 DOWLING ST,Easley,SC,29641,Pickens,864-859-3722,sarafoster@easleyretirement.net,CORPORATION,WEST END RETIREMENT CENTER INC,16,-82.57720289,34.83531995,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0359
Easy Living,506 E JACKSON ST,Lamar,SC,29069-9162,Darlington,843-326-5884,19ejones19@gmail.com,SOLE PROPRIETORSHIP,"GEORGE, EDELL",5,-80.05408685,34.16723558,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1512
Eden Terrace Of Spartanburg,2780 E MAIN ST,Spartanburg,SC,29307-1248,Spartanburg,864-579-7387,cindy.hughes@arborcompany.com,LTD. LIABILITY,BRISTOL SPARTANBURG LLC,140,-81.86995037,34.98080472,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1213
Elliott'S Residential Care Home,2432 LANDSDOWNE RD,Bowman,SC,29018-9583,Orangeburg,803-829-3348,elliottscarehome@gmail.com,CORPORATION,ELLIOTT'S RESIDENTIAL CARE HOME INC,7,-80.61298639,33.37819678,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0272
Elmcroft Of Florence,3006 HOFFMEYER RD,Florence,SC,29501-7551,Florence,843-292-0012,janice.cosgrove@elmcroft.com,LIMITED LIABILITY,EC OPCO FLORENCE SC LLC,82,-79.837347,34.205748,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2026
Emerald Gardens Of Greenwood,201 OVERLAND DR,Greenwood,SC,29646-4097,Greenwood,864-953-2174,mpatterson@emeraldgardensassistedliving.,LTD. LIABILITY,EMERALD GARDENS OF GREENWOOD LLC,66,-82.15664203,34.16976197,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1378
Emerald Rcf I,2244 BROWNTOWN RD,Bishopville,SC,29010-9664,Lee,803-428-6044,marjorie.wilson-guess@scdmh.org,STATE,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,5,-80.34352035,34.19410739,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2066
Emerald Rcf Ii,2262 BROWNTOWN RD,Bishopville,SC,29010-9664,Lee,803-428-6044,marjorie.wilson-guess@scdmh.org,STATE,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,5,-80.34405215,34.19378994,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2074
Eugenia'S Residential Care Facility,2232 HEYWARD BROCKINGTON RD,Columbia,SC,29203-9677,Richland,803-786-1047,daviscchandercf.info@gmail.com,PARTNERSHIP,ELIJAH DAVIS THOMASENA DAVIS & EUGENIA M EARGLE,23,-81.05536427,34.132021,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0538
Fairview Park Assisted Living,544 HARRISON BRIDGE RD,Simpsonville,SC,29860,Greenville,864-757-8812,asurls@atlasseniorliving.com,LIMITED LIABILITY,AFF18 FAIRVIEW PARL ALF LLC,90,-82.26765015,34.70224315,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2050
Family Residential Care Home I,21 EDWARDS ST,Sumter,SC,29150-4808,Sumter,803-757-1032,twrg32@yahoo.com,SOLE PROPRIETORSHIP,"WALTERS, MICHAEL A.",5,-80.35312692,33.91900055,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1233
Family Residential Care Home Ii,23 EDWARDS ST,Sumter,SC,29150-4808,Sumter,803-775-9555,twrg32@yahoo.com,SOLE PROPRIETORSHIP,"WALTERS, MICHAEL A.",5,-80.35313083,33.91887233,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1277
Family Residential Care Home Iii,25 EDWARDS ST,Sumter,SC,29150-4808,Sumter,803-775-9555,twrg32@yahoo.com,SOLE PROPRIETORSHIP,"WALTERS, MICHAEL A.",12,-80.35295163,33.91873198,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1537
Farmington Community Residence,1269 CAMP RD,James Island,SC,29412-9212,Charleston,843-795-2461,eturner@dsncc.com,STATE,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.950656,32.72794038,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1370
Fh&C Residential Care Llc,101 COE RD,Anderson,SC,29624,Anderson,864-437-8327,0911beautyj@gmail.com,LIMITED LIABILITY,FH&C RESIDENTIAL CARE LLC,10,-82.644342,34.481708,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2169
First Choice Home Care Facility,2003 COSGROVE AVE,North Charleston,SC,29405-5702,Charleston,843-225-0637,ejcrellora@gmail.com,PARTNERSHIP,DQR CAMBA/NM CAMBA/GT MARTINEZ/P MARTINEZ/P PAJOTA,8,-79.97586154,32.85741949,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0742
Flanagan Community Care Home,665 SHARPE RD,Columbia,SC,29203-9304,Richland,803-754-2136,marypbriggs1@gmail.com,SOLE PROPRIETORSHIP,"BRIGGS, MARY E.",9,-81.00065852,34.08987981,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0314
Flora'S Residential Care Facility Ii,703 S HARVIN ST,Sumter,SC,29150-6415,Sumter,803-775-6007,lucindaherriott@gmail.com,SOLE PROPRIETORSHIP,"YORK-HERRIOTT, LUCINDA",5,-80.33938221,33.90734302,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1519
Florence Place,1938 MOUNTAIN LAUREL CT,Florence,SC,29505-6084,Florence,312-725-7000,jhill2@enlivant.com,LIMITED LIABILITY,FLORENCE BG OPCO LLC,90,-79.755179,34.157879,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1990
Flowers Residential Care Facility,855 WATTS HILL RD,Lugoff,SC,29078-9234,Kershaw,803-438-2654,mla3524@yahoo.com,SOLE PROPRIETORSHIP,"FLOWERS, MARY C.",7,-80.76543959,34.18145043,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0297
Foothills Assisted Living,999 W UNION RD,West Union,SC,29696-2642,Oconee,864-638-4370,knichols@cite-mgmt.com,CORPORATION,CITE HEALTH MANAGEMENT SERVICES INC,76,-83.02961237,34.73891615,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1364
Forest Circle Community Residence,505 FOREST CIR,Walterboro,SC,29488-2869,Colleton,843-549-5140,tfarmer@colletondsn.org,STATE,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-80.67920271,32.91592428,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1527
Forest View Manor Retirement Center,141 CALLISON HWY,Mccormick,SC,29835-3524,Edgefield,864-443-5857,kmnixon62@aol.com,CORPORATION,HILLSIDE INC,40,-82.12227553,33.93562387,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0500
Franke Home,1885 RIFLE RANGE RD,Mount Pleasant,SC,29464-9440,Charleston,843-856-4705,sstoll@frankeatseaside.org,NON-PROFIT CORPORATION,LUTHERAN HOMES OF SOUTH CAROLINA INC,86,-79.8197044,32.82152193,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1082
Gables On Pelham Assisted Living And Memory Care,1306 PELHAM RD,Greenville,SC,29615-3600,Greenville,864-286-6600,sue@thegablesonpelham.com,LIMITED LIABILITY,FSL GREENVILLE SC TENANT LLC,119,-82.307621,34.855499,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2157
Garden House Llc,201 EDGEBROOK DR,Anderson,SC,29621-2573,Anderson,864-964-5668,licensing@principalseniorliving.com,LTD. LIABILITY,ARHC GHANDSC01 TRS LLC,75,-82.63319202,34.5534423,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1437
Gardens At Eastside,275 COMMONWEALTH DR,Greenville,SC,29615-4814,Greenville,864-329-1200,jane.ford@arborcompany.com,LTD. LIABILITY,EASTSIDE ASSISTED LIVING LLC,83,-82.32004193,34.85234452,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1222
Gardens At Sumter,2065 MCCRAYS MILL RD,Sumter,SC,29154-6111,Sumter,803-778-9690,mdeaton@affinitylivinggroup.com,LIMITED LIABILITY,SUMTER AL HOLDINGS LLC,140,-80.38657628,33.90480121,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0988
Generations Of Batesburg,111 GENERATIONS BLVD,Batesburg,SC,29006-2315,Lexington,803-532-8428,tim@generationsofchapin.com,CORPORATION,GENERATIONS OF BATESBURG INC,88,-81.53487748,33.90702979,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0647
Generations Of Chapin,431 E BOUNDARY ST,Chapin,SC,29036-8388,Lexington,803-345-1911,todd@generationsofchapin.com,CORPORATION,GENERATIONS OF CHAPIN INC,56,-81.3396408,34.16188585,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1128
Generations Of Irmo,7142 WOODROW ST,Irmo,SC,29063-2832,Lexington,803-227-8991,dedwards@carebygenerations.com,LIMITED LIABILITY,GENERATIONS OF IRMO LLC,78,-81.17879583,34.07940226,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1477
Generations Of Monetta,77 CATO RD,Monetta,SC,29105-9319,Aiken,803-685-7820,todd@generationsofchapin.com,LTD. LIABILITY,GENERATIONS OF MONETTA LLC,22,-81.59765022,33.85076214,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0876
Gene'S Residential Care Facility #3,1312 W EVANS ST,Florence,SC,29501-3324,Florence,843-667-6636,nuggie23@gmail.com,SOLE PROPRIETORSHIP,"JONES, GENE E.",9,-79.79066725,34.19584651,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0482
God'S Haven Of Rest,516 BELVEDERE CLEARWATER RD,North Augusta,SC,29841-2583,Aiken,803-279-1129,leigh.3@comcast.net,SOLE PROPRIETORSHIP,"AYERS, HAZEL LEIGH",9,-81.93704366,33.53091428,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1237
Good Deeds Residential I,23 KENDRICK ST,Sumter,SC,29150-5224,Sumter,803-778-2780,glover2180@gmail.com,LIMITED LIABILITY,GOOD DEEDS RESIDENTIAL CARE FACILITY LLC,21,-80.338308,33.918397,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2140
Good Deeds Residential Ii,28 S MAGNOLIA ST,Sumter,SC,29150-5243,Sumter,803-778-2780,glover2180@gmail.com,LIMITED LIABILITY,GOOD DEEDS RESIDENTIAL CARE FACILITY LLC,12,-80.337812,33.918216,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2139
Good Samaritan Residential Care,1356 BUBZY RD,Kingstree,SC,29556-5246,Williamsburg,843-382-3530,gsrfc1356@gmail.com,CORPORATION,GOOD SAMARITAN RESIDENTIAL CARE FACILITY INC,9,-79.750733,33.632072,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1015
Goose Creek Manor #1,104 MARILYN ST,Goose Creek,SC,29445-3104,Berkeley,843-572-7442,admin@goosecreekalf.com,LIMITED LIABILITY,STAR CAPITAL INC,7,-80.041086,32.997868,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2027
Goose Creek Manor #2,104 MARILYN ST,Goose Creek,SC,29445-3104,Berkeley,843-572-7442,admin@goosecreekalf.com,CORPORATION,STAR CAPITAL INC,36,-80.041086,32.997868,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2028
Grace Residential Care Facility,6534 CAROLINA HWY,Denmark,SC,29042-2366,Bamberg,803-793-3423,bernestinedavis@yahoo.com,CORPORATION,GRACE RESIDENTIAL CARE FACILITY INC,22,-81.146165,33.300003,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0584
Gracelynn Residential Care Facility,203 JEWEL ST N,New Ellenton,SC,29809-2942,Aiken,803-761-2045,adultandseniorservices@gmail.com,LIMITED LIABILITY COMPANY (SINGLE MEMBER),GRACELYNN RESIDENTIAL CARE FACILITY LLC,6,-81.68776331,33.41973844,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1609
Greenville Community Residence,158 CAVALIER DR,Greenville,SC,29607-4262,Greenville,864-277-9656,david.bellew@thriveupstate.org,STATE,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,12,-82.35241353,34.79343826,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0073
Greenville Glen Assisted Living,1101 GARLINGTON RD,Greenville,SC,29615-5446,Greenville,864-627-8700,ed@greenvilleglen.com,LIMITED LIABILITY,ML GREENVILLE GLEN LLC,51,-82.26459,34.850229,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2069
Greenville Place,2006 PELHAM RD,Greenville,SC,29615-4005,Greenville,864-288-3331,terri.baker@jeaseniorliving.com,CORPORATION,CSL LEASECO INC,153,-82.28389583,34.86175355,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1402
Greer Community Residence,112 S BEVERLY LN,Greer,SC,29651-1738,Greenville,864-449-5982,sheletha.mays@thriveupstate.org,STATE,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,12,-82.24401411,34.94031453,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0237
Guardian Angels Residential Care,2126 SUCCESS ST,North Charleston,SC,29405-7992,Charleston,843-744-0448,guardianangelsrcf@yahoo.com,CORPORATION,GUARDIAN ANGELS ASSISTED LIVING INC,18,-79.97206793,32.8518404,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1049
Hammond Place,128 WALNUT LN,North Augusta,SC,29860-9206,Aiken,803-441-8441,drandall@enlivant.com,,HAMMOND AID OPCO LLC,44,-81.94392484,33.57270425,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1405
Hampton Street Community Residence,425 HAMPTON ST,Denmark,SC,29042-1368,Bamberg,803-793-4093,tdavis@bcdsnb.org,,BAMBERG COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.13521893,33.32453911,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1296
Hannah Residential Manor,3750 SHEMINALLY RD,Pamplico,SC,29583-5700,Florence,843-493-0001,patriciahart0910@gmail.com,PARTNERSHIP,PATRICIA W HART & RONALD E HART SR,48,-79.56819309,33.8818065,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0712
Harbison Shores,990 COLUMBIA AVE,Irmo,SC,29063-2854,Lexington,803-749-7889,nshannon@tarantino.com,LIMITED LIABILITY COMPANY (MULTIPLE MEMBER),TARANTINO SENIOR LIVING COMMUNITIES LLC,82,-81.173122,34.087204,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2180
Harbor Cove Memory Care,48 MAIN ST,Hilton Head Island,SC,29926-1647,Beaufort,843-342-7122,klee.latham@navionsl.com,LIMITED LIABILITY,NAVION BKE HILTON HEAD COURT LLC,36,-80.717136,32.219457,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2099
Harborchase Of Aiken,1385 SILVER BLUFF RD,Aiken,SC,29803-8860,Aiken,803-721-4639,ngilliam@hraonline.net,CORPORATION,TWENTY TWO PACK MANAGEMENT CORPORATION,110,-81.74049678,33.50515409,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1316
