Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
776 MAIN STREET,RCA39294,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,776 MAIN ST APT 2,OLD TOWN,ME,04468-2030,PENOBSCOT,+1 (207) 817-0659,ASSISTED HOUSING,2
79 CARRIER COURT,RCC2136,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,79 CARRIER CT,AUBURN,ME,04210-8216,ANDROSCOGGIN,+1 (207) 376-4845,ASSISTED HOUSING,4
8 BLANCHETTE STREET,RCC2083,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,8 BLANCHETTE ST,LEWISTON,ME,04240-4730,ANDROSCOGGIN,+1 (207) 689-3224,ASSISTED HOUSING,4
823 CONGRESS STREET,RCA38927,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,823 CONGRESS ST APT 3,PORTLAND,ME,04102-3140,CUMBERLAND,+1 (207) 828-0048 x155,ASSISTED HOUSING,2
85 DIRIGO GROUP HOME,RCA39090,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,85 DIRIGO DR,BANGOR,ME,04401-2355,PENOBSCOT,+1 (800) 434-3000,ASSISTED HOUSING,2
89 WEST PLEASANT STREET,RCB39123,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,89 W PLEASANT ST,WESTBROOK,ME,04092-2745,CUMBERLAND,+1 (207) 939-1009,ASSISTED HOUSING,3
93 RIDLEY ROAD,RCC2366,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,93 RIDLEY RD,SANFORD,ME,04073-6215,YORK,+1 (207) 850-1049,ASSISTED HOUSING,3
97 GOOGIN,RCA39219,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,97 GOOGIN ST,LEWISTON,ME,04240-5313,ANDROSCOGGIN,+1 (207) 333-5156,ASSISTED HOUSING,2
ABBOT HOUSE,RCC38829,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,76 WEST RD,ABBOT,ME,04406-3022,PISCATAQUIS,+1 (207) 876-3703,ASSISTED HOUSING,6
ACHIEVEMENT HOUSE,RCC16,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,54 BARROWS DR,TOPSHAM,ME,04086-1324,SAGADAHOC,+1 (207) 844-8491,ASSISTED HOUSING,4
ADAMS STREET,ALP39061,ASSISTED LIVING PROGRAM,ACTIVE,65 ADAMS ST,BIDDEFORD,ME,04005-2581,YORK,+1 (207) 282-4029,ASSISTED HOUSING,6
ADDISON HOUSE,RCC17,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 RIVERVIEW LANE,ADDISON,ME,4606,WASHINGTON,+1 (207) 483-4341,ASSISTED HOUSING,4
AIDEN DRIVE,RCA39317,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,48 AIDEN DR,SABATTUS,ME,04280-4458,ANDROSCOGGIN,+1 (207) 375-3044,ASSISTED HOUSING,1
ALBANY STREET,RCC1301,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,49 ALBANY STREET EXT,SOUTH PORTLAND,ME,04106-6007,CUMBERLAND,+1 (207) 828-9469,ASSISTED HOUSING,3
ALLISON AVENUE,RCC2241,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,56 ALLISON AVE,PORTLAND,ME,04103-1655,CUMBERLAND,+1 (207) 774-7911,ASSISTED HOUSING,4
ALORA STREET,RCC2127,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,19 ALORA ST,LISBON FALLS,ME,04252-1442,ANDROSCOGGIN,+1 (207) 353-8295,ASSISTED HOUSING,3
ALWAYS ONE,RCC1331,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,172 GROVE ST,BANGOR,ME,04401-4008,PENOBSCOT,+1 (207) 307-7549,ASSISTED HOUSING,3
ALZHEIMERS CARE CENTER,PND24,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,154 DRESDEN AVE,GARDINER,ME,04345-2615,KENNEBEC,+1 (207) 626-1770,ASSISTED HOUSING,30
ALZHEIMER'S CARE CENTER ADULT DAY SERVICES,ADS23,ADULT DAY SERVICES PROGRAM,ACTIVE,154 DRESDEN AVE,GARDINER,ME,04345-2615,KENNEBEC,+1 (207) 626-1834,ASSISTED HOUSING,20
AMHERST HOUSE,RCC38689,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,25 AMHERST ST,BIDDEFORD,ME,04005-2966,YORK,+1 (207) 622-7566,ASSISTED HOUSING,3
ANCHOR SENIOR CARE RESIDENCE,RCD38832,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,25 OAK ST,SPRINGVALE,ME,04083-1927,YORK,+1 (207) 324-4046,ASSISTED HOUSING,8
ANDERSON LANE WAIVER-ALW,RCC2041,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 ANDERSON LN,CANAAN,ME,04924-3720,SOMERSET,+1 (207) 612-0024,ASSISTED HOUSING,3
ANDERSON ROAD,RCA39066,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,24 ANDERSON RD,WINDHAM,ME,04062-4010,CUMBERLAND,+1 (207) 937-8260,ASSISTED HOUSING,2
ANDREWS HOUSE MEMORY CARE,ALP38671,ASSISTED LIVING PROGRAM,ACTIVE,3 MARKET SQ,SOUTH PARIS,ME,04281-1114,OXFORD,+1 (207) 743-7086,ASSISTED HOUSING,16
ANDROSCOGGIN DOWN-SUPPORT SOLUTIONS,RCA39245,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,69 ANDROSCOGGIN AVE FL 1,LEWISTON,ME,04240-6601,ANDROSCOGGIN,+1 (207) 241-2308,ASSISTED HOUSING,2
ANDROSCOGGIN UP-SUPPORT SOLUTIONS,RCA39246,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,69 ANDROSCOGGIN AVE FL 2,LEWISTON,ME,04240-6601,ANDROSCOGGIN,+1 (207) 241-2308,ASSISTED HOUSING,2
ANDY'S PLACE,PNC2385,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,409 MAPLE ST,RUMFORD,ME,04276-2115,OXFORD,+1 (207) 364-3549,ASSISTED HOUSING,4
ANGEL HAVEN ASSISTED LIVING,RCC2066,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,532 UNION ST,BANGOR,ME,04401-3751,PENOBSCOT,+1 (207) 460-9303,ASSISTED HOUSING,6
ANNETTE OVERLOCK HOME,RCC28,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 CANNS BEACH RD,OWLS HEAD,ME,04854-3627,KNOX,+1 (207) 594-2537,ASSISTED HOUSING,4
ANSON STREET,RCC1634,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,118 ANSON ST,FARMINGTON,ME,04938-5735,FRANKLIN,+1 (207) 860-4055,ASSISTED HOUSING,5
APPLE RIDGE,RCC34,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,27 STODDARD POND RD,BOWDOIN,ME,04287-7745,SAGADAHOC,+1 (207) 666-8130,ASSISTED HOUSING,3
ARBOR TERRACE,PND38678,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,13 PLAISTED ST,GARDINER,ME,04345-1821,KENNEBEC,+1 (207) 582-1878,ASSISTED HOUSING,41
ARBOR VIEW,RCC1993,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,9 ARBOR VIEW LN,SCARBOROUGH,ME,04074-8389,CUMBERLAND,+1 (207) 883-0381,ASSISTED HOUSING,3
ARMANDO'S MANOR,RCD38864,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1592 US HWY 1,HANCOCK,ME,04640-3840,HANCOCK,+1 (207) 422-0029,ASSISTED HOUSING,8
AROOSTOOK AREA AGENCY ON AGING-ADULT DAY SERVICES,ADS38643,ADULT DAY SERVICES PROGRAM,ACTIVE,33 DAVIS ST,PRESQUE ISLE,ME,04769-2218,AROOSTOOK,+1 (207) 764-6185,ASSISTED HOUSING,20
ARUNDEL A,RCC2156,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,84 S SKILLINGS RD,ARUNDEL,ME,04046-8517,YORK,+1 (207) 795-0672,ASSISTED HOUSING,3
ARUNDEL B,RCC1960,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,81 S SKILLINGS RD,ARUNDEL,ME,04046-8516,YORK,+1 (207) 795-0672,ASSISTED HOUSING,3
ASI-FAIRFIELD,PNC37,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,24 SUMMIT ST,FAIRFIELD,ME,04937-1212,SOMERSET,+1 (207) 453-9845,ASSISTED HOUSING,3
ASI-LEIGHTON STREET,PNC38767,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1 LEIGHTON ST,WATERVILLE,ME,04901-6662,KENNEBEC,+1 (207) 873-0184,ASSISTED HOUSING,5
ATHENS HOUSE,PNC1753,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,21 NORTH RD,ATHENS,ME,04912-4001,SOMERSET,+1 (207) 654-2204,ASSISTED HOUSING,3
ATLANTIC SHORES,RCC38876,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,100 MARSHVILLE RD,HARRINGTON,ME,04643-3121,WASHINGTON,+1 (207) 483-8041,ASSISTED HOUSING,6
ATRIA KENNEBUNK,ALP40,ASSISTED LIVING PROGRAM,ACTIVE,1 PENNY LN,KENNEBUNK,ME,04043-6635,YORK,+1 (207) 985-5866,ASSISTED HOUSING,74
AUBURN,PNC38605,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,30 SACRED HEART PL,AUBURN,ME,04210-4938,ANDROSCOGGIN,+1 (207) 312-5726,ASSISTED HOUSING,5
AUBURN GROUP HOME,PND38682,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,109 DAVIS AVE,AUBURN,ME,04210-4767,ANDROSCOGGIN,+1 (207) 783-8671,ASSISTED HOUSING,7
AUBURN HOUSE,PND38808,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,15 CROQUET LN,PORTLAND,ME,04103-2181,CUMBERLAND,+1 (207) 878-6620,ASSISTED HOUSING,7
AUDREY G. MERCIER,RCB2310,LEVEL II RESIDENTIAL CARE FACILITY,FAILED TO RENEW,,,,,,+1 (207) 785-4606,ASSISTED HOUSING,3
AUGUSTA HOUSE,ALP38756,ASSISTED LIVING PROGRAM,ACTIVE,64 WINTHROP ST,AUGUSTA,ME,04330-5568,KENNEBEC,+1 (207) 873-2136,ASSISTED HOUSING,8
AUGUSTA ONE,RCC38619,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,26 CREATIVE WAY,AUGUSTA,ME,04330-8329,KENNEBEC,+1 (207) 423-0531,ASSISTED HOUSING,3
AUGUSTA TWO,RCC38618,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,33 CREATIVE WAY,AUGUSTA,ME,04330-8329,KENNEBEC,+1 (207) 423-0531,ASSISTED HOUSING,5
AVITA OF BRUNSWICK,PND38857,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,89 ADMIRAL FITCH AVE,BRUNSWICK,ME,04011-2700,CUMBERLAND,+1 (207) 729-6222,ASSISTED HOUSING,75
AVITA OF STROUDWATER,PND38858,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,113 LANDING RD,WESTBROOK,ME,04092-4094,CUMBERLAND,+1 (207) 857-9007,ASSISTED HOUSING,75
AVITA OF WELLS,PND38859,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,86 SANFORD RD,WELLS,ME,04090-5532,YORK,+1 (207) 646-3444,ASSISTED HOUSING,75
BACK WINTERPORT ROAD,RCA39202,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,487 BACK WINTERPORT RD,HAMPDEN,ME,04444-1120,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
BACON STREET,PND38849,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,72 BACON ST,BIDDEFORD,ME,04005-3199,YORK,+1 (207) 282-6633,ASSISTED HOUSING,10
BALSAM HOUSE,RCD2175,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,256 GORDEN RD,READFIELD,ME,04355-3016,KENNEBEC,+1 (207) 685-3286,ASSISTED HOUSING,10
BANCROFT,RCA39149,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 BANCROFT CT,PORTLAND,ME,04102-1731,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
BARIBEAU DRIVE,RCC38998,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,87 BARIBEAU DR,BRUNSWICK,ME,04011-3229,CUMBERLAND,+1 (207) 504-5683,ASSISTED HOUSING,6
BARRON CENTER ADULT DAY CARE I,ADS71,ADULT DAY SERVICES PROGRAM,ACTIVE,1145 BRIGHTON AVE,PORTLAND,ME,04102-1025,CUMBERLAND,+1 (207) 541-6620,ASSISTED HOUSING,25
BARRON CENTER ADULT DAY CARE II,ADS72,ADULT DAY SERVICES PROGRAM,ACTIVE,1145 BRIGHTON AVE,PORTLAND,ME,04102-1025,CUMBERLAND,+1 (207) 541-6620,ASSISTED HOUSING,20
BARTLETT WOODS,ALP1807,ASSISTED LIVING PROGRAM,ACTIVE,180 TALBOT AVENUE,ROCKLAND,ME,4841,KNOX,+1 (207) 594-1163,ASSISTED HOUSING,35
BATH STREET HOME,RCC1578,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,68 BATH ST,BATH,ME,04530-1940,SAGADAHOC,+1 (207) 386-5163,ASSISTED HOUSING,3
BAY SQUARE AT YARMOUTH,ALP38901,ASSISTED LIVING PROGRAM,ACTIVE,27 FOREST FALLS DR,YARMOUTH,ME,04096-6972,CUMBERLAND,+1 (207) 846-0044,ASSISTED HOUSING,60
BAY SQUARE AT YARMOUTH ADULT DAY,ADS38900,ADULT DAY SERVICES PROGRAM,ACTIVE,27 FOREST FALLS DR,YARMOUTH,ME,04096-6972,CUMBERLAND,+1 (207) 846-0044,ASSISTED HOUSING,10
BAYVIEW MANOR,PND76,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,45 WEST MAIN STREET,SEARSPORT,ME,4974,WALDO,+1 (207) 548-2415,ASSISTED HOUSING,30
BEACH STREET HOUSE,RCD1566,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,255 BEACH ST,SACO,ME,04072-2935,YORK,+1 (207) 282-2617,ASSISTED HOUSING,7
BEAL STREET,RCC38690,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 BEAL ST,NORWAY,ME,04268-6040,OXFORD,+1 (207) 743-6902,ASSISTED HOUSING,4
BEAN'S CORNER WAIVER,RCC2162,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,723 CANAAN RD,PITTSFIELD,ME,04967-5542,SOMERSET,+1 (207) 938-4615,ASSISTED HOUSING,3
BECKET HOUSE,RCD39099,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,224 PINE TREE RD,LITCHFIELD,ME,04350-3809,KENNEBEC,+1 (207) 268-3810,ASSISTED HOUSING,10
BEDSIDE MANOR,RCD2197,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,461 BELGRADE RD,OAKLAND,ME,04963-4401,KENNEBEC,+1 (207) 465-2527,ASSISTED HOUSING,10
BEDSIDE MANOR EAST,RCD2364,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,210 COUNTRY CLUB RD,OAKLAND,ME,04963-4815,KENNEBEC,+1 (207) 465-8382,ASSISTED HOUSING,16
BEECH GROVE,RCC38824,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,8 BEECH GROVE AVE,GLENBURN,ME,04401-1432,PENOBSCOT,+1 (207) 307-7914,ASSISTED HOUSING,4
BELLA POINT BRIDGTON,PND38813,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,186 PORTLAND RD,BRIDGTON,ME,04009-4224,CUMBERLAND,+1 (207) 594-4990,ASSISTED HOUSING,57
BELLA POINT CAMDEN,PND38738,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,51 MECHANIC ST,CAMDEN,ME,04843-1845,KNOX,+1 (207) 236-3600,ASSISTED HOUSING,47
BELLA POINT FREEPORT,PND38814,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,3 EAST ST,FREEPORT,ME,04032-1405,CUMBERLAND,+1 (207) 594-4990,ASSISTED HOUSING,60
BELLA POINT FRYEBURG,PND38815,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,70 FAIRVIEW DR,FRYEBURG,ME,04037-1524,OXFORD,+1 (207) 594-4990,ASSISTED HOUSING,60
BELLA POINT SIDNEY,PND38733,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,888 POND RD,SIDNEY,ME,04330-2127,KENNEBEC,+1 (207) 594-4990,ASSISTED HOUSING,22
BEN AVENUE,RCC82,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 BEN AVE,BIDDEFORD,ME,04005-9778,YORK,+1 (207) 283-9442,ASSISTED HOUSING,3
BENNETT APARTMENT-SUPPORT SOLUTIONS,RCA39247,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,114 BENNETT AVE,AUBURN,ME,04210-4282,ANDROSCOGGIN,+1 (207) 241-0861,ASSISTED HOUSING,1
BENNETT HOUSE-SUPPORT SOLUTIONS,RCA39248,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,114 BENNETT AVE,AUBURN,ME,04210-4282,ANDROSCOGGIN,+1 (207) 241-0861,ASSISTED HOUSING,2
BERWICK ESTATES,PND38679,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,79 PORTLAND ST,SOUTH BERWICK,ME,03908-1223,YORK,+1 (207) 384-2715,ASSISTED HOUSING,37
BETHEL ROAD HOME,RCA39187,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,"144 BETHEL ROAD, APT 6",WEST PARIS,ME,,,,ASSISTED HOUSING,1
BFLI-ARBORETUM,RCC1618,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,133 ARBORETUM PARK DR,WARREN,ME,04864-4284,KNOX,+1 (207) 354-3592,ASSISTED HOUSING,4
BFLI-HARBORVIEW,RCC1616,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 TOTE ROAD,OWLS HEAD,ME,4854,KNOX,+1 (207) 594-2631,ASSISTED HOUSING,6
BFLI-WARREN HOUSE,RCC1617,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1116 MIDDLE RD,WARREN,ME,04864-4425,KNOX,+1 (207) 338-0889,ASSISTED HOUSING,3
BIDDEFORD ESTATES,PND38680,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,2 DARTMOUTH ST,BIDDEFORD,ME,04005-2958,YORK,+1 (207) 283-0111,ASSISTED HOUSING,89
BIGELOW HILL HOUSE,PNC38638,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 BIGELOW HILL RD,SKOWHEGAN,ME,04976-5127,SOMERSET,+1 (207) 858-8629,ASSISTED HOUSING,6
BILLIE'S ARCH,RCC1795,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,8 LEONARD ST,HOULTON,ME,04730-1708,AROOSTOOK,+1 (207) 532-3952,ASSISTED HOUSING,6
BIRCH BAY RETIREMENT VILLAGE,ALP1953,ASSISTED LIVING PROGRAM,ACTIVE,25 VILLAGE INN RD,BAR HARBOR,ME,04609-7451,HANCOCK,+1 (207) 288-8014,ASSISTED HOUSING,23
BIRCH BAY VILLAGE INN,PND1657,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,25 VILLAGE INN RD,BAR HARBOR,ME,04609-7451,HANCOCK,+1 (207) 288-8014,ASSISTED HOUSING,40
BIRCH GROVE,RCC38878,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,26 OLD LISBON RD,LEWISTON,ME,04240-1500,ANDROSCOGGIN,+1 (207) 786-5248,ASSISTED HOUSING,5
BIRCH LANE,RCC95,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,17 BIRCH LN,OLD ORCHARD BEACH,ME,04064-1550,YORK,+1 (207) 934-8570,ASSISTED HOUSING,3
BIRCHWOOD,RCC99,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,106 HUSSEY HILL RD,OAKLAND,ME,04963-5117,KENNEBEC,+1 (207) 671-3565,ASSISTED HOUSING,5
BIRCHWOODS AT CANCO ASSISTED LIVING,ALP38676,ASSISTED LIVING PROGRAM,ACTIVE,86 HOLIDAY DR,PORTLAND,ME,04103-4368,CUMBERLAND,+1 (207) 772-1080,ASSISTED HOUSING,80
BISHOP HOUSE,PNC38691,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,11 BISHOP DR,WINDHAM,ME,04062-4649,CUMBERLAND,+1 (207) 892-1446,ASSISTED HOUSING,4
BLANCHARD HOUSE,PND38801,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,154 CLARK ST,PORTLAND,ME,04102-3831,CUMBERLAND,+1 (207) 874-1092,ASSISTED HOUSING,7
BLUESTAR HOMECARE,RCA38752,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,23 MYRTLE ST APT 102,BIDDEFORD,ME,04005-3578,YORK,+1 (207) 210-1090,ASSISTED HOUSING,2
BOARDMAN COTTAGE,RCD1793,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,131 MAIN RD,ISLESBORO,ME,04848-4556,WALDO,+1 (207) 734-2100,ASSISTED HOUSING,8
BOLSTER HEIGHTS RESIDENTIAL CARE,PND109,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,26 BOLSTER ST,AUBURN,ME,04210-5302,ANDROSCOGGIN,+1 (207) 784-1364,ASSISTED HOUSING,84
BOLTON HILL HOUSE I,RCC39080,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,196 BOLTON HILL RD,AUGUSTA,ME,04330-0232,KENNEBEC,,ASSISTED HOUSING,5
BOLTON HILL HOUSE II,PNC39024,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,204 BOLTON HILL RD,AUGUSTA,ME,04330-0233,KENNEBEC,,ASSISTED HOUSING,5
BOLTON HILL HOUSE III,PNC39079,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,212 BOLTON HILL RD,AUGUSTA,ME,04330-0233,KENNEBEC,,ASSISTED HOUSING,5
BONNY BRIAR,RCA39392,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,45 BONNYBRIAR RD,SOUTH PORTLAND,ME,04106-6308,CUMBERLAND,+1 (207) 883-5126,ASSISTED HOUSING,2
BOOTHBAY GREEN,RCC1124,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,8 COUNTRY CLUB RD,BOOTHBAY,ME,04537-4661,LINCOLN,+1 (207) 633-2440,ASSISTED HOUSING,6
BORDERVIEW REHABILITATION & LIVING CENTER,RCD38596,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,208 STATE ST,VAN BUREN,ME,04785-1618,AROOSTOOK,+1 (207) 868-5211,ASSISTED HOUSING,53
BOUNDARY ROAD,RCA39063,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,760 BOUNDARY RD,STANDISH,ME,,,+1 (207) 937-8260,ASSISTED HOUSING,2
BOUTELLE,RCA38960,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,30 BOUTELLE AVE APT 1,WATERVILLE,ME,04901-4869,KENNEBEC,+1 (207) 795-6737,ASSISTED HOUSING,2
BOWDOINHAM HOUSE,PNC2050,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,336 FISHER RD,BOWDOINHAM,ME,04008-4209,SAGADAHOC,+1 (207) 666-3663,ASSISTED HOUSING,6
BRACKETT STREET HOUSE,PNC1827,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,232 BRACKETT ST,PORTLAND,ME,04102-3227,CUMBERLAND,+1 (207) 553-2188,ASSISTED HOUSING,6
"BRADFORD ON THE COMMON, BRADFORD COURT",RCD1825,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,3 HUNTINGTON COMMON DR,KENNEBUNK,ME,04043-6571,YORK,+1 (207) 985-2810,ASSISTED HOUSING,144
BRADMAN PLACE,RCC125,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 BRADMAN PL,AUBURN,ME,04210-6332,ANDROSCOGGIN,+1 (207) 782-2726,ASSISTED HOUSING,4
BRAE DRIVE HOME - DEHI,RCC39087,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,13 BRAE DR,ELLSWORTH,ME,04605-1868,HANCOCK,+1 (207) 412-2439,ASSISTED HOUSING,3
BREMEN HOUSE,RCA39172,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,4 DINISTON RD,BREMEN,ME,04551-3300,LINCOLN,+1 (207) 529-4106,ASSISTED HOUSING,2
BREWER GROUP HOME,RCC133,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1104 N MAIN ST,BREWER,ME,04412-1238,PENOBSCOT,+1 (207) 573-4025,ASSISTED HOUSING,3
BRICK HOUSE,RCC38692,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,642 MAIN ST,MADISON,ME,04950-4213,SOMERSET,+1 (207) 696-4317,ASSISTED HOUSING,5
BRIDGE HILL MANOR,RCD38817,LEVEL IV RESIDENTIAL CARE FACILITY,FAILED TO RENEW,64 BUCKSPORT RD,ELLSWORTH,ME,04605-2230,HANCOCK,+1 (207) 951-6800,ASSISTED HOUSING,8
"BRIDGE, THE",PND38881,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1085 BRIGHTON AVE,PORTLAND,ME,04102-1024,CUMBERLAND,+1 (207) 553-5800 x7080,ASSISTED HOUSING,15
BRIGHTON A,RCA38891,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,408 BRIGHTON AVE,PORTLAND,ME,04102-2328,CUMBERLAND,+1 (207) 578-9475,ASSISTED HOUSING,2
BRIGHTON B,RCC367,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,408B BRIGHTON AVE,PORTLAND,ME,04102-2328,CUMBERLAND,+1 (207) 899-2245,ASSISTED HOUSING,4
BROADWAY HOUSE,PNC1367,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,166 BROADWAY,BANGOR,ME,04401-5208,PENOBSCOT,+1 (207) 947-9630,ASSISTED HOUSING,6
BROOK BEND FARM,RCA138,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,28 DYER RD,DAYTON,ME,04005-7204,YORK,+1 (207) 929-4970,ASSISTED HOUSING,2
BROOK STREET WAIVER,RCC38916,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,20 BROOK ST,WATERVILLE,ME,04901-5540,KENNEBEC,+1 (207) 873-0636,ASSISTED HOUSING,2
BROOKSIDE APARTMENTS,ALP38726,ASSISTED LIVING PROGRAM,ACTIVE,245 MAIN ST,NORWAY,ME,04268-5968,OXFORD,+1 (207) 743-7890,ASSISTED HOUSING,3
BROOKVIEW RESIDENTIAL,RCC38818,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,740 VERNON ST,ALBANY TWP,ME,04217-6221,OXFORD,+1 (207) 381-0184,ASSISTED HOUSING,6
