Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
Aiden Drive,RCA39317,LEVEL I RESIDENTIAL CARE FACILITY,48 AIDEN DR,Sabattus,ME,04280-4458,Androscoggin,+1 (207) 375-3044,ASSISTED HOUSING,1,7/12/21
Albany Street,RCC1301,LEVEL III RESIDENTIAL CARE FACILITY,49 ALBANY STREET EXT,South Portland,ME,04106-6007,Cumberland,+1 (207) 828-9469,ASSISTED HOUSING,3,7/12/21
Allison Avenue,RCC2241,LEVEL III RESIDENTIAL CARE FACILITY,56 ALLISON AVE,Portland,ME,04103-1655,Cumberland,+1 (207) 774-7911,ASSISTED HOUSING,4,7/12/21
Alora Street,RCC2127,LEVEL III RESIDENTIAL CARE FACILITY,19 ALORA ST,Lisbon Falls,ME,04252-1442,Androscoggin,+1 (207) 353-8295,ASSISTED HOUSING,3,7/12/21
Always One,RCC1331,LEVEL III RESIDENTIAL CARE FACILITY,172 GROVE ST,Bangor,ME,04401-4008,Penobscot,+1 (207) 307-7549,ASSISTED HOUSING,3,7/12/21
Alzheimers Care Center,PND24,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,154 DRESDEN AVE,Gardiner,ME,04345-2615,Kennebec,+1 (207) 626-1770,ASSISTED HOUSING,30,7/12/21
Alzheimer'S Care Center Adult Day Services,ADS23,ADULT DAY SERVICES PROGRAM,154 DRESDEN AVE,Gardiner,ME,04345-2615,Kennebec,+1 (207) 626-1834,ASSISTED HOUSING,20,7/12/21
Amherst House,RCC38689,LEVEL III RESIDENTIAL CARE FACILITY,25 AMHERST ST,Biddeford,ME,04005-2966,York,+1 (207) 622-7566,ASSISTED HOUSING,3,7/12/21
Anchor Senior Care Residence,RCD38832,LEVEL IV RESIDENTIAL CARE FACILITY,25 OAK ST,Springvale,ME,04083-1927,York,+1 (207) 324-4046,ASSISTED HOUSING,8,7/12/21
Anderson Lane Waiver-Alw,RCC2041,LEVEL III RESIDENTIAL CARE FACILITY,15 ANDERSON LN,Canaan,ME,04924-3720,Somerset,+1 (207) 612-0024,ASSISTED HOUSING,3,7/12/21
Anderson Road,RCA39066,LEVEL I RESIDENTIAL CARE FACILITY,24 ANDERSON RD,Windham,ME,04062-4010,Cumberland,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Andrews House Memory Care,ALP38671,ASSISTED LIVING PROGRAM,3 MARKET SQ,South Paris,ME,04281-1114,Oxford,+1 (207) 743-7086,ASSISTED HOUSING,16,7/12/21
Androscoggin Down-Support Solutions,RCA39245,LEVEL I RESIDENTIAL CARE FACILITY,69 ANDROSCOGGIN AVE FL 1,Lewiston,ME,04240-6601,Androscoggin,+1 (207) 241-2308,ASSISTED HOUSING,2,7/12/21
Androscoggin Up-Support Solutions,RCA39246,LEVEL I RESIDENTIAL CARE FACILITY,69 ANDROSCOGGIN AVE FL 2,Lewiston,ME,04240-6601,Androscoggin,+1 (207) 241-2308,ASSISTED HOUSING,2,7/12/21
Andy'S Place,PNC2385,PNMI LEVEL III RESIDENTIAL CARE FACILITY,409 MAPLE ST,Rumford,ME,04276-2115,Oxford,+1 (207) 364-3549,ASSISTED HOUSING,4,7/12/21
Angel Haven Assisted Living,RCC2066,LEVEL III RESIDENTIAL CARE FACILITY,532 UNION ST,Bangor,ME,04401-3751,Penobscot,+1 (207) 460-9303,ASSISTED HOUSING,6,7/12/21
Annette Overlock Home,RCC28,LEVEL III RESIDENTIAL CARE FACILITY,22 CANNS BEACH RD,Owls Head,ME,04854-3627,Knox,+1 (207) 594-2537,ASSISTED HOUSING,4,7/12/21
Anson Street,RCC1634,LEVEL III RESIDENTIAL CARE FACILITY,118 ANSON ST,Farmington,ME,04938-5735,Franklin,+1 (207) 860-4055,ASSISTED HOUSING,5,7/12/21
Apple Ridge,RCC34,LEVEL III RESIDENTIAL CARE FACILITY,27 STODDARD POND RD,Bowdoin,ME,04287-7745,Sagadahoc,+1 (207) 666-8130,ASSISTED HOUSING,3,7/12/21
Arbor Terrace,PND38678,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,13 PLAISTED ST,Gardiner,ME,04345-1821,Kennebec,+1 (207) 582-1878,ASSISTED HOUSING,41,7/12/21
Arbor View,RCC1993,LEVEL III RESIDENTIAL CARE FACILITY,9 ARBOR VIEW LN,Scarborough,ME,04074-8389,Cumberland,+1 (207) 883-0381,ASSISTED HOUSING,3,7/12/21
Armando'S Manor,RCD38864,LEVEL IV RESIDENTIAL CARE FACILITY,1592 US HWY 1,Hancock,ME,04640-3840,Hancock,+1 (207) 422-0029,ASSISTED HOUSING,8,7/12/21
Aroostook Area Agency On Aging-Adult Day Services,ADS38643,ADULT DAY SERVICES PROGRAM,33 DAVIS ST,Presque Isle,ME,04769-2218,Aroostook,+1 (207) 764-6185,ASSISTED HOUSING,20,7/12/21
Arundel A,RCC2156,LEVEL III RESIDENTIAL CARE FACILITY,84 S SKILLINGS RD,Arundel,ME,04046-8517,York,+1 (207) 795-0672,ASSISTED HOUSING,3,7/12/21
Arundel B,RCC1960,LEVEL III RESIDENTIAL CARE FACILITY,81 S SKILLINGS RD,Arundel,ME,04046-8516,York,+1 (207) 795-0672,ASSISTED HOUSING,3,7/12/21
Asi-Fairfield,PNC37,PNMI LEVEL III RESIDENTIAL CARE FACILITY,24 SUMMIT ST,Fairfield,ME,04937-1212,Somerset,+1 (207) 453-9845,ASSISTED HOUSING,3,7/12/21
Asi-Leighton Street,PNC38767,PNMI LEVEL III RESIDENTIAL CARE FACILITY,1 LEIGHTON ST,Waterville,ME,04901-6662,Kennebec,+1 (207) 873-0184,ASSISTED HOUSING,5,7/12/21
Athens House,PNC1753,PNMI LEVEL III RESIDENTIAL CARE FACILITY,21 NORTH RD,Athens,ME,04912-4001,Somerset,+1 (207) 654-2204,ASSISTED HOUSING,3,7/12/21
Atlantic Shores,RCC38876,LEVEL III RESIDENTIAL CARE FACILITY,100 MARSHVILLE RD,Harrington,ME,04643-3121,Washington,+1 (207) 483-8041,ASSISTED HOUSING,6,7/12/21
Atria Kennebunk,ALP40,ASSISTED LIVING PROGRAM,1 PENNY LN,Kennebunk,ME,04043-6635,York,+1 (207) 985-5866,ASSISTED HOUSING,74,7/12/21
Auburn,PNC38605,PNMI LEVEL III RESIDENTIAL CARE FACILITY,30 SACRED HEART PL,Auburn,ME,04210-4938,Androscoggin,+1 (207) 312-5726,ASSISTED HOUSING,5,7/12/21
Auburn Group Home,PND38682,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,109 DAVIS AVE,Auburn,ME,04210-4767,Androscoggin,+1 (207) 783-8671,ASSISTED HOUSING,7,7/12/21
Auburn House,PND38808,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,15 CROQUET LN,Portland,ME,04103-2181,Cumberland,+1 (207) 878-6620,ASSISTED HOUSING,7,7/12/21
Augusta House,ALP38756,ASSISTED LIVING PROGRAM,64 WINTHROP ST,Augusta,ME,04330-5568,Kennebec,+1 (207) 873-2136,ASSISTED HOUSING,8,7/12/21
Augusta One,RCC38619,LEVEL III RESIDENTIAL CARE FACILITY,26 CREATIVE WAY,Augusta,ME,04330-8329,Kennebec,+1 (207) 423-0531,ASSISTED HOUSING,3,7/12/21
Augusta Two,RCC38618,LEVEL III RESIDENTIAL CARE FACILITY,33 CREATIVE WAY,Augusta,ME,04330-8329,Kennebec,+1 (207) 423-0531,ASSISTED HOUSING,5,7/12/21
Avita Of Brunswick,PND38857,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,89 ADMIRAL FITCH AVE,Brunswick,ME,04011-2700,Cumberland,+1 (207) 729-6222,ASSISTED HOUSING,75,7/12/21
Avita Of Stroudwater,PND38858,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,113 LANDING RD,Westbrook,ME,04092-4094,Cumberland,+1 (207) 857-9007,ASSISTED HOUSING,75,7/12/21
Avita Of Wells,PND38859,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,86 SANFORD RD,Wells,ME,04090-5532,York,+1 (207) 646-3444,ASSISTED HOUSING,75,7/12/21
Back Winterport Road,RCA39202,LEVEL I RESIDENTIAL CARE FACILITY,487 BACK WINTERPORT RD,Hampden,ME,04444-1120,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Bacon Street,PND38849,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,72 BACON ST,Biddeford,ME,04005-3199,York,+1 (207) 282-6633,ASSISTED HOUSING,10,7/12/21
Balsam House,RCD2175,LEVEL IV RESIDENTIAL CARE FACILITY,256 GORDEN RD,Readfield,ME,04355-3016,Kennebec,+1 (207) 685-3286,ASSISTED HOUSING,10,7/12/21
Bancroft,RCA39149,LEVEL I RESIDENTIAL CARE FACILITY,15 BANCROFT CT,Portland,ME,04102-1731,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Baribeau Drive,RCC38998,LEVEL III RESIDENTIAL CARE FACILITY,87 BARIBEAU DR,Brunswick,ME,04011-3229,Cumberland,+1 (207) 504-5683,ASSISTED HOUSING,6,7/12/21
Barron Center Adult Day Care I,ADS71,ADULT DAY SERVICES PROGRAM,1145 BRIGHTON AVE,Portland,ME,04102-1025,Cumberland,+1 (207) 541-6620,ASSISTED HOUSING,25,7/12/21
Barron Center Adult Day Care Ii,ADS72,ADULT DAY SERVICES PROGRAM,1145 BRIGHTON AVE,Portland,ME,04102-1025,Cumberland,+1 (207) 541-6620,ASSISTED HOUSING,20,7/12/21
Bartlett Woods,ALP1807,ASSISTED LIVING PROGRAM,180 TALBOT AVENUE,Rockland,ME,4841,Knox,+1 (207) 594-1163,ASSISTED HOUSING,35,7/12/21
Bath Street Home,RCC1578,LEVEL III RESIDENTIAL CARE FACILITY,68 BATH ST,Bath,ME,04530-1940,Sagadahoc,+1 (207) 386-5163,ASSISTED HOUSING,3,7/12/21
Bay Square At Yarmouth,ALP38901,ASSISTED LIVING PROGRAM,27 FOREST FALLS DR,Yarmouth,ME,04096-6972,Cumberland,+1 (207) 846-0044,ASSISTED HOUSING,60,7/12/21
Bay Square At Yarmouth Adult Day,ADS38900,ADULT DAY SERVICES PROGRAM,27 FOREST FALLS DR,Yarmouth,ME,04096-6972,Cumberland,+1 (207) 846-0044,ASSISTED HOUSING,10,7/12/21
Bayview Manor,PND76,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,45 WEST MAIN STREET,Searsport,ME,4974,Waldo,+1 (207) 548-2415,ASSISTED HOUSING,30,7/12/21
Beach Street House,RCD1566,LEVEL IV RESIDENTIAL CARE FACILITY,255 BEACH ST,Saco,ME,04072-2935,York,+1 (207) 282-2617,ASSISTED HOUSING,7,7/12/21
Beal Street,RCC38690,LEVEL III RESIDENTIAL CARE FACILITY,7 BEAL ST,Norway,ME,04268-6040,Oxford,+1 (207) 743-6902,ASSISTED HOUSING,4,7/12/21
Bean'S Corner Waiver,RCC2162,LEVEL III RESIDENTIAL CARE FACILITY,723 CANAAN RD,Pittsfield,ME,04967-5542,Somerset,+1 (207) 938-4615,ASSISTED HOUSING,3,7/12/21
Becket House,RCD39099,LEVEL IV RESIDENTIAL CARE FACILITY,224 PINE TREE RD,Litchfield,ME,04350-3809,Kennebec,+1 (207) 268-3810,ASSISTED HOUSING,10,7/12/21
Bedside Manor,RCD2197,LEVEL IV RESIDENTIAL CARE FACILITY,461 BELGRADE RD,Oakland,ME,04963-4401,Kennebec,+1 (207) 465-2527,ASSISTED HOUSING,10,7/12/21
Bedside Manor East,RCD2364,LEVEL IV RESIDENTIAL CARE FACILITY,210 COUNTRY CLUB RD,Oakland,ME,04963-4815,Kennebec,+1 (207) 465-8382,ASSISTED HOUSING,16,7/12/21
Beech Grove,RCC38824,LEVEL III RESIDENTIAL CARE FACILITY,8 BEECH GROVE AVE,Glenburn,ME,04401-1432,Penobscot,+1 (207) 307-7914,ASSISTED HOUSING,4,7/12/21
Bella Point Bridgton,PND38813,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,186 PORTLAND RD,Bridgton,ME,04009-4224,Cumberland,+1 (207) 594-4990,ASSISTED HOUSING,57,7/12/21
Bella Point Camden,PND38738,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,51 MECHANIC ST,Camden,ME,04843-1845,Knox,+1 (207) 236-3600,ASSISTED HOUSING,47,7/12/21
Bella Point Freeport,PND38814,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,3 EAST ST,Freeport,ME,04032-1405,Cumberland,+1 (207) 594-4990,ASSISTED HOUSING,60,7/12/21
Bella Point Fryeburg,PND38815,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,70 FAIRVIEW DR,Fryeburg,ME,04037-1524,Oxford,+1 (207) 594-4990,ASSISTED HOUSING,60,7/12/21
Bella Point Sidney,PND38733,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,888 POND RD,Sidney,ME,04330-2127,Kennebec,+1 (207) 594-4990,ASSISTED HOUSING,22,7/12/21
Ben Avenue,RCC82,LEVEL III RESIDENTIAL CARE FACILITY,4 BEN AVE,Biddeford,ME,04005-9778,York,+1 (207) 283-9442,ASSISTED HOUSING,3,7/12/21
Bennett Apartment-Support Solutions,RCA39247,LEVEL I RESIDENTIAL CARE FACILITY,114 BENNETT AVE,Auburn,ME,04210-4282,Androscoggin,+1 (207) 241-0861,ASSISTED HOUSING,1,7/12/21
Bennett House-Support Solutions,RCA39248,LEVEL I RESIDENTIAL CARE FACILITY,114 BENNETT AVE,Auburn,ME,04210-4282,Androscoggin,+1 (207) 241-0861,ASSISTED HOUSING,2,7/12/21
Berwick Estates,PND38679,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,79 PORTLAND ST,South Berwick,ME,03908-1223,York,+1 (207) 384-2715,ASSISTED HOUSING,37,7/12/21
Bethel Road Home,RCA39187,LEVEL I RESIDENTIAL CARE FACILITY,"144 BETHEL ROAD, APT 6",West Paris,ME,,,,ASSISTED HOUSING,1,7/12/21
Bfli-Arboretum,RCC1618,LEVEL III RESIDENTIAL CARE FACILITY,133 ARBORETUM PARK DR,Warren,ME,04864-4284,Knox,+1 (207) 354-3592,ASSISTED HOUSING,4,7/12/21
Bfli-Harborview,RCC1616,LEVEL III RESIDENTIAL CARE FACILITY,7 TOTE ROAD,Owls Head,ME,4854,Knox,+1 (207) 594-2631,ASSISTED HOUSING,6,7/12/21
Bfli-Warren House,RCC1617,LEVEL III RESIDENTIAL CARE FACILITY,1116 MIDDLE RD,Warren,ME,04864-4425,Knox,+1 (207) 338-0889,ASSISTED HOUSING,3,7/12/21
Biddeford Estates,PND38680,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,2 DARTMOUTH ST,Biddeford,ME,04005-2958,York,+1 (207) 283-0111,ASSISTED HOUSING,89,7/12/21
Bigelow Hill House,PNC38638,PNMI LEVEL III RESIDENTIAL CARE FACILITY,22 BIGELOW HILL RD,Skowhegan,ME,04976-5127,Somerset,+1 (207) 858-8629,ASSISTED HOUSING,6,7/12/21
Billie'S Arch,RCC1795,LEVEL III RESIDENTIAL CARE FACILITY,8 LEONARD ST,Houlton,ME,04730-1708,Aroostook,+1 (207) 532-3952,ASSISTED HOUSING,6,7/12/21
Birch Bay Retirement Village,ALP1953,ASSISTED LIVING PROGRAM,25 VILLAGE INN RD,Bar Harbor,ME,04609-7451,Hancock,+1 (207) 288-8014,ASSISTED HOUSING,23,7/12/21
Birch Bay Village Inn,PND1657,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,25 VILLAGE INN RD,Bar Harbor,ME,04609-7451,Hancock,+1 (207) 288-8014,ASSISTED HOUSING,40,7/12/21
Birch Grove,RCC38878,LEVEL III RESIDENTIAL CARE FACILITY,26 OLD LISBON RD,Lewiston,ME,04240-1500,Androscoggin,+1 (207) 786-5248,ASSISTED HOUSING,5,7/12/21
Birch Lane,RCC95,LEVEL III RESIDENTIAL CARE FACILITY,17 BIRCH LN,Old Orchard Beach,ME,04064-1550,York,+1 (207) 934-8570,ASSISTED HOUSING,3,7/12/21
Birchwood,RCC99,LEVEL III RESIDENTIAL CARE FACILITY,106 HUSSEY HILL RD,Oakland,ME,04963-5117,Kennebec,+1 (207) 671-3565,ASSISTED HOUSING,5,7/12/21
Birchwoods At Canco Assisted Living,ALP38676,ASSISTED LIVING PROGRAM,86 HOLIDAY DR,Portland,ME,04103-4368,Cumberland,+1 (207) 772-1080,ASSISTED HOUSING,80,7/12/21
Bishop House,PNC38691,PNMI LEVEL III RESIDENTIAL CARE FACILITY,11 BISHOP DR,Windham,ME,04062-4649,Cumberland,+1 (207) 892-1446,ASSISTED HOUSING,4,7/12/21
Blanchard House,PND38801,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,154 CLARK ST,Portland,ME,04102-3831,Cumberland,+1 (207) 874-1092,ASSISTED HOUSING,7,7/12/21
Bluestar Homecare,RCA38752,LEVEL I RESIDENTIAL CARE FACILITY,23 MYRTLE ST APT 102,Biddeford,ME,04005-3578,York,+1 (207) 210-1090,ASSISTED HOUSING,2,7/12/21
Boardman Cottage,RCD1793,LEVEL IV RESIDENTIAL CARE FACILITY,131 MAIN RD,Islesboro,ME,04848-4556,Waldo,+1 (207) 734-2100,ASSISTED HOUSING,8,7/12/21
Bolster Heights Residential Care,PND109,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,26 BOLSTER ST,Auburn,ME,04210-5302,Androscoggin,+1 (207) 784-1364,ASSISTED HOUSING,84,7/12/21
Bolton Hill House I,RCC39080,LEVEL III RESIDENTIAL CARE FACILITY,196 BOLTON HILL RD,Augusta,ME,04330-0232,Kennebec,,ASSISTED HOUSING,5,7/12/21
Bolton Hill House Ii,PNC39024,PNMI LEVEL III RESIDENTIAL CARE FACILITY,204 BOLTON HILL RD,Augusta,ME,04330-0233,Kennebec,,ASSISTED HOUSING,5,7/12/21
Bolton Hill House Iii,PNC39079,PNMI LEVEL III RESIDENTIAL CARE FACILITY,212 BOLTON HILL RD,Augusta,ME,04330-0233,Kennebec,,ASSISTED HOUSING,5,7/12/21
Bonny Briar,RCA39392,LEVEL I RESIDENTIAL CARE FACILITY,45 BONNYBRIAR RD,South Portland,ME,04106-6308,Cumberland,+1 (207) 883-5126,ASSISTED HOUSING,2,7/12/21
Boothbay Green,RCC1124,LEVEL III RESIDENTIAL CARE FACILITY,8 COUNTRY CLUB RD,Boothbay,ME,04537-4661,Lincoln,+1 (207) 633-2440,ASSISTED HOUSING,6,7/12/21
Borderview Rehabilitation & Living Center,RCD38596,LEVEL IV RESIDENTIAL CARE FACILITY,208 STATE ST,Van Buren,ME,04785-1618,Aroostook,+1 (207) 868-5211,ASSISTED HOUSING,53,7/12/21
Boundary Road,RCA39063,LEVEL I RESIDENTIAL CARE FACILITY,760 BOUNDARY RD,Standish,ME,,,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Boutelle,RCA38960,LEVEL I RESIDENTIAL CARE FACILITY,30 BOUTELLE AVE APT 1,Waterville,ME,04901-4869,Kennebec,+1 (207) 795-6737,ASSISTED HOUSING,2,7/12/21
Bowdoinham House,PNC2050,PNMI LEVEL III RESIDENTIAL CARE FACILITY,336 FISHER RD,Bowdoinham,ME,04008-4209,Sagadahoc,+1 (207) 666-3663,ASSISTED HOUSING,6,7/12/21
Brackett Street House,PNC1827,PNMI LEVEL III RESIDENTIAL CARE FACILITY,232 BRACKETT ST,Portland,ME,04102-3227,Cumberland,+1 (207) 553-2188,ASSISTED HOUSING,6,7/12/21
"Bradford On The Common, Bradford Court",RCD1825,LEVEL IV RESIDENTIAL CARE FACILITY,3 HUNTINGTON COMMON DR,Kennebunk,ME,04043-6571,York,+1 (207) 985-2810,ASSISTED HOUSING,144,7/12/21
Bradman Place,RCC125,LEVEL III RESIDENTIAL CARE FACILITY,7 BRADMAN PL,Auburn,ME,04210-6332,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,4,7/12/21
Brae Drive Home - Dehi,RCC39087,LEVEL III RESIDENTIAL CARE FACILITY,13 BRAE DR,Ellsworth,ME,04605-1868,Hancock,+1 (207) 412-2439,ASSISTED HOUSING,3,7/12/21
Bremen House,RCA39172,LEVEL I RESIDENTIAL CARE FACILITY,4 DINISTON RD,Bremen,ME,04551-3300,Lincoln,+1 (207) 529-4106,ASSISTED HOUSING,2,7/12/21
Brewer Group Home,RCC133,LEVEL III RESIDENTIAL CARE FACILITY,1104 N MAIN ST,Brewer,ME,04412-1238,Penobscot,+1 (207) 573-4025,ASSISTED HOUSING,3,7/12/21
Brick House,RCC38692,LEVEL III RESIDENTIAL CARE FACILITY,642 MAIN ST,Madison,ME,04950-4213,Somerset,+1 (207) 696-4317,ASSISTED HOUSING,5,7/12/21
"Bridge, The",PND38881,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,1085 BRIGHTON AVE,Portland,ME,04102-1024,Cumberland,+1 (207) 553-5800 x7080,ASSISTED HOUSING,15,7/12/21
Brighton A,RCA38891,LEVEL I RESIDENTIAL CARE FACILITY,408 BRIGHTON AVE,Portland,ME,04102-2328,Cumberland,+1 (207) 578-9475,ASSISTED HOUSING,2,7/12/21
Brighton B,RCC367,LEVEL III RESIDENTIAL CARE FACILITY,408B BRIGHTON AVE,Portland,ME,04102-2328,Cumberland,+1 (207) 899-2245,ASSISTED HOUSING,4,7/12/21
Broadway House,PNC1367,PNMI LEVEL III RESIDENTIAL CARE FACILITY,166 BROADWAY,Bangor,ME,04401-5208,Penobscot,+1 (207) 947-9630,ASSISTED HOUSING,6,7/12/21
Brook Bend Farm,RCA138,LEVEL I RESIDENTIAL CARE FACILITY,28 DYER RD,Dayton,ME,04005-7204,York,+1 (207) 929-4970,ASSISTED HOUSING,2,7/12/21
Brook Street Waiver,RCC38916,LEVEL III RESIDENTIAL CARE FACILITY,20 BROOK ST,Waterville,ME,04901-5540,Kennebec,+1 (207) 873-0636,ASSISTED HOUSING,2,7/12/21
Brookside Apartments,ALP38726,ASSISTED LIVING PROGRAM,245 MAIN ST,Norway,ME,04268-5968,Oxford,+1 (207) 743-7890,ASSISTED HOUSING,3,7/12/21
Brookview Residential,RCC38818,LEVEL III RESIDENTIAL CARE FACILITY,740 VERNON ST,Albany Twp,ME,04217-6221,Oxford,+1 (207) 381-0184,ASSISTED HOUSING,6,7/12/21
Brule Street,RCA39069,LEVEL I RESIDENTIAL CARE FACILITY,7 BRULE ST,Lewiston,ME,04240-3309,Androscoggin,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Brunswick Area Respite Care,ADS38942,ADULT DAY SERVICES PROGRAM,9 PARK ST RM 118,Bath,ME,04530-2828,Sagadahoc,+1 (207) 729-8571,ASSISTED HOUSING,20,7/12/21
Bss Apt 98B,RCA38970,LEVEL I RESIDENTIAL CARE FACILITY,98 BEACH ST APT 98B,Saco,ME,04072-2986,York,+1 (207) 878-9663,ASSISTED HOUSING,1,7/12/21
Bss Apt. 100,RCA38972,LEVEL I RESIDENTIAL CARE FACILITY,100 BEACH ST APT 100,Saco,ME,04072-2812,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Bss Apt. 100B,RCA38971,LEVEL I RESIDENTIAL CARE FACILITY,100 BEACH ST APT 100B,Saco,ME,04072-2812,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Bss Apt. 98,RCA38969,LEVEL I RESIDENTIAL CARE FACILITY,98 BEACH ST APT 98,Saco,ME,04072-2986,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Burleigh Lane,RCA39108,LEVEL I RESIDENTIAL CARE FACILITY,3 BURLEIGH CIR,Biddeford,ME,04005-9719,York,+1 (207) 571-9775,ASSISTED HOUSING,2,7/12/21
"Burns Road, Cla",PNC150,PNMI LEVEL III RESIDENTIAL CARE FACILITY,74 BURNS RD,Augusta,ME,04330-7859,Kennebec,+1 (207) 622-5688,ASSISTED HOUSING,3,7/12/21
"Burr Home, The",RCC151,LEVEL III RESIDENTIAL CARE FACILITY,108 STATE ST,Brewer,ME,04412-1914,Penobscot,+1 (207) 989-3663,ASSISTED HOUSING,6,7/12/21
"Butler House, Jenkins",RCD38768,LEVEL IV RESIDENTIAL CARE FACILITY,244 JENKINS RD,Saco,ME,04072-9007,York,+1 (207) 283-4967,ASSISTED HOUSING,8,7/12/21
C&C Homes,RCC1768,LEVEL III RESIDENTIAL CARE FACILITY,97 SILK ST,Brewer,ME,04412-1862,Penobscot,+1 (207) 989-5790,ASSISTED HOUSING,4,7/12/21
Cadigan Lodge,ALP2095,ASSISTED LIVING PROGRAM,54 GOVERNORS WAY,Topsham,ME,04086-1470,Sagadahoc,+1 (207) 725-2650,ASSISTED HOUSING,60,7/12/21
Calais Alternative Care,RCD2031,LEVEL IV RESIDENTIAL CARE FACILITY,152 SOUTH ST,Calais,ME,04619-1324,Washington,+1 (207) 454-8960,ASSISTED HOUSING,8,7/12/21
Calais Boarding Home,PNC155,PNMI LEVEL III RESIDENTIAL CARE FACILITY,36 CALAIS AVE,Calais,ME,04619-1632,Washington,+1 (207) 454-0158,ASSISTED HOUSING,6,7/12/21
Cambridge Common Congregate Housing,ALP156,ASSISTED LIVING PROGRAM,50 NEW PORTLAND RD,Gorham,ME,04038-1542,Cumberland,+1 (207) 839-5757,ASSISTED HOUSING,42,7/12/21
Canoe Club Road,RCA39207,LEVEL I RESIDENTIAL CARE FACILITY,27 CANOE CLUB RD,Hampden,ME,04444-1308,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Cape Memory Care,PND2073,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,126 SCOTT DYER RD,Cape Elizabeth,ME,04107-2230,Cumberland,+1 (207) 553-9616,ASSISTED HOUSING,72,7/12/21
Capitol City Manor,PND165,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,313 STATE ST,Augusta,ME,04330-7037,Kennebec,+1 (207) 622-6823,ASSISTED HOUSING,29,7/12/21
"Captain Lewis Residence, The",RCD1276,LEVEL IV RESIDENTIAL CARE FACILITY,270 MAINE AVE,Farmingdale,ME,04344-4514,Kennebec,+1 (207) 582-6674,ASSISTED HOUSING,34,7/12/21
Captain Miller House,RCA39097,LEVEL I RESIDENTIAL CARE FACILITY,42 MECHANIC ST,Dover Foxcroft,ME,04426-1036,Piscataquis,+1 (207) 802-3081,ASSISTED HOUSING,2,7/12/21
Captain Miller House Apartments,ALP39098,ASSISTED LIVING PROGRAM,40 MECHANIC ST,Dover Foxcroft,ME,04426-1082,Piscataquis,+1 (207) 802-3081,ASSISTED HOUSING,4,7/12/21
Care Ridge Estates,PND1814,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,35 RIDGE RD,Lee,ME,04455-4418,Penobscot,+1 (207) 738-4663,ASSISTED HOUSING,11,7/12/21
Caring Hands Adult Day Respite,ADS38889,ADULT DAY SERVICES PROGRAM,93 MAIN ST STE 1,Fairfield,ME,04937-1569,Somerset,+1 (207) 742-0002,ASSISTED HOUSING,10,7/12/21
Carlisle Street Home,RCC38837,LEVEL III RESIDENTIAL CARE FACILITY,23 CARLISLE STREET,Ellsworth,ME,4605,Hancock,+1 (207) 667-7464,ASSISTED HOUSING,6,7/12/21
Caron Street House,RCC173,LEVEL III RESIDENTIAL CARE FACILITY,26 CARON ST,Portland,ME,04103-2219,Cumberland,+1 (207) 797-8046,ASSISTED HOUSING,4,7/12/21
Carriage House 1,ALP38736,ASSISTED LIVING PROGRAM,54 HIGH ST,Skowhegan,ME,04976-1834,Somerset,+1 (207) 858-0791,ASSISTED HOUSING,2,7/12/21
Carriage House 2,ALP38737,ASSISTED LIVING PROGRAM,54 HIGH ST,Skowhegan,ME,04976-1834,Somerset,+1 (207) 858-0791,ASSISTED HOUSING,4,7/12/21
