Sort Name,Mailing Name,License Number,Profession,Status,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Zip,County FIPS,County,Country,Phone,Fax,Address Directions,Mailing Care Of,Mailing Address Line 1,Mailing Address Line 2,Mailing Address Line 3,Mailing Address Line 4,Mailing City,Mailing State,Mailing Zip,Mailing County FIPS,Mailing County,Mailing Country,Mailing Address Directions,NAIC Code,Expiration Date,Responsible Individual,RI License Number,Authorities,Department,Agency,Board,EmailAddress,CE Required By Date,Bed Count,Primary Administrator
COLONIAL HEALTH CARE,COLONIAL HEALTH CARE,PND33803,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,36 WORKMAN TER,,,,LINCOLN,ME,04457-1162,23019,PENOBSCOT,,+1 (207) 794-6534,,,,,,,,,,,,,,,,4/30/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,26,CHANTEL KING
COLONY LANE,COLONY LANE,RCC213,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,19 COLONY LANE,,,,SOUTH PORTLAND,ME,4106,23005,CUMBERLAND,,+1 (207) 774-0250,+1 (207) 699-2156,,,,,,,,,,,,,,,11/13/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,TAMMY L. PIKE
COMMERCIAL STREET,COMMERCIAL STREET,ALP38766,ASSISTED LIVING PROGRAM,ACTIVE,115 COMMERCIAL ST,,,,AUGUSTA,ME,04330-4635,23011,KENNEBEC,,+1 (207) 624-0550,+1 (207) 626-7571,,,,,,,,,,,,,,,9/19/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,10,HANNAH KENNEDY
"COMMONS AT TALL PINES, THE",THE COMMONS AT TALL PINES,RCD37183,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,34 MARTIN LN,,,,BELFAST,ME,04915-6080,23027,WALDO,,+1 (207) 338-4117,,,,,,,,,,,,,,,,3/31/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,16,CHRISTINA ROOTES-HUNTER
"COMMONSENSE HOUSING, INC - SHERMAN AVE","COMMONSENSE HOUSING, INC - SHERMAN AVE",RCC38877,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,97 SHERMAN AVE,,,,BANGOR,ME,04401-3328,23019,PENOBSCOT,,+1 (207) 989-1303,+1 (207) 989-1652,,,,,,,,,,,,,,,5/28/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - 12","COMMONSENSE HOUSING, INC. - 12",RCC216,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,29 LAMBERT RD,,,,EDDINGTON,ME,04428-3031,23019,PENOBSCOT,,+1 (207) 989-3243,+1 (207) 989-1652,,,,,,,,,,,,,,,6/2/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - 15","COMMONSENSE HOUSING, INC. - 15",RCC218,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,627 MAIN RD,,,,EDDINGTON,ME,04428-3204,23019,PENOBSCOT,,+1 (207) 843-7900,+1 (207) 989-1652,,,,,,,,,,,,,,,1/28/23,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - 1513 OHIO STREET","COMMONSENSE HOUSING, INC. - 1513 OHIO STREET",RCC1664,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1513 OHIO ST,,,,BANGOR,ME,04401-2327,23019,PENOBSCOT,,+1 (207) 945-6232,+1 (207) 989-1652,,,,,,,,,,,,,,,8/19/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - 23","COMMONSENSE HOUSING, INC. - 23",RCC2067,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 CLEWLEYVILLE RD,,,,EDDINGTON,ME,04428-3020,23019,PENOBSCOT,,+1 (207) 989-5256,+1 (207) 989-5301,,,,,,,,,,,,,,,12/13/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - 7","COMMONSENSE HOUSING, INC. - 7",RCC223,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,739 N MAIN ST,,,,BREWER,ME,04412-1260,23019,PENOBSCOT,,+1 (207) 989-0730,+1 (207) 989-1652,,,,,,,,,,,,,,,7/28/23,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - EDDINGTON HOUSE","COMMONSENSE HOUSING, INC. - EDDINGTON HOUSE",RCC298,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 RIVERSIDE DR,,,,EDDINGTON,ME,04428-3109,23019,PENOBSCOT,,+1 (207) 989-7250,+1 (207) 989-1652,,,,,,,,,,,,,,,7/5/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,ROSEMARY J. HANSON
"COMMONSENSE HOUSING, INC. - KOUNTRY KORNER","COMMONSENSE HOUSING, INC. - KOUNTRY KORNER",RCC569,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1300 MAIN RD,,,,EDDINGTON,ME,04428-3320,23019,PENOBSCOT,,+1 (207) 843-6141,+1 (207) 989-1652,,,,,,,,,,,,,,,10/24/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,ROSEMARY J. HANSON
CONGRESS STREET CARE,CONGRESS STREET CARE,PNA38966,PNMI LEVEL I RESIDENTIAL CARE FACILITY,DENIED,1395 CONGRESS ST,,,,PORTLAND,ME,04102-2120,23005,CUMBERLAND,,,,,,,,,,,,,,,,,,12/11/19,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,
CONGRESS STREET WEST,CONGRESS STREET WEST,ALP38804,ASSISTED LIVING PROGRAM,ACTIVE,829 CONGRESS ST,,,,PORTLAND,ME,04102-3152,23005,CUMBERLAND,,+1 (207) 699-2465,+1 (207) 699-2468,,,,,,,,,,,,,,,6/11/22,,,Type I - Medication,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,10,ABIGAIL SPADONE
COOLIDGE,COOLIDGE,RCA39193,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27 COOLIDGE AVE,,,,HAMPDEN,ME,04444-1821,23019,PENOBSCOT,,+1 (207) 862-2643,+1 (207) 862-2709,,,,,,,,,,,,,,,3/29/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,KAREN LEE
CORLISS STREET,CORLISS STREET,RCC2034,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,32 CORLISS ST,,,,BATH,ME,04530-1704,23023,SAGADAHOC,,+1 (207) 504-5684,+1 (207) 725-1416,,,,,,,,,,,,,,,4/27/23,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,AMY L DAVIS
CORNISH ASSISTED HOUSING PROGRAM,CORNISH ASSISTED HOUSING PROGRAM,RCC38613,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 PUMPKINVILLE RD,,,,CORNISH,ME,04020-3507,23031,YORK,,+1 (207) 625-4342,+1 (207) 625-4342,,,,,,,,,,,,,,,4/4/23,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,TRICIA BARKER
COTTAGE HILL HOME,COTTAGE HILL HOME,RCC235,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,243 COTTAGE ST,,,,SANFORD,ME,04073-1814,23031,YORK,,+1 (207) 324-8110,+1 (866) 570-4701,,,,,,,,,,,,,,,12/19/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,DAVID CHAMPION
COUNTRY CHARM LANE,COUNTRY CHARM LANE,RCC1627,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 COUNTRY CHARM LN,,,,NEW GLOUCESTER,ME,04260-3436,23005,CUMBERLAND,,+1 (207) 926-6081,+1 (207) 926-5256,,,,,,,,,,,,,,,4/1/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,TAMMY L. PIKE
COUNTRY CLUB,COUNTRY CLUB,RCC1603,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,142 COUNTRY CLUB RD,,,,SANFORD,ME,04073-5224,23031,YORK,,+1 (207) 490-5690,+1 (207) 324-6050,,,,,,,,,,,,,,,10/2/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,RALPH P. DESJARDINS
COUNTRY MANOR NURSING HOME,COUNTRY MANOR NURSING HOME,PND22455,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,132 MAIN ST,,,,COOPERS MILLS,ME,4341,23015,LINCOLN,,+1 (207) 549-7471,,,,,,,,,,,,,,,,11/30/20,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,22,MELISSA J. MARTIN
COUNTRY MEADOWS,COUNTRY MEADOWS,PND38683,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1605 ESSEX ST,,,,BANGOR,ME,04401-2659,23019,PENOBSCOT,,+1 (207) 945-6627,+1 (844) 468-9585,,,,,,,,,,,,,,,6/30/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,8,BECKY TAYLOR MANSFIELD
COUNTRY VILLAGE ASSISTED LIVING,COUNTRY VILLAGE ASSISTED LIVING,PND38753,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,960 MEADOW RD,,,,CASCO,ME,04015-3316,23005,CUMBERLAND,,+1 (207) 627-7111,+1 (207) 627-7505,,,,,,,,,,,,,,,4/5/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,30,ALBINA D. BRYANT
COUNTRY VILLAGE ESTATES,COUNTRY VILLAGE ESTATES,PND1962,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,260 DUGAL DR,,,,MADAWASKA,ME,04756-1517,23003,AROOSTOOK,,+1 (207) 728-3570,+1 (207) 728-4475,,,,,,,,,,,,,,,11/26/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,27,LOUIS G. DUGAL
COUNTRY WAY,COUNTRY WAY,RCC2032,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1757 POWNAL RD,,,,AUBURN,ME,04210-9687,23001,ANDROSCOGGIN,,+1 (207) 783-8731,,,,,,,,,,,,,,,,6/2/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,ZACKARY EDWIN COTTON
COUNTRYSIDE ADULT FAMILY CARE HOME,COUNTRYSIDE ADULT FAMILY CARE HOME,RCC1563,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1334 LONG PLAINS RD,,,,BUXTON,ME,04093-6052,23031,YORK,,+1 (207) 929-5787,+1 (207) 929-8791,,,,,,,,,,,,,,,10/28/22,,,Adult Family Care Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,NANCY T. ATIENZA
COURAGE LIVES,COURAGE LIVES,RCC39047,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1200 OHIO STREET,,,,BANGOR,ME,4401,23019,PENOBSCOT,,+1 (207) 282-3361,+1 (207) 945-6718,,,,,,,,,,,,,,,7/22/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,CAREY NASON
COURT STREET,COURT STREET,PNC38642,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,470 COURT ST,,,,AUBURN,ME,04210-4383,23001,ANDROSCOGGIN,,+1 (207) 783-3446,+1 (207) 786-8061,,,,,,,,,,,,,,,9/19/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,SCOTT A. MORRISON
COURTLAND REHAB & L C,COURTLAND REHAB & L C,PND25010,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,42 BUCKSPORT RD,,,,ELLSWORTH,ME,04605-2230,23009,HANCOCK,,+1 (207) 667-9036,,,,,,,,,,,,,,,,4/30/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,20,MARK STEWART
"COURTYARD, THE",THE COURTYARD,RCD27118,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,30 COMMUNITY DR,,,,CAMDEN,ME,04843-2061,23013,KNOX,,+1 (207) 230-6100,+1 (207) 230-6110,,,,,,,,,,,,,,,9/30/21,,,Dementia/Alzheimer's,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,24,LORIMAN C. LOOKE
COVE STREET HOME,COVE STREET HOME,RCC2011,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1 COVE ST,,,,SANFORD,ME,04073-2801,23031,YORK,,+1 (207) 490-0903,+1 (855) 221-9883,,,,,,,,,,,,,,,3/4/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,SALLY E. MILESON
CRAWFORD COMMONS,CRAWFORD COMMONS,PND974,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,132 MIDDLE RD,,,,UNION,ME,04862-4018,23013,KNOX,,+1 (207) 785-4419,+1 (207) 785-4410,,,,,,,,,,,,,,,7/8/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,34,HOLLY GALLANT
CRESCENT PLACE GROUP HOME,CRESCENT PLACE GROUP HOME,PNC38848,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 CRESCENT ST,,,,BIDDEFORD,ME,04005-2519,23031,YORK,,+1 (207) 282-4962,,,,,,,,,,,,,,,,12/31/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,LEE-ANDRA  D'ATTILIO
CREST VIEW MANOR,CREST VIEW MANOR,PND249,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,361 COURT ST,,,,HOULTON,ME,04730-1957,23003,AROOSTOOK,,+1 (207) 532-3498,+1 (207) 532-4173,,,,,,,,,,,,,,,1/28/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,20,LOUIS G. DUGAL
CRG,CRG,RCA38976,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,68 CRESSEY RD APT 12,,,,GORHAM,ME,04038-2012,23005,CUMBERLAND,,+1 (207) 878-9663,+1 (207) 854-3690,,,,,,,,,,,,,,,12/16/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,STACY LAMONTAGNE
CRG 6,CRG 6,RCA39082,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,68 CRESSEY RD APT 6,,,,GORHAM,ME,04038-2012,23005,CUMBERLAND,,+1 (207) 878-9663,+1 (207) 854-3690,,,,,,,,,,,,,,,10/22/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,STACY LAMONTAGNE
CROSSROADS,CROSSROADS,PND38800,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,735 WASHINGTON AVE,,,,PORTLAND,ME,04103-4928,23005,CUMBERLAND,,+1 (207) 773-9931,+1 (207) 879-5576,,,,,,,,,,,,,,,1/6/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,8,SHANNON TRAINOR
CROSSROADS II,CROSSROADS II,PND38862,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,575 FOREST AVE,,,,PORTLAND,ME,04101-1513,23005,CUMBERLAND,,+1 (207) 773-9931,+1 (207) 879-5576,,,,,,,,,,,,,,,5/8/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,10,SHANNON TRAINOR
CROSSWINDS RESIDENTIAL CARE,CROSSWINDS RESIDENTIAL CARE,RCD1879,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,40 VILLAGE RD,,,,FORT KENT,ME,04743-1031,23003,AROOSTOOK,,+1 (207) 834-3701,+1 (207) 834-2895,,,,,,,,,,,,,,,4/3/23,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,45,CATHY J. ROY
CROWE'S RESIDENTIAL CARE,CROWE'S RESIDENTIAL CARE,PNC250,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,604 LEIGHTON RD,,,,AUGUSTA,ME,04330-7808,23011,KENNEBEC,,+1 (207) 623-5355,+1 (207) 623-5355,,,,,,,,,,,,,,,1/17/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,GARY W. CROWE
CSP APT. 1,CSP APT. 1,RCA38974,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 C ST APT 1,,,,SOUTH PORTLAND,ME,04106-2819,23005,CUMBERLAND,,+1 (207) 878-9663,+1 (207) 854-3690,,,,,,,,,,,,,,,12/23/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,STACY LAMONTAGNE
CSP APT. 2,CSP APT. 2,RCA38983,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 C ST APT 2,,,,SOUTH PORTLAND,ME,04106-2819,23005,CUMBERLAND,,+1 (207) 878-9663,+1 (207) 854-3690,,,,,,,,,,,,,,,12/23/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,STACY LAMONTAGNE
CUMMINGS HEALTH CARE FACILITY,CUMMINGS HEALTH CARE FACILITY,RCD22459,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,5 CROCKER STREET,,,,HOWLAND,ME,4448,23019,PENOBSCOT,,+1 (207) 732-4121,+1 (207) 732-5133,,,,,,,,,,,,,,,11/30/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,20,MELINDA GOSLIN
CURLEWIS LANE,CURLEWIS LANE,RCC2382,LEVEL III RESIDENTIAL CARE FACILITY,FAILED TO RENEW,25 CURLEWIS LN,,,,NEWCASTLE,ME,04553-3242,23015,LINCOLN,,+1 (207) 586-5026,+1 (207) 563-3561,,,,,,,,,,,,,,,11/2/18,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,
DAFFRON,DAFFRON,RCC604,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,317 FOSS RD,,,,LIMERICK,ME,04048-4306,23031,YORK,,+1 (207) 797-2512,+1 (207) 797-6398,,,,,,,,,,,,,,,12/2/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,SUSAN J. MURPHY
DAVID STREET HOME,DAVID STREET HOME,RCC259,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 BURLEIGH STREET,,,,ISLAND FALLS,ME,4747,23003,AROOSTOOK,,+1 (207) 463-3414,+1 (207) 463-2156,,,,,,,,,,,,,,,12/31/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,5,DIANNE L. BROWNE
DAVIS ROAD GROUP HOME,DAVIS ROAD GROUP HOME,RCC261,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,125 DAVIS RD,,,,FARMINGTON,ME,04938-6507,23007,FRANKLIN,,+1 (207) 778-5086,+1 (207) 860-4003,,,,,,,,,,,,,,,7/23/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,CRISTY FOSS
DAY SPRING HOUSE LLC,DAY SPRING HOUSE LLC,RCB38898,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,218 FERN RD,,,,DEXTER,ME,04930-2609,23019,PENOBSCOT,,+1 (207) 924-3818,+1 (207) 924-3818,,,,,,,,,,,,,,,7/18/22,,,Adult Family Care Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,JENNIFER R. THOMPSON
DAY STREET HOME,DAY STREET HOME,RCC263,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 DAY ST,,,,KENNEBUNK,ME,04043-7115,23031,YORK,,+1 (207) 467-9060,+1 (866) 597-1401,,,,,,,,,,,,,,,12/3/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,SALLY MILESON
DEAN HOUSE,DEAN HOUSE,RCC1258,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,272 ESSEX ST,,,,BANGOR,ME,04401-4050,23019,PENOBSCOT,,+1 (207) 573-4712,+1 (207) 945-9997,,,,,,,,,,,,,,,7/22/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,4,BRIAN Q. NOBLE
DEAN ROAD WAIVER,DEAN ROAD WAIVER,RCC2103,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,21 DEAN RD,,,,CLINTON,ME,04927-3400,23011,KENNEBEC,,+1 (207) 426-2806,+1 (207) 426-2806,,,,,,,,,,,,,,,9/18/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,3,RACHEL FULLER
DEBORAH LINCOLN HOUSE,DEBORAH LINCOLN HOUSE,RCC265,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,60 CEDAR ST,,,,BELFAST,ME,04915-6302,23027,WALDO,,+1 (207) 338-1554,+1 (207) 930-8105,,,,,,,,,,,,,,,12/10/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,HILARY TAINE SMALL
DECLARATION,DECLARATION,RCA39179,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,33 DECLARATION DR,,,,WESTBROOK,ME,04092-4510,23005,CUMBERLAND,,+1 (207) 835-0099,+1 (207) 352-3662,,,,,,,,,,,,,,,3/3/22,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,SAMANTHA D RICHARD
DEER HILL A,DEER HILL A,RCA39070,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,254A DEER HILL RD,,,,WATERFORD,ME,04088-4035,23017,OXFORD,,+1 (207) 743-8049 x202,+1 (207) 739-2349,,,,,,,,,,,,,,,10/14/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ASHLEIGH BARKER
DEER HILL B,DEER HILL B,RCA39071,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,254B DEER HILL RD,,,,WATERFORD,ME,04088-4035,23017,OXFORD,,+1 (207) 743-8049 x202,+1 (207) 739-2349,,,,,,,,,,,,,,,10/14/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,ASHLEIGH BARKER
DIONNE COMMONS,DIONNE COMMONS,PND276,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,24 MAURICE DR,,,,BRUNSWICK,ME,04011-3270,23005,CUMBERLAND,,+1 (207) 725-4379,+1 (207) 725-1363,,,,,,,,,,,,,,,3/21/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,64,WENDY A. RIDER
DIRIGO PINES INN,DIRIGO PINES INN,RCD38600,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,9 ALUMNI DR,,,,ORONO,ME,04473-3479,23019,PENOBSCOT,,+1 (207) 866-3400,+1 (207) 866-3400,,,,,,,,,,,,,,,12/3/22,,,Dementia/Alzheimer's,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,50,PAUL ARBOUR
DON AND BETH STRAUS THERAPEUTIC DAY PROGRAM,DON AND BETH STRAUS THERAPEUTIC DAY PROGRAM,ADS2328,ADULT DAY SERVICES PROGRAM,ACTIVE,25 VILLAGE INN RD,,,,BAR HARBOR,ME,04609-7451,23009,HANCOCK,,+1 (207) 288-8014,+1 (207) 288-8652,,,,,,,,,,,,,,,6/3/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,10,PETER L. SULLIVAN
DR EUNICE NELSON-BAUMANN HOME,DR EUNICE NELSON-BAUMANN HOME,RCC39133,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 SARAHS SPRING LN,,,,INDIAN ISLAND,ME,04468-1270,23019,PENOBSCOT,,+1 (207) 827-0968,+1 (207) 827-4016,,,,,,,,,,,,,,,11/11/21,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,6,CANDY RENEE HENDERLY
DRAKE'S EAST RIDGE RESIDENTIAL HOME,DRAKE'S EAST RIDGE RESIDENTIAL HOME,RCA1538,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1309 E RIDGE RD,,,,CORNVILLE,ME,04976-6509,23025,SOMERSET,,+1 (207) 474-0776,+1 (207) 474-0779,,,,,,,,,,,,,,,9/12/22,,,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,2,LINDA DRAKE
DRUMMOND 1,DRUMMOND 1,RCA39042,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,49 DRUMMOND ST APT 1,,,,AUBURN,ME,04210-5868,23001,ANDROSCOGGIN,,+1 (207) 795-0005,+1 (207) 795-0005,,,,,,,,,,,,,,,12/29/21,,,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,,,1,MARCIA TURCOTTE
