Name,Phone,Physical Address,City,State,Zip Code,Mailing Address,City,State,Zip Code,StateLicenserNo,County,Total Beds,Administrator
Grand Living at Lake Lorraine,(605) 799-1900,2815 S Westlake Dr,Sioux Falls,SD,57106,2815 S Westlake Dr,Sioux Falls,SD,57106,67742,Minnehaha,185,"Gullickson, Jane"
"Edgewood Mitchell, LLC",(605) 996-2730,501 East Spruce Street,Mitchell,SD,57301,501 East Spruce Street,Mitchell,SD,57301,68057,Davison,62,"Moechnig- Interim, Heather"
Wellshire Huron,(605) 352-7600,1251 Arizona Ave SW,Huron,SD,57350,1251 Arizona Ave SW,Huron,SD,57350,68077,Beadle,16,"Solem, Laurie"
Washington Crossing Senior Living,(605) 271-9273,4709 E 6th Street,Sioux Falls,SD,57110,4709 E 6th Street,Sioux Falls,SD,57110,68198,Minnehaha,10,"Veldhouse, Ladene"
The Courtyard Westhills Village,(605) 342-0255,133 Texas Street,Rapid City,SD,57701,133 Texas Street,Rapid City,SD,57701,68559,Pennington,60,"Spencer, Jessica"
Highmore Health,(605) 852-2255,410 8th St SE,Highmore,SD,57345,410 8th St SE,Highmore,SD,57345,68823,Hyde,4,"Knox, Kim"
Wilmot Care Center ALC 2,(605) 938-4418,501 4th Street,Wilmot,SD,57279,501 4th Street,Wilmot,SD,57279,68850,Roberts,16,"Van Beek, Jannette"
Dow Rummel Village,(605) 336-1490,1321 W Dow Rummel St,Sioux Falls,SD,57104,1321 W Dow Rummel St,Sioux Falls,SD,57104,69060,Minnehaha,64,"Parish, Rebecca"
The Village Assisted Living,(605) 854-9953,401 Ingalls Ave SW,De Smet,SD,57231,401 Ingalls Ave SW,De Smet,SD,57231,69617,Kingsbury,16,"Carlson, Penny"
Diamond Care Center,(605) 729-2525,901 N Main,Bridgewater,SD,57319,PO Box 300,Bridgewater,SD,57319,70135,Mccook,2,"Morris-EPH, Brianna"
Angelhaus Huron,(605) 228-3131,50 7th St SE,Huron,SD,57350,50 7th St SE,Huron,SD,57350,71778,Beadle,44,"Gellhaus, Nathan"
