State Facility Type 2 Literal,Medicaid,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal
No Contract,Yes,924,30249,DAYSTAR AT WESTWOOD,2615 SW BARTON STREET,SEATTLE,WA,98126,King,(206) 937-6122,60,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2140,41674,ELDORADO WEST RETIREMENT COMMUNITY,1010 SW 134th St,Burien,WA,98146,King,(206) 248-1975,80,Assisted Living Facility
No Contract,Yes,2364,43977,Emerald City Senior Living,9001 LAKE CITY WAY NE,SEATTLE,WA,98115,King,(206) 729-1200,119,Assisted Living Facility
No Contract,Yes,994,30302,EMERALD HEIGHTS,10901 176TH CIRCLE NE,REDMOND,WA,98052,King,(425) 556-8100,60,Assisted Living Facility
Assisted Living SOW,Yes,1502,30718,EVERGREEN COURT,900 124TH AVENUE NE,BELLEVUE,WA,98005,King,(425) 455-4333,45,Assisted Living Facility
No Contract,Yes,1603,30790,EXPRESSIONS AT ENUMCLAW,2454 COLE STREET,ENUMCLAW,WA,98022,King,(360) 825-4565,52,Assisted Living Facility
No Contract,Yes,1172,30465,FAIRWINDS BRITTANY PARK,17143 133RD AVE NE,WOODINVILLE,WA,98072,King,(425) 402-7100,45,Assisted Living Facility
No Contract,Yes,1814,30939,FAIRWINDS REDMOND,9988 AVONDALE ROAD NE,REDMOND,WA,98052,King,(425) 558-4700,50,Assisted Living Facility
No Contract,Yes,2347,42420,FAMILY TO FAMILY SENIOR CARE INC,25633 SE 30th St,Sammamish,WA,98075,King,(425) 644-7321,15,Assisted Living Facility
No Contract,Yes,2145,41744,FARRINGTON COURT RETIREMENT COMMUNITY,516 Kenosia Ave S,Kent,WA,98030,King,(253) 852-2737,70,Assisted Living Facility
No Contract,Yes,2471,45238,Fieldstone Memory Care Issaquah,23845 SE Issaquah Fall City Rd,Issaquah,WA,980297514,King,(425) 654-4005,68,Assisted Living Facility
No Contract,Yes,1795,30924,FIRWOOD,10751 2ND AVE NW,SEATTLE,WA,98177,King,(206) 362-0560,20,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2009,39854,FLORENCE OF SEATTLE ARBOR HEIGHTS,9850 CALIFORNIA AVE SW,SEATTLE,WA,98136,King,(206) 714-3324,12,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2011,39853,FLORENCE OF SEATTLE LLC,8424 16TH AVE SW,SEATTLE,WA,98106,King,(206) 767-3137,21,Assisted Living Facility
Assisted Living SOW,Yes,1065,30362,FOSS HOME AND VILLAGE,13023 Greenwood Ave N,Seattle,WA,98133,King,(206) 364-1300,60,Assisted Living Facility
No Contract,Yes,1155,30448,FOUNDATION HOUSE,11301 3RD AVE NE,SEATTLE,WA,98125,King,(206) 361-2758,30,Assisted Living Facility
Assisted Living SOW,Yes,1568,30765,FOUNTAIN COURT ASSISTED LIVING,24200 224TH AVENUE SE,MAPLE VALLEY,WA,98038,King,(425) 432-3352,65,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",No,864,30210,FRED LIND MANOR,1802 17TH AVE,SEATTLE,WA,98122,King,(206) 324-1632,90,Assisted Living Facility
No Contract,Yes,1631,30811,Garden Terrace Healthcare Center of Federal Way,491 S 338TH STREET,FEDERAL WAY,WA,98003,King,(253) 661-2226,34,Assisted Living Facility
No Contract,Yes,2484,45170,Gencare Lifestyle Federal Way at Steel Lake,31200 23rd Avenue South,Federal Way,WA,98003,King,,60,Assisted Living Facility
No Contract,Yes,1559,30759,GOLDEN HEARTH RESIDENT,15934 NE 139TH PLACE,WOODINVILLE,WA,98072,King,(425) 298-0407,8,Assisted Living Facility
No Contract,Yes,193,30015,HEARTHSTONE,6720 E Green Lake Way N,Seattle,WA,98103,King,(206) 525-9666,62,Assisted Living Facility
Assisted Living SOW,Yes,919,30244,HERITAGE HOUSE AT THE MARKET,1533 WESTERN AVENUE,SEATTLE,WA,98101,King,(206) 382-4119,64,Assisted Living Facility
"Specialized Dementia Care, Assisted Living SOW",Yes,2432,44144,High Point Village,1777 Highpoint St,Enumclaw,WA,98022,King,(360) 825-7780,70,Assisted Living Facility
No Contract,Yes,978,30290,HIGH WEST RESIDENCE,15035 8th Ave S,Burien,WA,98148,King,(206) 241-3119,16,Assisted Living Facility
Adult Residential Care,Yes,1278,30558,HILLTOP MANOR BOARDING HOME,1732 16TH AVE,SEATTLE,WA,98122,King,(206) 329-5775,35,Assisted Living Facility
No Contract,Yes,212,30017,HORIZON HOUSE,900  UNIVERSITY ST,SEATTLE,WA,98101,King,(206) 624-3700,90,Assisted Living Facility
No Contract,Yes,945,30267,IDA CULVER HOUSE BROADVIEW,12505 GREENWOOD AVE N,SEATTLE,WA,98133,King,(206) 361-1989,90,Assisted Living Facility
No Contract,Yes,858,30205,Ida Culver House Ravenna,2315 NE 65th St,Seattle,WA,98115,King,(206) 523-7315,42,Assisted Living Facility
No Contract,Yes,2375,44179,ISLAND HOUSE,7810 SE 30th St,Mercer Island,WA,98040,King,(206) 236-0502,35,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2548,45750,Jefferson House Memory Care Community,12217 NE 128th Street,Kirkland,WA,98034,King,(425) 202-7254,80,Assisted Living Facility
No Contract,Yes,681,30129,JUDSON PARK RETIREMENT COMMUNITY,23600 MARINE VIEW DR S,DES MOINES,WA,98198,King,(206) 824-4000,52,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2566,46610,Kenmore Senior Living,7221 NE 182nd St,Kenmore,WA,98028,King,(425) 481-4200,100,Assisted Living Facility
No Contract,Yes,939,30262,KEYSTONE,3512 ALBION PL N,SEATTLE,WA,98103,King,(206) 461-6990,64,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2519,45308,Kin On Assisted Living,5214 42nd Ave S,Seattle ,WA,98118,King,(206) 721-0954,25,Assisted Living Facility
No Contract,Yes,1052,30349,LAKESHORE,11448 RAINIER AVE S,SEATTLE,WA,98178,King,(206) 772-1200,50,Assisted Living Facility
Assisted Living SOW,Yes,2482,45241,"Lakeview of Kirkland, Assisted Living",6505 Lakeview Dr NE,Kirkland,WA,98033,King,(425) 803-6911,85,Assisted Living Facility
No Contract,Yes,2389,44118,Laurel Cove Community,17201 15th Ave NE,Shoreline,WA,98155,King,(206) 364-9336,98,Assisted Living Facility
Assisted Living SOW,Yes,2493,45367,Legacy House,803 South Lane Street,SEATTLE,WA,98104,King,(206) 292-5187,68,Assisted Living Facility
No Contract,Yes,2437,44856,Lincoln Park Group Home,6935 Fauntleroy Way SW,Seattle,WA,98136,King,(206) 829-2011,8,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2153,41798,LIVING COURT ASSISTED LIVING COMMUNITY,2229 JENSEN ST,ENUMCLAW,WA,98022,King,(360) 825-0280,65,Assisted Living Facility
No Contract,Yes,2547,45435,Longhouse Bothell,16605 122nd Place NE,Bothell,WA,98011,King,(206) 453-6748,15,Assisted Living Facility
No Contract,Yes,2436,44467,Madison House,12215 NE 128th St,Kirkland,WA,98034,King,(425) 821-8210,84,Assisted Living Facility
No Contract,Yes,2506,45581,Merrill Gardens at Auburn,18 1st St SE,Auburn,WA,98002,King,(253) 258-3263,65,Assisted Living Facility
No Contract,Yes,2507,45582,Merrill Gardens at Ballard,2418 NW 56th St,Seattle,WA,98107,King,(206) 838-8555,50,Assisted Living Facility
No Contract,Yes,2406,44198,Merrill Gardens at Burien,15020 5th Ave SW,Burien,WA,98166,King,(206) 539-4995,55,Assisted Living Facility
No Contract,Yes,2135,41478,MERRILL GARDENS AT KIRKLAND,14 MAIN ST S,KIRKLAND,WA,98033,King,(425) 828-2570,40,Assisted Living Facility
No Contract,Yes,2131,41472,MERRILL GARDENS AT RENTON CENTRE,104 Burnett Ave S,Renton,WA,98057,King,(425) 235-6400,110,Assisted Living Facility
No Contract,Yes,2132,41479,MERRILL GARDENS AT THE UNIVERSITY,5300 24TH AVENUE NE,SEATTLE,WA,98105,King,(206) 523-8400,45,Assisted Living Facility
No Contract,Yes,2034,40058,MIRABELLA,116 FAIRVIEW AVENUE NORTH,SEATTLE,WA,98109,King,(206) 254-1447,63,Assisted Living Facility
No Contract,Yes,2564,46054,Mirror Lake Village,31000 9th Pl SW,Federal Way,WA,98023,King,(206) 212-4208,120,Assisted Living Facility
No Contract,Yes,2521,45634,Murano Senior Living,620 Terry Ave,Seattle,WA,98104,King,(206) 202-4620,117,Assisted Living Facility
Assisted Living SOW,Yes,1186,30479,NIKKEI MANOR,700 6TH AVE S,SEATTLE,WA,98104,King,(206) 726-6460,56,Assisted Living Facility
Assisted Living SOW,Yes,1688,30841,NORMANDY PARK ASSISTED LIVING,16625 1st Ave S,Burien,WA,98148,King,(206) 241-0821,120,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,145,30008,NORSE HOME,5311 PHINNEY AVE N,SEATTLE,WA,98103,King,(206) 781-7400,86,Assisted Living Facility
Assisted Living SOW,Yes,980,30291,NORTHAVEN II ASSISTED LIVING,531 NE 112TH ST,SEATTLE,WA,98125,King,(206) 362-8077,40,Assisted Living Facility
No Contract,Yes,2374,44180,NORTHGATE PLAZA,11030 NE 5TH AVE,SEATTLE,WA,98125,King,(206) 363-6740,60,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2130,41497,Olympic View Assisted Living,21202 INTERNATIONAL BLVD,SEATAC,WA,98198,King,(206) 878-0900,60,Assisted Living Facility
No Contract,Yes,2551,46134,Overlake Terrace,2956 152nd Ave NE,Redmond,WA,98052,King,(425) 883-0495,150,Assisted Living Facility
Assisted Living SOW,Yes,1532,30738,PARK PLACE,6900 37TH AVENUE SOUTH,SEATTLE,WA,98118,King,(206) 722-7275,156,Assisted Living Facility
No Contract,Yes,183,30014,PARK SHORE,1630 43RD AVE E,SEATTLE,WA,98112,King,(206) 329-0770,36,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2550,46403,Parkside Retirement Community,2902 I St NE,Auburn,WA,98002,King,(253) 939-1332,94,Assisted Living Facility
No Contract,Yes,1117,30411,PARKVIEW GROUP HOME,1114 15TH AVE E,SEATTLE,WA,98112,King,(206) 324-4113,6,Assisted Living Facility
No Contract,Yes,2121,41028,PATRIOTS GLEN,1640 148TH AVE SE,BELLEVUE,WA,98007,King,(425) 373-1161,82,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",No,2245,42218,PETERS CREEK RETIREMENT COMMUNITY,14431 REDMOND WAY,REDMOND,WA,98052,King,(425) 869-2273,70,Assisted Living Facility
Assisted Living SOW,Yes,2239,42171,Prestige Senior Living Auburn Meadows,945 22nd St NE,Auburn,WA,98002,King,(253) 333-0171,110,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",Yes,2401,44067,Provail,1548 NE 175th St,Shoreline ,WA,98155,King,(206) 420-8838,12,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,198,30016,Providence Mount St. Vincent,4831 35th Ave SW,Seattle,WA,98126,King,(206) 937-3700,122,Assisted Living Facility
No Contract,Yes,2458,45004,Quail Park Memory Care Residences of West Seattle,4515 41st Ave SW,Seattle,WA,98116,King,(206) 633-2273,70,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2367,44048,Queen Anne Manor,100 Crockett St,Seattle,WA,98109,King,(206) 282-5001,103,Assisted Living Facility
No Contract,Yes,1158,30451,RED OAK RESIDENCE OF NORTH BEND,650 E NORTH BEND WAY,NORTH BEND,WA,98045,King,(425) 888-7108,38,Assisted Living Facility
No Contract,Yes,2522,45670,Redmond Heights Senior Living,7950 Willows Rd NE,Redmond,WA,98052,King,(425) 885-4157,85,Assisted Living Facility
Assisted Living SOW,Yes,2018,39737,REGENCY NEWCASTLE,7454 NEWCASTLE GOLF CLUB ROAD,NEWCASTLE,WA,98059,King,(425) 453-1508,85,Assisted Living Facility
Assisted Living SOW,Yes,1413,30655,RIVERSIDE EAST,10315 EAST RIVERSIDE DR,BOTHELL,WA,98011,King,(425) 481-1976,44,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2539,46130,Ruthaven ALF LLC,15843 SE 256TH ST,COVINGTON,WA,98042,King,(253) 631-5600,14,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2467,45183,Sagebrook Senior Living at Bellevue,15750 NE 15TH ST,BELLEVUE,WA,98008,King,(425) 641-4900,108,Assisted Living Facility
No Contract,Yes,2573,46453,Silverado - Bellevue,14428 NE 8th St,Bellevue,WA,98007,King,,56,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2137,41498,SPIRITWOOD AT PINE LAKE,3607 228TH AVE SE,ISSAQUAH,WA,98029,King,(425) 313-9100,80,Assisted Living Facility
No Contract,Yes,1150,30443,SPRING MANOR,1103 16TH AVE,SEATTLE,WA,98122,King,(206) 324-9021,57,Assisted Living Facility
No Contract,Yes,1157,30450,STAFFORD SUITES,112 KENNEBECK AVE N,KENT,WA,98030,King,(253) 850-0333,75,Assisted Living Facility
No Contract,Yes,1519,30728,STILLWATER HOUSE,8705 166TH AVE NE,REDMOND,WA,98052,King,(425) 653-5080,16,Assisted Living Facility
No Contract,Yes,2163,41860,SUNRISE OF BELLEVUE,15928 NE 8TH ST,BELLEVUE,WA,98008,King,(425) 401-5152,90,Assisted Living Facility
No Contract,Yes,2342,43883,Sunrise of Bothell,10605 NE 185th St,Bothell,WA,98011,King,(425) 487-3245,50,Assisted Living Facility
No Contract,Yes,2543,45621,Sunrise of Issaquah,23599 SE Issaquah Fall City Rd,Issaquah,WA,98029,King,(425) 945-0006,107,Assisted Living Facility
No Contract,Yes,2164,41858,SUNRISE OF MERCER ISLAND,2959 76TH AVENUE SE,MERCER ISLAND,WA,98040,King,(206) 232-6565,64,Assisted Living Facility
No Contract,Yes,2344,43885,Sunrise of Northgate,11039 17th Ave NE,Seattle,WA,98125,King,(206) 440-1700,49,Assisted Living Facility
No Contract,Yes,2464,45046,Sunrise of Redmond,15241 NE 20TH ST,BELLEVUE,WA,98007,King,,90,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,1089,30383,TERRY HOME,138 3RD AVE SW,PACIFIC,WA,98047,King,(253) 288-0135,10,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care",Yes,2205,41915,TERRY HOME AUBURN,727 A STREET NE,AUBURN,WA,98002,King,(253) 737-4546,16,Assisted Living Facility
No Contract,Yes,2457,45049,The Bellettini,1115 108th Ave NE,Bellevue,WA,98004,King,,50,Assisted Living Facility
Assisted Living SOW,Yes,2056,40599,THE CANNON HOUSE,113 23rd AVENUE SOUTH,SEATTLE,WA,98144,King,(206) 709-1777,91,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2496,45166,The Cottages of Renton,17033 108th Ave SE,Renton,WA,98055,King,(425) 528-7070,60,Assisted Living Facility
Assisted Living SOW,Yes,456,30059,THE GARDENS AT JUANITA BAY,11853 97th Ave NE,Kirkland,WA,98034,King,(425) 823-0410,48,Assisted Living Facility
No Contract,Yes,1604,30791,THE GARDENS AT TOWN SQUARE,933 111TH AVE NE,BELLEVUE,WA,98004,King,(425) 688-1900,80,Assisted Living Facility
No Contract,Yes,1994,39575,THE INN AT ARBOR VILLAGE,24205 116TH AVE SE,KENT,WA,98030,King,(253) 893-0340,14,Assisted Living Facility
No Contract,Yes,128,30005,THE KENNEY,7125 Fauntleroy Way SW,Seattle,WA,98136,King,(206) 937-2800,98,Assisted Living Facility
No Contract,Yes,2037,40068,THE LODGE AT ARBOR VILLAGE,24004 114TH PLACE SE,KENT,WA,98030,King,(253) 856-1600,60,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1798,30926,THE LODGE AT EAGLE RIDGE,1600 S EAGLE RIDGE Dr S,Renton,WA,98055,King,(425) 793-8080,75,Assisted Living Facility
No Contract,Yes,2365,43751,The Meridian at Stone Creek,1111 S 376th St,Milton,WA,98354,King,(253) 661-3651,188,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1435,30671,THE SUMMIT AT FIRST HILL,1200 UNIVERSITY ST SUITE 100,SEATTLE,WA,98101,King,(206) 652-4444,60,Assisted Living Facility
No Contract,Yes,2054,40323,THE TERRACES AT SKYLINE,715 9TH AVE,SEATTLE,WA,98104,King,(206) 682-3200,86,Assisted Living Facility
No Contract,Yes,523,30070,TRANSITIONAL RESOURCES,2970 SW AVALON WAY,SEATTLE,WA,98126,King,(206) 883-2050,16,Assisted Living Facility
Assisted Living SOW,Yes,2420,44312,"Truewood by Merrill, First Hill",1421 MINOR AVE,SEATTLE,WA,98101,King,(206) 624-7637,75,Assisted Living Facility
No Contract,Yes,1565,30763,UNIVERSITY HOUSE AT ISSAQUAH,22975 SE BLACK NUGGET ROAD,ISSAQUAH,WA,98029,King,(425) 557-4200,55,Assisted Living Facility
No Contract,Yes,1170,30463,UNIVERSITY HOUSE AT WALLINGFORD,4400 STONE WAY N,SEATTLE,WA,98103,King,(206) 545-8400,25,Assisted Living Facility
Assisted Living SOW,Yes,1561,30760,VASHON COMMUNITY CARE CENTER,15333 VASHON HWY SW,VASHON,WA,98070,King,(206) 567-4421,61,Assisted Living Facility
No Contract,Yes,2554,46010,Village Concepts of Fairwood,17010 140th Ave SE,Renton,WA,98058,King,(888) 548-6609,60,Assisted Living Facility
No Contract,Yes,1159,30452,VILLAGE GREEN RETIREMENT CAMPUS,35419 1ST AVE S,FEDERAL WAY,WA,98003,King,(253) 838-3700,65,Assisted Living Facility
Assisted Living SOW,Yes,1734,30878,VINEYARD PARK AT BOTHELL LANDING,10519 EAST RIVERSIDE DRIVE,BOTHELL,WA,98011,King,(425) 485-8900,75,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1356,30619,"WEATHERLY INN AT LAKE MERIDIAN, THE",15101 SE 272ND ST,KENT,WA,98042,King,(253) 630-7496,69,Assisted Living Facility
No Contract,Yes,1824,30947,WESLEY HOMES DES MOINES ASSISTED LIVING,816 S 216TH ST,DES MOINES,WA,981980000,King,(206) 870-8743,43,Assisted Living Facility
No Contract,Yes,1964,39129,Wesley Homes Lea Hill LLC,32049 109th Place SE,Auburn,WA,98092,King,(253) 804-5644,20,Assisted Living Facility
No Contract,Yes,1947,39085,Ashley Gardens of Bremerton,3231 Pine Rd NE,Bremerton,WA,98310,Kitsap,(360) 478-7277,40,Assisted Living Facility
Assisted Living SOW,Yes,2568,46734,Bay Pointe Assisted Living,966 Oyster Bay Court,Bremerton,WA,98312,Kitsap,(360) 373-9904,75,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,1983,39208,BAY VISTA COMMONS ASSISTED LIVING COMMUNITY,191 Russell Road,Bremerton,WA,98312,Kitsap,(360) 377-8300,76,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2274,42400,Brookdale Montclair Poulsbo,1250 NE Lincoln Rd,Poulsbo,WA,98370,Kitsap,(360) 697-2223,122,Assisted Living Facility
No Contract,Yes,2147,41759,Clearbrook Inn Living Center,12295 Schold Rd NW,Silverdale,WA,98383,Kitsap,(360) 698-6727,53,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1041,30339,COURTYARD AT CRISTA SHORES,1600 NW CRISTA SHORES LANE,SILVERDALE,WA,98383,Kitsap,(360) 698-0900,60,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1845,30966,CYPRESS GARDENS RETIREMENT CENTER,3500 9TH ST,BREMERTON,WA,98312,Kitsap,(360) 479-4130,65,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2396,44318,Laurel Glen at Bremerton Senior Living,2707 Clare Ave,Bremerton,WA,983103337,Kitsap,(360) 377-1717,88,Assisted Living Facility
No Contract,Yes,2182,42040,Liberty Place,155 Lippert Dr W,Port Orchard,WA,98366,Kitsap,(360) 876-0980,39,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1834,30956,LIBERTY SHORES ASSISTED LIVING,19360 VIKING AVE NW,POULSBO,WA,98370,Kitsap,(360) 779-5533,112,Assisted Living Facility
No Contract,Yes,922,30247,MADISON AVENUE RETIREMENT CENTER,285 MADISON AVENUE SOUTH,BAINBRIDGE ISLAND,WA,98110,Kitsap,(206) 842-3694,30,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2210,41855,"Madrona Assisted Living, LLC",8800 Madison Ave N,Bainbridge Island,WA,98110,Kitsap,(206) 317-6000,81,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2570,46737,Marine Courte Memory Care,948 Oyster Bay Court,Bremerton,WA,98312,Kitsap,(360) 373-9904,32,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2394,44308,Orchard Pointe Senior Alzheimer Community,300 S Kitsap Blvd,Port Orchard,WA,98366,Kitsap,(360) 874-7400,45,Assisted Living Facility
Assisted Living SOW,Yes,1810,30935,PARK VISTA RETIREMENT& ASSISTED LIVING COMMUNITY,2944 SE LUND AVE,PORT ORCHARD,WA,98366,Kitsap,(360) 871-2323,109,Assisted Living Facility
No Contract,Yes,1274,30554,STAFFORD SUITES - PORT ORCHARD,1761 POTTERY AVENUE,PORT ORCHARD,WA,98366,Kitsap,(360) 874-1212,60,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2433,44192,The Arbor at Bremerton,3510 9th Street,Bremerton,WA,98312,Kitsap,(360) 525-9000,64,Assisted Living Facility
No Contract,Yes,2246,42211,The Cottage,3210 Rickey Rd NE,Bremerton,WA,98310,Kitsap,(360) 373-0553,43,Assisted Living Facility
No Contract,Yes,2231,42177,The Ridge an Encore Community,1501 NW Tower View Cir,Silverdale,WA,98383,Kitsap,(360) 697-4488,54,Assisted Living Facility
No Contract,Yes,1253,30536,WYATT HOUSE RETIREMENT CENTER,186 WYATT WAY NW,BAINBRIDGE ISLAND,WA,98110,Kitsap,(206) 780-3646,32,Assisted Living Facility
No Contract,Yes,2186,42044,Meadows Place,1008 East Mountain View Ave,Ellensburg,WA,98926,Kittitas,(509) 925-4484,36,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2376,44097,Pacifica Senior Living Ellensburg,818 E Mountain View Ave,Ellensburg,WA,98926,Kittitas,(509) 925-1220,80,Assisted Living Facility
Assisted Living SOW,Yes,2392,44290,Prestige Senior Living at Hearthstone,802 East Mountain View Ave,Ellensburg,WA,98926,Kittitas,(509) 925-3099,69,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,783,30163,CHEHALIS WEST RETIREMENT CENTER INC,478 NW QUINCY PLACE,CHEHALIS,WA,98532,Lewis,(360) 748-9911,66,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2565,46460,Cooks Hill Manor,2010 Cooks Hill Rd,Centralia,WA,98531,Lewis,(360) 330-2010,70,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2010,39836,HERITAGE HOUSE MORTON,860 W Main,Morton,WA,98356,Lewis,(360) 496-6699,44,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1428,30665,SHARON CARE CENTER ASSISTED LIVING,1509 HARRISON AVE,CENTRALIA,WA,98531,Lewis,(360) 736-0112,72,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1061,30358,STILLWATERS COLONIAL RESIDENCE,2700 COLONIAL DR,CENTRALIA,WA,98531,Lewis,(360) 736-1551,81,Assisted Living Facility
Assisted Living SOW,Yes,2512,45644,Woodland Village,2100 SW Woodland Circle,Chehalis,WA,98532,Lewis,(360) 748-0095,40,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1194,30487,QUAIL COURT,506 E AMENDE DR,ODESSA,WA,99159,Lincoln,(509) 982-2611,12,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2377,44091,Vista Manor,700 SE Brace St,Wilbur,WA,99185,Lincoln,(509) 647-2211,16,Assisted Living Facility
"Specialized Dementia Care, Assisted Living SOW",Yes,2141,41738,Alpine Way Retirement Apartments,900 W Alpine Way,Shelton,WA,98584,Mason,(360) 426-2600,103,Assisted Living Facility
No Contract,Yes,1953,39001,Haven in Allyn LLC,180 Wheelwright Street,Allyn,WA,98524,Mason,(360) 277-0636,16,Assisted Living Facility
Assisted Living SOW,Yes,1447,30680,MAPLE GLEN ASSISTED LIVING COMMUNITY,1700 NORTH 13TH LOOP ROAD,SHELTON,WA,98584,Mason,(360) 427-0300,64,Assisted Living Facility
Assisted Living SOW,Yes,1277,30557,APPLE SPRINGS RETIREMENT AND ASSISTED LIVING RESIDENCE,1001 SENNA STREET,OMAK,WA,98841,Okanogan,(509) 826-3590,60,Assisted Living Facility
Assisted Living SOW,Yes,1970,39481,GOLDEN SANDS AT KLIPSAN BEACH,21608 O LANE,OCEAN PARK,WA,98640,Pacific,(360) 665-0190,43,Assisted Living Facility
"Enhanced Adult Res Care Conversion Pilot, Assisted Living SOW",Yes,1613,30798,RIVER MOUNTAIN VILLAGE ASSISTED LIVING,608 W 2nd St,Newport,WA,99156,Pend Oreille,(509) 447-2903,99,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2552,46368,6th Avenue Senior Living LLC,610 N FIFE ST,TACOMA,WA,98406,Pierce,(253) 272-8600,110,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2531,45730,"Alpha Cottage, LLC",10816 18th Ave E,Tacoma,WA,98445,Pierce,(253) 537-5395,46,Assisted Living Facility
No Contract,Yes,2555,45928,Bonaventure of Puyallup,14503 Meridian Avenue E,Puyallup,WA,98375,Pierce,(253) 387-8166,109,Assisted Living Facility
Assisted Living SOW,Yes,2427,44684,Bridgeport Place,5250 Bridgeport Way W,University Place,WA,98467,Pierce,(253) 565-1960,77,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1701,30853,Brookdale Allenmore AL (WA),3615 S. 23RD STREET,TACOMA,WA,98405,Pierce,(253) 759-7770,80,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2366,43928,Brookdale Courtyard Puyallup,4610 6TH STREET PLACE SE,PUYALLUP,WA,98374,Pierce,(253) 841-9722,120,Assisted Living Facility
Enhanced Adult Residential Care,Yes,1912,30950,Brookdale Harbor Bay,9324 NORTH HARBORVIEW DR,GIG HARBOR,WA,98332,Pierce,(253) 858-7790,44,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1702,30854,Brookdale Puyallup South,8811 176TH ST EAST,PUYALLUP,WA,98375,Pierce,(253) 445-1300,64,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,1063,30360,CASCADE PARK GARDENS,4347 S UNION AVE,TACOMA,WA,98409,Pierce,(253) 475-3702,85,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,1251,30535,CASCADE PARK VISTA,242 ST HELENS AVE S,TACOMA,WA,98402,Pierce,(253) 627-3833,117,Assisted Living Facility
