State Facility Type 2 Literal,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
NO CONTRACT,2209,41972,Aegis Of Marymoor,4585 WEST LAKE SAMMAMISH PARKWAY NE,Redmond,WA,98052,King,(425) 497-0900,72,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2509,45398,Aegis Of Mercer Island,7445 SE 24TH STREET,Mercer Island,WA,98040,King,(206) 602-1365,128,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2381,43932,Aegis Of Queen Anne At Rodgers Park,2900 3RD AVE W,Seattle,WA,98119,King,(206) 858-9989,150,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2339,43768,Aegis Of Queen Anne On Galer,223 W GALER ST,Seattle,WA,98119,King,(206) 285-1106,68,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1944,38914,Aegis Senior Inn Of Kent,10421 SE 248TH ST,Kent,WA,98030,King,(253) 520-8400,48,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1804,30931,Aegis Senior Inn Of Redmond,7480 W LAKE SAMMAMISH PKWY NE,Redmond,WA,98052,King,(425) 883-4000,52,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1803,30930,Aegis Senior Living Of Shoreline,14900 1ST AVENUE NE,Shoreline,WA,98155,King,(206) 367-6700,130,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2019,39587,Aljoya Mercer Island,2430 76TH AVENUE SE,Mercer Island,WA,98040,King,(206) 230-0150,35,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2040,40268,Aljoya Thornton Place,450 NE 100TH STREET,Seattle,WA,98125,King,(206) 470-8000,35,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1993,39576,Arbor Village Retirement & Assisted Living Community,24121 116TH AVE SE,Kent,WA,98030,King,(253) 856-1600,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2055,40235,Ballard Landmark,5433 LEARY AVENUE NW,Seattle,WA,98107,King,(206) 782-4000,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,162,30011,Bayview Manor Homes,11 W ALOHA ST,Seattle,WA,981199963,King,(206) 284-7330,51,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,606,30096,Beverly Park Group Home,150 SW 114TH ST,Seattle,WA,98146,King,(206) 241-2049,8,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2390,43960,Brannan Park Assisted Living And Memory Care Community,2901 I STREET NE,Auburn,WA,98002,King,(253) 736-2800,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2544,46201,Briarwood At Timber Ridge,100 TIMBER RIDGE WAY NW,Issaquah,WA,98027,King,(425) 427-5200,35,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2306,42355,Brookdale Admiral Heights,2326 CALIFORNIA AVE SW,Seattle,WA,98116,King,(206) 866-1711,55,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2526,45656,Brookdale Federal Way,31002 14TH AVE S,Federal Way,WA,98003,King,(253) 941-0156,110,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1917,30970,Brookdale Foundation House,32290 1ST AVE S,Federal Way,WA,98003,King,(253) 838-8823,129,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2296,42392,Brookdale Renton,71 SW VICTORIA ST,Renton,WA,98057,King,(425) 226-8977,105,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2319,42369,Brookdale West Seattle,4611 35TH AVE SW,Seattle,WA,98126,King,(206) 932-5480,60,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2541,46073,Cascade Place,2000 MOUNTAIN VIEW DR,Enumclaw,WA,98022,King,,40,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2228,41982,Chateau At Bothell Landing Retirement Community,17543 102ND AVENUE NE,Bothell,WA,98011,King,(425) 485-1155,142,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2230,41980,Chateau At Valley Center Retirement Community,4450 DAVIS AVE S,Renton,WA,98055,King,(425) 251-6677,120,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2474,45279,Cogir Northgate,11501 15TH AVE NE,Seattle,WA,98125,King,(206) 362-7250,85,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2473,45282,Cogir Queen Anne,805 4TH AVE N,Seattle,WA,98109,King,,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,958,30277,Covenant Living West,9115 FORTUNA DRIVE,Mercer Island,WA,98040,King,(206) 316-8042,55,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,770,30158,Cristwood Retirement Community,19303 FREMONT AVE N,Shoreline,WA,98133,King,(206) 546-7573,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,516,30068,Crown Hill Group Home,9523 15TH AVE NW,Seattle,WA,98117,King,(206) 782-4293,6,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,924,30249,Daystar At Westwood,2615 SW BARTON STREET,Seattle,WA,98126,King,(206) 937-6122,60,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2140,41674,Eldorado West Retirement Community,1010 SW 134TH ST,Burien,WA,98146,King,(206) 248-1975,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2364,43977,Emerald City Senior Living,9001 LAKE CITY WAY NE,Seattle,WA,98115,King,(206) 729-1200,119,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,994,30302,Emerald Heights,10901 176TH CIRCLE NE,Redmond,WA,98052,King,(425) 556-8100,60,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1502,30718,Evergreen Court,900 124TH AVENUE NE,Bellevue,WA,98005,King,(425) 455-4333,45,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1603,30790,Expressions At Enumclaw,2454 COLE STREET,Enumclaw,WA,98022,King,(360) 825-4565,52,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1172,30465,Fairwinds Brittany Park,17143 133RD AVE NE,Woodinville,WA,98072,King,(425) 402-7100,45,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1814,30939,Fairwinds Redmond,9988 AVONDALE ROAD NE,Redmond,WA,98052,King,(425) 558-4700,50,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2347,42420,Family To Family Senior Care Inc,25633 SE 30TH ST,Sammamish,WA,98075,King,(425) 644-7321,15,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2145,41744,Farrington Court Retirement Community,516 KENOSIA AVE S,Kent,WA,98030,King,(253) 852-2737,70,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2471,45238,Fieldstone Memory Care Issaquah,23845 SE ISSAQUAH FALL CITY RD,Issaquah,WA,980297514,King,(425) 654-4005,68,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1795,30924,Firwood,10751 2ND AVE NW,Seattle,WA,98177,King,(206) 362-0560,20,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2009,39854,Florence Of Seattle Arbor Heights,9850 CALIFORNIA AVE SW,Seattle,WA,98136,King,(206) 714-3324,12,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2011,39853,Florence Of Seattle Llc,8424 16TH AVE SW,Seattle,WA,98106,King,(206) 767-3137,21,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1065,30362,Foss Home And Village,13023 GREENWOOD AVE N,Seattle,WA,98133,King,(206) 364-1300,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1155,30448,Foundation House,11301 3RD AVE NE,Seattle,WA,98125,King,(206) 361-2758,30,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1568,30765,Fountain Court Assisted Living,24200 224TH AVENUE SE,Maple Valley,WA,98038,King,(425) 432-3352,65,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",864,30210,Fred Lind Manor,1802 17TH AVE,Seattle,WA,98122,King,(206) 324-1632,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1631,30811,Garden Terrace Healthcare Center Of Federal Way,491 S 338TH STREET,Federal Way,WA,98003,King,(253) 661-2226,34,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2484,45170,Gencare Lifestyle Federal Way At Steel Lake,31200 23RD AVENUE SOUTH,Federal Way,WA,98003,King,,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1559,30759,Golden Hearth Resident,15934 NE 139TH PLACE,Woodinville,WA,98072,King,(425) 298-0407,8,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,193,30015,Hearthstone,6720 E GREEN LAKE WAY N,Seattle,WA,98103,King,(206) 525-9666,62,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,919,30244,Heritage House At The Market,1533 WESTERN AVENUE,Seattle,WA,98101,King,(206) 382-4119,64,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ASSISTED LIVING SOW",2432,44144,High Point Village,1777 HIGHPOINT ST,Enumclaw,WA,98022,King,(360) 825-7780,70,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,978,30290,High West Residence,15035 8TH AVE S,Burien,WA,98148,King,(206) 241-3119,16,ASSISTED LIVING FACILITY,7/6/21
ADULT RESIDENTIAL CARE,1278,30558,Hilltop Manor Boarding Home,1732 16TH AVE,Seattle,WA,98122,King,(206) 329-5775,35,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,212,30017,Horizon House,900  UNIVERSITY ST,Seattle,WA,98101,King,(206) 624-3700,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,945,30267,Ida Culver House Broadview,12505 GREENWOOD AVE N,Seattle,WA,98133,King,(206) 361-1989,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,858,30205,Ida Culver House Ravenna,2315 NE 65TH ST,Seattle,WA,98115,King,(206) 523-7315,42,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2375,44179,Island House,7810 SE 30TH ST,Mercer Island,WA,98040,King,(206) 236-0502,35,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2548,45750,Jefferson House Memory Care Community,12217 NE 128TH STREET,Kirkland,WA,98034,King,(425) 202-7254,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,681,30129,Judson Park Retirement Community,23600 MARINE VIEW DR S,Des Moines,WA,98198,King,(206) 824-4000,52,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2566,46610,Kenmore Senior Living,7221 NE 182ND ST,Kenmore,WA,98028,King,(425) 481-4200,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,939,30262,Keystone,3512 ALBION PL N,Seattle,WA,98103,King,(206) 461-6990,64,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2519,45308,Kin On Assisted Living,5214 42ND AVE S,Seattle ,WA,98118,King,(206) 721-0954,25,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1052,30349,Lakeshore,11448 RAINIER AVE S,Seattle,WA,98178,King,(206) 772-1200,50,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2482,45241,"Lakeview Of Kirkland, Assisted Living",6505 LAKEVIEW DR NE,Kirkland,WA,98033,King,(425) 803-6911,85,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2389,44118,Laurel Cove Community,17201 15TH AVE NE,Shoreline,WA,98155,King,(206) 364-9336,98,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2493,45367,Legacy House,803 SOUTH LANE STREET,Seattle,WA,98104,King,(206) 292-5187,68,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2437,44856,Lincoln Park Group Home,6935 FAUNTLEROY WAY SW,Seattle,WA,98136,King,(206) 829-2011,8,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2153,41798,Living Court Assisted Living Community,2229 JENSEN ST,Enumclaw,WA,98022,King,(360) 825-0280,65,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2547,45435,Longhouse Bothell,16605 122ND PLACE NE,Bothell,WA,98011,King,(206) 453-6748,15,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2436,44467,Madison House,12215 NE 128TH ST,Kirkland,WA,98034,King,(425) 821-8210,84,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2506,45581,Merrill Gardens At Auburn,18 1ST ST SE,Auburn,WA,98002,King,(253) 258-3263,65,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2507,45582,Merrill Gardens At Ballard,2418 NW 56TH ST,Seattle,WA,98107,King,(206) 838-8555,50,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2406,44198,Merrill Gardens At Burien,15020 5TH AVE SW,Burien,WA,98166,King,(206) 539-4995,55,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2135,41478,Merrill Gardens At Kirkland,14 MAIN ST S,Kirkland,WA,98033,King,(425) 828-2570,40,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2131,41472,Merrill Gardens At Renton Centre,104 BURNETT AVE S,Renton,WA,98057,King,(425) 235-6400,110,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2132,41479,Merrill Gardens At The University,5300 24TH AVENUE NE,Seattle,WA,98105,King,(206) 523-8400,45,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2034,40058,Mirabella,116 FAIRVIEW AVENUE NORTH,Seattle,WA,98109,King,(206) 254-1447,63,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2564,46054,Mirror Lake Village,31000 9TH PL SW,Federal Way,WA,98023,King,(206) 212-4208,120,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2521,45634,Murano Senior Living,620 TERRY AVE,Seattle,WA,98104,King,(206) 202-4620,117,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1186,30479,Nikkei Manor,700 6TH AVE S,Seattle,WA,98104,King,(206) 726-6460,56,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1688,30841,Normandy Park Assisted Living,16625 1ST AVE S,Burien,WA,98148,King,(206) 241-0821,120,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",145,30008,Norse Home,5311 PHINNEY AVE N,Seattle,WA,98103,King,(206) 781-7400,86,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,980,30291,Northaven Ii Assisted Living,531 NE 112TH ST,Seattle,WA,98125,King,(206) 362-8077,40,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2374,44180,Northgate Plaza,11030 NE 5TH AVE,Seattle,WA,98125,King,(206) 363-6740,60,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2130,41497,Olympic View Assisted Living,21202 INTERNATIONAL BLVD,Seatac,WA,98198,King,(206) 878-0900,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2551,46134,Overlake Terrace,2956 152ND AVE NE,Redmond,WA,98052,King,(425) 883-0495,150,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1532,30738,Park Place,6900 37TH AVENUE SOUTH,Seattle,WA,98118,King,(206) 722-7275,156,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,183,30014,Park Shore,1630 43RD AVE E,Seattle,WA,98112,King,(206) 329-0770,36,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2550,46403,Parkside Retirement Community,2902 I ST NE,Auburn,WA,98002,King,(253) 939-1332,94,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1117,30411,Parkview Group Home,1114 15TH AVE E,Seattle,WA,98112,King,(206) 324-4113,6,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2121,41028,Patriots Glen,1640 148TH AVE SE,Bellevue,WA,98007,King,(425) 373-1161,82,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2245,42218,Peters Creek Retirement Community,14431 REDMOND WAY,Redmond,WA,98052,King,(425) 869-2273,70,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2239,42171,Prestige Senior Living Auburn Meadows,945 22ND ST NE,Auburn,WA,98002,King,(253) 333-0171,110,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE",2401,44067,Provail,1548 NE 175TH ST,Shoreline ,WA,98155,King,(206) 420-8838,12,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",198,30016,Providence Mount St. Vincent,4831 35TH AVE SW,Seattle,WA,98126,King,(206) 937-3700,122,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2458,45004,Quail Park Memory Care Residences Of West Seattle,4515 41ST AVE SW,Seattle,WA,98116,King,(206) 633-2273,70,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2367,44048,Queen Anne Manor,100 CROCKETT ST,Seattle,WA,98109,King,(206) 282-5001,103,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1158,30451,Red Oak Residence Of North Bend,650 E NORTH BEND WAY,North Bend,WA,98045,King,(425) 888-7108,38,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2522,45670,Redmond Heights Senior Living,7950 WILLOWS RD NE,Redmond,WA,98052,King,(425) 885-4157,85,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2018,39737,Regency Newcastle,7454 NEWCASTLE GOLF CLUB ROAD,Newcastle,WA,98059,King,(425) 453-1508,85,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1413,30655,Riverside East,10315 EAST RIVERSIDE DR,Bothell,WA,98011,King,(425) 481-1976,44,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2539,46130,Ruthaven Alf Llc,15843 SE 256TH ST,Covington,WA,98042,King,(253) 631-5600,14,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2467,45183,Sagebrook Senior Living At Bellevue,15750 NE 15TH ST,Bellevue,WA,98008,King,(425) 641-4900,108,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2573,46453,Silverado - Bellevue,14428 NE 8TH ST,Bellevue,WA,98007,King,,56,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2137,41498,Spiritwood At Pine Lake,3607 228TH AVE SE,Issaquah,WA,98029,King,(425) 313-9100,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1150,30443,Spring Manor,1103 16TH AVE,Seattle,WA,98122,King,(206) 324-9021,57,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1157,30450,Stafford Suites,112 KENNEBECK AVE N,Kent,WA,98030,King,(253) 850-0333,75,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1519,30728,Stillwater House,8705 166TH AVE NE,Redmond,WA,98052,King,(425) 653-5080,16,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2163,41860,Sunrise Of Bellevue,15928 NE 8TH ST,Bellevue,WA,98008,King,(425) 401-5152,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2342,43883,Sunrise Of Bothell,10605 NE 185TH ST,Bothell,WA,98011,King,(425) 487-3245,50,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2543,45621,Sunrise Of Issaquah,23599 SE ISSAQUAH FALL CITY RD,Issaquah,WA,98029,King,(425) 945-0006,107,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2164,41858,Sunrise Of Mercer Island,2959 76TH AVENUE SE,Mercer Island,WA,98040,King,(206) 232-6565,64,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2344,43885,Sunrise Of Northgate,11039 17TH AVE NE,Seattle,WA,98125,King,(206) 440-1700,49,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2464,45046,Sunrise Of Redmond,15241 NE 20TH ST,Bellevue,WA,98007,King,,90,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1089,30383,Terry Home,138 3RD AVE SW,Pacific,WA,98047,King,(253) 288-0135,10,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2205,41915,Terry Home Auburn,727 A STREET NE,Auburn,WA,98002,King,(253) 737-4546,16,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2457,45049,The Bellettini,1115 108TH AVE NE,Bellevue,WA,98004,King,,50,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2056,40599,The Cannon House,113 23RD AVENUE SOUTH,Seattle,WA,98144,King,(206) 709-1777,91,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2496,45166,The Cottages Of Renton,17033 108TH AVE SE,Renton,WA,98055,King,(425) 528-7070,60,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,456,30059,The Gardens At Juanita Bay,11853 97TH AVE NE,Kirkland,WA,98034,King,(425) 823-0410,48,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1604,30791,The Gardens At Town Square,933 111TH AVE NE,Bellevue,WA,98004,King,(425) 688-1900,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1994,39575,The Inn At Arbor Village,24205 116TH AVE SE,Kent,WA,98030,King,(253) 893-0340,14,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,128,30005,The Kenney,7125 FAUNTLEROY WAY SW,Seattle,WA,98136,King,(206) 937-2800,98,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2037,40068,The Lodge At Arbor Village,24004 114TH PLACE SE,Kent,WA,98030,King,(253) 856-1600,60,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1798,30926,The Lodge At Eagle Ridge,1600 S EAGLE RIDGE DR S,Renton,WA,98055,King,(425) 793-8080,75,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2365,43751,The Meridian At Stone Creek,1111 S 376TH ST,Milton,WA,98354,King,(253) 661-3651,188,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1435,30671,The Summit At First Hill,1200 UNIVERSITY ST SUITE 100,Seattle,WA,98101,King,(206) 652-4444,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2054,40323,The Terraces At Skyline,715 9TH AVE,Seattle,WA,98104,King,(206) 682-3200,86,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,523,30070,Transitional Resources,2970 SW AVALON WAY,Seattle,WA,98126,King,(206) 883-2050,16,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2420,44312,"Truewood By Merrill, First Hill",1421 MINOR AVE,Seattle,WA,98101,King,(206) 624-7637,75,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1565,30763,University House At Issaquah,22975 SE BLACK NUGGET ROAD,Issaquah,WA,98029,King,(425) 557-4200,55,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1170,30463,University House At Wallingford,4400 STONE WAY N,Seattle,WA,98103,King,(206) 545-8400,25,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1561,30760,Vashon Community Care Center,15333 VASHON HWY SW,Vashon,WA,98070,King,(206) 567-4421,61,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2554,46010,Village Concepts Of Fairwood,17010 140TH AVE SE,Renton,WA,98058,King,(888) 548-6609,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1159,30452,Village Green Retirement Campus,35419 1ST AVE S,Federal Way,WA,98003,King,(253) 838-3700,65,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1734,30878,Vineyard Park At Bothell Landing,10519 EAST RIVERSIDE DRIVE,Bothell,WA,98011,King,(425) 485-8900,75,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1356,30619,"Weatherly Inn At Lake Meridian, The",15101 SE 272ND ST,Kent,WA,98042,King,(253) 630-7496,69,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1824,30947,Wesley Homes Des Moines Assisted Living,816 S 216TH ST,Des Moines,WA,981980000,King,(206) 870-8743,43,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1964,39129,Wesley Homes Lea Hill Llc,32049 109TH PLACE SE,Auburn,WA,98092,King,(253) 804-5644,20,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1947,39085,Ashley Gardens Of Bremerton,3231 PINE RD NE,Bremerton,WA,98310,Kitsap,(360) 478-7277,40,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2568,46734,Bay Pointe Assisted Living,966 OYSTER BAY COURT,Bremerton,WA,98312,Kitsap,(360) 373-9904,75,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1983,39208,Bay Vista Commons Assisted Living Community,191 RUSSELL ROAD,Bremerton,WA,98312,Kitsap,(360) 377-8300,76,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2274,42400,Brookdale Montclair Poulsbo,1250 NE LINCOLN RD,Poulsbo,WA,98370,Kitsap,(360) 697-2223,122,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2147,41759,Clearbrook Inn Living Center,12295 SCHOLD RD NW,Silverdale,WA,98383,Kitsap,(360) 698-6727,53,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1041,30339,Courtyard At Crista Shores,1600 NW CRISTA SHORES LANE,Silverdale,WA,98383,Kitsap,(360) 698-0900,60,ASSISTED LIVING FACILITY,7/6/21
