Speciality,contract,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Disclosure of Services,Has Reports?,Reports Location
"Mental Health, Dementia",Adult Family Home,754040,40008373,45442,AF  ,European Care Home Inc,OP    ,3716 55th Ave SW,SEATTLE,WA,98116,King,3716 55th Ave SW,SEATTLE,WA,98116,(206) 932-2085,,(206) 932-5767,2E,"SPMI, SPDE",1080XS-12 ,"SIMUNEK, MARINA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754040,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754040
"Mental Health, Dementia",Adult Family Home,754091,40006971,45443,AF  ,European Life Home Inc,OP    ,4002 46th Ave SW,SEATTLE,WA,98116,King,4002 46th Ave SW,SEATTLE,WA,98116,(206) 932-6960,,(206) 932-5767,2E,"SPMI, SPDE",1080XS-12 ,"SIMUNEK, MARINA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754091,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754091
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",753130,40010261,44060,AF  ,Evania Adult Family Home LLC,OP    ,424 174th Pl NE,Bellevue,WA,98008,King,424 174th Pl NE,Bellevue,WA,98008,(425) 449-8138,,(425) 454-1757,2E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","DARBOE, FATOU ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753130,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753130
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",495301,40004953,36661,AF  ,EVANS HOME,OP    ,17629 8TH LANE NE,SHORELINE,WA,98155,King,17629 8TH LANE NE,SHORELINE,WA,98155,(206) 361-1678,,(206) 826-2045,2I,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Yang, Evan ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=495301,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=495301
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",753189,40010250,44043,AF  ,Everest Adult Family Home LLC,OP    ,912 N 196th Ct,Shoreline,WA,98133,King,912 N 196th Ct,Shoreline,WA,98133,(206) 542-5563,(206) 542-5574,,2I,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Shiwakoti, Ganesh ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753189,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753189
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,753723,40004147,45000,AF  ,Everest AFH LLC,OP    ,28009 118TH AVE SE,KENT,WA,98030,King,28009 118TH AVE SE,KENT,WA,98030,(253) 631-6552,,(253) 277-3172,2G,"SPMI, SPDE, SPDD",1080XS-12 ,"Kayastha, Lalita D. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753723,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753723
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",753990,40010787,45301,AF  ,Everest House of Renton LLC,OP    ,11004 SE 186th Street,Renton,WA,98055,King,11004 SE 186th Street,Renton,WA,98055,(206) 557-2655,,(425) 572-0638,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Shrestha-Maskey, Anita ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753990,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753990
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",753964,40009861,45320,AF  ,Everest House Renton I LLC,OP    ,1622 Talbot Rd S,Renton,WA,98055,King,1622 Talbot Rd S,Renton,WA,98055,(425) 264-5046,,,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Khatri, Narayan ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753964,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753964
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,753965,40010053,45303,AF  ,Everest House Renton II LLC,OP    ,322 S 15th St,Renton,WA,98055,King,322 S 15th St,Renton,WA,98055,(425) 226-3015,,(425) 988-3845,2G,"SPMI, SPDE, SPDD",1080XS-12 ,"Bogati, Sushil ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753965,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753965
"Mental Health, Dementia","Meaningful Day, Adult Family Home",753878,40010743,45205,AF  ,Evergreen AFH,OP    ,220 2nd Ave SE ,Pacific,WA,98047,King,220 2nd Ave SE ,Pacific,WA,98047,(253) 266-9100,,(253) 661-3506,2G,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","HAN, ANNA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753878,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753878
"Mental Health, Dementia","Meaningful Day, Adult Family Home",578900,40005789,37313,AF  ,EVERGREEN AFH,OP    ,10603 NE 137TH PLACE,KIRKLAND,WA,98034,King,10603 NE 137TH PLACE,KIRKLAND,WA,98034,(425) 820-5118,,(425) 402-0723,2I,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","Gruita, Lelly F. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=578900,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=578900
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",752320,40009587,41369,AF  ,EVERGREEN GARDENS II,OP    ,1901 SHATTUCK AVE S,RENTON,WA,98055,King,1901 SHATTUCK AVE S,RENTON,WA,98055,(206) 779-5917,(425) 226-1759,,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Gunter, Peter ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752320,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752320
"Mental Health, Dementia","Meaningful Day, Adult Family Home",753033,40010169,43870,AF  ,Evergreen Haven Senior Care,OP    ,15402 NE 12th Ave,Shoreline,WA,98155,King,15402 NE 12th Ave,Shoreline,WA,98155,(206) 294-4598,,(206) 257-4441,2I,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","PINEDA, JOYCE ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753033,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753033
"Mental Health, Dementia",No Contract,753412,40008749,44517,AF  ,EVERGREEN HOME CARE A LLC,OP    ,17603 91ST AVE NE,BOTHELL,WA,98011,King,17603 91ST AVE NE,BOTHELL,WA,98011,(425) 444-0110,,(425) 487-2400,2I,"SPMI, SPDE",,"Carp, Ancuta ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753412,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753412
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,608500,40006085,37543,AF  ,EVERGREEN HOME SERVICES CORPORATION,OP    ,9701 S 200TH ST,KENT,WA,98031,King,9701 S 200TH ST,KENT,WA,98031,(253) 856-2790,,(253) 981-3156,2G,"SPMI, SPDE, SPDD",1080XS-12 ,"Lopez, Minda ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=608500,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=608500
"Mental Health, Dementia",Adult Family Home,750089,40007344,38599,AF  ,EVERGREEN PARK 4,OP    ,142 S 295TH PL,FEDERAL WAY,WA,98003,King,142 S 295TH PL,FEDERAL WAY,WA,98003,(253) 839-9438,,,2G,"SPMI, SPDE",1080XS-12 ,"Morrow, Marijana M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750089,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750089
"Mental Health, Dementia",Adult Family Home,751053,40008692,39866,AF  ,EVERGREEN PARK AT GREEN LAKE,OP    ,7520 EAST GREEN LAKE DRIVE NORTH,SEATTLE,WA,98103,King,17126 SE 29th Pl,Bellevue,WA,98008,(206) 985-2048,(206) 985-2048,,2E,"SPMI, SPDE",1080XS-12 ,"Morrow, Marijana M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751053,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751053
"Mental Health, Dementia",Adult Family Home,751316,40008869,40136,AF  ,EVERGREEN PARK AT LAKE SAMMAMISH,OP    ,17126 SE 29TH PLACE,BELLEVUE,WA,98008,King,17126 SE 29TH PLACE,BELLEVUE,WA,98008,(425) 746-5963,,(425) 746-5963,2E,"SPMI, SPDE",1080XS-12 ,"Morrow, Marijana M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751316,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751316
"Mental Health, Dementia",Adult Family Home,752666,40009947,42249,AF  ,EVERGREEN PARK WEST CAMPUS,OP    ,32020 11TH AVE SW,FEDERAL WAY,WA,98023,King,17126 SE 29TH PL,BELLEVUE,WA,98008,(253) 344-1139,(253) 344-1139,,2G,"SPMI, SPDE",1080XS-12 ,"Morrow, Marijana M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752666,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752666
"Mental Health, Dementia","Meaningful Day, Expanded Community Services, Adult Family Home",752511,40009871,42088,AF  ,EVERGREEN SENIOR CARE LLC,OP    ,11605 4TH AVE SW,SEATTLE,WA,98146,King,11605 4TH AVE SW,SEATTLE,WA,98146,(206) 735-7574,(206) 420-8226,,2E,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","KAMAU, JAMES M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752511,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752511
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",753696,40010583,44844,AF  ,Evergreen Wellness AFH LLC,OP    ,22615 100th Ave SE,Kent,WA,98031,King,22615 100th Ave SE,Kent,WA,98031,(253) 854-4283,,(253) 854-4283,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Tanasescu, Laura ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753696,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753696
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,718900,40007189,38464,AF  ,EVERLASTING AFH,OP    ,17026 130TH AVE SE,RENTON,WA,98058,King,17026 130TH AVE SE,RENTON,WA,98058,(425) 271-0845,,(425) 271-6124,2E,"SPMI, SPDE, SPDD",1080XS-12 ,"Sairez, Gaily A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=718900,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=718900
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",609600,40006096,37555,AF  ,EVERLASTING CARE ADULT FAMILY HOME,OP    ,936 SOUTH 261ST PLACE,DES MOINES,WA,98198,King,936 SOUTH 261ST PLACE,DES MOINES,WA,98198,(253) 839-2963,,(253) 839-2963,2E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Delos Reyes, Amelia P. ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=609600,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=609600
"Mental Health, Dementia","Meaningful Day, Adult Family Home",753294,40006804,44244,AF  ,Everlasting Comfort AFH LLC,OP    ,14811 NE 11th Pl,Bellevue,WA,98007,King,14811 NE 11th Pl,Bellevue,WA,98007,(425) 502-9955,,(425) 590-9510,2E,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","Tapia, Cristina ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753294,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753294
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Meaningful Day, Expanded Community Services, Adult Family Home",753974,40010772,45268,AF  ,Exceeding Grace Senior Care AFH LLC,OP    ,10549 SE 228th St,Kent,WA,98031,King,10549 SE 228th St,Kent,WA,98031,(425) 524-1198,,,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Igwe, Uchanma H. ",4,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753974,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753974
"Mental Health, Dementia","Meaningful Day, Adult Family Home",754828,40009837,46537,AF  ,Excellent AFH LLC,OP    ,19114 8th Ave NW,Shoreline,WA,98177,King,19114 8th Ave NW,Shoreline,WA,98177,(206) 359-2766,,(206) 629-5987,2I,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","ANGHEL, LILIANA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754828,No, 
"Mental Health, Dementia",Adult Family Home,752852,40000463,43666,AF  ,Excellent Senior Care Inc,OP    ,13737 30TH AVE NE,SEATTLE,WA,98125,King,13737 30TH AVE NE,SEATTLE,WA,98125,(425) 879-1364,(206) 892-9808,,2I,"SPMI, SPDE",1080XS-12 ,"Mocanu, Rodica ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752852,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752852
"Mental Health, Developmental Disabilities",Adult Family Home,751665,40009219,40728,AF  ,EXCEPTIONAL CARE ADULT FAMILY HOME,OP    ,14810 NE 15TH PLACE,BELLEVUE,WA,98007,King,14810 NE 15TH PLACE,BELLEVUE,WA,98007,(425) 818-5027,(428) 818-5027,,2E,"SPMI, SPDD",1080XS-12 ,"SIMEKHA, JEAN N. ",4,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751665,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751665
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",752656,40009388,42215,AF  ,EXTENDED FAMILY AFH,OP    ,3422 S 261ST PLACE,KENT,WA,98032,King,3422 S 261ST PLACE,KENT,WA,98032,(253) 850-0373,(253) 850-9421,,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","NIAMBARA, ANDRE ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752656,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752656
"Mental Health, Developmental Disabilities","Meaningful Day, Adult Family Home",632500,40006325,37723,AF  ,FABIS ADULT FAMILY HOME,OP    ,5206 SOUTH 318TH PLACE,AUBURN,WA,98001,King,5206 South 318th PL,Auburn,WA,98001,(253) 939-2510,,(253) 939-2510,2G,"SPMI, SPDD","1080XS-12 , 1080XS-12 ","Fabis, Jan ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=632500,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=632500
"Mental Health, Dementia","Meaningful Day, Adult Family Home",752058,40006184,41444,AF  ,FACTORIA ADULT FAMILY HOME INC,OP    ,14260 SE 38TH ST,BELLEVUE,WA,98006,King,14260 SE 38TH ST,BELLEVUE,WA,98006,(425) 373-3423,(425) 562-5161,,2E,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","Carp, Ancuta ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752058,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752058
"Mental Health, Dementia","Specialized Behavior Support, Meaningful Day, Expanded Community Services, Adult Family Home",754012,40010660,45023,AF  ,Fairview Pointe AFH LLC,OP    ,29011 50th PL S,Auburn ,WA,98001,King,29011 50th PL S,Auburn ,WA,98001,(425) 442-1695,,(206) 651-7837,2G,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Kinyanjui, Eunice W. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754012,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754012
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753610,40008200,44820,AF  ,Fairway View AFH Corp,OP    ,32112 32ND AVE SW,FEDERAL WAY,WA,98023,King,32112 32ND AVE SW,FEDERAL WAY,WA,98023,(206) 395-4784,,(206) 701-0874,2G,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Nteze, Ester ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753610,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753610
"Mental Health, Dementia, Developmental Disabilities",No Contract,345900,40003459,35203,AF  ,FAIRWOOD CARE HOME II,OP    ,13805 SE 161ST PL,RENTON,WA,98058,King,13805 SE 161ST PL,RENTON,WA,98058,(425) 277-3882,(425) 430-4588,,2E,"SPMI, SPDE, SPDD",,"Perde, Ioana M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=345900,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=345900
"Mental Health, Dementia",Adult Family Home,752472,40009845,42030,AF  ,FAIRWOOD GARDENS ADULT FAMILY HOME INC,OP    ,14246 SE 179TH PL,RENTON,WA,98058,King,14246 SE 179TH PL,RENTON,WA,98058,(425) 271-2798,(425) 277-1518,,2E,"SPMI, SPDE",1080XS-12 ,"SOME, NELLY C. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752472,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752472
"Mental Health, Dementia","Meaningful Day, Expanded Community Services, Adult Family Home",753859,40010621,44935,AF  ,Fairwood Manor Adult Family Home LLC,OP    ,12912 SE 186th St,Renton,WA,98058,King,12912 SE 186th St,Renton,WA,98058,(425) 586-0255,,(253) 904-8847,2E,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Boctot, Glenn J. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753859,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753859
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",751329,40008873,40142,AF  ,FAIRWOOD RESIDENCE AFH,OP    ,15645 SE FAIRWOOD BLVD,RENTON,WA,98058,King,15645 SE FAIRWOOD BLVD,RENTON,WA,98058,(425) 254-0994,,,2E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","MWALE, HERMAN G. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751329,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751329
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",754308,40010995,45765,AF  ,"Fairwood Residence AFH2, LLC",OP    ,16934 130th Ave SE,Renton,WA,98058,King,16934 130th Ave SE,Renton,WA,98058,(425) 207-8089,,(425) 207-8089,2E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","MWALE, HERMAN G. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754308,No, 
"Mental Health, Dementia","Meaningful Day, Adult Family Home",753548,40010168,44682,AF  ,Faith Family Home,OP    ,15453 81st Ave NE,Kenmore,WA,98028,King,15453 81st Ave NE,Kenmore,WA,98028,(425) 892-8742,,(425) 491-7297,2I,"SPMI, SPDE","1080XS-12 , 1080XS-12 ","An, Changman` M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753548,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753548
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753534,40008771,44814,AF  ,Faith House AFH LLC,OP    ,37630 165TH AVE SE,AUBURN,WA,98092,King,37630 165TH AVE SE,AUBURN,WA,98092,(253) 245-9249,,(253) 793-1561,2G,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Mugure, Peter ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753534,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753534
"Mental Health, Dementia","Meaningful Day, Expanded Community Services, Adult Family Home",754136,40010920,45587,AF  ,Faithful House AFH LLC,OP    ,3710 Lemon Tree Lane,Auburn,WA,98092,King,3710 Lemon Tree Lane,Auburn,WA,98092,(253) 833-0462,,(253) 563-7323,2G,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Mbuthia, Alice M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754136,No, 
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Expanded Community Services, Adult Family Home",751945,40006196,41131,AF  ,FAMILIA ADULT CARE I LLC,OP    ,19639 108TH AVE SE,RENTON,WA,98055,King,12715 SE 166TH ST,RENTON,WA,98058,(253) 520-1606,,(253) 277-3874,2G,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Fajardo, Elisa ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751945,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751945
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",754504,40008249,46138,AF  ,Family Care One AFH LLC,OP    ,13028 133RD PL NE,KIRKLAND,WA,98034,King,13028 133RD PL NE,KIRKLAND,WA,98034,(425) 307-1445,,(425) 307-1429,2I,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Weru, Molly ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754504,No, 
"Mental Health, Dementia",No Contract,755019,40011400,46509,AF  ,Family Matters AFH LLC ,OP    ,14602 SE 21st Street,Bellevue,WA,98007,King,1100 Bellevue Way NE Suite 8A #207,Bellevue,WA,98004,(425) 502-7901,,(256) 278-4515,2E,"SPMI, SPDE",,"Nordstrom, Gloria C. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755019,No, 
"Mental Health, Dementia, Developmental Disabilities",No Contract,350300,40003503,35253,AF  ,FEDERAL WAY AFH,OP    ,31616 13TH AVENUE SW,FEDERAL WAY,WA,98023,King,31616 13TH AVE SW,FEDERAL WAY,WA,98023,(253) 839-2965,,(253) 839-2965,2G,"SPMI, SPDE, SPDD",,"Paligutan, Efrain M. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=350300,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=350300
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,751660,40009238,40756,AF  ,FELICITY SENIOR CARE INC,OP    ,15419 SE 21ST PLACE,BELLEVUE,WA,98007,King,15419 SE 21ST PLACE,BELLEVUE,WA,98007,(425) 641-8300,(425) 641-8400,,2E,"SPMI, SPDE, SPDD",1080XS-12 ,"Nutu, Elena ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751660,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751660
"Mental Health, Dementia, Developmental Disabilities","Meaningful Day, Adult Family Home",753490,40003368,44548,AF  ,Firland Adult Family Home LLC,OP    ,19214 Firlands Way N,Shoreline,WA,98133,King,19214 Firlands Way N,Shoreline,WA,98133,(206) 546-2315,,(206) 546-2315,2I,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Tesfay, Almaz ",5,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753490,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753490
"Mental Health, Dementia",Adult Family Home,751963,40009507,41237,AF  ,FIRST CHOICE CARE LLC,OP    ,22028 108TH AVE SE,KENT,WA,98031,King,22028 108TH AVE SE,KENT,WA,98031,(253) 236-5178,,(253) 813-3944,2G,"SPMI, SPDE",1080XS-12 ,"Torkelson, Daniela C. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751963,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751963
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,754774,40011308,46363,AF  ,FN Deeper Love AFH,OP    ,5015 S 291st St,Auburn,WA,98001,King,5015 S 291st St,Auburn,WA,98001,(206) 249-8412,,(206) 249-8412,2G,"SPMI, SPDE, SPDD",1080XS-12 ,"Njuguna, Nancy N. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754774,No, 
"Mental Health, Dementia",Adult Family Home,752403,40003705,41902,AF  ,FOREST PARK ADULT FAMILY HOME INC,OP    ,17522 SE 338TH ST,AUBURN,WA,98092,King,17522 SE 338TH ST,AUBURN,WA,98092,(253) 833-4815,(253) 833-5207,,2G,"SPMI, SPDE",1080XS-12 ,"Mihaila, Florica ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752403,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752403
