Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,No Contract,,1993,60008792,39576,BH  ,ARBOR VILLAGE RETIREMENT & ASSISTED LIVING COMMUNITY,OP    ,24121 116TH AVE SE,KENT,WA,98030,King,24121 116TH AVE SE,KENT,WA,98030,(253) 856-1600,(253) 856-8042,,2D,,,"WAISATH, ELISABETH A. ",100,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1993
None,No Contract,,2055,60009543,40235,BH  ,BALLARD LANDMARK,OP    ,5433 LEARY AVENUE NW,SEATTLE,WA,98107,King,5433 LEARY AVENUE NW,SEATTLE,WA,98107,(206) 782-4000,,,2J,,,"Glandon, Betty ",60,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2055
None,No Contract,,162,60000616,30011,BH  ,BAYVIEW MANOR HOMES,OP    ,11 W Aloha St,Seattle,WA,981199963,King,11 W Aloha St,Seattle,WA,981199963,(206) 284-7330,,(206) 691-5348,2J,,,"Smith, Joel G. ",51,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=162
None,No Contract,,606,60000621,30096,BH  ,BEVERLY PARK GROUP HOME,OP    ,150 SW 114TH ST,SEATTLE,WA,98146,King,PO BOX 17017,SEATTLE,WA,98127,(206) 241-2049,,(206) 241-7993,2J,,,"Massey, Richard ",8,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=606
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2390,60009588,43960,BH  ,Brannan Park Assisted Living and Memory Care Community,OP    ,2901 I Street NE,Auburn,WA,98002,King,2020 A St SE Suite 101,Auburn,WA,98002,(253) 736-2800,,(253) 736-0049,2D,,"1006XP-12 , 1002XP-12 ","Bessette, Sherlyn ",90,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2390
None,No Contract,,2544,60009594,46201,BH  ,Briarwood at Timber Ridge,OP    ,100 Timber Ridge Way NW,Issaquah,WA,98027,King,100 Timber Ridge Way NW,Issaquah,WA,98027,(425) 427-5200,,(425) 427-5207,2D,,,"Humphrey, Errin D. ",35,2/28/22 0:00,,,No, 
None,No Contract,,2306,60008836,42355,BH  ,Brookdale Admiral Heights,OP    ,2326 CALIFORNIA AVE SW,SEATTLE,WA,98116,King,2326 CALIFORNIA AVE SW,SEATTLE,WA,98116,(206) 866-1711,(206) 938-0895,,2J,,,"Schaper, Dawn ",55,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2306
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2526,60000695,45656,BH  ,Brookdale Federal Way,OP    ,31002 14th Ave S,Federal Way,WA,98003,King,31002 14th Ave S,Federal Way,WA,98003,(253) 941-0156,,,2D,,"1006XP-12 , 1002XP-12 ","Santos, Patricia ",110,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2526
None,No Contract,,1917,60008828,30970,BH  ,Brookdale Foundation House,OP    ,32290 1st Ave S,Federal Way,WA,98003,King,32290 FIRST AVE SOUTH,FEDERAL WAY,WA,98003,(253) 838-8823,,(253) 661-8359,2D,,,"Mueller, Elizabeth ",129,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1917
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2296,60000857,42392,BH  ,Brookdale Renton,OP    ,71 SW VICTORIA ST,RENTON,WA,98057,King,71 SW VICTORIA ST,RENTON,WA,98057,(425) 226-8977,(425) 226-9731,,2D,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Holm, Kelly ",105,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2296
None,No Contract,,2319,60008954,42369,BH  ,Brookdale West Seattle,OP    ,4611 35TH AVE SW,SEATTLE,WA,98126,King,4611 35TH AVE SW,SEATTLE,WA,98126,(206) 932-5480,,(206) 932-3508,2J,,,"WORCESTER, MICHELLE ",60,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2319
None,Assisted Living SOW,,2541,60001135,46073,BH  ,Cascade Place,OP    ,2000 Mountain View Dr,Enumclaw,WA,98022,King,2000 Mountain View Dr,Enumclaw,WA,98022,,,,2D,,1002XP-12 ,"Dravis, Brandon J. ",40,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2541
None,No Contract,,2228,60008877,41982,BH  ,CHATEAU AT BOTHELL LANDING RETIREMENT COMMUNITY,OP    ,17543 102ND AVENUE NE,BOTHELL,WA,98011,King,17543 102ND AVENUE NE,BOTHELL,WA,98011,(425) 485-1155,,(425) 984-9041,2J,,,"Ziomas, Alexander ",142,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2228
None,No Contract,,2230,60008974,41980,BH  ,CHATEAU AT VALLEY CENTER RETIREMENT COMMUNITY,OP    ,4450 Davis Ave S,Renton,WA,98055,King,4450 Davis Ave S,Renton,WA,98055,(425) 251-6677,(425) 970-6377,,2D,,,"Kore, Muna ",120,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2230
None,No Contract,,2474,60000743,45279,BH  ,Cogir Northgate,OP    ,11501 15th Ave NE,Seattle,WA,98125,King,11501 15th Ave NE,Seattle,WA,98125,(206) 362-7250,,(206) 362-2669,2J,,,"Dalke, Brandon ",85,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2474
None,No Contract,,2473,60001835,45282,BH  ,Cogir Queen Anne,OP    ,805 4th Ave N,Seattle,WA,98109,King,805 4th Ave N,Seattle,WA,98109,,,(206) 284-0056,2J,,,"Klotz, Ken ",100,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2473
None,No Contract,,958,60000669,30277,BH  ,Covenant Living West,OP    ,9115 FORTUNA DRIVE,MERCER ISLAND,WA,98040,King,9115 FORTUNA DRIVE,MERCER ISLAND,WA,98040,(206) 316-8042,,(206) 268-3219,2J,,,"Gillaspie, Debra ",55,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=958
None,No Contract,,770,60000670,30158,BH  ,CRISTWOOD RETIREMENT COMMUNITY,OP    ,19303 Fremont Ave N,Shoreline,WA,98133,King,19303 Fremont Ave N,Shoreline,WA,98133,(206) 546-7573,,(206) 546-7535,2J,,,"Kulisewa, Kondi ",90,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=770
None,No Contract,,516,60000672,30068,BH  ,CROWN HILL GROUP HOME,OP    ,9523 15TH AVE NW,SEATTLE,WA,98117,King,PO BOX 17017,SEATTLE,WA,98127,(206) 782-4293,,(206) 782-6043,2J,,,"Massey, Richard ",6,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=516
None,No Contract,,924,60000676,30249,BH  ,DAYSTAR AT WESTWOOD,OP    ,2615 SW BARTON STREET,SEATTLE,WA,98126,King,2615 SW BARTON ST,SEATTLE,WA,98126,(206) 937-6122,,(206) 937-4803,2J,,,"Huetter, Robyn ",60,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=924
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2140,60000688,41674,BH  ,ELDORADO WEST RETIREMENT COMMUNITY,OP    ,1010 SW 134th St,Burien,WA,98146,King,2020 A St SE Suite 101,Auburn,WA,98002,(206) 248-1975,(360) 243-7382,,2D,,"1027XS-12 , 1006XP-12 , 1002XP-12 , 1007XP-12 ","Smith, Nichole ",80,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2140
None,No Contract,,2364,60001822,43977,BH  ,Emerald City Senior Living,OP    ,9001 LAKE CITY WAY NE,SEATTLE,WA,98115,King,9001 LAKE CITY WAY NE,SEATTLE,WA,98115,(206) 729-1200,(206) 729-2700,,2J,,,"Jacobi, Vince ",119,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2364
None,No Contract,,994,60003602,30302,BH  ,EMERALD HEIGHTS,OP    ,10901 176TH CIRCLE NE,REDMOND,WA,98052,King,10901 176TH CIRCLE NE,REDMOND,WA,98052,(425) 556-8100,,(425) 558-9565,2D,,,"ZELL, ANN ",60,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=994
None,Assisted Living SOW,,1502,60008858,30718,BH  ,EVERGREEN COURT,OP    ,900 124TH AVENUE NE,BELLEVUE,WA,98005,King,900 124TH AVENUE NE,BELLEVUE,WA,98005,(425) 455-4333,(425) 637-7074,,2D,,1002XP-12 ,"Mullen, Mark T. ",45,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1502
None,No Contract,,1603,60008900,30790,BH  ,EXPRESSIONS AT ENUMCLAW,OP    ,2454 COLE STREET,ENUMCLAW,WA,98022,King,2454 COLE STREET,ENUMCLAW,WA,98022,(360) 825-4565,,(360) 825-5029,2D,,,"Ramirez, Gengee ",52,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1603
None,No Contract,,1172,60001172,30465,BH  ,FAIRWINDS BRITTANY PARK,OP    ,17143 133RD AVE NE,WOODINVILLE,WA,98072,King,17143 133RD AVE NE,WOODINVILLE,WA,98072,(425) 402-7100,,(425) 486-3181,2A,,,"Harrison, Kate ",45,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1172
None,No Contract,,1814,60001814,30939,BH  ,FAIRWINDS REDMOND,OP    ,9988 AVONDALE ROAD NE,REDMOND,WA,98052,King,9988 AVONDALE ROAD NE,REDMOND,WA,98052,(425) 558-4700,,(425) 250-1090,2D,,,"Bender, Karen ",50,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1814
None,No Contract,,2347,60009578,42420,BH  ,FAMILY TO FAMILY SENIOR CARE INC,OP    ,25633 SE 30th St,Sammamish,WA,98075,King,25633 SE 30th St,Sammamish,WA,98075,(425) 644-7321,,(425) 369-9469,2D,,,"Paul, Manuela ",15,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2347
None,No Contract,,2145,60008733,41744,BH  ,FARRINGTON COURT RETIREMENT COMMUNITY,OP    ,516 Kenosia Ave S,Kent,WA,98030,King,516 Kenosia Ave S,Kent,WA,98030,(253) 852-2737,(253) 854-1525,,2D,,,"BYRD, MARCIA ",70,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2145
None,No Contract,,2471,60009609,45238,BH  ,Fieldstone Memory Care Issaquah,OP    ,23845 SE Issaquah Fall City Rd,Issaquah,WA,980297514,King,23845 SE Issaquah Fall City Rd,Issaquah,WA,98029-7514,(425) 654-4005,,(425) 654-2680,2D,,,"Lattimer, Sara ",68,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2471
None,No Contract,,1795,60000702,30924,BH  ,FIRWOOD,OP    ,10751 2ND AVE NW,SEATTLE,WA,98177,King,10751 2ND AVE NW,SEATTLE,WA,98177,(206) 362-0560,(206) 436-8203,,2J,,,"Buchanan, Shelby ",20,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1795
None,"Enhanced Adult Residential Care, Adult Residential Care",,2009,60003485,39854,BH  ,FLORENCE OF SEATTLE ARBOR HEIGHTS,OP    ,9850 CALIFORNIA AVE SW,SEATTLE,WA,98136,King,9850 CALIFORNIA AVE SW,SEATTLE,WA,98136,(206) 714-3324,(206) 767-0397,,2J,,"1006XP-12 , 1007XP-12 ","Yamashita, Laurie ",12,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2009
None,"Enhanced Adult Residential Care, Adult Residential Care",,2011,60000703,39853,BH  ,FLORENCE OF SEATTLE LLC,OP    ,8424 16TH AVE SW,SEATTLE,WA,98106,King,8424 16TH AVE SW,SEATTLE,WA,98106,(206) 767-3137,(206) 212-7637,,2J,,"1006XP-12 , 1007XP-12 ","Yamashita, Laurie ",21,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2011
None,Assisted Living SOW,,1065,60007959,30362,BH  ,FOSS HOME AND VILLAGE,OP    ,13023 Greenwood Ave N,Seattle,WA,98133,King,13023 Greenwood Ave N,Seattle,WA,98133,(206) 364-1300,,(206) 367-3057,2J,,1002XP-12 ,"Mohrman, Nancy ",60,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1065
None,No Contract,,1155,60001155,30448,BH  ,FOUNDATION HOUSE,OP    ,11301 3RD AVE NE,SEATTLE,WA,98125,King,11301 3RD AVE NE,SEATTLE,WA,98125,(206) 361-2758,,(206) 361-1975,2J,,,"Williams, Pamela ",30,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1155
None,Assisted Living SOW,,1568,60008887,30765,BH  ,FOUNTAIN COURT ASSISTED LIVING,OP    ,24200 224TH AVENUE SE,MAPLE VALLEY,WA,98038,King,24200 224TH AVENUE SE,MAPLE VALLEY,WA,98038,(425) 432-3352,,(425) 432-1648,2D,,1002XP-12 ,"Kemp, Katie ",65,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1568
None,"Assisted Living SOW, Adult Residential Care",Facility Not Accepting Medicaid Clients,864,60000708,30210,BH  ,FRED LIND MANOR,OP    ,1802 17TH AVE,SEATTLE,WA,98122,King,1802 17TH AVE,SEATTLE,WA,98122,(206) 324-1632,,(206) 323-0485,2J,,"1002XP-12 , 1007XP-12 ","Foltz, Dave ",90,9/30/21 0:00,2/7/20 13:24,Facility Not Accepting Medicaid Clients,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=864
None,No Contract,,1631,60008906,30811,BH  ,Garden Terrace Healthcare Center of Federal Way,OP    ,491 S 338TH STREET,FEDERAL WAY,WA,98003,King,491 S 338TH STREET,FEDERAL WAY,WA,98003,(253) 661-2226,,(253) 661-2327,2D,,,"BUTNER, NANCY R. ",34,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1631
None,No Contract,,2484,60001142,45170,BH  ,Gencare Lifestyle Federal Way at Steel Lake,OP    ,31200 23rd Avenue South,Federal Way,WA,98003,King,31200 23rd Avenue South,Federal Way,WA,98003,,,(253) 941-3470,2D,,,"SAM, BRIANNA ",60,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2484
None,No Contract,,1559,60008881,30759,BH  ,GOLDEN HEARTH RESIDENT,OP    ,15934 NE 139TH PLACE,WOODINVILLE,WA,98072,King,15934 NE 139TH PLACE,WOODINVILLE,WA,98072,(425) 298-0407,,(425) 298-0707,2A,,,"Kenney, Priscilla E. ",8,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1559
None,No Contract,,193,60000733,30015,BH  ,HEARTHSTONE,OP    ,6720 E Green Lake Way N,Seattle,WA,98103,King,6720 E Greenlake Way N,Seattle,WA,981035439,(206) 525-9666,(206) 517-2214,,2J,,,"Velasco, Rosie ",62,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=193
None,Assisted Living SOW,,919,60000739,30244,BH  ,HERITAGE HOUSE AT THE MARKET,OP    ,1533 WESTERN AVENUE,SEATTLE,WA,98101,King,1533 WESTERN AVE,SEATTLE,WA,98101,(206) 382-4119,,(206) 254-9355,2J,,1002XP-12 ,"HERRMANN, JENNIFER ",64,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=919
None,"Specialized Dementia Care, Assisted Living SOW",,2432,60000741,44144,BH  ,High Point Village,OP    ,1777 Highpoint St,Enumclaw,WA,98022,King,2020 A St SE Suite 101,Auburn,WA,98002,(360) 825-7780,,(360) 243-7382,2D,,"1027XS-12 , 1002XP-12 ","Howells, Angie ",70,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2432
None,No Contract,,978,60000742,30290,BH  ,HIGH WEST RESIDENCE,OP    ,15035 8th Ave S,Burien,WA,98148,King,PO BOX 69080,SEATTLE,WA,98168,(206) 241-3119,,(206) 241-0184,2J,,,"Liechty, Larry ",16,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=978
None,Adult Residential Care,,1278,60006577,30558,BH  ,HILLTOP MANOR BOARDING HOME,OP    ,1732 16TH AVE,SEATTLE,WA,98122,King,1732 16TH AVE,SEATTLE,WA,98122,(206) 329-5775,(206) 436-8203,,2J,,1007XP-12 ,"Wager, Amanda ",35,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1278
None,No Contract,,212,60000752,30017,BH  ,HORIZON HOUSE,OP    ,900  UNIVERSITY ST,SEATTLE,WA,98101,King,900 University St,SEATTLE,WA,98101,(206) 624-3700,,(206) 826-0533,2J,,,"Warfield-larson, Lauri D. ",90,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=212
None,No Contract,,945,60000757,30267,BH  ,IDA CULVER HOUSE BROADVIEW,OP    ,12505 GREENWOOD AVE N,SEATTLE,WA,98133,King,12505 GREENWOOD AVE N,SEATTLE,WA,98133,(206) 361-1989,,(206) 306-2657,2J,,,"Bell, Brittany ",90,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=945
None,No Contract,,858,60000756,30205,BH  ,Ida Culver House Ravenna,OP    ,2315 NE 65th St,Seattle,WA,98115,King,2315 NE 65th St,Seattle,WA,98115,(206) 523-7315,(206) 374-2927,,2J,,,"Gerhard, Sarah ",42,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=858
None,No Contract,,2375,60000760,44179,BH  ,ISLAND HOUSE,OP    ,7810 SE 30th St,Mercer Island,WA,98040,King,7810 SE 30th St,Mercer Island,WA,98040,(206) 236-0502,(206) 236-7323,,2J,,,"SCANSEN, DANIEL ",35,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2375
None,Enhanced Adult Residential Care,,2548,60009652,45750,BH  ,Jefferson House Memory Care Community,OP    ,12217 NE 128th Street,Kirkland,WA,98034,King,12217 NE 128th Street,Kirkland,WA,98034,(425) 202-7254,,(425) 307-1291,2D,,1006XP-12 ,"Green, Chehara R. ",80,8/31/21 0:00,,,No, 
None,No Contract,,681,60000763,30129,BH  ,JUDSON PARK RETIREMENT COMMUNITY,OP    ,23600 MARINE VIEW DR S,DES MOINES,WA,98198,King,23600 MARINE VIEW DR S,DES MOINES,WA,98198,(206) 824-4000,,(206) 878-6404,2D,,,"Boyar, Jonathan ",52,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=681
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2566,60008930,46610,BH  ,Kenmore Senior Living,OP    ,7221 NE 182nd St,Kenmore,WA,98028,King,7221 NE 182nd St,Kenmore,WA,98028,(425) 481-4200,,,2J,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Hineline, Ashley ",100,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2566
None,No Contract,,939,60000771,30262,BH  ,KEYSTONE,OP    ,3512 ALBION PL N,SEATTLE,WA,98103,King,3515 Woodland Park Ave N,SEATTLE,WA,98103,(206) 461-6990,,(206) 632-2467,2J,,,"Parks, Deborah ",64,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=939
None,Enhanced Adult Residential Care,,2519,60009632,45308,BH  ,Kin On Assisted Living,OP    ,5214 42nd Ave S,Seattle ,WA,98118,King,5214 42nd Ave S,Seattle ,WA,98118,(206) 721-0954,,(206) 723-1281,2J,,1006XP-12 ,"Choi, Boliver ",25,10/31/21 0:00,,,No, 
None,No Contract,,1052,60007407,30349,BH  ,LAKESHORE,OP    ,11448 RAINIER AVE S,SEATTLE,WA,98178,King,11448 RAINIER AVE S,SEATTLE,WA,98178,(206) 772-1200,(206) 374-2909,,2J,,,"Pelland, Lindsey ",50,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1052
None,Assisted Living SOW,,2482,60001080,45241,BH  ,"Lakeview of Kirkland, Assisted Living",OP    ,6505 Lakeview Dr NE,Kirkland,WA,98033,King,17730 Preston Rd Ste 240B,Dallas,TX,75252,(425) 803-6911,,(425) 298-2175,2D,,1002XP-12 ,"Wallen, Olivia ",85,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2482
None,No Contract,,2389,60000609,44118,BH  ,Laurel Cove Community,OP    ,17201 15th Ave NE,Shoreline,WA,98155,King,17201 15th Ave NE,Shoreline,WA,98155,(206) 364-9336,(206) 418-5249,,2J,,,"Walker, Mykael ",98,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2389
None,Assisted Living SOW,,2493,60001311,45367,BH  ,Legacy House,OP    ,803 South Lane Street,SEATTLE,WA,98104,King,803 South Lane Street,SEATTLE,WA,98104,(206) 292-5187,,(206) 467-6376,2J,,1002XP-12 ,"Huang, Min ",68,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2493
None,No Contract,,2437,60009619,44856,BH  ,Lincoln Park Group Home,OP    ,6935 Fauntleroy Way SW,Seattle,WA,98136,King,PO Box 17017,Seattle,WA,98127,(206) 829-2011,(206) 937-4593,,2J,,,"Massey, Richard ",8,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2437
None,"Assisted Living SOW, Adult Residential Care",,2153,60001145,41798,BH  ,LIVING COURT ASSISTED LIVING COMMUNITY,OP    ,2229 JENSEN ST,ENUMCLAW,WA,98022,King,2229 JENSEN ST,ENUMCLAW,WA,98022,(360) 825-0280,(360) 825-6272,,2D,,"1002XP-12 , 1007XP-12 ","Wood, Inta ",65,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2153
None,No Contract,,2547,60009640,45435,BH  ,Longhouse Bothell,OP    ,16605 122nd Place NE,Bothell,WA,98011,King,16605 122nd Place NE,Bothell,WA,98011,(206) 453-6748,,(206) 299-4138,2J,,,"Mitchell-Crane, Marie ",15,8/31/21 0:00,,,No, 
None,No Contract,,2436,60000791,44467,BH  ,Madison House,OP    ,12215 NE 128th St,Kirkland,WA,98034,King,12215 NE 128th St,Kirkland,WA,98034,(425) 821-8210,,(425) 821-3745,2D,,,"Porter, Errol ",84,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2436
None,No Contract,,2506,60009602,45581,BH  ,Merrill Gardens at Auburn,OP    ,18 1st St SE,Auburn,WA,98002,King,18 1st St SE,Auburn,WA,98002,(253) 258-3263,,(253) 275-1177,2D,,,"Baharmast, Reza ",65,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2506
None,No Contract,,2507,60009599,45582,BH  ,Merrill Gardens at Ballard,OP    ,2418 NW 56th St,Seattle,WA,98107,King,2418 NW 56th St,Seattle,WA,98107,(206) 838-8555,,(206) 256-9820,2J,,,"Palm, Lisa ",50,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2507
None,No Contract,,2406,60009601,44198,BH  ,Merrill Gardens at Burien,OP    ,15020 5th Ave SW,Burien,WA,98166,King,15020 5th Ave SW,Burien,WA,98166,(206) 539-4995,,(206) 260-3614,2D,,,"Reiter, Kyle ",55,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2406
None,No Contract,,2135,60009530,41478,BH  ,MERRILL GARDENS AT KIRKLAND,OP    ,14 MAIN ST S,KIRKLAND,WA,98033,King,1938 FAIRVIEW AVE EAST SUITE 300,SEATTLE,WA,98102,(425) 828-2570,(425) 354-3008,,2D,,,"Shackleton, Sarah ",40,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2135
None,No Contract,,2131,60009502,41472,BH  ,MERRILL GARDENS AT RENTON CENTRE,OP    ,104 Burnett Ave S,Renton,WA,98057,King,1938 FAIRVIEW AVE EAST SUITE 300,SEATTLE,WA,98102,(425) 235-6400,(425) 235-6403,,2D,,,"Thompson, Shelley M. ",110,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2131
None,No Contract,,2132,60009536,41479,BH  ,MERRILL GARDENS AT THE UNIVERSITY,OP    ,5300 24TH AVENUE NE,SEATTLE,WA,98105,King,1938 FAIRVIEW AVE EAST SUITE 300,SEATTLE,WA,98102,(206) 523-8400,(206) 523-6630,,2J,,,"Schaedig, Michael ",45,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2132
None,No Contract,,2034,60009537,40058,BH  ,MIRABELLA,OP    ,116 FAIRVIEW AVENUE NORTH,SEATTLE,WA,98109,King,116 FAIRVIEW AVENUE NORTH,SEATTLE,WA,98109,(206) 254-1447,(206) 254-1417,,2J,,,"Castillo, Kenneth ",63,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2034
None,No Contract,,2564,60009660,46054,BH  ,Mirror Lake Village,OP    ,31000 9th Pl SW,Federal Way,WA,98023,King,31000 9th Pl SW,Federal Way,WA,98023,(206) 212-4208,,(206) 429-2766,2D,,,"Flores, Shannon ",120,2/28/22 0:00,,,No, 
