State Facility Type 1 Literal,Facility Name,Licensee,Address,City,State,Zip Code,Phone Number,County,Capacity,Ownership Type,License Number,Date Accessed
PERSONAL CARE HOME,Cumberland Crossings Retirement Community,DIAKON LUTHERAN SOCIAL MINISTRIES,"1 LONGSDORF WAY, A,B & C WINGS,",Carlisle,PA,17015,7172459941.0,Cumberland,59,NON-PROFIT,317310,6/30/21
PERSONAL CARE HOME,Cumberland Vista,"C.R.O.S.S.,INC.","1073 YORK ROAD,",Dillsburg,PA,17019,7174322822.0,Cumberland,8,NON-PROFIT,310280,6/30/21
PERSONAL CARE HOME,Davenport Hall,KAREN ADAMS DAVENPORT,"321 WASHINGTON AVENUE,",Charleroi,PA,15022,7244837029.0,Washington,32,PROFIT,442340,6/30/21
PERSONAL CARE HOME,Davis Boarding Home I,CATHERINE DAVIS,"723 BARCLAY STREET,",Chester,PA,19013,6108767033.0,Delaware,8,PROFIT,140460,6/30/21
PERSONAL CARE HOME,Davis' Country Care Personal Care Home,ANGELA R. DAVIS,"169 HOOVER ROAD,",Templeton,PA,16259,7245456436.0,Armstrong,8,PROFIT,427010,6/30/21
PERSONAL CARE HOME,Davis' Personal Care Home Ii,"DAVIS' PERSONAL CARE HOME II, INC","1128 WEST THIRD STREET,",Chester,PA,19013,6108741993.0,Delaware,16,PROFIT,141430,6/30/21
PERSONAL CARE HOME,Day'S Personal Care Home,DAY'S PERSONAL CARE HOME INC,"18 NORMAN AVENUE,",Washington,PA,15301,7242060885.0,Washington,8,PROFIT,419120,6/30/21
PERSONAL CARE HOME,Daylesford Crossing,BERWYN REAL ESTATE LP,"1450 EAST LANCASTER AVENUE,",Paoli,PA,19301,6106404000.0,Chester,100,PROFIT,141540,6/30/21
PERSONAL CARE HOME,Dayspring Personal Care Home,ROPER & MARCIA HOUSTON,"93 DAYSPRING LANE,",Morrisdale,PA,16858,8143456590.0,Clearfield,13,PROFIT,448650,6/30/21
PERSONAL CARE HOME,Deer Meadows Residences,DEER MEADOWS OPERATING II LLC,"8301 ROOSEVELT BOULEVARD,",Philadelphia,PA,19152,2156247575.0,Philadelphia,182,PROFIT,141260,6/30/21
PERSONAL CARE HOME,Delaware Valley Personal Care Center,DELAWARE VALLEY PERSONAL CARE OPERATING COMPANY LLC,"109 RIVERS EDGE DRIVE,",Matamores,PA,18336,5704911002.0,Pike,100,PROFIT,230130,6/30/21
PERSONAL CARE HOME,Deneane'S Personal Care Home,DENEANE SMITH,"142 FAIRVIEW AVENUE,",Confluence,PA,15424,8143953159.0,Somerset,18,PROFIT,321520,6/30/21
PERSONAL CARE HOME,Devereux Pa Adult Services Pch - Hillcrest Cottage,DEVEREUX FOUNDATION INC,"229 LEOPARD ROAD,",Berwyn,PA,19312,6102966800.0,Chester,21,NON-PROFIT,198140,6/30/21
PERSONAL CARE HOME,Devereux Pa Adult Services Pch - Hilltop Cottage,DEVEREUX FOUNDATION INC,"237 LEOPARD ROAD,",Berwyn,PA,19312,6102966800.0,Chester,18,NON-PROFIT,198190,6/30/21
PERSONAL CARE HOME,"Devereux Pocono Center, Dreher Manor","DEVEREUX FOUNDATION, INC.","1547 MILL CREEK ROAD,",Newfoundland,PA,18445,5708396186.0,Wayne,24,NON-PROFIT,235260,6/30/21
PERSONAL CARE HOME,Devine Inn,DEVINE INN INC,"120 GRANT STREET, P.O.BOX 8,",Salisbury,PA,15558,8146624502.0,Somerset,24,PROFIT,321550,6/30/21
PERSONAL CARE HOME,Devonhouse Of Allentown,DEVONHOUSE MANAGEMENT INC,"1930 BEVIN DRIVE,",Allentown,PA,18103,6109671100.0,Lehigh,100,PROFIT,216530,6/30/21
PERSONAL CARE HOME,Divinity Manor,DIVINITY MANOR LLC,"932-34 NORTH 42ND STREET,",Philadelphia,PA,19104,2152223035.0,Philadelphia,30,PROFIT,138740,6/30/21
PERSONAL CARE HOME,Donahue & Wolford'S California Manor,"ROMONA & KEVIN DONAHUE, KELLY & JOHN WOLFORD","3527 CALIFORNIA AVENUE,",Pittsburgh,PA,15212,4127666508.0,Allegheny,17,PROFIT,432530,6/30/21
PERSONAL CARE HOME,Donahue'S Personal Care I,KEVIN & ROMONA DONAHUE,"1610 HYBLA STREET,",Pittsburgh,PA,15212,4127616421.0,Allegheny,17,PROFIT,430341,6/30/21
PERSONAL CARE HOME,Dorothy M. Tartaglio Home,UPMC BEHAVIORAL HEALTH OF THE ALLEGHENIES,"1911 TWELFTH AVENUE,",Altoona,PA,16601,8149430414.0,Blair,13,NON-PROFIT,360310,6/30/21
PERSONAL CARE HOME,Down On The Farm Adult Daycare,COLONIAL MANOR ADULT HOME INC,"2308 EAST MAIN STREET,",Douglassville,PA,19518,6103856175.0,Berks,20,PROFIT,204970,6/30/21
PERSONAL CARE HOME,Dreamcatchers Personal Care Home,TERRI L GELZHISER,"1 COLD SPRING ROAD,",Pittsburgh,PA,15237,4125121763.0,Allegheny,14,PROFIT,449992,6/30/21
PERSONAL CARE HOME,Dubois Village,DUBOIS CONTINUUM OF CARE COMMUNITY INC,"282 SOUTH EIGHTH STREET,",Dubois,PA,15801,8143755483.0,Clearfield,118,NON-PROFIT,448670,6/30/21
PERSONAL CARE HOME,Dunlevy Manor,TLC HEALTHCARE LLC,"2218 ROUTE 88,",Dunlevy,PA,15432,7243265611.0,Washington,24,PROFIT,447542,6/30/21
PERSONAL CARE HOME,Dunwoody Village,DUNWOODY VILLAGE INC,"3500 WEST CHESTER PIKE,",Newtown Square,PA,19073,6103594400.0,Delaware,81,NON-PROFIT,145250,6/30/21
PERSONAL CARE HOME,Eagle Ridge Personal Care Home,EAGLE RIDGE PERSONAL CARE HOME LLC,"2997 RENOVO ROAD,",Mill Hall,PA,17751,5707483162.0,Clinton,27,PROFIT,227130,6/30/21
PERSONAL CARE HOME,Eagle Valley Personal Care Home,EAGLE VALLEY PERSONAL CARE HOME INC,"500 FRONT STREET,",Milesburg,PA,16853,8143553417.0,Centre,60,PROFIT,227430,6/30/21
PERSONAL CARE HOME,Eagle View Personal Care Home,EAGLE VIEW PERSONAL CARE HOME LLC,"150 JACK PINE LANE,",Bellefonte,PA,16823,8142803995.0,Centre,4,PROFIT,232430,6/30/21
PERSONAL CARE HOME,Eagleview Landing,EAGLEVIEW LANDING LP,"650 STOCKTON DRIVE,",Exton,PA,19341,6104582588.0,Chester,121,PROFIT,146980,6/30/21
PERSONAL CARE HOME,East Deer Personal Care Home,EAST DEER PERSONAL CARE HOME INC,"967 FREEPORT ROAD,",Creighton,PA,15030,7242249997.0,Allegheny,60,PROFIT,430780,6/30/21
PERSONAL CARE HOME,Eastern Comfort I,EASTERN COMFORT I INC,"2040 NORTHAMPTON ST.,",Easton,PA,18042,6109233630.0,Northampton,16,PROFIT,205490,6/30/21
PERSONAL CARE HOME,Eastern Comfort Ii,EASTERN COMFORT II INC,1493 EAST EMMAUS AVE.,Allentown,PA,18102,6103517361.0,Lehigh,8,PROFIT,216700,6/30/21
PERSONAL CARE HOME,Eastern Comfort Iii,EASTERN COMFORT III INC,"206 DIAMOND STREET,",Slatington,PA,18018,6109004074.0,Lehigh,20,PROFIT,216770,6/30/21
PERSONAL CARE HOME,Easton Home,"PRESBYTERIAN HOMES, INC.","1022 NORTHAMPTON STREET,",Easton,PA,18042,6102505000.0,Northampton,61,NON-PROFIT,200550,6/30/21
PERSONAL CARE HOME,Easy Living Country Estates,DS REALTY VENTURES LLC,"ONE EASY LIVING DRIVE,",Hunker,PA,15639,7249251159.0,Westmoreland,60,PROFIT,442630,6/30/21
PERSONAL CARE HOME,Ecumenical Community Of Harrisburg,ECUMENICAL COMMUNITIES INC,"624 WILHELM ROAD,",Harrisburg,PA,17111,7175619915.0,Dauphin,88,NON-PROFIT,353610,6/30/21
PERSONAL CARE HOME,Ecumenical Retirement Community Of Harrisburg Ii,"THE ECUMENICAL COMMUNITIES, INC.","601 WILHELM ROAD,",Harrisburg,PA,17111,7175619982.0,Dauphin,104,NON-PROFIT,362150,6/30/21
PERSONAL CARE HOME,Ecumenical Retirement Community Of Harrisburg Iii,THE ECUMENICAL COMMUNITY,"3525 CANBY STREET,",Harrisburg,PA,17109,7175612590.0,Dauphin,136,NON-PROFIT,310210,6/30/21
PERSONAL CARE HOME,Edgewood Heights,WRC PENNSYLVANIA MEMORIAL HOME,"612 KECK AVENUE,",New Bethlehem,PA,16242,8142752790.0,Clarion,71,NON-PROFIT,440970,6/30/21
PERSONAL CARE HOME,Eicher'S Family Home Care,CONNIE S EICHER,"704 CAMP ACHIEVEMENT ROAD,",Normalville,PA,15469,7244553612.0,Fayette,42,PROFIT,446740,6/30/21
PERSONAL CARE HOME,Elan Gardens,ELAN GARDENS INC,"465 VENARD ROAD,",Clarks Summit,PA,18411,5705854400.0,Lackawanna,75,NON-PROFIT,243750,6/30/21
PERSONAL CARE HOME,Elizabeth Seton Memory Care Center,ELIZABETH SETON CARE CENTER,"129 DEPAUL CENTER ROAD,",Greensburg,PA,15601,7248537948.0,Westmoreland,24,NON-PROFIT,445770,6/30/21
PERSONAL CARE HOME,Elizabethtown Personal Care,ELIZABETHTOWN OPCO LLC,"141 HEISEY AVENUE,",Elizabethtown,PA,17022,7173671831.0,Lancaster,39,PROFIT,336940,6/30/21
PERSONAL CARE HOME,Elm Terrace Gardens,ELM TERRACE GARDENS,"660 N. BROAD ST., 3RD & 4TH FL,",Lansdale,PA,19446,2153615600.0,Montgomery,250,NON-PROFIT,127830,6/30/21
PERSONAL CARE HOME,Elmcroft Of Allison Park,EC OPCO ALLISON PARK LLC,"2224 WALTERS ROAD,",Allison Park,PA,15101,4124876925.0,Allegheny,95,PROFIT,449000,6/30/21
PERSONAL CARE HOME,Elmcroft Of Altoona,EC OPCO ALTOONA LLC,"170 RED FOX DRIVE,",Duncansville,PA,16635,8146958425.0,Blair,66,PROFIT,333730,6/30/21
PERSONAL CARE HOME,Elmcroft Of Berwick,EC OPCO BERWICK LLC,"2050 WEST FRONT STREET,",Berwick,PA,18603,5707593155.0,Columbia,76,PROFIT,227170,6/30/21
PERSONAL CARE HOME,Elmcroft Of Bridgeville,EC OPCO LAKEMONT FARMS LLC,"3275 WASHINGTON PIKE,",Bridgeville,PA,15017,4122210202.0,Allegheny,140,PROFIT,450810,6/30/21
PERSONAL CARE HOME,Elmcroft Of Chippewa,EC OPCO CHIPPEWA LLC,"104 PAPPAN BUSINESS DRIVE,",Beaver Falls,PA,15010,7248913333.0,Beaver,85,PROFIT,449010,6/30/21
PERSONAL CARE HOME,Elmcroft Of Dillsburg,EC OPCO DILLSBURG LLC,"153 LOGAN ROAD,",Dillsburg,PA,17019,7175021000.0,York,80,PROFIT,333790,6/30/21
PERSONAL CARE HOME,Elmcroft Of Lebanon,EC OPCO LEBANON PA LLC,"860 NORMAN DRIVE,",Lebanon,PA,17042,7172280909.0,Lebanon,65,PROFIT,333760,6/30/21
PERSONAL CARE HOME,Elmcroft Of Lewisburg,EC OPCO LEWISBURG LLC,"2421 OLD TURNPIKE ROAD,",Lewisburg,PA,17837,5705247999.0,Union,73,PROFIT,227200,6/30/21
PERSONAL CARE HOME,Elmcroft Of Loyalsock,EC OPCO LOYALSOCK LLC,"2985 FOUR MILE DRIVE,",Montoursville,PA,17754,5703682076.0,Lycoming,90,PROFIT,227190,6/30/21
PERSONAL CARE HOME,Elmcroft Of Mid Valley,EC OPCO MID VALLEY LLC,"89 STURGES ROAD, PO BOX 116,",Peckville,PA,18452,5703839090.0,Lackawanna,50,PROFIT,227180,6/30/21
PERSONAL CARE HOME,Elmcroft Of Reading,EC OPCO READING LLC,"9 COLIN COURT,",Reading,PA,19606,6103702211.0,Berks,70,PROFIT,227160,6/30/21
PERSONAL CARE HOME,Elmcroft Of Reedsville,EC OPCO REEDSVILLE LLC,"55 CARRIAGE HOUSE LANE,",Reedsville,PA,17084,7176679380.0,Mifflin,72,PROFIT,333780,6/30/21
PERSONAL CARE HOME,Elmcroft Of Shippensburg,EC OPCO SHIPPENSBURG LLC,"129 WALNUT BOTTOM ROAD,",Shippensburg,PA,17257,7175301400.0,Cumberland,62,PROFIT,333750,6/30/21
PERSONAL CARE HOME,Elmcroft Of State College,EC OPCO SC LLC,"150 FARMSTEAD LANE,",State College,PA,16803,8142357675.0,Centre,60,PROFIT,233740,6/30/21
PERSONAL CARE HOME,Elmcroft Of York,EC OPCO YORK LLC,"2405 KNOB HILL ROAD,",York,PA,17403,7178129777.0,York,75,PROFIT,334980,6/30/21
PERSONAL CARE HOME,Elmwood Gardens Of Presbyterian Senior Care,THE PRESBYTERIAN HOMES IN THE PRESBY OF LAKE ERIE,"2628 ELMWOOD AVENUE,",Erie,PA,16508,8149201220.0,Erie,35,NON-PROFIT,447650,6/30/21
PERSONAL CARE HOME,Elwyn - Friendship Hall,ELWYN OF PENNSYLVANIA AND DELAWARE,"64 EAST OLD BALTIMORE PIKE,",Elwyn,PA,19063,6106270925.0,Delaware,8,NON-PROFIT,122890,6/30/21
PERSONAL CARE HOME,Elwyn - Harmony Hall,ELWYN OF PENNSYLVANIA AND DELAWARE,"111 ELWYN ROAD,",Elwyn,PA,19063,6108917683.0,Delaware,16,NON-PROFIT,190850,6/30/21
PERSONAL CARE HOME,Elwyn - Rainbow House,ELWYN OF PENNSYLVANIA AND DELAWARE,"66 EAST OLD BALTIMORE PIKE,",Elwyn,PA,19063,6105658026.0,Delaware,6,NON-PROFIT,122670,6/30/21
PERSONAL CARE HOME,Elwyn - Spring Haven,ELWYN OF PENNSYLVANIA AND DELAWARE,"111 ELWYN ROAD,",Elwyn,PA,19063,6108912350.0,Delaware,8,NON-PROFIT,123040,6/30/21
PERSONAL CARE HOME,Elwyn - Whitehouse,ELWYN OF PENNSYLVANIA AND DELAWARE,"111 ELWYN ROAD,",Elwyn,PA,19603,6108912450.0,Delaware,5,NON-PROFIT,122980,6/30/21
PERSONAL CARE HOME,Emerald Rehab And Healthcare Center,EMERALD OPERATOR LLC,"320 MARKET STREET,",Elizabethtown,PA,17022,9086211184.0,Lancaster,26,PROFIT,337080,6/30/21
PERSONAL CARE HOME,Emmanuel Home,EMMANUEL HOME,"800 PRIESTLY AVENUE,",Northumberland,PA,17857,5704730500.0,Northumberland,38,NON-PROFIT,200530,6/30/21
PERSONAL CARE HOME,Enhanced Personal Care Home,STAIRWAYS BEHAVIORAL HEALTH,"118 EAST 26TH STREET,",Erie,PA,16504,8143153703.0,Erie,8,NON-PROFIT,446460,6/30/21
PERSONAL CARE HOME,Enhanced Personal Care Home,STAIRWAYS BEHAVIORAL HEALTH,"432 WEST 3RD STREET,",Erie,PA,16507,8143152602.0,Erie,8,NON-PROFIT,446470,6/30/21
PERSONAL CARE HOME,Ephrata Manor,UNITED CHURCH OF CHRIST HOMES INC,"99 BETHANY ROAD,",Ephrata,PA,17522,7177384940.0,Lancaster,48,NON-PROFIT,321880,6/30/21
PERSONAL CARE HOME,Epworth Manor Senior Living,"GUARDIAN ELDER CARE AT TYRONE I, LLC","925 SOUTH LINCOLN AVENUE,",Tyrone,PA,16686,8146862659.0,Blair,54,PROFIT,328420,6/30/21
PERSONAL CARE HOME,Erickson'S Heritage House,ERICKSON'S HERITAGE HOUSE LLC,"30 EAST STREET,",North East,PA,16428,8147259045.0,Erie,36,PROFIT,442241,6/30/21
PERSONAL CARE HOME,Evans Retirement Center,"EVANS RETIREMENT CENTER, INC.","220 EAST RACE STREET,",Fleetwood,PA,19522,6109447257.0,Berks,28,PROFIT,205500,6/30/21
PERSONAL CARE HOME,Evans' Personal Care Home,JACK AND CHERYL EVANS SENSANBAUGHER,"503 CENTENNIAL AVENUE,",New Galilee,PA,16141,7243361028.0,Beaver,8,PROFIT,417370,6/30/21
PERSONAL CARE HOME,Evening Star Personal Care Home,EVENING STAR LLC,"200 CALDWELL AVENUE,",Wilmerding,PA,15148,4128231654.0,Allegheny,19,PROFIT,447150,6/30/21
PERSONAL CARE HOME,Evergreen Estates Retirement Community,EVERGREEN ESTATES HOLDINGS LLC,"1300 EAST KING STREET,",Lancaster,PA,17602,7173942208.0,Lancaster,125,PROFIT,331930,6/30/21
PERSONAL CARE HOME,Evergreen I,EVERGREEN PERSONAL CARE HOMES INC,"141 EVERGREEN AVENUE,",Pittsburgh,PA,15209,4128218869.0,Allegheny,36,PROFIT,431221,6/30/21
PERSONAL CARE HOME,Evergreen Personal Care Home,EVERGREEN PERSONAL CARE HOMES INC,"822-824 IDLEWOOD AVENUE,",Pittsburgh,PA,15106,4122791607.0,Allegheny,31,PROFIT,433240,6/30/21
PERSONAL CARE HOME,Exton Senior Living,SNH PENN TENANT LLC,"600 NORTH POTTSTOWN PIKE,",Exton,PA,19341,6105940200.0,Chester,100,PROFIT,145100,6/30/21
PERSONAL CARE HOME,Eyer'S Manor,CYPRESS COMMUNITIES LLC,"3196 RIDGE ROAD,",Northumberland,PA,17857,5704739472.0,Northumberland,34,PROFIT,226480,6/30/21
PERSONAL CARE HOME,Fair Havens,WILLOWS PERSONAL CARE HOME INC,"3101 GRANDVIEW ROAD,",Hanover,PA,17331,7176370703.0,York,40,PROFIT,315170,6/30/21
PERSONAL CARE HOME,Fair Oaks Of Pittsburgh,CONGREGATIONAL HOMES INC,"2200 WEST LIBERTY AVENUE,",Pittsburgh,PA,15226,4123449915.0,Allegheny,120,NON-PROFIT,429500,6/30/21
PERSONAL CARE HOME,Fairfield Health Management,FAIRFIELD HEALTH MANAGEMENT LLC,"235 FRANKLIN STREET,",Fairfield,PA,17320,5408423558.0,Adams,25,PROFIT,334550,6/30/21
PERSONAL CARE HOME,Fairfield Personal Care Home,T A RAHM,"27 KYLE AVENUE,",Fairchance,PA,15436,7245649794.0,Fayette,8,PROFIT,404450,6/30/21
PERSONAL CARE HOME,Fairmount Homes - Farm Crest,FAIRMOUNT HOMES,"1100 FARM CREST DRIVE,",Ephrata,PA,17522,7173541823.0,Lancaster,38,NON-PROFIT,321980,6/30/21
PERSONAL CARE HOME,Fairmount Homes - Wheat Ridge,FAIRMOUNT HOMES,"333 WHEAT RIDGE DRIVE,",Ephrata,PA,17522,7173541800.0,Lancaster,36,NON-PROFIT,321960,6/30/21
PERSONAL CARE HOME,Faith Friendship Villa Of Mountville,FAITH FRIENDSHIP MINISTRIES INC,"128 WEST MAIN STREET,",Mountville,PA,17554,7172855596.0,Lancaster,74,NON-PROFIT,322020,6/30/21
PERSONAL CARE HOME,Faithful Living,JAI JALARAM CARE LP,"2015 NORTH READING ROAD,",Denver,PA,17517,7173684109.0,Lancaster,75,PROFIT,322580,6/30/21
PERSONAL CARE HOME,Family And Friends (Stone Ridge Building),TEC CORP,"112 CAFFERTY ROAD,",Pipersville,PA,18947,2152978282.0,Bucks,28,PROFIT,136330,6/30/21
PERSONAL CARE HOME,Family Pines Personal Care Home,LINDA E. BRANDON,"P.O.BOX 455, 11293 ROUTE 422,",Elderton,PA,15736,7243544195.0,Armstrong,8,PROFIT,426710,6/30/21
PERSONAL CARE HOME,Favers Residential Care Home,FAVERS RESIDENTIAL CARE HOME INC,"574 TEECE AVENUE,",Pittsburgh,PA,15202,4127662814.0,Allegheny,14,PROFIT,449130,6/30/21
PERSONAL CARE HOME,Fawn Personal Care Home Inc,FAWN PERSONAL CARE HOME INC,"282 SHAWNDEROSA DRIVE,",Tarentum,PA,15084,7242244400.0,Allegheny,16,PROFIT,446390,6/30/21
PERSONAL CARE HOME,Fellowship Terrace,BIBLE FELLOWSHIP CHURCH HOMES INC,"3010 FELLOWSHIP DRIVE,",Whitehall,PA,18052,6107694300.0,Lehigh,165,NON-PROFIT,216480,6/30/21
PERSONAL CARE HOME,Fitzmaurice Community Services,FITZMAURICE COMMUNITY SERVICES INC,"212 CARBON STREET,",Lehighton,PA,18235,5704246223.0,Carbon,8,NON-PROFIT,245450,6/30/21
PERSONAL CARE HOME,"Fitzmaurice Community Services, Inc.",FITZMAURICE COMMUNITY SERVICES INC,"5 ELM STREET,",Stroudsburg,PA,18360,5704246223.0,Monroe,8,NON-PROFIT,209540,6/30/21
PERSONAL CARE HOME,Floral Creek,600 TOWNSHIP LINE RD SENIOR HOUSING I OPCO LLC,"600 TOWNSHIP LINE ROAD,",Yardley,PA,19067,2154973003.0,Bucks,48,PROFIT,136260,6/30/21
PERSONAL CARE HOME,Forbes Road Residence,FORBES PERSONAL CARE LLC,"6655 FRANKSTOWN AVENUE,",Pittsburgh,PA,15206,4126653232.0,Allegheny,44,PROFIT,443200,6/30/21
PERSONAL CARE HOME,Forest City Personal Care,FCNRC LP,"911 DELAWARE STREET,",Forest City,PA,18421,5707852273.0,Susquehanna,36,PROFIT,223490,6/30/21
PERSONAL CARE HOME,Forest Hills Personal Care Home,FOREST HILLS CARE SERVICES LLC,"313 HUMBERT ROAD,",Sidman,PA,15955,8144877535.0,Cambria,50,PROFIT,334150,6/30/21
PERSONAL CARE HOME,Foulkeways At Gwynedd,FOULKEWAYS AT GWYNEDD,"1120 MEETING HOUSE ROAD,",Gwynedd,PA,19436,2156432200.0,Montgomery,112,NON-PROFIT,127740,6/30/21
PERSONAL CARE HOME,Four Grands Personal Care Home,ANNA BAPTISTE,"5136 NORTH BROAD STREET,",Philadelphia,PA,19141,2154552324.0,Philadelphia,10,PROFIT,192390,6/30/21
PERSONAL CARE HOME,Foxdale Village,FOXDALE VILLAGE CORPORATION,"500 EAST MARYLYN AVENUE,",State College,PA,16801,8142383322.0,Centre,64,NON-PROFIT,245650,6/30/21
PERSONAL CARE HOME,Franciscan Manor,SNH PENN TENANT LLC,"71 DARLINGTON ROAD,",Beaver Falls,PA,15010,7248911150.0,Beaver,119,PROFIT,450550,6/30/21
PERSONAL CARE HOME,Franklin House Personal Care Home,FRANKLIN HOUSE PERSONAL CARE HOME INC,"1236 FRANKLIN AVENUE,",Pittsburgh,PA,15221,4123714166.0,Allegheny,8,PROFIT,431331,6/30/21
PERSONAL CARE HOME,Frederick Living - Aspen Village,FREDERICK MENNONITE COMMUNITY,"2849 BIG ROAD,",Zieglerville,PA,19492,6107547878.0,Montgomery,31,NON-PROFIT,132580,6/30/21
PERSONAL CARE HOME,Frederick Living - Magnolia House,FREDERICK MENNONITE COMMUNITY,"2849 BIG ROAD,",Zieglerville,PA,19492,6107547878.0,Montgomery,104,NON-PROFIT,127720,6/30/21
PERSONAL CARE HOME,Frey Village,DIAKON LUTHERAN SOCIAL MINISTRIES,"1020 NORTH UNION STREET,",Middletown,PA,17057,7179301200.0,Dauphin,40,NON-PROFIT,343510,6/30/21
PERSONAL CARE HOME,Friends Boarding Home,FRIENDS BOARDING HOME OF BUCKS QUARTERLY MEETING,"50 SOUTH CONGRESS STREET,",Newtown,PA,18940,2159683346.0,Bucks,25,NON-PROFIT,126690,6/30/21
PERSONAL CARE HOME,Friends Boarding Home Of Western Quarterly Meeting,FRIENDS BOARDING HOME OF WESTERN QUARTERLY MEETING,"147 WEST STATE STREET,",Kennett Square,PA,19348,6104442577.0,Chester,68,NON-PROFIT,140020,6/30/21
PERSONAL CARE HOME,Fritzingertown Senior Living Community,LAKEWOOD SENIOR LIVING-DRUMS LLC,"159 SOUTH OLD TURNPIKE ROAD,",Drums,PA,18222,5707884178.0,Luzerne,164,PROFIT,201660,6/30/21
PERSONAL CARE HOME,Fulmers Personal Care Home,THOMAS AND DIANE FULMER,"201 WOODWARD AVENUE,",Lock Haven,PA,17745,5707481829.0,Clinton,89,PROFIT,227100,6/30/21
PERSONAL CARE HOME,Garden Spot Village,GARDEN SPOT VILLAGE,"433 S. KINZER AVENUE,",New Holland,PA,17557,7173556000.0,Lancaster,110,NON-PROFIT,321940,6/30/21
PERSONAL CARE HOME,Garden View Manor,MERCY LIFE CENTER CORPORATION,"441 SWISSVALE AVENUE,",Pittsburgh,PA,15221,4123424602.0,Allegheny,56,NON-PROFIT,440690,6/30/21
PERSONAL CARE HOME,Garden Way Place,BENTLEY AID OPCO LLC,"2400 GARDEN WAY,",Hermitage,PA,16148,7243471964.0,Mercer,47,PROFIT,444920,6/30/21
PERSONAL CARE HOME,Gateside,DEVEREUX FOUNDATION,"830 MAPLE AVENUE,",Berwyn,PA,19312,6102966800.0,Chester,4,NON-PROFIT,142150,6/30/21
PERSONAL CARE HOME,Gaudenzia New Beginnings,"GAUDENZIA, INC.","1300 SPRING GARDEN STREET,",Philadelphia,PA,19123,2154409669.0,Philadelphia,18,NON-PROFIT,176280,6/30/21
PERSONAL CARE HOME,Generations Elder Care,GENERATIONS ELDER CARE INC,"165 DEARTH ROAD,",Uniontown,PA,15401,7242452922.0,Fayette,30,PROFIT,444800,6/30/21
PERSONAL CARE HOME,George'S Personal Care Home,PARACLETE GROUP LLC,"108 WATER STREET,",New Stanton,PA,15672,7249259708.0,Westmoreland,18,PROFIT,440570,6/30/21
PERSONAL CARE HOME,Getz Personal Care Home,GETZ PERSONAL CARE HOME INC,"1026 SCENIC DRIVE,",Kunkletown,PA,18058,5706291334.0,Monroe,60,PROFIT,240500,6/30/21
PERSONAL CARE HOME,Gheel House,SPIRIT OF GHEEL,"P.O. BOX 610, 10 HOLLOW ROAD,",Kimberton,PA,19442,6104957871.0,Chester,8,NON-PROFIT,144320,6/30/21
PERSONAL CARE HOME,Gilliland Manor,PRESBYTERIAN HOMES INC,"210 BIG SPRING ROAD,",Newville,PA,17241,7175028840.0,Cumberland,45,NON-PROFIT,300680,6/30/21
PERSONAL CARE HOME,Glen Mills Senior Living,SNH PENN TENANT LLC,"242 BALTIMORE PIKE,",Glen Mills,PA,19342,,Delaware,100,PROFIT,145110,6/30/21
PERSONAL CARE HOME,Glencrest Manor,GLENCREST MANOR INC,"115 GLENCREST ROAD,",Coatesville,PA,19320,6103847543.0,Chester,13,PROFIT,197800,6/30/21
PERSONAL CARE HOME,Glenmaura Senior Living,GLENMAURA SENIOR LIVING AT MONTAGE LLC,"11 GLENMAURA NATIONAL BLVD,",Moosic,PA,18507,5705915800.0,Lackawanna,100,PROFIT,228450,6/30/21
PERSONAL CARE HOME,Gluco Lodge,PACONA CORPORATION,"1127 KEMMERTOWN ROAD,",Stroudsburg,PA,18360,5709927270.0,Monroe,51,PROFIT,241720,6/30/21
PERSONAL CARE HOME,Golden Heights Personal Care Home,GOLDEN HEIGHTS OPCO LLC,"3522 ROUTE 130,",Irwin,PA,15642,7247443200.0,Westmoreland,75,PROFIT,450300,6/30/21
PERSONAL CARE HOME,Grace Manor At North Park,MOS GRACE MGT LLC,"9565 BABCOCK BOULEVARD,",Allison Park,PA,15101,9739869629.0,Allegheny,60,PROFIT,450850,6/30/21
PERSONAL CARE HOME,Grace Mansion,CATHOLIC SENIOR HOUSING & HEALTH CARE SERVICES INC,"1200 SPRING STREET,",Bethlehem,PA,18018,6108656748.0,Lehigh,28,NON-PROFIT,216430,6/30/21
PERSONAL CARE HOME,Grace Park,GRACE PARK LTD.,"1170 WEST MAIN STREET,",Stroudsburg,PA,18360,5704248166.0,Monroe,82,PROFIT,207360,6/30/21
PERSONAL CARE HOME,Gracious Living Estates,RELENTLESS ASSETS NO.1 LLC,"10543 PA ROUTE 29,",Montrose,PA,18801,5702783414.0,Susquehanna,65,PROFIT,224860,6/30/21
PERSONAL CARE HOME,Grand At Castle Shannon,GRAND AT CASTLE SHANNON LLC,"3768 WILLOW AVENUE,",Castle Shannon,PA,15234,4125634444.0,Allegheny,38,PROFIT,448881,6/30/21
PERSONAL CARE HOME,Grand At Fayette D/B/A Country Care Manor,GRAND AT FAYETTE LLC,"205 COLDREN ROAD,",Fayette City,PA,15438,7243264909.0,Fayette,75,PROFIT,449590,6/30/21
PERSONAL CARE HOME,Grand View Manor,"ASSURED CARE, INC.","129 HOUCK ROAD,",Fleetwood,PA,19522,6109441800.0,Berks,54,PROFIT,215010,6/30/21
