Facility Name,State Facility Type 1 Literal,Facility ID,Address,Zip Code,County,Phone Number,Capacity,Medicaid,Email Address,Licensee
CHERRY BLOSSOM COTTAGE,RCF,50R014,11177 SE CHERRY BLOSSOM DR,97216,Multnomah,5032569777,49,FALSE,rebecca@cherryblossomcottage.com,"SYLVIA'S LEGACY, INC."
CHERRY PARK PLAZA,RCF,50R389,1323 SW CHERRY PARK ROAD,97060,Multnomah,5034911661,33,FALSE,executivedirector@cherryparkplaza.com,"CHGCXA TROUTDALE, LLC"
CHERRYWOOD MEMORY CARE - REVERE COURT,RCF,50R416,2750 NE DORAN DRIVE,97128,Yamhill,5038570338,56,TRUE,gail.d@chancellorhealthcare.com,"CHANCELLOR HEALTH CARE OF CALIFORNIA XIII, INC."
CHINOOK PLACE,ALF,70M004,470 NE OAK ST,97741,Jefferson,5414756425,16,TRUE,jes.sothern@caringplaces.com,"CARING PLACES NORTHWEST, LLC"
CHURCHILL ESTATES ASSISTED LIVING,ALF,70M014,1919 BAILEY HILL RD,97405,Lane,5414858320,48,TRUE,evauna@churchillestates.net,"CHURCHILL MANAGEMENT COMPANY, INC."
CHURCHILL RETIREMENT ASSISTED LIVING,ALF,50R365,3800 WESTLEIGH,97405,Lane,5414858320,83,TRUE,deborah@churchillestates.net,"CHURCHILL MANAGEMENT, INC"
CLACKAMAS VIEW SENIOR LIVING - MILWAUKIE,RCF,50R139,14550 SE VISTA LANE,97267,Clackamas,5036592325,40,TRUE,odunayo.i@chancellorhealthcare.com,
CLATSOP CARE MEMORY COMMUNITY,RCF,50R421,2219 SE DOLPHIN ROAD,97146,Clatsop,5039942060,32,TRUE,adminccmc@clatsopcare.org,CLATSOP CARE CENTER HEALTH DISTRICT
CLATSOP CARE RETIREMENT VILLAGE,ALF,70M203,947 OLNEY AVE,97103,Clatsop,5033254676,80,TRUE,admincrv@clatsopcare.org,CLATSOP CARE CENTER HEALTH DISTRICT
COMFORT CARE,RCF,50R021,1735 KANE ST,97603,Klamath,5418832882,16,TRUE,comfortcarekf@aol.com,"COME FOR CARE, INC."
CONIFER HOUSE RESIDENTIAL CARE & MEMORY CARE,RCF,50R023,145 NE CONIFER BLVD,97330,Benton,5417572444,51,TRUE,bmccoy@coniferalmc.com,"CONIFER HOUSE OPERATING COMPANY, LLC"
CORAL SPRINGS RESIDENTIAL CARE,RCF,50R404,2520 CORAL AVENUE NE,97305,Marion,5033625885,32,FALSE,michele@sweetbyenbye.com,
CORNELL ESTATES RETIREMENT & ASST LIVING RES,ALF,70M015,1005 NE 17TH STREET,97124,Washington,5036402884,75,TRUE,adm@cornell-estates.com,
CORNERSTONE RESIDENTIAL OPTION,RCF,50R346,12640 SE BUSH,97236,Multnomah,5037616621,16,TRUE,mwright@cornerstonecareoption.com,"CORNERSTONE CARE OPTION , INC"
CORVALLIS CARING PLACE ASSISTED LIVING,ALF,70A280,750 NW 23RD ST,97330,Benton,5417532033,55,TRUE,crystalw@corvalliscaringplace.org,"CORVALLIS CARING PLACE, INC."
COTTAGES SENIOR LIVING  THE,RCF,5MA160,1808 SE 182ND AVENUE,97233,Multnomah,5037664997,114,TRUE,ed@thecottagesliving.com,THE COTTAGES OPCO LLC
COTTAGES SENIOR LIVING  THE,RCF,5MA160,1808 SE 182ND AVENUE,97233,Multnomah,5037664997,114,TRUE,ed@thecottagesliving.com,THE COTTAGES OPCO LLC
COUNTRY MEADOWS VILLAGE,ALF,70A285,155 S EVERGREEN,97071,Marion,5039822221,50,TRUE,exd@countrymeadowsvillage.com,"CROWN II DEVELOPMENT, LLC"
COUNTRYSIDE LIVING OF CANBY,RCF,50R283,390 NW 2ND AVE,97013,Clackamas,5032663031,35,TRUE,rosie@countrysideliving.com,"COUNTRYSIDE LIVING OF CANBY, LLC"
COUNTRYSIDE LIVING OF REDMOND,RCF,50M426,1350 NW CANAL BLVD,97756,Deschutes,5415483049,38,TRUE,kathyd@countrysideliving.com,"COUNTRYSIDE LIVING OF REDMOND, LLC"
COUNTRYSIDE LIVING - SOUTH,RCF,50R380,406 NW 2ND AVENUE,97013,Clackamas,5032663031,20,TRUE,sheenaw@countrysideliving.com,"COUNTRYSIDE LIVING OF CANBY, LLC"
COUNTRYSIDE VILLAGE,ALF,70A318,1700 KELLENBECK AVE,97527,Josephine,5419560999,22,TRUE,linda@countrysidevillageretire.com,"LYNN-ANN DEVELOPMENT, LLC"
COUNTRYSIDE VILLAGE LODGE,RCF,50R475,1700 KELLENBECK AVE,97527,Josephine,5419560999,28,FALSE,mca@countrysidevillageretire.com,"LYNN-ANN DEVELOPMENT, LLC"
COURTYARD AT HILLSIDE MEMORY CARE,RCF,50R277,440 NW HILLSIDE PARK WAY,97128,Yamhill,5034729534,20,FALSE,mschliesmayer@brookdale.com,"BKD HILLSIDE OPCO, LLC"
COURTYARD AT MT TABOR,ALF,70A239,6323 SE DIVISION,97206,Multnomah,5037729795,80,FALSE,courtyardald@islllc.com,"SSSHT OPCO SE DIVISION STREET, LLC"
COURTYARD AT MT TABOR GARDEN HOUSE,RCF,5MA252,6323 SE DIVISION,97206,Multnomah,5037729795,24,FALSE,courtyardgpd@islllc.com,"SSSHT OPCO SE DIVISION STREET, LLC"
COURTYARD AT MT TABOR PAVILION,RCF,50R481,2350 SE 60TH AVE,97206,Multnomah,5037712181,29,FALSE,thecourtyardgpd@islllc.com,"SSSHT OPCO SE DIVISION STREET, LLC"
COURTYARD FOUNTAINS ASSISTED LIVING COMMUNITY,ALF,70A315,1537 SE 223RD,97030,Multnomah,5036674500,53,FALSE,administrator@courtyardfountainsseniorliving.com,"ARHC CFGREOR01 TRS, LLC"
CRYSTAL TERRACE,RCF,50R292,1000 TOWN CENTER DRIVE,97601,Klamath,5418857250,43,TRUE,LinseyCalhoun@MBK.COM,"KLAMATH FALLS MSL, LLC"
CRYSTAL TERRACE MEMORY CARE,RCF,50M300,320 JADE TERRACE,97601,Klamath,5412737336,44,TRUE,stacymccarl@mbk.com,"KLAMATH FALLS MSL, LLC"
CURRY MANOR,RCF,5MA024,1458 QUAIL LANE,97470,Douglas,5416733999,62,TRUE,jsullivan@tierraseniorliving.com,"TSL CURRY MANOR, LLC"
DALLAS RETIREMENT VILLAGE ASSISTED LIVING,ALF,70A018,340 NW BRENTWOOD ST,97338,Polk,5038310214,53,TRUE,dolson@drvhome.com,"DALLAS MENNONITE RETIREMENT COMMUNITY, INC."
DALLAS RETIREMENT VILLAGE ASSISTED LIVING HUD,ALF,70A321,377 NW JASPER ST,97338,Polk,5036235581,25,TRUE,dolson@drvhome.com,"DALLAS HEALTH CARE CENTER, LLC"
DALLAS RETIREMENT VILLAGE MEMORY CARE CENTER,RCF,50R331,377 NW JASPER ST,97338,Polk,5038310214,20,TRUE,sperez@drvhome.com,"DALLAS HEALTH CARE CENTER, LLC"
DAVENPORT PLACE,ALF,70A019,930 OAK ST,97381,Marion,5038737162,36,FALSE,torourke@enlivant.com,"DAVENPORT AID OPCO, LLC"
DEERFIELD VILLAGE ASSISTED LIVING,ALF,70A020,5770 SE KELLOGG CR DR,97222,Clackamas,5036534064,48,TRUE,dean@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC"
DESIRE FOR HEALING  INC,RCF,50M144,44882 MISSION RD,97801,Umatilla,5412767157,50,TRUE,valerie.s@desireforhealing.com,"DESIRE FOR HEALING, INC"
DONHAM PLACE,RCF,50M048,5833 N LOMBARD ST,97203,Multnomah,5032832852,13,TRUE,johnvarner@ymail.com,DONHAM PLACE INC.
DORIAN PLACE ASSISTED LIVING,ALF,70M021,375 N DORIAN DR,97914,Malheur,5418898545,50,TRUE,christine.grothaus@wellspringsliving.com,"DORIAN PLACE OPERATIONS, LLC"
EAST CASCADE MEMORY CARE COMMUNITY,RCF,50R334,175 NE 16TH STREET,97741,Jefferson,5414752273,16,TRUE,shantel.vasquez.shm@gmail.com,"EAST CASCADE RETIREMENT COMMUNITY, LLC"
EAST CASCADE RETIREMENT COMMUNITY,ALF,70M212,175 NE 16TH STREET,97741,Jefferson,5414752273,48,TRUE,rachel@eastcascade.com,"EAST CASCADE RETIREMENT COMMUNITY, LLC"
EDGEWOOD ARBOR MEMORY CARE,RCF,50R276,7733 SW SCHOLLS FERRY RD,97008,Washington,5036719474,27,FALSE,gerardo.meza@hawthornret.com,"BEAVERTON ASSISTED LIVING OPCO, LLC"
EDGEWOOD POINT ASSISTED LIVING,ALF,70A261,7733 SW SCHOLLS FERRY RD,97008,Washington,5036719474,59,TRUE,elizabeth.conrad@hawthornret.com,"BEAVERTON ASSISTED LIVING OPCO, LLC"
ELDERLY CARE HOME,RCF,50M025,12435 SW 121ST AVE,97223,Washington,5035909854,15,TRUE,sarah_mahinay@comcast.net,"ELDERLY CARE HOME, INC."
ELITE CARE ADAMS - HOOD,RCF,50R282,4483 SE OATFIELD HILL RD,97267,Clackamas,5036535656,30,TRUE,mdokka@elitecare.com,"ELITE CARE OATFIELD ESTATES, LLC"
ELITE CARE JEFFERSON - ASHLAND,RCF,50R318,4422 SE OATFIELD HILL ROAD,97267,Clackamas,5036535656,30,TRUE,jclute@elitecare.com,"ELITE CARE OATFIELD ESTATES, LLC"
ELITE CARE LARCH - TABOR,RCF,50R405,4425 SE OATFIELD HILL RD,97267,Clackamas,5036535656,30,TRUE,mdokka@elitecare.com,"ELITE CARE OE2, LLC"
ELITE CARE RAINIER - HELENS,RCF,50R308,4457 SE OATFIELD HILL RD,97267,Clackamas,5036535656,30,TRUE,jclute@elitecare.com,"ELITE CARE OATFIELD ESTATES, LLC"
ELLIOTT RESIDENCE,ALF,70A025,390 CHURCH ST,97385,Marion,5039024920,60,TRUE,mdairy@marianestates.com,"JANMAUR I, L.L.C."
ELMCROFT OF SELLWOOD,ALF,70A295,8517 SE 17TH AVENUE,97202,Multnomah,5035424800,100,TRUE,lana.buckles@elmcroft.com,"HCP ESL PORTLAND OR OPCO, LLC"
ELMCROFT OF STAYTON,ALF,70M251,2201 3RD AVE,97383,Marion,5037693200,75,TRUE,Salina.Martinez@elmcroft.com,BISHOP STAYTON LESSEE LLC
EMERALD GARDENS,RCF,50M019,1890 NEWBERG HWY,97071,Marion,5039824000,59,TRUE,wwooten@radiantseniorliving.com,"RSL WOODBURN, LLC"
EMERALD VALLEY ASSISTED LIVING,ALF,70M026,4550 W AMAZON DR,97405,Lane,5413459668,48,TRUE,cherie@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC"
EMERSON HOUSE PORTLAND,RCF,50A231,3577 SE DIVISION,97202,Multnomah,5032348585,55,TRUE,ejones@aidanhealthservices.com,"EH OPERATIONS, LLC"
EVERGREEN MEMORY CARE,RCF,50R279,3720 N CLAREY ST,97402,Lane,5416893900,64,TRUE,dkoehn@evergreenmceug.com,"CSL - EUGENE I, LLC"
EVERGREEN SENIOR LIVING,ALF,70A202,3760 N CLAREY ST,97402,Lane,5416079525,80,TRUE,djohannes@evergreeneug.com,"CSL - EUGENE II, LLC"
EXPRESSIONS AT SUMMERPLACE,RCF,50A219,15727 NE RUSSELL STREET,97230,Multnomah,5032529361,20,FALSE,alex.bernal@prestigecare.com,"SUMMERVENT, LLC"
FANNO CREEK BY ELITE CARE,RCF,50R340,12353 SW GRANT ST,97223,Washington,5036535656,30,FALSE,mwhitmore@elitecare.com,"ELITE CARE GRANT, LLC"
FARMINGTON SQUARE  BEAVERTON,RCF,50A028,14420 SW FARMINGTON RD,97005,Washington,5036262273,70,TRUE,alierheimer@farmingtonsquare.com,"RSL BEAVERTON, LLC"
FARMINGTON SQUARE  EUGENE,RCF,50A149,2730 BAILEY LANE,97401,Lane,5413447902,66,FALSE,jmaher@farmingtonsquare.com,"RSL EUGENE, LLC"
FARMINGTON SQUARE  GRESHAM,RCF,5MA031,1655 NE 18TH,97030,Multnomah,5036651994,102,TRUE,malina@farmingtonsquare.com,"RSL GRESHAM, LLC"
FARMINGTON SQUARE  MEDFORD,RCF,50A083,1530 POPLAR DRIVE,97504,Jackson,5417709080,81,TRUE,drushing@farmingtonsquare.com,"RSL MEDFORD, LLC"
FARMINGTON SQUARE  SALEM,RCF,50A034,960 BOONE RD SE,97306,Marion,5033632273,122,TRUE,jpenland@farmingtonsquare.com,"RSL SALEM, LLC"
FARMINGTON SQUARE  TUALATIN,RCF,50A143,17950 SW 115TH AVE,97062,Washington,5036921748,64,TRUE,tawnyat@farmingtonsquare.com,"RSL TUALATIN, LLC"
FIELDSTONE CORNELL LANDING,ALF,70A337,9860 NW CORNELL LANDING,97229,Washington,5032929222,95,FALSE,andreab@fieldstonecommunities.com,"CASCADIA SENIOR LIVING, LLC"
FIELDSTONE CORNELL LANDING MC,RCF,50R469,9860 NW CORNELL RD,97229,Washington,5032929222,30,FALSE,andrea@fieldstonecommunities.com,"CASCADIA SENIOR LIVING, LLC"
FIRCREST ASSISTED LIVING,ALF,70A311,213 NE FIRCREST DR,97128,Yamhill,5034722200,29,TRUE,basty.p@chancellorhealthcare.com,"CHANCELLOR HEALTH CARE OF CALIFORNIA XI, INC."
FIRCREST SENIOR LIVING,RCF,50R358,213 NE FIRCREST DR,97128,Yamhill,5034722200,52,TRUE,fsl.bom@chancellorhealthcare.com,"CHANCELLOR HEALTH CARE OF CALIFORNIA XI, INC."
FIRWOOD GARDENS RCF,RCF,50M037,819 NE 122ND AVE,97230,Multnomah,5032520086,85,TRUE,brett@firwoodgardens.com,"SAPPHIRE AT FIRWOOD, LLC"
FLAGSTONE RETIREMENT & ASSISTED LIVING,ALF,70M028,3325 COLUMBIA VIEW DR,97058,Wasco,5412985656,60,TRUE,executivedirector@flagstoneseniorliving.com,"FLAGSTONE OPERATIONS, LLC"
FOOTSTEPS AT CARMAN OAKS,RCF,50R398,3900 SW CARMAN DRIVE,97035,Clackamas,5036364700,16,FALSE,censign@thespringsliving.com,"SPRINGS CARMAN OAKS OPERATOR, LLC"
FOOTSTEPS AT CLACKAMAS WOODS,RCF,50R377,14404 SE WEBSTER ROAD,97267,Clackamas,5036543414,32,TRUE,cmartin@thespringsliving.com,"TSL CLACK OPS, LLC"
FOOTSTEPS AT GREER GARDENS,RCF,50R449,1282 GOODPASTURE ISLAND ROAD,97401,Lane,5412462828,32,FALSE,sdennis@thespringsliving.com,"HSRE - SPRINGS IV TRS, LLC"
FOOTSTEPS AT LAKE OSWEGO,RCF,50R484,3900 KRUSE WAY PLACE,97035,Clackamas,5036357000,24,FALSE,yciment@thespringsliving.com,"HSRE-SPRINGS V TRS, LLC"
FOOTSTEPS AT MILL CREEK,RCF,50R399,1201 W 10TH STREET,97058,Wasco,5412961301,25,TRUE,tsly@thespringsliving.com,"SPRINGS AT MILL CREEK OPERATOR, LLC"
FOOTSTEPS AT SHERWOOD,RCF,50R397,15677 SW OREGON ST,97140,Washington,5036259481,31,TRUE,jlara@thespringsliving.com,"SPRINGS SHERWOOD OPERATOR, LLC"
FOOTSTEPS AT TANASBOURNE,RCF,50R361,1950 NW 192ND AVE,97006,Washington,5036295500,12,FALSE,vlanna@thespringsliving.com,"SPRINGS AT TANASBOURNE II, LLC"
FOOTSTEPS AT WILSONVILLE,RCF,5MA217,7600 SW VLAHOS DR,97070,Clackamas,5035829414,51,TRUE,rstory@thespringsliving.com,"SPRINGS WILSONVILLE OPERATOR, LLC"
FOREST GLEN SENIOR LIVING,RCF,50M209,200 SW FRONTAGE RD,97417,Douglas,5418394266,36,TRUE,louise@foresthillmanorsl.com,
FOREST GLEN SENIOR LIVING,RCF,50M209,200 SW FRONTAGE RD,97417,Douglas,5418394266,36,TRUE,louise@foresthillmanorsl.com,
FOREST GROVE BEEHIVE,ALF,70M029,2122 HAWTHORNE,97116,Washington,5033576409,44,TRUE,charity.jammeh@caringplaces.com,"FOREST GROVE BEEHIVE, LLC"
FOREST MEADOWS,RCF,50M154,625 BARBARA DRIVE,97526,Josephine,5414798865,15,TRUE,kburnsfm@gmail.com,"FOREST MEADOWS RCF, INC."
FORUM AT TOWN CENTER  THE,ALF,70M094,8607 SE CAUSEY AVE,97086,Clackamas,5036544500,87,TRUE,tjohns@5ssl.com,"SNH AL TRS, INC"
FOUNTAIN PLAZA,RCF,50R038,1441 MORROW ROAD,97504,Jackson,5417726005,19,FALSE,manager1@fountainplaza.com,"FOUNTAIN PLAZA, L.L.C."
FOX HOLLOW INDEPENDENT & ASSISTED LIVING COMMUNITY,ALF,70A294,2599 NE STUDIO RD,97701,Deschutes,5413832030,86,TRUE,dhendrickson@regency-pacific.com,"FOX HOLLOW BEND, LLC"
FOX HOLLOW RESIDENTIAL CARE COMMUNITY,RCF,50R046,5320 FOX HOLLOW RD,97405,Lane,5413438439,54,FALSE,bwingfield@foxhollowcare.com,"FOX HOLLOW CARE, INC"
FRIENDSVIEW RETIREMENT COMMUNITY,RCF,50R040,1301 E FULTON ST,97132,Yamhill,5035383144,155,FALSE,kwatson@friendsview.org,
GARDENS AT LAURELHURST VILLAGE  THE,ALF,70M063,3060 SE STARK ST,97214,Multnomah,5035354932,25,TRUE,ksele@avamere.com,"LAURELHURST OPERATIONS, LLC"
GARDENS  THE,RCF,50R311,2690 NE YACHT AVE,97367,Lincoln,5419947400,43,TRUE,eknepperconsult@gmai.com,"LAKEVIEW OPERATIONS, LLC"
GATEWAY 2 HEALTHIER LIVING,RCF,50R388,608 N CLOVERLEAF LOOP,97477,Lane,5417449817,10,TRUE,mkinkade@gatewayliving.com,"GATEWAY ASSISTED LIVING, INC"
GATEWAY GARDENS,RCF,50R304,178 COMMONS DRIVE,97401,Lane,5413021283,90,TRUE,sreedt@gatehudmanwayliving.com,
GATEWAY LIVING,RCF,50R042,611 N CLOVERLEAF LOOP,97477,Lane,5417449817,128,TRUE,jknox@gatewayliving.com,
GIBSON CREEK RETIREMENT & ASST LIVING RESIDENCE,ALF,70A030,1615 BRUSH COLLEGE RD NW,97304,Polk,5033618599,65,TRUE,executivedirectorgc@livebsl.com,"TLC WEST, L.L.C."
GILMAN PARK ASSISTED LIVING,ALF,70A031,2205 GILMAN DRIVE,97045,Clackamas,5036575700,101,TRUE,administrator@gilmanpark.com,"FM GILMAN, LLC"
GOLDEN ACRES RETIREMENT CENTER,RCF,50M044,12711 SE HOLGATE BLVD,97236,Multnomah,5037616421,50,TRUE,goldenacresrcf@aol.com,SANDRA TIDWELL
GOLDEN AGE LIVING  LLC,RCF,50R319,3484 SE HILL ROAD,97267,Clackamas,5036528000,15,FALSE,persidas@yahoo.com,
GRACE MANOR RESIDENTIAL CARE COMMUNITY,RCF,50R402,2811 BAILEY LANE,97401,Lane,5416862721,21,TRUE,daniel@gracemanorcare.com,GRACE MANOR SENIOR LIVING
GRANDE RONDE RETIREMENT RESD,ALF,70M033,1809 GEKELER LANE,97850,Union,5419634700,76,TRUE,administrator@granderonderetirement.com,"FM GRANDE, LLC"
GREENRIDGE ESTATES,ALF,70M034,4 GREENRIDGE DRIVE,97035,Clackamas,5036358818,79,TRUE,monique@greenwoodestates.com,"GREENRIDGE ESTATES OPERATING, LLC"
GRIFFIN HOUSE LLC THE,RCF,50R387,6630 ALDERBROOK ROAD,97141,Tillamook,5038010418,28,TRUE,sharon@thegriffinhouse.org,THE GRIFFIN HOUSE LLC
GROVE AT PEAR VALLEY MEMORY CARE  THE,RCF,50R467,800 N HASKELL ST,97502,Jackson,5416303038,24,TRUE,apickett@pearvalleysl.com,"PC CENTRAL POINT, LLC"
GUARDIAN ANGEL HOMES,ALF,70M079,540 NW 12TH ST,97838,Umatilla,5415649070,40,TRUE,hermiston@gahangel.com,"HERMISTON HEALTHCARE, LLC"
GUARDIAN ANGEL HOMES MEMORY CARE,RCF,50M428,540 NW 12TH ST,97838,Umatilla,5415649070,32,TRUE,stephanie_perez@live.com,"HERMISTON HEALTHCARE, LLC"
HARMONY GUEST HOME  INC,RCF,50M049,351 SE 5TH ST,97123,Washington,5036483413,62,TRUE,lug55@yahoo.com,
HARMONY HOUSE OF SALEM,RCF,50R356,3062 HYACINTH ST NE,97301,Marion,5035880722,15,TRUE,michelen@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC."
HARMONY LIVING  INC,RCF,5ME248,1535 SW SHIRLEY ANN DRIVE,97128,Yamhill,5034729997,16,TRUE,cthompson_harmonyliving@yahoo.com,
HARVEST HOMES  INC,ALF,70A036,6921 N ROBERTS AVENUE,97203,Multnomah,5032862423,49,TRUE,mwestwood@harvesthomes.us,
HARVEST HOMES RCF,RCF,5MA051,6921 N ROBERTS AVE,97203,Multnomah,5032862423,40,TRUE,jcole@harvesthomes.us,"HARVEST HOMES, INC"
HAVEN HOUSE RETIREMENT CENTER,RCF,50M201,714 MAIN STREET,97830,Wheeler,5417634651,19,TRUE,havenhouse@hotmail.com,"FOSSIL ELDERLY HOUSING COMMITTEE, INC"
HAWKS RIDGE SENIOR ASSISTED LIVING COMMUNITY,ALF,70A269,1795 8TH STREET,97031,Hood River,5413874087,85,TRUE,administrator@hawksridgeassistedliving.com,LSREF GOLDEN OPS 26 (OR) LLC
HAWTHORNE GARDENS MEMORY CARE COMMUNITY,RCF,50R350,2828 SE TAYLOR ST,97214,Multnomah,9712220396,35,TRUE,imarchbanks@seniorlifestyle.com,"SLH PORTLAND MANAGER, LLC"
HAWTHORNE GARDENS SENIOR LIVING COMMUNITY,ALF,70A309,2828 SE TAYLOR ST,97214,Multnomah,9712220396,42,TRUE,jgange@seniorlifestyle.com,"SLH PORTLAND MANAGER, LLC"
HAWTHORNE HOUSE OF SALEM,RCF,50R300,3042 HYACINTH ST NE,97303,Marion,5037632722,15,TRUE,hawthorne@pacificlivingcenters.com,
HAWTHORNE HOUSE  THE,RCF,50R376,2635 21ST AVENUE,97116,Washington,5033576409,22,TRUE,charity.jammeh@caringplaces.com,"FOREST GROVE BEEHIVE, LLC"
HEARTHSTONE AT MURRAYHILL,RCF,50R294,10880 SW DAVIES ROAD,97008,Washington,5035200911,142,FALSE,tom@hearthstoneccc.com,"HEARTHSTONE AT MURRAYHILL, LLC"
HEARTHSTONE AT MURRAYHILL ASSISTED LIVING,ALF,70A273,10880 SW DAVIES ROAD,97008,Washington,5035200911,80,FALSE,pamela@hearthstoneccc.com,"HEARTHSTONE AT MURRAYHILL, LLC"
HEARTHSTONE OF BEAVERTON,ALF,70M037,12520 SW HART RD,97008,Washington,5036410911,75,FALSE,katie@hearthstoneofbeaverton.com,"HEARTHSTONE OF BEAVERTON, LLC"
HEARTWOOD PLACE,RCF,50R409,2325 BOONES FERRY ROAD,97071,Marion,5039809990,48,TRUE,lpomeroy@heartwoodplacemc.com,WMC OPERATING COMPANY LLC
HERITAGE HOUSE OF WOODBURN,RCF,50R332,943 N CASCADE DR,97071,Marion,5039821506,15,TRUE,plcwoodburn1@wbcable.net,"PACIFIC LIVING CENTERS, INC"
HERON POINTE SENIOR LIVING,ALF,70A201,504 GWINN ST  E,97361,Polk,5038386850,74,TRUE,ahynes@heronpointesl.com,"CSL - MONMOUTH I, LLC"
HIGH LOOKEE LODGE,ALF,70A241,2321 OLLALLIE LANE   PO BOX 6,97761,Jefferson,5415531182,53,TRUE,greg.tippett@wstribes.org,THE CONFEDERATED TRIBES OF THE WM SPRGS RS
HILLSIDE CARE MANOR,RCF,50R369,800 NW 25TH AVE,97210,Multnomah,5036885080,40,TRUE,adam@peaksandvalleysnw.com,
HILLSIDE PLACE,ALF,70A041,1400 SE 19TH,97367,Lincoln,5419948028,37,TRUE,ljunod@enlivant.com,"CARING PLACES NORTHWEST, LLC"
HOLI SENIOR LIVING,RCF,50R490,188 NE 77TH AVE,97124,Washington,5037437210,90,TRUE,lug55@yahoo.com,HARMONY ORENCO LIVING INC.
HOLLADAY PARK PLAZA,RCF,50R230,1300 NE 16TH,97232,Multnomah,5032886671,44,FALSE,npavlik@retirement.org,"HOLLADAY PARK PLAZA, INC."
HOLLY RESIDENTIAL CARE CENTER,RCF,50A074,1075 IRVINGTON DRIVE,97404,Lane,5416078587,42,TRUE,larameej@hollyresidential.com,
HOMEWOOD HEIGHTS ASSISTED LIVING,ALF,70M042,17999 SE RIVER RD,97267,Clackamas,5036596600,52,TRUE,stacey.richey@prestigecare.com,HOMEWOODS HEIGHTS LLC
HOPE N CARE,RCF,50R316,12032 SE HOLGATE BLVD,97266,Multnomah,5037616939,64,TRUE,asacare1@gmail.com,
HORTON PLAZA,RCF,50R145,1122 SPRING STREET,97504,Jackson,5417701122,18,FALSE,danielle@hortonplaza.info,"HORTON PLAZA, LLC"
INLAND POINT RETIREMENT COMMUNITY,ALF,70M044,2290 INLAND DRIVE,97459,Coos,5417560176,60,TRUE,susanc@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC"
IVY COURT SENIOR LIVING,RCF,50R251,18265 SE RIVER ROAD,97222,Clackamas,5037863443,16,FALSE,ivycourtrcf@gmail.com,"KELLY KARE, INC."
JEFFERSON LODGE MEMORY CARE COMMUNITY,RCF,50M065,664 SE JEFFERSON ST,97338,Polk,5036238104,55,TRUE,lorettab@cascadeliving.com,
JENNINGS MCCALL CENTER,ALF,70A214,2221 OAK STREET,97116,Washington,5033594465,147,TRUE,charding@jenningsmccall.com,"MASONIC AND EASTERN STAR HOME OF OREGON, INC. (THE"
JENNINGS MCCALL RCF,RCF,50R393,2221 OAK STREET,97116,Washington,5033594465,27,TRUE,ogarcia@jenningsmccall.com,"MASONIC AND EASTERN STAR HOME OF OREGON, INC. (THE"
JUNCTION CITY RETIREMENT & ASSISTED LIVING RES,ALF,70M048,500 E 6TH ST,97448,Lane,5419986060,36,TRUE,administrator@junctioncityassistedliving.com,"FC RANGER OPS JUNCTION CITY (OR), LLC"
JUNIPER HOUSE,ALF,70M049,301 SW 28TH DR,97801,Umatilla,5412780666,31,TRUE,director@juniperhousealf.com,"PENDLETON ALF, LLC"
JUNIPER HOUSE MEMORY CARE,RCF,50M422,301 SW 28TH DRIVE,97801,Umatilla,5412780666,16,TRUE,director@juniperhousealf.com,"PENDLETON ALF, LLC"
JUNIPER SPRINGS SENIOR LIVING,ALF,70A334,590 NW 23RD STREET,97756,Deschutes,5415261819,91,TRUE,cbelmontes@juniperspringssl.com,PC REDMOND
KELLOGG ASSISTED LIVING AT MARY'S WOODS,ALF,70A341,17395 HOLY NAMES DRIVE,97034,Clackamas,5034796180,56,FALSE,imandelsberg@maryswoods.org,"MARY'S WOODS AT MARYLHURST, INC."
KELLYVILLE RCF,RCF,50R454,12221 SE KELLY STREET,97236,Multnomah,5039542561,50,TRUE,maricelasa@gmail.com,"YSA GROUP OPERATING COMPANY, LLC"
KILCHIS HOUSE,ALF,70M050,4212 MAROLF PLACE,97141,Tillamook,5038422204,36,TRUE,directorkh@kilchishouse.org,"KILCHIS HOUSE, LLC"
KINSINGTON AT REDWOOD PARK,RCF,50M424,1390 DOWELL ROAD,97527,Jackson,5414762536,30,TRUE,director@heirloomlivingcenters.com,"HEIRLOOM LIVING CENTERS, LLC"
KINSINGTON OAK GROVE,RCF,50R486,77 OAK GROVE ROAD,97501,Jackson,4582262376,60,TRUE,kog-admin@heirloomlivingcenters.com,"HEIRLOOM LIVING CENTERS, LLC"
KINSINGTON PLACE,RCF,50R372,827 SW KINSINGTON COURT,97526,Josephine,5419559866,16,TRUE,kcp-admin@heirloomlivingcenters.com,"HEIRLOOM LIVING CENTERS, LLC"
LAKELAND SENIOR LIVING,ALF,70M234,261 LOTO STREET,97524,Jackson,5418300355,70,TRUE,jjohnson@lakelandsl.com,"CSL - EAGLE POINT, LLC"
LAKEVIEW GARDENS ASSISTED LIVING FACILITY,ALF,70A331,1250 SOUTH 9TH STREET,97630,Lake,5419472114,12,TRUE,rrobins@lakeviewgardens.org,LAKEVIEW GARDENS LLC
