Facility Name,State Facility Type 1 Literal,Facility ID,Address,Zip Code,County,Phone Number,Capacity,Email Address,Licensee,Date Accessed,State
Cascade Valley Assisted Living,ASSISTED LIVING FACILITY,70M027,1010 NE 3RD AVENUE,97862,Umatilla,5419385693,59,andrew.steinmeyer@empres.com,EVERGREEN OREGON HEALTHCARE ORCHARDS REHA,7/6/21,OR
Cascade Valley Memory Care,RESIDENTIAL CARE FACILITY,50R448,1010 NE THIRD AVENUE,97862,Umatilla,5419385693,23,noor.mouhammad@empres.com,"EVERGREEN OREGON HEALTHCARE ORCHARDS RETIREMENT, L",7/6/21,OR
Cedar Crest Alzheimer Special Care Center,RESIDENTIAL CARE FACILITY,5MA207,18325 SW PACIFIC HWY,97062,Washington,5039250544,56,cedarcrest.adm@jeaseniorliving.com,SH1 CEDAR CREST OPCO LLC,7/6/21,OR
Cedar Village Assisted Living Community,ASSISTED LIVING FACILITY,70M222,4452 LANCASTER DR NE,97305,Marion,5033909600,62,administrator@cedarvillageseniorliving.com,WELLTOWER TENANT GROUP LLC,7/6/21,OR
Cedar Village Memory Care Community,RESIDENTIAL CARE FACILITY,50R353,4452 LANCASTER DR NE,97301,Marion,5033909600,24,memorycare@cedarvillageseniorliving.com,WELLTOWER TENANT GROUP LLC,7/6/21,OR
Celia'S House In Holmes Park,RESIDENTIAL CARE FACILITY,50R458,217 S MODOC AVE,97504,Jackson,5415008911,12,michele.murray@sofriendsofhospice.org,SOUTHERN OREGON FRIENDS OF HOSPICE,7/6/21,OR
Chantele'S Loving Touch Memory Care,RESIDENTIAL CARE FACILITY,50R351,1128 W CENTRAL AVENUE,97479,Douglas,5414594549,45,rfugate@timbertownliving.com,"LOVING TOUCH OPERATIONS, LLC",7/6/21,OR
Chateau Gardens Memory Care Community,RESIDENTIAL CARE FACILITY,50M172,2669 S CLOVERLEAF LOOP,97477,Lane,5417469703,28,administrator@chateaugardensalz.com,"CLOVERLEAF ASSISTED LIVING, LLC",7/6/21,OR
Cherry Blossom Cottage,RESIDENTIAL CARE FACILITY,50R014,11177 SE CHERRY BLOSSOM DR,97216,Multnomah,5032569777,49,rebecca@cherryblossomcottage.com,"SYLVIA'S LEGACY, INC.",7/6/21,OR
Cherry Park Plaza,RESIDENTIAL CARE FACILITY,50R389,1323 SW CHERRY PARK ROAD,97060,Multnomah,5034911661,33,executivedirector@cherryparkplaza.com,"CHGCXA TROUTDALE, LLC",7/6/21,OR
Cherrywood Memory Care - Revere Court,RESIDENTIAL CARE FACILITY,50R416,2750 NE DORAN DRIVE,97128,Yamhill,5038570338,56,gail.d@chancellorhealthcare.com,"CHANCELLOR HEALTH CARE OF CALIFORNIA XIII, INC.",7/6/21,OR
Chinook Place,ASSISTED LIVING FACILITY,70M004,470 NE OAK ST,97741,Jefferson,5414756425,16,jes.sothern@caringplaces.com,"CARING PLACES NORTHWEST, LLC",7/6/21,OR
Churchill Estates Assisted Living,ASSISTED LIVING FACILITY,70M014,1919 BAILEY HILL RD,97405,Lane,5414858320,48,evauna@churchillestates.net,"CHURCHILL MANAGEMENT COMPANY, INC.",7/6/21,OR
Churchill Retirement Assisted Living,ASSISTED LIVING FACILITY,50R365,3800 WESTLEIGH,97405,Lane,5414858320,83,deborah@churchillestates.net,"CHURCHILL MANAGEMENT, INC",7/6/21,OR
Clackamas View Senior Living - Milwaukie,RESIDENTIAL CARE FACILITY,50R139,14550 SE VISTA LANE,97267,Clackamas,5036592325,40,odunayo.i@chancellorhealthcare.com,,7/6/21,OR
Clatsop Care Memory Community,RESIDENTIAL CARE FACILITY,50R421,2219 SE DOLPHIN ROAD,97146,Clatsop,5039942060,32,adminccmc@clatsopcare.org,CLATSOP CARE CENTER HEALTH DISTRICT,7/6/21,OR
Clatsop Care Retirement Village,ASSISTED LIVING FACILITY,70M203,947 OLNEY AVE,97103,Clatsop,5033254676,80,admincrv@clatsopcare.org,CLATSOP CARE CENTER HEALTH DISTRICT,7/6/21,OR
Comfort Care,RESIDENTIAL CARE FACILITY,50R021,1735 KANE ST,97603,Klamath,5418832882,16,comfortcarekf@aol.com,"COME FOR CARE, INC.",7/6/21,OR
Conifer House Residential Care & Memory Care,RESIDENTIAL CARE FACILITY,50R023,145 NE CONIFER BLVD,97330,Benton,5417572444,51,bmccoy@coniferalmc.com,"CONIFER HOUSE OPERATING COMPANY, LLC",7/6/21,OR
Coral Springs Residential Care,RESIDENTIAL CARE FACILITY,50R404,2520 CORAL AVENUE NE,97305,Marion,5033625885,32,michele@sweetbyenbye.com,,7/6/21,OR
Cornell Estates Retirement & Asst Living Res,ASSISTED LIVING FACILITY,70M015,1005 NE 17TH STREET,97124,Washington,5036402884,75,adm@cornell-estates.com,,7/6/21,OR
Cornerstone Residential Option,RESIDENTIAL CARE FACILITY,50R346,12640 SE BUSH,97236,Multnomah,5037616621,16,mwright@cornerstonecareoption.com,"CORNERSTONE CARE OPTION , INC",7/6/21,OR
Corvallis Caring Place Assisted Living,ASSISTED LIVING FACILITY,70A280,750 NW 23RD ST,97330,Benton,5417532033,55,crystalw@corvalliscaringplace.org,"CORVALLIS CARING PLACE, INC.",7/6/21,OR
Cottages Senior Living  The,RESIDENTIAL CARE FACILITY,5MA160,1808 SE 182ND AVENUE,97233,Multnomah,5037664997,114,ed@thecottagesliving.com,THE COTTAGES OPCO LLC,7/6/21,OR
Country Meadows Village,ASSISTED LIVING FACILITY,70A285,155 S EVERGREEN,97071,Marion,5039822221,50,exd@countrymeadowsvillage.com,"CROWN II DEVELOPMENT, LLC",7/6/21,OR
Countryside Living Of Canby,RESIDENTIAL CARE FACILITY,50R283,390 NW 2ND AVE,97013,Clackamas,5032663031,35,rosie@countrysideliving.com,"COUNTRYSIDE LIVING OF CANBY, LLC",7/6/21,OR
Countryside Living Of Redmond,RESIDENTIAL CARE FACILITY,50M426,1350 NW CANAL BLVD,97756,Deschutes,5415483049,38,kathyd@countrysideliving.com,"COUNTRYSIDE LIVING OF REDMOND, LLC",7/6/21,OR
Countryside Living - South,RESIDENTIAL CARE FACILITY,50R380,406 NW 2ND AVENUE,97013,Clackamas,5032663031,20,sheenaw@countrysideliving.com,"COUNTRYSIDE LIVING OF CANBY, LLC",7/6/21,OR
Countryside Village,ASSISTED LIVING FACILITY,70A318,1700 KELLENBECK AVE,97527,Josephine,5419560999,22,linda@countrysidevillageretire.com,"LYNN-ANN DEVELOPMENT, LLC",7/6/21,OR
Countryside Village Lodge,RESIDENTIAL CARE FACILITY,50R475,1700 KELLENBECK AVE,97527,Josephine,5419560999,28,mca@countrysidevillageretire.com,"LYNN-ANN DEVELOPMENT, LLC",7/6/21,OR
Courtyard At Hillside Memory Care,RESIDENTIAL CARE FACILITY,50R277,440 NW HILLSIDE PARK WAY,97128,Yamhill,5034729534,20,mschliesmayer@brookdale.com,"BKD HILLSIDE OPCO, LLC",7/6/21,OR
Courtyard At Mt Tabor,ASSISTED LIVING FACILITY,70A239,6323 SE DIVISION,97206,Multnomah,5037729795,80,courtyardald@islllc.com,"SSSHT OPCO SE DIVISION STREET, LLC",7/6/21,OR
Courtyard At Mt Tabor Garden House,RESIDENTIAL CARE FACILITY,5MA252,6323 SE DIVISION,97206,Multnomah,5037729795,24,courtyardgpd@islllc.com,"SSSHT OPCO SE DIVISION STREET, LLC",7/6/21,OR
Courtyard At Mt Tabor Pavilion,RESIDENTIAL CARE FACILITY,50R481,2350 SE 60TH AVE,97206,Multnomah,5037712181,29,thecourtyardgpd@islllc.com,"SSSHT OPCO SE DIVISION STREET, LLC",7/6/21,OR
Courtyard Fountains Assisted Living Community,ASSISTED LIVING FACILITY,70A315,1537 SE 223RD,97030,Multnomah,5036674500,53,administrator@courtyardfountainsseniorliving.com,"ARHC CFGREOR01 TRS, LLC",7/6/21,OR
Crystal Terrace,RESIDENTIAL CARE FACILITY,50R292,1000 TOWN CENTER DRIVE,97601,Klamath,5418857250,43,linseycalhoun@mbk.com,"KLAMATH FALLS MSL, LLC",7/6/21,OR
Crystal Terrace Memory Care,RESIDENTIAL CARE FACILITY,50M300,320 JADE TERRACE,97601,Klamath,5412737336,44,stacymccarl@mbk.com,"KLAMATH FALLS MSL, LLC",7/6/21,OR
Curry Manor,RESIDENTIAL CARE FACILITY,5MA024,1458 QUAIL LANE,97470,Douglas,5416733999,62,jsullivan@tierraseniorliving.com,"TSL CURRY MANOR, LLC",7/6/21,OR
Dallas Retirement Village Assisted Living,ASSISTED LIVING FACILITY,70A018,340 NW BRENTWOOD ST,97338,Polk,5038310214,53,dolson@drvhome.com,"DALLAS MENNONITE RETIREMENT COMMUNITY, INC.",7/6/21,OR
Dallas Retirement Village Assisted Living Hud,ASSISTED LIVING FACILITY,70A321,377 NW JASPER ST,97338,Polk,5036235581,25,dolson@drvhome.com,"DALLAS HEALTH CARE CENTER, LLC",7/6/21,OR
Dallas Retirement Village Memory Care Center,RESIDENTIAL CARE FACILITY,50R331,377 NW JASPER ST,97338,Polk,5038310214,20,sperez@drvhome.com,"DALLAS HEALTH CARE CENTER, LLC",7/6/21,OR
Davenport Place,ASSISTED LIVING FACILITY,70A019,930 OAK ST,97381,Marion,5038737162,36,torourke@enlivant.com,"DAVENPORT AID OPCO, LLC",7/6/21,OR
Deerfield Village Assisted Living,ASSISTED LIVING FACILITY,70A020,5770 SE KELLOGG CR DR,97222,Clackamas,5036534064,48,dean@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC",7/6/21,OR
Desire For Healing  Inc,RESIDENTIAL CARE FACILITY,50M144,44882 MISSION RD,97801,Umatilla,5412767157,50,valerie.s@desireforhealing.com,"DESIRE FOR HEALING, INC",7/6/21,OR
Donham Place,RESIDENTIAL CARE FACILITY,50M048,5833 N LOMBARD ST,97203,Multnomah,5032832852,13,johnvarner@ymail.com,DONHAM PLACE INC.,7/6/21,OR
Dorian Place Assisted Living,ASSISTED LIVING FACILITY,70M021,375 N DORIAN DR,97914,Malheur,5418898545,50,christine.grothaus@wellspringsliving.com,"DORIAN PLACE OPERATIONS, LLC",7/6/21,OR
East Cascade Memory Care Community,RESIDENTIAL CARE FACILITY,50R334,175 NE 16TH STREET,97741,Jefferson,5414752273,16,shantel.vasquez.shm@gmail.com,"EAST CASCADE RETIREMENT COMMUNITY, LLC",7/6/21,OR
East Cascade Retirement Community,ASSISTED LIVING FACILITY,70M212,175 NE 16TH STREET,97741,Jefferson,5414752273,48,rachel@eastcascade.com,"EAST CASCADE RETIREMENT COMMUNITY, LLC",7/6/21,OR
Edgewood Arbor Memory Care,RESIDENTIAL CARE FACILITY,50R276,7733 SW SCHOLLS FERRY RD,97008,Washington,5036719474,27,gerardo.meza@hawthornret.com,"BEAVERTON ASSISTED LIVING OPCO, LLC",7/6/21,OR
Edgewood Point Assisted Living,ASSISTED LIVING FACILITY,70A261,7733 SW SCHOLLS FERRY RD,97008,Washington,5036719474,59,elizabeth.conrad@hawthornret.com,"BEAVERTON ASSISTED LIVING OPCO, LLC",7/6/21,OR
Elderly Care Home,RESIDENTIAL CARE FACILITY,50M025,12435 SW 121ST AVE,97223,Washington,5035909854,15,sarah_mahinay@comcast.net,"ELDERLY CARE HOME, INC.",7/6/21,OR
Elite Care Adams - Hood,RESIDENTIAL CARE FACILITY,50R282,4483 SE OATFIELD HILL RD,97267,Clackamas,5036535656,30,mdokka@elitecare.com,"ELITE CARE OATFIELD ESTATES, LLC",7/6/21,OR
Elite Care Jefferson - Ashland,RESIDENTIAL CARE FACILITY,50R318,4422 SE OATFIELD HILL ROAD,97267,Clackamas,5036535656,30,jclute@elitecare.com,"ELITE CARE OATFIELD ESTATES, LLC",7/6/21,OR
Elite Care Larch - Tabor,RESIDENTIAL CARE FACILITY,50R405,4425 SE OATFIELD HILL RD,97267,Clackamas,5036535656,30,mdokka@elitecare.com,"ELITE CARE OE2, LLC",7/6/21,OR
Elite Care Rainier - Helens,RESIDENTIAL CARE FACILITY,50R308,4457 SE OATFIELD HILL RD,97267,Clackamas,5036535656,30,jclute@elitecare.com,"ELITE CARE OATFIELD ESTATES, LLC",7/6/21,OR
Elliott Residence,ASSISTED LIVING FACILITY,70A025,390 CHURCH ST,97385,Marion,5039024920,60,mdairy@marianestates.com,"JANMAUR I, L.L.C.",7/6/21,OR
Elmcroft Of Sellwood,ASSISTED LIVING FACILITY,70A295,8517 SE 17TH AVENUE,97202,Multnomah,5035424800,100,lana.buckles@elmcroft.com,"HCP ESL PORTLAND OR OPCO, LLC",7/6/21,OR
Elmcroft Of Stayton,ASSISTED LIVING FACILITY,70M251,2201 3RD AVE,97383,Marion,5037693200,75,salina.martinez@elmcroft.com,BISHOP STAYTON LESSEE LLC,7/6/21,OR
Emerald Gardens,RESIDENTIAL CARE FACILITY,50M019,1890 NEWBERG HWY,97071,Marion,5039824000,59,wwooten@radiantseniorliving.com,"RSL WOODBURN, LLC",7/6/21,OR
Emerald Valley Assisted Living,ASSISTED LIVING FACILITY,70M026,4550 W AMAZON DR,97405,Lane,5413459668,48,cherie@cascadeliving.com,"CASCADE LIVING GROUP- OREGON, LLC",7/6/21,OR
Emerson House Portland,RESIDENTIAL CARE FACILITY,50A231,3577 SE DIVISION,97202,Multnomah,5032348585,55,ejones@aidanhealthservices.com,"EH OPERATIONS, LLC",7/6/21,OR
Evergreen Memory Care,RESIDENTIAL CARE FACILITY,50R279,3720 N CLAREY ST,97402,Lane,5416893900,64,dkoehn@evergreenmceug.com,"CSL - EUGENE I, LLC",7/6/21,OR
Evergreen Senior Living,ASSISTED LIVING FACILITY,70A202,3760 N CLAREY ST,97402,Lane,5416079525,80,djohannes@evergreeneug.com,"CSL - EUGENE II, LLC",7/6/21,OR
Expressions At Summerplace,RESIDENTIAL CARE FACILITY,50A219,15727 NE RUSSELL STREET,97230,Multnomah,5032529361,20,alex.bernal@prestigecare.com,"SUMMERVENT, LLC",7/6/21,OR
Fanno Creek By Elite Care,RESIDENTIAL CARE FACILITY,50R340,12353 SW GRANT ST,97223,Washington,5036535656,30,mwhitmore@elitecare.com,"ELITE CARE GRANT, LLC",7/6/21,OR
Farmington Square  Beaverton,RESIDENTIAL CARE FACILITY,50A028,14420 SW FARMINGTON RD,97005,Washington,5036262273,70,alierheimer@farmingtonsquare.com,"RSL BEAVERTON, LLC",7/6/21,OR
Farmington Square  Eugene,RESIDENTIAL CARE FACILITY,50A149,2730 BAILEY LANE,97401,Lane,5413447902,66,jmaher@farmingtonsquare.com,"RSL EUGENE, LLC",7/6/21,OR
Farmington Square  Gresham,RESIDENTIAL CARE FACILITY,5MA031,1655 NE 18TH,97030,Multnomah,5036651994,102,malina@farmingtonsquare.com,"RSL GRESHAM, LLC",7/6/21,OR
Farmington Square  Medford,RESIDENTIAL CARE FACILITY,50A083,1530 POPLAR DRIVE,97504,Jackson,5417709080,81,drushing@farmingtonsquare.com,"RSL MEDFORD, LLC",7/6/21,OR
Farmington Square  Salem,RESIDENTIAL CARE FACILITY,50A034,960 BOONE RD SE,97306,Marion,5033632273,122,jpenland@farmingtonsquare.com,"RSL SALEM, LLC",7/6/21,OR
Farmington Square  Tualatin,RESIDENTIAL CARE FACILITY,50A143,17950 SW 115TH AVE,97062,Washington,5036921748,64,tawnyat@farmingtonsquare.com,"RSL TUALATIN, LLC",7/6/21,OR
Fieldstone Cornell Landing,ASSISTED LIVING FACILITY,70A337,9860 NW CORNELL LANDING,97229,Washington,5032929222,95,andreab@fieldstonecommunities.com,"CASCADIA SENIOR LIVING, LLC",7/6/21,OR
Fieldstone Cornell Landing Mc,RESIDENTIAL CARE FACILITY,50R469,9860 NW CORNELL RD,97229,Washington,5032929222,30,andrea@fieldstonecommunities.com,"CASCADIA SENIOR LIVING, LLC",7/6/21,OR
Fircrest Assisted Living,ASSISTED LIVING FACILITY,70A311,213 NE FIRCREST DR,97128,Yamhill,5034722200,29,basty.p@chancellorhealthcare.com,"CHANCELLOR HEALTH CARE OF CALIFORNIA XI, INC.",7/6/21,OR
Fircrest Senior Living,RESIDENTIAL CARE FACILITY,50R358,213 NE FIRCREST DR,97128,Yamhill,5034722200,52,fsl.bom@chancellorhealthcare.com,"CHANCELLOR HEALTH CARE OF CALIFORNIA XI, INC.",7/6/21,OR
Firwood Gardens Rcf,RESIDENTIAL CARE FACILITY,50M037,819 NE 122ND AVE,97230,Multnomah,5032520086,85,brett@firwoodgardens.com,"SAPPHIRE AT FIRWOOD, LLC",7/6/21,OR
Flagstone Retirement & Assisted Living,ASSISTED LIVING FACILITY,70M028,3325 COLUMBIA VIEW DR,97058,Wasco,5412985656,60,executivedirector@flagstoneseniorliving.com,"FLAGSTONE OPERATIONS, LLC",7/6/21,OR
Footsteps At Carman Oaks,RESIDENTIAL CARE FACILITY,50R398,3900 SW CARMAN DRIVE,97035,Clackamas,5036364700,16,censign@thespringsliving.com,"SPRINGS CARMAN OAKS OPERATOR, LLC",7/6/21,OR
Footsteps At Clackamas Woods,RESIDENTIAL CARE FACILITY,50R377,14404 SE WEBSTER ROAD,97267,Clackamas,5036543414,32,cmartin@thespringsliving.com,"TSL CLACK OPS, LLC",7/6/21,OR
Footsteps At Greer Gardens,RESIDENTIAL CARE FACILITY,50R449,1282 GOODPASTURE ISLAND ROAD,97401,Lane,5412462828,32,sdennis@thespringsliving.com,"HSRE - SPRINGS IV TRS, LLC",7/6/21,OR
Footsteps At Lake Oswego,RESIDENTIAL CARE FACILITY,50R484,3900 KRUSE WAY PLACE,97035,Clackamas,5036357000,24,yciment@thespringsliving.com,"HSRE-SPRINGS V TRS, LLC",7/6/21,OR
Footsteps At Mill Creek,RESIDENTIAL CARE FACILITY,50R399,1201 W 10TH STREET,97058,Wasco,5412961301,25,tsly@thespringsliving.com,"SPRINGS AT MILL CREEK OPERATOR, LLC",7/6/21,OR
Footsteps At Sherwood,RESIDENTIAL CARE FACILITY,50R397,15677 SW OREGON ST,97140,Washington,5036259481,31,jlara@thespringsliving.com,"SPRINGS SHERWOOD OPERATOR, LLC",7/6/21,OR
Footsteps At Tanasbourne,RESIDENTIAL CARE FACILITY,50R361,1950 NW 192ND AVE,97006,Washington,5036295500,12,vlanna@thespringsliving.com,"SPRINGS AT TANASBOURNE II, LLC",7/6/21,OR
Footsteps At Wilsonville,RESIDENTIAL CARE FACILITY,5MA217,7600 SW VLAHOS DR,97070,Clackamas,5035829414,51,rstory@thespringsliving.com,"SPRINGS WILSONVILLE OPERATOR, LLC",7/6/21,OR
Forest Glen Senior Living,RESIDENTIAL CARE FACILITY,50M209,200 SW FRONTAGE RD,97417,Douglas,5418394266,36,louise@foresthillmanorsl.com,,7/6/21,OR
Forest Grove Beehive,ASSISTED LIVING FACILITY,70M029,2122 HAWTHORNE,97116,Washington,5033576409,44,charity.jammeh@caringplaces.com,"FOREST GROVE BEEHIVE, LLC",7/6/21,OR
Forest Meadows,RESIDENTIAL CARE FACILITY,50M154,625 BARBARA DRIVE,97526,Josephine,5414798865,15,kburnsfm@gmail.com,"FOREST MEADOWS RCF, INC.",7/6/21,OR
Forum At Town Center  The,ASSISTED LIVING FACILITY,70M094,8607 SE CAUSEY AVE,97086,Clackamas,5036544500,87,tjohns@5ssl.com,"SNH AL TRS, INC",7/6/21,OR
Fountain Plaza,RESIDENTIAL CARE FACILITY,50R038,1441 MORROW ROAD,97504,Jackson,5417726005,19,manager1@fountainplaza.com,"FOUNTAIN PLAZA, L.L.C.",7/6/21,OR
Fox Hollow Independent & Assisted Living Community,ASSISTED LIVING FACILITY,70A294,2599 NE STUDIO RD,97701,Deschutes,5413832030,86,dhendrickson@regency-pacific.com,"FOX HOLLOW BEND, LLC",7/6/21,OR
Fox Hollow Residential Care Community,RESIDENTIAL CARE FACILITY,50R046,5320 FOX HOLLOW RD,97405,Lane,5413438439,54,bwingfield@foxhollowcare.com,"FOX HOLLOW CARE, INC",7/6/21,OR
Friendsview Retirement Community,RESIDENTIAL CARE FACILITY,50R040,1301 E FULTON ST,97132,Yamhill,5035383144,155,kwatson@friendsview.org,,7/6/21,OR
Gardens At Laurelhurst Village  The,ASSISTED LIVING FACILITY,70M063,3060 SE STARK ST,97214,Multnomah,5035354932,25,ksele@avamere.com,"LAURELHURST OPERATIONS, LLC",7/6/21,OR
Gardens  The,RESIDENTIAL CARE FACILITY,50R311,2690 NE YACHT AVE,97367,Lincoln,5419947400,43,eknepperconsult@gmai.com,"LAKEVIEW OPERATIONS, LLC",7/6/21,OR
Gateway 2 Healthier Living,RESIDENTIAL CARE FACILITY,50R388,608 N CLOVERLEAF LOOP,97477,Lane,5417449817,10,mkinkade@gatewayliving.com,"GATEWAY ASSISTED LIVING, INC",7/6/21,OR
Gateway Gardens,RESIDENTIAL CARE FACILITY,50R304,178 COMMONS DRIVE,97401,Lane,5413021283,90,sreedt@gatehudmanwayliving.com,,7/6/21,OR
Gateway Living,RESIDENTIAL CARE FACILITY,50R042,611 N CLOVERLEAF LOOP,97477,Lane,5417449817,128,jknox@gatewayliving.com,,7/6/21,OR
Gibson Creek Retirement & Asst Living Residence,ASSISTED LIVING FACILITY,70A030,1615 BRUSH COLLEGE RD NW,97304,Polk,5033618599,65,executivedirectorgc@livebsl.com,"TLC WEST, L.L.C.",7/6/21,OR
Gilman Park Assisted Living,ASSISTED LIVING FACILITY,70A031,2205 GILMAN DRIVE,97045,Clackamas,5036575700,101,administrator@gilmanpark.com,"FM GILMAN, LLC",7/6/21,OR
Golden Acres Retirement Center,RESIDENTIAL CARE FACILITY,50M044,12711 SE HOLGATE BLVD,97236,Multnomah,5037616421,50,goldenacresrcf@aol.com,SANDRA TIDWELL,7/6/21,OR
Golden Age Living  Llc,RESIDENTIAL CARE FACILITY,50R319,3484 SE HILL ROAD,97267,Clackamas,5036528000,15,persidas@yahoo.com,,7/6/21,OR
Grace Manor Residential Care Community,RESIDENTIAL CARE FACILITY,50R402,2811 BAILEY LANE,97401,Lane,5416862721,21,daniel@gracemanorcare.com,GRACE MANOR SENIOR LIVING,7/6/21,OR
Grande Ronde Retirement Resd,ASSISTED LIVING FACILITY,70M033,1809 GEKELER LANE,97850,Union,5419634700,76,administrator@granderonderetirement.com,"FM GRANDE, LLC",7/6/21,OR
Greenridge Estates,ASSISTED LIVING FACILITY,70M034,4 GREENRIDGE DRIVE,97035,Clackamas,5036358818,79,monique@greenwoodestates.com,"GREENRIDGE ESTATES OPERATING, LLC",7/6/21,OR
Griffin House Llc The,RESIDENTIAL CARE FACILITY,50R387,6630 ALDERBROOK ROAD,97141,Tillamook,5038010418,28,sharon@thegriffinhouse.org,THE GRIFFIN HOUSE LLC,7/6/21,OR
Grove At Pear Valley Memory Care  The,RESIDENTIAL CARE FACILITY,50R467,800 N HASKELL ST,97502,Jackson,5416303038,24,apickett@pearvalleysl.com,"PC CENTRAL POINT, LLC",7/6/21,OR
Guardian Angel Homes,ASSISTED LIVING FACILITY,70M079,540 NW 12TH ST,97838,Umatilla,5415649070,40,hermiston@gahangel.com,"HERMISTON HEALTHCARE, LLC",7/6/21,OR
Guardian Angel Homes Memory Care,RESIDENTIAL CARE FACILITY,50M428,540 NW 12TH ST,97838,Umatilla,5415649070,32,stephanie_perez@live.com,"HERMISTON HEALTHCARE, LLC",7/6/21,OR
Harmony Guest Home  Inc,RESIDENTIAL CARE FACILITY,50M049,351 SE 5TH ST,97123,Washington,5036483413,62,lug55@yahoo.com,,7/6/21,OR
Harmony House Of Salem,RESIDENTIAL CARE FACILITY,50R356,3062 HYACINTH ST NE,97301,Marion,5035880722,15,michelen@pacificlivingcenters.com,"PACIFIC LIVING CENTERS, INC.",7/6/21,OR
Harmony Living  Inc,RESIDENTIAL CARE FACILITY,5ME248,1535 SW SHIRLEY ANN DRIVE,97128,Yamhill,5034729997,16,cthompson_harmonyliving@yahoo.com,,7/6/21,OR
Harvest Homes  Inc,ASSISTED LIVING FACILITY,70A036,6921 N ROBERTS AVENUE,97203,Multnomah,5032862423,49,mwestwood@harvesthomes.us,,7/6/21,OR
Harvest Homes Rcf,RESIDENTIAL CARE FACILITY,5MA051,6921 N ROBERTS AVE,97203,Multnomah,5032862423,40,jcole@harvesthomes.us,"HARVEST HOMES, INC",7/6/21,OR
Haven House Retirement Center,RESIDENTIAL CARE FACILITY,50M201,714 MAIN STREET,97830,Wheeler,5417634651,19,havenhouse@hotmail.com,"FOSSIL ELDERLY HOUSING COMMITTEE, INC",7/6/21,OR
Hawks Ridge Senior Assisted Living Community,ASSISTED LIVING FACILITY,70A269,1795 8TH STREET,97031,Hood River,5413874087,85,administrator@hawksridgeassistedliving.com,LSREF GOLDEN OPS 26 (OR) LLC,7/6/21,OR
Hawthorne Gardens Memory Care Community,RESIDENTIAL CARE FACILITY,50R350,2828 SE TAYLOR ST,97214,Multnomah,9712220396,35,imarchbanks@seniorlifestyle.com,"SLH PORTLAND MANAGER, LLC",7/6/21,OR
Hawthorne Gardens Senior Living Community,ASSISTED LIVING FACILITY,70A309,2828 SE TAYLOR ST,97214,Multnomah,9712220396,42,jgange@seniorlifestyle.com,"SLH PORTLAND MANAGER, LLC",7/6/21,OR
Hawthorne House Of Salem,RESIDENTIAL CARE FACILITY,50R300,3042 HYACINTH ST NE,97303,Marion,5037632722,15,hawthorne@pacificlivingcenters.com,,7/6/21,OR
Hawthorne House  The,RESIDENTIAL CARE FACILITY,50R376,2635 21ST AVENUE,97116,Washington,5033576409,22,charity.jammeh@caringplaces.com,"FOREST GROVE BEEHIVE, LLC",7/6/21,OR
Hearthstone At Murrayhill,RESIDENTIAL CARE FACILITY,50R294,10880 SW DAVIES ROAD,97008,Washington,5035200911,142,tom@hearthstoneccc.com,"HEARTHSTONE AT MURRAYHILL, LLC",7/6/21,OR
Hearthstone At Murrayhill Assisted Living,ASSISTED LIVING FACILITY,70A273,10880 SW DAVIES ROAD,97008,Washington,5035200911,80,pamela@hearthstoneccc.com,"HEARTHSTONE AT MURRAYHILL, LLC",7/6/21,OR
Hearthstone Of Beaverton,ASSISTED LIVING FACILITY,70M037,12520 SW HART RD,97008,Washington,5036410911,75,katie@hearthstoneofbeaverton.com,"HEARTHSTONE OF BEAVERTON, LLC",7/6/21,OR
Heartwood Place,RESIDENTIAL CARE FACILITY,50R409,2325 BOONES FERRY ROAD,97071,Marion,5039809990,48,lpomeroy@heartwoodplacemc.com,WMC OPERATING COMPANY LLC,7/6/21,OR
Heritage House Of Woodburn,RESIDENTIAL CARE FACILITY,50R332,943 N CASCADE DR,97071,Marion,5039821506,15,plcwoodburn1@wbcable.net,"PACIFIC LIVING CENTERS, INC",7/6/21,OR
Heron Pointe Senior Living,ASSISTED LIVING FACILITY,70A201,504 GWINN ST  E,97361,Polk,5038386850,74,ahynes@heronpointesl.com,"CSL - MONMOUTH I, LLC",7/6/21,OR
High Lookee Lodge,ASSISTED LIVING FACILITY,70A241,2321 OLLALLIE LANE   PO BOX 6,97761,Jefferson,5415531182,53,greg.tippett@wstribes.org,THE CONFEDERATED TRIBES OF THE WM SPRGS RS,7/6/21,OR
Hillside Care Manor,RESIDENTIAL CARE FACILITY,50R369,800 NW 25TH AVE,97210,Multnomah,5036885080,40,adam@peaksandvalleysnw.com,,7/6/21,OR
Hillside Place,ASSISTED LIVING FACILITY,70A041,1400 SE 19TH,97367,Lincoln,5419948028,37,ljunod@enlivant.com,"CARING PLACES NORTHWEST, LLC",7/6/21,OR
Holi Senior Living,RESIDENTIAL CARE FACILITY,50R490,188 NE 77TH AVE,97124,Washington,5037437210,90,lug55@yahoo.com,HARMONY ORENCO LIVING INC.,7/6/21,OR
Holladay Park Plaza,RESIDENTIAL CARE FACILITY,50R230,1300 NE 16TH,97232,Multnomah,5032886671,44,npavlik@retirement.org,"HOLLADAY PARK PLAZA, INC.",7/6/21,OR
