Facility ID,Facility Name,City,State,County,Email Address,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
AL0901,Victorian Estates,Yukon,OK,Canadian,lschaefer@stonegatesl.com,4053501055,70,ASSISTED LIVING FACILITIES,7/2/21
AL5534,Village At Oakwood,Oklahoma City,OK,Oklahoma,jwilson@villageatoakwood.com,4056056353,110,ASSISTED LIVING FACILITIES,7/2/21
AL1002,Village Lodge Of Ardmore Village,Ardmore,OK,Carter,jimmie@ardmore.com,5802238400,58,ASSISTED LIVING FACILITIES,7/2/21
AL1412,Village On The Park - Oklahoma City,Oklahoma City,OK,Cleveland,kproctor@rcmseniorliving.com,4056928700,64,ASSISTED LIVING FACILITIES,7/2/21
AL5514,Villagio Of Oklahoma City,Oklahoma City,OK,Oklahoma,lstewart@villagioliving.com,4057556469,133,ASSISTED LIVING FACILITIES,7/2/21
AL2003,Weatherwood Assisted Living And Memory Care,Weatherford,OK,Custer,alagrange@seniorlifestyle.com,5807742955,60,ASSISTED LIVING FACILITIES,7/2/21
AL5531,"Wellington Parke, Llc",Del City,OK,Oklahoma,gemini@coxinet.net,4056772273,92,ASSISTED LIVING FACILITIES,7/2/21
AL6904,West Wind Assisted Living,Marlow,OK,Stephens,westwindmarlow@gmail.com,5806581200,55,ASSISTED LIVING FACILITIES,7/2/21
AL4401,Westbrook Gardens Slc,Purcell,OK,Mcclain,holly@ncsolutions.net,4055271365,88,ASSISTED LIVING FACILITIES,7/2/21
AL090201,Willowood At Mustang Assisted Living And Memory Ca,Mustang,OK,Canadian,pmilligan@hlcenters.com,4053761200,79,ASSISTED LIVING FACILITIES,7/2/21
AL3801,Woodland Gardens Assisted Living,Hobart,OK,Kiowa,christinanull@woodlandgardensal.com,5807266635,40,ASSISTED LIVING FACILITIES,7/2/21
CC7203AL,Zarrow Pointe,Tulsa,OK,Tulsa,jm@tjrhcc.org,9184968333,61,ASSISTED LIVING FACILITIES,7/2/21
