State,FIPS,County,Population (2010),Latitude,Longitude
GA,13145,Harris,"32,024",+32.731549°,–84.912432°
GA,13147,Hart,"25,213",+34.348733°,–82.963290°
GA,13149,Heard,"11,834",+33.290968°,–85.139594°
GA,13151,Henry,"203,922",+33.452881°,–84.154440°
GA,13153,Houston,"139,900",+32.458381°,–83.662856°
GA,13155,Irwin,"9,538",+31.604306°,–83.277037°
GA,13157,Jackson,"60,485",+34.134157°,–83.565133°
GA,13159,Jasper,"13,900",+33.314905°,–83.687892°
GA,13161,Jeff Davis,"15,068",+31.811615°,–82.636825°
GA,13163,Jefferson,"16,930",+33.051874°,–82.419050°
GA,13165,Jenkins,"8,340",+32.794563°,–81.971524°
GA,13167,Johnson,"9,980",+32.689831°,–82.661354°
GA,13169,Jones,"28,669",+33.020226°,–83.562339°
GA,13171,Lamar,"18,317",+33.074460°,–84.146721°
GA,13173,Lanier,"10,078",+31.038197°,–83.063164°
GA,13175,Laurens,"48,434",+32.393220°,–82.926317°
GA,13177,Lee,"28,298",+31.818419°,–84.146681°
GA,13179,Liberty,"63,453",+31.807245°,–81.457969°
GA,13181,Lincoln,"7,996",+33.792151°,–82.448299°
GA,13183,Long,"14,464",+31.749563°,–81.742870°
GA,13185,Lowndes,"109,233",+30.833680°,–83.268967°
GA,13187,Lumpkin,"29,966",+34.568149°,–83.998828°
GA,13189,McDuffie,"21,875",+33.482464°,–82.473188°
GA,13191,McIntosh,"14,333",+31.482978°,–81.370199°
GA,13193,Macon,"14,740",+32.366216°,–84.052162°
GA,13195,Madison,"28,120",+34.128486°,–83.203637°
GA,13197,Marion,"8,742",+32.359538°,–84.529561°
GA,13199,Meriwether,"21,992",+33.030220°,–84.663279°
GA,13201,Miller,"6,125",+31.162908°,–84.730386°
GA,13205,Mitchell,"23,498",+31.228940°,–84.192407°
GA,13207,Monroe,"26,424",+33.017435°,–83.922938°
GA,13209,Montgomery,"9,123",+32.172108°,–82.533349°
GA,13211,Morgan,"17,868",+33.593732°,–83.492324°
GA,13213,Murray,"39,628",+34.797097°,–84.737990°
GA,13215,Muscogee,"189,885",+32.510197°,–84.874946°
GA,13217,Newton,"99,958",+33.544046°,–83.855189°
GA,13219,Oconee,"32,808",+33.834125°,–83.437728°
GA,13221,Oglethorpe,"14,899",+33.866806°,–83.074081°
GA,13223,Paulding,"142,324",+33.920903°,–84.866979°
GA,13225,Peach,"27,695",+32.571324°,–83.831978°
GA,13227,Pickens,"29,431",+34.456621°,–84.490256°
GA,13229,Pierce,"18,758",+31.353988°,–82.210427°
GA,13231,Pike,"17,869",+33.090769°,–84.386627°
GA,13233,Polk,"41,475",+33.995961°,–85.186826°
GA,13235,Pulaski,"12,010",+32.238794°,–83.481855°
GA,13237,Putnam,"21,218",+33.321061°,–83.371790°
GA,13239,Quitman,"2,513",+31.861487°,–85.009317°
GA,13241,Rabun,"16,276",+34.883026°,–83.404735°
GA,13243,Randolph,"7,719",+31.762651°,–84.752311°
GA,13245,Richmond,"200,549",+33.361487°,–82.074998°
GA,13247,Rockdale,"85,215",+33.652081°,–84.026370°
GA,13249,Schley,"5,010",+32.263441°,–84.322724°
GA,13251,Screven,"14,593",+32.744751°,–81.617585°
GA,13253,Seminole,"8,729",+30.933894°,–84.867592°
GA,13255,Spalding,"64,073",+33.262389°,–84.286067°
GA,13257,Stephens,"26,175",+34.552914°,–83.290216°
GA,13259,Stewart,"6,058",+32.073225°,–84.834912°
GA,13261,Sumter,"32,819",+32.042203°,–84.204283°
GA,13263,Talbot,"6,865",+32.704603°,–84.530029°
GA,13265,Taliaferro,"1,717",+33.559314°,–82.875208°
GA,13267,Tattnall,"25,520",+32.043768°,–82.059208°
GA,13269,Taylor,"8,906",+32.554667°,–84.251426°
GA,13271,Telfair,"16,500",+31.913639°,–82.931062°
GA,13273,Terrell,"9,315",+31.777191°,–84.439446°
GA,13275,Thomas,"44,720",+30.864616°,–83.919783°
GA,13277,Tift,"40,118",+31.457003°,–83.525931°
GA,13279,Toombs,"27,223",+32.126698°,–82.332071°
GA,13281,Towns,"10,471",+34.902650°,–83.732158°
GA,13283,Treutlen,"6,885",+32.409586°,–82.570882°
GA,13285,Troup,"67,044",+33.034482°,–85.028360°
GA,13287,Turner,"8,930",+31.718232°,–83.628567°
GA,13289,Twiggs,"9,023",+32.665847°,–83.425879°
GA,13291,Union,"21,356",+34.833770°,–83.989573°
GA,13293,Upson,"27,153",+32.881837°,–84.292281°
GA,13295,Walker,"68,756",+34.735827°,–85.305385°
GA,13297,Walton,"83,768",+33.782649°,–83.734215°
GA,13299,Ware,"36,312",+31.050881°,–82.421507°
GA,13301,Warren,"5,834",+33.419169°,–82.688012°
GA,13303,Washington,"21,187",+32.971848°,–82.798112°
GA,13305,Wayne,"30,099",+31.547845°,–81.912376°
GA,13307,Webster,"2,799",+32.046554°,–84.553218°
GA,13309,Wheeler,"7,421",+32.109276°,–82.738701°
GA,13311,White,"27,144",+34.643677°,–83.743713°
GA,13313,Whitfield,"102,599",+34.801726°,–84.968541°
GA,13315,Wilcox,"9,255",+31.962717°,–83.438262°
GA,13317,Wilkes,"10,593",+33.779040°,–82.747922°
GA,13319,Wilkinson,"9,563",+32.804321°,–83.175587°
GA,13321,Worth,"21,679",+31.551773°,–83.849960°
HI,15001,Hawaiʻi,"185,079",+19.597764°,–155.502443°
HI,15003,Honolulu,"953,207",+21.461364°,–158.201976°
HI,15005,Kalawao [8],90,+21.218764°,–156.974010°
HI,15007,Kauaʻi,"67,091",+22.012038°,–159.705965°
HI,15009,Maui,"154,834",+20.855931°,–156.601550°
ID,16001,Ada,"392,365",+43.447861°,–116.244456°
ID,16003,Adams,"3,976",+44.884583°,–116.431873°
ID,16005,Bannock,"82,839",+42.692939°,–112.228986°
ID,16007,Bear Lake,"5,986",+42.285833°,–111.327445°
ID,16009,Benewah,"9,285",+47.218451°,–116.633541°
ID,16011,Bingham,"45,607",+43.216357°,–112.399206°
ID,16013,Blaine,"21,376",+43.394482°,–113.955290°
ID,16015,Boise,"7,028",+43.987275°,–115.715111°
ID,16017,Bonner,"40,877",+48.312512°,–116.596940°
ID,16019,Bonneville,"104,234",+43.395171°,–111.621878°
ID,16021,Boundary,"10,972",+48.773065°,–116.524619°
ID,16023,Butte,"2,891",+43.685100°,–113.177627°
ID,16025,Camas,"1,117",+43.463396°,–114.804427°
ID,16027,Canyon,"188,923",+43.623051°,–116.708527°
ID,16029,Caribou,"6,963",+42.786273°,–111.544172°
ID,16031,Cassia,"22,952",+42.288635°,–113.605498°
ID,16033,Clark,982,+44.286251°,–112.361120°
ID,16035,Clearwater,"8,761",+46.672570°,–115.653500°
ID,16037,Custer,"4,368",+44.273341°,–114.252251°
ID,16039,Elmore,"27,038",+43.394826°,–115.470751°
ID,16041,Franklin,"12,786",+42.173589°,–111.822955°
ID,16043,Fremont,"13,242",+44.218091°,–111.484429°
ID,16045,Gem,"16,719",+44.061473°,–116.398784°
ID,16047,Gooding,"15,464",+42.973185°,–114.821420°
ID,16049,Idaho,"16,267",+45.849237°,–115.467376°
ID,16051,Jefferson,"26,140",+43.796965°,–112.318588°
ID,16053,Jerome,"22,374",+42.691172°,–114.263009°
ID,16055,Kootenai,"138,494",+47.677113°,–116.694918°
ID,16057,Latah,"37,244",+46.818920°,–116.730974°
ID,16059,Lemhi,"7,936",+44.928789°,–113.887841°
ID,16061,Lewis,"3,821",+46.236328°,–116.423760°
ID,16063,Lincoln,"5,208",+42.986181°,–114.153899°
ID,16065,Madison,"37,536",+43.789709°,–111.656550°
ID,16067,Minidoka,"20,069",+42.856937°,–113.640010°
ID,16069,Nez Perce,"39,265",+46.333766°,–116.760903°
ID,16071,Oneida,"4,286",+42.183890°,–112.520465°
ID,16073,Owyhee,"11,526",+42.593063°,–116.142655°
ID,16075,Payette,"22,623",+44.002740°,–116.748655°
ID,16077,Power,"7,817",+42.694126°,–112.844407°
ID,16079,Shoshone,"12,765",+47.347694°,–115.885092°
ID,16081,Teton,"10,170",+43.760994°,–111.211765°
ID,16083,Twin Falls,"77,230",+42.352309°,–114.665639°
ID,16085,Valley,"9,862",+44.771532°,–115.637875°
ID,16087,Washington,"10,198",+44.448213°,–116.797830°
IL,17001,Adams,"67,103",+39.986053°,–91.194961°
IL,17003,Alexander,"8,238",+37.183683°,–89.349506°
IL,17005,Bond,"17,768",+38.885924°,–89.436592°
IL,17007,Boone,"54,165",+42.318983°,–88.824295°
IL,17009,Brown,"6,937",+39.962069°,–90.750310°
IL,17011,Bureau,"34,978",+41.401304°,–89.528377°
IL,17013,Calhoun,"5,089",+39.164262°,–90.666295°
IL,17015,Carroll,"15,387",+42.059084°,–89.926485°
IL,17017,Cass,"13,642",+39.969202°,–90.245705°
IL,17019,Champaign,"201,081",+40.139150°,–88.197201°
IL,17021,Christian,"34,800",+39.545524°,–89.279593°
IL,17023,Clark,"16,335",+39.332364°,–87.791687°
IL,17025,Clay,"13,815",+38.747312°,–88.483789°
IL,17027,Clinton,"37,762",+38.606423°,–89.423136°
IL,17029,Coles,"53,873",+39.513680°,–88.220782°
IL,17031,Cook,"5,194,675",+41.894294°,–87.645455°
IL,17033,Crawford,"19,817",+39.003730°,–87.757172°
IL,17035,Cumberland,"11,048",+39.273121°,–88.240619°
IL,17037,DeKalb,"105,160",+41.894613°,–88.768991°
IL,17039,De Witt,"16,561",+40.181499°,–88.901853°
IL,17041,Douglas,"19,980",+39.766078°,–88.222866°
IL,17043,DuPage,"916,924",+41.852058°,–88.086038°
IL,17045,Edgar,"18,576",+39.679037°,–87.747110°
IL,17047,Edwards,"6,721",+38.417095°,–88.047941°
IL,17049,Effingham,"34,242",+39.047694°,–88.592786°
IL,17051,Fayette,"22,140",+39.001125°,–89.017923°
IL,17053,Ford,"14,081",+40.594423°,–88.224746°
IL,17055,Franklin,"39,561",+37.991848°,–88.926246°
IL,17057,Fulton,"37,069",+40.465688°,–90.206793°
IL,17059,Gallatin,"5,589",+37.768677°,–88.227964°
IL,17061,Greene,"13,886",+39.355444°,–90.387757°
IL,17063,Grundy,"50,063",+41.292410°,–88.401055°
IL,17065,Hamilton,"8,457",+38.085226°,–88.539005°
IL,17067,Hancock,"19,104",+40.405792°,–91.167988°
IL,17069,Hardin,"4,320",+37.517852°,–88.266148°
IL,17071,Henderson,"7,331",+40.815141°,–90.938480°
IL,17073,Henry,"50,486",+41.350021°,–90.130838°
IL,17075,Iroquois,"29,718",+40.748867°,–87.833601°
IL,17077,Jackson,"60,218",+37.786096°,–89.381212°
IL,17079,Jasper,"9,698",+39.004874°,–88.150763°
IL,17081,Jefferson,"38,827",+38.300780°,–88.924210°
IL,17083,Jersey,"22,985",+39.080192°,–90.361365°
IL,17085,Jo Daviess,"22,678",+42.362391°,–90.211471°
IL,17087,Johnson,"12,582",+37.460815°,–88.882962°
IL,17089,Kane,"515,269",+41.939594°,–88.428040°
IL,17091,Kankakee,"113,449",+41.139494°,–87.861125°
IL,17093,Kendall,"114,736",+41.588140°,–88.430626°
IL,17095,Knox,"52,919",+40.930941°,–90.213761°
IL,17097,Lake,"703,462",+42.326444°,–87.436118°
IL,17099,La Salle,"113,924",+41.343341°,–88.885931°
IL,17101,Lawrence,"16,833",+38.718954°,–87.730221°
IL,17103,Lee,"36,031",+41.747442°,–89.299351°
IL,17105,Livingston,"38,950",+40.894376°,–88.552852°
IL,17107,Logan,"30,305",+40.129070°,–89.365308°
IL,17109,McDonough,"32,612",+40.455789°,–90.677579°
IL,17111,McHenry,"308,760",+42.324298°,–88.452245°
IL,17113,McLean,"169,572",+40.494559°,–88.844539°
IL,17115,Macon,"110,768",+39.860237°,–88.961529°
IL,17117,Macoupin,"47,765",+39.265900°,–89.926344°
IL,17119,Madison,"269,282",+38.827082°,–89.900195°
IL,17121,Marion,"39,437",+38.648396°,–88.920221°
IL,17123,Marshall,"12,640",+41.031119°,–89.342371°
IL,17125,Mason,"14,666",+40.236993°,–89.913575°
IL,17127,Massac,"15,429",+37.216119°,–88.705658°
IL,17129,Menard,"12,705",+40.022569°,–89.794133°
IL,17131,Mercer,"16,434",+41.204791°,–90.741433°
IL,17133,Monroe,"32,957",+38.277983°,–90.179078°
IL,17135,Montgomery,"30,104",+39.228092°,–89.478007°
IL,17137,Morgan,"35,547",+39.716806°,–90.202277°
IL,17139,Moultrie,"14,846",+39.636896°,–88.625726°
IL,17141,Ogle,"53,497",+42.041884°,–89.320176°
IL,17143,Peoria,"186,494",+40.785999°,–89.767358°
IL,17145,Perry,"22,350",+38.084385°,–89.368487°
IL,17147,Piatt,"16,729",+40.009056°,–88.592328°
IL,17149,Pike,"16,430",+39.625106°,–90.889034°
IL,17151,Pope,"4,470",+37.417169°,–88.542374°
IL,17153,Pulaski,"6,161",+37.215615°,–89.127755°
IL,17155,Putnam,"6,006",+41.198940°,–89.298386°
IL,17157,Randolph,"33,476",+38.056515°,–89.821210°
IL,17159,Richland,"16,233",+38.711550°,–88.085698°
IL,17161,Rock Island,"147,546",+41.468404°,–90.572203°
IL,17163,St. Clair,"270,056",+38.470198°,–89.928546°
IL,17165,Saline,"24,913",+37.751653°,–88.545031°
IL,17167,Sangamon,"197,465",+39.756378°,–89.662311°
IL,17169,Schuyler,"7,544",+40.156905°,–90.613464°
IL,17171,Scott,"5,355",+39.636980°,–90.477759°
IL,17173,Shelby,"22,363",+39.384926°,–88.798862°
IL,17175,Stark,"5,994",+41.096908°,–89.797411°
IL,17177,Stephenson,"47,711",+42.349726°,–89.665994°
IL,17179,Tazewell,"135,394",+40.508074°,–89.516260°
IL,17181,Union,"17,808",+37.475104°,–89.252875°
IL,17183,Vermilion,"81,625",+40.186740°,–87.726772°
IL,17185,Wabash,"11,947",+38.445821°,–87.839167°
IL,17187,Warren,"17,707",+40.850441°,–90.620223°
IL,17189,Washington,"14,716",+38.353141°,–89.417187°
IL,17191,Wayne,"16,760",+38.431948°,–88.432129°
IL,17193,White,"14,665",+38.087372°,–88.178585°
IL,17195,Whiteside,"58,498",+41.750571°,–89.910957°
IL,17197,Will,"677,560",+41.448474°,–87.978456°
IL,17199,Williamson,"66,357",+37.730353°,–88.930018°
IL,17201,Winnebago,"295,266",+42.337396°,–89.161205°
IL,17203,Woodford,"38,664",+40.789596°,–89.210301°
IN,18001,Adams,"34,387",+40.745733°,–84.936131°
IN,18003,Allen,"355,329",+41.091855°,–85.072230°
IN,18005,Bartholomew,"76,794",+39.205843°,–85.897999°
IN,18007,Benton,"8,854",+40.608253°,–87.315479°
IN,18009,Blackford,"12,766",+40.472672°,–85.323730°
IN,18011,Boone,"56,640",+40.050892°,–86.469014°
IN,18013,Brown,"15,242",+39.192585°,–86.239410°
IN,18015,Carroll,"20,155",+40.584980°,–86.565141°
IN,18017,Cass,"38,966",+40.753799°,–86.355169°
IN,18019,Clark,"110,232",+38.476217°,–85.711122°
IN,18021,Clay,"26,890",+39.393951°,–87.115837°
IN,18023,Clinton,"33,224",+40.305944°,–86.477567°
IN,18025,Crawford,"10,713",+38.289433°,–86.440871°
IN,18027,Daviess,"31,648",+38.696155°,–87.076988°
IN,18029,Dearborn,"50,047",+39.151491°,–84.973460°
IN,18031,Decatur,"25,740",+39.305980°,–85.499831°
IN,18033,DeKalb,"42,223",+41.401189°,–85.000185°
IN,18035,Delaware,"117,671",+40.227165°,–85.398856°
IN,18037,Dubois,"41,889",+38.373344°,–86.873385°
IN,18039,Elkhart,"197,559",+41.600693°,–85.863986°
IN,18041,Fayette,"24,277",+39.639655°,–85.185032°
IN,18043,Floyd,"74,578",+38.317937°,–85.911474°
IN,18045,Fountain,"17,240",+40.121282°,–87.234806°
IN,18047,Franklin,"23,087",+39.409762°,–85.066964°
IN,18049,Fulton,"20,836",+41.050384°,–86.265006°
IN,18051,Gibson,"33,503",+38.317413°,–87.580566°
IN,18053,Grant,"70,061",+40.515758°,–85.654946°
IN,18055,Greene,"33,165",+39.048600°,–87.005245°
IN,18057,Hamilton,"274,569",+40.049870°,–86.020586°
IN,18059,Hancock,"70,002",+39.822604°,–85.772904°
IN,18061,Harrison,"39,364",+38.186440°,–86.103681°
IN,18063,Hendricks,"145,448",+39.768749°,–86.510287°
IN,18065,Henry,"49,462",+39.929576°,–85.397338°
IN,18067,Howard,"82,752",+40.483537°,–86.114118°
IN,18069,Huntington,"37,124",+40.826394°,–85.478598°
IN,18071,Jackson,"42,376",+38.911957°,–86.042516°
IN,18073,Jasper,"33,478",+41.017688°,–87.118814°
IN,18075,Jay,"21,253",+40.434972°,–85.003380°
IN,18077,Jefferson,"32,428",+38.783604°,–85.440090°
IN,18079,Jennings,"28,525",+38.996234°,–85.628111°
IN,18081,Johnson,"139,654",+39.495986°,–86.094600°
IN,18083,Knox,"38,440",+38.688663°,–87.420182°
IN,18085,Kosciusko,"77,358",+41.244293°,–85.861575°
IN,18087,LaGrange,"37,128",+41.642468°,–85.426302°
IN,18089,Lake,"496,005",+41.472239°,–87.374337°
IN,18091,LaPorte,"111,467",+41.549011°,–86.744729°
IN,18093,Lawrence,"46,134",+38.839815°,–86.487820°
IN,18095,Madison,"131,636",+40.166203°,–85.722454°
IN,18097,Marion,"903,393",+39.782976°,–86.135794°
IN,18099,Marshall,"47,051",+41.325003°,–86.269036°
IN,18101,Martin,"10,334",+38.705322°,–86.801847°
IN,18103,Miami,"36,903",+40.772881°,–86.044259°
IN,18105,Monroe,"137,974",+39.160751°,–86.523325°
IN,18107,Montgomery,"38,124",+40.040296°,–86.892715°
IN,18109,Morgan,"68,894",+39.482646°,–86.447457°
IN,18111,Newton,"14,244",+40.962399°,–87.402172°
IN,18113,Noble,"47,536",+41.400794°,–85.417850°
IN,18115,Ohio,"6,128",+38.940527°,–84.964299°
IN,18117,Orange,"19,840",+38.547381°,–86.489257°
IN,18119,Owen,"21,575",+39.317339°,–86.838845°
IN,18121,Parke,"17,339",+39.774250°,–87.196950°
IN,18123,Perry,"19,338",+38.081436°,–86.626540°
IN,18125,Pike,"12,845",+38.397898°,–87.232532°
IN,18127,Porter,"164,343",+41.509922°,–87.071308°
IN,18129,Posey,"25,910",+38.027614°,–87.868653°
IN,18131,Pulaski,"13,402",+41.045272°,–86.692538°
IN,18133,Putnam,"37,963",+39.665545°,–86.853325°
IN,18135,Randolph,"26,171",+40.164414°,–85.005004°
IN,18137,Ripley,"28,818",+39.100230°,–85.260541°
IN,18139,Rush,"17,392",+39.622312°,–85.466527°
IN,18141,St. Joseph,"266,931",+41.617699°,–86.288159°
IN,18143,Scott,"24,181",+38.679431°,–85.751898°
IN,18145,Shelby,"44,436",+39.524135°,–85.792174°
IN,18147,Spencer,"20,952",+38.009789°,–87.010645°
IN,18149,Starke,"23,363",+41.283220°,–86.647570°
IN,18151,Steuben,"34,185",+41.643437°,–85.002467°
IN,18153,Sullivan,"21,475",+39.089225°,–87.415843°
IN,18155,Switzerland,"10,613",+38.825846°,–85.029679°
IN,18157,Tippecanoe,"172,780",+40.389260°,–86.893943°
IN,18159,Tipton,"15,936",+40.310229°,–86.056207°
IN,18161,Union,"7,516",+39.623111°,–84.925152°
IN,18163,Vanderburgh,"179,703",+38.020070°,–87.586166°
IN,18165,Vermillion,"16,212",+39.854045°,–87.462071°
IN,18167,Vigo,"107,848",+39.429143°,–87.390375°
IN,18169,Wabash,"32,888",+40.843717°,–85.795175°
IN,18171,Warren,"8,508",+40.352658°,–87.375847°
IN,18173,Warrick,"59,689",+38.097764°,–87.272023°
IN,18175,Washington,"28,262",+38.600613°,–86.104751°
IN,18177,Wayne,"68,917",+39.863091°,–85.006735°
IN,18179,Wells,"27,636",+40.735273°,–85.212974°
IN,18181,White,"24,643",+40.750950°,–86.864293°
IN,18183,Whitley,"33,292",+41.136426°,–85.501892°
IA,19001,Adair,"7,682",+41.328528°,–94.478164°
IA,19003,Adams,"4,029",+41.021656°,–94.696906°
IA,19005,Allamakee,"14,330",+43.274964°,–91.382751°
IA,19007,Appanoose,"12,887",+40.744683°,–92.870345°
IA,19009,Audubon,"6,119",+41.679178°,–94.904312°
IA,19011,Benton,"26,076",+42.092547°,–92.057630°
IA,19013,Black Hawk,"131,090",+42.472888°,–92.306059°
IA,19015,Boone,"26,306",+42.038601°,–93.939138°
IA,19017,Bremer,"24,276",+42.780890°,–92.327586°
IA,19019,Buchanan,"20,958",+42.470328°,–91.838666°
IA,19021,Buena Vista,"20,260",+42.741522°,–95.141433°
IA,19023,Butler,"14,867",+42.734708°,–92.780066°
IA,19025,Calhoun,"9,670",+42.386170°,–94.643683°
IA,19027,Carroll,"20,816",+42.039492°,–94.867647°
IA,19029,Cass,"13,956",+41.333824°,–94.933302°
IA,19031,Cedar,"18,499",+41.772355°,–91.132190°
IA,19033,Cerro Gordo,"44,151",+43.075171°,–93.251266°
IA,19035,Cherokee,"12,072",+42.742738°,–95.633262°
IA,19037,Chickasaw,"12,439",+43.059741°,–92.317210°
IA,19039,Clarke,"9,286",+41.029191°,–93.784096°
IA,19041,Clay,"16,667",+43.079822°,–95.149726°
IA,19043,Clayton,"18,129",+42.840998°,–91.323511°
IA,19045,Clinton,"49,116",+41.898073°,–90.534243°
IA,19047,Crawford,"17,096",+42.043119°,–95.389090°
IA,19049,Dallas,"66,135",+41.685321°,–94.040707°
IA,19051,Davis,"8,753",+40.748089°,–92.410345°
IA,19053,Decatur,"8,457",+40.736379°,–93.784580°
IA,19055,Delaware,"17,764",+42.473003°,–91.359443°
IA,19057,Des Moines,"40,325",+40.915339°,–91.186925°
IA,19059,Dickinson,"16,667",+43.389611°,–95.196057°
IA,19061,Dubuque,"93,653",+42.463481°,–90.878771°
IA,19063,Emmet,"10,302",+43.377984°,–94.669370°
IA,19065,Fayette,"20,880",+42.864450°,–91.839373°
IA,19067,Floyd,"16,303",+43.052741°,–92.787367°
IA,19069,Franklin,"10,680",+42.736549°,–93.271425°
IA,19071,Fremont,"7,441",+40.743726°,–95.599516°
IA,19073,Greene,"9,336",+42.042494°,–94.388703°
IA,19075,Grundy,"12,453",+42.403323°,–92.790261°
IA,19077,Guthrie,"10,954",+41.683573°,–94.501272°
IA,19079,Hamilton,"15,673",+42.390768°,–93.709198°
IA,19081,Hancock,"11,341",+43.075411°,–93.743697°
IA,19083,Hardin,"17,534",+42.389955°,–93.241081°
IA,19085,Harrison,"14,928",+41.688584°,–95.827149°
IA,19087,Henry,"20,145",+40.985864°,–91.544270°
IA,19089,Howard,"9,566",+43.365313°,–92.321908°
IA,19091,Humboldt,"9,815",+42.782221°,–94.202775°
IA,19093,Ida,"7,089",+42.391860°,–95.507421°
IA,19095,Iowa,"16,355",+41.683918°,–92.059123°
IA,19097,Jackson,"19,848",+42.164281°,–90.574597°
IA,19099,Jasper,"36,842",+41.685686°,–93.052971°
IA,19101,Jefferson,"16,843",+41.006880°,–91.967137°
IA,19103,Johnson,"130,882",+41.668737°,–91.588812°
IA,19105,Jones,"20,638",+42.125118°,–91.116914°
IA,19107,Keokuk,"10,511",+41.331182°,–92.167721°
IA,19109,Kossuth,"15,543",+43.212478°,–94.213983°
IA,19111,Lee,"35,862",+40.647588°,–91.477157°
IA,19113,Linn,"211,226",+42.077951°,–91.597674°
IA,19115,Louisa,"11,387",+41.218211°,–91.256994°
IA,19117,Lucas,"8,898",+41.033344°,–93.331467°
IA,19119,Lyon,"11,581",+43.383580°,–96.207201°
IA,19121,Madison,"15,679",+41.330622°,–94.015184°
IA,19123,Mahaska,"22,381",+41.330797°,–92.636366°
IA,19125,Marion,"33,309",+41.331455°,–93.093849°
IA,19127,Marshall,"40,648",+42.041691°,–92.981452°
IA,19129,Mills,"15,059",+41.033703°,–95.619101°
IA,19131,Mitchell,"10,776",+43.348564°,–92.784466°
IA,19133,Monona,"9,243",+42.049432°,–95.956566°
IA,19135,Monroe,"7,970",+41.028847°,–92.869642°
IA,19137,Montgomery,"10,740",+41.021735°,–95.157790°
IA,19139,Muscatine,"42,745",+41.483776°,–91.118699°
IA,19141,O'Brien,"14,398",+43.083746°,–95.625624°
IA,19143,Osceola,"6,462",+43.378542°,–95.633788°
IA,19145,Page,"15,932",+40.739090°,–95.144290°
IA,19147,Palo Alto,"9,421",+43.075854°,–94.667297°
IA,19149,Plymouth,"24,986",+42.737585°,–96.215864°
IA,19151,Pocahontas,"7,310",+42.734033°,–94.678279°
IA,19153,Polk,"430,640",+41.684281°,–93.569720°
IA,19155,Pottawattamie,"93,158",+41.340184°,–95.544905°
IA,19157,Poweshiek,"18,914",+41.684526°,–92.522882°
IA,19159,Ringgold,"5,131",+40.735334°,–94.244251°
IA,19161,Sac,"10,350",+42.387526°,–95.105224°
IA,19163,Scott,"165,224",+41.641679°,–90.622290°
IA,19165,Shelby,"12,167",+41.679014°,–95.308917°
IA,19167,Sioux,"33,704",+43.082854°,–96.177929°
IA,19169,Story,"89,542",+42.037538°,–93.466093°
IA,19171,Tama,"17,767",+42.074848°,–92.529412°
IA,19173,Taylor,"6,317",+40.737949°,–94.697108°
IA,19175,Union,"12,534",+41.028550°,–94.245091°
IA,19177,Van Buren,"7,570",+40.754117°,–91.952943°
IA,19179,Wapello,"35,625",+41.031263°,–92.409482°
IA,19181,Warren,"46,225",+41.336769°,–93.564366°
IA,19183,Washington,"21,704",+41.329401°,–91.725052°
IA,19185,Wayne,"6,403",+40.739983°,–93.332613°
IA,19187,Webster,"38,013",+42.434397°,–94.179157°
IA,19189,Winnebago,"10,866",+43.378124°,–93.743488°
IA,19191,Winneshiek,"21,056",+43.292989°,–91.850788°
IA,19193,Woodbury,"102,172",+42.393220°,–96.053296°
IA,19195,Worth,"7,598",+43.373491°,–93.248533°
IA,19197,Wright,"13,229",+42.733007°,–93.734735°
KS,20001,Allen,"13,371",+37.884229°,–95.300945°
KS,20003,Anderson,"8,102",+38.215114°,–95.292046°
KS,20005,Atchison,"16,924",+39.532544°,–95.313398°
KS,20007,Barber,"4,861",+37.222906°,–98.685052°
KS,20009,Barton,"27,674",+38.481239°,–98.767837°
KS,20011,Bourbon,"15,173",+37.856100°,–94.850928°
KS,20013,Brown,"9,984",+39.825931°,–95.569905°
KS,20015,Butler,"65,880",+37.773681°,–96.838762°
KS,20017,Chase,"2,790",+38.298553°,–96.594064°
KS,20019,Chautauqua,"3,669",+37.154259°,–96.245396°
KS,20021,Cherokee,"21,603",+37.169392°,–94.845698°
KS,20023,Cheyenne,"2,726",+39.789256°,–101.727302°
KS,20025,Clark,"2,215",+37.233831°,–99.813869°
KS,20027,Clay,"8,535",+39.344964°,–97.168853°
KS,20029,Cloud,"9,533",+39.487329°,–97.641390°
KS,20031,Coffey,"8,601",+38.236450°,–95.729137°
KS,20033,Comanche,"1,891",+37.189071°,–99.254089°
KS,20035,Cowley,"36,311",+37.234507°,–96.837247°
KS,20037,Crawford,"39,134",+37.505628°,–94.853941°
KS,20039,Decatur,"2,961",+39.783542°,–100.459708°
KS,20041,Dickinson,"19,754",+38.867735°,–97.157943°
KS,20043,Doniphan,"7,945",+39.788502°,–95.147225°
KS,20045,Douglas,"110,826",+38.896573°,–95.290529°
KS,20047,Edwards,"3,037",+37.883595°,–99.304746°
KS,20049,Elk,"2,882",+37.456026°,–96.244642°
KS,20051,Ellis,"28,452",+38.914596°,–99.317329°
KS,20053,Ellsworth,"6,497",+38.700845°,–98.205355°
KS,20055,Finney,"36,776",+38.049855°,–100.739929°
KS,20057,Ford,"33,848",+37.688365°,–99.884734°
KS,20059,Franklin,"25,992",+38.558019°,–95.278962°
KS,20061,Geary,"34,362",+39.002155°,–96.768038°
KS,20063,Gove,"2,695",+38.917239°,–100.487360°
KS,20065,Graham,"2,597",+39.349445°,–99.880952°
KS,20067,Grant,"7,829",+37.547537°,–101.299362°
KS,20069,Gray,"6,006",+37.744513°,–100.451716°
KS,20071,Greeley,"1,247",+38.480408°,–101.805984°
