State Facility Type 2 Literal,License Number,Facility Name,City,State,Zip Code,Phone Number,Capacity,Licensee,Date Accessed,State Facility Type 1 Literal,Address
FAMILY HOME,AF410269952,Bushnell Afc,Grand Rapids,MI,495255826,6169490859.0,6,BUSHNELL CYNTHIA,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"2845 LEONARD STREET, NE"
LARGE GROUP,AL790238768,Northwood Meadows,Cass City,MI,48726,9898728131.0,20,THUMB AREA ENTERPRISES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6086 BEECHWOOD DR.
FAMILY HOME,AF410282195,Savi-K,Grand Rapids,MI,495449705,6165700046.0,6,SABRI BALLA,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"3824 WALKER AVENUE, NW"
FAMILY HOME,AF120000818,Harmony House,Coldwater,MI,49036,5172786833.0,6,DUANE HILTON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,563 NEWTON ROAD
FAMILY HOME,AF390238306,Arnold Afc,Portage,MI,49024,2693819527.0,4,VICKY ARNOLD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5313 RUGBY
HOME FOR THE AGED,AH320238093,Country Gardens,Pigeon,MI,48755,9894537474.0,61,SCHEURER COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,203 N CASEVILLE ROAD
FAMILY HOME,AF130075271,Hacienda Acres Afc,Battle Creek,MI,49017,2697185823.0,6,TERESA GUZMAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,130 MARVIN STREET
HOME FOR THE AGED,AH820238949,Brownstown Forest View Assisted Living,Brownstown,MI,48183,7346752700.0,76,BROWNSTOWN ASSISTED LIVING CENTER LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,19341 ALLEN RD.
FAMILY HOME,AF630249565,Lidra Walker Afc,Oak Park,MI,48237,2488185220.0,5,LIDRA WALKER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24200 GARDNER
MEDIUM GROUP,AM280242412,Cass Road Adult Foster Care,Traverse City,MI,49684,2319418685.0,10,"CASS ROAD ADULT FOSTER CARE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3167 CASS ROAD
SMALL GROUP,AS440242673,Forget Me Not Afc Home Inc,North Branch,MI,48461,8106883325.0,6,FORGET ME NOT AFC HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4042 PLEASANT STREET
FAMILY HOME,AF380397397,Schweikert Afc,Blackman Township,MI,49202,5177876889.0,5,MICHELLE GREER AND BRIAN GREER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,829 ROYAL DR.
SMALL GROUP,AS190363648,The Chosen Vision,Dewitt,MI,48820,5176220574.0,6,THE CHOSEN VISION,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1111 TURNER STREET
FAMILY HOME,AF690242643,Green Afc,Vanderbilt,MI,49795,9899834522.0,6,MICHAEL AND TAWNEE GREEN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,586 ALEXANDER ROAD
SMALL GROUP,AS090247714,Smith Street Home Assisted Living,Bay City,MI,48706,9896671892.0,6,LARRY AND MICHELLE CAMPAU,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1204 SMITH STREET
SMALL GROUP,AS820269544,Rose Manor,Romulus,MI,48184,2485691040.0,6,ALLIED CONTINUING CARE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16216 MIDDLEBELT
SMALL GROUP,AS790250948,Circle Drive Home,Fairgrove,MI,48733,9896936632.0,6,FULTON RESIDENTIAL CARE CORP.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1959 CIRCLE DRIVE
LARGE GROUP,AL630276748,Jewish Apt. & Ser. - Coville I,Oak Park,MI,48237,2489674240.0,14,JEWISH APARTMENTS & SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,15100 W. TEN MILE ROAD
LARGE GROUP,AL280291584,Culver Meadows Adult Foster Care,Traverse City,MI,49684,2319439421.0,15,"CULVER MEADOWS AFC, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5840 CULVER RD.
MEDIUM GROUP,AM470287209,Meadow Lane Afc,Pinckney,MI,48169,7348780708.0,10,PATRICIA BOYNE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,9533 MEADOW LANE
MEDIUM GROUP,AM700257038,Harbor House Pier Place,Jenison,MI,494289193,6167979920.0,12,HARBOR HOUSE MINISTRIES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,919 FORTY-FOURTH STREET
LARGE GROUP,AL440257936,Devonshire Retirement Village,Lapeer,MI,48446,8102457646.0,20,"DEVONSHIRE RETIREMENT VILLAGE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,101 DEVONSHIRE DRIVE
LARGE GROUP,AL700289600,Georgetown Manor - East,Grandville,MI,49418,6164573050.0,20,"BARUCH SLS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,141 PORT SHELDON ROAD
LARGE GROUP,AL280369173,Cherry Hill Haven Iii,Traverse City,MI,49684,2316452341.0,16,"BARUCH SLS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4885 N LONG LAKE ROAD
LARGE GROUP,AL460398057,The Fieldstone At Tecumseh,Tecumseh,MI,49286,5174231141.0,20,"BARUCH SLS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1313 SOUTHWESTERN DRIVE
MEDIUM GROUP,AM700398466,Sierra Afc Home,Grand Haven,MI,49417,6168474242.0,12,"BARUCH SLS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16216 MERCURY DRIVE
LARGE GROUP,AL490369294,Cedar Cove Manor,Cedarville,MI,49719,9064841001.0,20,"BARUCH SLS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"266 SOUTH MARY L STREET, BLDG. #1"
SMALL GROUP,AS800306200,Cornerstone,Kalamazoo,MI,490099208,2696683175.0,6,CORNERSTONE II INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22858 WEST M-43
SMALL GROUP,AS800387103,Covey Hill Afc,Paw Paw,MI,49079,2693174433.0,6,CORNERSTONE II INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,28901 41ST STREET
FAMILY HOME,AF740257524,Squires Afc,Fort Gratiot,MI,48059,8103850060.0,6, JOANNE SQUIRES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3204 SHOREVIEW
FAMILY HOME,AF390310994,Tommy'S Manor,Portage,MI,49002,2695321423.0,3,"CARR, GLORIA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,404 VELVET AVE.
LARGE GROUP,AL780258989,Oliver Woods 1,Owosso,MI,48867,9897296060.0,20,OLIVER WOODS RETIREMENT VILLAGE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1310 W. OLIVER STREET
LARGE GROUP,AL210259500,Lakeview Assisted Living,Gladstone,MI,49837,9064287000.0,19,"LAKEVIEW ASSISTED LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1100 N. LAKESHORE DRIVE
MEDIUM GROUP,AM210386346,"Lakeview Assisted Living Iii, Llc",Gladstone,MI,49837,9064287000.0,12,"LAKEVIEW ASSISTED LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1100 N. LAKE SHORE DRIVE
FAMILY HOME,AF040255573,Victoria Home Afc,Lachine,MI,49753,9893793320.0,5,"OWENS, VICTORIA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7560 M-65 SOUTH
SMALL GROUP,AS820257799,Melody Home,Detroit,MI,48221,2483453662.0,6,"OZI SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17403 PRAIRIE STREET
SMALL GROUP,AS440393071,Rescare Premier Farnsworth,Lapeer,MI,48446,8106676152.0,5,"RESCARE PREMIER, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1670 WOODBINE DRIVE
LARGE GROUP,AL730079392,Brookdale Saginaw Mc,Saginaw,MI,48603,9892497300.0,20,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2445 MCCARTY ROAD
HOME FOR THE AGED,AH630236928,Brookdale Farmington Hills North I,Farmington Hills,MI,48331,2484899362.0,28,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,27950 DRAKE ROAD
HOME FOR THE AGED,AH630236929,Brookdale Farmington Hills North Ii,Farmington Hills,MI,48331,2484899362.0,32,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,27900 DRAKE ROAD
LARGE GROUP,AL130077494,Brookdale Battle Creek Mc (Mi),Battle Creek,MI,49015,2699799511.0,20,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,197 LOIS DRIVE
LARGE GROUP,AL560079920,Brookdale Midland Mc,Midland,MI,48642,9898325000.0,20,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4012 WALDO AVENUE
SMALL GROUP,AS700398607,Georgetown Harmony Homes Iii,Hudsonville,MI,49426,6163795264.0,6,GEORGETOWN HARMONY HOMES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6932 HIGH MEADOW DRIVE
SMALL GROUP,AS750013091,Midas  Clf/Dd,Sturgis,MI,49091,2696511696.0,5,"ADAPT ST. JOE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,26925 FAWN RIVER ROAD
SMALL GROUP,AS820343351,K & K Assisted Living 4,Detroit,MI,48219,3132313605.0,6,K & K ASSISTED LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16114 SUNDERLAND
SMALL GROUP,AS820296406,Helping Hands Ii,Inkster,MI,48141,7347405713.0,6,METONIC SERVICES LTD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,26609 HOPKINS STREET
SMALL GROUP,AS410269764,Jerry'S Dreams #3,Walker,MI,495346835,6162937198.0,6,JERRY'S DREAMS ADULT HOMES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1126 W. LEONARD COURT, NW"
SMALL GROUP,AS250279080,Loving Care A.F.C. Home,Flint,MI,48504,8104078430.0,5,"MCGRUDER, KENYATTA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2112 RASKOB STREET
MEDIUM GROUP,AM410267205,Windy Acres,Belding,MI,48809,6162922837.0,11,"JAMES, MARK",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7728 LESSITER AVE NE
SMALL GROUP,AS730315015,D.E.B. Afc Inc. #4,Saginaw,MI,48602,9897900882.0,6,D.E.B. AFC INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,901 S. FAYETTE
SMALL GROUP,AS170404306,Harborview Assisted Living,Detour Village,MI,49725,9062971251.0,6,SUPERIOR HEALTH SUPPORT SYSTEMS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,200 CUNNINGHAM
SMALL GROUP,AS330309216,Bedford House,Lansing,MI,48910,5175808243.0,6,"MEDHEALTH SUPPLIERS & PROVIDERS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2227 BEDFORD AVE.
LARGE GROUP,AL470275345,Constable House Inn,Brighton,MI,48116,8102205222.0,16,"WOOD CARE V, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1014 E. GRAND RIVER
SMALL GROUP,AS820275065,Unlimited Home Care,Detroit,MI,48213,3137785340.0,5,"UNLIMITED HOME CARE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5824 CRANE
SMALL GROUP,AS820273307,Kevdaco Redford,Redford,MI,48239,3132555502.0,6,"KEVDACO HUMAN SERVICES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14416 BEECHDALY ROAD
MEDIUM GROUP,AM300276139,Somewhere In Time,Osseo,MI,49266,5175232621.0,12,JASON AND JESSICA TAYLOR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3773 HUDSON RD.
SMALL GROUP,AS610385533,Families Manor,Twin Lake,MI,49457,2312060358.0,6,PAULA REAMES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2330 RIVERWOOD DR.
SMALL GROUP,AS820295931,Kevdaco Redford Ii,Redford,MI,48239,3137664696.0,6,KEVDACO HUMAN SERVICES LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,26520 WEST CHICAGO ROAD
LARGE GROUP,AL250281706,Monet House Inn,Linden,MI,48451,8107359400.0,20,"WOOD CARE X, INC., D/B/A CARETEL INNS OF LINDEN",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,202 S. BRIDGE STREET
MEDIUM GROUP,AM670280009,Country Easy Living,Reed City,MI,49677,2314654020.0,12,"COUNTRY EASY LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5478 210TH AVENUE
MEDIUM GROUP,AM030281708,Diana'S Care,Otsego,MI,49078,2696851163.0,12,"DIANA'S CARE, L.L.C.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,328 EAST MORRELL
LARGE GROUP,AL330280995,"Walnut Ridge Country Estate, Llc",Stockbridge,MI,49285,5178517501.0,20,"WALNUT RIDGE COUNTRY ESTATE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4077 OAKLEY RD.
SMALL GROUP,AS820296180,Community Care Facility,Canton,MI,48187,3132050663.0,5,COMMUNITY CARE FACILITY LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8621 SANDPIPER
SMALL GROUP,AS630281734,Freedom House,Bloomfield Hills,MI,48301,2488652926.0,6,"FREEDOM HOUSE OF LAKELAND, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5575 FRANKLIN ROAD
MEDIUM GROUP,AM320275971,Shady Acres Assisted Living,Bad Axe,MI,48413,9892697658.0,12,SHELLEY LANGLEY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2875 E RICHARDSON
HOME FOR THE AGED,AH390278221,Portage Bickford Cottage,Portage,MI,49024,2693722100.0,71,PORTAGE BICKFORD COTTAGE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4707 W. MILHAM AVE.
MEDIUM GROUP,AM130281778,Reeves Adult Foster Care,Battle Creek,MI,49016,2699623628.0,12,RANDY AND BONNIE REEVES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,20544 MCALLISTER RD.
SMALL GROUP,AS800369570,Hamilton Home,Bangor,MI,49013,2694276023.0,6,"CORNERSTONE AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,518 HAMILTON STREET
SMALL GROUP,AS740282833,River'S Edge Assisted Living,St. Clair,MI,48079,8103291112.0,6,"SCOTLAND MANOR ENTERPRISES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1427 OAKLAND
FAMILY HOME,AF780280506,Howard Afc #1,Owosso,MI,48867,9897234420.0,6,LAURA HEMGESBERG,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,523 N. HICKORY STREET
SMALL GROUP,AS820292158,Triple J'S Bettercare Inc 3,Haper Woods,MI,48225,3135221421.0,6,TRIPLE J'S BETTERCARE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,20427 LENNON STREET
SMALL GROUP,AS090307605,Premier Care Assisted Living 3,Bay City,MI,48708,9892957641.0,6,DONZELL JR DAWKINS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2204 S. FARRAGUT
SMALL GROUP,AS820283668,"B.C. Davis, Inc. / Grandview Home",Inkster,MI,48141,3132204577.0,6,"B.C. DAVIS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,30040 GRANDVIEW
FAMILY HOME,AF710290749,Wiacek Care Home,Posen,MI,49776,9897669956.0,4,"WIACEK, GWEN",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10038 HAGENSVILLE RD.
SMALL GROUP,AS820384586,"Central Care Afc, Home",Inkster,MI,48141,7347285680.0,6,FAVORED GROUP HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,322 CENTRAL STREET
SMALL GROUP,AS630283826,Oakland Assisted Living & Respite,Oak Park,MI,48237,3136587300.0,6,OAKLAND ASSISTED LIVING & RESPITE CENTER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,23161 SUSSEX
FAMILY HOME,AF440287201,Kings Mill Afc Home,North Branch,MI,48461,8106884305.0,6,"PRIDEMORE, MARJORIE",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3683 LAKE PLEASANT RD
SMALL GROUP,AS500292912,Fresh Start Transitional Homes Iii,Eastpointe,MI,48021,5863628242.0,5,FRESH START TRANSITIONAL HOMES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,21795 NEVADA
FAMILY HOME,AF810287198,Adams Afch,Ypsilanti,MI,48198,7342170831.0,5,JOYCE ADAMS-MCEADDY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,724 DORSET
MEDIUM GROUP,AM030393581,Agnus Dei Afc Home Iii,Allegan,MI,49010,2693551009.0,8,AGNUS DEI AFC HOME INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3445 115TH AVENUE
SMALL GROUP,AS820283796,Vinokan-Clements Residence,Detroit,MI,48238,3134083227.0,6,VINOKAN RESIDENCE CORPORATION,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2633 CLEMENTS
SMALL GROUP,AS500287060,Elizabeth'S Place,Clinton Township,MI,48036,5862131802.0,6,"NEW HORIZONS AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,44680 ELIZABETH
FAMILY HOME,AF030293174,Morrell'S Family Home,Martin,MI,49070,2695476449.0,6,GLENDA PILLARS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1212 110TH AVE
FAMILY HOME,AF130294056,The Morris House,Battle Creek,MI,49037,2699654645.0,6,"MENDENHALL, MOLLY",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,318 RICHFIELD AVE
HOME FOR THE AGED,AH500293047,Arden Courts Of Sterling Heights,Sterling Heights,MI,48312,5867950998.0,56,"ARDEN COURTS OF STERLING HEIGHTS MI, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11095 14 MILE RD
SMALL GROUP,AS820284159,Lehigh Manor,Inkster,MI,48141,3139145674.0,6,MIDWEST AFC HOMES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,27157 LEHIGH STREET
SMALL GROUP,AS820292181,"Caring Hands Afc, Llc",Detroit,MI,48219,3133622256.0,6,"CARING HANDS AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,18400 CODDING
SMALL GROUP,AS130292694,Superior Care,Battle Creek,MI,49017,2692708305.0,6,"SUPERIOR CARE OF MICHIGAN, L.L.C.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,55 MORGAN RD
FAMILY HOME,AF760291782,All Stars Home Care Dm,Sandusky,MI,48471,8106480088.0,6,NENITA TIO,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,175 MARGARET ST
FAMILY HOME,AF500290236,The Loving Care Foster Home,Sterling Heights,MI,48310,5869799066.0,6,FELY RAMA,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,38112 VIRGINIA DR
FAMILY HOME,AF410289111,Country Lane Afc,Alto,MI,49302,6168686872.0,6,"BARRY, JILL",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11300 SELAH DRIVE SE
SMALL GROUP,AS630318254,Estates Of Oakland,Oakland,MI,48363,5862289991.0,6,CARING HANDS HOME CARE;DBA ATTENDANT CARE OF MI,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1401 E BUELL ROAD
SMALL GROUP,AS330322210,Kalkidan Afc 2,East Lansing,MI,48823,5173476982.0,6,ELSABETH ENGEDA,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5340 PARK LAKE
MEDIUM GROUP,AM250298908,A & M Inc.,Clio,MI,48420,8102472343.0,12,A & M INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11328 N. BRAY RD.
MEDIUM GROUP,AM630378604,Orion Manor,Lake Orion,MI,48360,2488146713.0,12,"LAKE ORION ASSISTED LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1814 S. LAPEER ROAD
FAMILY HOME,AF290298715,Connie'S Lakeside Elder Care,Perrinton,MI,48871,9896402548.0,6,"MAYER, CONNIE",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,9201 LAKESIDE DRIVE
FAMILY HOME,AF250365608,Genesis Afc,Mt Morris,MI,48458,8106867514.0,4,"MARSH, SHIRLEY",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7142 N BRAY ROAD
SMALL GROUP,AS630315378,Woodbank,Bloomfield Hills,MI,48301,2487400964.0,6,"MENTORS OF MICHIGAN, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7024 WOODBANK
SMALL GROUP,AS820295005,Destined Place,Detroit,MI,48227,3134083227.0,6,CHICARES ASSISTED LIVING LTD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10012 ROBSON STREET
SMALL GROUP,AS820295443,Five C'S Manor,Redford,MI,48239,3134083227.0,6,CHICARES ASSISTED LIVING LTD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24476 SCHOOLCRAFT
FAMILY HOME,AF390381773,Bryant House,Kalamazoo,MI,49001,2697441158.0,6,MARY BRANSON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,531 BRYANT ST.
FAMILY HOME,AF300303025,Hands Of Time Afc,Hillsdale,MI,49242,5172121844.0,5,KATHY & DANIEL NICHOLS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,70 SUPERIOR STREET
MEDIUM GROUP,AM470312758,The August Winter House,Howell,MI,48855,5176187144.0,12,AUGUST WINTER HOUSE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2111 NORTH LATSON ROAD
FAMILY HOME,AF630299603,Autumn Days Afc,Clarkston,MI,48346,2486232846.0,6,"THEMM-MORRISSEY, MARGARET",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5986 ROCKCROFT BLVD.
SMALL GROUP,AS540318155,Heights Manor,Big Rapids,MI,49307,2316291885.0,6,ELI DUKES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10255 NORTHLAND DRIVE
SMALL GROUP,AS630301760,Phillip Care Llc,Southfield,MI,48075,2482770246.0,4,PHILIP PLACE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,23929 PHILIP
FAMILY HOME,AF820301786,Livonia Adult Gentle Care,Livonia,MI,48152,2485140772.0,6,"CIOBANU, ZAMFIRA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,29043 DARDANELLA STREET
HOME FOR THE AGED,AH810305217,Brookdale Ann Arbor,Ann Arbor,MI,48103,7343271350.0,82,"BROOKDALE PLACE OF ANN ARBOR, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2190 ANN ARBOR-SALINE RD.
FAMILY HOME,AF610303558,C.M.L. Homes,Muskegon Hts.,MI,49444,2319038555.0,6,TUANA LOTHERY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2424 PECK ST.
SMALL GROUP,AS250338095,Sugarbush Living-Beecher Circle House,Flint,MI,48532,8104960002.0,6,"SUGARBUSH LIVING, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4226 BEECHER RD
SMALL GROUP,AS630318143,"The Gardens Afcf, Llc",Troy,MI,48085,2486333556.0,6,"THE GARDENS AFCF, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2766 RENSHAW DRIVE
MEDIUM GROUP,AM210303631,St. Jude'S Afc Home Ii,Escanaba,MI,49829,9067863386.0,11,"ST. JUDE'S ASSISTED LIVING, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,509 SOUTH 22ND STREET
HOME FOR THE AGED,AH440311638,Stonegate Health Campus,Lapeer,MI,48446,8102459300.0,39,"TRILOGY HEALTHCARE OF LAPEER, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2525 DEMILLE BOULEVARD
HOME FOR THE AGED,AH520310674,Mill Creek Memory Care Community,Marquette,MI,49855,9062255512.0,36,"MILL CREEK MEMORY CARE COMMUNITY, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1600 MILL CREEK COURT, SUITE B"
SMALL GROUP,AS470312590,Green Acres,Fenton,MI,48430,8104596232.0,6,THERESA & JOHN POSEY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5385 GREEN ROAD
MEDIUM GROUP,AM500309972,Wadham Valley Ii,Lenox,MI,48048,5862706784.0,12,D & J HOME CARE 3 LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,33255 26 MILE RD
SMALL GROUP,AS180308851,Kirby'S Afc,Harrison,MI,48625,9895397365.0,6,KIRBY'S ADULT FOSTER CARE SERVICES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2285 E. LILY LAKE
SMALL GROUP,AS820367743,Frazier Home,River Rouge,MI,48218,3134386302.0,5,ELIZA HOME CARE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,456 FRAZIER STREET
LARGE GROUP,AL090311311,Plainview Assisted Living,Auburn,MI,48611,9896627202.0,20,"PLAINVIEW ASSISTED LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,202 PLAINVIEW DRIVE
SMALL GROUP,AS820398123,Heavenly Comfort Woodmont 2,Harper Woods,MI,48225,3133070002.0,4,HEAVENLY COMFORT LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,19113 WOODMONT
