State Facility Type 2 Literal,License Number,Facility Name,Address 2,Address 1,City,State,Zip Code,Phone Number,Capacity,Licensee
AS,AS620301609,The Masters Home,240 N. Webster,,White Cloud,MI,49349,2316890022,6,Moore Apt Non-Profit Housing Corp.
AS,AS390243297,Meadowcroft,3419 Meadowcroft,,Kalamazoo,MI,49004,2693738705,6,"Residential Opportunities, Inc."
AM,AM230008108,Moores Adult Foster Care Home.,P.O. Box 249,1385 Gidner Rd.,Charlotte,MI,48813,5175432822,12,Carole Moore-Kidder
AF,AF600004475,Patti's Foster Care,23375 Pleasant Valley Rd,,Hillman,MI,49746,9897423285,6,Krupnek Patti
AS,AS630064520,Garretson CLF,5515 Garretson,,Oxford,MI,48371,2488209274,4,Progressive Lifestyles Inc
AS,AS630237099,Phoenix II,631 Fox River,,Bloomfield Hills,MI,48304,2482537349,6,Phoenix Residential Services Inc
AS,AS820014616,Kirkland Drive,433 Buckingham,,Canton,MI,48188,7347447334,5,New Life Services Inc
AS,AS630012646,Warick Group Home,3127 Warick,,Royal Oak,MI,48073,2482886902,2,"Elite Alternatives, Inc."
AS,AS500268244,Evanston Group Home,35161 Evanston,,Sterling Heights,MI,48312,5868836882,6,"Elite Alternatives, Inc."
AM,AM670009378,Hopkins 110th Ave AFC,8675 110th Avenue,,Evart,MI,49631,2317343014,12,Robert and Laura Hopkins
AS,AS610274835,Brookmere Home,3086 Creekview Lane,,Muskegon,MI,494447722,2317670583,6,MOKA Non-Profit Services Corp
AS,AS610305968,Skyline Home,3297 Orshal Road,,Whitehall,MI,49461,2317663583,4,MOKA Non-Profit Services Corp
AS,AS030318209,Jones Circle,205 Thomas St.,,Allegan,MI,49010,2693551377,6,MOKA Non-Profit Services Corp
AS,AS700317384,Starwalk,16538 Starwalk Ln,,West Olive,MI,49460,6163991835,4,MOKA Non-Profit Services Corp
AS,AS700312039,Indian Trails Home,0-1859 Lk Michigan Dr. NW,,Grand Rapids,MI,49534,6166775132,3,MOKA Non-Profit Services Corp
AM,AM410008805,Davids House II,2355 Banner Drive,,Wyoming,MI,495091930,6167261703,12,Davids House Inc
AF,AF770005963,Berry,638 Grant  Road,,Germfask,MI,49836,9065866039,6,Berry Adeline
AF,AF340002647,Montgomery AFC Home,972 E Washington Street,,Ionia,MI,48846,6165272295,6,Montgomery Barbara
AF,AF390003041,Kane Homestead,122 N. Robinson,,Schoolcraft,MI,49087,2696794856,6,Joy Kane
AF,AF180076531,Trails End,5740 Twin Lake Rd,,Lake,MI,48632,9895443550,5,Peggy Dandron
AF,AF190001513,Country Meadows Afc,5125 South Grove Road,,St Johns,MI,48879,9892243026,6,Marlene Auten
AH,AH700236875,Resthaven Maple Woods,49 E 32nd St.,,Holland,MI,49423,6167963700,101,Resthaven
AF,AF410003376,Pineview AFC Home,580 Cumings Court,,Sparta,MI,49345,6168877136,6,Hall Donna
AL,AL810280703,Moriah Hall,3200 E. Eisenhower Pkwy,,Ann Arbor,MI,48108,7346770070,16,Moriah Incorporated
AS,AS310367108,Paradise House,45224 Paradise Road,,Chassell,MI,49916,9064811210,6,Moriah Incorporated
AM,AM810088952,Alternative Family Home Care,213 Maple,,Ypsilanti,MI,48198,7346494061,12,Janice and Jeffery Patrick
AL,AL700070220,FV Ret Vill Of Coopersville #2,640 W Randall Street,,Coopersville,MI,49404,6169979253,20,Leisure Living Management of Coopersville
AS,AS630014729,Cambria House,6825 Barabeau,,Troy,MI,48098,2488792777,6,"Homestead Residences, Inc."
AL,AL820007649,New Center Inn Company,158 Pingree,,Detroit,MI,48202,3138723434,20,New Center Inn Company
AS,AS010010123,Harrisville Home,329 W Main,,Harrisville,MI,48740,9897246537,6,Northeast Michigan CMH Authority
AL,AL820072313,Kings Special Care Homes Inc,404 East Grand Boulevard,,Detroit,MI,48207,3137324959,18,Kings Special Care Homes Inc
AF,AF780006042,Scollons AFC Home,621 N Ball St,,Owosso,MI,48867,9897234509,6,Alda Scollon & Dan Scollon
AF,AF180001485,Poplar AFC,7644 Poplar,,Clare,MI,48617,9893867808,3,Lamar & Cathy Gunden
AI,AI580000005,Fairview County Infirmary,3604 S. Custer Road,,Monroe,MI,48161,7342403190,36,Monroe County FIA Board
AG,AG100000012,Crystal View AFC,5908 Frankfort Highway,,Frankfort,MI,49635,2318824864,40,GMPK Residential  Serv. Inc.
AS,AS630012699,Lakeland House,1052 Byron,,Troy,MI,48098,2489525821,6,Lakeland House Inc
AS,AS630012753,Rissman Home,291 Rissman,,Ortonville,MI,48462,2486274295,6,"Quality Living, Inc."
AS,AS630012708,Laker,6078 Ledgeway,,West Bloomfield,MI,48322,2486262667,6,JARC
AS,AS630085648,Greenberg Shiffman Stein,28773 Village Lane,,Farmington Hills,MI,48334,2485391762,6,JARC
AS,AS630012603,Milan,24245 Broadview,,Farmington Hills,MI,48336,2484777211,6,JARC
AS,AS130010444,Grace Home,1215 Fitch Street,,Albion,MI,49224,5176296859,6,"Christ Centered Homes, Inc."
AS,AS460015676,Westhaven AFC,1501 Westhaven Drive,,Tecumseh,MI,49286,5174234279,6,"Christ Centered Homes, Inc."
AS,AS390073055,Community Living Options/Old Log Trail Home,6156 Old Log Trail,,Kalamazoo,MI,49009,2693533756,6,Community Living Options
AS,AS390250889,Transitions of Kalamazoo,1353 Oakland Drive,,Kalamazoo,MI,49008,2697432248,6,Community Living Options
AL,AL410095350,Meadows,717 N. Center Drive NW,,Walker,MI,49544,6166472599,13,Hope Network Behavioral Health Services
AS,AS340359953,Westlake VII,11652 Grand River Avenue,,Lowell,MI,49331,6168972551,6,Hope Network Behavioral Health Services
AS,AS340358904,Westlake II,11652 Grand River Avenue,,Lowell,MI,49331,6168975900,6,Hope Network Behavioral Health Services
AS,AS340379256,Westlake VIII,11652 Grand River Avenue,,Lowell,MI,49331,6168975978,6,Hope Network Behavioral Health Services
AM,AM490392114,Bay Haven Integrated Care II,799 Hombach Street,,St. Ignace,MI,49781,6162951751,10,Hope Network Behavioral Health Services
AS,AS630379155,Bay Pointe,2950 Birchena Crescent,,West Bloomfield,MI,48324,2483635817,6,Life Center Inc
AL,AL030006862,LakeSide Vista Delph Haus,344 West 40th Street,,Holland,MI,49423,6163940302,20,Leisure Living Management of Holland Inc.
AL,AL030084491,LakeSide Vista Zeeland Haus,346 West 40th Street,,Holland,MI,49423,6163940302,20,Leisure Living Management of Holland Inc.
AM,AM390008626,The Homestead,6191 N Riverview Dr,,Kalamazoo,MI,49004,2693421953,12,Sara Collison
AF,AF130015389,Price AFC Home,4402 Baseline Rd,,Bellevue,MI,49021,2699627511,4,Kathy V. Price
AL,AL620007296,Fountainview Ret Vil Fremont I,102 Hillcrest Avenue,,Fremont,MI,49412,2319245050,20,Leisure Living Management of Fremont Inc
AL,AL630007335,Courtyard Manor of Wixom I,48578 Pontiac Trail,,Wixom,MI,48393,2486695263,20,Courtyard Manor of Wixom Inc
AL,AL630007339,Courtyard Manor of Wixom IV,48578 Pontiac Trail,,Wixom,MI,48393,2486695263,20,Courtyard Manor of Wixom Inc
AL,AL630007340,Courtyard Manor of Wixom III,48578 Pontiac Trail,,Wixom,MI,48393,2486695263,20,Courtyard Manor of Wixom Inc
AM,AM250074205,Cameron AFC 2,14294 N Saginaw,,Clio,MI,48420,8106867045,12,Cameron Sharie
AH,AH630236895,St. Anne's Mead Retirement Home,16106 W 12 Mile Rd.,,Southfield,MI,48076,2485571221,83,St. Anne's Mead Inc.
AH,AH410337807,Rose Garden,3391 Prairie SW,,Grandville,MI,49418,6162929066,46,Sunset Manor Inc.
AS,AS700012873,HH - Magnolia AIS/MR,6983 Magnolia Drive,,Jenison,MI,494288765,6166690061,6,Heritage Homes Inc
AS,AS250345774,Andrews & Johnson #4,7404 N Bray Road,,Mt Morris,MI,48458,8106862198,6,Andrews & Johnson Inc
AF,AF030000109,Wootens Foster Care,565 North 10th St,,Plainwell,MI,49080,2696859246,5,Charleen Wooten
AM,AM340073312,Lacey's Too,11981 Potters Road,,Lowell,MI,49331,6168970799,9,Gail Hays
AM,AM250008267,Sherwood Care Duffield Road Home,5503 Duffield Rd,,Flushing,MI,48433,8106597345,12,Sherwood Care Facilities Inc
AF,AF790006079,Hollister AFC Home,3452 S Main Street,,Akron,MI,48701,9896915286,5,Edward Hollister and Juanita Hollister
AF,AF440003629,Bratten Afc Home,3696 Daley Road,,Attica,MI,48412,8107240708,4,Bratten Cynthia
AS,AS440067966,Churchill Farms Afc,1180 Cliff Drive,,Lapeer,MI,48446,8106674802,6,"Coffeen, Liliane and Coffeen, Paul"
AS,AS610012215,Walker Road Home,6646 Walker Road,,Fruitport,MI,494159608,2313667148,6,HGA Non Profit Homes Inc.
AF,AF230015049,Moore's Country Living,1339 Mcconnell,,Charlotte,MI,48813,5175436114,6,Roxann M Moore
AL,AL630007360,Clausen Manor,2400 Watkins Lake Road,,Waterford,MI,48328,2486744732,20,Lourdes Alz Special Care Ctr Inc
AL,AL060006877,Augres Care Center,115 Mackinaw,,Augres,MI,48703,9898767811,20,Augres Care Center Inc
AS,AS090064224,Georgetown,4784 Zielinski Lane,,Auburn,MI,48611,9896627047,6,"Bay Human Services, Inc."
AM,AM290248648,Krystal House,304 Crane Street,,Alma,MI,48801,9894636859,8,"Bay Human Services, Inc."
AS,AS290261139,Gateway,1115 Woodmere,,Alma,MI,48801,9894632251,6,"Bay Human Services, Inc."
AS,AS250010662,Perkins AFC Home,1027 W Second St,,Flint,MI,48503,8102394543,6,Perkins Alan Lee
AS,AS250010759,Elsona Foster Care Inc,1402 W Jackson Avenue,,Flint,MI,48504,8102394371,6,Elsona Foster Care Inc
AS,AS250010885,Shumpert Home,5514 W. Vienna Rd.,,Clio,MI,48420,8106874800,6,Summers Living System Inc
AS,AS630015466,Cuthbert AIS/MR,6720 Cuthbert,,White Lake,MI,48386,2486201656,6,"Innovative Lifestyles, Inc."
AM,AM460008927,McAnallys AFC Facility,325 E. Hunt,,Adrian,MI,49221,5172638745,11,"McAnally AFC Facility,  Inc."
AS,AS470238879,Oak Grove Home,3485 Oak Grove Rd.,,Howell,MI,48855,5175463915,6,Renaissance Community Homes Inc
AS,AS500378403,Junction,50494 Ruedisale,,New Baltimore,MI,48047,5867168570,6,Macomb Family Services Inc
AS,AS500011889,Clearview,39269 Clearview,,Harrison Township,MI,48045,5864633446,6,Michigan Share Corporation
AM,AM190095524,Eureka House,7808 Freemont,,Eureka,MI,48833,9892240290,12,"Alternative Community Living, Inc."
AM,AM330092211,Coulson Court,6430 Coulson Court,,Lansing,MI,48911,5178823822,9,"Alternative Community Living, Inc."
AS,AS330313722,Hope Network Oakwood Residential Services,2701 E. Lansing Drive,,East Lansing,MI,48823,5173321616,6,Hope/Spectrum Health CCG
AL,AL330237775,Grandhaven Living Center 1,3145 W Mt Hope Avenue,,Lansing,MI,48911,5174855966,20,Grandhaven Living Center LLC
AS,AS820280351,"Bowers III AFC, Inc.",22745 Cambridge,,Detroit,MI,48219,3133637018,5,Bowers Adult Foster Care Inc
AS,AS820293252,Twin Oak III,36880 Mario Ann Ct.,,Romulus,MI,48174,7349415033,6,Twin Oaks Extended Care Corp.
AL,AL820244670,Ivy Cottage,32151 Cherry Hill Road,,Westland,MI,48186,7347628885,20,"The Village of Westland, A Senior Living Community"
AS,AS630386668,Carter Country Homes,1536 Essay Lane,,Holly,MI,48442,2482407828,6,Carter Country Homes Inc.
AF,AF440248699,Angelic Gardens,5845 Lum Road,,Attica,MI,48412,8107212378,6,LeeAnn Velez
AL,AL450285538,Orchard Creek Supportive Care,9739 E. Cherry Bend Road,,Traverse City,MI,49684,2319329020,20,"Orchard Creek Health Care, Inc."
AF,AF760251333,M.G. Martinez AFC,2222 Loree Road,,Applegate,MI,48401,8106339227,6,"Martinez, Gina"
AS,AS790369310,Lewis,1081 Cleaver Road,,Caro,MI,48723,9896720127,6,Fulton Residential Care Corp.
AS,AS820251884,Mason AFC Home #1,640 W. Euclid,,Detroit,MI,48202,3132839539,6,Mason AFC Home Inc.
AL,AL630276749,Jewish Apt. & Ser. Coville III,15100 W. Ten Mile Road,,Oak Park,MI,48237,2489674240,20,Jewish Apartments & Services
AF,AF320063942,Riverview AFC Home,4290 Hartsell Rd,,Cass City,MI,48726,9898721223,6,Paula Bolton
AM,AM130095549,Rhema Home AFC,108 West Street,,Battle Creek,MI,49017,2693393714,7,"McCoy, Christopher"
AL,AL700268722,Harbor House Beacon Place,949 Forty-fourth Street,,Jenison,MI,494289193,6167979920,13,Harbor House Ministries
AL,AL700289594,Cambridge Manor - South,151 Port Sheldon Road,,Grandville,MI,49418,6164573050,20,"Baruch SLS, Inc."
AS,AS280369178,Cherry Hill Lodge,4825 N. Long Lake Road,,Traverse City,MI,49684,2316452341,6,"Baruch SLS, Inc."
AF,AF110261378,A Touch of Class,4669 Lisa Lane,,Berrien Springs,MI,49103,2694732737,6,Ramendra Halder
AF,AF390253659,Stoney Oaks,14221 E M89,,Augusta,MI,49012,2697315819,6,Lance Livingston
AS,AS630276214,Aleardi's Place of West Bloomfield I,6385 E. Norma Lee,,West Bloomfield,MI,48301,2487880829,6,"The Aleardi Inn, LLC"
AM,AM610259339,Terrace Manor,1148 Terrace Street,,Muskegon,MI,494423449,2317227442,12,American AFC Inc.
AF,AF470264263,Granny's Delight,1661 Old U.S. 23,,Brighton,MI,48114,8102275237,5,Bruce & Ginger Doty
AS,AS670263217,Hopkins #1,17686 9 Mile Road,,Reed City,MI,49677,2318323325,6,"Hopkins AFC Homes, Inc."
AH,AH630264366,Waltonwood at Twelve Oaks II,27495 Huron Cr.,,Novi,MI,48377,2487351030,94,"Waltonwood at Twelve Oaks II, LLC"
AH,AH460264382,Brookdale Adrian,1200 Corporate Drive,,Adrian,MI,49221,5172638199,65,Grand Court Adrian
AS,AS250294097,ResCare Premier Clinton,16020 Jennings Road,,Fenton,MI,48430,8107501370,6,"ResCare Premier, Inc."
AS,AS440366523,ResCare Premier Briggs,4324 Briggs Rd,,Otter Lake,MI,48464,8107934435,6,"ResCare Premier, Inc."
AS,AS250300908,ResCare Premier Holly,4242 W Baldwin Road,,Grand Blanc,MI,48439,8106550354,6,"ResCare Premier, Inc."
AH,AH820236941,Brookdale Northville,40405 Six Mile Road,,Northville,MI,48167,7344206104,72,"Brookdale Senior Living Communities, Inc."
AL,AL230079864,Brookdale Delta AL,7323 Delta Commerce,,Lansing,MI,48917,5173275566,20,"Brookdale Senior Living Communities, Inc."
AF,AF410372456,Ponca Court AFC,3675 Ponca Court SW,,Grandville,MI,49418,6168554211,6,Ruby Broome
AS,AS750013077,Zenith Home,22901 Storms Road,,Centreville,MI,49032,2694679032,6,"Adapt St. Joe, Inc."
AS,AS820270902,K & K Assisted Living,12060 Indiana,,Detroit,MI,48204,3132313605,5,K & K Assisted Living LLC
AS,AS790308206,Charryett House,6450 Barnes Rd.,,Millington,MI,48746,9898715090,6,"Wilson Residential Care Services, Inc."
AS,AS250268248,Buell Lake Center,13481 Center Rd,,Clio,MI,48420,8105649569,6,"Wilson Residential Care Services, Inc."
AL,AL600269136,Hillman's Haven,200 Elizabeth,,Hillman,MI,49746,9897422699,20,Hillman's Haven LLC
AS,AS730305099,D.E.B. AFC Inc. #3,3040 S. Towerline Rd.,,Bridgeport,MI,48722,9897772454,6,D.E.B. AFC Inc.
AS,AS630313908,Lee Baker,24105 Lee Baker,,Southfield,MI,48075,2483500357,5,"Taylor's Special Care Services, Inc."
AM,AM320298210,Talaski Adult Foster Care Home,1943 N. Verona Rd.,,Bad Axe,MI,48413,9892698883,12,"Ostrander, Lisa and Ostrander, Scott"
AL,AL470275348,Leighton House Inn,1014 E. Grand River,,Brighton,MI,48116,8102205222,20,"Wood Care V, Inc."
AS,AS820277040,Faith Family & Determination,4159 Algonquin Street,,Detroit,MI,48215,3135213513,3,Faith Family & Determination
AL,AL380272324,Country Living AFC,12188 Cary Road,,Cement City,MI,49233,5175926007,14,Mark Mann
AS,AS250370484,Mary James Washington Alexander AFC,826 7th St,,Flint,MI,48503,8103097694,6,"Mary James Washington/Alexander Group Homes, Inc."
AS,AS820362108,Colling Home Inc 6,20251 Cardoni,,Detroit,MI,48203,3133661387,5,Colling Homes Inc
AS,AS730383141,Kneaded Angels Adult Living Home II,2 Five Oaks Drive,,Saginaw,MI,48638,9892452089,6,Virtrina Johnson
AF,AF030280347,Country Home Care,5290 110th Avenue,,Pullman,MI,49450,2692360368,6,"Yates, Wilma"
AH,AH330278347,Lansing Bickford Cottage,3830 Okemos Road,,Okemos,MI,48864,5177060300,55,Lansing Bickford Cottage L.L.C.
AL,AL090281508,Monet House Inn,6700 Westside Saginaw Rd,,Bay City,MI,48706,2485437300,20,"Wood Care VIII, Inc."
AS,AS820279800,Kenyata's AFC,8136 Sirron,,Detroit,MI,48234,3138935022,6,Kenyata's AFC
AS,AS390277587,Pine Valley Assisted Living,1155 N. 26th St.,,Kalamazoo,MI,49048,2693659698,6,"Pine Valley Assisted Living, LLC"
AS,AS390299649,Spring Valley Asst. Liv. Home,735 Academy St.,,Kalamazoo,MI,49007,2693421704,6,"Golden Care, LLC"
AS,AS820285138,Triple J's Bettercare Inc 2,19115 Woodcrest,,Harper Woods,MI,48225,3133717911,6,Triple J's Bettercare Inc.
AS,AS390346643,Ronna's Relaxation Home,717 East Vine Street,,Kalamazoo,MI,49001,2693824612,5,Shirley Lee
AS,AS730280366,Athens AFC,920 Athens,,Saginaw,MI,48601,9892956980,5,"Bright Vision Services, LLC"
AF,AF300289715,Dawn's Country Care,1671 Holcomb Rd.,,Hillsdale,MI,48242,5175232895,5,Dawn Eitniear
AM,AM110282191,"Assisted Living at Redwood Manor, LLC",9084 Garr Road,,Berrien Springs,MI,49103,2694080598,12,"Assisted Living at Redwood Manor, LLC"
AM,AM280286819,Beacon of the North,4160 Beacon Street,,Kingsley,MI,49649,2312631353,11,The Lighthouse-Traverse City LLC
AS,AS090300171,Premier Care Assisted Living #2,3963 Adela Ct.,,Bay City,MI,48706,9893161220,6,Donzell JR Dawkins
AS,AS820283655,Chandler Residence Assisted Living,509 Chandler,,Detroit,MI,48202,3138709801,6,"New Beginning Assisted Living, LLC"
AS,AS820379150,Sunderland AFC Home,17127 Sunderland Road,,Detroit,MI,48219,3136943829,6,"Acon Services, Inc."
AS,AS630283763,Harding,21930 Harding,,Oak Park,MI,48237,2485065329,6,"Precious AFC Home, Inc."
AS,AS110288841,Touch of Country Foster Care,1014 North 6th St.,,Niles,MI,49120,2696831669,4,JoAnn Milligan
AF,AF300286017,Country View,10091 Concord Road,,Jonesville,MI,49250,5175498611,6,Diana Sweeter
AF,AF630285293,The House of Hope,1354 Lamb Dr.,,Troy,MI,48085,2485241734,6,"Morea, Lidia and Morea, Liviu-Ioan"
AH,AH380283614,Highland Home for the Aged,1948 Cooper Street,,Jackson,MI,49202,5177821900,32,"North Star Management Group, Inc."
AS,AS820292911,Fresh Start Transitional Homes-Bibbins,35413 Bibbins,,Romulus,MI,48174,3138509220,5,Fresh Start Transitional Homes
AS,AS820286968,Grace Home,3509 Isabelle,,Inkster,MI,48141,7348953313,6,Agape Care Inc.
AS,AS820293549,Ruby 2 AFC,19932 Schaefer Hwy.,,Detroit,MI,48235,3133428369,3,Tommie Inc.
AS,AS820400269,Mayfield Home #3,15324 Mayfield St.,,Livonia,MI,48154,7342374663,6,"Landers & Landers Home for the Aged, Inc."
AS,AS630287260,Koni's AFC Home I,369 Voorheis,,Pontiac,MI,48341,2483962973,6,Koni's AFC Home Inc.
AS,AS630287261,Koni's AFC Home II,371 Voorheis,,Pontiac,MI,48341,2484999084,6,Koni's AFC Home Inc.
AS,AS630288437,Able Manor,5221 Westview,,Clarkston,MI,48346,2485999407,6,Able Manor LLC
AF,AF250292854,Cornerstone AFC,5335 Butternut Tree Ct,,Flint,MI,48532,8107333186,6,"Skokan, Martin"
AM,AM280289926,Lake Shore AFC,2480 Tonawanda,,Grawn,MI,49637,2312769260,12,Lake Shore AFC LLC
AL,AL230290825,Hope Landing,1252 N. Cochran Ave.,,Charlotte,MI,48813,5175419620,20,"Larcyn Holdings, Inc."
AH,AH630292963,Arden Courts of Bingham Farms,24005 W. 13 Mile Rd.,,Bingham Farms,MI,48025,2486448100,56,"Arden Courts of Bingham Farms MI, LLC"
AS,AS820291750,Better Life Residential Care,4444 Lincoln Blvd.,,Dearborn Hts.,MI,48125,3135614600,3,Better Life Residential Care Inc
AS,AS130292696,Michigan Care,201 North Avenue,,Battle Creek,MI,49017,2699622399,6,"Michigan Care, L.L.C."
AL,AL610288875,Chestnut Fields Retirement Community,5425 Chestnut Dr.,,Muskegon,MI,49444,2317982220,20,Retirement Living Management of Fruitport
AM,AM500377592,"A Room at the Inn, LLC",13760 Common Road,,Warren,MI,48088,5862187447,8,"A Room at the Inn, LLC"
AF,AF330298802,Rachel's Adult Foster Care,4982 Wilcox Road,,Holt,MI,48842,5178895306,6,Rahel Abebe
AS,AS330294969,Kalkidan AFC,4464 Hickorywood Dr.,,Okemos,MI,48864,5173476982,6,Elsabeth Engeda
AF,AF300311389,Home Away From Home,4561 Oak Glen Drive,,Camden,MI,49232,5175678503,3,Connie and Jack Sigler
AS,AS110298360,Rosehill Home,9905 Rosehill Road,,Berrien Springs,MI,49103,2692624185,6,"Betsab Services, LLC"
AS,AS630298741,Chateau of Novi,45750 Eleven Mile,,Novi,MI,48374,2483804663,6,"A Caring Home of Michigan, LLC"
AS,AS630406325,Chateau of Novi-Durson Home,44039 Durson,,Novi,MI,48374,2483804663,6,"A Caring Home of Michigan, LLC"
AS,AS630282446,Glasgow,5710 Glasgow,,Troy,MI,48085,2488282947,6,"Mentors Of Michigan, Inc."
AS,AS630381646,Abby Villa,25965 Mulberry,,Southfield,MI,48034,2486323534,6,"Mentors Of Michigan, Inc."
AS,AS820316698,Jacquelyn Street,28646 Jacquelyn,,Livonia,MI,48154,7345240159,6,"Covenant to Care, Inc."
AS,AS820298267,Crystal Sierra Adult Foster Care Home,24110 Outer Drive,,Melvindale,MI,48122,3137904032,6,Residential Outreach Community Center
AF,AF440299489,Hillside Manor,6646 Brush Street,,North Branch,MI,48461,8102702424,6,"LaLonde, Joyce"
AS,AS830405112,Pleasant Lake Lodge Center,2085 S 33 1/2 Road,,Cadillac,MI,49601,2317750522,5,"Pleasant Lake Lodge, Inc."
AL,AL730301043,Stone Crest Senior Living-Wing B,255 N. Main,,Freeland,MI,48623,9896955035,20,"Baruch SLS, Inc."
AL,AL330314460,Green Acres Mason,1027 E. Ash Street,,Mason,MI,48854,5176761484,20,Retirement Living Mgmt. of Mason LLC
AS,AS820300923,Island Pines Residential Assisted Living,21443 HCL Jackson,,Grosse Ile,MI,48138,7343073201,6,Island Pines Residential Assisted Living LLC
AS,AS390301018,Emma's Kare,3617 N. Westnedge,,Kalamazoo,MI,49004,2692163317,6,"Wright, Jacqueline"
AS,AS820299055,Cherry AFC Home,30214 Cherry Avenue,,Romulus,MI,48174,7349414033,6,Angel Care Homes Inc
AS,AS820363493,Washington AFC Home,9693 Washington Street,,Romulus,MI,48174,7349926904,6,Angel Care Homes Inc
AS,AS630302438,Ambrosia Villa Beverly Hills,20799 Kennoway Circle,,Beverly Hills,MI,48025,2482076511,6,AV Beverly Hills Inc.
AS,AS280395305,"Horizon Heights AFC, Inc.",2445 W. Carriage Hill Dr,,Traverse City,MI,49686,2313133921,6,"Horizon Heights AFC, Inc."
AS,AS250306415,Sugarbush House,5631 Sugarbush Lane,,Flint,MI,48532,8104960002,6,"Sugarbush Living, Inc."
AS,AS250316843,Sugarbush Living-Woodkrest House,1152 WoodKrest,,Flint,MI,48532,8104960002,6,"Sugarbush Living, Inc."
AS,AS390306464,Mt. Vernon AFC,5508 Mt. Vernon Ave.,,Portage,MI,49024,2692677404,6,Aina Acres AFC LLC
AS,AS350383735,Harbors Assisted Living,1010 Alice St,,East Tawas,MI,48730,9893624655,6,"Harbor's Independent Living of East Tawas, Inc."
AS,AS350394415,Harbors Independent of East Tawas,1010 Alice Street,,East Tawas,MI,48730,9893624655,6,"Harbor's Independent Living of East Tawas, Inc."
AF,AF250306261,A Touch of Home,2376 S Long Lake Rd.,,Fenton,MI,48430,8107508273,6,Stacey Stoddard
AS,AS410405563,Victory Palace III,911 College Avenue NE,,Grand Rapids,MI,49503,6168813845,6,Ime & Raphael Etuk
AF,AF570312205,Seasons of life AFC,2033 W. Moorestown Rd.,,Lake City,MI,49651,2312294416,6,"Shepler, Jordan"
AF,AF160312693,The Silver Fox AFC,3325 Walker Road,,Afton,MI,49705,2312384110,6,"Wilson, Lisa"
AS,AS630359503,Anslow Home,6355 Anslow Drive,,Troy,MI,48098,2487237152,6,"Pathways to Self Determination, LLC"
AS,AS090313268,Fitzhugh House,316 S. Fitzhugh,,Bay City,MI,48708,9893161758,6,"Lucia Home, LLC"
AH,AH630309881,Westlake Health Campus,10735 Bogie Lake Rd.,,Commerce Township,MI,48382,2483639400,26,"Trilogy Healthcare of Oakland, LLC  d/b/a"
AL,AL410311105,Green Acres Lowell,11530 Fulton Street East,,Lowell,MI,49331,6169879115,20,"Retirement Living Management of Lowell, LLC"
AM,AM210315739,Beacon Home at Sand Point,9284 Hwy M-35,,Gladstone,MI,49837,9064208446,11,Loving Hands Adult Foster Home LLC
AF,AF300317037,Saving Grace,3501 S. Jerome Road,,Pittsford,MI,49271,5176075557,6,Judith Fitton
AH,AH500315083,Shelby Crossing Health Campus,13794 21 Mile Road,,Shelby Township,MI,48315,5865322100,40,Trilogy Healthcare of Macomb LLC
AS,AS440315900,Sitting Angels,1120 Fairview,,Lapeer,MI,48446,8106608118,6,Vickie Casimiro
AH,AH500315395,Windemere Park Assisted Living I,31900 Van Dyke Avenue,,Warren,MI,48093,5867222605,90,Van Dyke Partners LLC
AH,AH250314824,The Oaks at Woodfield,5370 Baldwin Rd.,,Grand Blanc,MI,48439,8106069950,38,Trilogy Healthcare of Genesee LLC
AS,AS630314214,Orchard Manor,32777 Raphael Road,,Farmington Hills,MI,48330,2483212378,6,"Dafinescu, Rodica"
AM,AM110315886,Country Home,3611 E. Snow Road,,Berrien Springs,MI,49103,2694712128,11,"Loving Care Foster Homes, LLC"
AM,AM030365385,Rehoboth Oaks,2990 138th Avenue,,Dorr,MI,49323,6166104097,12,"Rehoboth AFC, Inc."
AS,AS500345418,Genesis Senior Living III,11631 Canterbury Drive,,Warren,MI,48093,5863817001,6,"Genesis Senior Care, LLC"
AS,AS820316111,Sunshine Homes,19060 Huntington,,Harper Woods,MI,48225,3134697177,6,"Jackson, Diane and Keith"
AF,AF730315899,Paradise AFC,3224 Janes Street,,Saginaw,MI,48601,9897806426,6,Darlean Donald
AF,AF150311398,Valley Assisted Living,01970 Valley View Road,,Boyne Falls,MI,49713,2315492026,6,"Robinson, Marlene and Kevin"
AS,AS700321868,Spring Lake Compassionate Living,16609 Villa Parkway,,Spring Lake,MI,49456,6164145006,6,"Spring Lake Compassionate Living, LLC"
AS,AS630402110,St. Marys Home,24156 St. Marys,,Farmington,MI,48336,2489876169,5,"Advocates for Self Determination, LLC"
AS,AS540372499,Tender House AFC,521 Winter,,Big Rapids,MI,49307,2316298099,6,Sheena Porritt
AS,AS250321981,Beautiful Blades I,1640 Euclid Avenue,,Flint,MI,48503,8102347404,6,G.R.A.C.E. Family Services
AS,AS630321065,Briar Hill Assisted Living,28225 Briar Hill Street,,Farmington Hills,MI,48336,2489872354,6,Briar Hill Assisted Living Inc.
AF,AF590325513,Home Street Manor,PO Box 47,407 E. Home Street,Edmore,MI,48829,9893041635,6,Melinda Lang
AS,AS500405897,Forever Care Homes V,30007 Greater Mack,,St. Calir Shores,MI,48082,5862003796,4,"R & C Homes, Inc."
AF,AF390337794,Butterfly Oasis,3113 Parchmount Ave.,,Kalamazoo,MI,49004,2693425772,6,Theresa Krontz
