Facility Number,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,First Name Administrator,Last Name Administrator,Certification,Certification,Capacity,Alzheimer's SCU,DMH Licensed,Facility Phone Number,Facility Fax Number,Region,Facility Mailing Address,Facility Mailing City,Facility Mailing Zip,Operator Name,Operator Type
05766,A,SNF,NODAWAY NURSING HOME,22371 STATE HIGHWAY 46,MARYVILLE,64468-8157,NODAWAY,JENNIFER,JEWETT,Medicare/Medicaid,265836,60,No,FALSE,(660) 562-2876,(660) 562-1538,4,PO BOX 307,MARYVILLE,64468-0307,"TIFFANY CARE CENTERS, INC",PROFIT CORPORATION
05782,A,SNF,CRYSTAL CREEK HEALTH AND REHABILITATION CENTER,250 NEW FLORISSANT RD SOUTH,FLORISSANT,63031-6716,SAINT LOUIS COUNTY,AMBER,ULRICH,Medicare/Medicaid,265607,158,No,FALSE,(314) 838-2211,3148385981,7,250 NEW FLORISSANT RD SOUTH,FLORISSANT,63031-6716,"FLO-GP LEASING CO, LLC",LIMITED LIABILITY COMPANY
05794,A,SNF,WOODLAND MANOR,1347 EAST VALLEY WATERMILL RD,SPRINGFIELD,65803-3739,GREENE,BRENDA,ALEXANDER,Medicare/Medicaid,265749,180,No,FALSE,(417) 833-1220,4178335979,1,1347 EAST VALLEY WATERMILL RD,SPRINGFIELD,65803-3739,"EBG HEALTH CARE III, INC",PROFIT CORPORATION
05804,A,SNF,PIN OAKS LIVING CENTER,1525 WEST MONROE ST,MEXICO,65265-1201,AUDRAIN,KATHLEEN,CARVER,Medicare/Medicaid,265481,124,No,FALSE,(573) 581-7261,5735817666,5,1525 WEST MONROE ST,MEXICO,65265-1201,"N & R OF MEXICO, LLC",LIMITED LIABILITY COMPANY
05832,N,ALF**,"PINE VIEW MANOR, INC",307 NORTH PINEVIEW ST,STANBERRY,64489-1509,GENTRY,PAMELA D,HAILEY,,,12,No,FALSE,(660) 783-2118,6607832691,4,307 NORTH PINEVIEW ST,STANBERRY,64489-1509,"PINE VIEW MANOR, INC",NOT FOR PROFIT CORPORATION
05832,A,SNF,"PINE VIEW MANOR, INC",307 NORTH PINEVIEW ST,STANBERRY,64489-1509,GENTRY,PAMELA D,HAILEY,Medicare/Medicaid,265506,70,No,FALSE,(660) 783-2118,6607832691,4,307 NORTH PINEVIEW ST,STANBERRY,64489-1509,"PINE VIEW MANOR, INC",NOT FOR PROFIT CORPORATION
05849,A,SNF,OAK GROVE NURSING & REHAB,2108 SOUTH MITCHELL,OAK GROVE,64075-9472,JACKSON,GLORIA,PETERS,Medicare/Medicaid,265710,90,Yes,FALSE,(816) 690-4118,8166908680,3,2108 S MITCHELL,OAK GROVE,64075-9472,"N & R OF OAK GROVE, LLC",LIMITED LIABILITY COMPANY
05864,A,SNF,OAK KNOLL SKILLED NURSING & REHABILITATION CENTER,37 N CLARK AVE,FERGUSON,63135-2323,SAINT LOUIS COUNTY,PATRICK J,BRENCICK,Medicare/Medicaid,265680,72,No,FALSE,(314) 521-7419,3145216889,7,37 N CLARK AVE,FERGUSON,63135-2323,"MILLENNIUM MANAGEMENT & CONSULTING, INC",PROFIT CORPORATION
05900,A,SNF,PIONEER SKILLED NURSING CENTER,1500 SOUTH KANSAS AVE,MARCELINE,64658-1716,CHARITON,MATTHEW,WOODS,Medicare/Medicaid,265169,96,No,FALSE,(660) 376-2001,6603763473,5,1500 S KANSAS AVE,MARCELINE,64658-1716,"PIONEER NURSING, LLC",LIMITED LIABILITY COMPANY
05914,A,SNF,OAK PARK CARE CENTER,6637 BERTHOLD AVE,SAINT LOUIS,63139-3318,SAINT LOUIS CITY,BARRY,CONNER,Medicare/Medicaid,265427,120,No,FALSE,(314) 781-3444,3147816139,7,6637 BERTHOLD AVE,SAINT LOUIS,63139-3318,"OAK PARK HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
05948,D,RCF,WEST PINE GROUP HOME,4232 WEST PINE BLVD,SAINT LOUIS,63108-2840,SAINT LOUIS CITY,AMANDA,BELL,,,9,No,TRUE,(314) 531-9450,(314) 531-4377,7,4232 WEST PINE BLVD,SAINT LOUIS,63108-2840,"PLACES FOR PEOPLE, INC",NOT FOR PROFIT CORPORATION
05970,C,RCF*,LAKESIDE MANOR,810 KENNEDY DRIVE,WARSAW,65355-3044,BENTON,MICHAEL,MCTAVISH,,,35,No,TRUE,(660) 438-8850,(660) 438-3457,6,PO BOX 280,WARSAW,65355-0280,HEART CORE LLC,LIMITED LIABILITY COMPANY
05989,A,SNF,GRAND PAVILION AT THE PLAZA,4330 WASHINGTON,KANSAS CITY,64111-3340,JACKSON,MICHAEL,CALLICOTT,Medicare/Medicaid,265199,154,Yes,FALSE,(816) 753-6800,8169315528,3,4330 WASHINGTON,KANSAS CITY,64111-3340,"GRAND PAVILION, LLC",LIMITED LIABILITY COMPANY
05994,A,SNF,OAKRIDGE OF PLATTSBURG,205 EAST CLAY AVE,PLATTSBURG,64477-8100,CLINTON,ROBERT A,"SWYMELER, JR",Medicare/Medicaid,265742,60,No,FALSE,(816) 539-2128,8165392715,4,PO BOX 247,PLATTSBURG,64477-0247,"CLINTON CONVALESCENT CENTER, INC",NOT FOR PROFIT CORPORATION
06020,A,SNF,PLEASANT VALLEY MANOR CARE CENTER,6814 SOBBIE RD,LIBERTY,64068-9555,CLAY,LADONNA,VAUGHAN,Medicare/Medicaid,265679,102,No,FALSE,(816) 781-5277,8167818273,4,6814 SOBBIE RD,LIBERTY,64068-9555,"PLEASANT VALLEY MANOR, INC",PROFIT CORPORATION
06038,A,SNF,"MANOR GROVE, INCORPORATED",711 SOUTH KIRKWOOD RD,KIRKWOOD,63122-5928,SAINT LOUIS COUNTY,JENNIFER,MCCALLON,Medicare/Medicaid,265833,117,No,FALSE,(314) 965-0864,3149650464,7,711 SOUTH KIRKWOOD RD,KIRKWOOD,63122-5928,"MANOR GROVE, INC",NOT FOR PROFIT CORPORATION
06041,A,SNF,PLEASANT VIEW,470 RAINBOW DR,ROCK PORT,64482-1641,ATCHISON,MANDY,RHOADES,Medicare/Medicaid,265744,60,No,FALSE,(660) 744-6252,6607445701,4,PO BOX 273,ROCK PORT,64482-0273,"TIFFANY CARE CENTERS, INC",PROFIT CORPORATION
06076,D,RCF,THOMAS RESIDENTIAL CARE FACILITY III,1415 OLIVE ST,SAINT JOSEPH,64503-2443,BUCHANAN,TERRY,STRONG,,,20,No,TRUE,(816) 676-0390,8166760390,4,1415 OLIVE ST,SAINT JOSEPH,64503-2443,"TAS CARE, INC",PROFIT CORPORATION
06097,A,SNF,OREGON CARE CENTER,501 MONROE,OREGON,64473-7800,HOLT,KRISTINE,GIBSON,Medicare/Medicaid,265629,60,No,FALSE,(660) 446-3355,6604463690,4,PO BOX 19,OREGON,64473-0019,"TIFFANY CARE CENTERS, INC",PROFIT CORPORATION
06116,A,SNF,OSAGE BEACH REHABILITATION AND HEALTH CARE CENTER,844 PASSOVER RD,OSAGE BEACH,65065-2834,CAMDEN,LUKE,BUCHER,Medicare/Medicaid,265171,94,No,FALSE,(573) 348-2225,5733485061,6,844 PASSOVER RD,OSAGE BEACH,65065-2834,"NHC HEALTHCARE-OSAGE BEACH, LLC",LIMITED LIABILITY COMPANY
06139,A,SNF,ELDON NURSING & REHAB,1001 E NORTH ST,ELDON,65026-2634,MILLER,TREVOR,HAYES,Medicare/Medicaid,265555,90,Yes,FALSE,(573) 392-3164,5733923914,6,1001 E NORTH  ST,ELDON,65026-2634,"N & R OF ELDON, INC",PROFIT CORPORATION
06153,C,RCF*,OUR LADY OF MERCY COUNTRY HOME,2160 MERCY DR,LIBERTY,64068-7955,CLAY,JEFFREY,WALTERS,,,44,No,FALSE,(816) 781-5711,(816) 792-0179,4,2160 MERCY DR,LIBERTY,64068-7955,OUR LADY OF MERCY COUNTRY HOME,NOT FOR PROFIT CORPORATION
06181,M,ALF,FARMINGTON PRESBYTERIAN MANOR,500 CAYCE ST,FARMINGTON,63640-2910,SAINT FRANCOIS,JANE,HULL,,,60,No,FALSE,(573) 756-6768,5737566014,2,500 CAYCE ST,FARMINGTON,63640-2910,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION
06181,D,RCF,FARMINGTON PRESBYTERIAN MANOR,500 CAYCE ST,FARMINGTON,63640-2910,SAINT FRANCOIS,JANE,HULL,,,60,No,FALSE,(573) 756-6768,5737566014,2,500 CAYCE ST,FARMINGTON,63640-2910,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION
06181,A,SNF,FARMINGTON PRESBYTERIAN MANOR,500 CAYCE ST,FARMINGTON,63640-2910,SAINT FRANCOIS,JANE,HULL,Medicare/Medicaid,265583,90,Yes,FALSE,(573) 756-6768,5737566014,2,500 CAYCE ST,FARMINGTON,63640-2910,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION
06217,A,SNF,OZARK REHABILITATION & HEALTH CARE CENTER,1083 OZARK CARE DR,OSAGE BEACH,65065-3016,CAMDEN,KIMBERELEY,LATHROP,Medicare/Medicaid,265178,60,No,FALSE,(573) 348-1711,5733481713,6,PO BOX 270,OSAGE BEACH,65065-0270,"PETERSEN HEALTH OPERATIONS, LLC",LIMITED LIABILITY COMPANY
06229,D,RCF,"JACOBS CARE CENTER, LLC",932 WEST STATE,SPRINGFIELD,65806-2846,GREENE,CAMELIA,IACOB,,,12,No,TRUE,(417) 865-6140,(417) 865-3396,1,932 WEST STATE,SPRINGFIELD,65806-2846,"JACOBS CARE CENTER, LLC",LIMITED LIABILITY COMPANY
06232,D,RCF,LAKESIDE MOUNTAIN MANOR,238 HARMONY HEIGHTS,FORSYTH,65653-5533,TANEY,PATRICIA,GRANT,,,40,No,TRUE,(417) 546-5595,(417) 546-2829,1,238 HARMONY HEIGHTS,FORSYTH,65653-5533,"LAKESIDE MOUNTAIN MANOR, LLC",LIMITED LIABILITY COMPANY
06240,A,SNF,OZARK NURSING & CARE CENTER,1486 NORTH RIVERSIDE RD,OZARK,65721-7688,CHRISTIAN,SUMMER S,BAKER,Medicare/Medicaid,265753,120,No,FALSE,(417) 581-7126,4175813949,1,1486 NORTH RIVERSIDE RD,OZARK,65721-7688,"EBG HEALTH CARE IV, INC",PROFIT CORPORATION
06253,A,SNF,BROOKE HAVEN HEALTHCARE,1410  NORTH KENTUCKY AVE,WEST PLAINS,65775-1822,HOWELL,HOLLY,OSGOOD,Medicare/Medicaid,265400,120,Yes,FALSE,(417) 256-7975,(417) 255-9190,1,1410  NORTH KENTUCKY AVE,WEST PLAINS,65775-1822,"WILLOW HEALTH CARE, INC",NOT FOR PROFIT CORPORATION
06273,D,RCF,"OZARKS METHODIST MANOR, THE",205 SOUTH COLLEGE,MARIONVILLE,65705-9340,LAWRENCE,ARLEN,DAVIDSON,,,76,No,FALSE,(417) 258-2573,4172582240,1,PO BOX 403,MARIONVILLE,65705-0403,OZARKS METHODIST MANOR (THE),NOT FOR PROFIT CORPORATION
06273,A,SNF,"OZARKS METHODIST MANOR, THE",205 SOUTH COLLEGE,MARIONVILLE,65705-9340,LAWRENCE,ARLEN,DAVIDSON,Medicare/Medicaid,265594,78,Yes,FALSE,(417) 258-2573,4172582240,1,PO BOX 403,MARIONVILLE,65705-0403,OZARKS METHODIST MANOR (THE),NOT FOR PROFIT CORPORATION
06291,C,RCF*,PARKWOOD MANOR,325 NORTH SPRIGG ST,CAPE GIRARDEAU,63701-5531,CAPE GIRARDEAU,LAURA,ALLSTUN,,,20,No,TRUE,(573) 334-7011,5733347011,2,325 N  SPRIGG ST,CAPE GIRARDEAU,63701-5531,SHALIMAR CORPORATION,PROFIT CORPORATION
06291,D,RCF,PARKWOOD MANOR,325 NORTH SPRIGG ST,CAPE GIRARDEAU,63701-5531,CAPE GIRARDEAU,LAURA,ALLSTUN,,,10,No,FALSE,(573) 334-7011,5733343431,2,325 NORTH SPRIGG ST,CAPE GIRARDEAU,63701-5531,SHALIMAR CORPORATION,PROFIT CORPORATION
06308,A,SNF,PARKDALE MANOR CARE CENTER,814 WEST SOUTH AVE,MARYVILLE,64468-2772,NODAWAY,NELLIE,PEELER,Medicare/Medicaid,265591,92,No,FALSE,(660) 582-8161,6605822798,4,814 W SOUTH AVE,MARYVILLE,64468-2772,"PARKDALE MANOR, INC",PROFIT CORPORATION
06316,A,SNF,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",2150 WEST RANDOLPH ST,SAINT CHARLES,63301-0894,SAINT CHARLES,KELLY,ARNOLD,Medicare/Medicaid,265518,66,No,FALSE,(636) 946-4966,6369400214,5,2150 WEST RANDOLPH ST,SAINT CHARLES,63301-0894,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",LIMITED LIABILITY COMPANY
06316,N,ALF**,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",2150 WEST RANDOLPH ST,SAINT CHARLES,63301-0894,SAINT CHARLES,KELLY,ARNOLD,,,90,Yes,FALSE,(636) 946-4966,6369400214,5,2150 WEST RANDOLPH ST,SAINT CHARLES,63301-0894,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",LIMITED LIABILITY COMPANY
06322,A,SNF,ROYAL OAK NURSING & REHAB,4960 LACLEDE AVE,SAINT LOUIS,63108-1404,SAINT LOUIS CITY,ARTHUR,WILLIAMS JR,Medicare/Medicaid,265378,168,No,FALSE,(314) 361-6240,3143616682,7,4960 LACLEDE AVE,SAINT LOUIS,63108-1404,"SIRO OP ROYAL OAK, LLC",LIMITED LIABILITY COMPANY
06353,D,RCF,"PATRICIA'S RESIDENTIAL CARE FACILITY, INC",510 EAST 2ND STREET,ANNAPOLIS,63620-9104,IRON,KIMBERLY,ALCORN,,,12,No,TRUE,(573) 598-4202,(573) 598-3885,2,510 EAST 2ND STREET,ANNAPOLIS,63620-9104,"PATRICIA'S RESIDENTIAL CARE FACILITY, INC",PROFIT CORPORATION
06369,B,ICF,PEACE HAVEN ASSOCIATION,12630 ROTT RD,SAINT LOUIS,63127-1214,SAINT LOUIS COUNTY,LESLIE,GERBER,,,42,No,FALSE,(314) 965-3833,(314) 965-5260,7,12630 ROTT RD,SAINT LOUIS,63127-1214,PEACE HAVEN ASSOCIATION,NOT FOR PROFIT CORPORATION
06393,A,SNF,INDEPENDENCE CARE CENTER OF PERRY COUNTY,800 SOUTH KINGSHIGHWAY,PERRYVILLE,63775-2106,PERRY,DANA,KORANDO,Medicare/Medicaid,265829,133,Yes,FALSE,(573) 547-6546,(573) 547-2823,2,800 SOUTH KINGSHWY,PERRYVILLE,63775-2106,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION
06393,C,RCF*,INDEPENDENCE COURT,121 INDEPENDENCE DR,PERRYVILLE,63775-1496,PERRY,CASEY,ELLIS,,,75,No,FALSE,(573) 547-1499,(573) 547-2823,2,121 INDEPENDENCE DR,PERRYVILLE,63775-1496,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION
06430,A,SNF,ST ANDREW'S AT FRANCIS PLACE,300 FORBY RD,EUREKA,63025-2321,SAINT LOUIS COUNTY,BRAD,QUEEN,Medicare/Medicaid,265195,106,No,FALSE,(636) 938-5151,(636) 938-5266,7,300 FORBY RD,EUREKA,63025-2321,ST ANDREW'S AT FRANCIS PLACE,NOT FOR PROFIT CORPORATION
06441,A,SNF,"MAPLES HEALTH AND REHABILITATION, THE",610 WEST SUNSET ST,SPRINGFIELD,65807-3696,GREENE,CRAIG,TALLEY,Medicare/Medicaid,265559,120,No,FALSE,(417) 891-1700,(417) 891-1792,1,610 WEST SUNSET ST,SPRINGFIELD,65807-3696,"GREENECO NC OPS, INC",PROFIT CORPORATION
06453,A,SNF,PEARL'S II EDEN FOR ELDERS,611 NORTH COLLEGE,PRINCETON,64673-1051,MERCER,JUDY,BAGLEY,Medicare/Medicaid,265796,60,No,FALSE,(660) 748-4407,(660) 748-4409,4,611 NORTH COLLEGE,PRINCETON,64673-1051,"PEARL'S II EDEN FOR ELDERS, LLC",LIMITED LIABILITY COMPANY
06469,A,SNF,CHARITON PARK HEALTH CARE CENTER,902 MANOR DR,SALISBURY,65281-1236,CHARITON,PARES,CHAPPLE,Medicare/Medicaid,265526,120,No,FALSE,(660) 388-6486,6603885705,5,902 MANOR DR,SALISBURY,65281-1236,"CHARITON PARK HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
06481,A,SNF,NORTH VILLAGE PARK,2041 SILVA LN,MOBERLY,65270-3658,RANDOLPH,DOMINIQUE,LILO,Medicare/Medicaid,265330,184,No,FALSE,(660) 269-7300,6602630751,5,2041 SILVA LN,MOBERLY,65270-3658,"NORTH VILLAGE PARK, LLC",LIMITED LIABILITY COMPANY
06516,A,SNF,PUTNAM COUNTY CARE CENTER,1814 OAK ST,UNIONVILLE,63565-1275,PUTNAM,PASSION,WYANT,Medicare/Medicaid,265826,60,NO,FALSE,(660) 947-2492,6609474121,5,1814 OAK ST,UNIONVILLE,63565-1275,PUTNAM COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
06527,D,RCF,SUNNY MEADOWS LIVING CENTER,419 NORTH PROSPECT AVE,SEDALIA,65301-2729,PETTIS,BARBARA C,FISHER,,,12,No,TRUE,(660) 826-5353,(660) 826-5780,6,419 N PROSPECT AVE,SEDALIA,65301-2729,"FISHER, DAVID H & BARBARA C",GENERAL PARTNERSHIP
06555,A,SNF,BRIDGEWOOD HEALTH CARE CENTER,11515 TROOST,KANSAS CITY,64131-3769,JACKSON,JAKE,WAISI,Medicare/Medicaid,265822,166,Yes,FALSE,(816) 943-0101,8169431615,3,11515 TROOST,KANSAS CITY,64131-3769,"BRIDGEWOOD HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
06579,C,RCF*,WATTS STREET MANOR,301 WATTS ST,PARK HILLS,63601-1839,SAINT FRANCOIS,SCHERYL,FOURNIER,,,16,No,TRUE,(573) 431-4874,(573) 431-4874,2,PO BOX 481,PARK HILLS,63601-0481,"LBENHOLDINGS, LLC",LIMITED LIABILITY COMPANY
06582,A,SNF,REST HAVEN CONVALESCENT & RETIREMENT HOME,1800 SOUTH INGRAM,SEDALIA,65301-7538,PETTIS,GEORGANN,FOSTER,Medicare/Medicaid,265854,86,No,FALSE,(660) 827-0845,6608270842,6,1800 S INGRAM,SEDALIA,65301-7538,"JOHN T FINLEY, INC",PROFIT CORPORATION
06604,A,SNF,ROSEWOOD HEALTH AND REHAB CENTER,1415 WEST WHITE OAK,INDEPENDENCE,64050-2590,JACKSON,DEANNA,SHAFFER,Medicare/Medicaid,265786,300,Yes,FALSE,(816) 254-3500,8165214909,3,1415 WEST WHITE OAK,INDEPENDENCE,64050-2590,"ROSEWOOD HEALTH AND REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
06604,N,ALF**,WHITE OAK LIVING CENTER,1515 WEST WHITE OAK,INDEPENDENCE,64050-2557,JACKSON,DEANNA,SHAFFER,,,78,No,FALSE,(816) 254-3500,8165214909,3,1515 WEST WHITE OAK,INDEPENDENCE,64050-2557,"ROSEWOOD HEALTH AND REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
06640,A,SNF,RIDGE CREST NURSING CENTER,706 SOUTH MITCHELL,WARRENSBURG,64093-2828,JOHNSON,LINDA,HAWKINS,Medicare/Medicaid,265797,120,Yes,FALSE,(660) 429-2177,(660) 429-1929,3,706 SOUTH MITCHELL,WARRENSBURG,64093-2828,"WARRENSBURG #1, INC",PROFIT CORPORATION
06656,A,SNF,RIDGEVIEW LIVING COMMUNITY,500 BARRETT DR,MALDEN,63863-1204,DUNKLIN,HOWARD,HARDIN,Medicare/Medicaid,265384,96,No,FALSE,(573) 276-3843,5732763736,2,500 BARRETT DR,MALDEN,63863-1204,"MALDEN N & R, LLC",LIMITED LIABILITY COMPANY
06668,M,ALF,RIDGEWAY RESIDENTIAL CARE,431 RUSSELL,SULLIVAN,63080-2228,FRANKLIN,JACQUELINE,TAYLOR,,,20,No,TRUE,(573) 468-4318,(573) 468-8215,6,PO BOX 267,SULLIVAN,63080-0267,"TURNER, DEBORAH J",SOLE PROPRIETOR
06672,A,SNF,RIVER OAKS CARE CENTER,1001 NORTH WALNUT,STEELE,63877-1355,PEMISCOT,DAVID,PIERCE,Medicare/Medicaid,265210,90,No,FALSE,(573) 695-2121,5736954624,2,1001 N  WALNUT,STEELE,63877-1355,"STEELE #1, INC",PROFIT CORPORATION
06729,A,SNF,RIVERVIEW AT THE PARK CARE AND REHABILITATION CENTER,1100 PROGRESS PARKWAY,SAINTE GENEVIEVE,63670-9232,SAINTE GENEVIEVE,CYNTHIA,SANDER,Medicare/Medicaid,265743,120,YES,FALSE,(573) 883-3454,5738837673,2,1100 PROGRESS PARKWAY,SAINTE GENEVIEVE,63670-9232,"RIVERVIEW AT THE PARK, INC",PROFIT CORPORATION
06730,A,SNF,RIVERVIEW NURSING CENTER,10303 STATE RD C,MOKANE,65059-1211,CALLAWAY,TIFFANY,SHOWERS,Medicare/Medicaid,265434,60,No,FALSE,(573) 676-3136,5736763139,6,10303 STATE RD C,MOKANE,65059-1211,"MOKANE #1, INC",PROFIT CORPORATION
06744,A,SNF,RIVERWAYS MANOR,403 WATERCRESS RD,VAN BUREN,63965-9100,CARTER,ANGELA,LONG,Medicare/Medicaid,265363,60,No,FALSE,(573) 323-4282,(573) 323-8224,2,PO BOX 969,VAN BUREN,63965-0969,"VAN BUREN #1, INC",PROFIT CORPORATION
06782,A,SNF,HIGHLAND REHABILITATION & HEALTH CARE CENTER,904 EAST 68TH ST,KANSAS CITY,64131-1305,JACKSON,DAWN,MILLER,Medicare/Medicaid,265167,162,Yes,FALSE,(816) 333-5485,8163614814,3,904 EAST 68TH ST,KANSAS CITY,64131-1305,"HIGHLAND NURSING AND REHABILITATION CENTER, LLC",LIMITED LIABILITY COMPANY
06794,N,ALF**,ROCKHILL MANOR ASSISTED LIVING,4235 LOCUST ST,KANSAS CITY,64110-1016,JACKSON,JONATHAN,HARRUP,,,36,No,TRUE,(816) 931-2225,8169315225,3,PO BOX 5930,KANSAS CITY,64171-0930,"ROCKHILL MANOR, INC",PROFIT CORPORATION
06794,M,ALF,ROCKHILL MANOR ASSISTED LIVING,4235 LOCUST ST,KANSAS CITY,64110-1016,JACKSON,JONATHAN,HARRUP,,,154,No,TRUE,(816) 931-2225,8169315225,3,PO BOX 5930,KANSAS CITY,64171-0930,"ROCKHILL MANOR, INC",PROFIT CORPORATION
06801,A,SNF,CEDAR POINTE,1800 WHITE COLUMNS DR,ROLLA,65401-2044,PHELPS,DANIEL,SPENCE,Medicare/Medicaid,265279,102,Yes,FALSE,(573) 364-7766,5733641593,6,1800 WHITE COLUMNS DR,ROLLA,65401-2044,"ROLLA GRAND, LLC",LIMITED LIABILITY COMPANY
06810,A,SNF,SHEPHERD OF THE HILLS LIVING CENTER,996 STATE HIGHWAY 248,BRANSON,65616-8154,TANEY,ANGANILE,GONDWE,Medicare/Medicaid,265393,100,No,FALSE,(417) 334-6431,4173346460,1,996 STATE HWY 248,BRANSON,65616-8154,"N & R OF BRANSON, LLC",LIMITED LIABILITY COMPANY
06838,A,SNF,SILEX COMMUNITY CARE,111 DUNCAN MANSION RD,SILEX,63377-2229,LINCOLN,AMANDA,MARSTEN,Medicare/Medicaid,265611,60,No,FALSE,(573) 384-5218,5733845470,5,111 DUNCAN MANSION RD,SILEX,63377-2229,"N & R OF SILEX, INC",PROFIT CORPORATION
06864,A,SNF,SARCOXIE NURSING CENTER,1505 MINER,SARCOXIE,64862-9211,JASPER,JOHNNA,GREATHOUSE,Medicare/Medicaid,265649,40,No,FALSE,(417) 548-3434,(417) 548-6929,1,PO BOX 248,SARCOXIE,64862-0248,"SARCOXIE NURSING CENTER, LLC",LIMITED LIABILITY COMPANY
06934,A,SNF,SALT RIVER COMMUNITY CARE,142 SHELBY PLAZA RD,SHELBINA,63468-1065,SHELBY,CHRISANDRA,RATLIFF,Medicare/Medicaid,265694,120,Yes,FALSE,(573) 588-4175,(573) 588-2020,5,PO BOX 529,SHELBINA,63468-0529,SALT RIVER NURSING HOME DISTRICT,NURSING HOME DISTRICT
07004,A,SNF,SCHUYLER COUNTY NURSING HOME,1306 US HIGHWAY 63,QUEEN CITY,63561-2251,SCHUYLER,MARCIA,MARTIN,Medicare/Medicaid,265816,60,No,FALSE,(660) 766-2291,6607662293,5,1306 US HIGHWAY 63,QUEEN CITY,63561-2251,SCHUYLER COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
07013,A,SNF,SCOTLAND COUNTY CARE CENTER,434 E SIGLER AVE,MEMPHIS,63555-1714,SCOTLAND,TIMOTHY,SCHRAGE,Medicare/Medicaid,265788,96,Yes,FALSE,(660) 465-7221,(660) 465-7347,5,434 E SIGLER AVE,MEMPHIS,63555-1714,SCOTLAND COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
07013,C,RCF*,SCOTLAND COUNTY RESIDENTIAL TERRACE,434 E SIGLER AVE,MEMPHIS,63555-1718,SCOTLAND,TIMOTHY,SCHRAGE,,,28,No,FALSE,(660) 465-7221,(660) 465-7347,5,434 E SIGLER AVE,MEMPHIS,63555-1718,SCOTLAND COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
07039,M,ALF,SUNSHINE VILLA,2520 JAMES ST,SCOTT CITY,63780-1219,SCOTT,TINA,MCCULLEY,,,26,No,TRUE,(573) 264-2424,(573) 264-1252,2,2520 JAMES ST,SCOTT CITY,63780-1219,SCOTT CITY SUNSHINE LLC,LIMITED LIABILITY COMPANY
07057,A,SNF,COTTON POINT LIVING CENTER,609 SOUTH RAILROAD ST,MATTHEWS,63867-9751,NEW MADRID,MICHELLE,CHISM,Medicare/Medicaid,265859,98,Yes,FALSE,(573) 471-7861,5734719527,2,609 SOUTH RAILROAD ST,MATTHEWS,63867-9751,NEW MADRID NO 1 INC,PROFIT CORPORATION
07092,A,SNF,PARKWAY HEALTH CARE CENTER,2323 SWOPE PARKWAY,KANSAS CITY,64130-2638,JACKSON,PAULA,CARROLL,Medicare/Medicaid,265532,97,No,FALSE,(816) 924-1122,8169230955,3,2323 SWOPE PARKWAY,KANSAS CITY,64130-2638,"PARKWAY HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
07110,A,SNF,SEVILLE CARE CENTER,35625 HIGHWAY 72,SALEM,65560-7217,DENT,TERRY (MS),ROACH,Medicare/Medicaid,265521,90,No,FALSE,(573) 729-6141,5737292811,6,PO BOX 746,SALEM,65560-0746,"COMMUNITY CARE CENTER OF SALEM, INC",PROFIT CORPORATION
07147,A,SNF,SHADY LAWN LIVING CENTER,13277 STATE ROUTE D,SAVANNAH,64485-9431,ANDREW,RENEE,SANAI,Medicare/Medicaid,265846,88,Yes,FALSE,(816) 324-5991,(816) 324-3556,4,13277 STATE ROUTE D,SAVANNAH,64485-9431,"SHADY LAWN LIVING CENTER, INC",PROFIT CORPORATION
07171,C,RCF*,J & J RESIDENTIAL CARE FACILITY II,104 WESBECHER,MARBLE HILL,63764-0378,BOLLINGER,BARBARA,GREBING,,,12,No,TRUE,(573) 238-4602,(573) 238-3233,2,PO BOX 378,MARBLE HILL,63764-0378,"J & J ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY
07181,D,RCF,"GREATER HEIGHTS RCF, LLC",600 NORTH FRONT ST,PARK HILLS,63601-3804,SAINT FRANCOIS,DEBORAH,GORE,,,40,No,TRUE,(573) 431-0344,(573) 431-3229,2,PO BOX 603,PARK HILLS,63601-0603,"GREATER HEIGHTS RCF, LLC",LIMITED LIABILITY COMPANY
