Facility ID,State Facility Type 2 Literal,Facility Name,Address,City,Zip Code,County,Capacity,Phone Number,Licensee,Ownership Type,Date Accessed,State Facility Type 1 Literal,State
6604,N,White Oak Living Center,1515 WEST WHITE OAK,Independence,64050-2557,Jackson,78,(816) 254-3500,"ROSEWOOD HEALTH AND REHAB CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
6668,M,Ridgeway Residential Care,431 RUSSELL,Sullivan,63080-2228,Franklin,20,(573) 468-4318,"TURNER, DEBORAH J",SOLE PROPRIETOR,6/29/21,ASSISTED LIVING FACILITY,MO
6794,N,Rockhill Manor Assisted Living,4235 LOCUST ST,Kansas City,64110-1016,Jackson,36,(816) 931-2225,"ROCKHILL MANOR, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
7013,C,Scotland County Residential Terrace,434 E SIGLER AVE,Memphis,63555-1718,Scotland,28,(660) 465-7221,SCOTLAND COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
7039,M,Sunshine Villa,2520 JAMES ST,Scott City,63780-1219,Scott,26,(573) 264-2424,SCOTT CITY SUNSHINE LLC,LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
7171,C,J & J Residential Care Facility Ii,104 WESBECHER,Marble Hill,63764-0378,Bollinger,12,(573) 238-4602,"J & J ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
7181,D,"Greater Heights Rcf, Llc",600 NORTH FRONT ST,Park Hills,63601-3804,Saint Francois,40,(573) 431-0344,"GREATER HEIGHTS RCF, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
7268,C,Joy Adult Care Center,614 SOUTH MAIN,Clinton,64735-2620,Henry,42,(660) 885-8328,"K & J CARE ENTERPRISES, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
7322,D,Colonial House Of Festus Ii,129 GRAY ST,Festus,63028-1950,Jefferson,23,(636) 937-4050,"COLONIAL HOUSE OF FESTUS II, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
7516,N,St Elizabeth Hall,325 NORTH NEWSTEAD AVE,Saint Louis,63108-2707,Saint Louis City,50,(314) 652-9525,CARDINAL RITTER SENIOR SERVICES,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
7585,N,St Louis Altenheim,5408 SOUTH BROADWAY,Saint Louis,63111-2023,Saint Louis City,23,(314) 353-7225,ST LOUIS ALTENHEIM,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
7594,N,Charter Senior Living At St Louis Hills,6543 CHIPPEWA ST,Saint Louis,63109-4100,Saint Louis City,181,(314) 647-6600,KJB TENANT ST LOUIS  LLC,LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
7606,N,"St Luke'S Care Center, Inc",1220 EAST FAIRVIEW AVE,Carthage,64836-3122,Jasper,41,(417) 358-9084,"ST LUKE'S CARE CENTER, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
7709,D,Stover'S Residential Care Facility,520 EAST 5TH ST,Milan,63556-1222,Sullivan,20,(660) 265-3262,"HULETT, DONNA R",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
7712,C,Bowling Green Residential Care,119 WEST CENTENNIAL AVE,Bowling Green,63334-1605,Pike,25,(573) 324-5560,"INTEGRATED HEALTH AND WELLNESS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
7725,D,Sunnyhill Residential Care Facility,134 GRAY ST,Festus,63028-1949,Jefferson,20,(636) 931-4701,"SUNNY HILL, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
7733,D,Sturgeon Residential Care,315 E  STONE ST,Sturgeon,65284-8907,Boone,20,(573) 687-3012,STURGEON REST RESIDENTIAL CARE LLC,LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
7824,C,Carriage Residential Care Center Llc,508 NORTH WASHINGTON ST,Farmington,63640-1756,Saint Francois,20,(573) 756-8140,"CARRIAGE RESIDENTIAL CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
7966,D,Thomas Residential Care Center Ii,119 VIRGINIA ST,Saint Joseph,64504-1543,Buchanan,16,(816) 238-5266,"TAS CARE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
8077,C,"Towne House, The",221 EAST WHITLEY,Mexico,65265-2815,Audrain,29,(573) 581-2547,"BRAUN ENTERPRISES, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
8096,C,Tri-County Care Center,601 NORTH GALLOWAY RD,Vandalia,63382-1252,Audrain,20,(573) 594-6467,TRI-COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
8129,C,Troy House Rescare,350 CAP AU GRIS,Troy,63379-1761,Lincoln,23,(636) 462-4915,"TROY HOUSE RES. CARE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
8209,C,"Twin Oaks Estate, Inc",707 EMGE RD,O'Fallon,63366-2118,Saint Charles,149,(636) 240-6152,"TWIN OAKS ESTATE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
8220,D,Coates Street Comfort House,612 WEST COATES ST,Moberly,65270-1319,Randolph,20,(660) 263-6759,"COATES STREET COMFORT HOUSE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
8242,D,Urbana Rest Home,310 WALNUT ST,Urbana,65767-9208,Dallas,20,(417) 993-4638,"BAILEY, TIMOTHY",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
8354,M,Walnut Street Assisted Living,404 WALNUT ST,Doniphan,63935-1420,Ripley,35,(573) 996-4316,"RIPLEY COUNTY COLONIAL HOME, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
8379,D,Pine Valley Rcf,3381    1ST STREET,Doe Run,63637-3155,Saint Francois,12,(573) 760-8601,"HARD KNOCKS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
8405,C,Webco East,1687 W  WASHINGTON ST,Marshfield,65706-2325,Webster,24,(417) 859-5144,WEBSTER COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
8573,D,Jones' Wildwood Care Center,12806 HWY 151,Madison,65263-3114,Monroe,32,(660) 291-8636,"JONES WILDWOOD CARE CENTER, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
8591,N,Orilla'S Way,1209 SOUTH HIGH ST,Grant City,64456-0056,Worth,37,(660) 564-2204,"GOFF MANAGEMENT, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
8609,D,Barnabas Redwood Manor,1194 LANDON RD,Bourbon,65441-8218,Crawford,47,(573) 468-8150,"BARNABAS OPERATIONS #2, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
8614,M,Willow West Apartments,2644 STATE ROUTE 76,Willow Springs,65793-8254,Howell,36,(417) 469-3152,"WILLOW HEALTH CARE, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
8653,D,Sunshine Home Care - St Charles,618 HEMSATH RD,Saint Charles,63303-5919,Saint Charles,27,(636) 947-7799,"SUNSHINE HOME CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
8668,D,Windemere Residential Care,3100 NORTH WEST VIVION RD,Riverside,64150-9436,Platte,65,(816) 741-0753,"JAMES L WEBB ENTERPRISES, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
8707,C,"Mary'S Ranch, Inc","ROUTE 2, BOX 2790",Marble Hill,63764-9510,Bollinger,32,(573) 238-4253,"MARY'S RANCH, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
8729,D,Winfield Residential Care,220 WEST WALNUT ST,Winfield,63389-1122,Lincoln,20,(636) 668-8110,"INTEGRATED HEALTH AND WELLNESS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
8791,M,Gaslight Manor,25466 NORTH HWY 5,Lebanon,65536-,Laclede,80,(417) 991-2803,"OLIVE MOUNTAIN RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
8923,D,Cedar Valley Boarding Home,286 HIGHWAY VV,Broseley,63932-9174,Butler,10,(573) 686-4877,"731 INVESTMENTS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
8945,C,"Village, The",320 EAST LITTLE BRICK RD,Cameron,64429-1231,Dekalb,49,(816) 632-7611,"CAMERON HEALTHCARE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
9270,N,Hillside Living Center,10109 RESTORATION CIRCLE,Mineral Point,63660-8538,Washington,60,(573) 562-0303,"HILLSIDE LIVING CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
9477,C,Whispering Pines Senior Living Llc,4904 EAST WELLRIDGE LN,Joplin,64801-8793,Jasper,20,(417) 781-0099,WHISPERING PINES SENIOR LIVING LLC,LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
9756,C,"Lodges, The",2401 W GRAND ST,Springfield,65802-4967,Greene,99,(417) 864-4545,"SPRINGFIELD HEALTHCARE MANAGEMENT, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
10128,N,Ridgeview Assisted Living Center,13134 STATE HIGHWAY 25,Dexter,63841-9740,Stoddard,26,(573) 624-4433,"STODDARD NO 1, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
10300,M,Oak Tree Villas - A Stonebridge Community,3108 WEST TRUMAN BLVD,Jefferson City,65109-4918,Cole,80,(573) 893-3063,"ELDERCARE OF MID-MISSOURI VIII, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
10346,M,Riverside Place,1616 WEISENBORN RD,Saint Joseph,64507-2527,Buchanan,100,(816) 232-9874,"DIVERSICARE OF RIVERSIDE, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
10444,C,Hudson House,1700-B SOUTH HUDSON AVE,Aurora,65605-2717,Lawrence,41,(417) 678-2169,"COMMUNITY RESIDENCE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
10470,C,Lindell Manor,4336 LINDELL BLVD,Saint Louis,63108-2702,Saint Louis City,24,(314) 652-4828,"LINDELL MANOR, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
10529,C,"South Haven Residential Care Center, Llc",10462 AIRPORT RD,Mineral Point,63660-9325,Washington,20,(573) 438-4150,"SOUTH HAVEN RESIDENTIAL CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
10631,M,"My Place Residential Care, L.C.",23 NORTH SIXTH ST,Festus,63028-1301,Jefferson,44,(636) 933-1793,"MY PLACE RESIDENTIAL CARE, LC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
10857,C,"Autumn Woods, Inc",5500 NW HOUSTON LAKE DR,Kansas City,64151-3472,Platte,28,(816) 587-2263,"AUTUMN WOODS, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
10889,D,Ms B'S Blessings,4739 COTE BRILLIANTE AVE,Saint Louis,63113-1813,Saint Louis City,6,(314) 533-1922,"SYKES, ROSILAND",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY,MO
10918,M,Brook Cherith Assisted Living,104 EAST ELM ST,Huntsville,65259-1111,Randolph,38,(660) 277-4439,"BROOK LLC, THE",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
10934,M,"Pathways Program, The",161 PIEPER RD,O'Fallon,63366-,Saint Charles,18,(636) 978-3132,"COMPASS HEALTH, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
11002,C,"Union Manor, Llc",2711 NORTH UNION BLVD,Saint Louis,63113-1003,Saint Louis City,50,(314) 383-7310,"COOK, ALMA",SOLE PROPRIETOR,6/29/21,RESIDENTIAL CARE FACILITY*,MO
11118,D,"Omega House I, Llc",500 NORTH ST,Hannibal,63401-3333,Marion,12,(573) 221-9103,"OMEGA HOUSE I, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
11123,D,"Diana'S Boarding Home 1, Inc",15431 STATE HIGHWAY M,Marble Hill,63764-7487,Bollinger,20,(573) 866-2010,DIANA'S BOARDING HOME 1 INC,PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
11134,M,Country Haven Boarding Home - Building I,19235 STATE ROUTE EE,Sainte Genevieve,63670-8213,Sainte Genevieve,18,(573) 756-8141,"OSMAN, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
11146,N,"Blue Hills Rest Home, Inc",2207 NORTH BLUE MILLS RD,Independence,64058-2022,Jackson,63,(816) 796-3376,"BLUE HILLS REST HOME, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
11225,D,Mooreview Residential,130 WEST CULTON,Warrensburg,64093-1720,Johnson,20,(660) 429-1587,"SMITH CARE RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
11483,M,"Countryside Manor, Llc",1415 E US HIGHWAY 54,Vandalia,63382-2908,Audrain,18,(573) 594-6215,"COUNTRYSIDE MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
11794,D,"Heritage Avonlea Of Gladstone, Llc",2801 NE 60TH ST,Gladstone,64119-2040,Clay,100,(816) 454-7755,"HERITAGE AVONLEA OF GLADSTONE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
12510,N,Heritage Village Of Gladstone,3000 NORTH EAST 64TH ST,Gladstone,64119-1569,Clay,60,(816) 454-5130,HERITAGE HEALTH MANAGEMENT 1 LLC,LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
12549,N,Meadowview Memory Care,555 WOODLAND VILLAS LANE,Arnold,63010-2011,Jefferson,24,(636) 296-1400,"WOODLAND MANOR OF ARNOLD, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
12621,D,El Dorado Springs Residential Care,805 NORTH JACKSON ST,El Dorado Springs,64744-2912,Cedar,60,(417) 876-4278,"EL DORADO SPRINGS RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
12638,N,Pacific Care Center,105 SOUTH SIXTH ST,Pacific,63069-1328,Franklin,16,(636) 271-4222,"PACIFIC MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
12693,N,"Arbors At Westridge Place - Memory Care By Americare, The",539 NORTH WEST ST,Sikeston,63801-5443,Scott,28,(573) 471-6484,"LA BONNE MAISON RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
12724,C,Jeanne Jugan Center,8745 JAMES A REED ROAD,Kansas City,64138-4414,Jackson,24,(816) 761-4744,LITTLE SISTERS OF THE POOR (B00003156),NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
12737,C,"Countryside Care Center, Llc",385 SOUTH EISENHOWER,Monett,65708-8266,Barry,33,(417) 235-4040,"COUNTRYSIDE CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
12751,M,Fountainbleau Lodge,2001 NORTH KINGSHIGHWAY,Cape Girardeau,63701-2193,Cape Girardeau,56,(573) 335-1999,"FOUNTAINBLEAU OF CAPE GIRARDEAU, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
13089,D,Lee House Senior Living Llc,105 NORTH MILL ST,Eldon,65026-1728,Miller,53,(573) 392-5558,"LEE HOUSE SENIOR LIVING, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
13150,C,Quality Residential Care,2034 WEST COLLEGE,Springfield,65806-1524,Greene,42,(417) 831-6466,"CARE ENTERPRISES, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13182,C,Heritage Village Of Platte City,15 WALLINGFORD DR,Platte City,64079-9604,Platte,30,(816) 858-2182,HERITAGE HEALTH MANAGEMENT 2 LLC,LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13193,C,"Crawford Ranch Boarding Home, Llc",2200 VARVERA RD,Doe Run,63637-3121,Saint Francois,32,(573) 756-4656,"CRAWFORD RANCH BOARDING HOME, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13219,N,Ignite Medical Resort St Marys Llc,111 MOCK AVE,Blue Springs,64014-2504,Jackson,57,(816) 228-5655,IGNITE MEDICAL RESORT ST MARY'S LLC,LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13255,M,"Colonial Manor, Llc",907 WEST MALONE ST,Sikeston,63801-2425,Scott,20,(573) 471-5541,"COLONIAL MANOR, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
13294,N,Spencer Place - Assisted Living By Americare,265 SPENCER RD,Saint Peters,63376-2430,Saint Charles,74,(636) 441-6662,"ST PETERS RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13351,D,Sunnyhills Residential Care Facility,17562 IMPERIAL RD,Carthage,64836-8753,Jasper,18,(417) 358-6122,"DAY MANAGEMENT, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
13440,D,"Oaks, The",5550 NOLAND ROAD,Kansas City,64133-3685,Jackson,62,(816) 356-0200,"TALL TIMBERS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
13487,D,Anna'S House Residential Care Facility Llc,194 STATE HIGHWAY MM,Niangua,65713-8411,Webster,11,(417) 473-6000,"ANNA'S HOUSE RESIDENTIAL CARE FACILITY, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
13501,C,"Villas-A Stonebridge Community, The",1550 VILLAS DR,De Soto,63020-2586,Jefferson,80,(636) 586-6559,"ELDERCARE OF MID-MISSOURI IV, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13522,C,Bridgeway Residential Care Facility,828 JEFFERSON ST,Fulton,65251-1877,Callaway,94,(573) 642-7770,"BRIDGEWAY RESIDENTIAL CARE FACILITY, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13536,N,Lutheran Home Assisted Living,2825 BLOOMFIELD RD,Cape Girardeau,63703-6335,Cape Girardeau,115,(573) 335-0158,LUTHERAN HOME FOR THE AGED,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
13544,N,"Arbors At Lakeview Bend - Assisted Living By Americare, The",1700 ASBURY CIRCLE WEST,Mexico,65265-1400,Audrain,39,(573) 581-8777,"MEXICO RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13589,N,Arbors At Parkside - Memory Care Assisted Living By Americare,1700 EAST 10TH ST,Rolla,65401-4600,Phelps,22,(573) 364-2602,"ROLLA RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13596,N,Willow Brooke - Assisted Living By Americare,#1 NORTH POTOMAC CT,Union,63084-1113,Franklin,50,(636) 583-2799,"UNION COURT RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13608,D,Turning Point Group Home,1720 SWOPE DR,Independence,64057-2163,Jackson,12,(816) 257-1435,"INDEPENDENT RESIDENTIAL SERVICES, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY,MO
13636,C,Ozark Oaks Residential Care Facility Ii,3405 S SCHIFFERDECKER,Joplin,64804-1388,Newton,30,(417) 347-7760,OZARK CENTER,NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13641,C,Pleasant Valley Manor,213 DAVIS DR,West Plains,65775-2274,Howell,72,(417) 257-0179,"WEST VUE, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13663,N,Cedarhurst Of Tesson Heights,12335 WEST BEND DR,Saint Louis,63128-2160,Saint Louis County,79,(314) 849-1366,CEDARHURST OF TESSON HEIGHTS OPERATOR LLC,LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13697,D,Magnolia House,204 GRAND AVE,Festus,63028-1842,Jefferson,12,(636) 933-0662,"HARD KNOCKS, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
13735,N,South Pointe - Assisted Living By Americare,5125 OLD HWY 100,Washington,63090-3855,Franklin,72,(636) 239-0670,"WASHINGTON RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY**,MO
13765,C,Laurie Knolls,610 HIGHWAY O,Laurie,65038-,Morgan,66,(573) 374-8263,GOOD SHEPHERD NURSING HOME DISTRICT #1,NURSING HOME DISTRICT,6/29/21,RESIDENTIAL CARE FACILITY*,MO
13774,D,Waterford Ladies Home,500 NW VESPER ST,Blue Springs,64014-2744,Jackson,27,(816) 228-6337,"WATERFORD VILLAGE, LP",LIMITED PARTNERSHIP,6/29/21,RESIDENTIAL CARE FACILITY,MO
13854,C,Cedars Of Liberty Health Care Center,200 WEST RUTH EWING RD,Liberty,64068-9496,Clay,206,(816) 781-7600,"CEDARS OF LIBERTY HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14047,C,"Cherokee Residential Care Acquisition, Llc",3409 MISSOURI AVE,Saint Louis,63118-3236,Saint Louis City,30,(314) 771-8360,"CHEROKEE RESIDENTIAL CARE ACQUISITION, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14084,N,"Baptist Home, The",500 BAPTIST HOME LN,Chillicothe,64601-3973,Livingston,20,(660) 646-6219,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
14143,M,Gasconade Terrace Retirement Center,1930 NURSING HOME RD,Owensville,65066-2844,Gasconade,19,(573) 437-4833,GASCONADE MANOR NURSING HOME DISTRICT,NURSING HOME DISTRICT,6/29/21,ASSISTED LIVING FACILITY,MO
14190,C,Life Enhancement Village,732 SOUTH GREGG ROAD,Nixa,65714-7419,Christian,44,(417) 725-6671,"LIFE ENHANCEMENT VILLAGE OF THE OZARKS, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14251,N,"Spring River Christian Village, Inc",201 S NORTHPARK LN,Joplin,64801-8426,Jasper,93,(417) 623-4313,"SPRING RIVER CHRISTIAN VILLAGE, INC",NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
14270,C,"Country Aire Estates, Llc",49303 RENSSELAER LN,Hannibal,63401-7356,Ralls,16,(573) 221-5400,"COUNTRY AIRE ESTATES, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14309,C,Independence Square Residential Care Center,1136 SOUTH MAIN ST,Perryville,63775-8802,Perry,20,(573) 547-8600,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14376,C,Melody House,3031 SOUTH TEN MILE DR,Jefferson City,65109-6816,Cole,15,(573) 893-7228,"NEW HORIZONS COMMUNITY SUPPORT SERVICES, INC",NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14409,C,Applegate Retirement Home,1204 TELEGRAPH RD,Saint Louis,63125-2528,Saint Louis County,38,(314) 631-2003,"APPLEGATE, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14436,C,Butterfield Residential Care Center,1120 NORTH BUTTERFIELD RD,Bolivar,65613-1000,Polk,66,(417) 326-5200,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14443,M,Country Meadows,1301 N ST JOE DR,Park Hills,63601-1965,Saint Francois,15,(573) 431-2889,"COUNTRY MEADOWS NURSING & REHAB, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
14454,C,Monticello House,1115 K LAND DR,Jackson,63755-2588,Cape Girardeau,32,(573) 243-8989,"N & R OF MONTICELLO, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14661,N,Brooking Park,307 SOUTH WOODS MILL RD,Chesterfield,63017-3418,Saint Louis County,93,(314) 576-5545,ST ANDREW'S RESOURCES FOR SENIORS,NOT FOR PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY**,MO
14694,D,Dunn-Dunn House Llc,2133 JANNETTE DR,Saint Louis,63136-4020,Saint Louis County,10,(314) 869-2431,"DUNN-DUNN HOUSE, LLC",LIMITED LIABILITY COMPANY,6/29/21,RESIDENTIAL CARE FACILITY,MO
14711,M,Chateau Ann Marie,7700 MINNESOTA AVE,Saint Louis,63111-3336,Saint Louis City,22,(314) 449-1497,"MISSOURI RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY,6/29/21,ASSISTED LIVING FACILITY,MO
14868,M,New Horizons Rcf Ii,5858 BUSIEK ROAD,Farmington,63640-7325,Saint Francois,15,(573) 756-2426,"WINICK, VICKY L",SOLE PROPRIETOR,6/29/21,ASSISTED LIVING FACILITY,MO
14879,C,Hillside Care Center,321 NORTH SECTION,Hannibal,63401-3460,Marion,44,(573) 221-1439,"HILLSIDE CARE CENTER, INC",PROFIT CORPORATION,6/29/21,RESIDENTIAL CARE FACILITY*,MO
14888,M,Waterford South,11515 HOLMES RD,Kansas City,64131-3856,Jackson,28,(816) 942-4898,"SUNSHINE VILLAGES, INC",PROFIT CORPORATION,6/29/21,ASSISTED LIVING FACILITY,MO
14953,M,Royal Oaks Residence,507 EAST MARSHALL,Sweet Springs,65351-9759,Saline,51,(660) 335-6500,"HIERONYMUS, JILL",SOLE PROPRIETOR,6/29/21,ASSISTED LIVING FACILITY,MO
