Facility ID,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,Capacity,Phone Number,Licensee,Ownership Type
5450,C,RCF*,MOCKINGBIRD MANOR RESIDENTIAL CARE,227 W FRANKLIN,LIBERTY,64068-1641,CLAY,16,(816) 781-8058,"MIDWESTERN MEDICAL CONSULTANTS, LLC",LIMITED LIABILITY COMPANY
5473,A,SNF,MONROE CITY MANOR CARE CENTER,1010 HIGHWAY 24 & 36 EAST,MONROE CITY,63456-1116,MARION,60,(573) 735-4850,"MONROE CITY MANOR, INC",PROFIT CORPORATION
5484,A,SNF,MONROE MANOR,200 SOUTH ST,PARIS,65275-1165,MONROE,119,(660) 327-4125,MONROE COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
5511,N,ALF**,"PARKSIDE MANOR, LLC",300 S SAINT CHARLES ST,BOWLING GREEN,63334-2221,PIKE,40,(573) 324-9918,"PARKSIDE MANOR, LLC",LIMITED LIABILITY COMPANY
5557,A,SNF,MORNINGSIDE CENTER,1700 MORNINGSIDE DR,CHILLICOTHE,64601-1545,LIVINGSTON,60,(660) 646-0170,LIVINGSTON COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
5557,M,ALF,MORNINGSIDE CENTER ASSISTED LIVING APARTMENTS,1702 MORNINGSIDE DR,CHILLICOTHE,64601-1545,LIVINGSTON,31,(660) 646-0170,LIVINGSTON COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
5568,A,SNF,MOTHER OF GOOD COUNSEL HOME,6825 NATURAL BRIDGE RD,SAINT LOUIS,63121-5314,SAINT LOUIS COUNTY,114,(314) 383-4765,MOTHER OF GOOD COUNSEL HOME,NOT FOR PROFIT CORPORATION
5579,A,SNF,WILSON'S CREEK NURSING & REHAB,3403 WEST MT VERNON,SPRINGFIELD,65802-5241,GREENE,172,(417) 864-5600,"N & R OF SPRINGFIELD WEST, LLC",LIMITED LIABILITY COMPANY
5586,N,ALF**,ASSISTED LIVING AT CHARLESS VILLAGE,5943 TELEGRAPH RD,SAINT LOUIS,63129-4715,SAINT LOUIS COUNTY,18,(314) 846-2002,"BETHESDA LONG TERM CARE, INC",NOT FOR PROFIT CORPORATION
5586,A,SNF,BETHESDA SOUTHGATE,5943 TELEGRAPH RD,SAINT LOUIS,63129-4715,SAINT LOUIS COUNTY,192,(314) 846-2000,"BETHESDA LONG TERM CARE, INC",NOT FOR PROFIT CORPORATION
5626,B,ICF,MYERS NURSING & CONVALESCENT CENTER,2315 WALROND AVE,KANSAS CITY,64127-4210,JACKSON,84,(816) 231-3180,"MYERS NURSING HOME, INC",PROFIT CORPORATION
5703,A,SNF,MOORE-FEW CARE CENTER,901 SOUTH ADAMS,NEVADA,64772-3209,VERNON,108,(417) 448-3841,NEVADA CITY NURSING HOME BOARD OF TRUSTEES,CITY GOVERNMENT
5717,A,SNF,MEDICALODGES NEVADA,1210 W ASHLAND ST,NEVADA,64772-1906,VERNON,100,(417) 667-5064,"MEDICALODGES, INC",PROFIT CORPORATION
5723,C,RCF*,ST ANDREW'S AT NEW FLORENCE,515 PICNIC ST,NEW FLORENCE,63363-2223,MONTGOMERY,33,(573) 415-9333,"NEW FLORENCE NURSING HOME, INC",NOT FOR PROFIT CORPORATION
5723,A,SNF,ST ANDREW'S AT NEW FLORENCE,515 PICNIC ST,NEW FLORENCE,63363-2223,MONTGOMERY,87,(573) 415-9333,"NEW FLORENCE NURSING HOME, INC",NOT FOR PROFIT CORPORATION
5738,A,SNF,NEW HAVEN CARE CENTER,9503 HIGHWAY 100,NEW HAVEN,63068-1300,FRANKLIN,90,(573) 237-2103,"NEW HAVEN CARE CENTER, INC",NOT FOR PROFIT CORPORATION
5738,M,ALF,NEW HAVEN CARE CENTER,9503 HIGHWAY 100,NEW HAVEN,63068-1300,FRANKLIN,16,(573) 237-2103,"NEW HAVEN CARE CENTER, INC",NOT FOR PROFIT CORPORATION
5749,A,SNF,NEW HAVEN LIVING CENTER,609 GOLF ST,ODESSA,64076-1462,LAFAYETTE,60,(816) 230-7530,"N & R OF ODESSA, LLC",LIMITED LIABILITY COMPANY
5766,A,SNF,NODAWAY NURSING HOME,22371 STATE HIGHWAY 46,MARYVILLE,64468-8157,NODAWAY,60,(660) 562-2876,"TIFFANY CARE CENTERS, INC",PROFIT CORPORATION
5782,A,SNF,CRYSTAL CREEK HEALTH AND REHABILITATION CENTER,250 NEW FLORISSANT RD SOUTH,FLORISSANT,63031-6716,SAINT LOUIS COUNTY,158,(314) 838-2211,"FLO-GP LEASING CO, LLC",LIMITED LIABILITY COMPANY
5794,A,SNF,WOODLAND MANOR,1347 EAST VALLEY WATERMILL RD,SPRINGFIELD,65803-3739,GREENE,180,(417) 833-1220,"EBG HEALTH CARE III, INC",PROFIT CORPORATION
5804,A,SNF,PIN OAKS LIVING CENTER,1525 WEST MONROE ST,MEXICO,65265-1201,AUDRAIN,124,(573) 581-7261,"N & R OF MEXICO, LLC",LIMITED LIABILITY COMPANY
5832,N,ALF**,"PINE VIEW MANOR, INC",307 NORTH PINEVIEW ST,STANBERRY,64489-1509,GENTRY,12,(660) 783-2118,"PINE VIEW MANOR, INC",NOT FOR PROFIT CORPORATION
5832,A,SNF,"PINE VIEW MANOR, INC",307 NORTH PINEVIEW ST,STANBERRY,64489-1509,GENTRY,70,(660) 783-2118,"PINE VIEW MANOR, INC",NOT FOR PROFIT CORPORATION
5849,A,SNF,OAK GROVE NURSING & REHAB,2108 SOUTH MITCHELL,OAK GROVE,64075-9472,JACKSON,90,(816) 690-4118,"N & R OF OAK GROVE, LLC",LIMITED LIABILITY COMPANY
5864,A,SNF,OAK KNOLL SKILLED NURSING & REHABILITATION CENTER,37 N CLARK AVE,FERGUSON,63135-2323,SAINT LOUIS COUNTY,72,(314) 521-7419,"MILLENNIUM MANAGEMENT & CONSULTING, INC",PROFIT CORPORATION
5900,A,SNF,PIONEER SKILLED NURSING CENTER,1500 SOUTH KANSAS AVE,MARCELINE,64658-1716,CHARITON,96,(660) 376-2001,"PIONEER NURSING, LLC",LIMITED LIABILITY COMPANY
5914,A,SNF,OAK PARK CARE CENTER,6637 BERTHOLD AVE,SAINT LOUIS,63139-3318,SAINT LOUIS CITY,120,(314) 781-3444,"OAK PARK HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
5948,D,RCF,WEST PINE GROUP HOME,4232 WEST PINE BLVD,SAINT LOUIS,63108-2840,SAINT LOUIS CITY,9,(314) 531-9450,"PLACES FOR PEOPLE, INC",NOT FOR PROFIT CORPORATION
5970,C,RCF*,LAKESIDE MANOR,810 KENNEDY DRIVE,WARSAW,65355-3044,BENTON,35,(660) 438-8850,HEART CORE LLC,LIMITED LIABILITY COMPANY
5989,A,SNF,GRAND PAVILION AT THE PLAZA,4330 WASHINGTON,KANSAS CITY,64111-3340,JACKSON,154,(816) 753-6800,"GRAND PAVILION, LLC",LIMITED LIABILITY COMPANY
5994,A,SNF,OAKRIDGE OF PLATTSBURG,205 EAST CLAY AVE,PLATTSBURG,64477-8100,CLINTON,60,(816) 539-2128,"CLINTON CONVALESCENT CENTER, INC",NOT FOR PROFIT CORPORATION
6020,A,SNF,PLEASANT VALLEY MANOR CARE CENTER,6814 SOBBIE RD,LIBERTY,64068-9555,CLAY,102,(816) 781-5277,"PLEASANT VALLEY MANOR, INC",PROFIT CORPORATION
6038,A,SNF,"MANOR GROVE, INCORPORATED",711 SOUTH KIRKWOOD RD,KIRKWOOD,63122-5928,SAINT LOUIS COUNTY,117,(314) 965-0864,"MANOR GROVE, INC",NOT FOR PROFIT CORPORATION
6041,A,SNF,PLEASANT VIEW,470 RAINBOW DR,ROCK PORT,64482-1641,ATCHISON,60,(660) 744-6252,"TIFFANY CARE CENTERS, INC",PROFIT CORPORATION
6076,D,RCF,THOMAS RESIDENTIAL CARE FACILITY III,1415 OLIVE ST,SAINT JOSEPH,64503-2443,BUCHANAN,20,(816) 676-0390,"TAS CARE, INC",PROFIT CORPORATION
6097,A,SNF,OREGON CARE CENTER,501 MONROE,OREGON,64473-7800,HOLT,60,(660) 446-3355,"TIFFANY CARE CENTERS, INC",PROFIT CORPORATION
6116,A,SNF,OSAGE BEACH REHABILITATION AND HEALTH CARE CENTER,844 PASSOVER RD,OSAGE BEACH,65065-2834,CAMDEN,94,(573) 348-2225,"NHC HEALTHCARE-OSAGE BEACH, LLC",LIMITED LIABILITY COMPANY
6139,A,SNF,ELDON NURSING & REHAB,1001 E NORTH ST,ELDON,65026-2634,MILLER,90,(573) 392-3164,"N & R OF ELDON, INC",PROFIT CORPORATION
6153,C,RCF*,OUR LADY OF MERCY COUNTRY HOME,2160 MERCY DR,LIBERTY,64068-7955,CLAY,44,(816) 781-5711,OUR LADY OF MERCY COUNTRY HOME,NOT FOR PROFIT CORPORATION
6181,M,ALF,FARMINGTON PRESBYTERIAN MANOR,500 CAYCE ST,FARMINGTON,63640-2910,SAINT FRANCOIS,60,(573) 756-6768,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION
6181,D,RCF,FARMINGTON PRESBYTERIAN MANOR,500 CAYCE ST,FARMINGTON,63640-2910,SAINT FRANCOIS,60,(573) 756-6768,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION
6181,A,SNF,FARMINGTON PRESBYTERIAN MANOR,500 CAYCE ST,FARMINGTON,63640-2910,SAINT FRANCOIS,90,(573) 756-6768,"PRESBYTERIAN MANORS, INC",NOT FOR PROFIT CORPORATION
6217,A,SNF,OZARK REHABILITATION & HEALTH CARE CENTER,1083 OZARK CARE DR,OSAGE BEACH,65065-3016,CAMDEN,60,(573) 348-1711,"PETERSEN HEALTH OPERATIONS, LLC",LIMITED LIABILITY COMPANY
6229,D,RCF,"JACOBS CARE CENTER, LLC",932 WEST STATE,SPRINGFIELD,65806-2846,GREENE,12,(417) 865-6140,"JACOBS CARE CENTER, LLC",LIMITED LIABILITY COMPANY
6232,D,RCF,LAKESIDE MOUNTAIN MANOR,238 HARMONY HEIGHTS,FORSYTH,65653-5533,TANEY,40,(417) 546-5595,"LAKESIDE MOUNTAIN MANOR, LLC",LIMITED LIABILITY COMPANY
6240,A,SNF,OZARK NURSING & CARE CENTER,1486 NORTH RIVERSIDE RD,OZARK,65721-7688,CHRISTIAN,120,(417) 581-7126,"EBG HEALTH CARE IV, INC",PROFIT CORPORATION
6253,A,SNF,BROOKE HAVEN HEALTHCARE,1410  NORTH KENTUCKY AVE,WEST PLAINS,65775-1822,HOWELL,120,(417) 256-7975,"WILLOW HEALTH CARE, INC",NOT FOR PROFIT CORPORATION
6273,D,RCF,"OZARKS METHODIST MANOR, THE",205 SOUTH COLLEGE,MARIONVILLE,65705-9340,LAWRENCE,76,(417) 258-2573,OZARKS METHODIST MANOR (THE),NOT FOR PROFIT CORPORATION
6273,A,SNF,"OZARKS METHODIST MANOR, THE",205 SOUTH COLLEGE,MARIONVILLE,65705-9340,LAWRENCE,78,(417) 258-2573,OZARKS METHODIST MANOR (THE),NOT FOR PROFIT CORPORATION
6291,C,RCF*,PARKWOOD MANOR,325 NORTH SPRIGG ST,CAPE GIRARDEAU,63701-5531,CAPE GIRARDEAU,20,(573) 334-7011,SHALIMAR CORPORATION,PROFIT CORPORATION
6291,D,RCF,PARKWOOD MANOR,325 NORTH SPRIGG ST,CAPE GIRARDEAU,63701-5531,CAPE GIRARDEAU,10,(573) 334-7011,SHALIMAR CORPORATION,PROFIT CORPORATION
6308,A,SNF,PARKDALE MANOR CARE CENTER,814 WEST SOUTH AVE,MARYVILLE,64468-2772,NODAWAY,92,(660) 582-8161,"PARKDALE MANOR, INC",PROFIT CORPORATION
6316,A,SNF,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",2150 WEST RANDOLPH ST,SAINT CHARLES,63301-0894,SAINT CHARLES,66,(636) 946-4966,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",LIMITED LIABILITY COMPANY
6316,N,ALF**,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",2150 WEST RANDOLPH ST,SAINT CHARLES,63301-0894,SAINT CHARLES,90,(636) 946-4966,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",LIMITED LIABILITY COMPANY
6322,A,SNF,ROYAL OAK NURSING & REHAB,4960 LACLEDE AVE,SAINT LOUIS,63108-1404,SAINT LOUIS CITY,168,(314) 361-6240,"SIRO OP ROYAL OAK, LLC",LIMITED LIABILITY COMPANY
6353,D,RCF,"PATRICIA'S RESIDENTIAL CARE FACILITY, INC",510 EAST 2ND STREET,ANNAPOLIS,63620-9104,IRON,12,(573) 598-4202,"PATRICIA'S RESIDENTIAL CARE FACILITY, INC",PROFIT CORPORATION
6369,B,ICF,PEACE HAVEN ASSOCIATION,12630 ROTT RD,SAINT LOUIS,63127-1214,SAINT LOUIS COUNTY,42,(314) 965-3833,PEACE HAVEN ASSOCIATION,NOT FOR PROFIT CORPORATION
6393,A,SNF,INDEPENDENCE CARE CENTER OF PERRY COUNTY,800 SOUTH KINGSHIGHWAY,PERRYVILLE,63775-2106,PERRY,133,(573) 547-6546,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION
6393,C,RCF*,INDEPENDENCE COURT,121 INDEPENDENCE DR,PERRYVILLE,63775-1496,PERRY,75,(573) 547-1499,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION
6430,A,SNF,ST ANDREW'S AT FRANCIS PLACE,300 FORBY RD,EUREKA,63025-2321,SAINT LOUIS COUNTY,106,(636) 938-5151,ST ANDREW'S AT FRANCIS PLACE,NOT FOR PROFIT CORPORATION
6441,A,SNF,"MAPLES HEALTH AND REHABILITATION, THE",610 WEST SUNSET ST,SPRINGFIELD,65807-3696,GREENE,120,(417) 891-1700,"GREENECO NC OPS, INC",PROFIT CORPORATION
6453,A,SNF,PEARL'S II EDEN FOR ELDERS,611 NORTH COLLEGE,PRINCETON,64673-1051,MERCER,60,(660) 748-4407,"PEARL'S II EDEN FOR ELDERS, LLC",LIMITED LIABILITY COMPANY
6469,A,SNF,CHARITON PARK HEALTH CARE CENTER,902 MANOR DR,SALISBURY,65281-1236,CHARITON,120,(660) 388-6486,"CHARITON PARK HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
6481,A,SNF,NORTH VILLAGE PARK,2041 SILVA LN,MOBERLY,65270-3658,RANDOLPH,184,(660) 269-7300,"NORTH VILLAGE PARK, LLC",LIMITED LIABILITY COMPANY
6516,A,SNF,PUTNAM COUNTY CARE CENTER,1814 OAK ST,UNIONVILLE,63565-1275,PUTNAM,60,(660) 947-2492,PUTNAM COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
6527,D,RCF,SUNNY MEADOWS LIVING CENTER,419 NORTH PROSPECT AVE,SEDALIA,65301-2729,PETTIS,12,(660) 826-5353,"FISHER, DAVID H & BARBARA C",GENERAL PARTNERSHIP
6555,A,SNF,BRIDGEWOOD HEALTH CARE CENTER,11515 TROOST,KANSAS CITY,64131-3769,JACKSON,166,(816) 943-0101,"BRIDGEWOOD HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
6579,C,RCF*,WATTS STREET MANOR,301 WATTS ST,PARK HILLS,63601-1839,SAINT FRANCOIS,16,(573) 431-4874,"LBENHOLDINGS, LLC",LIMITED LIABILITY COMPANY
6582,A,SNF,REST HAVEN CONVALESCENT & RETIREMENT HOME,1800 SOUTH INGRAM,SEDALIA,65301-7538,PETTIS,86,(660) 827-0845,"JOHN T FINLEY, INC",PROFIT CORPORATION
6604,A,SNF,ROSEWOOD HEALTH AND REHAB CENTER,1415 WEST WHITE OAK,INDEPENDENCE,64050-2590,JACKSON,300,(816) 254-3500,"ROSEWOOD HEALTH AND REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
6604,N,ALF**,WHITE OAK LIVING CENTER,1515 WEST WHITE OAK,INDEPENDENCE,64050-2557,JACKSON,78,(816) 254-3500,"ROSEWOOD HEALTH AND REHAB CENTER, LLC",LIMITED LIABILITY COMPANY
6640,A,SNF,RIDGE CREST NURSING CENTER,706 SOUTH MITCHELL,WARRENSBURG,64093-2828,JOHNSON,120,(660) 429-2177,"WARRENSBURG #1, INC",PROFIT CORPORATION
6656,A,SNF,RIDGEVIEW LIVING COMMUNITY,500 BARRETT DR,MALDEN,63863-1204,DUNKLIN,96,(573) 276-3843,"MALDEN N & R, LLC",LIMITED LIABILITY COMPANY
6668,M,ALF,RIDGEWAY RESIDENTIAL CARE,431 RUSSELL,SULLIVAN,63080-2228,FRANKLIN,20,(573) 468-4318,"TURNER, DEBORAH J",SOLE PROPRIETOR
6672,A,SNF,RIVER OAKS CARE CENTER,1001 NORTH WALNUT,STEELE,63877-1355,PEMISCOT,90,(573) 695-2121,"STEELE #1, INC",PROFIT CORPORATION
6729,A,SNF,RIVERVIEW AT THE PARK CARE AND REHABILITATION CENTER,1100 PROGRESS PARKWAY,SAINTE GENEVIEVE,63670-9232,SAINTE GENEVIEVE,120,(573) 883-3454,"RIVERVIEW AT THE PARK, INC",PROFIT CORPORATION
6730,A,SNF,RIVERVIEW NURSING CENTER,10303 STATE RD C,MOKANE,65059-1211,CALLAWAY,60,(573) 676-3136,"MOKANE #1, INC",PROFIT CORPORATION
6744,A,SNF,RIVERWAYS MANOR,403 WATERCRESS RD,VAN BUREN,63965-9100,CARTER,60,(573) 323-4282,"VAN BUREN #1, INC",PROFIT CORPORATION
6782,A,SNF,HIGHLAND REHABILITATION & HEALTH CARE CENTER,904 EAST 68TH ST,KANSAS CITY,64131-1305,JACKSON,162,(816) 333-5485,"HIGHLAND NURSING AND REHABILITATION CENTER, LLC",LIMITED LIABILITY COMPANY
6794,N,ALF**,ROCKHILL MANOR ASSISTED LIVING,4235 LOCUST ST,KANSAS CITY,64110-1016,JACKSON,36,(816) 931-2225,"ROCKHILL MANOR, INC",PROFIT CORPORATION
6794,M,ALF,ROCKHILL MANOR ASSISTED LIVING,4235 LOCUST ST,KANSAS CITY,64110-1016,JACKSON,154,(816) 931-2225,"ROCKHILL MANOR, INC",PROFIT CORPORATION
6801,A,SNF,CEDAR POINTE,1800 WHITE COLUMNS DR,ROLLA,65401-2044,PHELPS,102,(573) 364-7766,"ROLLA GRAND, LLC",LIMITED LIABILITY COMPANY
6810,A,SNF,SHEPHERD OF THE HILLS LIVING CENTER,996 STATE HIGHWAY 248,BRANSON,65616-8154,TANEY,100,(417) 334-6431,"N & R OF BRANSON, LLC",LIMITED LIABILITY COMPANY
6838,A,SNF,SILEX COMMUNITY CARE,111 DUNCAN MANSION RD,SILEX,63377-2229,LINCOLN,60,(573) 384-5218,"N & R OF SILEX, INC",PROFIT CORPORATION
6864,A,SNF,SARCOXIE NURSING CENTER,1505 MINER,SARCOXIE,64862-9211,JASPER,40,(417) 548-3434,"SARCOXIE NURSING CENTER, LLC",LIMITED LIABILITY COMPANY
6934,A,SNF,SALT RIVER COMMUNITY CARE,142 SHELBY PLAZA RD,SHELBINA,63468-1065,SHELBY,120,(573) 588-4175,SALT RIVER NURSING HOME DISTRICT,NURSING HOME DISTRICT
7004,A,SNF,SCHUYLER COUNTY NURSING HOME,1306 US HIGHWAY 63,QUEEN CITY,63561-2251,SCHUYLER,60,(660) 766-2291,SCHUYLER COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
7013,A,SNF,SCOTLAND COUNTY CARE CENTER,434 E SIGLER AVE,MEMPHIS,63555-1714,SCOTLAND,96,(660) 465-7221,SCOTLAND COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
7013,C,RCF*,SCOTLAND COUNTY RESIDENTIAL TERRACE,434 E SIGLER AVE,MEMPHIS,63555-1718,SCOTLAND,28,(660) 465-7221,SCOTLAND COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
7039,M,ALF,SUNSHINE VILLA,2520 JAMES ST,SCOTT CITY,63780-1219,SCOTT,26,(573) 264-2424,SCOTT CITY SUNSHINE LLC,LIMITED LIABILITY COMPANY
7057,A,SNF,COTTON POINT LIVING CENTER,609 SOUTH RAILROAD ST,MATTHEWS,63867-9751,NEW MADRID,98,(573) 471-7861,NEW MADRID NO 1 INC,PROFIT CORPORATION
7092,A,SNF,PARKWAY HEALTH CARE CENTER,2323 SWOPE PARKWAY,KANSAS CITY,64130-2638,JACKSON,97,(816) 924-1122,"PARKWAY HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
7110,A,SNF,SEVILLE CARE CENTER,35625 HIGHWAY 72,SALEM,65560-7217,DENT,90,(573) 729-6141,"COMMUNITY CARE CENTER OF SALEM, INC",PROFIT CORPORATION
7147,A,SNF,SHADY LAWN LIVING CENTER,13277 STATE ROUTE D,SAVANNAH,64485-9431,ANDREW,88,(816) 324-5991,"SHADY LAWN LIVING CENTER, INC",PROFIT CORPORATION
7171,C,RCF*,J & J RESIDENTIAL CARE FACILITY II,104 WESBECHER,MARBLE HILL,63764-0378,BOLLINGER,12,(573) 238-4602,"J & J ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY
7181,D,RCF,"GREATER HEIGHTS RCF, LLC",600 NORTH FRONT ST,PARK HILLS,63601-3804,SAINT FRANCOIS,40,(573) 431-0344,"GREATER HEIGHTS RCF, LLC",LIMITED LIABILITY COMPANY
7268,C,RCF*,JOY ADULT CARE CENTER,614 SOUTH MAIN,CLINTON,64735-2620,HENRY,42,(660) 885-8328,"K & J CARE ENTERPRISES, INC",PROFIT CORPORATION
7289,A,SNF,SHIRKEY NURSING & REHABILITATION CENTER,804 WOLLARD BLVD,RICHMOND,64085-2227,RAY,197,(816) 776-5403,SENIOR CITIZENS NURSING HOME DISTRICT OF RAY COUNTY,NURSING HOME DISTRICT
7306,A,SNF,"WESTFIELD NURSING CENTER, INC",3144 STATE HIGHWAY FF,SIKESTON,63801-8580,NEW MADRID,98,(573) 471-1174,"WESTFIELD NURSING CENTER, INC",PROFIT CORPORATION
7322,D,RCF,COLONIAL HOUSE OF FESTUS II,129 GRAY ST,FESTUS,63028-1950,JEFFERSON,23,(636) 937-4050,"COLONIAL HOUSE OF FESTUS II, LLC",LIMITED LIABILITY COMPANY
7331,A,SNF,SIKESTON CONVALESCENT CENTER,103 KENNEDY DR,SIKESTON,63801-5126,SCOTT,120,(573) 471-6900,"COLLINS ACRES CARE CENTER, INC",PROFIT CORPORATION
7345,A,SNF,HUNTER ACRES CARING CENTER,628 NORTH WEST ST,SIKESTON,63801-4738,SCOTT,120,(573) 471-7130,"HUNTER ACRES CARING CENTER, INC",PROFIT CORPORATION
7395,A,SNF,LAWSON MANOR & REHAB,210 WEST 8TH TERRACE,LAWSON,64062-9357,RAY,60,(816) 580-3269,"LAWSON #1, INC",PROFIT CORPORATION
7440,A,SNF,"PILLARS OF NORTH COUNTY HEALTH & REHABILITATION CENTER, THE",13700 OLD HALLS FERRY RD,FLORISSANT,63033-4109,SAINT LOUIS COUNTY,120,(314) 355-0760,"HELIA HEALTHCARE OF FLORISSANT, LLC",LIMITED LIABILITY COMPANY
7460,A,SNF,SPRINGFIELD REHABILITATION & HEALTH CARE CENTER,2800 S FORT AVE,SPRINGFIELD,65807-3480,GREENE,146,(417) 882-0035,NHC HEALTHCARE-SPRINGFIELD MISSOURI LLC,LIMITED LIABILITY COMPANY
7481,B,ICF,ST AGNES HOME,10341 MANCHESTER RD,KIRKWOOD,63122-1520,SAINT LOUIS COUNTY,150,(314) 965-7616,CARMELITE SISTERS OF THE DIVINE HEART OF JESUS OF MISSOURI,NOT FOR PROFIT CORPORATION
7503,A,SNF,"NHC HEALTHCARE, ST CHARLES",35 SUGAR MAPLE LN,SAINT CHARLES,63303-5740,SAINT CHARLES,120,(636) 946-8887,"NHC HEALTHCARE / ST CHARLES, LLC",LIMITED LIABILITY COMPANY
7516,N,ALF**,ST ELIZABETH HALL,325 NORTH NEWSTEAD AVE,SAINT LOUIS,63108-2707,SAINT LOUIS CITY,50,(314) 652-9525,CARDINAL RITTER SENIOR SERVICES,NOT FOR PROFIT CORPORATION
7523,A,SNF,ST ELIZABETH CARE CENTER,649 SOUTH WALNUT ST,SAINT ELIZABETH,65075-2440,MILLER,63,(573) 493-2215,"MMA HEALTHCARE OF ST ELIZABETH, INC",PROFIT CORPORATION
7532,A,SNF,ST JOSEPH CHATEAU,811 NORTH 9TH ST,SAINT JOSEPH,64501-1651,BUCHANAN,69,(816) 233-5164,"DIVERSICARE OF CHATEAU, LLC",LIMITED LIABILITY COMPANY
7560,A,SNF,"MOUNT CARMEL SENIOR LIVING - ST CHARLES, LLC",723 FIRST CAPITOL DR,SAINT CHARLES,63301-2729,SAINT CHARLES,110,(636) 946-4140,"MOUNT CARMEL COMMUNITIES, LLC",LIMITED LIABILITY COMPANY
7572,A,SNF,ST JOSEPH'S BLUFFS,1306 WEST MAIN ST,JEFFERSON CITY,65109-1356,COLE,69,(573) 635-0166,LUTHERAN SENIOR SERVICES,NOT FOR PROFIT CORPORATION
7585,N,ALF**,ST LOUIS ALTENHEIM,5408 SOUTH BROADWAY,SAINT LOUIS,63111-2023,SAINT LOUIS CITY,23,(314) 353-7225,ST LOUIS ALTENHEIM,NOT FOR PROFIT CORPORATION
7585,B,ICF,ST LOUIS ALTENHEIM,5408 SOUTH BROADWAY,SAINT LOUIS,63111-2023,SAINT LOUIS CITY,24,(314) 353-7225,ST LOUIS ALTENHEIM,NOT FOR PROFIT CORPORATION
7585,A,SNF,ST LOUIS ALTENHEIM,5408 SOUTH BROADWAY,SAINT LOUIS,63111-2023,SAINT LOUIS CITY,24,(314) 353-7225,ST LOUIS ALTENHEIM,NOT FOR PROFIT CORPORATION
7594,N,ALF**,CHARTER SENIOR LIVING AT ST LOUIS HILLS,6543 CHIPPEWA ST,SAINT LOUIS,63109-4100,SAINT LOUIS CITY,181,(314) 647-6600,KJB TENANT ST LOUIS  LLC,LIMITED LIABILITY COMPANY
7606,A,SNF,"ST LUKE'S NURSING CENTER, INC",1220 EAST FAIRVIEW AVE,CARTHAGE,64836-3122,JASPER,95,(417) 358-9084,"ST LUKE'S MANAGEMENT, INC",NOT FOR PROFIT CORPORATION
7606,N,ALF**,"ST LUKE'S CARE CENTER, INC",1220 EAST FAIRVIEW AVE,CARTHAGE,64836-3122,JASPER,41,(417) 358-9084,"ST LUKE'S CARE CENTER, INC",NOT FOR PROFIT CORPORATION
7613,A,SNF,ST PETERS MANOR CARE CENTER,230 SPENCER RD,SAINT PETERS,63376-2425,SAINT CHARLES,96,(636) 441-2750,"ST PETERS MANOR, INC",PROFIT CORPORATION
7631,A,SNF,ST SOPHIA HEALTH & REHABILITATION CENTER,936 CHARBONIER RD,FLORISSANT,63031-5220,SAINT LOUIS COUNTY,240,(314) 831-4800,ST SOPHIA HEALTHCARE LLC,LIMITED LIABILITY COMPANY
7680,A,SNF,LAKE STOCKTON HEALTHCARE FACILITY,1523 3RD ROAD,STOCKTON,65785-9608,CEDAR,90,(417) 276-5126,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
7709,D,RCF,STOVER'S RESIDENTIAL CARE FACILITY,520 EAST 5TH ST,MILAN,63556-1222,SULLIVAN,20,(660) 265-3262,"HULETT, DONNA R",SOLE PROPRIETOR
7712,C,RCF*,BOWLING GREEN RESIDENTIAL CARE,119 WEST CENTENNIAL AVE,BOWLING GREEN,63334-1605,PIKE,25,(573) 324-5560,"INTEGRATED HEALTH AND WELLNESS, LLC",LIMITED LIABILITY COMPANY
7725,D,RCF,SUNNYHILL RESIDENTIAL CARE FACILITY,134 GRAY ST,FESTUS,63028-1949,JEFFERSON,20,(636) 931-4701,"SUNNY HILL, INC",NOT FOR PROFIT CORPORATION
