State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Date Accessed
RESIDENTIAL CARE ELDERLY,565800366,Atria Hillcrest,WG HILLCREST INN SH LP; ATRIA MANAGEMENT CO LLC,sarah.dodd@atriaseniorliving.com,(805) 373-0606,405 HODENCAMP RD,Thousand Oaks,CA,91360,Ventura,207,7/13/21
RESIDENTIAL CARE ELDERLY,565800476,Atria Las Posas,WG LAS POSAS SH LP; ATRIA MANAGEMENT CO LLC,robloe.babasanta@atriaseniorliving.com,(805) 987-9872,24 LAS POSAS RD,Camarillo,CA,93010,Ventura,140,7/13/21
RESIDENTIAL CARE ELDERLY,306005789,Atria Newport Beach,"ASLO GP LLC,GP OF NEWPORT BEACH OPCO LP;ATRIA MGMT",benjamin.rodny@atriaseniorliving.com,(949) 631-3555,393 HOSPITAL ROAD,Newport Beach,CA,92663,Orange,195,7/13/21
RESIDENTIAL CARE ELDERLY,306005449,Atria Newport Plaza,"VSL GP II LLC, GP OF VAOC NEWPORT PLAZA LP; ATRIA",myra.aragones@atriseniorliving.com,(949) 645-6833,1455 SUPERIOR AVE,Newport Beach,CA,92663,Orange,160,7/13/21
RESIDENTIAL CARE ELDERLY,374603456,Atria North Escondido,VENTAS AOC OPERATING HOLDINGS; ATRIA MANAGEMENT CO,kathleen.mitchell@atriaseniorliving.com,(760) 480-8155,1342 N ESCONDIDO BLVD,Escondido,CA,92026,San Diego,101,7/13/21
RESIDENTIAL CARE ELDERLY,336400954,Atria Palm Desert,WG PALM DESERT INC; ATRIA MANAGEMENT CO LLC,denise.flores@atriaseniorliving.com,(760) 773-3772,44300 SAN PASCUAL AVE,Palm Desert,CA,92260,Riverside,154,7/13/21
RESIDENTIAL CARE ELDERLY,79200326,Atria Park Of Lafayette,WG COUNTRYWOOD LP; ATRIA MANAGEMENT CO LLC,kaitlyn.clarey@atriaseniorliving.com,(925) 932-9910,1545 PLEASANT HILL RD,Lafayette,CA,94549,Contra Costa,130,7/13/21
RESIDENTIAL CARE ELDERLY,198204494,Atria Park Of Pacific Palisades,AL SUBFUNDING LLC; ATRIA MANAGEMENT CO LLC,brian.larios@atriaseniorliving.com,(310) 573-9545,15441 W SUNSET BLVD,Pacific Palisades,CA,90272,Los Angeles,60,7/13/21
RESIDENTIAL CARE ELDERLY,415600133,Atria Park Of San Mateo,WG HILLSDALE SH LP; ATRIA MANAGEMENT CO LLC,byron.perryman@atriaseniorliving.com,(650) 378-3000,2883 S NORFOLK ST,San Mateo,CA,94403,San Mateo,175,7/13/21
RESIDENTIAL CARE ELDERLY,336426083,Atria Park Of Vintage Hills,VENTAS AOC OPERATING HOLDINGS; ATRIA MANAGEMENT CO,bryce.matthews@atriaseniorliving.com,(951) 506-5555,41780 BUTTERFIELD STAGE RD,Temecula,CA,92592,Riverside,143,7/13/21
RESIDENTIAL CARE ELDERLY,197801052,Atria Rancho Park,WG RANCHO PARK SH LP; ATRIA MANAGEMENT CO LLC,leeann.hefner@atriaseniorliving.com,(626) 339-5426,801 CYPRESS WAY,San Dimas,CA,91773,Los Angeles,200,7/13/21
RESIDENTIAL CARE ELDERLY,374604051,Atria Rancho Penasquitos,"VSL GP II LLC,GP OF VAOC PENASQUITOS LP;ATRIA MGMT",mariano.hernandez@atriaseniorliving.com,(858) 201-6458,12979 RANCHO PENSAQUITOS BLVD,San Diego,CA,92129,San Diego,120,7/13/21
RESIDENTIAL CARE ELDERLY,374603560,Atria Rancho Penasquitos,CRP ARBORS RANCHO LLC; ATRIA MANAGEMENT COMPANY,diane.morris@atriaseniorliving.com,(858) 201-6458,12979 RANCHO PENASQUITOS BLVD,San Diego,CA,92129,San Diego,120,7/13/21
RESIDENTIAL CARE ELDERLY,317005428,Atria Rocklin,ARHC CAROCCA01 TRS LLC; ATRIA MANAGEMENT CO LLC,dana.stansel@atriaseniorliving.com,(916) 435-8800,3201 SANTA FE WAY,Rocklin,CA,95765,Placer,105,7/13/21
RESIDENTIAL CARE ELDERLY,306000347,Atria San Juan,WG CHATEAU SAN JUAN SH LP; ATRIA MANAGEMENT CO LLC,lori.panaro@atriaseniorliving.com,(949) 661-1220,32353 SAN JUAN CREEK RD,San Juan Capistano,CA,92675,Orange,140,7/13/21
RESIDENTIAL CARE ELDERLY,197608685,Atria Santa Clarita,ARHC SVSCLSA01 TRS LLC; ATRIA MANAGEMENT CO LLC,johnny.ortiz@atriaseniorliving.com,(661) 254-9933,24431 LYONS AVE,Santa Clarita,CA,91321,Los Angeles,160,7/13/21
RESIDENTIAL CARE ELDERLY,435200731,Atria Sunnyvale,WG SUNNYVALE SH LP; ATRIA MANAGEMENT CO LLC,byron.perryman@atriaseniorliving.com,(408) 738-3410,175 E REMINGTON DR,Sunnyvale,CA,94087,Santa Clara,160,7/13/21
RESIDENTIAL CARE ELDERLY,216800331,Atria Tamalpais Creek,WG TAMALPAIS CREEK SH LP; ATRIA MANAGEMENT CO LLC,corrine.tanchoco@atriaseniorliving.com,(415) 892-0944,853 TAMALPAIS AVE,Novato,CA,94947,Marin,180,7/13/21
RESIDENTIAL CARE ELDERLY,197608606,Atria Tarzana,VTR TARZANA GP LLC; ATRIA MANAGEMENT CO LLC,shakeb.rafat@atriaseniorliving.com,(818) 578-4820,5325 ETIWANDA AVENUE,Tarzana,CA,91356,Los Angeles,136,7/13/21
RESIDENTIAL CARE ELDERLY,197610142,Atria Tarzana,"WG TARZANA, LP; ATRIA MANAGEMENT COMPANY, LLC",shakeb.rafat@atriaseniorliving.com,(877) 483-6827,5325 ETIWANDA AVENUE,Tarzana,CA,91356,Los Angeles,136,7/13/21
RESIDENTIAL CARE ELDERLY,75600353,Atria Valley View,WG VALLEY VIEW SH LP; ATRIA MANAGEMENT CO LLC,jill.libhart@atriaseniorliving.com,(925) 937-7300,1228 ROSSMOOR PKWY,Walnut Creek,CA,94595,Contra Costa,153,7/13/21
RESIDENTIAL CARE ELDERLY,75600352,Atria Walnut Creek,WG MONTEGO HEIGHTS SH LP; ATRIA MANAGEMENT CO LLC,jennifer.coons@atriaseniorliving.com,(925) 938-6611,1400 MONTEGO,Walnut Creek,CA,94598,Contra Costa,200,7/13/21
RESIDENTIAL CARE ELDERLY,435200605,Atria Willow Glen,WG WILLOW GLEN SH LP; ATRIA MANAGEMENT CO LLC,community563-exd@atriaseniorliving.com,(408) 266-1660,1660 GATON DR,San Jose,CA,95125,Santa Clara,63,7/13/21
RESIDENTIAL CARE ELDERLY,336426470,Attentive Manor,"ATTENTIVE MANOR, INC.",mattsiegel97@gmail.com,(760) 251-4330,66-338 FOURTH ST.,Desert Hot Springs,CA,92240,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880895,Attentive Manor Ii,ATTENTIVE MANOR INC.,mattsiegel97@gmail.com,(760) 620-5915,31221 EL TORO RD,Cathedral City,CA,92234,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,107209013,"Attentive Senior Care Ii, Llc","ATTENTIVE SENIOR CARE II, LLC",llcholland@aol.com,(916) 996-6215,6149 E LOWE AVE,Fresno,CA,93727,Fresno,6,7/13/21
RESIDENTIAL CARE ELDERLY,107206884,"Attentive Senior Care, Llc","ATTENTIVE SENIOR CARE, LLC",llcholland@aol.com,(559) 449-3566,36 E. TUOLUMNE STREET,Fresno,CA,93706,Fresno,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609791,Atwater Village South,JOCELYN'S LOVING PLACE CORP,kambengot@yahoo.com,(323) 665-6893,3454 PERLITA AVE,Los Angeles,CA,90039,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880784,Aubrey'S Villas,AUBREY'S VILLAS INC.,joniegatus@yahoo.com,(760) 832-7884,68640 SENORA ROAD,Cathedral City,CA,92234,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,317005092,Auburn Creekside Villa,"LANCASTER, THERESE M.",andrea@auburncreeksidevilla.com,(530) 823-5273,695 DAIRY ROAD,Auburn,CA,95603,Placer,15,7/13/21
RESIDENTIAL CARE ELDERLY,317000174,Auburn Ravine Terrace,"CONGREGATIONAL CHURCH RETIREMENT COMMUNITY, INC.",andrea.dowling@rhf.org,(530) 823-8339,750 AUBURN RAVINE ROAD,Auburn,CA,95603,Placer,25,7/13/21
RESIDENTIAL CARE ELDERLY,312700344,Auburn Valley Senior Living,AUBURN VALLEY SENIOR LIVING LLC,all4u2009@hotmail.com,(530) 388-6065,3800 LORAY LANE,Auburn,CA,95602,Placer,6,7/13/21
RESIDENTIAL CARE ELDERLY,547201900,Augdon Senior Care Home,"AUGDON, FRANCES & HATTON, IRENE",reneeaguilar01@sbcglobal.net,(559) 734-4459,2610 S. DOLLNER STREET,Visalia,CA,93277,Tulare,4,7/13/21
RESIDENTIAL CARE ELDERLY,547203991,Augdon Senior Care Home #2,"AUGDON, FRANCES",reneeaguilar01@sbcglobal.net,(559) 684-8831,134 COLORADO AVE,Tulare,CA,93274,Tulare,4,7/13/21
RESIDENTIAL CARE ELDERLY,306001511,Augustin Gardens,"FISK, RYAN & TYANA",tyana2@outlook.com,(949) 916-3552,24361 AUGUSTIN,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,342700927,"Augustus Elder Care Home, Llc","AUGUSTUS ELDER CARE HOME, LLC",lucky_charmed_lani@yahoo.com,(925) 922-4561,5105 SCHUYLER DR,Carmichael,CA,95608,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,315002219,Aunt Dottie'S Place,"STRYKER, DEBI",auntdottiesplace@gmail.com,(916) 773-2514,224 SAGEMOOR COURT,Roseville,CA,95678,Placer,6,7/13/21
RESIDENTIAL CARE ELDERLY,198203584,"Aunt Mona'S Care Home, Inc.","AUNT MONA'S CARE HOME, INC.",mona.mccallister@gmail.com,(310) 833-3131,2522 SUNNYSIDE RIDGE RD.,Rancho Palos Verdes,CA,90275,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602543,Aura,LOVE & CARE RESIDENCE CORP,drjlpiii@aol.com,(310) 933-8275,5602 WHITEWOOD AVE,Lakewood,CA,90712,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609606,Aurora Home For Seniors,AURORA HOME FOR SENIORS,aurorahomeforseniors@gmail.com,(818) 257-1457,16346 SHAMHART DRIVE,Granada Hills,CA,91344,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,306000826,Aurora Palms,"AURORA SENIOR LIVING, INC.",dougdunn@cox.net,(949) 837-8494,28282 LA CALETA,Mission Viejo,CA,92692,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,374601040,Aury'S Home Care,MORAGA-HOPE & MACDANIEL PARTNERSHIP,aury@auryshomecare.com,(619) 656-9798,1068 CAMINO MIEL,Chula Vista,CA,91910,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,197610091,Autumn Elder Care,AM3 CORPORATION,myline.olivas@gmail.com,(747) 237-0417,10055 SUNNYBRAE AVE,Chatsworth,CA,91311,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,385600141,Autumn Glow,"AUTUMN GLOW ALZHEIMER'S HOME, INC.",jamesw@selfhelpelderly.org,(415) 934-1622,654 GROVE STREET,San Francisco,CA,94102,San Francisco,15,7/13/21
RESIDENTIAL CARE ELDERLY,306000258,Autumn Grove Care Home,"O'CONNELL, PATRICIA KAY",autumngrovecarehome@gmail.com,(714) 998-7365,616 EAST GROVE AVENUE,Orange,CA,92865,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,336423366,Autumn Hill,"AUTUMN HILL, LLC",mc_barna@yahoo.com,(951) 543-4288,11002 CLEVELAND AVE,Riverside,CA,92503,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,197606938,"Autumn Hills Residential Home, Inc.","AUTUMN HILLS RESIDENTIAL HOME, INC.",aakehinde@yahoo.com,(661) 943-8194,43129 LEMONWOOD DRIVE,Lancaster,CA,93536,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005337,Autumn House,CADUCEUS ENTERPRISES LLC,barrios.pete@gmail.com,(714) 321-7883,5729 E SAN JUAN DRIVE,Orange,CA,92869,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,565800841,"Autumn Manor, Llc","AUTUMN MANOR, LLC",fulgentes@yahoo.com,(805) 582-2188,2770 HIGHGATE PL.,Simi Valley,CA,93065,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,565800976,"Autumn Manor, Llc #2","AUTUMN MANOR, LLC",autumnmanor_svrc@yahoo.com,(805) 526-8629,2365 KENTFIELD ST.,Simi Valley,CA,93065,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,565801486,"Autumn Manor, Llc #3","AUTUMN MANOR, LLC.",autumnmanor_svrc@yahoo.com,(805) 527-8281,2747 ATHERWOOD AVENUE,Simi Valley,CA,93065,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,547203298,Autumn Oaks,"R & O MANAGEMENT SERVICES, INC.",ong.antonio.ao@gmail.com,(559) 784-4144,848 N. JAYE STREET,Porterville,CA,93257,Tulare,44,7/13/21
RESIDENTIAL CARE ELDERLY,107206271,Autumn Ridge Assisted Living,TRINITY RETIRE.SERV.INC&RICH.JENNINGS GP OF A.R.LP,trinitybarry@yahoo.com,(559) 842-7727,14280 W. STANISLAUS STREET,Kerman,CA,93630,Fresno,34,7/13/21
RESIDENTIAL CARE ELDERLY,374604265,Autumn Villas On Honors Drive,"AUTUMN VILLAS ON HONORS DRIVE, LLC",admin@autumnvillas.com,(858) 750-2021,5874 HONORS DRIVE,San Diego,CA,92122,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,19200549,Ava Bella Care Home,AVABELLA CARE HOME LLC,avabellacare@gmail.com,(510) 324-0444,2483 BALMORAL STREET,Union City,CA,94587,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,486803392,Avalon Care Home Ii,"ATWAL, GURPREET S. & ATWAL, PRITPAL K.",gurmenn@yahoo.com,(707) 386-1042,5082 RASMUSSEN WAY,Fairfield,CA,94533,Solano,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005733,Avalon Guest Manor I,PRIME SENIOR CARE HOMES LLC,fayesharifi21@gmail.com,(714) 869-3532,1857 SHEDDON ST,Fullerton,CA,92833,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,374601793,Avalon Palms,"AVALON PALMS, INC",mannjohn1@mac.com,(858) 775-5918,3271 INNUIT AVE,San Diego,CA,92117,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604261,Avantgarde Senior Living Of La Jolla,AVANTGARDE SENIOR LIVING OF LA JOLLA,jadelman1977@gmail.com,(818) 692-5284,6211 LA JOLLA HERMOSA AVE,La Jolla,CA,92037,San Diego,45,7/13/21
RESIDENTIAL CARE ELDERLY,197608081,Avantgarde Senior Living Of Tarzana,AVANTGARDE SENIOR LIVING,emahoney@agsliving.com,(818) 881-0055,5645 LINDLEY AVENUE,Tarzana,CA,91356,Los Angeles,138,7/13/21
RESIDENTIAL CARE ELDERLY,336425030,Avatar Retirement Home,YOLANDA ALKAWASS,jamal_alkawass@yahoo.com,(760) 340-5191,44645 SAN ONOFRE AVENUE,Palm Desert,CA,92260,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,421703043,Ave'S Board And Care,"AVE, LINDA",shepherds913@gmail.com,(805) 332-3139,111 CRESCENT AVE,Santa Maria,CA,93455,Santa Barbara,6,7/13/21
RESIDENTIAL CARE ELDERLY,275294335,Ave Maria Rcfe #1,AVE MARIA CONVALESCENT HOSPITAL INC,breid@avemariasl.org,(831) 373-1216,1249 JOSSELYN CANYON ROAD,Monterey,CA,93940,Monterey,49,7/13/21
RESIDENTIAL CARE ELDERLY,275294336,Ave Maria Rcfe #2,AVE MARIA CONVALESCENT HOSPITAL INC,breid@avemariasl.org,(831) 373-1216,1257 JOSSELYN CANYON ROAD,Monterey,CA,93940,Monterey,9,7/13/21
RESIDENTIAL CARE ELDERLY,486800091,Avelina Francisca Care Home Ii,"BAYLEN, FLORES",fcbaylen@gmail.com,(707) 645-1444,107 SANDPIPER DRIVE,Vallejo,CA,94589,Solano,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880847,Avenida Anillo Place,"COMMUNITY CARE PROFESSIONALS, LLC",storeycc@yahoo.com,(951) 388-4428,15364 AVENIDA ANILLO,Moreno Valley,CA,92555,Riverside,3,7/13/21
RESIDENTIAL CARE ELDERLY,331880592,Avenida Care Villa,"AVENIDA CARE VILLA, INC.",avenidacarevilla@outlook.com,(951) 807-3304,20332 AVENIDA HACIENDA,Riverside,CA,92508,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,197608379,"Avenida Villa, Inc.","AVENIDA VILLA, INC.",avenidavilla1803@gmail.com,(310) 930-6455,1803 AVENIDA FELICIANO,Rancho Palos Verdes,CA,90275,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198320184,Avenir Memory Care Westside,"AMCLA GP INC. ; AVENIR SENIOR LIVING, LLC",peggyu@avenirseniorliving.com,(480) 451-8200,7501 OSAGE AVE,Los Angeles,CA,90045,Los Angeles,88,7/13/21
RESIDENTIAL CARE ELDERLY,331880531,Avery Garden Assisted Living Inc.,AVERY GARDEN ASSISTED LIVING INC,averygardenassist@gmail.com,(951) 934-3140,5377 FULMER COURT,Jurupa Valley,CA,91752,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,198320105,Aviation Guest Home,"MANHATTAN BEACH GUEST HOME, INC.",info@bhfecare.com,(310) 533-1131,317 S. AVIATION BLVD,Manhattan Beach,CA,90266,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,405850034,Avila Senior Living At Downtown Slo,"PACIFICA SLO LLC & PACIFICA SENIOR LVG MGT, LLC.",ed.avila@pacificaseniorliving.com,(805) 541-4222,475 MARSH ST,San Luis Obispo,CA,93401,San Luis Obispo,100,7/13/21
RESIDENTIAL CARE ELDERLY,336426511,Avista Senior Living Magnolia,S-H OPCO CROWN POINT; AVISTA SR. LVG. MGMT. LLC,sarah.devore@brookdale.com,(951) 737-1600,737 MAGNOLIA AVE,Corona,CA,92879,Riverside,180,7/13/21
RESIDENTIAL CARE ELDERLY,374602565,Avocado Creek,"AVOCADO CREEK, INC.",avocadocreek@hotmail.com,(760) 822-5860,1080 AVOCADO AVE,Escondido,CA,92026,San Diego,12,7/13/21
RESIDENTIAL CARE ELDERLY,306002048,Avondale Family Care Home,"NAVARRA, MARIA TERESA",tessnavarra@yahoo.com,(949) 481-8554,3120 INCLINADO,San Clemente,CA,92673,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306002969,Avondale Family Care Home Ii,"NAVARRA, MARIA TERESA",tessnavarra@yahoo.com,(949) 429-8190,3129 INCLINADO,San Clemente,CA,92673,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,198603457,Ayanna Home Care,D'GRAND BOARD AND CARE CORPORATION DBA  AYANNA HOM,tlcboardandcare@gmail.com,(909) 351-6012,5602 WHITEWOOD AVE,Lakewood,CA,90712,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197601334,Ayres Residential Care Home,"GABAI, MICHAEL",mchlgabai@gmail.com,(310) 475-6484,10940 AYRES AVE.,Los Angeles,CA,90064,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197604374,Ayres Residential Care Home,MICHAEL GABAI,mchlgabai@gmail.com,(310) 475-6484,10862 WELLWORTH AVE,Los Angeles,CA,90024,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197602934,Ayres Residential Care Home-Century City,MICHAEL GABAI,mchlgabai@gmail.com,(310) 475-6484,10363 CALVIN AVE,Los Angeles,CA,90025,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,342700928,Ayurda Inc.,AYURDA INC,ayurdainc@gmail.com,(209) 730-0757,11709 QUIGGLE ROAD,Herald,CA,95638,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609534,Azalea Gardens,FOREVER YOURS LLC,ag.carefacility@gmail.com,(661) 618-9974,6231 AZALEA DRIVE,Quartz Hill,CA,93536,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,236803766,Azalea House,PARENTS & FRIENDS INC,rcfeadmin@parentsandfriends.org,(707) 964-4940,209 AZALEA CIR,Fort Bragg,CA,95437,Mendocino,4,7/13/21
RESIDENTIAL CARE ELDERLY,331800003,Azzur Assisted Living Llc,"AZZUR ASSISTED LIVING,LLC",mjmtolentino@gmail.com,(951) 665-6240,397 E MAIN STREET,San Jacinto,CA,92583,Riverside,24,7/13/21
RESIDENTIAL CARE ELDERLY,134603706,"A&A Cottage View Assisted Living,Inc.","A&A COTTAGE VIEW ASSISTED LIVING,INC.",ikezadeh@yahoo.com,(442) 283-5500,103 S HASKELL DRIVE,El Centro,CA,92243,Imperial,14,7/13/21
RESIDENTIAL CARE ELDERLY,306004758,A&B At Home Health Home Care Facility Rcfe,"BRAIDEIN & AUSTINE HEALTH HOME CARE FACILITY,LLC",jmjub_26@yahoo.com,(949) 870-6588,24116 JUANENO DRIVE,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005679,A&B Health Care,BRAIDEN & AUSTINE HEALTH CARE INC,jmjub_26@yahoo.com,(949) 870-6588,24272 LYSANDA DRIVE,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,486803930,A&C Care,"A&C CARE, LLC",boost2much@yahoo.com,(415) 812-1517,5144 DARTMOOR CIRCLE,Fairfield,CA,94534,Solano,6,7/13/21
RESIDENTIAL CARE ELDERLY,342700679,A&C Elderly Care,A&C SENIOR CARE #2 LLC,carmen_m_24@hotmail.com,(916) 223-5435,3319 SCOTLAND DRIVE,Antelope,CA,95843,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,79200958,"A&L Compassion Care, Inc.","A&L COMPASSION CARE, INC.",loidagl@hotmail.com,(925) 848-6335,5020 SOUTH PORT COURT,Antioch,CA,94531,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005471,A&M Assisted Living,A&M ASSISTED LIVING INC,nataliasurgent@gmail.com,(714) 366-1858,4461 PALOMA LANE,Yorba Linda,CA,92886,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,336426437,A+ Senior Care At Mission Lakes,DANIEL SAFT,senoronjacob7419@gmail.com,(760) 671-9775,64635 PICARD COURT,Desert Hot Springs,CA,92240,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,306001939,A.C.E. Advanced Care For Elderly,GEORGETA ARDELEANU,jadcfam@att.net,(714) 926-4902,2400 TRYON AVE.,Anaheim,CA,92806,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,11440861,B-N Residential Care Home,"BAUTISTA, ALEJANDRIA N. & ROMULO S.",rabautista58@gmail.com,(510) 471-6229,4801 MICHELLE WAY,Union City,CA,94587,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609555,B And B Senior Villa,B AND B SENIOR VILLA INC,glad07baingan@gmail.com,(954) 200-0232,23019 VISTA DELGADO,Valencia,CA,91354,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,361880901,B Smith Board And Care,SMITTY'S HOME HEALTH,smith.brii@yahoo.com,(909) 244-4280,10583 PORTLAND AVE,Hesperia,CA,92345,San Bernardino,4,7/13/21
RESIDENTIAL CARE ELDERLY,306005883,B & B Homecare,"CASTILLO, LIBERTY N. DEL",libbydelcastillo@yahoo.com,(714) 886-2280,3173 W POLK AVENUE,Anaheim,CA,92801,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,410508402,B & B Residential Facilities,"B&B RESIDENTIAL FACILITIES, INC.",antbul@comcast.net,(650) 570-5124,13 W. 38TH AVENUE,San Mateo,CA,94403,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,415600657,"B & B Residential Facilities, Inc.","B&B RESIDENTIAL FACILITIES, INC.",antbul@comcast.net,(650) 345-4095,3824 BERESFORD STREET,San Mateo,CA,94403,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,410508727,"B & B Residential Facilities, Inc.","B & B RESIDENTIAL FACILITIES, INC.",antbul@comcast.net,(650) 345-6580,15 W. 38TH AVENUE,San Mateo,CA,94403,San Mateo,7,7/13/21
RESIDENTIAL CARE ELDERLY,306005785,B & C Elderly Care,"B & C ELDERLY CARE, INC.",brianestorba@yahoo.com,(714) 488-8413,9342 LIME CIRCLE,Cypress,CA,90630,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609338,B & M Care For Elderly Inc,B & M CARE FOR ELDERLY INC,nrpaguia@yahoo.com,(661) 942-2572,44851 MARIPOSA DRIVE,Lancaster,CA,93536,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005775,Babb Street Manor,"GOLDEN BUNGALOW, LLC, THE",maria@amissionchateau.com,(562) 207-7216,2959 BABB ST,Costa Mesa,CA,92626,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,107206937,Backer Senior Carehome,JMJ CARESERVICES LLC,arleneservices@yahoo.com,(559) 721-5483,9127 N BACKER AVE,Fresno,CA,93720,Fresno,6,7/13/21
RESIDENTIAL CARE ELDERLY,392700527,Balance Assisted Living And Memory Care,ATLANTIS LODI OPCO LLC; ATLANTIS SR LIVING LLC,sratliff12@gmail.com,(209) 334-3436,1321 S FAIRMONT AVENUE,Lodi,CA,95240,San Joaquin,145,7/13/21
RESIDENTIAL CARE ELDERLY,157206849,Balance Residential Care Corp Ii,BALANCE RESIDENTIAL CARE CORPORATION,beanievr@yahoo.com,(661) 665-4665,10125 ST. ALBANS AVE,Bakersfield,CA,93311,Kern,6,7/13/21
RESIDENTIAL CARE ELDERLY,157202507,Balance Residential Care Corporation,BALANCE RESIDENTIAL CARE CORPORATION,beanievr@yahoo.com,(661) 665-0535,9802 VERTRICE AVE.,Bakersfield,CA,93311,Kern,6,7/13/21
RESIDENTIAL CARE ELDERLY,300606338,Balboa Island Board & Care,"BALBOA ISLAND BOARD & CARE, INC",cbarton5@roadrunner.com,(949) 673-8589,300 APOLENA,Balboa Island,CA,92662,Orange,4,7/13/21
RESIDENTIAL CARE ELDERLY,198601706,Baldwin Gracious Living,JHED HEALTH CARE LLC,jhedhealthcare@yahoo.com,(626) 252-4803,14218 ROCKENBACH ST,Baldwin Park,CA,91706,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,75601459,Baltic Sea Manor,"BALTIC SEA MANOR, LLC",vivianprice61@yahoo.com,(925) 783-0988,311 BALTIC SEA COURT,Pittsburg,CA,94565,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,75601569,Baltic Sea Manor Ii,"BALTIC SEA MANOR II, LLC",vivianprice61@yahoo.com,(925) 783-0988,2237 LYNBROOK DRIVE,Pittsburg,CA,94565,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,290308074,Banner Crest,JUDITH LINHARES,joeandjudy1@hotmail.com,(530) 272-4513,12382 CASCADE WAY,Nevada City,CA,95959,Nevada,7,7/13/21
RESIDENTIAL CARE ELDERLY,197606472,Banner Ridge Country Home,ELNA CRISOSTOMO VILLAFLOR,elnacris@aol.com,(909) 240-1899,1006 BANNER RIDGE ROAD,Diamond Bar,CA,91765,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,331881001,Bardwells Pines Manor Llc,BARDWELLS PINES MANOR LLC,najeh@gmail.com,(786) 219-6008,5336 BARDWELLS AVE,Riverside,CA,92506,Riverside,6,7/13/21
