State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Facility Status
RESIDENTIAL CARE ELDERLY,342700039,"CHATEAU AT RIVER'S EDGE, THE",CHATEAU AT RIVER'S EDGE MGT CA; SRG SACRAMENTO MGT,GRAYSON.TYNES@SRG-LLC.COM,(916) 921-1970,641 FEATURE DR,SACRAMENTO,CA,95825,SACRAMENTO,143,CLOSED
RESIDENTIAL CARE ELDERLY,340314013,"CHATEAU AT RIVER'S EDGE, THE","HANKFISHER, MANAGING GENERAL PARTNER",,(916) 921-1970,641 FEATURE DRIVE,SACRAMENTO,CA,95825,SACRAMENTO,143,CLOSED
RESIDENTIAL CARE ELDERLY,342700579,"CHATEAU AT RIVER'S EDGE, THE",RIVER'S EDGE OPCO LLC; SRG SACRAMENTO MGT LLC,MIKE.TALANI@SRG-LLC.COM,(916) 921-1970,641 FEATURE DR,SACRAMENTO,CA,95825,SACRAMENTO,143,LICENSED
RESIDENTIAL CARE ELDERLY,347003704,CHATEAU CLAIRE,E & M ENTERPRISES,ALVILLAGES@GMAIL.COM,(916) 987-7285,7125 MAIN AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,6,CLOSED
RESIDENTIAL CARE ELDERLY,374603065,CHATEAU DE ORO,"LA CASA PACIFICA LA JOLLA, INC.,",,(858) 405-3899,1645 COPA DE ORO,LA JOLLA,CA,92037,SAN DIEGO,6,CLOSED
RESIDENTIAL CARE ELDERLY,197606437,"CHATEAU ENCINO CARE, INC.","CHATEAU ENCINO CARE, INC.",CHATEAUENCINOCARE@YAHOO.COM,(818) 342-6388,17732 ERWIN STREET,ENCINO,CA,91316,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,347003703,CHATEAU FILIP,E & M ENTERPRISES,MICKEY4PPL@SBCGLOBAL.NET,(916) 987-7165,7121 MAIN AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,6,CLOSED
RESIDENTIAL CARE ELDERLY,306003807,CHATEAU FRANCESCA,MARIZA OLIVA,MARIZA.OLIVA@YAHOO.COM,(949) 234-0559,33821 VIA CASCADA,SAN JUAN CAPISTRANO,CA,92675,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,306004319,CHATEAU GUEST HOME,"CABALO CUNANAN, VIRGINIA",VCABALO406@AOL.COM,(714) 941-9078,816 E.MEATS AVENUE,ORANGE,CA,92865,ORANGE,6,CLOSED
RESIDENTIAL CARE ELDERLY,440708786,CHATEAU GUEST HOME,"BURKS, LILLY & REMOLONA, LORNA",JAZMINEDELON3@GMAIL.COM,(831) 475-0954,1340 17TH AVENUE,SANTA CRUZ,CA,95062,SANTA CRUZ,26,CLOSED
RESIDENTIAL CARE ELDERLY,75600194,CHATEAU III,"CARLTON SENIOR LIVING, LLC",TINGLEMAN@CARLTONSENIORLIVING.COM,(925) 935-1001,175 CLEAVELAND ROAD,PLEASANT HILL,CA,94523,CONTRA COSTA,175,LICENSED
RESIDENTIAL CARE ELDERLY,107203380,CHATEAU JESADEAN,"HAMILTON, BRADLEY",BRAD@THEEVERGREENLIFE.COM,(559) 449-8229,5633 N. MAROA,FRESNO,CA,93704,FRESNO,6,CLOSED
RESIDENTIAL CARE ELDERLY,107208890,CHATEAU JESADEAN,EVERGREEN CARE HOMES INC,ANDREA@THEEVERGREENLIFE.COM,(559) 449-8229,5633 N MAROA AVE,FRESNO,CA,93704,FRESNO,6,LICENSED
RESIDENTIAL CARE ELDERLY,75601534,CHATEAU JUDSONVILLE,CHATEAU JUDSONVILLE LLC,CHATEAUJUDSONVILLE@GMAIL.COM,(925) 204-1500,5220 JUDSONVILLE DRIVE,ANTIOCH,CA,94531,CONTRA COSTA,6,LICENSED
RESIDENTIAL CARE ELDERLY,374602792,CHATEAU LA CRESTA,"HANEK, MARIE",FHANEK@YAHOO.COM,(619) 447-9241,271 LILAC DRIVE,EL CAJON,CA,92021,SAN DIEGO,3,CLOSED
RESIDENTIAL CARE ELDERLY,372004591,CHATEAU LAKE SAN MARCOS COMMUNITY CARE CENTER,CHATEAU LAKE SAN MARCOS HOMEOWNERS ASSOCIATION,RENEE.RICHARDSON@CHATEAULAKESANMARCOS.CO,(760) 471-0083,1560 CIRCA DEL LAGO,SAN MARCOS,CA,92078,SAN DIEGO,15,LICENSED
RESIDENTIAL CARE ELDERLY,197605663,CHATEAU LE PETITE,BELINDA DOLINSKY,CHATEAULEPETITE@SBCGLOBAL.NET,(818) 599-7004,4934 SWINTON AVENUE,ENCINO,CA,91436,LOS ANGELES,6,CLOSED
RESIDENTIAL CARE ELDERLY,197606251,CHATEAU LE PETITE II,BELINDA DOLINSKY,CHATEAULEPETITE@SBCGLOBAL.NET,(818) 599-7004,12630 MIRANDA STREET,VALLEY VILLAGE,CA,91607,LOS ANGELES,6,CLOSED
RESIDENTIAL CARE ELDERLY,197607495,CHATEAU LE PETITE III,"DOLINSKY, BELINDA",CHATEAULEPETITE@SBCGLOBAL.NET,(818) 610-1082,24312 CARIS STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,11440842,CHATEAU LIVERMORE,"NATIVIDAD, MARIBEC",,(925) 484-3006,1798 MT. DIABLO WAY,LIVERMORE,CA,94550,ALAMEDA,6,CLOSED
RESIDENTIAL CARE ELDERLY,197800131,CHATEAU LONG BEACH,"CHATEAU LONG BEACH, THE",BEATRICE@TRUCARECOMMUNITY.COM,(562) 428-5371,3100 E. ARTESIA BLVD.,LONG BEACH,CA,90805,LOS ANGELES,184,LICENSED
RESIDENTIAL CARE ELDERLY,197604809,CHATEAU MAGNOLIA,"CHATEAU MAGNOLIA,INC.",TINAFILIKYAN@GMAIL.COM,(818) 843-5873,1061 EAST MAGNOLIA ST.,BURBANK,CA,91501,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,197606758,CHATEAU OF OAKS,"CHATEAU OF OAKS, INC.",CHATEAUOFOAKS@SBCGLOBAL.NET,(818) 510-0080,15239 CAMARILLO STREET,SHERMAN OAKS,CA,91403,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,342700040,"CHATEAU ON CAPITOL AVENUE, THE",CHATEAU ON CAPITOL AVE MGT CA; SRG SACRAMENTO MGMT,,(916) 447-4444,2701 CAPITOL AVE,SACRAMENTO,CA,95816,SACRAMENTO,81,CLOSED
RESIDENTIAL CARE ELDERLY,347003111,"CHATEAU ON CAPITOL AVENUE, THE",HANK FISHER HOLDINGS 1,,(916) 447-4444,2701 CAPITOL AVENUE,SACRAMENTO,CA,95816,SACRAMENTO,81,CLOSED
RESIDENTIAL CARE ELDERLY,342700583,"CHATEAU ON CAPITOL AVENUE, THE",CAPITOL AVENUE OPCO LLC;SRG SACRAMENTO MGMT LLC,TBARNES@SRG-LLC.COM,(916) 447-4444,2701 CAPITOL AVENUE,SACRAMENTO,CA,95816,SACRAMENTO,81,LICENSED
RESIDENTIAL CARE ELDERLY,71440541,CHATEAU PLEASANT HILL,"CARLTON SENIOR LIVING, LLC",JMCCRAW@CARLTONSENIORLIVING.COM,(925) 935-1660,2726-2770 PLEASANT HILL RD.,PLEASANT HILL,CA,94523,CONTRA COSTA,165,LICENSED
RESIDENTIAL CARE ELDERLY,11440950,CHATEAU PLEASANTON,MARIBEC V. NATIVIDAD,,(925) 484-3006,3429 STACEY WAY,PLEASANTON,CA,94588,ALAMEDA,6,CLOSED
RESIDENTIAL CARE ELDERLY,405802259,CHATEAU ROSE,"ROSE CARE GROUP, INC.",ARPADKSOO@GMAIL.COM,(805) 235-0286,1555 LAUREL LANE,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,6,LICENSED
RESIDENTIAL CARE ELDERLY,347005689,CHATEAU ROYALE CARE,ALP CARE INC,CHATEAUROYALECARE@GMAIL.COM,(916) 365-7994,2745 CALIFORNIA AVE,CARMICHAEL,CA,95608,SACRAMENTO,6,LICENSED
RESIDENTIAL CARE ELDERLY,415600105,CHATEAU SABELLE,"CASTLE, NANCY",NCCHIAO@YAHOO.COM,(650) 341-2296,2921 ISABELLE STREET,SAN MATEO,CA,94403,SAN MATEO,6,LICENSED
RESIDENTIAL CARE ELDERLY,197610159,CHATSWORTH LIVING,"CHATSWORTH LIVING, INC",CHATSWORTHLIVING@GMAIL.COM,(818) 590-6793,20453 MAYALL STREET,CHATSWORTH,CA,91311,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,342700243,CHAUPPETTE ASSISTED LIVING LLC,CHAUPPETTE ASSISTED LIVING LLC,SHEREE_JAYE@SBCGLOBAL.NET,(916) 560-8708,6813 MARINVALE DRIVE,CITRUS HEIGHTS,CA,95621,SACRAMENTO,6,LICENSED
RESIDENTIAL CARE ELDERLY,306003534,CHEERFUL HEART HOME CARE I,"CHEERFUL HEART HOME CARE, INC.",CHEERFULHEART3@YAHOO.COM,(714) 534-2803,11592 VICILIA STREET,GARDEN GROVE,CA,92841,ORANGE,6,CLOSED
RESIDENTIAL CARE ELDERLY,306003535,CHEERFUL HEART HOME CARE II,CHEERFUL HEART HOME CARE II,CHEERFULHEART3@YAHOO.COM,(714) 726-6565,16412 MARK LN.,HUNTINGTON BEACH,CA,92647,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,306003536,CHEERFUL HEART HOME CARE III,"CHEERFUL HEART HOME CARE, INC.",CHEERFULHEART3@YAHOO.COM,(714) 726-6525,10182 EDYE DRIVE,HUNTINGTON BEACH,CA,92646,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,306003537,CHEERFUL HEART HOME CARE IV,"CHEERFUL HEART HOME CARE, INC.",CHEERFULHEART3@YAHOO.COM,(714) 726-6525,9542 SAILFISH DRIVE,HUNTINGTON BEACH,CA,92646,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,306004275,CHEERFUL HEART HOME V,"CHEERFUL HEART HOME CARE, INC.",CHEERFULHEART3@YAHOO.COM,(714) 726-6525,10722 ALBANY CIRCLE,VILLA PARK,CA,92861,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,496803571,CHELO'S GARDEN,"CHELO'S GARDEN, LLC",RCFECHELOSGARDEN@GMAIL.COM,(707) 484-6085,996 ESTES DRIVE,SANTA ROSA,CA,95409,SONOMA,6,CLOSED
RESIDENTIAL CARE ELDERLY,306003456,CHELSEA CARE HOME,"ISLA, IRIS & NESTOR",NESTOR.ISLA@YAHOO.COM,(949) 707-5893,24985 HENDON STREET,LAGUNA HILLS,CA,92653,ORANGE,6,CLOSED
RESIDENTIAL CARE ELDERLY,486803824,CHENIN BLANC ASSISTED LIVING,CHENIN BLANC ASSISTED LIVING,CHENINBLANCLIVING@GMAIL.COM,(707) 208-6451,5326 CHENIN BLANC PLACE,VALLEJO,CA,94591,SOLANO,4,LICENSED
RESIDENTIAL CARE ELDERLY,306004517,CHERI GROVE,"A&L HOLDINGS, INC.",CHERIMANOR99@GMAIL.COM,(562) 694-4507,1171 CHERI DRIVE,LA HABRA,CA,90631,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,306002550,CHERI MANOR,"A & L HOLDINGS, INC.",CHERIMANOR99@GMAIL.COM,(562) 690-5700,1160 CHERI DRIVE,LA HABRA,CA,90631,ORANGE,6,LICENSED
RESIDENTIAL CARE ELDERLY,79200882,CHERISH CARE HOME INC.,CHERISH CARE HOME INC.,INFO@CORDIALCAREHOME.COM,(925) 250-3044,15 DICKSON LANE,MARTINEZ,CA,94553,CONTRA COSTA,6,LICENSED
RESIDENTIAL CARE ELDERLY,405801778,CHERISH HOUSE IN CAMBRIA,"CHERISH HOUSE IN CAMBRIA, INC.",SIMPSONCINDY1@GMAIL.COM,(805) 203-5095,1155 WARREN ROAD,CAMBRIA,CA,93428,SAN LUIS OBISPO,6,CLOSED
RESIDENTIAL CARE ELDERLY,405801741,"CHERISH HOUSE RETREAT, INC.","CHERISH HOUSE RETREAT, INC",2VIKKIHANSEN@GMAIL.COM,(805) 924-1462,1405 BERWICK DRIVE,CAMBRIA,CA,93428,SAN LUIS OBISPO,8,LICENSED
RESIDENTIAL CARE ELDERLY,405850054,"CHERISH HOUSE WEST, INC.","CHERISH HOUSE WEST, INC.",1VIKKIHANSEN@GMAIL.COM,(805) 909-7878,1155 WARREN ROAD,CAMBRIA,CA,93428,SAN LUIS OBISPO,6,CLOSED
RESIDENTIAL CARE ELDERLY,435202564,CHERISH SENIOR CARE HOME,L & L SENIOR CARE LLC,PANGALIMANLANI@YAHOO.COM,(408) 266-0507,2858 ROSS AVENUE,SAN JOSE,CA,95124,SANTA CLARA,6,LICENSED
RESIDENTIAL CARE ELDERLY,390311376,CHEROKEE RETIREMENT HOME,"REED, RICK A. & SANDY Y.",VALLEYJAG@AOL.COM,(209) 931-4206,4124 CHEROKEE ROAD,STOCKTON,CA,95215,SAN JOAQUIN,15,LICENSED
RESIDENTIAL CARE ELDERLY,197602527,CHERRY'S PLACE,"LOPEZ, GODOFREDO",valenciaguesthomes@gmail.com,(661) 297-0036,27710 CHERRY CREEK DRIVE,VALENCIA,CA,91354,LOS ANGELES,6,CLOSED
RESIDENTIAL CARE ELDERLY,107208987,CHERRY AND MICHAEL'S HOME,ALACAR INC.,ALACARINC@ICLOUD.COM,(559) 301-4720,4640 E. KAVILAND,FRESNO,CA,93725,FRESNO,4,LICENSED
RESIDENTIAL CARE ELDERLY,515002617,CHERRY BLOSSOM ASSISTED LIVING,CHERRY BLOSSOM SENIOR LIVING INC,SRATLIFF12@GMAIL.COM,(530) 212-8010,1880 LIVE OAK BLVD,YUBA CITY,CA,95991,SUTTER,79,LICENSED
RESIDENTIAL CARE ELDERLY,198603005,CHERRY BLOSSOMS ELDERCARE,CHERRY BLOSSOMS ELDERCARE LLC,NAPOLEON.GARCIA.5@GMAIL.COM,(424) 757-2323,1416 FERN AVE,TORRANCE,CA,90503,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,317005504,CHERRY RIDGE VILLA,YOKO AKAOSUGI,CHERRYRIDGEVILLASENIORHOME@YAHOO.COM,(916) 786-0654,6893 CHERRY RIDGE CIRCLE,ROSEVILLE,CA,95678,PLACER,6,CLOSED
RESIDENTIAL CARE ELDERLY,312700329,CHERRY RIDGE VILLA,"CHERRY RIDGE VILLA, INC.",AKAOSUGIT@YAHOO.COM,(916) 786-0654,6893 CHERRY RIDGE CIRCLE,ROSEVILLE,CA,95678,PLACER,6,LICENSED
RESIDENTIAL CARE ELDERLY,435202726,CHERRY VILLA,"CHERRY VILLA, INC.",DERICKPAREDES@NEWHOMESENIOR.COM,(408) 802-0215,2604 CHERRY AVE,SAN JOSE,CA,95125,SANTA CLARA,6,LICENSED
RESIDENTIAL CARE ELDERLY,361880951,CHERRY & PINE GARDEN HOME CARE,"CHERRY AND PINE GARDEN HOME CARE, INC.",IAMWILLIAM62@GMAIL.COM,(442) 800-5502,7610 I AVENUE,HESPERIA,CA,92345,SAN BERNARDINO,6,LICENSED
RESIDENTIAL CARE ELDERLY,435202595,CHESBRO CARE HOME,JOSEPHINE LOUGHLIN,,(408) 226-6910,5950 CHESBRO AVE,SAN JOSE,CA,95123,SANTA CLARA,6,CLOSED
RESIDENTIAL CARE ELDERLY,415600753,CHESTNUT HOUSE,"AGEWAY SENIOR CARE, INC.",ANA@AGEWAYSENIORCARE.COM,(650) 594-1464,590 CHESTNUT STREET,SAN CARLOS,CA,94070,SAN MATEO,6,LICENSED
RESIDENTIAL CARE ELDERLY,415600653,CHESTNUT MANOR III,ONE GUY FROM CAP INC.,RICHARDBALTZER@GMAIL.COM,(650) 952-5676,130 PARK VIEW DRIVE,SAN BRUNO,CA,94066,SAN MATEO,6,CLOSED
RESIDENTIAL CARE ELDERLY,496800479,CHEZ LOUISE,LOUISE MCKENZIE,LOUISEMCKENZIE@COMCAST.NET,(707) 843-7793,6084 COUNTRY CLUB DRIVE,ROHNERT PARK,CA,94928,SONOMA,6,CLOSED
RESIDENTIAL CARE ELDERLY,496801331,CHEZ LOUISE II,"CHEZ LOUISE, INC.",CHEZLOUISEINC@YAHOO.COM,(707) 584-9299,6299 COUNTRY CLUB DRIVE,ROHNERT PARK,CA,94928,SONOMA,8,CLOSED
RESIDENTIAL CARE ELDERLY,374603746,CHHINA'S SENIOR GUEST HOUSE,"CHHINA, JIWAN SINGH",JSCHHINA2@GMAIL.COM,(619) 337-5201,8632 SPRING VISTA WAY,SPRING VALLEY,CA,91977,SAN DIEGO,6,LICENSED
RESIDENTIAL CARE ELDERLY,392700414,CHIANTI GRACE LLC,CHIANTI GRACE LLC,CHIANTIJOY@GMAIL.COM,(209) 451-4528,9063 CHIANTI CIR,STOCKTON,CA,95212,SAN JOAQUIN,6,CLOSED
RESIDENTIAL CARE ELDERLY,392700941,"CHIANTI GRACE, LLC","CHIANTI GRACE, LLC",CHIANTIGRACE1@GMAIL.COM,(209) 688-8058,9063 CHIANTI CIRCLE,STOCKTON,CA,95212,SAN JOAQUIN,6,LICENSED
RESIDENTIAL CARE ELDERLY,392700412,CHIANTI JOY LLC,CHIANTI JOY LLC,CHIANTIJOY@GMAIL.COM,(209) 242-2006,9152 CHIANTI CIR,STOCKTON,CA,95212,SAN JOAQUIN,6,LICENSED
RESIDENTIAL CARE ELDERLY,342700066,CHICAGO AVENUE LLC,CHICAGO AVENUE LLC,,(916) 671-3148,5125 CHICAGO AVE,FAIR OAKS,CA,95628,SACRAMENTO,6,CLOSED
RESIDENTIAL CARE ELDERLY,336405788,CHICAGO HOPE ASSISTED LIVING,KAREN COCCHIARO,PUTTERSLANE@GMAIL.COM,(951) 663-8514,25858 NEW CHICAGO,HEMET,CA,92544,RIVERSIDE,6,LICENSED
RESIDENTIAL CARE ELDERLY,336425971,CHLOE CARE HOME,"CHLOE CARE HOME, INC.",,(949) 394-8998,1022 SAW TOOTH LANE,HEMET,CA,92545,RIVERSIDE,6,CLOSED
RESIDENTIAL CARE ELDERLY,197607071,CHLOIE'S COTTAGE,"CHLOIE'S COTTAGE, INC.",CHLOIESCOTTAGE@YAHOO.COM,(909) 599-3193,747 N. BELLEVIEW AVENUE,SAN DIMAS,CA,91773,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,197608221,CHLOIE'S COTTAGE II,"CHLOIE'S COTTAGE, INC.",CHLOIESCOTTAGE@YAHOO.COM,(909) 592-4488,305 E. BASELINE ROAD,SAN DIMAS,CA,91773,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,286800991,CHOCTAW HOUSE,"HAHKLOTUBBE, DAVID & JULIET",J.HAHKLOTUBBE@GMAIL.COM,(707) 258-9348,2504 REDWOOD ROAD,NAPA,CA,94558,NAPA,6,LICENSED
RESIDENTIAL CARE ELDERLY,286801829,CHOCTAW HOUSE NORTH,DAVID & JULIET HAHKLOTUBBE OF CHOCTAW HOUSE,J.HAHKLOTUBBE@GMAIL.COM,(707) 265-8722,2529 VINE HILL COURT,NAPA,CA,94558,NAPA,6,LICENSED
RESIDENTIAL CARE ELDERLY,347001594,CHRIS BEST CARE FOR ELDERLY,"VINLUAN, LITA N.",CHRISBESTCARE@YAHOO.COM,(916) 682-3942,8208 SUMMER FALLS CIRCLE,SACRAMENTO,CA,95828,SACRAMENTO,5,LICENSED
RESIDENTIAL CARE ELDERLY,197606906,CHRISCOR GUEST HOME II,SALLY CORONEL,SALLYCORONEL777@GMAIL.COM,(818) 886-2580,20004 LANARK STREET,WINNETKA,CA,91306,LOS ANGELES,5,CLOSED
RESIDENTIAL CARE ELDERLY,347005332,CHRISMAN COMMUNITY,EMILIA ARDELEAN,EMILI.ARDELEANU@YAHOO.COM,(916) 515-8590,4230 PARADISE DRIVE,CARMICHAEL,CA,95608,SACRAMENTO,6,LICENSED
RESIDENTIAL CARE ELDERLY,565801142,CHRISTIAN'S HOME FOR THE ELDERLY,"CHRISTIANSHOME RCFE, INC.",MARIA306654@AOL.COM,(805) 526-4715,3066 SCHOOL STREET,SIMI VALLEY,CA,93065,VENTURA,6,LICENSED
RESIDENTIAL CARE ELDERLY,405801666,CHRISTIAN HOME FOR THE ELDERLY,"GOLDEN HOPE HEALTH CARE SERVICES, INC.",HAPPYNURSE4146@YAHOO.COM,(805) 239-2089,1637 LEAH WAY,PASO ROBLES,CA,93446,SAN LUIS OBISPO,6,CLOSED
RESIDENTIAL CARE ELDERLY,405801793,CHRISTIAN HOME FOR THE ELDERLY #2,"GOLDEN HOPE HEALTH CARE SERVICES, INC.",HAPPYNURSE4146@YAHOO.COM,(805) 239-1929,1711 KLECK ROAD,PASO ROBLES,CA,93446,SAN LUIS OBISPO,6,CLOSED
RESIDENTIAL CARE ELDERLY,366403577,CHRISTIAN LIFE & HOME CARE,"SWANSON, JUDY A. & ANTONIO JR.",judy_swnsn@yahoo.com,(909) 799-8245,1848 S. SHEDDEN DRIVE,LOMA LINDA,CA,92354,SAN BERNARDINO,6,LICENSED
RESIDENTIAL CARE ELDERLY,366412245,CHRISTIAN LIFE & HOME CARE B,"SWANSON, JUDY A.",JUDY-SWANSON@YAHOO.COM,(909) 478-1012,1841 SHEDDEN DRIVE,LOMA LINDA,CA,92354,SAN BERNARDINO,6,CLOSED
RESIDENTIAL CARE ELDERLY,336425026,CHRISTINA'S BOARD & CARE,CHRISTINA GROZA,,(951) 310-0424,11304 ESTATES CT.,RIVERSIDE,CA,92503,RIVERSIDE,4,CLOSED
RESIDENTIAL CARE ELDERLY,107201450,CHRISTINA'S CARE HOME,"STEPHEN, RAVI",ANJALEONI3@ICLOUD.COM,(559) 347-9900,2551 MESA AVENUE,CLOVIS,CA,93611,FRESNO,6,LICENSED
RESIDENTIAL CARE ELDERLY,107201451,CHRISTINA'S CARE HOME II,STEPHEN RAVI,ANJALEONI3@ICLOUD.COM,(559) 347-9900,1910 INDIANAPOLIS AVENUE,CLOVIS,CA,93611,FRESNO,6,LICENSED
RESIDENTIAL CARE ELDERLY,247209058,CHRISTINA'S HOME CARE,CHRISTINA'S HOME CARE LLC,CHRISTINAPELAYO1@GMAIL.COM,(209) 485-6940,8397 KIMBERLY WAY,HILMAR,CA,95324,MERCED,6,LICENSED
RESIDENTIAL CARE ELDERLY,397004949,CHRISTINE'S CARE HOME,"MORELOS, LUCIFINA",,(209) 475-0186,9152 CHAINTI CIRCLE,STOCKTON,CA,95212,SAN JOAQUIN,5,CLOSED
RESIDENTIAL CARE ELDERLY,397005144,CHRISTINE'S CARE HOME 2,LUCIFINA S. MORELOS,,(209) 227-8937,9063 CHIANTI CIRCLE,STOCKTON,CA,95212,SAN JOAQUIN,6,CLOSED
RESIDENTIAL CARE ELDERLY,397005481,CHRISTINE'S CARE HOME 3,LUCIFINA S. MORELOS,,(209) 565-5070,9230 LARIAT LANE,STOCKTON,CA,95210,SAN JOAQUIN,6,CLOSED
RESIDENTIAL CARE ELDERLY,336410270,CHRISTMAS COTTAGE,"SARSON HOLDINGS, INC.",VINSARS55@YAHOO.COM,(951) 765-1840,330 S. SAN JACINTO ST,HEMET,CA,92543,RIVERSIDE,14,LICENSED
RESIDENTIAL CARE ELDERLY,336410274,CHRISTMAS COTTAGE,"SARSON HOLDINGS, INC.",VINSARS55@YAHOO.COM,(951) 765-1840,320 S. SAN JACINTO ST,HEMET,CA,92543,RIVERSIDE,17,LICENSED
RESIDENTIAL CARE ELDERLY,366426059,CHRISTOPHER ALDER RIDGE,"EITTOL, INC.",EITTOLINC@HOTMAIL.COM,(909) 335-3054,1296 ALDERWOOD LANE,MENTONE,CA,92359,SAN BERNARDINO,6,LICENSED
RESIDENTIAL CARE ELDERLY,366425032,CHRISTOPHER RIDGE,"EITTOL, INC.",QIDPEITTOL@HOTMAIL.COM,(909) 335-3054,1533 E. HIGHLAND AVE.,REDLANDS,CA,92374,SAN BERNARDINO,6,LICENSED
RESIDENTIAL CARE ELDERLY,361880869,CHRISTOPHER SOMERSET RIDGE,"EITTOL, INC.",EITTOLINC@HOTMAIL.COM,(909) 226-3635,1758 SOMERSET LANE,REDLANDS,CA,92374,SAN BERNARDINO,6,LICENSED
RESIDENTIAL CARE ELDERLY,374603895,CHULA VISTA HOME CARE,LYNELL LOURDES GERONA,AVAPARAS@YAHOO.COM,(619) 869-8247,1287 TOBIAS DRIVE,CHULA VISTA,CA,91911,SAN DIEGO,6,LICENSED
RESIDENTIAL CARE ELDERLY,435200974,CHURCH RCF,"ZIPAGAN, AZUCENA",SANDYZIP@GARLIC.COM,(408) 472-2059,1306 CHURCH AVENUE,SAN MARTIN,CA,95046,SANTA CLARA,6,LICENSED
RESIDENTIAL CARE ELDERLY,306005984,CIELO VISTA SENIOR LIVING,"WESTMINSTER HOME, INC.",RONA.MALACA@YAHOO.COM,(562) 569-8914,7571 WYOMING ST,WESTMINSTER,CA,92683,ORANGE,122,PENDING
RESIDENTIAL CARE ELDERLY,79200351,CINDY'S CARE HOME,JLC INVESTMENT & TRADING INC.,,(510) 316-6687,2135 LUPINE ROAD,HERCULES,CA,94547,CONTRA COSTA,6,CLOSED
RESIDENTIAL CARE ELDERLY,347000922,CINDY CENDANA CARE HOME,"CENDANA, CINDY",RYGULE@GMAIL.COM,(916) 854-2574,10108 MONTE VALLO COURT,SACRAMENTO,CA,95827,SACRAMENTO,6,LICENSED
RESIDENTIAL CARE ELDERLY,198601701,"CITADEL HOMES, INC.","CITADEL HOMES, INC.",MARMASHBURN@GMAIL.COM,(562) 426-8091,1840 W. AQUARIUS STREET,LONG BEACH,CA,90810,LOS ANGELES,6,LICENSED
RESIDENTIAL CARE ELDERLY,336425913,CITIVIEW RESIDENTIAL CARE,"CITIVIEW RESIDENTIAL CARE, INC.",CVRESCARE@GMAIL.COM,(951) 780-1288,15646 RANCHO VIEJO DRIVE,RIVERSIDE,CA,92506,RIVERSIDE,6,LICENSED
RESIDENTIAL CARE ELDERLY,306006033,CITRINE RESIDENTIAL CARE,CITRINE RESIDENTIAL CARE INC.,PCELIS.RESIDENTIALCARE@GMAIL.COM,(949) 573-6489,3359 W ORANGE AVE,ANAHEIM,CA,92804,ORANGE,6,PENDING
RESIDENTIAL CARE ELDERLY,336426760,CITRUS COURT,CHATEAU BATTISTE LEASING - HEMET LLC,MARLYA@CITRUSCOURTCARE.COM,(951) 927-6817,161 N HEMET ST,HEMET,CA,92544,RIVERSIDE,66,LICENSED
RESIDENTIAL CARE ELDERLY,342700559,CITRUS CREST CARE HOME,"TICONUWU, HARRY",HARRYTICS@GMAIL.COM,(916) 728-1338,6906 HENNING DR,CITRUS HEIGHTS,CA,95621,SACRAMENTO,6,LICENSED
RESIDENTIAL CARE ELDERLY,347003642,CITRUS GARDEN CARE HOME,"DRON, LARISA",LARISADRON@YAHOO.COM,(916) 965-4055,5648 TIMMERMAN WAY,CITRUS HEIGHTS,CA,95621,SACRAMENTO,6,LICENSED
RESIDENTIAL CARE ELDERLY,374601240,CITRUS GARDEN RESIDENTIAL CARE,"ALLEN, BRECKENRIDGE & ANTONINA INCHOCO",ANNIEALLEN_1234@YAHOO.COM,(760) 739-1061,704 VIA LADERA,ESCONDIDO,CA,92029,SAN DIEGO,6,LICENSED
RESIDENTIAL CARE ELDERLY,336426759,CITRUS GARDENS,CITRUS GARDENS LEASING LLC,KELLEY@CITRUSCOURTCARE.COM,(951) 925-7107,25911 STANFORD ST,HEMET,CA,92544,RIVERSIDE,55,LICENSED
RESIDENTIAL CARE ELDERLY,347001498,CITRUS HEIGHTS TERRACE,CITRUS HEIGHTS TERRACE,TINA.NEWTON@CIMINOCARE.COM,(916) 727-4400,7952 OLD AUBURN ROAD,CITRUS HEIGHTS,CA,95610,SACRAMENTO,45,LICENSED
