Facility Name,Address,License Number,Licensee,City,Zip Code,Phone Number,Capacity,Date Accessed,State
Morningstar Memory Care At North Ridge,8101 PALOMAS AVE NE,2298,"NORTH RIDGE MANAGEMENT NM, LLC",Albuquerque,87109,(505) 323-8800  ,66,6/29/21,NM
Morningstar Of Albuquerque,8051 PALOMAS AVE NE,4028,"MS ALBUQUERQUE MANAGEMENT NM, LLC",Albuquerque,87109,(505) 750-9540  ,85,6/29/21,NM
"Mountain View Manor, Llc",4708 DRIFTWOOD NW,3478,MORAYMA GUTIERREZ,Albuquerque,87114,(505) 890-6114  ,10,6/29/21,NM
Muros De Salvacion,10405 THERESA PLACE NE,2255,CARLOS FIGUEROA,Albuquerque,87111,(505) 203-8695  ,8,6/29/21,NM
"Namaste House Assisted Living , Llc",800 WEST 30TH STREET,2166,"NAMASTE HOUSE ASSISTED LIVING, LLC",Farmington,87401,(505) 327-3658  ,16,6/29/21,NM
Neighborhood In Rio Rancho (The),900 LOMA COLORADO BLVD NE ,4003,THE NEIGHBORHORHOOD IN RIO RANCHO,Rio,,(505) 962-4121  ,48,6/29/21,NM
New Mexico Behavioral Health Institute At Las Vegas Zuni Cottage,3695 HOT SPRINGS BLVD,5681,STATE OF NEW MEXICO - DEPARTMENT OF HEALTH,Las,,(505) 454-5134  ,15,6/29/21,NM
New Mexico State Veteran'S Home,992 SOUTH BROADWAY STREET,5362,STATE OF NEW MEXICO (THE),T,NM,(575) 894-4200  ,10,6/29/21,NM
Night N Gail Assisted Living,7621 PROSPECT AVENUE,2160,KATHLEEN FRANKLIN,Albuquerque,87110,(505) 974-1988  ,8,6/29/21,NM
Pacifica Senior Living Santa Fe,2961 GALISTEO ROAD,2239,PACIFICA ROSEMONT LLC,Santa,,(505) 438-8464  ,88,6/29/21,NM
Palmilla Senior Living,10301 GOLF COURSE RD NW,2287,CHP ALBUQUERQUE NM TENANT CORP.,Albuquerque,87114,(505) 867-5022  ,95,6/29/21,NM
Pueblo Of Isleta Assisted Living & Mem Care Facil,1001 & 1003 TRIBAL RD #140,2282,PUEBLO OF ISLETA,Isleta,87022,(505) 869-5560  ,20,6/29/21,NM
Ramah Adult Care,28 LEWIS STREET,5753,"RAMAH CARE SERVICES, INC.",Ramah,87321,(505) 783-4024  ,8,6/29/21,NM
Ravenna Assisted Living,3051 TWIN OAKS DR NW,2252,"CARE HOMES NM, LLC",Albuquerque,87120,(505) 831-4141  ,45,6/29/21,NM
Retreat (The),4075 JACKIE RD SE,2171,"THE RETREAT HEALTHCARE, LLC",Rio,,(505) 891-1234  ,60,6/29/21,NM
Retreat Gardens,4100 JACKIE RD SE,2256,"THE RETREAT HEALTHCARE, LLC",Rio,,(505) 896-8087  ,45,6/29/21,NM
Retreat Villas,4060 JACKIE RD SE,4036,"THE RETREAT HEALTHCARE, LLC",Rio,,(505) 892-9663  ,28,6/29/21,NM
Roberta'S Family Care Home,1642 HWY 386,5551,ROBERTA JARAMILLO,Anton,,(575) 427-3635  ,3,6/29/21,NM
Robin House,9909 ROBIN AVE NE,4122,SANDIA VIEW CASA LLC,Albuquerque,87112,(505) 681-2407  ,8,6/29/21,NM
"Sandia Senior Suites, Llc",303 SAN MATEO NE STE 101,2281,"SANDIA SENIOR SUITES, LLC.",Albuquerque,87108,(888) 362-0825  ,25,6/29/21,NM
Sandia View Bosque Trails,4631 MI CORDELIA NW,4073,BOSQUE TRAILS ASSISTED LIVING LLC,Albuquerque,87120,(505) 681-2407  ,25,6/29/21,NM
Sandia View Candlelight Assisted Living,3200 CANDLELIGHT DR NE,7002,SANDIA VIEW CASA LLC,Albuquerque,87111,(505) 681-2407  ,10,6/29/21,NM
Sandia View Cottonwood Assisted Living,10401 VISTA DEL SOL DR NW,4105,SANDIA VIEW COTTONWOOD LLC,Albuquerque,87114,(505) 681-2407  ,10,6/29/21,NM
Sandia View Monterrey Assisted Living,832 MONTERREY RD NE ,4097,SANDIA VIEW EAST ASSISTED LIVING,Rio,,(505) 681-3716  ,10,6/29/21,NM
Sandia View Spain,12501 ROYAL POINT COURT NE,4039,JOHN LYTLE,Albuquerque,87111,(505) 681-3716  ,10,6/29/21,NM
Sandia View Uptown,8211 CUTLER AVE NE,7025,SANDIA  VIEW UPTOWN LLC,Albuquerque,87110,(505) 681-3716  ,10,6/29/21,NM
Sandia View West Assisted Living,912 LOMA PINON LOOP NE,4015,SANDIA VIEW WEST ASSISTED LIVING,Rio,,(505) 681-3716  ,10,6/29/21,NM
Santa Clara Assisted Living,15 FORT BAYARD RD,2005,SUNSET VISTA INC.,Santa,,(575) 537-3077  ,15,6/29/21,NM
Senior Living Systems,5 THOMAS ROAD BUILDING II,5712,"SENIOR LIVING SYSTEMS, INC.",Los,,(505) 865-8813  ,15,6/29/21,NM
Senior Living Systems,5 THOMAS RD BLDG I,5399,"SENIOR LIVING SYSTEMS, INC.",Los,,(505) 865-8813  ,15,6/29/21,NM
Senior Living Systems Assisted Living Program,3214 HIGHWAY 47 SOUTH BLDG 3,2111,"SC, INC.",Los,,(505) 865-8813  ,15,6/29/21,NM
Seniorcare Llc -  Kriss House,1813 KRISS PL NE,4083,"SENIORCARE, LLC",Albuquerque,87112,(505) 977-8412  ,10,6/29/21,NM
Seniorcare Llc - Mountain House,5020 MOUNTAIN RD NE,4081,"SENIORCARE, LLC",Albuquerque,87110,(505) 977-8412  ,10,6/29/21,NM
Seniorcare Llc - Raven House,2115 RAVEN LN SW,4077,"SENIORCARE, LLC",Albuquerque,87105,(505) 977-8412  ,15,6/29/21,NM
Seniorcare Llc - Solano House,1419 SOLANO DR NE,4079,"SENIORCARE, LLC",Albuquerque,87110,(505) 977-8412  ,12,6/29/21,NM
Seniorcare Llc - Wisconsin House,2957 WISCONSIN ST NE,4080,"SENIORCARE, LLC",Albuquerque,87110,(505) 977-8412  ,9,6/29/21,NM
Seniorcare Llc - Wyoming House,2606 WYOMING BLVD NE,4082,"SENIORCARE, LLC",Albuquerque,87112,(505) 977-8412  ,10,6/29/21,NM
"Shady Pines Assisted Living, Llc",6809 KENTUCKY CT NE,4040,SHADY PINES ASSISTED LIVING LLC,Albuquerque,87110,(505) 884-1064  ,10,6/29/21,NM
Sierra Hills Assisted  Living,1300 NORTH SILVER STREET,2086,"SIERRA HEALTH CARE, INC.",T,NM,(575) 743-1100  ,33,6/29/21,NM
Sierra Springs Assisted Living,503 LOS LENTES ROAD NE,2039,"SIERRA SPRINGS ASSISTED LIVING, LLC",Los,,(505) 865-0876  ,15,6/29/21,NM
Sierra Vista Retirement Community,402 EAST RODEO ROAD,5810,VISTA LIVING COMMUNITIES,Santa,,(505) 986-9696  ,24,6/29/21,NM
"Silver Wings Assisted Living At Academy, Llc",9846 ACADEMY ST NW,2297,SILVER WINGS ASSISTED LIVING @ ACADEMY,Albuquerque,87114,(505) 328-3509  ,7,6/29/21,NM
"Silver Wings Assisted Living, Llc",6223 CORTE ALZIRA NW,2181,"SILVER WINGS ASSISTED LIVING, LLC",Albuquerque,87114,(505) 328-3509  ,5,6/29/21,NM
"Singing Arrow Manor, Inc.",12904 PIRU BOULEVARD SE,5733,"SINGING ARROW MANOR, INC.",Albuquerque,87123,(505) 293-7472  ,8,6/29/21,NM
Stardust Place,3501 STARDUST DRIVE NE,5875,"PRIME CARE LIVING, INC.",Albuquerque,87110,(505) 681-4341  ,10,6/29/21,NM
Sugar Hollow Assisted Living Community,1711 PARK AVENUE SW,4041,"THE RETREAT AT OXBOW NORTH, LLC",Albuquerque,87104,(505) 270-0801  ,11,6/29/21,NM
Sundance Care Home,209 WEST ADAMS AVENUE,5884,"RAMAH CARE SERVICES, INC.",Gallup,87301,(505) 726-1329  ,12,6/29/21,NM
Sunny Day Assisted Living,205 DAY STREET,4014,"RAMAH CARE SERVICES, INC",Gallup,87301,(505) 863-4517  ,30,6/29/21,NM
Sunset Vista,3650 NORTH FOWLER AVE,5563,SUNSET VISTA INC,Silver,,(575) 538-9095  ,30,6/29/21,NM
"Sunshine Assisted Living, Llc",2600 SOUTH 9TH STREET,2242,"RANDALL BROWN, MD",Tucumcari,88401,(575) 461-8501  ,22,6/29/21,NM
Taos Retirement Village,414 CAMINO DE LA PLACITA,4031,"TRV OPERATIONS, LLC",Taos,87571,(575) 758-8248  ,16,6/29/21,NM
Tender Heart Assisted Living,4308 TULANE DRIVE NE,2154,"ALBUQUERQUE PREFERRED ASSISTED LIVING, INC.",Albuquerque,87107,(800) 269-4556  ,14,6/29/21,NM
Tercer Cielo,412 SAWTOOTH ST SE,4065,CARLOS FIGUEROA,Albuquerque,87123,(505) 203-8695  ,6,6/29/21,NM
Tercer Cielo Llc,4409 GLENWOOD HILLS DR NE,2229,CARLOS FIGUEROA/ TERCER CIELO,Albuquerque,87111,(505) 203-8695  ,8,6/29/21,NM
"The Garland Home, Llc",7600 MAPLEWOOD DRIVE NW,2280,"THE GARLAND HOME, LLC",Albuquerque,87120,(505) 836-0782  ,7,6/29/21,NM
The Heritage Assisted Living,846 LETTUCE LANE,4020,YOUNGER ENTERPRISES,Las,,(575) 525-9215  ,12,6/29/21,NM
The Heritage Assisted Living,854 LETTUCE LANE,4021,YOUNGER ENTERPRISES,Las,,(575) 525-9215  ,12,6/29/21,NM
The Heritage Assisted Living,866 LETTUCE LANE,7005,"THE HERITAGE ASSISTED LIVING & ADULT DAY CARE, LLC",Las,,(575) 525-9215  ,,6/29/21,NM
The Legacy At Santa Fe,3 AVENIDA ALDEA,4032,"LASF TENANT, LLC",Santa,,(505) 333-0210  ,86,6/29/21,NM
The Montecito Santa Fe,500 RODEO ROAD,2253,"LIFEHOUSE SANTA FE OPERATIONS, LLC",Santa,,(505) 428-7777  ,52,6/29/21,NM
The New Beginnings Senior Living Llc,1331 CUESTA ABAJO CT NE,2289,"TNB, LLC",Albuquerque,87113,(505) 717-2569  ,15,6/29/21,NM
"The Retreat At Oxbow North, Llc",5224 OLD ADOBE TRAIL NW,2197,"THE RETREAT AT OXBOW NORTH, LLC",Albuquerque,87120,(505) 270-0801  ,5,6/29/21,NM
The Village At Casa De Paz Senior Assisted Living,613 OREJA DE ORO DR SE,4013,"CASA DE SHALOM, LLC",Rio,,(505) 702-8477  ,10,6/29/21,NM
The Watermark At Cherry Hills,6901 SAN VINCENTE AVE NE,4113,SHP VI ALBUQUERQUE LLC,Albuquerque,87109,(505) 455-9200  ,131,6/29/21,NM
The Woodmark At Uptown,7201 PROSPECT PLACE NE,2258,ARHC WMABQNM01 TRS LLC,Albuquerque,87110,(505) 881-0120  ,144,6/29/21,NM
Touched By A White Dove Assisted Living,1605 CARDENAS DRIVE NE,5827,CURTIS HUDSON & CARMEN ROMERO-HUDSON,Albuquerque,87110,(505) 232-0882  ,3,6/29/21,NM
Tres Hermanas,6104 MCKINNEY DR NE,2250,JEFFERY S. THOMASON,Albuquerque,87109,(505) 554-2800  ,7,6/29/21,NM
Unmh Osis Surgery Center Ii,1201 CAMINO DE SALUD,6005S1   ,UNIVERSITY OF NEW MEXICO,Albuquerque,87102,(505) 272-4443  ,7,6/29/21,NM
Villa Guadalupe/Little Sisters Of The Poor,1900 MARK AVENUE,5119,"LITTLE SISTERS OF THE POOR OF NM, INC",Gallup,87301,(505) 863-6894  ,23,6/29/21,NM
Village At Northrise - Desert Willow Ii (The),2884 N ROADRUNNER PARKWAY,5789,PEAK MEDICAL ASSISTED LIVING LLC,Las,,(575) 522-1110  ,24,6/29/21,NM
Village At Northrise-Morningside (The),2880 N ROADRUNNER PARKWAY,5788,PEAK MEDICAL ASSISTED LIVING LLC,Las,,(575) 522-1110  ,100,6/29/21,NM
Vista Hermosa,2929 CALLE VERA CRUZ,4002,"VLC II, LLC",Santa,,(505) 474-8031  ,14,6/29/21,NM
Vista Sandia,8604 CAMINO OSITO NE,2283,"CAREFIRST OF NM, INC",Albuquerque,87109,(505) 856-8553  ,10,6/29/21,NM
"Wellesley Care Home, Llc",3209 WELLESLEY COURT NE,2109,"WELLESLEY CARE HOME, LLC",Albuquerque,87107,(505) 889-8007  ,16,6/29/21,NM
West Ridge Village,3130 VISTA GRANDE NW,2084,"PREFERRED ASSISTED LIVING, INC.",Albuquerque,87120,(505) 269-4556  ,14,6/29/21,NM
Westwind House,6600 LOS VOLCANES NW,5831,"QUILTED CARE LTD., CO.",Albuquerque,87121,(505) 831-0002  ,48,6/29/21,NM
"Wheatfields Senior Living Community, Llc",4701 N PRINCE STREET,2191,"WHEATFIELDS ASSISTED LIVING, LLC, AN OREGON LLC",Clovis,88101,(575) 762-8700  ,101,6/29/21,NM
Willow Manor,815 W ADOBE DRIVE,2213,KRB ENTERPRISES INC,Deming,88030,(575) 546-0546  ,57,6/29/21,NM
Willow Wood,1008 CHIRICAHUA SE,2292,"CAREFIRST OF NM, INC",Albuquerque,87123,(505) 856-8553  ,8,6/29/21,NM
Wilson Family Care Ltd,12308 PRINCESS JEANNE AVE NE,5660,"WILSON FAMILY CARE, LTD",Albuquerque,87112,(505) 343-0743  ,6,6/29/21,NM
