Facility Name,Legal Name,Administrator,State Key,Operation Status,Opened,Closed,Physical Address,Physical Address 2,City,State,Zip,County,Phone Number,FAX,Facility Type,Sub Type,Abbreviation,License Type,License Number,License Effective,License Expires,Licensed Beds,Certified Beds,SSI Beds,Total Beds,Medicare,Medicaid,SSI,Longitude,Latitude
VIRGINIA MANOR,VIRGINIA MANOR,,507069,Active,,,1112 VIRGINIA STREET,,RAVENSWOOD,WV,26164,Jackson,(304)273-9482,(304)273-9236,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507069,7/20/20,7/20/21,0,10,0,10,No,No,No,,
WALNUT PLACE,"Prestera Center for Mental Health Services, Inc., dba Walnut Place",,507562,Active,3/4/11,,2603 KNOX AVENUE,,St Albans,WV,25177,Kanawha,(304)721-8915,(304)721-8950,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507562,3/15/21,3/15/22,0,4,4,4,No,No,Yes,,
"WELTY HOME, L C","THE WELTY HOME, L C",,506049,Active,12/8/03,,21 WASHINGTON AVENUE,,Wheeling,WV,26003,Ohio,(304)242-5233,(304)230-1132,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,52,0,52,No,No,No,,
WHITMAN ADULT LIVING,WHITMAN ADULT LIVING,,507504,Active,12/19/05,,2375 WHITMAN CREEK ROAD,,WHITMAN,WV,25652,Logan,(304)239-2004,(304)239-2004,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,,,,,0,16,16,16,No,No,Yes,,
WINDY HILL VILLAGE,WINDY HILL MANOR LIMITED PARTNERSHIP TRADENAME WINDY HILL VILLAGE,,506117,Active,10/22/98,,17024 VETERANS MEMORIAL HIGHWAY,,KINGWOOD,WV,26537,Preston,(304)329-2741,(304)329-2744,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506117,9/25/20,9/25/21,0,50,4,50,No,No,Yes,,
WISHING WELL ASSISTED LIVING COMMUNITY AT FAIRMONT,1543 COUNTRY CLUB ROAD ALF OPERATIONS LLC DBA WISHING WELL ASSISTED LIVING COMMU,,507548,Active,4/28/09,,1543 COUNTRY CLUB ROAD,,Fairmont,WV,26554,Marion,(304)363-2273,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507548,3/23/21,3/23/22,0,52,0,52,No,No,No,,
WOODLAND HILLS ASSISTED LIVING,"JAYWYN, LLC DBA WOODLAND HILLS ASSISTED LIVING",,507589,Active,1/17/17,,608 NORTH 10TH STREET,,Weirton,WV,26062,Hancock,(304)748-3943,(304)748-3944,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507589,1/17/21,1/16/22,0,25,0,25,No,No,No,,
WOODLANDS ASSISTED LIVING #1,"WOODLANDS ASSISTED LIVING  FACILITY, INC.  Building #1",,507510,Active,12/2/04,,23 CARE STREET,,Worthington,WV,26591,Marion,(304)287-2120,(304)287-7481,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507510,5/1/21,5/1/22,0,23,23,23,No,No,Yes,,
WOODLANDS ASSISTED LIVING #2,"WOODLANDS ASSISTED LIVING FACILITY, INC. BLDNG 2",,507511,Active,12/2/04,,23 CARE STREET,PO BOX 250 (SEND ALL MAIL TO THIS ADDRESS),Worthington,WV,26591,Marion,(304)287-2120,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507511,5/3/21,5/3/22,0,23,23,23,No,No,Yes,,
WOODLANDS RETIREMENT COMMUNITY,FOSTER FOUNDATION DBA WOODLANDS RERTIREMENT COMMUNITY,,506124,Active,1/28/97,,ONE BRADLEY FOSTER DR,,HUNTINGTON,WV,25701,Cabell,(304)697-1620,(304)697-1623,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506124,12/30/20,12/30/21,0,91,0,91,No,No,No,,
WOODSIDE MANOR,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",,507502,Active,9/29/04,,8134 SCITES STREET,,WEST HAMLIN,WV,25571,Lincoln,(304)824-7015,(304)824-7015,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507502,9/28/20,9/28/21,0,6,5,6,No,No,Yes,,
WYNGATE OF WEIRTON,"WEIRTON HEALTH PARTNERS, L L C",,506145,Active,11/26/01,,100 WYNGATE DRIVE,,Weirton,WV,26062,Hancock,(304)723-7004,(304)723-6088,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506145,11/16/20,11/16/21,0,80,0,80,No,No,No,,
WYNGATE SENIOR LIVING COMM OF PARKERSBURG,"PARKERSBURG HEALTH PARTNERS, LLC DBA WYNGATE SENIOR LIVING COMMUNITY OF PARKERSB",,506148,Active,8/20/02,,ONE WYNGATE DRIVE,,Parkersburg,WV,26105,Wood,(304)428-2004,(304)485-4724,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506148,1/4/21,1/4/22,0,65,0,65,No,No,No,,
YOUNG'S CARE HOME I,YOUNG'S CARE HOME I,,507279,Active,4/17/97,,1205 2ND STREET,"MAIL POC TO CONNIE YOUNG, 311 9TH ST, GLEN DALE",MOUNDSVILLE,WV,26041,Marshall,(304)845-7694,(304)845-2994,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507279,1/16/21,1/16/22,0,16,16,16,No,No,Yes,,
YOUNG'S CARE HOME I I,YOUNG'S CARE HOME I I,,507207,Active,4/16/97,,102 HICKORY AVENUE,"311 9TH STREET GLENDALE, WV  26038 (MAILING)",MOUNDSVILLE,WV,26041,Marshall,(304)845-5129,(304)845-2994,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507207,9/3/20,9/3/21,0,18,18,18,No,No,Yes,,
