Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Capacity,Phone Number,Email Address,Date Accessed
Elaine'S Personal Care Home Iii,PERSONAL CARE HOME,4905 ANNISTOWN ROAD,Stone Mountain,GA,30087,Gwinnett,4,7704694353,,6/24/21
Elderly Heaven,PERSONAL CARE HOME,4999 BURLING GATE DRIVE,Lithonia,GA,30038,Dekalb,3,6786404974,galejones12@yahoo.com,6/24/21
Elderly Heaven Ii,PERSONAL CARE HOME,3215 ROCKMILL DR,Ellenwood,GA,30294,Dekalb,3,6786404974,galejones12@yahoo.com,6/24/21
Elite Personal Care Home,PERSONAL CARE HOME,4925 BRIDLE POINT PKWY,Snellville,GA,30039,Gwinnett,3,4042487945,colleem-a3@yahoo.com,6/24/21
Elmcroft Of Martinez,ASSISTED LIVING COMMUNITY,515 THE PASS,Martinez,GA,30907,Columbia,70,7068556565,,6/24/21
Elmcroft Of Roswell,ASSISTED LIVING COMMUNITY,400 MARIETTA HIGHWAY,Roswell,GA,30075,Fulton,75,7706500555,,6/24/21
Elvonia Personal Care Home,PERSONAL CARE HOME,5365 WHITESVILLE ROAD,West Point,GA,31833,Troup,5,7065011334,evaleneflournoy@yahoo.com,6/24/21
Emanuel Personal Care Home,PERSONAL CARE HOME,4800 WHITE OAK TRAIL,Stone Mountain,GA,30088,Dekalb,3,6788632738,ally mdamu,6/24/21
Emerald City Lodge,PERSONAL CARE HOME,103 TERRACE DRIVE,Dublin,GA,31021,Laurens,24,3055190265,emeraldcitylodge@gmail.com,6/24/21
Emily Abacr Personal Care Home,PERSONAL CARE HOME,649 11TH AVENUE NW,Cairo,GA,39828,Grady,6,2293775459,transcend1964@yahoo.com,6/24/21
Emmanuel Personal Care Home,PERSONAL CARE HOME,5163 SAINT MARY'S ROAD,Columbus,GA,31907,Muscogee,4,7064429755,coraprice459@gmail.com,6/24/21
Encare Pch Ii,PERSONAL CARE HOME,216 CHATHAM VILLA DRIVE,Garden City,GA,31408,Chatham,4,9129650584,,6/24/21
Enrich At 519,PERSONAL CARE HOME,519 LAWRENCEVILLE STREET NW,Norcross,GA,30071,Gwinnett,24,7704469586,info@enrich519.com,6/24/21
Envirotide Pch,PERSONAL CARE HOME,7436 ASBURY DRIVE,Lithonia,GA,30058,Dekalb,3,7704690936,envirotidepch@hotmail.com,6/24/21
Epi Caregiving,PERSONAL CARE HOME,646 POST RD DRIVE,Stone Mountain,GA,30088,Dekalb,3,6783749444,epicaregiving@gmail.com,6/24/21
Essence Personal Care Home,PERSONAL CARE HOME,206 FLOWING WELLS ROAD,Martinez,GA,30907,Columbia,7,7064329951,reneesc05@gmail.com,6/24/21
Essic Place,PERSONAL CARE HOME,910 ESSIC ROAD,Ball Ground,GA,30107,Cherokee,3,7707353133,turner2@tds.net,6/24/21
Estella House Llc,PERSONAL CARE HOME,408 FARMER DR,Hampton,GA,30228,Henry,4,6788846396,vbanfor@yahoo.com,6/24/21
Eva & Erma'S House,PERSONAL CARE HOME,2458 RED OAK BEND,Oxford,GA,30054,Walton,4,7707280352,cremensjill@yahoo.com,6/24/21
Eva - And - Erma'S House,PERSONAL CARE HOME,2641 ABINGTON DRIVE SW,Snellville,GA,30078,Gwinnett,4,6788343720,cremensjill@yahoo.com,6/24/21
Eva And Erma'S House,PERSONAL CARE HOME,2319 HIGWAY 81 SOUTH,Loganville,GA,30052,Walton,3,6785599011,cremensa@bellsouth.net,6/24/21
Eva And Erma'S House,PERSONAL CARE HOME,3038 HIGH WAY 115 EAST,Cleveland,GA,30528,White,8,6785244112,cremensa@bellsouth.net,6/24/21
Evelyn Personal Care Home,PERSONAL CARE HOME,33 NINA CT,Jonesboro,GA,30238,Clayton,5,4048443604,evelynpch12@gmail.com,6/24/21
Evergreen Assisted Living Facility,ASSISTED LIVING COMMUNITY,2823 GILLIONVILLE ROAD,Albany,GA,31721,Dougherty,42,2298898979,admin@centurypines.org,6/24/21
Evergreen Terrace,PERSONAL CARE HOME,53 NORTHWOODS DRIVE,Dahlonega,GA,30533,Lumpkin,24,7068670225,,6/24/21
Everlasting Life Personal Care Home,PERSONAL CARE HOME,2529 GREENWOOD CIRCLE,East Point,GA,30344,Fulton,3,4042543279,,6/24/21
"Exposure Foundation, The",PERSONAL CARE HOME,6462 CHARTER WAY,Lithonia,GA,30058,Dekalb,3,4048389688,abdallatau@gmail.com,6/24/21
"Extended Blessings Comfort Care, Llc",PERSONAL CARE HOME,4964 BOULDERCREST ROAD,Ellenwood,GA,30294,Clayton,6,4047343883,exbcomfortcare@gmail.com,6/24/21
Extreme Measures Personal Care Home,PERSONAL CARE HOME,602 CLOUDLAND DRIVE,Stockbridge,GA,30281,Henry,3,6788845066,kallen7911@gmail.com,6/24/21
F & L Home,PERSONAL CARE HOME,4564 SENTRY ST,Columbus,GA,31907,Muscogee,6,7063301133,flhome2011@yahoo.com,6/24/21
F And P Home Care,PERSONAL CARE HOME,3576 BROAD OAK COURT,Decatur,GA,30034,Dekalb,3,7702566488,wyneding@hotmail.com,6/24/21
F And P Home Care 2,PERSONAL CARE HOME,5714 SOUTH CREST LANE,Lithonia,GA,30038,Dekalb,3,7702568133,wyneding@hotmail.com,6/24/21
Faith & Grace,PERSONAL CARE HOME,1440 HEATHER GLADE LANE,Lawrenceville,GA,30045,Gwinnett,3,6783442067,01@comcast.net,6/24/21
Faith And Hope Personal Care Home,PERSONAL CARE HOME,773 CHAPMAN STREET,Jonesboro,GA,30238,Clayton,6,6784896906,faithandhopepch@gmails.com,6/24/21
Faith Community Care Home,PERSONAL CARE HOME,1214 WHISPERING PINES ROAD,Albany,GA,31707,Dougherty,7,2298948287,melbri15@yahoo.com,6/24/21
Faith Landing,PERSONAL CARE HOME,1215 HALE STREET,Waynesboro,GA,30830,Burke,15,7064374248,sarah.jenkins437@comcast.net,6/24/21
Faithful Home Care,PERSONAL CARE HOME,1988 WILLA DRIVE,Decatur,GA,30032,Dekalb,3,6784723477,aprice_22@yahoo.com,6/24/21
Faithfully Yours Pch,PERSONAL CARE HOME,2512  MELLVILLE AVENUE,Decatur,GA,30032,Dekalb,10,4042843780,,6/24/21
Falcon Crest Manor,PERSONAL CARE HOME,111 EPPS STREET,Gordon,GA,31031,Wilkinson,24,4786281126,falconcrestmanor@windstream.net,6/24/21
Falcon Park Iv,PERSONAL CARE HOME,716 OLMSTEAD STREET,Warner Robins,GA,31098,Houston,4,4789221440,lpeebles@hcaec.com,6/24/21
Falcon Park V,PERSONAL CARE HOME,718 OLMSTEAD STREET,Warner Robins,GA,31098,Houston,4,4789221441,lpeebles@hcaec.com,6/24/21
Falcon Park Vi,PERSONAL CARE HOME,926 MCCLELLAN ROAD,Warner Robins,GA,31099,Houston,4,4789290041,lpeebles@hcaec.com,6/24/21
Fam Personal Care Home,PERSONAL CARE HOME,294 TANNERS BRIDGE ROAD,Bethlehem,GA,30620,Barrow,6,6784251193,murrayjoy@bellsouth.net,6/24/21
Family And Friends Matter Pch,PERSONAL CARE HOME,2724 FAWN DRIVE,Augusta,GA,30906,Richmond,3,7069258751,yourfamilyandfriendsmatter@yahoo.com,6/24/21
Family Initiatives Residences,PERSONAL CARE HOME,1081 N MAIN STREET,Conyers,GA,30012,Rockdale,16,7707613408,,6/24/21
Fellowship Home At Brookside,ASSISTED LIVING COMMUNITY,470 FELLOWSHIP HOME LANE,Valdosta,GA,31602,Brooks,142,2292449200,john@fellowshiphome.net,6/24/21
Fellowship Home At Cordelia Manor,ASSISTED LIVING COMMUNITY,1307 BLACKSHEAR ROAD,Cordele,GA,31015,Crisp,44,2292731173,jlahood@fellowshiphome.net,6/24/21
Fellowship Home At Cotton Hill,ASSISTED LIVING COMMUNITY,6330 HIGHWAY 82 WEST,Cuthbert,GA,39840,Randolph,41,2297322188,jlahood@fellowshiphome.net,6/24/21
Fellowship Home At Meriwether,ASSISTED LIVING COMMUNITY,10 MERIWETHER PLACE,Milledgeville,GA,31061,Baldwin,80,4782951005,jlahood@fellowshiphome.net,6/24/21
Fellowship Home Of Nashville,ASSISTED LIVING COMMUNITY,1207 EAST MCPHERSON AVENUE,Nashville,GA,31639,Berrien,52,2296862543,jlahood@fellowshiphome.net,6/24/21
Femi Care Marietta Living Center,PERSONAL CARE HOME,447 ATLANTA STREET SE,Marietta,GA,30060,Cobb,45,7707269630,rahim@femicares.com,6/24/21
Femi Care Southern Pines Living Center,PERSONAL CARE HOME,258 COLLEGE AVENUE,Maysville,GA,30558,Jackson,36,7066522600,thepines@femicares.com,6/24/21
Fern'S Tender Loving Care Home,PERSONAL CARE HOME,3547 SPRING VALLEY ROAD,Decatur,GA,30032,Dekalb,3,4042895329,fernstlch@bellsouth.net,6/24/21
Fesbeth At East Cobb,PERSONAL CARE HOME,2750 LOWER ROSWELL ROAD,Marietta,GA,30068,Cobb,3,7706753263,hilego@yahoo.com,6/24/21
First Love Personal Care Home #1,PERSONAL CARE HOME,2403 WRIGHTSBORO ROAD,Augusta,GA,30904,Richmond,6,7067372661,clisenbee@aol.com,6/24/21
Fite Living Center,PERSONAL CARE HOME,5 FITE STREET,Cartersville,GA,30120,Bartow,40,7703822002,wayne@thefite.com,6/24/21
Fitz Personal Care Llc,PERSONAL CARE HOME,230 S BROAD STREET,Rome,GA,30161,Floyd,8,4042682262,rrfitz@gmail.com,6/24/21
Five Ponds Personal Care Home,PERSONAL CARE HOME,4688 WINDSOR SPRINGS,Hephzibah,GA,30815,Richmond,15,7065924789,fernando.peeples@yahoo.com,6/24/21
Foothills Ii Retirement Home,PERSONAL CARE HOME,148 GLENN HEAD RD,Dahlonega,GA,30533,Lumpkin,6,7068646062,,6/24/21
Foothills Retirement Home,PERSONAL CARE HOME,148 GLENN HEAD ROAD,Dahlonega,GA,30533,Lumpkin,6,7068646062,weaverglenda17@gmail.com,6/24/21
"For Sharon, Llc",PERSONAL CARE HOME,3240 WAKEFIELD DRIVE,Decatur,GA,30034,Dekalb,3,7703632674,michellecheves@yahoo.com,6/24/21
Forestwood,PERSONAL CARE HOME,2011 FORESTWOOD LANE,Columbus,GA,31907,Muscogee,6,7062490793,,6/24/21
Forever Harmony Pch,PERSONAL CARE HOME,205 PROVIDENCE WALK COURT,Canton,GA,30114,Cherokee,3,7702248760,harmonyway40@yahoo.com,6/24/21
"Fountains In Cartersville, The",ASSISTED LIVING COMMUNITY,925 DOUTHIT FERRY ROAD,Cartersville,GA,30120,Bartow,75,7704622062,craigthomas19@hotmail.com,6/24/21
"Fountains Of Calhoun, The",ASSISTED LIVING COMMUNITY,265 LOVERS LANE,Calhoun,GA,30701,Gordon,100,7064038850,craigthomas19@hotmail.com,6/24/21
Four Seasons Pch,PERSONAL CARE HOME,918 EAST EVANS STREET,Bainbridge,GA,39819,Decatur,6,2292480732,,6/24/21
Fourth View Pch,PERSONAL CARE HOME,4118 SIOUX  WAY,Stone Mountain,GA,30083,Dekalb,6,4049419227,cherhar@comcast.net,6/24/21
Free Love Pch,PERSONAL CARE HOME,3668 ELLINGTON AIRLINE ROAD,Dearing,GA,30808,Mcduffie,4,7065978664,e.freeman64@comcast.net,6/24/21
Fresh Start,PERSONAL CARE HOME,2702 SCHAUL STREET,Columbus,GA,31906,Muscogee,6,7065752524,clothesconnection@yahoo.com,6/24/21
Friendship Pch,PERSONAL CARE HOME,"723 W. OGLETHORPE BLVD., BOX 1784",Albany,GA,31701,Dougherty,10,2294388517,,6/24/21
From The Heart,PERSONAL CARE HOME,2188 RIVERBROOK ROAD,Decatur,GA,30035,Dekalb,3,7703225556,,6/24/21
From The Heart Enterprises 4,PERSONAL CARE HOME,4680 DUVAL POINT WAY,Snellville,GA,30039,Gwinnett,3,7709220123,ranvalle@bellsouth.net,6/24/21
G & E Personal Care Home,PERSONAL CARE HOME,2260 HIGHWAY 77 SOUTH,Greensboro,GA,30642,Greene,4,7064864392,john316gary@yahoo.com,6/24/21
G & M Personal Care Home,PERSONAL CARE HOME,1635 STEPHENSON ROAD,Lithonia,GA,30058,Dekalb,5,4049154281,gmrrgg@comcast.net,6/24/21
"Gables At Cobb Village, Llc (The)",ASSISTED LIVING COMMUNITY,12 COBB VILLAGE DRIVE,Royston,GA,30662,Franklin,48,7062461700,jbryant@gablesvillage.com,6/24/21
Gaines Park Senior Living,PERSONAL CARE HOME,1740 OLD HIGHWAY 41,Kennesaw,GA,30152,Cobb,68,7704241414,dan@gainespark.com,6/24/21
Garden Of Eden Pch Services Llc,PERSONAL CARE HOME,1552 DEE KENNEDY RD,Hoschton,GA,30548,Barrow,4,6789630241,cristina_buth@hotmail.com,6/24/21
Garden View,PERSONAL CARE HOME,6134 COLLEGE AVENUE,Blackshear,GA,31516,Pierce,13,9124491616,gardenview08@hotmail.com,6/24/21
"Gardenias, The",PERSONAL CARE HOME,75 DUTCHTOWN ROAD,Hampton,GA,30228,Henry,48,7709460325,brenda.thegardenias@gmail.com,6/24/21
"Gardens At Calvary Alc, The",ASSISTED LIVING COMMUNITY,7595 MOON ROAD,Columbus,GA,31909,Muscogee,100,7066532000,lisadodgen@calvary-ministries.com,6/24/21
"Gardens At Royal Oaks, The",PERSONAL CARE HOME,1218 BROADRICK DRIVE,Dalton,GA,30720,Whitfield,48,7062758899,abaker@hhcs.org,6/24/21
"Gardens At Southern Manor, The",PERSONAL CARE HOME,625 GENTILLY ROAD,Statesboro,GA,30458,Bulloch,44,9126811923,ralphcowart@gmail.com,6/24/21
Gardens Of Fayetteville,PERSONAL CARE HOME,1294 HIGHWAY 54 WEST,Fayetteville,GA,30214,Fayette,84,7707199010,rdoyle@snhreit.com,6/24/21
Gardens Of Gainesville,ASSISTED LIVING COMMUNITY,3315 THOMPSON BRIDGE ROAD,Gainesville,GA,30503,Hall,92,7705317800,wwindsor@555l.com,6/24/21
"Gardens Of Lake Spivey, The",PERSONAL CARE HOME,8080 SUMMIT BUSINESS PARKWAY,Jonesboro,GA,30236,Clayton,72,7704777207,licensing@5sqc.com,6/24/21
"Gardens Of Rome , The",PERSONAL CARE HOME,1168 CHULIO ROAD SE,Rome,GA,30161,Floyd,60,7068020990,tgor.adm@algsenior.com,6/24/21
"Gardens Of Savannah, The",PERSONAL CARE HOME,249 HOLLAND DRIVE,Savannah,GA,31419,Chatham,46,9129253445,tgos.adm@algsenior.com,6/24/21
Gardens Of Shiloh Point,ASSISTED LIVING COMMUNITY,7955 MAJORS ROAD,Cumming,GA,30041,Forsyth,54,6784568363,vcurl@trinitybelieves.com,6/24/21
Gardens Of Smyrna,PERSONAL CARE HOME,1418 WEST SPRING STREET SE,Smyrna,GA,30080,Cobb,40,7703191000,mgr.azaleagardens@gmail.com,6/24/21
"Gardens Of Social Circle I, The",PERSONAL CARE HOME,621 NORTH CHEROKEE ROAD,Social Circle,GA,30025,Walton,24,7704644211,gosc.adm@algsenior.com,6/24/21
"Gardens Of Social Circle Ii , The",PERSONAL CARE HOME,621 NORTH CHEROKEE ROAD,Social Circle,GA,30025,Walton,50,7704644211,gosc.adm@algsenior.com,6/24/21
"Gardens Of Social Circle Iii , The",PERSONAL CARE HOME,621 NORTH CHEROKEE ROAD,Social Circle,GA,30025,Walton,24,7704644211,gosc.adm@algsenior.com,6/24/21
Gateway Gardens Assisted Living And Memory Care,ASSISTED LIVING COMMUNITY,138 GATEWAY LANE,Bethlehem,GA,30620,Barrow,64,6789635828,info@westplan.com,6/24/21
Gateway Home,PERSONAL CARE HOME,1829 OXFORD DRIVE,Morrow,GA,30260,Clayton,4,6788846877,crystalbrown@yahoo.com,6/24/21
Gateway Personal Care Home,PERSONAL CARE HOME,3380 CENTERVILLE ROSEBUD RD,Snellville,GA,30078,Gwinnett,8,4043003099,"info@ghscares,com",6/24/21
Gatlin'S Caring Arms Personal Care Home Llc,PERSONAL CARE HOME,5597 EMERALD GLEN,Stone Mountain,GA,30088,Dekalb,3,4043999313,mrs.gatlin1@gmail.com,6/24/21
Gee Gee Personal Care Home,PERSONAL CARE HOME,609 EUGEMAR DRIVE,Albany,GA,31707,Dougherty,4,2296694935,gbush509@gmail.com,6/24/21
Generation Of Hope Pch,PERSONAL CARE HOME,2388 OPAL DR,Jonesboro,GA,30236,Clayton,4,7707569674,4annerodgers@gmail.com,6/24/21
Generous Caregiving,PERSONAL CARE HOME,2769 KILGORE RD,Buford,GA,30519,Gwinnett,6,6784829313,ourgenerouscaregiving@gmail.com,6/24/21
Geneva'S Caring Hands,PERSONAL CARE HOME,217 NORTH 5TH STREET,Vienna,GA,31092,Dooly,6,2299421671,genevascaringhands@gmail.com,6/24/21
"Gentle Place 2, A",PERSONAL CARE HOME,2817 BRIAR HILL LANE,Conyers,GA,30013,Rockdale,5,7707138280,carrdelores@yahoo.com,6/24/21
Gentle Touch Pch,PERSONAL CARE HOME,110 MAIN STREET,Jersey,GA,30018,Walton,6,6784659314,moss.denisha@yahoo.com,6/24/21
Georgia Life Links,PERSONAL CARE HOME,1544 VENETIAN DR SW,Atlanta,GA,30311,Fulton,14,4047553197,mereese01@comcast.net,6/24/21
Georgia Living Center,PERSONAL CARE HOME,182 HEAD AVENUE,Tallapoosa,GA,30176,Haralson,15,7705742362,galivingcenter@gmail.com,6/24/21
"Georgian Lakeside, The",ASSISTED LIVING COMMUNITY,1070 HARDSCRABBLE ROAD,Roswell,GA,30075,Cobb,95,6783674744,taylor.green@georgianlakeside.com,6/24/21
Geraldine House Pch,PERSONAL CARE HOME,4486 RIVERWOOD FOREST COURT,Decatur,GA,30035,Dekalb,3,7706851886,bes@benevolantelderservices.org,6/24/21
Gifted Angels Personal Care Home,PERSONAL CARE HOME,3910 CYPRESS POINTE DRIVE,Union City,GA,30291,Fulton,6,7709648350,giftedangelspch@yahoo.com,6/24/21
Gifted Hands,PERSONAL CARE HOME,1834 BROOK RUN,Register,GA,30452,Bulloch,6,9128527471,sheliacrawford365@gmail.com,6/24/21
Gifts Of Love Personal Care Home,PERSONAL CARE HOME,4125 BELLAMY STREET,Columbus,GA,31903,Muscogee,4,7066106517,karismainc@yahoo.com,6/24/21
Gigi'S Retreat,PERSONAL CARE HOME,2593 NANCELON CIRCLE N,Macon,GA,31204,Bibb,4,4782540087,lindazico7@gmail.com,6/24/21
"Glen At Lake Oconee Village, The",ASSISTED LIVING COMMUNITY,1070 OLD SALEM ROAD,Greensboro,GA,30642,Greene,110,7069993535,lancasterjamie@lcsnet.com,6/24/21
Glory Personal Care Home,PERSONAL CARE HOME,90 PACES LANDING,Covington,GA,30016,Newton,5,6783428818,glorypch1@yahoo.com,6/24/21
Gold City Personal Care Center,PERSONAL CARE HOME,350 MOORES DRIVE,Dahlonega,GA,30533,Lumpkin,24,7068643136,,6/24/21
Golden Age Personal Care Home,PERSONAL CARE HOME,1399 HARRIS ROAD,Lawrenceville,GA,30043,Gwinnett,8,7706745773,tpop05@yahoo.com,6/24/21
Golden Angels Retirement Center,PERSONAL CARE HOME,2833 BURL LANE ROAD,Donalsonville,GA,39845,Seminole,3,2295242816,1bennett1861@windstream.net,6/24/21
"Golden Apple Carriage House, The",PERSONAL CARE HOME,606 FIFTH AVE SE,Moultrie,GA,31768,Colquitt,6,2298905313,goldenapple@moultriega.org,6/24/21
"Golden Apple Ii, The",PERSONAL CARE HOME,606 5TH AVE SE,Moultrie,GA,31768,Colquitt,24,2298905313,goldenapple@moultriega.net,6/24/21
"Golden Apple, The",PERSONAL CARE HOME,606 5TH AVENUE,Moultrie,GA,31768,Colquitt,6,2298905313,carlieg2002@yahoo.com,6/24/21
Golden Bridges Pch,PERSONAL CARE HOME,3186 EVANS MILL ROAD,Lithonia,GA,30038,Dekalb,6,4702685600,sdshatteen@aol.com,6/24/21
Golden Bridges Pch Ii,PERSONAL CARE HOME,7101 ROCKLAND ROAD,Lithonia,GA,30038,Dekalb,3,4703652926,goldenbridges@att.net,6/24/21
Golden Days Quality Care Home,PERSONAL CARE HOME,940 KNOLLWOOD ROAD,Mineral Bluff,GA,30559,Fannin,6,7063741360,timdella@tds.net,6/24/21
Golden Hearts Personal Care Home,PERSONAL CARE HOME,205 6TH EAST AVENUE,Buena Vista,GA,31803,Marion,6,2293319033,taidradurham@att.net,6/24/21
Golden Ivy Personal Care Home Llc,PERSONAL CARE HOME,1690 HWY 138 EAST,Jonesboro,GA,30236,Clayton,3,7709064045,goldenivypch@gmail.com,6/24/21
Golden Jubilee House,PERSONAL CARE HOME,361 HILLTOP CIRCLE EXT SW,Mableton,GA,30126,Cobb,3,7709442333,von_teaches1@att.net,6/24/21
Golden Manor Senior Living,PERSONAL CARE HOME,225 RUSSELL RD,Lawrenceville,GA,30043,Gwinnett,8,6783492314,goldendays.daniela@gmail.com,6/24/21
Golden Manor Senior Living #2,PERSONAL CARE HOME,2775 CRUSE ROAD UNIT #601,Lawrenceville,GA,30044,Gwinnett,8,6789152524,dluca@goldenmanorseniorliving.com,6/24/21
Golden Manor Senior Living Of Buford,PERSONAL CARE HOME,2025 BRASELTON HIGHWAY,Buford,GA,30519,Gwinnett,8,6788252698,dluca@goldenmanorseniorliving.com,6/24/21
Golden Orchards,PERSONAL CARE HOME,123 MAULDON COURT,Warner Robins,GA,31093,Houston,4,4782362741,goldenorchards@yahoo.com,6/24/21
Golden Personal Care Home,PERSONAL CARE HOME,257 GOLDEN ROAD,Eastman,GA,31023,Dodge,20,4783742483,,6/24/21
Golden Personal Care Home Ii,PERSONAL CARE HOME,257 GOLDEN ROAD,Eastman,GA,31023,Dodge,10,4783747381,,6/24/21
Golden Pond Residential Center,PERSONAL CARE HOME,8167 EISENHOWER PKWY,Lizella,GA,31052,Bibb,17,4789359131,eivey@yahoo.com,6/24/21
Golden Retreat,PERSONAL CARE HOME,1490 CAMPGROUND ROAD,Mcdonough,GA,30252,Henry,4,7709572419,goldenretreatga@yahoo.com,6/24/21
Golden Rose Personal Care Home,PERSONAL CARE HOME,2147 POST OAK TRITT ROAD,Marietta,GA,30066,Cobb,24,7709731594,goldenrose@comcast.net,6/24/21
Golden Rule Pch,PERSONAL CARE HOME,4571 SYLVESTER CIRCLE,Macon,GA,31217,Bibb,3,4783455580,hilltheresa64@gmail.com,6/24/21
Golden Services Personal Care Home,PERSONAL CARE HOME,930 W MAGNOLIA STREET,Valdosta,GA,31601,Lowndes,14,2296719020,,6/24/21
Golden South,PERSONAL CARE HOME,705 DENHAM ROAD,Sycamore,GA,31790,Turner,24,2295674273,wcbyrd@mail.com,6/24/21
Golden South Ii,PERSONAL CARE HOME,715 DENHAM ROAD PO BOX 220,Sycamore,GA,31790,Turner,24,2295674273,wcbyrd@mail.com,6/24/21
Goldencrest Assisted Living At Morrow,ASSISTED LIVING COMMUNITY,2160 LAKE HARBIN RD,Morrow,GA,30260,Clayton,45,7709612200,gcom.adm@algsenior.com,6/24/21
Goldencrest At Eagle'S Landing,ASSISTED LIVING COMMUNITY,425 COUNTRY CLUB DRIVE,Stockbridge,GA,30281,Henry,62,7703893118,gcel.adm@algsenior.com,6/24/21
Good Shephard Adult Services,PERSONAL CARE HOME,10537 DAY LILY DRIVE,Hampton,GA,30228,Clayton,3,6788173636,verlencia1@bellsouth.net,6/24/21
Gordon Palace,PERSONAL CARE HOME,806 31ST STREET,Columbus,GA,31906,Muscogee,5,7065075658,byrdia_gordon@yahoo.com,6/24/21
Gordon'S Personal Care Home,PERSONAL CARE HOME,2502 2ND AVENUE,Savannah,GA,31405,Chatham,6,9122323740,gordonspchinc@gmail.com,6/24/21
Governor'S Glen Mem Care & Assisted Living Comm,ASSISTED LIVING COMMUNITY,5000 GOVERNOR'S DRIVE,Forest Park,GA,30297,Clayton,60,3125206863,idole@birchwoodhcp.com,6/24/21
Grace Care,PERSONAL CARE HOME,2109 CHADWICK ROAD,Augusta,GA,30906,Richmond,3,7064967347,hammo8405@gmail.com,6/24/21
Grace Gardens,PERSONAL CARE HOME,30 SOUTH COLLEGE ST,Metter,GA,30439,Candler,15,9126853033,kaleener@hotmail.com,6/24/21
Grace Living Personal Care Home Of Marietta,PERSONAL CARE HOME,2417 CANTON ROAD,Marietta,GA,30066,Cobb,24,6788313572,dwoghiren@comcast.net,6/24/21
Grace Living Personal Care Home Of Marietta 11,PERSONAL CARE HOME,2417 CANTON RD SUITE #200,Marietta,GA,30066,Cobb,24,6786164822,gracelivinghome@comcast.net,6/24/21
Grace Manor,PERSONAL CARE HOME,405 NORTH RIDGE,Tifton,GA,31794,Tift,13,2293870940,wcbyrd@mail.com,6/24/21
Grace Pch,PERSONAL CARE HOME,2625 NEW HAVEN DRIVE,Jonesboro,GA,30236,Clayton,3,4043682125,dotseo@yahoo.com,6/24/21
Grace Senior Living,PERSONAL CARE HOME,8847 HOSPITAL DRIVE,Douglasville,GA,30134,Douglas,60,7709202273,jwilliams@graceassistedliving.net; tdarnell@legacysl.net,6/24/21
Grace'S House,PERSONAL CARE HOME,2 RIVER STREET,Cave Spring,GA,30124,Floyd,17,7067778040,graceshouse2@yahoo.com,6/24/21
Grace'S House Two,PERSONAL CARE HOME,5 RAINTREE DRIVE,Silver Creek,GA,30173,Floyd,15,7062957084,graceshouse2@yahoo.com,6/24/21
Graceful Care Senior Living,PERSONAL CARE HOME,217 LANDERS STREET,Clarkesville,GA,30523,Habersham,16,6786774274,gracefulcare@hotmail.com,6/24/21
"Graceful Manor Senior Care Home Llc, The",PERSONAL CARE HOME,120 MEARS STREET,Monroe,GA,30655,Walton,23,4048456699,themanorhomes@yahoo.com,6/24/21
"Graceful Swan Pch Of Marietta, The",PERSONAL CARE HOME,4793 JAMERSON FOREST PARKWY,Marietta,GA,30066,Cobb,3,6784026180,doc1rn@comcast.net,6/24/21
"Graceful Swan Pch, The",PERSONAL CARE HOME,1190 WADE GREEN CIRCLE,Acworth,GA,30102,Cobb,3,7705750867,doc1rn@comcast.net,6/24/21
Gracemont Assisted Living And Memory Care,ASSISTED LIVING COMMUNITY,4940 JOT EM DOWN ROAD,Cumming,GA,30041,Forsyth,86,7708872000,licensing@5sqc.com,6/24/21
Gramps And Grannies,PERSONAL CARE HOME,500 NORTH HOUSTON ROAD,Warner Robins,GA,31093,Houston,15,4789295242,,6/24/21
Gramps N Grannies Ii,PERSONAL CARE HOME,502 NORTH HOUSTON ROAD,Warner Robins,GA,31093,Houston,15,4789238325,grngr@cox.net,6/24/21
Gramps N Grannies Iii,PERSONAL CARE HOME,316 WOODLAWN AVENUE,Warner Robins,GA,31093,Houston,15,4783286640,,6/24/21
Grant Family Home Care,PERSONAL CARE HOME,7352 MELHANA LANE,Union City,GA,30291,Fulton,3,7702175309,winsomegrant2000@gmail.com,6/24/21
Great Day,PERSONAL CARE HOME,2604 WHITTIER PLACE,Hephzibah,GA,30815,Richmond,6,7067937885,nikk_boss1@yahoo.,6/24/21
Great Day Ii,PERSONAL CARE HOME,2059 CLARK ST,Augusta,GA,30904,Richmond,9,7067382996,nikk_boss1@yahoo.com,6/24/21
Great Gran'S Personal Care Home,PERSONAL CARE HOME,1002 N WILEY AVENUE,Donalsonville,GA,39845,Seminole,18,2295248877,jamespettis@hotmail.com,6/24/21
Great Oaks,ASSISTED LIVING COMMUNITY,920 HWY 138 NW,Monroe,GA,30655,Walton,194,7702677902,mdally@greatoaks.net,6/24/21
Greater Care Services Pch,PERSONAL CARE HOME,2329 BASSWOOD DR,Augusta,GA,30906,Richmond,3,7067900143,nixonyvonne@bellsouth.net,6/24/21
Greater Columbus Pch,PERSONAL CARE HOME,2425 THIRD AVENUE,Columbus,GA,31901,Muscogee,24,7066532430,columbus2425@charter.net,6/24/21
"Green House At Calvary, The",PERSONAL CARE HOME,7462 OLD MOON ROAD,Columbus,GA,31909,Muscogee,17,7065072131,debbieking@calvaryministries.com,6/24/21
Green Meadows Personal Care,PERSONAL CARE HOME,155 ABNEY ROAD,Cochran,GA,31014,Bleckley,15,4789341404,,6/24/21
