Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Capacity,Phone Number,Email Address
DJW NATIONAL ENTERPRISE PERSONAL CARE HOME,PERSONAL CARE HOME,3397 SALEM ROAD,COVINGTON,GA,30016,NEWTON,3,6786835435,DJWNATIONALENTERPRISELLC@GMAIL.COM
DOGWOOD BLUFF,PERSONAL CARE HOME,266 PONY LAKE LANE,DAHLONEGA,GA,30533,LUMPKIN,13,7705031731,cjbme4aday@yahoo.com
DOGWOOD FOREST OF ACWORTH,ASSISTED LIVING COMMUNITY,4461 SOUTH MAIN STREET,ACWORTH,GA,30101,COBB,120,6788314999,steve.blazejewski!pgim.com; sholyfield@holbrooklife.com
DOGWOOD FOREST OF DUNWOODY,ASSISTED LIVING COMMUNITY,"7400 PEACHTREE DUNWOODY ROAD, NE",ATLANTA,GA,30328,FULTON,86,7703507833,struitt@holbrooklife.com
DOGWOOD FOREST OF GRAYSON,ASSISTED LIVING COMMUNITY,1754 GRAYSON HIGHWAY,GRAYSON,GA,30017,GWINNETT,110,6784962319,grayson@dogwoodforest.com
DOGWOOD GARDENS SENIOR LIVING,PERSONAL CARE HOME,1222 PLAZA DRIVE,EASTMAN,GA,31023,DODGE,24,4783743303,susan@dogwoodgardens.net
DOMINION PERSONAL CARE HOME,PERSONAL CARE HOME,3645-A CUSSETA ROAD,COLUMBUS,GA,31903,MUSCOGEE,9,7066878847,mcmchurch@bellsouth.net
DONNELLY HOUSE,PERSONAL CARE HOME,1928 MONTGOMERY CROSSROADS,SAVANNAH,GA,31406,CHATHAM,8,9123494832,
DORSEY HOME,PERSONAL CARE HOME,6924 DORSEY DRIVE,COLUMBUS,GA,31907,MUSCOGEE,6,7062213754,deloris.hines@ymail.com
DOSTER MANOR SENIOR CARE HOME (THE),PERSONAL CARE HOME,1250 NICHOLSVILLE ROAD,MONROE,GA,30656,WALTON,13,6786350751,kelbrown0522@yahoo.com
DREAM CATCHER FARM PCH,PERSONAL CARE HOME,286 FOUR POINTS ROAD,JACKSON,GA,30233,BUTTS,24,7707752794,
DREAM CATCHER IN THE WOODS,PERSONAL CARE HOME,286 F0UR POINTS ROAD,JACKSON,GA,30233,BUTTS,24,7705049695,dreamfarm@bellsouth.net
DREWS GARDEN PCH,PERSONAL CARE HOME,2092 RIVER RD,ELLENWOOD,GA,30294,CLAYTON,3,4042284567,drewsgardenspch@gmail.com
DRY LAKE PERSONAL CARE HOME,PERSONAL CARE HOME,4829 DRY LAKE ROAD,DIXIE,GA,31629,BROOKS,6,2292639779,cobbclara58@gmail.com
DUBLIN PLACE,PERSONAL CARE HOME,504 FIRETOWER ROAD,DUBLIN,GA,31021,LAURENS,60,4782754460,kjones2@enlivant.com
DUNCAN MCRAE HOUSE,PERSONAL CARE HOME,129 RAILROAD AVENUE SOUTH,MOUNT VERNON,GA,30445,MONTGOMERY,22,9125832020,
DUNWOODY PLACE PERSONAL CARE HOME,PERSONAL CARE HOME,1460 SOUTH JOHNSON FERRY ROAD,ATLANTA,GA,30319,DEKALB,133,4042527974,kprokai@pegasusseniorliving.com
DUTTON HOMES,PERSONAL CARE HOME,130 MOORE'S ROAD,MINERAL BLUFF,GA,30559,FANNIN,6,7063745142,MEALER1999@YAHOO.COM
DUTTON HOMES II,PERSONAL CARE HOME,160 MOORE'S ROAD,MINERAL BLUFF,GA,30559,FANNIN,6,7063740466,MEALER1999@YAHOO.COM
"DUVALL, DON HOME",PERSONAL CARE HOME,2020 EAST RIVER ROAD,BAINBRIDGE,GA,39817,DECATUR,4,2292463704,
DYLON HOUSE LLC,PERSONAL CARE HOME,3304 6TH AVENUE,COLUMBUS,GA,31904,MUSCOGEE,3,7067183449,dylonhouse@gmail.com
DYNAMIC PERSONAL CARE HOME,PERSONAL CARE HOME,3363 LUXEMBOURG CIRCLE,DECATUR,GA,30034,DEKALB,3,6786201170,
E & E KARING HANDS PERSONAL CARE HOME,PERSONAL CARE HOME,3965 PUCKETTS ROAD,SNELLVILLE,GA,30039,GWINNETT,3,6786918725,edrislgreen@yahoo.com
EAGLES LANDING SENIOR LIVING,ASSISTED LIVING COMMUNITY,475 COUNTRY CLUB DRIVE,STOCKBRIDGE,GA,30281,HENRY,81,7705075440,vcurl@trinitybelieves.com
EAST COLUMBUS PERSONAL CARE HOME,PERSONAL CARE HOME,4725 JOSEPHINE ST,COLUMBUS,GA,31907,MUSCOGEE,5,7062211518,ccnick15@aol.com
EASTSIDE,PERSONAL CARE HOME,1703 CONDUCTOR LANE,CONYERS,GA,30013,ROCKDALE,6,6784132290,jennifer.hibbard@vphealth.org
EASTSIDE GARDENS,PERSONAL CARE HOME,2078 SCENIC HIGHWAY NORTH,SNELLVILLE,GA,30078,GWINNETT,66,7709828012,
EASTWOOD GROUP HOME,PERSONAL CARE HOME,2877 EASTWOOD DRIVE,DECATUR,GA,30032,DEKALB,5,4042887811,
EASY LIVING PCH,PERSONAL CARE HOME,2688 NUB GARLAND RD,TOCCOA,GA,30577,STEPHENS,14,7068861670,
ECHOLS PCH,PERSONAL CARE HOME,5266 LEXINGTON ROAD,RAYLE,GA,30660,WILKES,6,7062743350,
EDNA MAE LOCKETT PCH,PERSONAL CARE HOME,7566 UNION GROVE ROAD,LITHONIA,GA,30058,DEKALB,6,7705593598,thorton@ednacares.com
EK'S PERSONAL CARE,PERSONAL CARE HOME,1865 WALDREP CIRCLE,MARIETTA,GA,30060,COBB,3,6782392239,
ELAINE'S PERSONAL CARE HOME,PERSONAL CARE HOME,626 E RIVERBEND DRIVE,LILBURN,GA,30047,GWINNETT,5,7709859996,charmaine@elainespch.com
ELAINE'S PERSONAL CARE HOME II,PERSONAL CARE HOME,186 LOCKRING DRIVE,LILBURN,GA,30047,GWINNETT,6,7709211118,charmaine@elainespch.com
ELAINE'S PERSONAL CARE HOME III,PERSONAL CARE HOME,4905 ANNISTOWN ROAD,STONE MOUNTAIN,GA,30087,GWINNETT,4,7704694353,
ELDERLY HEAVEN,PERSONAL CARE HOME,4999 BURLING GATE DRIVE,LITHONIA,GA,30038,DEKALB,3,6786404974,galejones12@yahoo.com
ELDERLY HEAVEN II,PERSONAL CARE HOME,3215 ROCKMILL DR,ELLENWOOD,GA,30294,DEKALB,3,6786404974,galejones12@yahoo.com
ELITE PERSONAL CARE HOME,PERSONAL CARE HOME,4925 BRIDLE POINT PKWY,SNELLVILLE,GA,30039,GWINNETT,3,4042487945,colleem-a3@yahoo.com
ELMCROFT OF MARTINEZ,ASSISTED LIVING COMMUNITY,515 THE PASS,MARTINEZ,GA,30907,COLUMBIA,70,7068556565,
ELMCROFT OF ROSWELL,ASSISTED LIVING COMMUNITY,400 MARIETTA HIGHWAY,ROSWELL,GA,30075,FULTON,75,7706500555,
ELVONIA PERSONAL CARE HOME,PERSONAL CARE HOME,5365 WHITESVILLE ROAD,WEST POINT,GA,31833,TROUP,5,7065011334,evaleneflournoy@yahoo.com
EMANUEL PERSONAL CARE HOME,PERSONAL CARE HOME,4800 WHITE OAK TRAIL,STONE MOUNTAIN,GA,30088,DEKALB,3,6788632738,Ally Mdamu
EMERALD CITY LODGE,PERSONAL CARE HOME,103 TERRACE DRIVE,DUBLIN,GA,31021,LAURENS,24,3055190265,emeraldcitylodge@gmail.com
EMILY ABACR PERSONAL CARE HOME,PERSONAL CARE HOME,649 11TH AVENUE NW,CAIRO,GA,39828,GRADY,6,2293775459,transcend1964@yahoo.com
EMMANUEL PERSONAL CARE HOME,PERSONAL CARE HOME,5163 SAINT MARY'S ROAD,COLUMBUS,GA,31907,MUSCOGEE,4,7064429755,CORAPRICE459@GMAIL.COM
ENCARE PCH II,PERSONAL CARE HOME,216 CHATHAM VILLA DRIVE,GARDEN CITY,GA,31408,CHATHAM,4,9129650584,
ENRICH AT 519,PERSONAL CARE HOME,519 LAWRENCEVILLE STREET NW,NORCROSS,GA,30071,GWINNETT,24,7704469586,info@enrich519.com
ENVIROTIDE PCH,PERSONAL CARE HOME,7436 ASBURY DRIVE,LITHONIA,GA,30058,DEKALB,3,7704690936,envirotidepch@hotmail.com
EPI CAREGIVING,PERSONAL CARE HOME,646 POST RD DRIVE,STONE MOUNTAIN,GA,30088,DEKALB,3,6783749444,epicaregiving@gmail.com
ESSENCE PERSONAL CARE HOME,PERSONAL CARE HOME,206 FLOWING WELLS ROAD,MARTINEZ,GA,30907,COLUMBIA,7,7064329951,reneesc05@gmail.com
ESSIC PLACE,PERSONAL CARE HOME,910 ESSIC ROAD,BALL GROUND,GA,30107,CHEROKEE,3,7707353133,turner2@tds.net
ESTELLA HOUSE LLC,PERSONAL CARE HOME,408 FARMER DR,HAMPTON,GA,30228,HENRY,4,6788846396,VBANFOR@YAHOO.COM
EVA & ERMA'S HOUSE,PERSONAL CARE HOME,2458 RED OAK BEND,OXFORD,GA,30054,WALTON,4,7707280352,cremensjill@yahoo.com
EVA - AND - ERMA'S HOUSE,PERSONAL CARE HOME,2641 ABINGTON DRIVE SW,SNELLVILLE,GA,30078,GWINNETT,4,6788343720,cremensjill@yahoo.com
EVA AND ERMA'S HOUSE,PERSONAL CARE HOME,2319 HIGWAY 81 SOUTH,LOGANVILLE,GA,30052,WALTON,3,6785599011,cremensa@bellsouth.net
EVA AND ERMA'S HOUSE,PERSONAL CARE HOME,3038 HIGH WAY 115 EAST,CLEVELAND,GA,30528,WHITE,8,6785244112,cremensa@bellsouth.net
EVELYN PERSONAL CARE HOME,PERSONAL CARE HOME,33 NINA CT,JONESBORO,GA,30238,CLAYTON,5,4048443604,evelynpch12@gmail.com
EVERGREEN ASSISTED LIVING FACILITY,ASSISTED LIVING COMMUNITY,2823 GILLIONVILLE ROAD,ALBANY,GA,31721,DOUGHERTY,42,2298898979,admin@centurypines.org
EVERGREEN TERRACE,PERSONAL CARE HOME,53 NORTHWOODS DRIVE,DAHLONEGA,GA,30533,LUMPKIN,24,7068670225,
EVERLASTING LIFE PERSONAL CARE HOME,PERSONAL CARE HOME,2529 GREENWOOD CIRCLE,EAST POINT,GA,30344,FULTON,3,4042543279,
"EXPOSURE FOUNDATION, THE",PERSONAL CARE HOME,6462 CHARTER WAY,LITHONIA,GA,30058,DEKALB,3,4048389688,abdallatau@gmail.com
"EXTENDED BLESSINGS COMFORT CARE, LLC",PERSONAL CARE HOME,4964 BOULDERCREST ROAD,ELLENWOOD,GA,30294,CLAYTON,6,4047343883,exbcomfortcare@gmail.com
EXTREME MEASURES PERSONAL CARE HOME,PERSONAL CARE HOME,602 CLOUDLAND DRIVE,STOCKBRIDGE,GA,30281,HENRY,3,6788845066,kallen7911@gmail.com
F & L HOME,PERSONAL CARE HOME,4564 SENTRY ST,COLUMBUS,GA,31907,MUSCOGEE,6,7063301133,flhome2011@yahoo.com
F AND P HOME CARE,PERSONAL CARE HOME,3576 BROAD OAK COURT,DECATUR,GA,30034,DEKALB,3,7702566488,wyneding@hotmail.com
F AND P HOME CARE 2,PERSONAL CARE HOME,5714 SOUTH CREST LANE,LITHONIA,GA,30038,DEKALB,3,7702568133,wyneding@hotmail.com
FAITH & GRACE,PERSONAL CARE HOME,1440 HEATHER GLADE LANE,LAWRENCEVILLE,GA,30045,GWINNETT,3,6783442067,01@comcast.net
FAITH AND HOPE PERSONAL CARE HOME,PERSONAL CARE HOME,773 CHAPMAN STREET,JONESBORO,GA,30238,CLAYTON,6,6784896906,FAITHANDHOPEPCH@GMAILS.COM
FAITH COMMUNITY CARE HOME,PERSONAL CARE HOME,1214 WHISPERING PINES ROAD,ALBANY,GA,31707,DOUGHERTY,7,2298948287,melbri15@yahoo.com
FAITH LANDING,PERSONAL CARE HOME,1215 HALE STREET,WAYNESBORO,GA,30830,BURKE,15,7064374248,sarah.jenkins437@comcast.net
FAITHFUL HOME CARE,PERSONAL CARE HOME,1988 WILLA DRIVE,DECATUR,GA,30032,DEKALB,3,6784723477,aprice_22@yahoo.com
FAITHFULLY YOURS PCH,PERSONAL CARE HOME,2512  MELLVILLE AVENUE,DECATUR,GA,30032,DEKALB,10,4042843780,
FALCON CREST MANOR,PERSONAL CARE HOME,111 EPPS STREET,GORDON,GA,31031,WILKINSON,24,4786281126,falconcrestmanor@windstream.net
FALCON PARK IV,PERSONAL CARE HOME,716 OLMSTEAD STREET,WARNER ROBINS,GA,31098,HOUSTON,4,4789221440,lpeebles@hcaec.com
FALCON PARK V,PERSONAL CARE HOME,718 OLMSTEAD STREET,WARNER ROBINS,GA,31098,HOUSTON,4,4789221441,lpeebles@hcaec.com
FALCON PARK VI,PERSONAL CARE HOME,926 MCCLELLAN ROAD,WARNER ROBINS,GA,31099,HOUSTON,4,4789290041,lpeebles@hcaec.com
FAM PERSONAL CARE HOME,PERSONAL CARE HOME,294 TANNERS BRIDGE ROAD,BETHLEHEM,GA,30620,BARROW,6,6784251193,MURRAYJOY@BELLSOUTH.NET
FAMILY AND FRIENDS MATTER PCH,PERSONAL CARE HOME,2724 FAWN DRIVE,AUGUSTA,GA,30906,RICHMOND,3,7069258751,yourfamilyandfriendsmatter@yahoo.com
FAMILY INITIATIVES RESIDENCES,PERSONAL CARE HOME,1081 N MAIN STREET,CONYERS,GA,30012,ROCKDALE,16,7707613408,
FELLOWSHIP HOME AT BROOKSIDE,ASSISTED LIVING COMMUNITY,470 FELLOWSHIP HOME LANE,VALDOSTA,GA,31602,BROOKS,142,2292449200,john@fellowshiphome.net
FELLOWSHIP HOME AT CORDELIA MANOR,ASSISTED LIVING COMMUNITY,1307 BLACKSHEAR ROAD,CORDELE,GA,31015,CRISP,44,2292731173,jlahood@fellowshiphome.net
FELLOWSHIP HOME AT COTTON HILL,ASSISTED LIVING COMMUNITY,6330 HIGHWAY 82 WEST,CUTHBERT,GA,39840,RANDOLPH,41,2297322188,jlahood@fellowshiphome.net
FELLOWSHIP HOME AT MERIWETHER,ASSISTED LIVING COMMUNITY,10 MERIWETHER PLACE,MILLEDGEVILLE,GA,31061,BALDWIN,80,4782951005,jlahood@fellowshiphome.net
FELLOWSHIP HOME OF NASHVILLE,ASSISTED LIVING COMMUNITY,1207 EAST MCPHERSON AVENUE,NASHVILLE,GA,31639,BERRIEN,52,2296862543,jlahood@fellowshiphome.net
FEMI CARE MARIETTA LIVING CENTER,PERSONAL CARE HOME,447 ATLANTA STREET SE,MARIETTA,GA,30060,COBB,45,7707269630,Rahim@Femicares.com
FEMI CARE SOUTHERN PINES LIVING CENTER,PERSONAL CARE HOME,258 COLLEGE AVENUE,MAYSVILLE,GA,30558,JACKSON,36,7066522600,thepines@femicares.com
FERN'S TENDER LOVING CARE HOME,PERSONAL CARE HOME,3547 SPRING VALLEY ROAD,DECATUR,GA,30032,DEKALB,3,4042895329,fernstlch@bellsouth.net
FESBETH AT EAST COBB,PERSONAL CARE HOME,2750 LOWER ROSWELL ROAD,MARIETTA,GA,30068,COBB,3,7706753263,hilego@yahoo.com
FIRST LOVE PERSONAL CARE HOME #1,PERSONAL CARE HOME,2403 WRIGHTSBORO ROAD,AUGUSTA,GA,30904,RICHMOND,6,7067372661,clisenbee@aol.com
FITE LIVING CENTER,PERSONAL CARE HOME,5 FITE STREET,CARTERSVILLE,GA,30120,BARTOW,40,7703822002,wayne@thefite.com
FITZ PERSONAL CARE LLC,PERSONAL CARE HOME,230 S BROAD STREET,ROME,GA,30161,FLOYD,8,4042682262,RRFITZ@GMAIL.COM
FIVE PONDS PERSONAL CARE HOME,PERSONAL CARE HOME,4688 WINDSOR SPRINGS,HEPHZIBAH,GA,30815,RICHMOND,15,7065924789,fernando.peeples@yahoo.com
FOOTHILLS II RETIREMENT HOME,PERSONAL CARE HOME,148 GLENN HEAD RD,DAHLONEGA,GA,30533,LUMPKIN,6,7068646062,
FOOTHILLS RETIREMENT HOME,PERSONAL CARE HOME,148 GLENN HEAD ROAD,DAHLONEGA,GA,30533,LUMPKIN,6,7068646062,weaverglenda17@gmail.com
"FOR SHARON, LLC",PERSONAL CARE HOME,3240 WAKEFIELD DRIVE,DECATUR,GA,30034,DEKALB,3,7703632674,michellecheves@yahoo.com
FORESTWOOD,PERSONAL CARE HOME,2011 FORESTWOOD LANE,COLUMBUS,GA,31907,MUSCOGEE,6,7062490793,
FOREVER HARMONY PCH,PERSONAL CARE HOME,205 PROVIDENCE WALK COURT,CANTON,GA,30114,CHEROKEE,3,7702248760,harmonyway40@yahoo.com
"FOUNTAINS IN CARTERSVILLE, THE",ASSISTED LIVING COMMUNITY,925 DOUTHIT FERRY ROAD,CARTERSVILLE,GA,30120,BARTOW,75,7704622062,craigthomas19@hotmail.com
"FOUNTAINS OF CALHOUN, THE",ASSISTED LIVING COMMUNITY,265 LOVERS LANE,CALHOUN,GA,30701,GORDON,100,7064038850,CRAIGTHOMAS19@HOTMAIL.COM
FOUR SEASONS PCH,PERSONAL CARE HOME,918 EAST EVANS STREET,BAINBRIDGE,GA,39819,DECATUR,6,2292480732,
FOURTH VIEW PCH,PERSONAL CARE HOME,4118 SIOUX  WAY,STONE MOUNTAIN,GA,30083,DEKALB,6,4049419227,CHERHAR@COMCAST.NET
FREE LOVE PCH,PERSONAL CARE HOME,3668 ELLINGTON AIRLINE ROAD,DEARING,GA,30808,MCDUFFIE,4,7065978664,e.freeman64@comcast.net
FRESH START,PERSONAL CARE HOME,2702 SCHAUL STREET,COLUMBUS,GA,31906,MUSCOGEE,6,7065752524,clothesconnection@yahoo.com
FRIENDSHIP PCH,PERSONAL CARE HOME,"723 W. OGLETHORPE BLVD., BOX 1784",ALBANY,GA,31701,DOUGHERTY,10,2294388517,
FROM THE HEART,PERSONAL CARE HOME,2188 RIVERBROOK ROAD,DECATUR,GA,30035,DEKALB,3,7703225556,
FROM THE HEART ENTERPRISES 4,PERSONAL CARE HOME,4680 DUVAL POINT WAY,SNELLVILLE,GA,30039,GWINNETT,3,7709220123,ranvalle@bellsouth.net
G & E PERSONAL CARE HOME,PERSONAL CARE HOME,2260 HIGHWAY 77 SOUTH,GREENSBORO,GA,30642,GREENE,4,7064864392,john316gary@yahoo.com
G & M PERSONAL CARE HOME,PERSONAL CARE HOME,1635 STEPHENSON ROAD,LITHONIA,GA,30058,DEKALB,5,4049154281,gmrrgg@comcast.net
"GABLES AT COBB VILLAGE, LLC (THE)",ASSISTED LIVING COMMUNITY,12 COBB VILLAGE DRIVE,ROYSTON,GA,30662,FRANKLIN,48,7062461700,jbryant@gablesvillage.com
GAINES PARK SENIOR LIVING,PERSONAL CARE HOME,1740 OLD HIGHWAY 41,KENNESAW,GA,30152,COBB,68,7704241414,dan@gainespark.com
GARDEN OF EDEN PCH SERVICES LLC,PERSONAL CARE HOME,1552 DEE KENNEDY RD,HOSCHTON,GA,30548,BARROW,4,6789630241,cristina_buth@hotmail.com
GARDEN VIEW,PERSONAL CARE HOME,6134 COLLEGE AVENUE,BLACKSHEAR,GA,31516,PIERCE,13,9124491616,gardenview08@hotmail.com
"GARDENIAS, THE",PERSONAL CARE HOME,75 DUTCHTOWN ROAD,HAMPTON,GA,30228,HENRY,48,7709460325,brenda.thegardenias@gmail.com
"GARDENS AT CALVARY ALC, THE",ASSISTED LIVING COMMUNITY,7595 MOON ROAD,COLUMBUS,GA,31909,MUSCOGEE,100,7066532000,lisadodgen@calvary-ministries.com
"GARDENS AT ROYAL OAKS, THE",PERSONAL CARE HOME,1218 BROADRICK DRIVE,DALTON,GA,30720,WHITFIELD,48,7062758899,abaker@hhcs.org
"GARDENS AT SOUTHERN MANOR, THE",PERSONAL CARE HOME,625 GENTILLY ROAD,STATESBORO,GA,30458,BULLOCH,44,9126811923,ralphcowart@gmail.com
GARDENS OF FAYETTEVILLE,PERSONAL CARE HOME,1294 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,FAYETTE,84,7707199010,rdoyle@snhreit.com
GARDENS OF GAINESVILLE,ASSISTED LIVING COMMUNITY,3315 THOMPSON BRIDGE ROAD,GAINESVILLE,GA,30503,HALL,92,7705317800,wwindsor@555l.com
"GARDENS OF LAKE SPIVEY, THE",PERSONAL CARE HOME,8080 SUMMIT BUSINESS PARKWAY,JONESBORO,GA,30236,CLAYTON,72,7704777207,licensing@5sqc.com
"GARDENS OF ROME , THE",PERSONAL CARE HOME,1168 CHULIO ROAD SE,ROME,GA,30161,FLOYD,60,7068020990,tgor.adm@algsenior.com
"GARDENS OF SAVANNAH, THE",PERSONAL CARE HOME,249 HOLLAND DRIVE,SAVANNAH,GA,31419,CHATHAM,46,9129253445,tgos.adm@algsenior.com
GARDENS OF SHILOH POINT,ASSISTED LIVING COMMUNITY,7955 MAJORS ROAD,CUMMING,GA,30041,FORSYTH,54,6784568363,vcurl@trinitybelieves.com
GARDENS OF SMYRNA,PERSONAL CARE HOME,1418 WEST SPRING STREET SE,SMYRNA,GA,30080,COBB,40,7703191000,Mgr.azaleagardens@gmail.com
"GARDENS OF SOCIAL CIRCLE I, THE",PERSONAL CARE HOME,621 NORTH CHEROKEE ROAD,SOCIAL CIRCLE,GA,30025,WALTON,24,7704644211,gosc.adm@algsenior.com
"GARDENS OF SOCIAL CIRCLE II , THE",PERSONAL CARE HOME,621 NORTH CHEROKEE ROAD,SOCIAL CIRCLE,GA,30025,WALTON,50,7704644211,gosc.adm@algsenior.com
"GARDENS OF SOCIAL CIRCLE III , THE",PERSONAL CARE HOME,621 NORTH CHEROKEE ROAD,SOCIAL CIRCLE,GA,30025,WALTON,24,7704644211,gosc.adm@algsenior.com
GATEWAY GARDENS ASSISTED LIVING AND MEMORY CARE,ASSISTED LIVING COMMUNITY,138 GATEWAY LANE,BETHLEHEM,GA,30620,BARROW,64,6789635828,info@westplan.com
GATEWAY HOME,PERSONAL CARE HOME,1829 OXFORD DRIVE,MORROW,GA,30260,CLAYTON,4,6788846877,crystalbrown@yahoo.com
GATEWAY PERSONAL CARE HOME,PERSONAL CARE HOME,3380 CENTERVILLE ROSEBUD RD,SNELLVILLE,GA,30078,GWINNETT,8,4043003099,"info@ghscares,com"
GATLIN'S CARING ARMS PERSONAL CARE HOME LLC,PERSONAL CARE HOME,5597 EMERALD GLEN,STONE MOUNTAIN,GA,30088,DEKALB,3,4043999313,mrs.gatlin1@gmail.com
GEE GEE PERSONAL CARE HOME,PERSONAL CARE HOME,609 EUGEMAR DRIVE,ALBANY,GA,31707,DOUGHERTY,4,2296694935,gbush509@gmail.com
GENERATION OF HOPE PCH,PERSONAL CARE HOME,2388 OPAL DR,JONESBORO,GA,30236,CLAYTON,4,7707569674,4annerodgers@gmail.com
GENEROUS CAREGIVING,PERSONAL CARE HOME,2769 KILGORE RD,BUFORD,GA,30519,GWINNETT,6,6784829313,ourgenerouscaregiving@gmail.com
GENEVA'S CARING HANDS,PERSONAL CARE HOME,217 NORTH 5TH STREET,VIENNA,GA,31092,DOOLY,6,2299421671,genevascaringhands@gmail.com
"GENTLE PLACE 2, A",PERSONAL CARE HOME,2817 BRIAR HILL LANE,CONYERS,GA,30013,ROCKDALE,5,7707138280,carrdelores@yahoo.com
GENTLE TOUCH PCH,PERSONAL CARE HOME,110 MAIN STREET,JERSEY,GA,30018,WALTON,6,6784659314,moss.denisha@yahoo.com
GEORGIA LIFE LINKS,PERSONAL CARE HOME,1544 VENETIAN DR SW,ATLANTA,GA,30311,FULTON,14,4047553197,mereese01@comcast.net
GEORGIA LIVING CENTER,PERSONAL CARE HOME,182 HEAD AVENUE,TALLAPOOSA,GA,30176,HARALSON,15,7705742362,galivingcenter@gmail.com
"GEORGIAN LAKESIDE, THE",ASSISTED LIVING COMMUNITY,1070 HARDSCRABBLE ROAD,ROSWELL,GA,30075,COBB,95,6783674744,taylor.green@georgianlakeside.com
GERALDINE HOUSE PCH,PERSONAL CARE HOME,4486 RIVERWOOD FOREST COURT,DECATUR,GA,30035,DEKALB,3,7706851886,bes@benevolantelderservices.org
GIFTED ANGELS PERSONAL CARE HOME,PERSONAL CARE HOME,3910 CYPRESS POINTE DRIVE,UNION CITY,GA,30291,FULTON,6,7709648350,giftedangelspch@yahoo.com
GIFTED HANDS,PERSONAL CARE HOME,1834 BROOK RUN,REGISTER,GA,30452,BULLOCH,6,9128527471,sheliacrawford365@gmail.com
GIFTS OF LOVE PERSONAL CARE HOME,PERSONAL CARE HOME,4125 BELLAMY STREET,COLUMBUS,GA,31903,MUSCOGEE,4,7066106517,karismainc@yahoo.com
GIGI'S RETREAT,PERSONAL CARE HOME,2593 NANCELON CIRCLE N,MACON,GA,31204,BIBB,4,4782540087,lindazico7@gmail.com
"GLEN AT LAKE OCONEE VILLAGE, THE",ASSISTED LIVING COMMUNITY,1070 OLD SALEM ROAD,GREENSBORO,GA,30642,GREENE,110,7069993535,lancasterjamie@lcsnet.com
GLORY PERSONAL CARE HOME,PERSONAL CARE HOME,90 PACES LANDING,COVINGTON,GA,30016,NEWTON,5,6783428818,glorypch1@yahoo.com
GOLD CITY PERSONAL CARE CENTER,PERSONAL CARE HOME,350 MOORES DRIVE,DAHLONEGA,GA,30533,LUMPKIN,24,7068643136,
GOLDEN AGE PERSONAL CARE HOME,PERSONAL CARE HOME,1399 HARRIS ROAD,LAWRENCEVILLE,GA,30043,GWINNETT,8,7706745773,tpop05@yahoo.com
GOLDEN ANGELS RETIREMENT CENTER,PERSONAL CARE HOME,2833 BURL LANE ROAD,DONALSONVILLE,GA,39845,SEMINOLE,3,2295242816,1bennett1861@windstream.net
"GOLDEN APPLE CARRIAGE HOUSE, THE",PERSONAL CARE HOME,606 FIFTH AVE SE,MOULTRIE,GA,31768,COLQUITT,6,2298905313,goldenapple@moultriega.org
"GOLDEN APPLE II, THE",PERSONAL CARE HOME,606 5TH AVE SE,MOULTRIE,GA,31768,COLQUITT,24,2298905313,goldenapple@moultriega.net
"GOLDEN APPLE, THE",PERSONAL CARE HOME,606 5TH AVENUE,MOULTRIE,GA,31768,COLQUITT,6,2298905313,carlieg2002@yahoo.com
GOLDEN BRIDGES PCH,PERSONAL CARE HOME,3186 EVANS MILL ROAD,LITHONIA,GA,30038,DEKALB,6,4702685600,sdshatteen@aol.com
GOLDEN BRIDGES PCH II,PERSONAL CARE HOME,7101 ROCKLAND ROAD,LITHONIA,GA,30038,DEKALB,3,4703652926,goldenbridges@att.net
GOLDEN DAYS QUALITY CARE HOME,PERSONAL CARE HOME,940 KNOLLWOOD ROAD,MINERAL BLUFF,GA,30559,FANNIN,6,7063741360,timdella@tds.net
GOLDEN HEARTS PERSONAL CARE HOME,PERSONAL CARE HOME,205 6TH EAST AVENUE,BUENA VISTA,GA,31803,MARION,6,2293319033,taidradurham@att.net
GOLDEN IVY PERSONAL CARE HOME LLC,PERSONAL CARE HOME,1690 HWY 138 EAST,JONESBORO,GA,30236,CLAYTON,3,7709064045,GOLDENIVYPCH@GMAIL.COM
GOLDEN JUBILEE HOUSE,PERSONAL CARE HOME,361 HILLTOP CIRCLE EXT SW,MABLETON,GA,30126,COBB,3,7709442333,von_teaches1@att.net
GOLDEN MANOR SENIOR LIVING,PERSONAL CARE HOME,225 RUSSELL RD,LAWRENCEVILLE,GA,30043,GWINNETT,8,6783492314,goldendays.daniela@gmail.com
GOLDEN MANOR SENIOR LIVING #2,PERSONAL CARE HOME,2775 CRUSE ROAD UNIT #601,LAWRENCEVILLE,GA,30044,GWINNETT,8,6789152524,dluca@goldenmanorseniorliving.com
GOLDEN MANOR SENIOR LIVING OF BUFORD,PERSONAL CARE HOME,2025 BRASELTON HIGHWAY,BUFORD,GA,30519,GWINNETT,8,6788252698,dluca@goldenmanorseniorliving.com
GOLDEN ORCHARDS,PERSONAL CARE HOME,123 MAULDON COURT,WARNER ROBINS,GA,31093,HOUSTON,4,4782362741,goldenorchards@yahoo.com
GOLDEN PERSONAL CARE HOME,PERSONAL CARE HOME,257 GOLDEN ROAD,EASTMAN,GA,31023,DODGE,20,4783742483,
