HFR Facility Finder,,,,,,,,,,,,
 ,Name,Facility Type,Address,City,State,Zip,County,Bed Capacity,Telephone,Effective Date of License,Administrator,Email
,CHESTNUT MANOR,PERSONAL CARE HOME,13 CHESTNUT STREET,GRIFFIN,GA,30223,SPALDING,6,7702288034,06/17/2004,Ms GAIL KEY,musgrovemanorpch@comcast.net
,CHI'S,PERSONAL CARE HOME,2023 HIGHWAY 138,RIVERDALE,GA,30296,CLAYTON,3,4704243783,09/16/2019,Mr CHIMEZIE AHUCHAOGU,chidinmafaithx4164@gmail.com
,CHOICE CARE SENIOR HOME,PERSONAL CARE HOME,278 CS FLOYD ROAD,LOGANVILLE,GA,30052,WALTON,6,7705548600,05/17/2017,Ms ERICA BATCHELOR,angelaperry495@msn.com
,CHOICE PERSONAL CARE HOME,PERSONAL CARE HOME,135 LATA TERRACE,MILLEDGEVILLE,GA,31061,BALDWIN,5,4788049924,04/18/2013,Ms DARRETH ROBY,dichoice@yahoo.com
,CHRISTIAN CARE HOME #2,PERSONAL CARE HOME,114 JACQUELINE TERRACE,MILLEDGEVILLE,GA,31061,BALDWIN,6,4784534337,08/25/2006,Ms LINDA BATTLE,battlelinda@yahoo.com
,"CHRISTMAS, JOHNNIE E MANOR",PERSONAL CARE HOME,3891 MANOR HOUSE DRIVE,MARIETTA,GA,30062,COBB,6,7705221646,04/08/2004,Mr GEORGE LOVELACE,glovelace@bellsouth.net
,CHUMANI PERSONAL CARE HOME,PERSONAL CARE HOME,164 RAMBLE HILLS DR,ATHENS,GA,30606,CLARKE,3,7062159028,03/31/2020,,2019CHUMANI@GMAIL.COM
,CHUMANI PERSONAL CARE HOME LLC,PERSONAL CARE HOME,1178 COLLEGE STREET,MONTICELLO,GA,31064,JASPER,16,7062968255,06/16/2021,,2019chumani@gmail.com
,CHURCH STREET MANOR,PERSONAL CARE HOME,425 WEST CHURCH STREET,SWAINSBORO,GA,30401,EMANUEL,15,4782376763,10/29/2018,Mr RICKY THOMPSON,ricky.thompson@snapon.com
,"CLAIBORNE AT NEWAN LAKES, THE",ASSISTED LIVING COMMUNITY,461 NEWNAN LAKES BOULEVARD,NEWNAN,GA,30263,COWETA,65,4706866080,05/11/2021,Ms TRACIE MARCOU,Cory Rogers
,CLAIBORNE AT WEST LAKE (THE),ASSISTED LIVING COMMUNITY,557 FURYS FERRY RD,MARTINEZ,GA,30907,COLUMBIA,111,7069554549,03/05/2021,Ms DAWN PANOWICH,infocwl@theclaiborne.com
,CLARA'S HEART PERSONAL CARE HOME,PERSONAL CARE HOME,4969 ROCKBRIDGE ROAD,STONE MOUNTAIN,GA,30088,DEKALB,6,7704690416,04/13/2015,Ms CLARA PETTIGREW,
,CLARE HOUSE LIVING I,PERSONAL CARE HOME,3144 MACEDONIA ROAD,POWDER SPRINGS,GA,30127,COBB,12,7704392596,04/30/2019,Mr CLARENCE WILLIAMS III,clarehouseliving@gmail.com
,CLARE HOUSE LIVING II,PERSONAL CARE HOME,3948 FLINT HILL ROAD,POWDER SPRINGS,GA,30127,COBB,3,6785045622,06/17/2019,Mr CLARENCE WILLIAMS,rhemapch@yahoo.com
,CLARK RESIDENCY,PERSONAL CARE HOME,2269 LESLIE BROOK DRIVE,DECATUR,GA,30035,DEKALB,2,6782660614,02/21/2020,Ms LUTENSIA CAMPBELL,campbellevet@yahoo.com
,CLARY CARE CENTER & WILKINSON,PERSONAL CARE HOME,249 HOSPITAL DRIVE,TOCCOA,GA,30577,STEPHENS,104,7062821197,11/17/2016,Ms HAYLEY KNIGHT,hknight@stephenscountyhospital.com
,COASTAL SENIOR LIVING OF SAINT MARY'S,PERSONAL CARE HOME,1020 MCDOWELL STREET,SAINT MARYS,GA,31558,CAMDEN,24,9128826353,02/04/2019,,
,COBBLESTONE ASSISTED LIVING AT PARK SPRINGS,ASSISTED LIVING COMMUNITY,600 SPRINGHOUSE CIRCLE,STONE MOUNTAIN,GA,30087,DEKALB,94,6786843800,03/05/2019,Mr TIM KNIGHT,tknight@parksprings.com
,COFER GROUP HOME,PERSONAL CARE HOME,4316 SMITHSONIA DRIVE,TUCKER,GA,30084,DEKALB,4,7709383578,12/09/2003,Mr FELTON GAY,garyr@dekcsb.org
,"COHEN HOME, THE",ASSISTED LIVING COMMUNITY,10485 JONES BRIDGE ROAD,JOHNS CREEK,GA,30022,FULTON,47,7704758787,08/08/2016,Ms MELISSA HYATT,mhyatt@cohenhome.org
,COLONIAL GARDENS AT WARNER ROBINS #1,PERSONAL CARE HOME,903 HIGHWAY 96,WARNER ROBINS,GA,31088,HOUSTON,23,4789878988,11/07/2018,Ms. PATTY WIGGINS,FAWADKHAN1947@HOTMAIL.COM
,COLONIAL GARDENS AT WARNER ROBINS #2,PERSONAL CARE HOME,903 HIGHWAY 96,WARNER ROBINS,GA,31088,HOUSTON,23,4789878988,12/18/2018,Ms DONNA YOUNG,FAWADKHAN1947@HOTMAIL.COM
,COLONNADE,PERSONAL CARE HOME,4275 OWENS ROAD,EVANS,GA,30809,COLUMBIA,40,7068689800,08/17/2018,,benjaminguest@uh.org
,COLQUITT ALTERNATIVE LIVING CARE,PERSONAL CARE HOME,258 E. COLLEGE STREET,COLQUITT,GA,39837,MILLER,15,2297582000,05/11/2004,Ms JENNIFER GRANT,colquittalternat@bellsouth.net
,COLQUITT GARDEN MANOR,PERSONAL CARE HOME,"498 5TH STREET, SE",MOULTRIE,GA,31768,COLQUITT,24,2298913336,01/24/2007,Ms PAMELA FINCHER,wcbyrd@mail.com
,COLUMBUS PERSONAL CARE HOME,PERSONAL CARE HOME,2940 9TH STREET,COLUMBUS,GA,31906,MUSCOGEE,6,7065051590,04/28/2015,Ms SABRENA JACKSON,sjackson68@att.net
,COMFORT CARE PERSONAL CARE HOME,PERSONAL CARE HOME,5383 BROWN LEE ROAD,STONE MOUNTAIN,GA,30087,GWINNETT,3,7705645962,04/29/2013,Ms ERICA BATCHELOR,
,COMFORT PERSONAL CARE HOME,PERSONAL CARE HOME,11612 FLEMMING COVE DRIVE,HAMPTON,GA,30228,CLAYTON,6,7707310641,10/03/2013,,comfortpc13@yahoo.com
,COMFY PCH,PERSONAL CARE HOME,2460 SKYLARS MILL WAY,SNELLVILLE,GA,30078,GWINNETT,6,6783444651,10/16/2003,Ms THELMA WILSON,
,COMMUNITY FRIENDSHIP GP HOME,PERSONAL CARE HOME,1599 HOWELL MILL ROAD,ATLANTA,GA,30318,FULTON,11,4043525417,01/16/2004,Ms SHIRLEY ESTELL,
,COMMUNITY HELPERS,PERSONAL CARE HOME,620 MONROE STREET,MACON,GA,31201,BIBB,14,4787389779,04/13/2015,Ms JEAN TOMPKINS,communityhelperspch@gmail.com or etopm100@gmail.com
,COMMUNITY LIVING SOLUTIONS,PERSONAL CARE HOME,1973 MANHATTAN PKWY,DECATUR,GA,30035,DEKALB,2,4046472867,09/10/2009,Ms DAWN SWINEY,communitylivingsolutions@hotmail.com
,COMPASSIONATE CARE PERSONAL CARE HOME,PERSONAL CARE HOME,720 EAST SHOTWELL STREET,BAINBRIDGE,GA,39819,DECATUR,13,2292206317,05/15/2018,Ms SONJA CULL,cull487@gmail.com
,COMPASSIONATE PERSONAL CARE HOME,PERSONAL CARE HOME,18 OLEANDER AVENUE,SAVANNAH,GA,31404,CHATHAM,4,9127125078,09/19/2018,Ms STEPHANIE BYRD,stephanieselver@gmail.com
,COOPER HOUSE PCH,PERSONAL CARE HOME,2213 AUGUSTA HWY,LINCOLNTON,GA,30817,LINCOLN,6,7163596815,11/18/2013,Ms STEPHANIE SEARLES,cooperhousega@gmail.com
,CORDELE INTENSIVE TRAINING RESIDENCE,PERSONAL CARE HOME,613 13TH AVE,CORDELE,GA,31015,CRISP,6,2292714955,01/25/2019,Ms LESLIE WALTERS,Lisaw@mfbhc.org
,CORINTH ROAD PERSONAL CARE HOME,PERSONAL CARE HOME,1141 CORINTH DRIVE,NEWNAN,GA,30263,COWETA,15,7702548734,09/03/2014,Ms ANN COWAN,
,CORNERSTONE HEALTH SERVICES,PERSONAL CARE HOME,512 COTTAGE PLACE,RIVERDALE,GA,30274,CLAYTON,3,7704719566,07/15/2004,Ms SANDRA DANIELS,
,"COTTAGE RESOURCES, LLC",ASSISTED LIVING COMMUNITY,1010 FERNWOOD DRIVE,MILLEDGEVILLE,GA,31061,BALDWIN,64,4784141234,03/16/2020,Ms NANCY FULLILOVE,nancy.fullilove@thecottages.us
,"COTTAGES ON MOUNTAIN CREEK, THE",PERSONAL CARE HOME,5815 MOUNTAIN CREEK ROAD,ATLANTA,GA,30328,FULTON,8,4042286554,09/01/2011,Ms CAROL REYNOLDS,cottagesonmountaincreek@gmail.com
,"COTTAGES ON WESLEYAN AL, THE",ASSISTED LIVING COMMUNITY,1633 WESLEYAN DR,MACON,GA,31210,BIBB,39,4784058280,06/20/2013,Ms JOY JOHNSON,joyjohnson@tcowimgacoxmail.com
,COUNTRY AIR VILLA PCH,PERSONAL CARE HOME,8835 NORTHCUTT ROAD,FAIRBURN,GA,30213,FULTON,6,7709647958,06/27/2017,Ms ANDREA RASHFORD,rashfayon@yahoo.com
,COUNTRY GARDENS,PERSONAL CARE HOME,19 HILLCREST CIRCLE,BUTLER,GA,31006,TAYLOR,24,4788624804,02/04/2015,Ms. MARY HART,elliehart27@gmail.com
,COUNTRY GARDENS DULUTH,PERSONAL CARE HOME,3450 DULUTH PARK LANE,DULUTH,GA,30096,GWINNETT,76,6783411347,04/20/2018,Mr SCOTT ULRICH,sulrich@ssmgrp.com
,COUNTRY GARDENS LANIER SENIOR LIVING,PERSONAL CARE HOME,255 ELM STREET,CUMMING,GA,30040,FORSYTH,50,7708897889,09/13/2016,Ms LOUISE MARTIN,knichols@ssmgrp.com
,COUNTRY GARDENS SENIOR LIVING,PERSONAL CARE HOME,7175 LESTER ROAD,UNION CITY,GA,30291,FULTON,50,7709693130,10/26/2016,,csides@ssmgrp.com
,COUNTRY HAVEN RETIREMENT CENTER,PERSONAL CARE HOME,120 COUNTRY HAVEN LANE,RINGGOLD,GA,30736,CATOOSA,12,7069659113,11/22/2011,Mr JONATHAN STOCKIL,jrstockil@yahoo.com
,COUNTRY MANOR ESTATES LLC,PERSONAL CARE HOME,1487 ALLEN ROAD,MACON,GA,31216,BIBB,6,4787819387,05/06/2021,Ms FAYE GROOVER,grooverf@bellsouth.net
,COUNTRY MANOR PERSONAL CARE HOME,PERSONAL CARE HOME,173 N HULIN AVE,TIGNALL,GA,30668,WILKES,13,7062853070,10/07/2013,Ms ANGELA ROBERSON,angela.roberson@pilgrims.com
,COUNTRY PARADISE PERSONAL CARE HOME,PERSONAL CARE HOME,546 MACON RD,MC INTYRE,GA,31054,WILKINSON,6,4789463164,02/04/2014,,prn.nursingsolutions@yahoo.com
,"COURTYARD AT RENAISSANCE, THE",PERSONAL CARE HOME,419 AIRPORT ROAD,GRIFFIN,GA,30224,SPALDING,35,7702339525,08/19/2019,Ms MARLA HARPER,rminter@renaissancenursing.com
,COVENANT OF GOLDEN AGE CARE,PERSONAL CARE HOME,849 MCDONOUGH RD,JACKSON,GA,30233,BUTTS,17,6787748567,05/13/2019,Ms PAMELA WESTMORELAND,info@autumnvillage.us
,COVENANT WOODS RETIREMENT COMMUNITY,PERSONAL CARE HOME,5424 WOODRUFF FARM ROAD,COLUMBUS,GA,31907,MUSCOGEE,29,7065611401,12/31/2014,,llewis@covenantwoodsretirement.com
,COVENTRY PLACE,PERSONAL CARE HOME,2806 NORTH DECATUR ROAD,DECATUR,GA,30033,DEKALB,50,4042960962,07/08/2020,Mr. MICHAEL CRESS,ywashington.coventryplace@gmail.com
,CRABAPPLE HALL,PERSONAL CARE HOME,200 PINE VALLEY DRIVE,ALPHARETTA,GA,30009,FULTON,8,7706649264,03/30/2006,Ms PATSY BRACY,
,CREEKSIDE II,PERSONAL CARE HOME,260 RALSTON CREEK TRAIL,ELLIJAY,GA,30536,GILMER,4,7062763901,06/25/2008,Ms STACIE GRIGGS,
,CREEKSIDE PERSONAL CARE HOME,PERSONAL CARE HOME,256 RALSTON CREEK TRAIL,ELLIJAY,GA,30540,GILMER,3,7066355211,10/23/2017,Ms NETTIE GRIGGS,tgriggs@ellijay.com
,CRESTKNOLL PERSONAL CARE HOME,PERSONAL CARE HOME,2258 CRESTKNOLL CIRCLE,DECATUR,GA,30032,DEKALB,6,4045459220,07/23/2004,Ms TERENTIA MCINTOSH,
,CRESTWOODS CARE HOME,PERSONAL CARE HOME,10278 BRIARBAY LOOP,JONESBORO,GA,30238,CLAYTON,6,7707037511,04/28/2016,Ms SONYA CARTER,crestwoods.pch1@yahoo.com
,CRISP COUNTY OPTIONS FOR LIVING,PERSONAL CARE HOME,508 27TH AVENUE EAST,CORDELE,GA,31015,CRISP,3,2292719788,06/03/2004,Ms JENNIFER WANG,mhatcher@swga-easterseals.org
,CRISTIAN'S HOUSE,PERSONAL CARE HOME,6354 ESCOE DR,LOGANVILLE,GA,30052,WALTON,6,7708645091,02/21/2014,Ms SIMONA IOVESCU-SMEU,david@mjaysbakery.com
,"CROSSINGS AT WEBB BRIDGE ROAD, THE",ASSISTED LIVING COMMUNITY,3300 WEBB BRIDGE ROAD,ALPHARETTA,GA,30005,FULTON,54,7702916263,09/03/2019,Mr HOWARD MATTHEWS,jessica.grozine@agg.com
,CRUTCHFIELD PERSONAL HOME CARE,PERSONAL CARE HOME,4826 CHAPELLE  CT,MARIETTA,GA,30066,COBB,3,6789253338,08/06/2003,Mrs CAROLYN GILREATH,
,CUMMING MANOR PERSONAL CARE,PERSONAL CARE HOME,2775 CASTLEBERRY ROAD,CUMMING,GA,30040,FORSYTH,40,7707812300,10/07/2004,,tsorensen@cumminghealthandrehab.com
,CURTIS PERSONAL CARE HOME,PERSONAL CARE HOME,3403 ELAUNTRA STREET,LOGANVILLE,GA,30052,GWINNETT,3,3212771532,06/25/2019,Mr SHAWN INVERARY,INVERARYS@YAHOO.COM
,D & J RELIABLE LIVING PCH,PERSONAL CARE HOME,2807 KING STREET,AUGUSTA,GA,30906,RICHMOND,6,7064214016,03/11/2021,Ms DENISE MCKIE,areal328@aol.com
,D & R PERSONAL CARE HOME 1,PERSONAL CARE HOME,5143 5TH STREET,MORROW,GA,30260,CLAYTON,3,3472455889,02/28/2019,Mr DEODAT BALJIT,deodatbaljit@gmail.com
,DAHLONEGA ASSISTED LIVING & MEMORY CARE,ASSISTED LIVING COMMUNITY,55 MECHANICSVILLE ROAD,DAHLONEGA,GA,30533,LUMPKIN,144,7068643000,10/14/2020,,louise@dahlonegaassistedliving.com
,DALIA PRECIOUS MEMORIES,PERSONAL CARE HOME,2083 BETHSAIDA ROAD,RIVERDALE,GA,30296,CLAYTON,14,9172433386,07/09/2019,Ms SOFIA SMITH,sofiasmith.w@gmail.com
,DALTON PLACE,ASSISTED LIVING COMMUNITY,1300 WEST WAUGH STREET,DALTON,GA,30720,WHITFIELD,75,7062777101,02/03/2016,,alclicense@enlivant.com    (or)  legalhelp@enlivant.com
,DASE SOLUTIONS,PERSONAL CARE HOME,3317 PANOLA ROAD,LITHONIA,GA,30038,DEKALB,3,7706969371,06/11/2019,Ms DILEANE MATTHEWS,dematt3@gmail.com
,DAUGHTERY HOME,PERSONAL CARE HOME,3717 AGAPE VILLAGE ROAD,MACON,GA,31210,BIBB,4,4783307078,09/12/2013,Ms ELIZABETH HARDIN-WAITS,ehardinwaits.@wesleyglen.org
,DAVIS ELDERLY CARE,PERSONAL CARE HOME,5275 HEREFORD FARM ROAD,EVANS,GA,30809,COLUMBIA,6,7068685025,11/06/2008,Ms LISA DAVIS,
,"DAVIS, PRISCILLA PCH",PERSONAL CARE HOME,3674 OLD FERRY ROAD,MARTINEZ,GA,30907,COLUMBIA,6,7068698570,10/02/2003,Ms PRISCILLA DAVIS,pldavis@knology.net
,DAYBREAK VILLAGE SENIOR LIVING COMMUNITY,PERSONAL CARE HOME,3056 CHEROKEE STREET,KENNESAW,GA,30144,COBB,65,7702186155,10/29/2014,,ben.harbour@daybreakvillage.com
,DAYES ADULT CARE CENTER,PERSONAL CARE HOME,1371 PIEDMONT ROAD,MARIETTA,GA,30066,COBB,10,7709712164,04/24/2013,Ms MARLENE GRAHAM,mmgraham@ymail.com
,"DAYSPRING PCH, THE",PERSONAL CARE HOME,5941 WILKERSON ROAD,REX,GA,30273,CLAYTON,3,6782841355,05/14/2004,Ms JUDY JACKSON,dayspringpch@gmail.com
,DECATUR CO PCH #35,PERSONAL CARE HOME,803 BOULEVARD,BAINBRIDGE,GA,39819,DECATUR,3,2292430738,03/18/2004,Ms CONNIE HARVEY,thampton@georgiapines.net
,DECATUR COUNTY PCH #31,PERSONAL CARE HOME,179 SASSER STORE ROAD,BAINBRIDGE,GA,39819,DECATUR,3,2292431828,04/20/2004,Ms CONNIE HARVEY,thampton@georgiapines.net
,DEDICATED HEARTS 2 PERSONAL CARE HOME,PERSONAL CARE HOME,702 B CLOUD STREET,DONALSONVILLE,GA,39845,SEMINOLE,4,2292051639,04/16/2019,Ms LINDA KING,kinglinda456@yahoo.com
,DEDICATED HEARTS PERSONAL CARE HOME,PERSONAL CARE HOME,702 CLOUD STREET,DONALSONVILLE,GA,39845,SEMINOLE,4,2092051639,04/16/2019,Ms LINDA KING,kinglinda456@yahoo.com
,DEDICATED PERSONAL CARE HOME,PERSONAL CARE HOME,2299 GOODRUM LANE,MARIETTA,GA,30066,COBB,3,7704246523,02/02/2011,,
,DEE KENNEDY SENIOR CARE,PERSONAL CARE HOME,1119 DEE KENNEDY ROAD,AUBURN,GA,30011,BARROW,5,6789635830,12/31/2019,Mr DANIEL STANCEA,d.kennedy.seniorcare@gmail.com
,"DELICATE HEARTS HOMECARE, LLC",PERSONAL CARE HOME,3426 GLENWOOD ROAD,DECATUR,GA,30032,DEKALB,3,4703504396,11/05/2020,Ms SHARISMA GEORGE,sharismaeight@gmail.com
,DELMAR GARDENS OF GWINNETT,ASSISTED LIVING COMMUNITY,3100 CLUB DRIVE,LAWRENCEVILLE,GA,30044,GWINNETT,100,7709233100,12/02/2016,Ms JENNIFER THILO,jthilo@delmargardens.com;
,DELMAR GARDENS OF SMYRNA,ASSISTED LIVING COMMUNITY,404 KING SPRINGS VILLAGE PKWY,SMYRNA,GA,30082,COBB,92,7704324444,11/15/2017,Ms DAWN ST FLEUR,dstfleur@delmargardens.com
,DELORES VILLA PERSONAL CARE HOME,PERSONAL CARE HOME,4858 WOLVERTON DRIVE,LITHONIA,GA,30038,DEKALB,6,7709818575,12/17/2013,Dr CAROL SHAW,
,DELTA HOUSE,PERSONAL CARE HOME,105 KIRKLAND ROAD,COVINGTON,GA,30016,NEWTON,6,7707874255,02/22/2017,,
,DENNIS & DILSIE LAWTON PERSONAL CARE HOME,PERSONAL CARE HOME,217 ST ANDREW STREET,SYLVANIA,GA,30467,SCREVEN,6,9125645938,01/24/2017,Ms KEISHA LAMPKIN,dazzy432@hotmail.com
,DESIREE'S PERSONAL CARE HOME,PERSONAL CARE HOME,3622 STURNIDAE DRIVE,AUGUSTA,GA,30906,RICHMOND,3,7069221186,02/02/2011,,
,DESTINY'S HOUSE OF HOPE,PERSONAL CARE HOME,803 HAWKINS STREET,AMERICUS,GA,31719,SUMTER,3,2294105142,07/11/2018,Mrs DOROTHY WILCHER,dorothywilcher4ever@gmail.com
,DESTINY'S PERSONAL CARE HOME,PERSONAL CARE HOME,1122 LAWYERS LANE,COLUMBUS,GA,31906,MUSCOGEE,6,7065873302,07/18/2017,Ms ROSIE JONES,blessedhealthcare@att.net
,"DEVINE PERSONAL CARE HOME, THE",PERSONAL CARE HOME,3110 HIGHGREEN TRAIL,COLLEGE PARK,GA,30349,FULTON,3,6787022646,01/26/2017,Ms SUMAIYAH RAHMAAN,sumaiyahtr@gmail.com
,DIAMOND GEM OASIS,PERSONAL CARE HOME,4625 BELLS FERRY ROAD,ACWORTH,GA,30102,COBB,3,6463469795,04/08/2021,Ms FLORISTINA BURKE-DAVIS,frburkedavis@aol.com
,DISCOVERY VILLAGE AT SUGARLOAF,PERSONAL CARE HOME,"1220 SATELLITE BLV, NW",SUWANEE,GA,30024,GWINNETT,110,7708847698,07/01/2021,,ismis@hudson-advisors.com
,DISTINCTIVELY YOURS,PERSONAL CARE HOME,8435 MAGNOLIA DRIVE,JONESBORO,GA,30238,CLAYTON,4,6787195920,03/13/2020,Ms CYNTHIA WARNER,cwarnernell58@gmail.com
,"DIVINE CHANGE RESIDENTIAL CARE, LLC",PERSONAL CARE HOME,1047 BUNKERHILL RD,COLUMBUS,GA,31907,MUSCOGEE,5,7062217204,03/19/2020,,DIVINECHANGE32@GMAIL.COM
,DIVINE MEADOWS,PERSONAL CARE HOME,2042 SWEETWATER CHURCH ROAD,DOUGLASVILLE,GA,30134,PAULDING,6,6784017101,05/21/2019,Mr EARNEST (TODD) SMALLWOOD,kswords49@gmail.com
,DIVINE PURPOSE AND PLAN #2,PERSONAL CARE HOME,933 RUTH DRIVE,HINESVILLE,GA,31313,LIBERTY,3,9123183691,09/09/2020,Ms EVERLYN PAIGE,divinepurpose.nolimits@yahoo.com
,DIVINE PURPOSE AND PLAN PERSONAL CARE HOME,PERSONAL CARE HOME,965 PINELAND AVENUE,HINESVILLE,GA,31313,LIBERTY,3,9125323728,04/07/2016,Ms EVERLYN PAIGE,divinepurpose.nolimits@yahoo.com
,"DIVINE TOUCH HEALTH SERVICES, LLC",PERSONAL CARE HOME,112 MORRISON STREET,WATKINSVILLE,GA,30677,OCONEE,6,7062488307,02/19/2021,,2015divinetouch@gmail.com
,DJW NATIONAL ENTERPRISE PERSONAL CARE HOME,PERSONAL CARE HOME,3397 SALEM ROAD,COVINGTON,GA,30016,NEWTON,3,6786835435,10/30/2020,,DJWNATIONALENTERPRISELLC@GMAIL.COM
,DOGWOOD BLUFF,PERSONAL CARE HOME,266 PONY LAKE LANE,DAHLONEGA,GA,30533,LUMPKIN,13,7705031731,07/14/2004,Ms CAROLYN BURGESS,cjbme4aday@yahoo.com
,DOGWOOD FOREST OF ACWORTH,ASSISTED LIVING COMMUNITY,4461 SOUTH MAIN STREET,ACWORTH,GA,30101,COBB,120,6788314999,11/29/2016,Ex DENISE RICHARDS,steve.blazejewski!pgim.com; sholyfield@holbrooklife.com
,DOGWOOD FOREST OF DUNWOODY,ASSISTED LIVING COMMUNITY,"7400 PEACHTREE DUNWOODY ROAD, NE",ATLANTA,GA,30328,FULTON,86,7703507833,04/13/2016,Ms DELTRA CLARK,struitt@holbrooklife.com
,DOGWOOD FOREST OF GRAYSON,ASSISTED LIVING COMMUNITY,1754 GRAYSON HIGHWAY,GRAYSON,GA,30017,GWINNETT,110,6784962319,07/17/2017,Mr BILL WINDSOR,grayson@dogwoodforest.com
,DOGWOOD GARDENS SENIOR LIVING,PERSONAL CARE HOME,1222 PLAZA DRIVE,EASTMAN,GA,31023,DODGE,24,4783743303,12/13/2005,Ms SUSAN COFFEE,susan@dogwoodgardens.net
,DOMINION PERSONAL CARE HOME,PERSONAL CARE HOME,3645-A CUSSETA ROAD,COLUMBUS,GA,31903,MUSCOGEE,9,7066878847,07/13/2006,Ms ANGELA ALLEN,mcmchurch@bellsouth.net
,DONNELLY HOUSE,PERSONAL CARE HOME,1928 MONTGOMERY CROSSROADS,SAVANNAH,GA,31406,CHATHAM,8,9123494832,01/01/2009,Ms JEANNETTE SIMMONS,
,DORSEY HOME,PERSONAL CARE HOME,6924 DORSEY DRIVE,COLUMBUS,GA,31907,MUSCOGEE,6,7062213754,03/25/2020,Ms DELORIS HINES,deloris.hines@ymail.com
,DOSTER MANOR SENIOR CARE HOME (THE),PERSONAL CARE HOME,1250 NICHOLSVILLE ROAD,MONROE,GA,30656,WALTON,13,6786350751,01/05/2017,Ms KELLEY BROWN,kelbrown0522@yahoo.com
,DREAM CATCHER FARM PCH,PERSONAL CARE HOME,286 FOUR POINTS ROAD,JACKSON,GA,30233,BUTTS,24,7707752794,12/10/2003,Ms MARGARET MCNAUGHT,
,DREAM CATCHER IN THE WOODS,PERSONAL CARE HOME,286 F0UR POINTS ROAD,JACKSON,GA,30233,BUTTS,24,7705049695,01/06/2003,Mr LOUIE WILLIAMSON,dreamfarm@bellsouth.net
,DREWS GARDEN PCH,PERSONAL CARE HOME,2092 RIVER RD,ELLENWOOD,GA,30294,CLAYTON,3,4042284567,05/14/2021,,drewsgardenspch@gmail.com
,DRY LAKE PERSONAL CARE HOME,PERSONAL CARE HOME,4829 DRY LAKE ROAD,DIXIE,GA,31629,BROOKS,6,2292639779,02/09/2005,Ms CLARA COBB,cobbclara58@gmail.com
,DUBLIN PLACE,PERSONAL CARE HOME,504 FIRETOWER ROAD,DUBLIN,GA,31021,LAURENS,60,4782754460,11/01/2016,Ms KATHRYN JONES,kjones2@enlivant.com
,DUNCAN MCRAE HOUSE,PERSONAL CARE HOME,129 RAILROAD AVENUE SOUTH,MOUNT VERNON,GA,30445,MONTGOMERY,22,9125832020,03/27/2003,Ms JIMMIE SUE SASSER,
,DUNWOODY PLACE PERSONAL CARE HOME,PERSONAL CARE HOME,1460 SOUTH JOHNSON FERRY ROAD,ATLANTA,GA,30319,DEKALB,133,4042527974,11/01/2018,Mr STEPHEN MILLER,kprokai@pegasusseniorliving.com
,DUTTON HOMES,PERSONAL CARE HOME,130 MOORE'S ROAD,MINERAL BLUFF,GA,30559,FANNIN,6,7063745142,04/28/2020,Ms BRITTANY PIERCE,MEALER1999@YAHOO.COM
,DUTTON HOMES II,PERSONAL CARE HOME,160 MOORE'S ROAD,MINERAL BLUFF,GA,30559,FANNIN,6,7063740466,04/28/2020,Ms SAMANTHA DUTTON,MEALER1999@YAHOO.COM
,"DUVALL, DON HOME",PERSONAL CARE HOME,2020 EAST RIVER ROAD,BAINBRIDGE,GA,39817,DECATUR,4,2292463704,04/28/2017,Ms PATRICIA MILLER,
,DYLON HOUSE LLC,PERSONAL CARE HOME,3304 6TH AVENUE,COLUMBUS,GA,31904,MUSCOGEE,3,7067183449,10/01/2019,Ms BRANDY KELLMAN,dylonhouse@gmail.com
,DYNAMIC PERSONAL CARE HOME,PERSONAL CARE HOME,3363 LUXEMBOURG CIRCLE,DECATUR,GA,30034,DEKALB,3,6786201170,11/13/2007,Ms AUDREY FIDDIS,
,E & E KARING HANDS PERSONAL CARE HOME,PERSONAL CARE HOME,3965 PUCKETTS ROAD,SNELLVILLE,GA,30039,GWINNETT,3,6786918725,02/02/2011,Ms EDRIS GREEN,edrislgreen@yahoo.com
,EAGLES LANDING SENIOR LIVING,ASSISTED LIVING COMMUNITY,475 COUNTRY CLUB DRIVE,STOCKBRIDGE,GA,30281,HENRY,81,7705075440,02/07/2017,,vcurl@trinitybelieves.com
,EAST COLUMBUS PERSONAL CARE HOME,PERSONAL CARE HOME,4725 JOSEPHINE ST,COLUMBUS,GA,31907,MUSCOGEE,5,7062211518,02/20/2014,Ms CAROLYN COOK,ccnick15@aol.com
,EASTSIDE,PERSONAL CARE HOME,1703 CONDUCTOR LANE,CONYERS,GA,30013,ROCKDALE,6,6784132290,08/10/2016,Ms JENNIFER HIBBARD,jennifer.hibbard@vphealth.org
,EASTSIDE GARDENS,PERSONAL CARE HOME,2078 SCENIC HIGHWAY NORTH,SNELLVILLE,GA,30078,GWINNETT,66,7709828012,01/01/2020,Mr JOHNNIE CHENEY,
,EASTWOOD GROUP HOME,PERSONAL CARE HOME,2877 EASTWOOD DRIVE,DECATUR,GA,30032,DEKALB,5,4042887811,05/14/2003,,
,EASY LIVING PCH,PERSONAL CARE HOME,2688 NUB GARLAND RD,TOCCOA,GA,30577,STEPHENS,14,7068861670,09/17/2004,Ms LADONNA FITZGERALD,
