Facility Name,Address,City,Phone Number,Capacity,Date Accessed,State Facility Type 1 Literal,State
"Living Spring Residential Care, Llc",1050 HEMLOCK DRIVE,Lewiston,208-743-2685,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Living Springs Assisted Living,1605 NORTH CATHERINE STREET,Post Falls,208-773-6145,14,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Lodge At Fairway Forest #1, The",3991 NORTH PLAYER AVENUE,Coeur D'Alene,208-457-3403,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Lodge At Riverside Harbor, The",52 NORTH CEDAR,Post Falls,208-661-8635,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Luna Assisted Living,601 BLAINE AVENUE,Nampa,208-509-2057,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Luther Park At Sandpoint, Llc",510 SOUTH OLIVE AVENUE,Sandpoint,208-265-3557,110,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Magic Valley Manor,210 NORTH IDAHO,Wendell,208-536-6623,37,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Malad Living Center/Rcf,151 WEST 200 NORTH,Malad,208-766-4724,23,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Maple Wood Assisted Living,10547 NORTH REED ROAD ,Hayden,208-691-9664,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Meadow Lake Village Retirement Resort - Owyhee Bldg,590 SOUTH ARBOR LANE,Meridian,208-319-5348,54,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Meadow View Assisted Living & Memory Care,1013 S. JOHNS AVE.,"Emmett, Id",208-365-1122,85,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Meadowlark Homes, Inc",701 + 709 WEST NORTH 2ND,Grangeville,208-983-3793,28,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Meadows Assisted Living Center,16 AIRPORT ROAD,Salmon,208-756-1043,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Meridian Meadows Assisted Living,2584 EAST MAGIC VIEW DRIVE,Meridian,208-506-5130,63,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Midland Manor,9 SOUTH MIDLAND BOULEVARD,Nampa,208-466-5175,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Morningstar Memory Care At Englefield Green,350 SOUTH ALLUMBAUGH WAY,Boise,208-322-1555,58,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Morningstar Of Boise,5850 NORTH FIVE MILE ROAD,Boise,208-429-6544,85,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Morningstar Of Idaho Falls,4000 SOUTH 25TH EAST,Idaho Falls,208-522-1591,122,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
New Beginnings Community Living Home,2105 AVOCET DRIVE,Idaho Falls,208-523-5371,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
North Star Retirement Community,2340 WEST SELTICE WAY,Coeur D'Alene,208-765-5505,56,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Northern Light Residential Care Facility,964 BLAKE STREET NORTH,Twin Falls,208-734-3537,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Oasis Shelter Home,501 SAND HOLLOW ROAD,Caldwell,208-459-2852,26,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Orchard Ridge Senior Living - Assisted,624 WEST HARRISON AVENUE,Coeur D'Alene,208-664-8119,69,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Overland Court Generations Memory Care,10172 WEST SMOKE RANCH DRIVE,Boise,208-322-0955,38,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Overland Court Senior Living,10250 WEST SMOKE RANCH DRIVE,Boise,208-322-2900,98,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Pacifica Senior Living Coeur D'Alene,840 EAST DALTON AVENUE,Coeur D'Alene,208-665-2100,56,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Pacifica Senior Living Pinehurst,208 SOUTH DIVISION STREET,Pinehurst,208-682-9170,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Palouse Hills Assisted Living,1401 NORTH POLK STREET,Moscow,208-882-3438,60,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Paramount Parks Health Care At Eagle, Llc",815 NORTH EAGLE ROAD,Eagle,208-939-9978,82,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Park Center Assisted Living Llc,1212 LONGMONT AVENUE,Boise,208-343-0832,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Park Place Assisted Living Community, Inc.",616 16TH AVENUE NORTH,Nampa,208-465-7275,65,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Park Place Assisted Living Of Boise,1777 SOUTH CURTIS ROAD,Boise,(208) 376-4191,90,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Parkwood Meadows Assisted Living Community,1885 PARKWOOD STREET,Idaho Falls,208-523-7800,62,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Parma Living Center, Inc",401 NORTH 8TH STREET,Parma,208-722-5496,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Peterson Place Assisted Living,1027 EAST HONEYSUCKLE AVENUE,Hayden,208-719-9405,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Pleasant Valley Shelter Home,1911 17TH AVENUE,Lewiston,208-743-0026,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Pomerelle Place,1301 BENNETT STREET,Burley,208-677-8212,45,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Poplar Grove Assisted Living,356 EAST CLEVELAND AVENUE,Glenns Ferry,208-366-2631,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Post Falls Ops, Llc, Dba Guardian Angel Homes",1070 EAST MULLAN AVENUE,Post Falls,208-777-7797,126,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Powerline Residential Care,930 SOUTH POWERLINE ROAD,Nampa,208-467-0030,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Prestige Assisted Living At Autumn Wind,200 WEST BEECH STREET,Caldwell,208-459-3335,105,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Prestige Senior Living At Karcher Estates,1127 CALDWELL BOULEVARD,Nampa,208-465-4935,43,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Quail Ridge Assisted Living,797 HOSPITAL WAY,Pocatello,208-233-8875,76,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"R & V Assisted Living, Inc.",903 11TH AVENUE SOUTH,Nampa,208-466-1311,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rampart Home Assisted Living,3824 NORTH RAMPART STREET,Boise,208-376-7290,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Regency Columbia Village, Llc",3521 EAST LAKE FOREST DRIVE,Boise,208-344-2954,60,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Rigby Country Living-Rural Assisted Living Facilities, Llc",4202 EAST 300 NORTH,Rigby,208-745-9096,23,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rigby Lake Assisted Living,470 RIGBY LAKE DRIVE ,Rigby,208-228-5073,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
River Rock Assisted Living,1063 BURLEY AVENUE,Buhl,208-543-5161,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Riviera Residential Care,924 RIVIERA DRIVE,Boise,208-333-8050,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rose Terrace Cottages,632 NORTH 21ST STREET,Coeur D'Alene,208-665-0580,40,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rose Terrace Country Homes,5672 WEST RHODE ISLAND,Spirit Lake,208-623-6154,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rosetta Of Burley,1919 HILAND AVENUE,Burley,208-677-5451,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rosetta Of Pocatello,1590 DELPHIC WAY,Pocatello,208-238-9215,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Rosetta Of Twin Falls,1177 EASTRIDGE COURT,Twin Falls,208-734-9422,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Royal Plaza Retirement Center,2870 JUNIPER DRIVE,Lewiston,208-746-2800,110,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Royal Villa,1713 CENTER AVENUE,Payette,208-642-9808,29,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Sage Grove Assisted Living,290 NORTH 4064 EAST,Rigby,208-745-6229,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Salubria Center-Upper Country Eldercare Coalition, Inc.",355 SOUTH JENNIFER STREET  ,Cambridge,208-257-4555,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Serenity Place Residential Care,1917 17TH AVENUE,Lewiston,208-743-5322,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Silver Wood Village Assisted Living,405 WEST 7TH STREET,Silverton,208-556-1147,14,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Silvercreek Assisted Living,31 EAST MCKERCHER BOULEVARD,Hailey,208-806-0160,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Spaulding Home, Llc",1709 W. SPAULDING ST. ,Boise,208-813-6279,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Ssa Viii, Llc Dba Generations At Lewiston",2421 VINEYARD AVENUE,Lewiston,208-743-6500,91,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Stonebridge Assisted Living,110 RIVER ROCK PLACE,Hagerman,208-837-4153,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Stonebridge Assisted Living Of Wendell,465 SHOSHONE STREET NORTH,Wendell,208-536-9953,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Streamside Alzheimer Care,1333 SOUTH EDGEWATER CIRCLE,Nampa,208-461-1172,24,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Streamside Assisted Living,1355 SOUTH EDGEWATER CIRCLE,Nampa,208-442-0097,100,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Sunny Ridge,2609 SUNNYBROOK DRIVE,Nampa,208-467-7298,22,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Sunset Home Assisted Living, Inc",510920 HIGHWAY 95,Bonners Ferry,208-267-0260,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Swan Falls Assisted Living,194 WEST WHITE WAY,Kuna,208-922-3536,63,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Syringa Place,1880 HARRISON STREET NORTH,Twin Falls,208-733-7511,45,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Tambree Meadows Assisted Living,3550 POTOMAC WAY,Idaho Falls,208-528-0467,44,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Teton Valley Residential Care Homes, Inc",9019 SOUTH 750 WEST,Victor,208-787-2861,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Bridge At Post Falls,515 NORTH GARDEN PLAZA COURT,Post Falls,208-777-3500,105,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Bridge At Valley View,1130 NORTH ALLUMBAUGH STREET,Boise,208-322-0311,65,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Cottages At Lochsa Falls,2146 + 2158 WEST EVEREST LANE ,Meridian ,208-229-9330,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Courtyard At Coeur D'Alene,2100 EAST SHERMAN AVENUE,Coeur D'Alene,208-765-8364,64,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Cove Of Cascadia,620 NORTH 6TH STREET,Bellevue,208-788-7180,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Homestead Senior Living,408 WEST MAIN STREET ,Rexburg,208-356-5656,60,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Princess,2085 AVOCET DRIVE,Idaho Falls,208-523-5371,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Renaissance At Coeur D'Alene,2772 WEST AVANTE LOOP,Coeur D'Alene,208-664-6116,80,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Terraces Of Boise,5301 EAST WARM SPRINGS AVENUE,Boise,208-336-5550,70,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
The Wildflower Of Rigby,130 AND 144 STOCKHAM BOULEVARD,Rigby,208-745-6930 or 208-745-6941,24,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"The Willows - Blackfoot Operations, Llc",898 SOUTH MERIDIAN,Blackfoot,208-782-1478,75,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Touchmark At Meadow Lake Village - Elkhorn Lodge,625 SOUTH ARBOR LANE,Meridian,208-888-2277,67,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Touchmark At Meadowlake Village,650 SOUTH ARBOR LANE,Meridian,208-319-5400,125,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Trinity At 1St Street,1353 WEST 1ST STREET,Meridian,208-898-8957,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Trinity At Lewis & Clark,12423 WEST LEWIS AND CLARK DRIVE,Boise,208-658-1642,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Trinity Home Living, Llc",1448 WEST CREST WOOD DRIVE,Meridian,208-321-4180,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Truewood By Merrill, Boise",2600 NORTH MILWAUKEE,Boise,208-373-1234,124,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Turtle And Crane Assisted Living,1950 1ST STREET,Idaho Falls,208-715-5500,48,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Unique Senior Care - Assisted Living,1639 BIRCH AVENUE,Lewiston,208-746-1077,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Valley Vista Cottage Care,820 ELM STREET,St. Maries,208-245-4576,20,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Veranda At Barber Station, Llc",3266 EAST BARBER VALLEY DRIVE,Boise,208-616-1150,100,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Veranda At Paramount,6280 NORTH FOX RUN WAY ,Meridian,208-639-0009,84,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Virginia Rose Resident Inn,2525 NORTH MAPLE GROVE ROAD,Boise,208-375-2564,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Wedgewood Terrace-Provident Resources Group, Inc",2114 VINEYARD AVENUE,Lewiston,208-743-4545,55,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Wellspring Meadows Assisted Living,9873 NORTH BUTTERCUP LANE,Hayden,208-762-9001,32,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Whispering Pines Assisted Living Center,351 E CENTER ST,Downey,208-897-5683,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Willard House, Inc",520 WILLARD,Pocatello,208-232-2610,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Willow Place Assisted Living,1871 JULIE LANE,Twin Falls,208-736-3727,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Woodland Assisted Living, Llc",19937-C US HIGHWAY 30,Buhl,208-543-9050,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
You'Re At Home,2811 NORTH RIDGE HAVEN WAY,Meridian,208-898-4663,6,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
