AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
11942763,4987,12/1/19,2/28/22,Assisted Living Facility,BRENTWOOD RETIREMENT COMMUNITY,1900 WEST ALPHA COURT,,LECANTO,FL,34461,Citrus,(352) 746-6611,1900 WEST ALPHA COURT,,LECANTO,FL,34461,Citrus,LICENSED,BRENTWOOD MEADOW HEALTH CARE ASSOCIATES  LLC,12/1/01,ALLEN R CURTIS,165,For-Profit,www.consulatehealthcare.com
11967857,11812,11/29/20,11/28/22,Assisted Living Facility,BRENTWOOD SENIOR LIVING AT ST PETE,6280 CENTRAL AVE,,SAINT PETERSBURG,FL,33707-1429,Pinellas,(727) 536-9900,6280 CENTRAL AVE,,SAINT PETERSBURG,FL,33707-1429,Pinellas,LICENSED,ST PETERSBURG OPERATOR  LLC,8/31/16,CHERYL DRIGGERS HYDE,240,For-Profit,www.elegance-living.com
11965603,9958,12/30/18,3/29/21,Assisted Living Facility,BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF ORLANDO (THE),3201 ROUSE ROAD,,ORLANDO,FL,32817,Orange,(407) 384-5858,3201 ROUSE ROAD,,ORLANDO,FL,32817,Orange,IN REVIEW,LIFE CARE CENTERS OF AMERICA  INC,12/12/00,KATRINA BEASLEY,114,For-Profit,www.lcca.com
11965229,9612,7/29/19,10/26/21,Assisted Living Facility,BRIDGE AT LIFE CARE CENTER OF OCALA (THE),2800 SW 41ST ST,,OCALA,FL,34474-4454,Marion,(352) 873-2036,2800 SW 41ST ST,,OCALA,FL,34474-4454,Marion,LICENSED,LIFE CARE CENTERS OF AMERICA  INC,5/27/99,LORI GOMILLION,95,For-Profit,www.Icca.com
11969691,13609,6/14/21,6/13/23,Assisted Living Facility,BRIDGEPOINTE ASSISTED LIVING FACILITY,16031 SW 61ST CT,,SOUTHWEST RANCHES,FL,33331,Broward,(954) 451-3939,16031 SW 61ST CT,,SOUTHWEST RANCHES,FL,33331,Broward,LICENSED,BRIDGEPOINTE ASSISTED LIVING FACILITY LLC,6/11/21,BRIDGETTE E SIMPO,6,For-Profit,
11968745,12579,2/3/21,2/2/23,Assisted Living Facility,BRIDGEPORT SENIOR LIVING - PORT CARDIFF LLC,125 N SPRING LAKE DR,,ALTAMONTE SPRINGS,FL,32714,Seminole,4078101344,1001 AVENIDA PICO STE C-490,,SAN CLEMENTE,CA,92673-6957,,LICENSED,BRIDGEPORT SENIOR LIVING-PORT CARDIFF LLC,10/20/14,ANNE DAVIS,6,For-Profit,www.bpseniorliving.com
11968915,12752,11/2/19,1/30/22,Assisted Living Facility,BRIDGEPORT SENIOR LIVING - PORT MARGATE LLC,906 SPRING VALLEY RD,,ALTAMONTE SPRINGS,FL,32714,Seminole,4078101344,1001 AVENIDA PICO STE C-490,,SAN CLEMENTE,CA,92673-6957,,LICENSED,BRIDGEPORT SENIOR LIVING - PORT MARGATE LLC,9/18/15,ASHLEY LEMIRE,6,For-Profit,www.bpseniorliving.com
11968616,12477,3/12/20,3/11/22,Assisted Living Facility,BRIDGEPORT SENIOR LIVING - PORT SPRINGS LLC,404 SPRING VALLEY RD,,ALTAMONTE SPRINGS,FL,32714,Seminole,4078101344,1001 AVENIDA PICO STE C490,,SAN CLEMENTE,CA,92673-6957,Orange,LICENSED,BRIDGEPORT SENIOR LIVING-PORT SPRINGS  LLC,2/10/14,ASHLEY LEMIRE,6,For-Profit,www.bpseniorliving.com
11968408,12280,2/5/21,2/4/23,Assisted Living Facility,BRIDGEPORT SENIOR LIVING LLC,8341 LAKE CROWELL CIR,,ORLANDO,FL,32836,Orange,(407) 810-1344,1001 AVENIDA PICO STE C-490,,SAN CLEMENTE,CA,92673-6957,,LICENSED,BRIDGEPORT SENIOR LIVING LLC,11/7/12,ANNE DAVIS,6,For-Profit,www.bpseniorliving.com
11968507,12372,4/2/21,9/18/21,Assisted Living Facility,BRIDGEPORT SENIOR LIVING-PORT ISLE LLC,3619 ROTHBURY DR,,BELLE ISLE,FL,32812,Orange,4078101344,1001 AVENIDA PICO STE C-490,,SAN CLEMENTE,CA,92673-6957,Orange,LICENSED,BRIDGEPORT SENIOR LIVING-PORT ISLE LLC,5/31/13,ANNE DAVIS,6,For-Profit,www.bpseniorliving.com
11969039,12851,9/12/20,9/11/22,Assisted Living Facility,BRIDGEPORT SENIOR LIVING-PORT MAITLAND LLC,955 STONEWOOD LN,,MAITLAND,FL,32751,Seminole,(407) 810-1344,1001 AVENIDA PICO STE C-490,,SAN CLEMENTE,CA,92673-6957,,LICENSED,BRIDGEPORT SENIOR LIVING - PORT MAITLAND  LLC,5/9/16,ASHLEY LEMIRE,6,For-Profit,www.bpseniorliving.com
11912099,7869,9/29/20,9/28/22,Assisted Living Facility,BRIDGEWATER AT WATERMAN VILLAGE (THE),500 WATERMAN AVENUE,,MOUNT DORA,FL,32757,Lake,(352) 383-0051,500 WATERMAN AVENUE,,MOUNT DORA,FL,32757,Lake,LICENSED,WATERMAN COMMUNITIES  INC.,4/30/97,RENEE UPSON,100,Not-For-Profit,www.watermanvillage.com
11969221,13108,12/20/19,3/19/22,Assisted Living Facility,BRIDGEWATER PARK ASSISTED LIVING,9174 SW 81ST CT,,OCALA,FL,34481,Marion,(352) 509-5202,1800 N WABASH RD,,MARION,IN,46952,,LICENSED,BRIDGEWATER PARK ASSISTED LIVING LLC,5/19/17,SARAH CHUMACK,134,For-Profit,
11964312,8900,4/15/21,10/15/21,Assisted Living Facility,BRIGHT HORIZONS OF CORAL SPRINGS  INC.,8664 NW 1ST ST,,CORAL SPRINGS,FL,33071-7508,Broward,(954) 340-4795,8664 NW 1ST STREET,,CORAL SPRINGS,FL,33071,Broward,PROVISIONAL,BH OF CORAL SPRINGS  LLC,4/15/21,YELENA KATANOVA,6,For-Profit,
11965847,10155,4/15/21,10/15/21,Assisted Living Facility,BRIGHT HORIZONS OF RAMBLEWOOD  INC.,8630 RAMBLEWOOD DRIVE,,CORAL SPRINGS,FL,33071,Broward,(954) 796-6084,8630 RAMBLEWOOD DR.,,CORAL SPRINGS,FL,33071,Broward,PROVISIONAL,BH OF RAMBLEWOOD  LLC,4/15/21,YELENA KATANOVA,6,For-Profit,southfloridaassistedliving.com
11966644,10808,2/1/21,7/31/22,Assisted Living Facility,BRIGHT YEARS LLC,7849 NW 200TH TER,,HIALEAH,FL,33015-6600,Miami-Dade,(305) 829-6701,7849 NW 200TH TER,,HIALEAH,FL,33015-6600,Miami-Dade,LICENSED,BRIGHT YEARS LLC,8/1/20,YUDAICY BRUZON PUPO,6,For-Profit,
11942705,8172,1/30/21,1/29/23,Assisted Living Facility,BRIGHTON GARDENS OF BOCA RATON,6347 VIA DE SONRISA DEL SUR,,BOCA RATON,FL,33433,Palm Beach,(561) 392-5940,7902 WESTPARK DRIVE,,MCLEAN,VA,22102,,LICENSED,WELLTOWER OPCO GROUP  LLC,11/1/18,KEVIN MITZNER,155,For-Profit,www.sunriseseniorliving.com
11967962,11948,5/26/21,11/25/21,Assisted Living Facility,BRIGHTSTAR ASSISTED LIVING LLC,1613 SW MERIDIAN AVE,,PORT SAINT LUCIE,FL,34953,St. Lucie,(772) 408-6675,1613 SW MERIDIAN AVE,,PORT SAINT LUCIE,FL,34953,St. Lucie,PROVISIONAL,BRIGHTSTAR ASSISTED LIVING LLC,5/26/21,ALESHIA HOWARD,5,For-Profit,
11969133,12974,2/24/19,5/24/21,Assisted Living Facility,BRILLIANCE ASSISTED LIVING,699 N DIXIE FREEWAY,,NEW SMYRNA BEACH,FL,32168,Volusia,(386) 576-7034,699 N DIXIE FREEWAY,,NEW SMYRNA BEACH,FL,32168,Volusia,IN REVIEW,BRILLIANCE LIVING CORPORATION,2/15/17,RINU ASWANI,53,For-Profit,brillianceassistedliving.com
11969565,13332,8/30/19,11/27/21,Assisted Living Facility,BRILLIANCE ASSISTED LIVING EDGEWATER,2010 RIDGEWOOD AVE,,EDGEWATER,FL,32141,Volusia,(386) 576-7034,2010 RIDGEWOOD AVE,,EDGEWATER,FL,32141,Volusia,LICENSED,Brilliance Living Corporation,7/24/19,MEGAN BELANGER,78,For-Profit,
11969862,13612,6/16/21,6/15/23,Assisted Living Facility,BRISAS DEL CARIBE ALF II,2205 SHERMONT PL,,BRANDON,FL,33511,Hillsborough,(813) 454-5891,2205 SHERMONT PL,,BRANDON,FL,33511,Hillsborough,LICENSED,BRISAS DEL CARIBE ALF INC,6/16/21,JOSE M CARRENO,6,For-Profit,
11969323,13123,2/1/20,5/1/22,Assisted Living Facility,BRISAS DEL CARIBE ALF INC,2203 SHERMONT PL,,BRANDON,FL,33511,Hillsborough,(813) 454-5891,2203 SHERMONT PLACE,,BRANDON,FL,33511,Hillsborough,LICENSED,BRISAS DEL CARIBE ALF INC,12/5/17,JOSE M CARRENO,6,For-Profit,
11968379,12287,4/11/21,2/13/21,Assisted Living Facility,BRISIANA MANOR ALF,16 ST LUCIE AVE,,SARASOTA,FL,34232,Sarasota,(941) 371-4091,16 ST LUCIE AVE,,SARASOTA,FL,34232,Sarasota,IN REVIEW,EXCELSIOR OMEGA INC,8/10/12,JACQUELINE DORELIEN,12,For-Profit,
11969554,13366,11/13/19,2/10/22,Assisted Living Facility,BRITO'S HOME 3 LLC,19059 NW 77TH PL,,MIAMI GARDENS,FL,33015,Miami-Dade,(786) 853-5569,19059 NW 77TH PL,,MIAMI GARDENS,FL,33015,Miami-Dade,LICENSED,Brito's Home #3 LLC,7/11/19,VIRGINIA BRITO,6,For-Profit,
11967979,11964,3/1/19,5/29/21,Assisted Living Facility,BRITO'S HOME CORPORATION,7361 PINE VALLEY DR,,HIALEAH,FL,33015-2228,Miami-Dade,(786) 853-5569,7361 PINE VALLEY DR,,HIALEAH,FL,33015-2228,Miami-Dade,IN REVIEW,BRITO'S HOME CORPORATION,11/3/10,VIRGINIA BRITO,6,For-Profit,
11969455,13263,1/18/19,4/17/21,Assisted Living Facility,BRITOS HOME II CORPORATION,8603 NW 192 LN,,MIAMI GARDENS,FL,33015,Miami-Dade,(786) 520-3166,8603 NW 192 LN,,MIAMI GARDENS,FL,33015,Miami-Dade,IN REVIEW,BRITO'S HOME II CORP,1/18/19,VIRGINIA BRITO,6,For-Profit,
11965370,9786,4/2/20,4/1/22,Assisted Living Facility,BROOKDALE ALTAMONTE SPRINGS,360 MONTGOMERY ROAD,,ALTAMONTE SPRINGS,FL,32714,Seminole,(407) 786-5637,360 MONTGOMERY ROAD,,ALTAMONTE SPRINGS,FL,32714,Seminole,LICENSED,BKD ALTAMONTE SPRINGS  LLC,2/28/18,DAVID H. WAYNE,115,For-Profit,brookdale.com
11964476,9013,5/19/19,8/16/21,Assisted Living Facility,BROOKDALE AVONDALE,4455 MERRIMAC AVENUE,,JACKSONVILLE,FL,32210,Duval,(904) 389-5959,4455 MERRIMAC AVENUE,,JACKSONVILLE,FL,32210,Duval,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,5/19/99,BARBARA MOREHOUSE,60,For-Profit,www.brookdale.com
11910005,7565,1/11/21,1/10/23,Assisted Living Facility,BROOKDALE BAYSHORE,4902 BAYSHORE BLVD,,TAMPA,FL,33611-3870,Hillsborough,(813) 835-4475,4902 BAYSHORE BOULEVARD,,TAMPA,FL,33611,Hillsborough,LICENSED,BLC TAMPA-GC  LLC,12/8/06,CAMILLE BROOKS,190,For-Profit,www.brookdale.com
11964709,9189,3/4/20,3/3/22,Assisted Living Facility,BROOKDALE BLUEWATER BAY,1551 MERCHANTS WAY,,NICEVILLE,FL,32578,Okaloosa,(850) 729-3323,1551 MERCHANTS WAY,,NICEVILLE,FL,32578,Okaloosa,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,3/4/98,BARBARA SCHEURER,50,For-Profit,WWW.BROOKDALE.COM
11964789,9322,8/1/19,10/29/21,Assisted Living Facility,BROOKDALE BONITA SPRINGS,26850 SOUTH BAY DRIVE,,BONITA SPRINGS,FL,34134,Lee,(239) 948-2600,26850 SOUTH BAY DR.,,BONITA SPRINGS,FL,34134,Lee,LICENSED,SUMMERVILLE 14  LLC,8/1/05,PATRICIA A DOYLE,160,For-Profit,www.brookdale.com
11963949,6528,6/17/19,9/14/21,Assisted Living Facility,BROOKDALE BRADENTON GARDENS,5612 26TH ST W,,BRADENTON,FL,34207-3515,Manatee,(941) 756-5571,5612 26TH ST W,,BRADENTON,FL,34207-3515,Manatee,LICENSED,EMERITUS CORPORATION,6/17/09,SHERRI PITZER,120,For-Profit,www.brookdale.com
11964969,9441,9/1/19,11/29/21,Assisted Living Facility,BROOKDALE CANOPY OAKS,9070 SW 80TH AVE,,OCALA,FL,34481-8905,Marion,(352) 861-4444,9070 SW 80TH AVE,,OCALA,FL,34481-8905,Marion,LICENSED,SUMMERVILLE AT OCALA WEST LLC,9/1/05,SHANE E. POTTER,120,For-Profit,www.brookdale.com
11964874,9358,12/21/20,12/20/22,Assisted Living Facility,BROOKDALE CAPE CORAL,1416 COUNTRY CLUB BLVD,,CAPE CORAL,FL,33990,Lee,(239) 573-7777,1416 COUNTRY CLUB BLVD,,CAPE CORAL,FL,33990,Lee,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,7/2/98,AMY JORDAN,50,For-Profit,www.brookdale.com
11964525,9057,9/30/19,12/28/21,Assisted Living Facility,BROOKDALE CENTRE POINTE BOULEVARD,1980 CENTRE POINTE BLVD.,,TALLAHASSEE,FL,32308,Leon,(850) 309-7500,1980 CENTRE POINTE BLVD.,,TALLAHASSEE,FL,32308,Leon,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,9/30/97,SHELLY SHAFFER,38,For-Profit,WWW.BROOKDALE.COM
11910267,5397,4/12/19,7/10/21,Assisted Living Facility,BROOKDALE CHAMBREL PINECASTLE,1801 SE 24TH RD,,OCALA,FL,34471-6073,Marion,(352) 368-7710,1801 SE 24TH RD,,OCALA,FL,34471-6073,Marion,LICENSED,CMCP-PINECASTLE LLC,5/1/02,TIMOTHY F SMITH,180,For-Profit,www.brookdale.com
11968732,12614,1/21/19,4/20/21,Assisted Living Facility,BROOKDALE CHAMBREL PINECASTLE,2950 SE 19TH AVE,,OCALA,FL,34471,Marion,(352) 368-7710,2950 SE 19TH AVE,,OCALA,FL,34471,Marion,IN REVIEW,CMCP-PINECASTLE LLC,9/24/14,ASHLEY D HENRY,26,For-Profit,www.brookdale.com
11963982,7439,3/4/20,9/25/21,Assisted Living Facility,BROOKDALE COLONIAL PARK,4730 BEE RIDGE ROAD,,SARASOTA,FL,34233,Sarasota,(941) 378-4414,4730 BEE RIDGE ROAD,,SARASOTA,FL,34233,Sarasota,LICENSED,EMERITUS CORPORATION,8/28/03,ROBERT DENNINGER,110,For-Profit,brookdale.com
11964810,9286,10/1/18,12/29/20,Assisted Living Facility,BROOKDALE CONWAY,5501 EAST MICHIGAN STREET,,ORLANDO,FL,32822,Orange,(407) 277-7225,5501 EAST MICHIGAN STREET,,ORLANDO,FL,32822,Orange,IN REVIEW,EMERITUS PROPERTIES NGH LLC,8/7/06,JEANNE WHARTON,103,For-Profit,WWW.BROOKDALE.COM
11964646,9133,1/3/20,4/2/22,Assisted Living Facility,BROOKDALE CROWN POINT,10050 OLD ST AUGUSTINE RD,,JACKSONVILLE,FL,32257,Duval,(904) 288-8700,10050 OLD ST AUGUSTINE RD,,JACKSONVILLE,FL,32257,Duval,LICENSED,ALS LEASING  INC,1/6/00,BRIAN KEITH GOTTAL,38,For-Profit,www.brookdale.com
11964897,9401,8/1/19,10/29/21,Assisted Living Facility,BROOKDALE DEER CREEK,2403 W HILLSBORO BLVD,,DEERFIELD BEACH,FL,33442-8507,Broward,(954) 426-3800,2403 W HILLSBORO BLVD,,DEERFIELD BEACH,FL,33442-8507,Broward,LICENSED,SUMMERVILLE 17  LLC,8/1/05,DEBIE BHARATH,168,For-Profit,www.brookdale.com
11911906,8556,11/28/19,2/25/22,Assisted Living Facility,BROOKDALE DEER CREEK SARASOTA,8450 MCINTOSH ROAD,,SARASOTA,FL,34238,Sarasota,(941) 927-7600,8450 MCINTOSH ROAD,,SARASOTA,FL,34238,Sarasota,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,8/2/05,KURT WEBER,38,For-Profit,
11964490,9032,5/19/21,11/18/21,Assisted Living Facility,BROOKDALE DELAND,1210 NORTH STONE STREET,,DELAND,FL,32724,Volusia,(386) 736-8100,1210 NORTH STONE STREET,,DELAND,FL,32724,Volusia,PROVISIONAL,BKD STERLING HOUSE OF DELAND  LLC,5/19/21,CHERYL WELCH,89,For-Profit,www.brookdale.com
11953460,7769,9/20/18,12/18/20,Assisted Living Facility,BROOKDALE DESTIN,2400 CRYSTAL COVE LANE,,DESTIN,FL,32541,Walton,(850) 267-1600,2400 CRYSTAL COVE LANE,,DESTIN,FL,32541,Walton,IN REVIEW,BLC CRYSTAL BAY  LLC,4/10/06,AMY KEISTLER,130,For-Profit,www.brookdale.com
11965138,9566,3/1/20,2/28/22,Assisted Living Facility,BROOKDALE DR PHILLIPS AL,8001 PIN OAK DRIVE,,ORLANDO,FL,32819,Orange,(407) 903-1808,8001 PIN OAK DRIVE,,ORLANDO,FL,32819,Orange,LICENSED,BROOKDALE MANAGEMENT OF FLORIDA PO LLC,2/28/06,NANCY BARBEE,80,For-Profit,WWW.BROOKDALE.COM
11964948,9453,2/28/20,2/27/22,Assisted Living Facility,BROOKDALE DR PHILLIPS MC,8015 PIN OAK DR,,ORLANDO,FL,32819-7108,Orange,(407) 363-4511,8015 PIN OAK DR.,,ORLANDO,FL,32819-7108,Orange,LICENSED,BROOKDALE MANAGEMENT OF FLORIDA PO LLC,2/28/06,NANCY BARBEE,40,For-Profit,www.brookdale.com
11965026,9430,4/6/20,4/5/22,Assisted Living Facility,BROOKDALE FORT MYERS CYPRESS LAKE,7460 LAKE BREEZE DRIVE,,FORT MYERS,FL,33919,Lee,(239) 454-4100,7460 LAKE BREEZE DRIVE,,FORT MYERS,FL,33919,Lee,LICENSED,EMERITUS CORPORATION,4/6/04,DARA FISHNICK,190,For-Profit,brookdale.com
11964663,9183,2/11/20,5/11/22,Assisted Living Facility,BROOKDALE FORT MYERS LAKES PARK,14521 LAKEWOOD BLVD,,FORT MYERS,FL,33919,Lee,(239) 481-6666,14521 LAKEWOOD BLVD,,FORT MYERS,FL,33919,Lee,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,1/30/99,KAREN BLACKWELL,60,For-Profit,www.brookdale.com
11964197,8817,9/20/19,12/18/21,Assisted Living Facility,BROOKDALE FORT MYERS THE COLONY,13565 AMERICAN COLONY BLVD,,FORT MYERS,FL,33912,Lee,(239) 561-2463,13565 AMERICAN COLONY BLVD,,FORT MYERS,FL,33912,Lee,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,7/9/11,CELESTE HOLT,38,For-Profit,www.brookdale.com
11965531,9903,5/3/20,7/31/22,Assisted Living Facility,BROOKDALE FORT WALTON BEACH,233 CARMEL DRIVE,,FORT WALTON BEACH,FL,32547,Okaloosa,(850) 864-4600,233 CARMEL DRIVE,,FORT WALTON BEACH,FL,32547,Okaloosa,LICENSED,BLC WELLINGTON - FORT WALTON BEACH  LLC,5/9/08,TIFFANY PERRYMAN,56,For-Profit,www.brookdale.com
11964708,9181,2/26/20,5/26/22,Assisted Living Facility,BROOKDALE HERMITAGE BOULEVARD,1780 HERMITAGE BOULEVARD,,TALLAHASSEE,FL,32308,Leon,(850) 422-3397,1780 HERMITAGE BOULEVARD,,TALLAHASSEE,FL,32308,Leon,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,3/6/00,LAURIE J JORDAN,60,For-Profit,www.brookdale.com
11965713,10064,12/19/20,12/18/22,Assisted Living Facility,BROOKDALE HIGHLANDS,4250 LAKELAND HIGHLANDS RD,,LAKELAND,FL,33813,Polk,(863) 701-7820,4250 LAKELAND HIGHLANDS RD,,LAKELAND,FL,33813,Polk,LICENSED,AHC SOUTHLAND-LAKELAND  LLC,6/20/06,SCOTT SMITH,105,For-Profit,www.brookdale.com
11964787,9294,8/1/19,10/29/21,Assisted Living Facility,BROOKDALE JENSEN BEACH,1700 NE INDIAN RIVER DR,,JENSEN BEACH,FL,34957-5853,Martin,(772) 225-1355,1700 NE INDIAN RIVER DR,,JENSEN BEACH,FL,34957-5853,Martin,LICENSED,SUMMERVILLE 16  LLC,8/1/05,KATHERINE DONIGAN,165,For-Profit,www.brookdale.com
11965818,10162,12/1/18,2/28/21,Assisted Living Facility,BROOKDALE LAKE MARY,150 MIDDLE STREET,,LAKE MARY,FL,32746,Seminole,(407) 321-7550,150 MIDDLE STREET,,LAKE MARY,FL,32746,Seminole,IN REVIEW,SUMMERVILLE 3  LLC,12/1/04,MICHELLE GRAY,92,For-Profit,www.brookdale.com
11965424,9795,2/13/20,3/15/20,Assisted Living Facility,BROOKDALE LAKE ORIENTA,217 BOSTON AVENUE,,ALTAMONTE SPRINGS,FL,32701,Seminole,(407) 260-2345,217 BOSTON AVENUE,,ALTAMONTE SPRINGS,FL,32701,Seminole,IN REVIEW,BKD LAKE ORIENTA  LLC,2/28/18,RACHEL CHRISTIAN,170,For-Profit,brookdale.com
11953298,5129,5/1/20,7/29/22,Assisted Living Facility,BROOKDALE LAKE TAVARES,1211 E CAROLINE ST,,TAVARES,FL,32778-3460,Lake,(352) 343-6464,1211 E CAROLINE ST,,TAVARES,FL,32778-3460,Lake,LICENSED,BLC TAVARES GC LLC,2/20/04,AMANDA WATERSTRADT,110,For-Profit,www.brookdale.com
11964069,8789,9/1/19,11/29/21,Assisted Living Facility,BROOKDALE MANDARIN,10790 OLD ST AUGUSTINE RD,,JACKSONVILLE,FL,32257,Duval,(904) 260-0800,10790 OLD ST AUGUSTINE RD,,JACKSONVILLE,FL,32257,Duval,LICENSED,SUMMERVILLE AT MANDARIN LLC,7/28/15,CHRISTI HALL,170,For-Profit,www.brookdale.com
11964271,8868,2/17/20,5/17/22,Assisted Living Facility,BROOKDALE MANDARIN CENTRAL,10875 OLD ST AUGUSTINE RD,,JACKSONVILLE,FL,32257,Duval,(904) 880-4040,10875 ST AUGUSTINE RD,,JACKSONVILLE,FL,32257,Duval,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,2/17/00,KATRINA WILLIAMS,60,For-Profit,www.brookdale.com
11964946,9396,12/30/20,12/29/22,Assisted Living Facility,BROOKDALE MELBOURNE,1765 WEST HIBISCUS BLVD,,MELBOURNE,FL,32901,Brevard,(321) 733-7111,1765 WEST HIBISCUS BLVD,,MELBOURNE,FL,32901,Brevard,LICENSED,EMERITUS PROPERTIES NGH LLC,8/7/06,AMANDA LEWETZKI,102,For-Profit,www.brookdale.com
11910258,6024,3/18/21,3/17/23,Assisted Living Facility,BROOKDALE NEW PORT RICHEY,6400 TROUBLE CREEK RD,,NEW PRT RCHY,FL,34653-5248,Pasco,(727) 847-2980,6400 TROUBLE CREEK RD,,NEW PRT RCHY,FL,34653-5248,Pasco,LICENSED,ESC-NEW PORT RICHEY LLC,10/18/10,MICHELE CAPURSO,242,For-Profit,www.brookdale.com
11965027,9471,9/1/19,11/29/21,Assisted Living Facility,BROOKDALE NORTH NAPLES,1710 SW HEALTH PARKWAY,,NAPLES,FL,34109,Collier,(239) 598-1213,1710 SW HEALTH PKWY,,NAPLES,FL,34109-0442,Collier,LICENSED,EMERITUS CORPORATION,7/2/13,LINDA JEAN CINCO,150,For-Profit,www.brookdale.com
11964980,9423,12/30/20,12/29/22,Assisted Living Facility,BROOKDALE ORANGE PARK,1248 KINGSLEY AVENUE,,ORANGE PARK,FL,32073,Clay,(904) 264-0207,1248 KINGSLEY AVE,,ORANGE PARK,FL,32073-4699,Clay,LICENSED,EMERITUS PROPERTIES V  INC.,10/1/02,STEPHANIE MULLER,102,For-Profit,www.brookdale.com
11964693,9192,9/4/20,9/3/22,Assisted Living Facility,BROOKDALE ORMOND BEACH,550 WILMETTE AVENUE,,ORMOND BEACH,FL,32174,Volusia,(386) 677-0782,550 WILMETTE AVENUE,,ORMOND BEACH,FL,32174,Volusia,LICENSED,AHC SOUTHLAND-ORMOND BEACH  LLC,6/6/06,KERRY HEDDEN,70,For-Profit,brookdale.com
11964515,9064,9/30/19,12/28/21,Assisted Living Facility,BROOKDALE ORMOND BEACH WEST,240 INTERCHANGE BLVD,,ORMOND BEACH,FL,32174,Volusia,(386) 672-8800,240 INTERCHANGE BLVD,,ORMOND BEACH,FL,32174,Volusia,LICENSED,ASSISTED LIVING PROPERTIES  INC,9/30/99,TODD REGISTER,60,For-Profit,www.brookdale.com
11911441,7428,9/1/19,11/29/21,Assisted Living Facility,BROOKDALE PADDOCK HILLS,1601 SE 24TH RD,,OCALA,FL,34471-6003,Marion,(352) 622-9696,1601 SE 24TH RD,,OCALA,FL,34471-6003,Marion,LICENSED,SUMMERVILLE AT OCALA EAST LLC,9/1/05,DANIELLE POTTER,120,For-Profit,www.brookdale.com
11912077,7375,4/2/20,4/1/22,Assisted Living Facility,BROOKDALE PALM BEACH GARDENS,11381 PROSPERITY FARMS RD,,PALM BCH GDNS,FL,33410-3403,Palm Beach,(561) 694-9709,11381 PROSPERITY FARMS RD,,PALM BCH GDNS,FL,33410-3403,Palm Beach,LICENSED,BKD PALM BEACH GARDENS  LLC,4/2/18,KAITLYN MULBERRY OTERI,155,For-Profit,www.brookdale.com
11964642,9151,1/23/20,4/22/22,Assisted Living Facility,BROOKDALE PALM COAST,3 CLUB HOUSE DRIVE,,PALM COAST,FL,32137,Flagler,(386) 447-3333,3 CLUB HOUSE DRIVE,,PALM COAST,FL,32137,Flagler,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,1/23/00,KRISTINA J PROTO,60,For-Profit,www.brookdale.com
11910048,4712,1/11/21,1/10/23,Assisted Living Facility,BROOKDALE PALMA SOLA,450 67TH ST W,,BRADENTON,FL,34209-2380,Manatee,(941) 794-5657,450 67TH ST W,,BRADENTON,FL,34209-2380,Manatee,LICENSED,EMERIVENT BRADENTON LLC,1/11/21,DIANE L GELARDI,160,For-Profit,www.brookdale.com
11965335,9737,12/1/18,2/28/21,Assisted Living Facility,BROOKDALE PALMER RANCH,5111 PALMER RANCH PARKWAY,,SARASOTA,FL,34238,Sarasota,(941) 926-1966,5111 PALMER RANCH PARKWAY,,SARASOTA,FL,34238,Sarasota,IN REVIEW,BREA PALMER RANCH  LLC,12/1/06,ANNE MARICHAL,118,For-Profit,www.brookdale.com
11964794,9293,10/6/20,10/5/22,Assisted Living Facility,BROOKDALE PANAMA CITY,2575 HARRISON AVENUE,,PANAMA CITY,FL,32405,Bay,(850) 872-8484,2575 HARRISON AVENUE,,PANAMA CITY,FL,32405,Bay,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,8/4/06,DEBRA J CREMERS,50,For-Profit,www.brookdale.com
11964959,9354,12/13/20,12/12/22,Assisted Living Facility,BROOKDALE PENSACOLA,8700 UNIVERSITY PARKWAY,,PENSACOLA,FL,32514,Escambia,(850) 484-9500,8700 UNIVERSITY PARKWAY,,PENSACOLA,FL,32514,Escambia,LICENSED,BROOKDALE SENIOR LIVING COMMUNITIES  INC.,9/15/98,JENNIFER HODSON,60,For-Profit,www.brookdale.com
