Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
RUBLE RANCH,-,B070004,Home Plus,509 WESTERN HEIGHTS,OVERBROOK,OSAGE,KS,66524,DENISE HOBACK,Inspection Results and Facility Details,785-224-3453
SENIORCARE HOMES NANTUCKET HOUSE,-,B046045,Home Plus,15100 ENGLAND ST,OVERLAND PARK,JOHNSON,KS,66221,JERALD L PULLINS JR,Inspection Results and Facility Details,913-236-0036
SENIORCARE HOMES NEWPORT HOUSE,-,B046042,Home Plus,10301 SAGAMORE ROAD,LEAWOOD,JOHNSON,KS,66206,JERALD L. PULLINS JR.,Inspection Results and Facility Details,913-236-0036
SENIORCARE HOMES TED HERSEY HOUSE,-,B046063,Home Plus,10419 LEE BLVD.,LEAWOOD,JOHNSON,KS,66206,JERALD PULLINS JR,Inspection Results and Facility Details,913-236-0036
SENIORCARE HOMES VINEYARD HOUSE,-,B046054,Home Plus,7611 W 98TH TERRACE,OVERLAND PARK,JOHNSON,KS,66212,MATTHEW WHITE,Inspection Results and Facility Details,913-907-9468
SENIORCARE HOMES WAVENY PARK HOUSE,-,B046040,Home Plus,6918 W 68TH ST,OVERLAND PARK,JOHNSON,KS,66204-,JERALD L PULLINS JR,Inspection Results and Facility Details,913-236-0036
SERENITY SENIOR CARE LLC,-,B023022,Home Plus,1126 HILLTOP DR,LAWRENCE,DOUGLAS,KS,66044,CHERRY BOLDEN,Inspection Results and Facility Details,785-393-2689
SHAWNEE HEALTH AND REHAB LLC,THE COTTAGES AT SHAWNEE,B046069,Home Plus,13509 W 67TH STREET,SHAWNEE,JOHNSON,KS,66216,CONNOR PHILLIPS,Inspection Results and Facility Details,913-268-2956
SLCG HOISINGTON LLC,COUNTRY PLACE MEMORY CARE OF HOISINGTON,B005002,Home Plus,520 N VINE STREET,HOISINGTON,BARTON,KS,67544-2014,JESSICA BAZE,Inspection Results and Facility Details,620-653-4121
SOUTH WIND HOME,-,B076002,Home Plus,496 YUCCA LANE,PRATT,PRATT,KS,67124-3457,LOYCE COVEY,Inspection Results and Facility Details,620-933-2060
SPARKLING FOUNTAIN OF LOVE ADULT CARE HOMES LLC,SPARKLING FOUNTAIN HOMES,B046068,Home Plus,8525 SWITZER RD,OVERLAND PARK,JOHNSON,KS,66214,MOSES KAMANDE,Inspection Results and Facility Details,913-963-6890
STAR LIVING LLC,-,B023018,Home Plus,3911 W 13TH STREET,LAWRENCE,DOUGLAS,KS,66049,FAITH W. GATHUNGURI,Inspection Results and Facility Details,785-691-8803
STRATFORD HOME,-,B087184,Home Plus,1425 N. STRATFORD LANE,WICHITA,SEDGWICK,KS,67206,BRANDI BUNYAN,Inspection Results and Facility Details,316-425-5509
SUNFLOWER CARE HOMES LLC,DELANE HOUSE,B056002,Home Plus,2301 DELANE DR,EMPORIA,LYON,KS,66801,CLINT ARNDT,Inspection Results and Facility Details,620-208-6670
SUNFLOWER CARE HOMES LLC,-,B056001,Home Plus,424 MARKET ST,EMPORIA,LYON,KS,66801,CHARISSE ARNDT,Inspection Results and Facility Details,620-794-1945
TAMMY THE PRO LLC,-,B089073,Home Plus,4304 SW 17TH STREET,TOPEKA,SHAWNEE,KS,66604,TAMMY GONZALEZ,Inspection Results and Facility Details,785-783-8398
THE BOGART HOUSE LLC I,-,B089072,Home Plus,1902 SW LANE ST,TOPEKA,SHAWNEE,KS,66604-,JUSTIN D BOGART,Inspection Results and Facility Details,785-383-1152
THE BOGART HOUSE LLC II,-,B089080,Home Plus,3535 SW 6TH ST,TOPEKA,SHAWNEE,KS,66606,JUSTIN BOGART,Inspection Results and Facility Details,785-969-3536
THE FIELDS OF BROOKSIDE RETIREMENT COMMUNITY,-,B070002,Home Plus,402 ASH ST,OVERBROOK,OSAGE,KS,66524,DENISE HOBACK,Inspection Results and Facility Details,785-224-9488
THE LIGHTHOUSE,-,B058003,Home Plus,1189 HWY 77,MARYSVILLE,MARSHALL,KS,66508,MANDY HABIG,Inspection Results and Facility Details,785-562-7980
THE PINES INC,-,B043003,Home Plus,725 IOWA AVENUE,HOLTON,JACKSON,KS,66436,NIKKI L RINKES,Inspection Results and Facility Details,785-364-3314
THE PINES OF HIAWATHA SOUTH,-,B007004,Home Plus,1480 230TH ST,HIAWATHA,BROWN,KS,66434,HEIDI VOIGTS,Inspection Results and Facility Details,785-740-7463
THE PINES SOUTH,-,B043004,Home Plus,14005 214TH ROAD,HOLTON,JACKSON,KS,66436-8183,NIKKI RINKES,Inspection Results and Facility Details,785-364-0106
THE PRAIRIE ELDER HOMES,-,B046056,Home Plus,15354 QUIVIRA,OVERLAND PARK,JOHNSON,KS,66223,MICHALA GIBSON,Inspection Results and Facility Details,913-257-5425
THE PRAIRIE FARMSTEAD EAST,-,B046064,Home Plus,12441 W. 151ST STREET,OVERLAND PARK,JOHNSON,KS,66221,MICHALA GIBSON,Inspection Results and Facility Details,913-257-5425
THE PRAIRIE FARMSTEAD WEST,-,B046065,Home Plus,12481 W. 151ST STREET,OVERLAND PARK,JOHNSON,KS,66221,SUSAN FRANKEN,Inspection Results and Facility Details,913-257-5425
THE WILLOW HOUSE,-,B026002,Home Plus,2900 WILLOW STREET,HAYS,ELLIS,KS,67601,SHAYNE UNSWORTH,Inspection Results and Facility Details,785-621-4959
TOPCARE HOME PLUS LLC,-,B046075,Home Plus,20687 W 125TH CT,OLATHE,JOHNSON,KS,66061,VIRGINIA KARANU,Inspection Results and Facility Details,908-938-9793
TRUSTING HANDS CARE HOME LLC,-,B087253,Home Plus,303 N TYLER,WICHITA,SEDGWICK,KS,67212,LIANE GILLESPIE,Inspection Results and Facility Details,316-650-7582
TWO TIMBERS LLC,-,B022001,Home Plus,101 EAST VIRGINIA STREET,HIGHLAND,DONIPHAN,KS,66035,PAMELA TWOMBLY,Inspection Results and Facility Details,785-442-4444
ULTRA CARE HOME PLUS,-,B087220,Home Plus,11537 E. HARRY STREET,WICHITA,SEDGWICK,KS,67207,TOLULOPE KADIRI,Inspection Results and Facility Details,316-990-5476
ULTRA CARE HOME PLUS LLC 2,-,B087234,Home Plus,2355 S BEDFORD ST,WICHITA,SEDGWICK,KS,67207,TOLULOPE KADIRI,Inspection Results and Facility Details,316-990-5476
ULTRA CARE HOME PLUS LLC 3,-,B087254,Home Plus,1532 S CREEKSIDE CT,WICHITA,SEDGWICK,KS,67230,TOLULOPE KADIRI,Inspection Results and Facility Details,316-990-5476
UNIFIED CARE HOME INC,-,B087237,Home Plus,5705 E ROCKHILL,WICHITA,SEDGWICK,KS,67208,SADIQ NKRUMBIH,Inspection Results and Facility Details,316-558-3605
UNITED METHODIST HOME INC,ALDERSGATE VILLAGE,N089068,Assisted Living FacilityHome PlusAdult Day Care,7220 SW ASBURY DR,TOPEKA,SHAWNEE,KS,66614,CARL NOYES,Inspection Results and Facility Details,785-478-9440
WELLSPRINGS OF GARDEN PLAIN,-,B087185,Home Plus,101 W AVENUE C,GARDEN PLAIN,SEDGWICK,KS,67050,MEGAN MANESS,Inspection Results and Facility Details,316-867-4111
WELLSPRINGS OF WICHITA #2,-,B087236,Home Plus,6403 E MARJORIE LN,WICHITA,SEDGWICK,KS,67206,MEGAN MANESS,Inspection Results and Facility Details,316-390-3816
WELLSPRINGS OF WICHITA LLC,-,B087137,Home Plus,6311 E MARJORIE ST,WICHITA,SEDGWICK,KS,67208-,MEGAN MANESS,Inspection Results and Facility Details,316-867-4111
WHEAT HAVEN HOME LLC,-,B077001,Home Plus,304 MARION AVE,MCDONALD,RAWLINS,KS,67745,EILEEN PORUBSKY,Inspection Results and Facility Details,785-899-9009
WILLOW,-,B022002,Home Plus,2125 HWY 36,WATHENA,DONIPHAN,KS,66090,AMY HARTMAN,Inspection Results and Facility Details,816-244-9233
WINTER MEADOW HOMES I,-,B089070,Home Plus,2832 SW MULVANE ST,TOPEKA,SHAWNEE,KS,66611-1626,BEN BOXX,Inspection Results and Facility Details,785-234-2989
WINTER MEADOW HOMES OF CARBONDALE,-,B070003,Home Plus,13450 S. TOPEKA AVENUE,CARBONDALE,OSAGE,KS,66414-9301,BEN BOXX,Inspection Results and Facility Details,785-836-7113
