Licensee,Facility Name 2,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zipcode,Phone Number
SUNRISE ASSISTED LIVING OF LENEXA,-,N046071,Assisted Living Facility Residential Health Care Facility,15055 W. 87TH STREET PARKWAY,LENEXA,JOHNSON,KS,66215,913-307-0665
SUNRISE ASSISTED LIVING OF OVERLAND PARK,-,N046074,Assisted Living Facility Residential Health Care Facility,12500 W. 135TH STREET,OVERLAND PARK,JOHNSON,KS,66221,913-685-3340
SUNSET HOME INC,-,N015006,Nursing Facility Assisted Living Facility Residential Health Care Facility,620 2ND AVENUE,CONCORDIA,CLOUD,KS,66901-2727,785-243-2720
TALLGRASS CREEK INC,-,N046088,Nursing Facility Residential Health Care Facility Assisted Living Facility,13760 METCALF AVENUE,OVERLAND PARK,JOHNSON,KS,66223,913-945-2004
THE CEDARS,-,N059009,Nursing Facility Assisted Living Facility,1021 CEDARS DR,MCPHERSON,MCPHERSON,KS,67460-2735,620-241-0919
THE HOMESTEAD OF AUBURN,-,N089042,Assisted Living Facility,280 E VALLEY SPRINGS DR,AUBURN,SHAWNEE,KS,66402-,785-256-7100
THE HOMESTEAD OF GARDEN CITY,-,N028003,Assisted Living Facility,2414 N HENDERSON DR,GARDEN CITY,FINNEY,KS,67846-,620-272-9800
THE HOMESTEAD OF HALSTEAD,-,N040008,Assisted Living Facility,715 W 6TH ST,HALSTEAD,HARVEY,KS,67056-,316-830-2424
THE HOMESTEAD OF LEAVENWORTH,-,N052006,Assisted Living Facility,5150 HUGHES RD,LEAVENWORTH,LEAVENWORTH,KS,66048-5022,913-727-9600
THE HOMESTEAD OF LEAWOOD,-,N046039,Assisted Living Facility,12720 STATELINE RD,LEAWOOD,JOHNSON,KS,66209-1619,913-663-3351
THE HOMESTEAD OF LENEXA,-,N046043,Assisted Living Facility,8740 CAENEN LAKE RD,LENEXA,JOHNSON,KS,66215-,913-894-0014
THE HOMESTEAD OF MANHATTAN,-,N081006,Assisted Living Facility,1923 LITTLE KITTEN AVE,MANHATTAN,RILEY,KS,66502-7545,785-776-1772
THE HOMESTEAD OF OLATHE NORTH,-,N046040,Assisted Living Facility,791 N SOMERSET TERRACE,OLATHE,JOHNSON,KS,66062,913-829-1403
THE HOMESTEAD OF OLATHE SOUTH,-,N046038,Assisted Living Facility,751 N SOMERSET TERR,OLATHE,JOHNSON,KS,66062-5450,913-829-4663
THE HOMESTEAD OF TOPEKA,-,N089035,Assisted Living Facility,5820 SW DRURY LN,TOPEKA,SHAWNEE,KS,66604-2262,785-272-2200
THE HOMESTEAD OF WICHITA,-,N087042,Assisted Living Facility,12221 W. MAPLE STREET,WICHITA,SEDGWICK,KS,67235,316-729-2400
THE MAPLETON ANDOVER,-,N008013,Assisted Living Facility,1419 W. CENTRAL,ANDOVER,BUTLER,KS,67002,316-530-1253
THE MEADOWS,-,N016003,Assisted Living Facility,1201 MARTINDALE ST,BURLINGTON,COFFEY,KS,66839-2400,620-364-8861
THE OXFORD GRAND,-,N087075,Assisted Living Facility,3051 N. PARKDALE CIRCLE,WICHITA,SEDGWICK,KS,67205,316-927-2007
THE PLAZA HEALTH SERVICES AT SANTA MARTA,-,N046075,Nursing Facility Assisted Living Facility Residential Health Care Facility,13875 W. 115TH TERRACE,OLATHE,JOHNSON,KS,66062-7833,913-906-0990
THE SHERIDAN AT OVERLAND PARK,-,N046102,Assisted Living Facility Residential Health Care Facility,10300 INDIAN CREEK PARKWAY,OVERLAND PARK,JOHNSON,KS,66210,913-232-8232
THE WINDSOR OF LAWRENCE,-,N023017,Assisted Living Facility,3220 PETERSON RD,LAWRENCE,DOUGLAS,KS,66049-1942,785-832-9900
TOP CITY HEALTHCARE INC,THE HEALTHCARE RESORT OF TOPEKA,N089065,Nursing Facility Assisted Living Facility,6300 SW 6TH AVENUE,TOPEKA,SHAWNEE,KS,66615,785-272-2124
TREGO LEMKE ASSISTED LIVING,-,N098002,Assisted Living Facility,303 N 14TH ST,WAKEENEY,TREGO,KS,67672 2002,785-743-2182
TWIN OAKS ASSISTED LIVING,-,N052007,Assisted Living Facility,657 EISENHOWER,LANSING,LEAVENWORTH,KS,66043-1913,913-727-6100
TWO TRAILS HEALTHCARE INC,THE HEALTHCARE RESORT OF OLATHE,N046092,Nursing Facility Assisted Living Facility,21250 W 151ST STREET,OLATHE,JOHNSON,KS,66061-0768,913-390-0444
VIA CHRISTI VILLAGE GEORGETOWN INC,-,N087051,Assisted Living Facility,1655 GEORGETOWN ST,WICHITA,SEDGWICK,KS,67218-4120,316-685-0400
VIA CHRISTI VILLAGE HAYS,-,N026001,Nursing Facility Assisted Living Facility,2225 CANTERBURY,HAYS,ELLIS,KS,67601,785-628-3241
VIA CHRISTI VILLAGE MANHATTAN INC,-,N081001,Nursing Facility Assisted Living Facility,2800 WILLOW GROVE RD,MANHATTAN,RILEY,KS,66502-2096,785-539-7671
VIA CHRISTI VILLAGE MCLEAN INC,-,N087056,Nursing Facility Assisted Living Facility,777 N MCLEAN BLVD,WICHITA,SEDGWICK,KS,67203-4980,316-942-7000
VIA CHRISTI VILLAGE PITTSBURG,-,N019013,Nursing Facility Assisted Living Facility,1502 E CENTENNIAL STREET,PITTSBURG,CRAWFORD,KS,66762,620-235-0020
VIA CHRISTI VILLAGE RIDGE,-,N087057,Nursing Facility Assisted Living Facility,"3636 NORTH RIDGE ROAD, BLDG #400",WICHITA,SEDGWICK,KS,67205,316-462-3636
VICTORIA FALLS ASSISTED LIVING,-,N008011,Assisted Living Facility,408 E CENTRAL PO BOX 906,ANDOVER,BUTLER,KS,67002-,316-733-0334
VILLAGE SHALOM INC,-,N046054,Nursing Facility Assisted Living Facility Residential Health Care Facility,5500 W 123RD STREET,OVERLAND PARK,JOHNSON,KS,66209,913-317-2600
VINTAGE PARK AT ATCHISON,-,N003005,Assisted Living Facility,1301 N 4TH,ATCHISON,ATCHISON,KS,66002,913-367-2655
VINTAGE PARK AT BALDWIN CITY,-,N023018,Assisted Living Facility,321 CRIMSON AVENUE,BALDWIN CITY,DOUGLAS,KS,66006,785-594-4255
VINTAGE PARK AT EUREKA,-,N037005,Assisted Living Facility,1820 E. RIVER STREET,EUREKA,GREENWOOD,KS,67045-2156,620-583-7473
VINTAGE PARK AT GARDNER,-,N046055,Assisted Living Facility,869 JUNIPER TERRACE,GARDNER,JOHNSON,KS,66030,913-856-7643
VINTAGE PARK AT HIAWATHA,-,N007006,Assisted Living Facility,400 KANSAS AVENUE,HIAWATHA,BROWN,KS,66434,785-742-4566
VINTAGE PARK AT HOLTON,-,N043004,Assisted Living Facility,410 JUNIPER DRIVE,HOLTON,JACKSON,KS,66436,785-364-5051
VINTAGE PARK AT LENEXA,-,N046037,Assisted Living Facility,8710 CAENEN LAKE ROAD,LENEXA,JOHNSON,KS,66215-2069,913-894-6979
VINTAGE PARK AT LOUISBURG,-,N061008,Assisted Living Facility,202 S. ROGERS RD,LOUISBURG,MIAMI,KS,66053,913-837-5133
VINTAGE PARK AT OSAGE CITY,-,N070006,Assisted Living Facility,1403 LAING STREET,OSAGE CITY,OSAGE,KS,66067,785-528-5095
VINTAGE PARK AT OSAWATOMIE,-,N061009,Assisted Living Facility,1520 PARKER AVENUE,OSAWATOMIE,MIAMI,KS,66064,913-755-2167
VINTAGE PARK AT OTTAWA,-,N030008,Assisted Living Facility,2250 S. ELM STREET,OTTAWA,FRANKLIN,KS,66067,785-242-3715
VINTAGE PARK AT PAOLA,-,N061010,Assisted Living Facility,601 N. EAST STREET,PAOLA,MIAMI,KS,66071-1183,913-557-0202
VINTAGE PARK AT STANLEY,-,N046069,Assisted Living Facility,14430 METCALF AVENUE,OVERLAND PARK,JOHNSON,KS,66223-2989,913-897-1414
VINTAGE PARK AT TONGANOXIE,-,N052008,Assisted Living Facility,120 W. 8TH STREET,TONGANOXIE,LEAVENWORTH,KS,66086,913-845-2204
VINTAGE PARK AT WAMEGO,-,N075006,Assisted Living Facility,1607 4TH STREET,WAMEGO,POTTAWATOMIE,KS,66547,785-456-8997
VINTAGE PARK AT WATERFRONT,-,N087039,Assisted Living Facility,900 N. BAYSHORE DRIVE,WICHITA,SEDGWICK,KS,67212,316-945-3344
WAKEFIELD OPERATOR LLC,WAKEFIELD CARE AND REHAB,N014003,Nursing Facility Assisted Living Facility,509 GROVE STREET,WAKEFIELD,CLAY,KS,67487,785-461-5417
WALDRON PLACE,-,N078016,Assisted Living Facility,1700 E 23RD,HUTCHINSON,RENO,KS,67502-,620-662-4114
WALLACE COUNTY COMMUNITY CARE CENTER INC,-,N100001C,Nursing Facility Residential Health Care Facility Assisted Living Facility,608 N KENNEDY,SHARON SPRINGS,WALLACE,KS,677589762,785-852-4244
WELLSVILLE MANOR,-,N030004,Nursing Facility Assisted Living Facility,304 W 7TH ST,WELLSVILLE,FRANKLIN,KS,66092-7800,785-883-4101
WESLEY TOWERS INC,-,N078010,Nursing Facility Assisted Living Facility,700 MONTEREY PL,HUTCHINSON,RENO,KS,67502-2248,620-663-9175
WEST WICHITA ASSISTED LIVING LLC,AVITA SENIOR LIVING AT ROLLING HILLS,N087067,Assisted Living Facility,629 S MAIZE CT,WICHITA,SEDGWICK,KS,67209-,316-361-2500
WESTERN PRAIRIE SENIOR LIVING,-,N034001,Nursing Facility Assisted Living Facility,510 E. SAN JACINTO AVENUE,ULYSSES,GRANT,KS,67880-1899,620-356-3331
WESTRIDGE,-,N019011,Assisted Living Facility,950 W ST JOHN ST,GIRARD,CRAWFORD,KS,66743-,620-724-6760
WESTY COMMUNITY CARE HOME INC,-,N075005,Nursing Facility Assisted Living Facility,105 N HIGHWAY 99,WESTMORELAND,POTTAWATOMIE,KS,66549-,785-457-2801
WHEAT RIDGE ACRES ASSISTED LIVING,-,N091002,Assisted Living Facility Residential Health Care Facility,707 WHEAT RIDGE CIRCLE,GOODLAND,SHERMAN,KS,67735,785-899-0100
WHISPERING PINES,-,N069010,Assisted Living Facility,200 WHISPERING PINES,NORTON,NORTON,KS,67654-,785-874-5500
WINFIELD SENIOR LIVING COMMUNITY,-,N018006,Nursing Facility Assisted Living Facility,1320 WHEAT ROAD,WINFIELD,COWLEY,KS,67156-4704,620-221-4660
WOODRIDGE ESTATES,-,N050011,Assisted Living Facility,329 N KAY LANE,PARSONS,LABETTE,KS,67357,620-421-4700
