State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number,Date Accessed
ADULT RESIDENTIAL CARE,The Cottages At The Glen - Level 3 ,425 EAST FLOURNOY LUCAS ROAD ,Shreveport,LA,71115,Caddo,creese@theglen.org,(318) 629-3596,13349,6/25/21
ADULT RESIDENTIAL CARE,The Gables At Springlake - Level 3,8622 LINE AVENUE ,Shreveport,LA,71106,Caddo,tlarimer@springlakenursinghome.com,(318) 426-1668,2203784289,6/25/21
ADULT RESIDENTIAL CARE,The Gardens And Guardian - Level 3,1401 COUNTRY CLUB RD.,Lake Charles,LA,70605,Calcasieu,tonya.estes@gandgcare.com,(337) 480-1550,2203784078,6/25/21
ADULT RESIDENTIAL CARE,The Gardens At Georgia Tucker - Level 3,405 STUBBS AVENUE,Monroe,LA,71201,Ouachita,info@georgiatucker.com,(318) 538-0040,2203784025,6/25/21
ADULT RESIDENTIAL CARE,The Jefferson - Level 1,224 CENTRAL AVE,Jefferson,LA,70121,Jefferson,jasonhemel@gmail.com,(504) 259-0326,2203784849,6/25/21
ADULT RESIDENTIAL CARE,The Pearl At Jamestown - Level 3,14443 PERKINS RD.,Baton Rouge,LA,70810,East Baton Rouge,pam.misenheimer@phoenixsrliving.com,(225) 443-8090,2203783718,6/25/21
ADULT RESIDENTIAL CARE,The Stiles Apartments- Level 4 ,403 EAST FLOURNOY LUCAS ROAD ,Shreveport,LA,71115,Caddo,creese@theglen.org,(318) 797-6810,2120,6/25/21
ADULT RESIDENTIAL CARE,The Suites At Algiers Point - Level 3,813 PELICAN AVENUE,New Orleans,LA,70114,Orleans,monique@algierspointsuites.com,(504) 362-7166,2203784318,6/25/21
ADULT RESIDENTIAL CARE,The Suites At Sugar Mill Point - Level 2 ,220 VALHI BOULEVARD ,Houma,LA,70360,Terrebonne,amanda@sugarmillpoint.net ,(985) 868-8400,9409,6/25/21
ADULT RESIDENTIAL CARE,The Trace Senior Community- Level 3,19432 CRAWFORD ROAD ,Covington,LA,70433,St. Tammany,sfairley@thetraceseniorliving.com,(985) 249-7676,2203782759,6/25/21
ADULT RESIDENTIAL CARE,The Village At St. Bernard - Level 3,1422 EAST LA HIGHWAY 46,St Bernard,LA,70085,St. Bernard,thevillagetammy@gmail.com,(504) 309-7999,2203783968,6/25/21
ADULT RESIDENTIAL CARE,The Windsor Senior Living Community- Level 3  ,1770 NORTH CAUSEWAY BOULEVARD ,Mandeville,LA,70471,St. Tammany,jsaucier@windsorseniorliving.com,(985) 624-8040,5733,6/25/21
ADULT RESIDENTIAL CARE,"Tranquil Living Ii, Llc - Level 1 ",613 AVENUE E,Marrero,LA,70072,Jefferson,brigette.gaudet@gmail.com,(504) 301-0690,2203784036,6/25/21
ADULT RESIDENTIAL CARE,Tranquil Living-Level 2 ,4500 LEO STREET,Marrero,LA,70072,Jefferson,brigette.gaudet@gmail.com,(504) 615-4665,2203781790,6/25/21
ADULT RESIDENTIAL CARE,Trinity House-Level 1 ,1422 KERLEREC STREET ,New Orleans,LA,70116,Orleans,vmagee@brotherhoodinc.org,(504) 947-4100,14368,6/25/21
ADULT RESIDENTIAL CARE,Villa Maria Retirement Center-Level 3 ,3905 KINGSTON PLACE ,Lake Charles,LA,70605,Calcasieu,becky.see@lcdiocese.org,(337) 478-4780,2197,6/25/21
ADULT RESIDENTIAL CARE,"Village In The Oaks Apt., Llc - Level 3",75520 HIGHWAY 1081 ,Covington,LA,70435,St. Tammany,villagecov@aol.com,(985) 871-0111,9108,6/25/21
ADULT RESIDENTIAL CARE,Ville Ste. Marie Senior Living Community-Level 3 ,4112 JEFFERSON HWY ,Jefferson,LA,70121,Jefferson,vsmseniorssanford@att.net,(504) 834-3164,8191,6/25/21
ADULT RESIDENTIAL CARE,Vista Shores-Level 2 ,5958 SAINT BERNARD AVE. ,New Orleans,LA,70122,Orleans,courtney@vistashores.com,(504) 288-3737,2119,6/25/21
ADULT RESIDENTIAL CARE,"Westbank Lighthouse, L.L.C. - Level 2",1712 HOLIDAY DRIVE,New Orleans,LA,70114,Orleans,westbanklighthouse@gmail.com,(504) 931-6048,2203781100,6/25/21
ADULT RESIDENTIAL CARE,Williamsburg Senior Living Community-Level 3,5445 GOVERNMENT STREET ,Baton Rouge,LA,70806,East Baton Rouge,cheri@williamsburgbr.com,(225) 929-8917,7135,6/25/21
ADULT RESIDENTIAL CARE,Women''S Community Rehabilitation Center(Wcrc),855 ST. FERDINAND STREET ,Baton Rouge,LA,70802,East Baton Rouge,kbourgeois@upliftd.org,(225) 336-0000,2104,6/25/21
ADULT RESIDENTIAL CARE,Woodbriar Assisted Living & Memory Care - Level 3,213 E ETIENNE ST,Maurice,LA,70555,Vermilion,dianne@woodbriarseniorliving.com,(337) 740-9663,2203784790,6/25/21
ADULT RESIDENTIAL CARE,Woodys Home For Veterans - Level 2,442 JORDAN STREET,Shreveport,LA,71101,Caddo,woodyshome@bellsouth.net,(318) 425-1928,2203782831,6/25/21
ADULT RESIDENTIAL CARE,Woodys Home For Veterans - Level 2,448 JORDON STREET,Shreveport,LA,71101,Caddo,woodyshome@bellsouth.net,(318) 425-1928,2203782833,6/25/21
