PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
Case Management,"A Little Miracle Coordination, LLC",294 Champagne Lane,RACELAND,LA,70394,LAFOURCHE,294 CHAMPAGNE LANE,RACELAND,LA,70394,2/4/19,1/31/22,Donna  Escalante,donna70394@yahoo.com,(985) 664-1198,(985) 664-1111,3,2203784212
Case Management,"A Peace of Mind II, Llc",12715 Highway 90 Suite 220 B,LULING,LA,70070,ST. CHARLES,12715 HIGHWAY 90 SUITE 220 B,LULING,LA,70070,2/26/09,1/31/22,Tarasa  Anderson,a.p.o.m@att.net,(985) 785-4451,(985) 785-4459,3,2203783739
Case Management,ABC Case Management,3501 Severn Avenue Suite 22A ,METAIRIE,LA,70002,JEFFERSON,P. O. BOX 1284 ,DENHAM SPRINGS,LA,70727,11/8/10,11/30/21,Michelle  Wall,mwall.abc@gmail.com,(504) 520-8545,(504) 520-8548,1,27044
Case Management,ABC Case Management,682 Centerville Street ,DENHAM SPRINGS,LA,70726,LIVINGSTON,682 CENTERVILLE STREET,DENHAM SPRINGS,LA,70726,,12/31/21,Michelle  Wall,mwall@wall.brcoxmail.com,(225) 667-4014,(225) 667-4886,9,2203783006
Case Management,ABC Case Management - Region 2,"11606 Southfork, Suite 500",BATON ROUGE,LA,70816,EAST BATON ROUGE,P.O. BOX 1284,DENHAM SPRINGS,LA,70727,,9/30/21,Michelle L Wall,mwall.abc@gmail.com,(225) 295-8190,(225) 295-8192,2,2203782922
Case Management,Aegis Access Network,2626 Charles Drive Suite C,CHALMETTE,LA,70043,ST. BERNARD,1556 ALISON STREET,GRETNA,LA,70056,11/10/20,10/31/21,Monique  Handy,aegisaccessnetwork@gmail.com,(504) 521-2060,(504) 539-4244,1,2203784779
Case Management,"Alphacare Support Coordination, LLC","7809 Airline Drive, Suite 308",METAIRIE,LA,70003,JEFFERSON,"7809 AIRLINE DRIVE, SUITE 308",METAIRIE,LA,70003,8/9/12,8/31/21,Joycelyn V Santee,alphacare@yahoo.com,(504) 731-3100,(504) 731-3103,1,2203781116
Case Management,Arc of Greater New Orleans,106 E. 25th Avenue,COVINGTON,LA,70433,ST. TAMMANY,925 S LABARRE ROAD,METAIRIE,LA,70001,8/31/17,7/31/20,Katherine  Wahl,kimh@arcgno.org,(985) 302-5078,(985) 302-5079,9,2203783537
Case Management,ARC of Greater New Orleans,1771 Nashville Ave. ,NEW ORLEANS,LA,70115,JEFFERSON,925 S. LABARRE ROAD,METAIRIE,LA,70001,,4/30/22,Stephen  Sauer,doneal@arcgno.org,(504) 897-4060,(504) 208-3101,1,2190
Case Management,Baton Rouge Black Alcoholism Council,950 East Washington Street ,BATON ROUGE,LA,70802,EAST BATON ROUGE,950 EAST WASHINGTON STREET ,BATON ROUGE,LA,70802,4/28/09,4/30/22,Wendell  James,wjames71@hotmail.com,(225) 338-9333,(225) 338-9962,2,27015
Case Management,"Cadence of Acadiana, Inc.-Region 2",660 North Foster Drive Ste A208 ,BATON ROUGE,LA,70806,EAST BATON ROUGE,P.O. BOX 64705,BATON ROUGE,LA,70896,2/17/03,3/31/22,Erica  Buchanan,ebuchanan@cadencela.org,(225) 927-2400,(225) 927-0208,2,27034
Case Management,"Cadence of Acadiana, Inc.-Region 3",1499 St. Mary Street,THIBODAUX,LA,70301,LAFOURCHE,P.O. BOX 755,THIBODAUX,LA,70302,8/31/04,6/30/21,ERICA  BUCHANAN,ebuchanan@cadencela.org,(985) 447-5545,(985) 447-5541,3,2203782363
Case Management,"Cadence of Acadiana, Inc.-Region 4",2435 West Congress Street ,LAFAYETTE,LA,70506,LAFAYETTE,P.O. BOX 61245 ,LAFAYETTE,LA,70596,2/24/05,2/28/22,ERICA  BUCHANAN,ebuchanan@cadencela.org,(337) 593-8899,(337) 593-0406,4,4101
Case Management,"Caldwell Council on Aging Case Management Agency, Inc.",307 Main Street ,COLUMBIA,LA,71418,CALDWELL,P.O. BOX 1498 ,COLUMBIA,LA,71418,,6/30/21,Dottie  Etheridge,dottie@caldwellcoa.org,(318) 649-2584,(318) 649-7600,8,2302
Case Management,"Center for Personal Development, Inc",409 Sheridan Avenue,MONROE,LA,71201,OUACHITA,P. O. BOX 4381 ,MONROE,LA,71211,10/12/09,6/30/21,Alania  Washington,cfpd@bellsouth.net,(318) 361-0590,(318) 600-4985,8,2203782822
Case Management,"Coastal Care Services, LLC",105 CAMPBELL AVE UNIT 1,MANDEVILLE,LA,70471,ST. TAMMANY,105 CAMPBELL AVE UNIT 1,MANDEVILLE,LA,70471,9/9/09,12/31/21,"Barry L Gros, Jr",blgros1@hotmail.com,(985) 900-2115,(985) 900-2116,9,2203783018
Case Management,"Coastal Care Services, LLC",105 Park Drive,THIBODAUX,LA,70301,LAFOURCHE,105 PARK DRIVE,THIBODAUX,LA,70301,2/10/17,1/31/22,Barry L Gros,blgros1@hotmail.com,(985) 492-1488,(985) 492-1489,3,2203783064
Case Management,"Coastal Care Services, Llc",3909 Plaza Tower Drive,BATON ROUGE,LA,70816,EAST BATON ROUGE,3909 PLAZA  TOWER DRIVE,BATON ROUGE,LA,70816,9/11/14,9/30/21,"Barry  Gros, Jr.",blgros1@hotmail.com,(225) 291-7710,(225) 291-7711,2,2203782110
Case Management,Community Resource Coordinators,"4354 South Sherwood Forest, Ste. 240 ",BATON ROUGE,LA,70816,EAST BATON ROUGE,"4354 SOUTH SHERWOOD FOREST, STE. 240 ",BATON ROUGE,LA,70816,7/13/05,3/31/22,Tracy  Matherne,tnmatherne@crcla.com,(225) 935-0099,(225) 935-0098,2,27052
Case Management,"Connecting Conceptual Constructs, Inc.",12090 S. HARRELLS FERRY SUITE F,BATON ROUGE,LA,70816,EAST BATON ROUGE,P.O. BOX 80294,BATON ROUGE,LA,70898,3/15/12,3/31/22,Chaucer  Tademy,chaucer.tademy@gmail.com,(225) 771-8071,(225) 771-8072,2,2203782693
Case Management,"DeLA Case Management, LLC","2006 Gus Kaplan Drive, Suite C",ALEXANDRIA,LA,71301,RAPIDES,"2006 GUS KAPLAN DR., SUITE C",ALEXANDRIA,LA,71301,10/3/16,9/30/21,Anthony  Stafford,anthonystafford@dela.us,(318) 704-6591,(888) 662-1332,6,2203782946
Case Management,"Directions of Louisiana, Inc.",5427 Shreveport Highway ,PINEVILLE,LA,71360,RAPIDES,5427 SHREVEPORT HIGHWAY ,PINEVILLE,LA,71360,,6/30/21,Gary  Ortego,dolalex@aol.com,(318) 640-4340,(318) 640-4160,6,2052
Case Management,"Divine Case Management, LLC",2620 Centenary Blvd Suite 304,SHREVEPORT,LA,71104,CADDO,2620 CENTENARY BLVD SUITE 304,SHREVEPORT,LA,71104,4/27/10,3/31/22,Angelia D Stewart,angelia_stewart@yahoo.com,(318) 683-3553,(318) 683-3554,7,2203784907
Case Management,Easter Seals Louisiana-Region 3,1003 St. Mary St ,THIBODAUX,LA,70301,LAFOURCHE,"1010 COMMON STREET, SUITE 2440",NEW ORLEANS,LA,70112,9/13/05,11/30/21,Tracy  Garner,eslcasemgt3@laeasterseals.com,(985) 449-1021,(985) 316-3036,3,27065
Case Management,Easter Seals Louisiana-Region 6,2800 SOUTH MACARTHUR DRIVE SUITE E,ALEXANDRIA,LA,71301,RAPIDES,"1010 COMMON STREET, SUITE 2440",NEW ORLEANS,LA,70112,,3/31/22,Tracy  Garner,escasemgt6@laeasterseals.com,(318) 442-6990,(318) 442-2687,6,2203783437
Case Management,Easter Seals Louisiana-Region 7,"3007 Knight Street, Suite 200",SHREVEPORT,LA,71105,CADDO,3007 KNIGHT ST SUITE 200,SHREVEPORT,LA,71105,12/22/04,12/31/21,ERIC  ODOM,eodom@laeasterseals.com,(318) 221-8244,(318) 221-8726,7,2203783017
Case Management,Easter Seals Louisiana-Region 8,"1103 Hudson Lane, Suite 2",MONROE,LA,71201,OUACHITA,"1103 HUDSON LANE, SUITE 2",MONROE,LA,71201,1/4/07,3/31/22,Tracy  Garner,escasemgt8@laeasterseals.com,(318) 388-0293,(318) 388-0267,8,2203784265
Case Management,Easter Seals Louisiana-Region 9,"19405 Helenberg Rd., Suite 1 ",COVINGTON,LA,70433,ST. TAMMANY,"19405 HELENBERG RD., SUITE 1 ",COVINGTON,LA,70433,,1/31/22,Tracy  Garner,escasemgt9@laeasterseals.com,(985) 892-7604,(985) 892-5735,9,2329
Case Management,"Families Helping Families at the Crossroads, Inc.",2840 Military Hwy,PINEVILLE,LA,71360,RAPIDES,2840 MILITARY HWY,PINEVILLE,LA,71360,4/28/15,4/30/22,James  Sprinkle,jamessprinkle152@bellsouth.net,(318) 640-7373,(318) 640-4299,6,2203782366
Case Management,Family Service Corporation,1425 Lynn Street Suite A ,THIBODAUX,LA,70301,LAFOURCHE,1425 LYNN STREET SUITE  A ,THIBODAUX,LA,70301,7/11/06,7/31/21,"Brian P Jakes, Sr",tosha.jakes@selahec.org,(985) 448-3454,(985) 493-7285,3,6901
Case Management,Family Service of Greater Baton Rouge,4727 Revere Avenue ,BATON ROUGE,LA,70808,EAST BATON ROUGE,4727 REVERE AVENUE ,BATON ROUGE,LA,70808,5/16/03,5/31/22,Rene'  Taylor,rtaylor@fsgbr.org,(225) 927-9810,(225) 924-7157,2,4201
Case Management,H.I.V/AIDS Alliance for Region Two (HAART),"4550 North Blvd., Suite 250 ",BATON ROUGE,LA,70806,EAST BATON ROUGE,"4550 NORTH BLVD., SUITE 250 ",BATON ROUGE,LA,70806,9/9/05,9/30/21,Timothy J Young,dawn.beasley@ohcc.org,(225) 800-1325,(225) 927-7367,2,1000
Case Management,"Inventive Social Methods, LLC.",2974 S. Union Street,OPELOUSAS,LA,70570,ST. LANDRY,2974 S. UNION STREET,OPELOUSAS,LA,70570,3/15/19,2/28/22,Marlo  Dupre,mdupre8180@gmail.com,(337) 889-0621,(337) 942-9292,4,2203784851
Case Management,"J W''s Creative Solutions, LLC",2475 Canal Street Suite 303,NEW ORLEANS,LA,70119,ORLEANS,P O BOX 19183,NEW ORLEANS,LA,70179,7/21/09,2/28/22,Josie L White,josie.white@att.net,(504) 483-2133,(504) 483-1287,1,2203782702
Case Management,Living Water Family Services,645 Hwy. 80 East,MONROE,LA,71203,OUACHITA,P.O. BOX 7563,MONROE,LA,71211,2/13/17,1/31/22,Leslie  McMerchant,livingwaterfamilyservice@gmail.com,(318) 343-6966,(318) 345-7123,8,2203783403
Case Management,"Medical Resources & Guidance, Region 3, Inc.",1011 St Mary Street,THIBODAUX,LA,70301,LAFOURCHE,P. O. BOX 568 ,VILLE PLATTE,LA,70586,1/20/09,10/31/21,Tammy  Fontenot,hr@medres4.com,(985) 446-6105,(985) 446-6418,3,2203782194
Case Management,"Medical Resources & Guidance, Region 4, Inc.",221 North Thompson Street ,VILLE PLATTE,LA,70586,EVANGELINE,P.O. BOX 568 ,VILLE PLATTE,LA,70586,7/14/05,8/31/21,Tammy  Fontenot,medres@centurytel.net,(337) 363-4999,(337) 363-3702,4,1574
Case Management,"Medical Resources & Guidance, Region 5, Inc.","143 Ridgeway Drive, Suite 318",LAFAYETTE,LA,70503,LAFAYETTE,P O BOX 568,VILLE PLATTE,LA,70586,,2/28/22,Tammy  Fontenot,hr@medres4.com,(337) 480-1118,(337) 480-1137,4,2203784876
Case Management,"Medical Resources & Guidance, Region 6, Inc.",716 Versailles Blvd,ALEXANDRIA,LA,71303,RAPIDES,716 VERSAILLES BLVD,ALEXANDRIA,LA,71303,7/14/05,6/30/21,Tammy  Fontenot,hr@medres4.com,(318) 561-7564,(318) 561-7565,6,2203784345
Case Management,Medical Resources and Guidance Inc.,5615 Corporate Boulevard Suite 400-C,BATON ROUGE,LA,70806,EAST BATON ROUGE,P. O. BOX 568 ,VILLE PLATTE,LA,70586,10/30/06,1/31/22,Tammy & Leslie  Fontenot,hr@medres4.com,(225) 248-0070,(225) 248-0077,2,27064
Case Management,NO/AIDS Task Force,1631 Elysian Fields,NEW ORLEANS,LA,70117,ORLEANS,1631 ELYSIAN FIELDS,NEW ORLEANS,LA,70117,8/4/04,5/31/22,Reginald  Vicks,reginald.vicks@crescentcare.org,(504) 821-2601,(504) 267-3014,1,2203784331
Case Management,Nola Family Services,1317 West Airline Highway Suite F,LAPLACE,LA,70068,ST. JOHN THE BAPTIST,1317 WEST AIRLINE HIGHWAY SUITE F,LA PLACE,LA,70068,4/13/18,3/31/22,Nia  Mitchell,nia.mitchell.nfs@gmail.com,(504) 603-0273,(504) 603-0273,3,2203783893
Case Management,"People United of Louisiana, LLC","1401 Hudson Ln., Ste. 202 -A",MONROE,LA,71201,OUACHITA,P O BOX 77053,BATON ROUGE,LA,70879,12/6/10,12/31/21,Matrice  Holland,peopleunitedr8@gmail.com,(318) 323-1300,(318) 323-1400,8,27048
Case Management,"People United of Louisiana, Llc",3600 Jackson Street Suite 130,ALEXANDRIA,LA,71301,RAPIDES,P O BOX 77053,BATON ROUGE,LA,70879,6/24/13,3/31/22,Stephanie  Roach,peopleunitedr8@gmail.com,(318) 619-1180,(318) 323-1400,6,2203782746
Case Management,"People Unlimited, Inc.",250 Desiard Plaza,MONROE,LA,71203,OUACHITA,250 DESIARD PLAZA ,MONROE,LA,71203,,7/31/21,Gregory  Scott,people.unlimited@pulcm.com,(318) 323-3236,(318) 323-3291,8,2203784523
Case Management,"Positive Concepts, LLC","100 Galeria Blvd, Suite 1",SLIDELL,LA,70458,ST. TAMMANY,"100 GALERIA BLVD, SUITE 1",SLIDELL,LA,70458,1/3/11,7/31/21,Kimberly  Stewart,mail@positiveconcept.org,(985) 201-7036,(985) 201-7039,9,2203784359
Case Management,Priority Care,530 Lakeland Drive Suite 2 B,BATON ROUGE,LA,70802,EAST BATON ROUGE,530 LAKELAND DRIVE SUITE 2 B,BATON ROUGE,LA,70802,11/5/20,10/31/21,Chantel  Crockett,prioritycare.la@gmail.com,(225) 465-3080,(225) 465-3706,2,2203784765
Case Management,Quality Support Coordination Inc,19226 N 5th Street ,COVINGTON,LA,70433,ST. TAMMANY,19226 N 5TH STREET ,COVINGTON,LA,70433,6/18/07,6/30/21,Janet  Connell,jconnell@qscmail.com,(985) 809-0400,(985) 809-0455,9,7293
Case Management,Quality Support Coordination Inc,2800 Youree Drive Bldg A # 380 ,SHREVEPORT,LA,71104,CADDO,2800 YOUREE DRIVE BLDG A # 380 ,SHREVEPORT,LA,71104,6/18/07,6/30/21,Janet  Connell,jconnell@qscmail.com,(318) 219-2514,(318) 219-8642,7,7295
Case Management,Quality Support Coordination Inc,641 Papworth Avenue,METAIRIE,LA,70005,JEFFERSON,641 PAPWORTH AVENUE,METAIRIE,LA,70005,6/18/07,5/31/22,Janet  Connell,jconnell@qscmail.com,(504) 885-6745,(504) 885-6746,1,2203783394
Case Management,Raintree Children and Family Services,1233 Eighth Street ,NEW ORLEANS,LA,70115,ORLEANS,1233 EIGHT STREET ,NEW ORLEANS,LA,70115,,1/31/22,LaShawna  Schofield,lschofield@raintreeservices.org,(504) 899-9045,(504) 891-7619,1,2128
Case Management,Share Care USA,111 Leonie Street ,LAFAYETTE,LA,70506,LAFAYETTE,P.O. BOX 51887 ,LAFAYETTE,LA,70505,9/13/06,7/31/21,Joy  Miguez,cmorgan@sharecareusa.com,(337) 735-7100,(337) 456-6989,4,2203784022
Case Management,Share Care USA,3317 Government St. Suite A1,ALEXANDRIA,LA,71302,RAPIDES,P O BOX 51887,LAFAYETTE,LA,70505,3/19/13,2/28/22,Tara  Chriceol,cmorgan@sharecareusa.com,(318) 448-0344,(318) 448-4665,6,2203781606
Case Management,Share Care USA,408 East Hale Street ,LAKE CHARLES,LA,70601,CALCASIEU,P. O. BOX 51887 ,LAFAYETTE,LA,70505,1/28/10,1/31/22,Jessica  McInnis,cmorgan@sharecareusa.com,(337) 491-1008,(337) 491-1068,5,27030
Case Management,"Shoulders of Strength, Inc.","2800 Youree Drive, Suite 350",SHREVEPORT,LA,71104,CADDO,2900 CAMERON STREET,MONROE,LA,71201,6/11/09,4/30/22,Antoinette  Clark,sosinc130@aol.com,(318) 848-7143,(318) 848-7159,7,2203781622
Case Management,"Shoulders of Strength,Inc(Contracted RFP Case Mgt Region 8)",2900 Cameron Street,MONROE,LA,71201,OUACHITA,2900 CAMERON STREET,MONROE,LA,71201,,8/31/21,Antoinette  Clark,Sosinc130@aol.com,(318) 323-9995,(318) 325-8943,8,2203781175
Case Management,Southeast Louisiana Area Health Education Center Foundation,"1302 J.W. Davis, Sr. Drive ",HAMMOND,LA,70403,TANGIPAHOA,"1302 J.W. DAVIS, SR. DRIVE ",HAMMOND,LA,70403,,12/31/21,"Brian P Jakes, Sr",brian.jakessr@selahec.org,(985) 345-1119,(985) 419-9486,9,1414
Case Management,"The First Step Youth & Family Services 2, LLC",712 Weidman Street,GRETNA,LA,70053,JEFFERSON,712 WEIDMAN STREET,GRETNA,LA,70053,2/14/18,1/31/22,Kimberly  Andres,thefirststepllc2@gmail.com,(504) 354-2759,(504) 556-2919,1,2203783865
Case Management,Ventilator Assisted Care Program,210 State Street,NEW ORLEANS,LA,70118,ORLEANS,200 HENRY CLAY AVENUE ,NEW ORLEANS,LA,70118,,10/31/21,Karla  Donewar,karla.donewar@lcmchealth.org,(504) 896-9228,(504) 896-9313,1,2203783592
End Stage Renal Disease,Algiers Dialysis,2924 General DeGaulle Drive,NEW ORLEANS,LA,70114,ORLEANS,"5200 VIRGINIA WAY  4TH FLOOR, L& C DEPARTMENT",BRENTWOOD,TN,37027,8/21/14,8/31/21,Shantrell  Johnson,Shantrell.Johnson@davita.com,(504) 367-0006,(504) 367-0340,1,2203782088
End Stage Renal Disease,Bayou Lafourche Artificial Kidney Center,694 S. Acadia Road ,THIBODAUX,LA,70301,LAFOURCHE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,12/23/03,3/31/22,Kristie  Pellerin,Clinic1365@fmc-na.com,(985) 448-3540,(985) 448-3523,3,110
End Stage Renal Disease,Bienville Dialysis Center,"3333 Bienville Street, Suite 1 B-C ",NEW ORLEANS,LA,70119,ORLEANS,"4424 CONLIN STREET , SUITE 2A ",METAIRIE,LA,70006,12/15/03,11/30/21,MR Murat  Hatipoglu,Management@metropolitanKidney.com ,(504) 822-6336,(504) 822-6317,1,100
End Stage Renal Disease,BMA Airline Dialysis Center,5948 Airline Highway ,BATON ROUGE,LA,70805,EAST BATON ROUGE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,5/12/03,8/31/21,MS Kathy  Darr,Clinic8882@fmc-na.com,(225) 357-9055,(225) 357-9154,2,2203781850
End Stage Renal Disease,BMA Baton Rouge,524 Colonial Drive ,BATON ROUGE,LA,70806,EAST BATON ROUGE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,4/16/03,8/31/21,Terry  Bellon,clinic8875@fmc-na.com,(225) 927-3311,(225) 927-9827,2,2203781908
End Stage Renal Disease,BMA Bunkie,102 Standard Street ,BUNKIE,LA,71322,AVOYELLES,"3850 N CAUSEWAY BLVD, SUITE 1400 ",METAIRIE,LA,70002,5/31/04,5/31/22,MR David  Powe,Clinic1469@fmc-na.com,(318) 346-6348,(318) 346-6868,6,042
End Stage Renal Disease,BMA Desoto Parish,1410 McArthur Drive ,MANSFIELD,LA,71052,DESOTO,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,1/23/03,12/31/21,TODD  MOONEY,clinic1883@fmc-na.com,(318) 871-8700,(318) 871-8707,7,006
End Stage Renal Disease,BMA East Natchitoches,111 Masonic Drive ,NATCHITOCHES,LA,71458,NATCHITOCHES,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,3/6/03,2/28/22,TODD  MOONEY,clinic1930@fmc-na.com,(318) 354-1170,(318) 354-1175,7,015
End Stage Renal Disease,BMA Franklin,1604 Cynthia Street ,FRANKLIN,LA,70538,ST. MARY,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,5/27/03,4/30/22,Kristie  Pellerin,clinic1671@fmc-na.com,(337) 828-4747,(337) 828-3831,3,043
End Stage Renal Disease,BMA Marrero,7325 Westbank Expressway,MARRERO,LA,70072,JEFFERSON,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,12/19/03,11/30/21,Danielle  Fontenot,clinic1191@fmc-na.com,(504) 341-6699,(504) 340-0900,1,2203783935
End Stage Renal Disease,BMA Minden,610 Fleming Lane ,MINDEN,LA,71055,WEBSTER,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,12/9/03,11/30/21,Ms. Cindi Addison,Clinic1400@fmc-na.com,(318) 371-1532,(318) 371-1534,7,102
End Stage Renal Disease,BMA New Iberia,609 Rue de Brille ,NEW IBERIA,LA,70563,IBERIA,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,5/30/03,4/30/22,Kristie L Pelleria,Clinic1107@fmc-na.com,(337) 364-1185,(337) 364-1187,4,047
End Stage Renal Disease,BMA New Roads Dialysis Center,107 Fairfield Avenue ,NEW ROADS,LA,70760,POINTE COUPEE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,3/24/03,8/31/21,Ms. Lajuanda Daigle,clinic8881@fmc-na.com,(225) 638-7395,(225) 638-7323,2,2203781862
End Stage Renal Disease,BMA Oak Grove Dialysis Center,711 E. Jefferson  Street,OAK GROVE,LA,71263,WEST CARROLL,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,3/20/03,2/28/22,KRISTIN  BRESHEARS,Clinic2048@fmc-na.com,(318) 428-1385,(318) 428-1285,8,014
End Stage Renal Disease,BMA of Winnfield,601 West Court Street ,WINNFIELD,LA,71483,WINN,3850 N CAUSEWAY SUITE 1400 ,METAIRIE,LA,70002,12/10/03,11/30/21,TODD  MOONEY,clinic1846@fmc-na.com,(318) 648-1222,(318) 648-6010,6,104
End Stage Renal Disease,BMA Ouachita Dialysis,"102 Thomas Road, Suite 306 ",WEST MONROE,LA,71291,OUACHITA,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,3/6/03,2/28/22,Pam  Black,clinic1918@fmc-na.com,(318) 387-2747,(318) 387-2334,8,010
End Stage Renal Disease,BMA Picardy,"7638 Picardy Ave, Suite A ",BATON ROUGE,LA,70808,EAST BATON ROUGE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,6/20/03,8/31/21,MS Lajuanda  Daigle,Clinic8879@fmc-na.com,(225) 766-5600,(225) 766-5779,2,2203781863
End Stage Renal Disease,BMA Pineville,151 Sandifer Lane ,PINEVILLE,LA,71360,RAPIDES,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,5/6/03,4/30/22,MR David  Powe,clinic1064@fmc-na.com,(318) 443-7131,(318) 442-2920,6,032
End Stage Renal Disease,BMA Plaquemine,24660 Plaza Drive ,PLAQUEMINE,LA,70764,IBERVILLE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,5/21/03,8/31/21,Kathy  Darr,Clinic8873@fmc-na.com,(225) 687-9100,(225) 687-9195,2,2203781910
End Stage Renal Disease,BMA Westport,2500 Commercial Drive ,PORT ALLEN,LA,70767,WEST BATON ROUGE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,7/2/03,8/31/21,Kathy  Darr,Clinic8878@fmc-na.com,(225) 343-5753,(225) 387-0540,2,2203781868
End Stage Renal Disease,BMA Winnsboro,3982 Front Street ,WINNSBORO,LA,71295,FRANKLIN,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,5/22/03,4/30/22,Denea (Pam)  Black,clinic1543@fmc-na.com,(318) 435-3511,(318) 435-4727,8,034
End Stage Renal Disease,BMA Zachary,4709 Secretary Drive ,ZACHARY,LA,70791,EAST BATON ROUGE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,5/19/03,8/31/21,Kathy  Darr,clinic8880@fmc-na.com,(225) 654-1450,(225) 654-2459,2,2203781845
End Stage Renal Disease,Bogalusa Kidney Care,2108 South Avenue F ,BOGALUSA,LA,70427,WASHINGTON,5200 VIRGINIA WAY L&C DEPARTMENT,BRENTWOOD,TN,37027,11/3/03,10/31/21,Donna  Steele,Donna.Steele@davita.com ,(985) 735-7811,(985) 735-1501,9,089
End Stage Renal Disease,Bossier Regional Dialysis Center,2907 Plantation Drive ,BOSSIER CITY,LA,71111,BOSSIER,"3850 N CAUSEWAY BLVD, SUITE 1400 ",METAIRIE,LA,70002,9/23/03,5/31/22,CINDI  ADDISON,clinic1382@fmc-na.com,(318) 746-8440,(318) 746-8442,7,049
End Stage Renal Disease,Broadmoor Dialysis,1815 E 70th Street,SHREVEPORT,LA,71105,CADDO,5200 VIRGINIA WAY 4TH FLOOR L&C DEPT ,BRENTWOOD,TN,37027,7/14/08,7/31/21,Sheryl  Glass,Erica.golston@Davita.com,(318) 797-7940,(318) 797-8143,7,2203781771
End Stage Renal Disease,Chalmette Dialysis Center,4020 Paris Road ,CHALMETTE,LA,70043,ST. BERNARD,"4424 CONLIN STREET, SUITE 2A ",METAIRIE,LA,70006,6/16/03,5/31/22,MR Murat  Hatipoglu,Management@metropolitankidney.com,(504) 277-8423,(504) 277-0171,1,059
End Stage Renal Disease,Chateau Dialysis,720 Village Road ,KENNER,LA,70065,JEFFERSON,"5200 VIRGINIA WAY,  L&C DEPT ",BRENTWOOD,TN,37027,12/10/03,11/30/21,Lionette M Dufrene,Lionette.McDuffy@davita.com,(504) 469-2796,(504) 469-7587,1,115
End Stage Renal Disease,Covington Trace Dialysis,"3999 US Hwy 190 Service Road , Suite A ",COVINGTON,LA,70433,ST. TAMMANY,"500 VIRGINIA WAY, L& C DEPT.",BRENTWOOD,TN,37027,9/17/18,9/30/21,Melissa  Creel,Melissa.Creel@davita.com,(985) 276-1998,(985) 276-6856,9,2203784076
End Stage Renal Disease,Crescent City Dialysis Center,3909 Bienville Street Suite 1B ,NEW ORLEANS,LA,70119,ORLEANS,5200 VIRGINIA WAY L&C DEPT 4TH FLOOR,BRENTWOOD,TN,37027,7/7/08,6/30/21,Tamara  Sexton,tamara.sexton@davita.com,(504) 483-7117,(504) 483-8937,1,176
End Stage Renal Disease,Crowley Dialysis Center,625 East 8th Street ,CROWLEY,LA,70526,ACADIA,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,1/21/03,11/30/21,Rene  Simon,Clinic1213@fmc-na.com,(337) 783-0013,(337) 783-4945,4,103
End Stage Renal Disease,DCI Kidney Care of Acadiana,"224 Saint Landry Street, Suite 3-C ",LAFAYETTE,LA,70506,LAFAYETTE,"224 SAINT LANDRY STREET, SUITE 3-C ",LAFAYETTE,LA,70506,7/17/03,9/30/21,KIM  LEBLANC,kim.leblanc@dciinc.org,(337) 231-5511,(337) 231-5711,4,2203782305
End Stage Renal Disease,DCI Kidney Care Of Acadiana,902-A South Lewis Avenue ,NEW IBERIA,LA,70560,IBERIA,902-A SOUTH LEWIS AVENUE,NEW IBERIA,LA,70560,7/21/03,9/30/21,KIM  LEBLAN,kim.leblanc@dciinc.org,(337) 367-3995,(337) 367-3997,4,2203782328
