State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number
Behavioral Health Service,Addiction Recovery Clinic ,2000 Fairfield Avenue,SHREVEPORT,LA,71104,CADDO,bill.rose@cadanwla.org,(318) 222-8511,2203782505
Behavioral Health Service,Advanced Health Services,2829 4th Avenue,LAKE CHARLES,LA,70601,CALCASIEU,johnson.m.ahs@gmail.com,(337) 508-2300,2203783658
Behavioral Health Service,"Advanced Therapeutic Services, LLC","1799 Stumpf Blvd, Building 3, Suite 4B",GRETNA,LA,70056,JEFFERSON,ats1799@gmail.com,(504) 407-0755,2203783283
Behavioral Health Service,"Aimwell Recovery Center, LLC",1106 Stubbs Avenue Suite B,MONROE,LA,71201,OUACHITA,reestis@aimwellrecovery.com,(318) 816-5329,2203783342
Behavioral Health Service,Alcohol and Drug Unit,23363 South Robin Road,MANDEVILLE,LA,70448,ST. TAMMANY,jennifer.kiefer@fphsa.org,(985) 624-4100,2203782595
Behavioral Health Service,Algiers Behavioral Health Center,"3100 General De Gaulle Drive, Suite A & B",NEW ORLEANS,LA,70114,JEFFERSON,wanda.bush@mhsdla.org,(504) 535-2986,2203782769
Behavioral Health Service,All About You Adult and Youth Services  LLC,1810 Carter St,VIDALIA,LA,71373,CONCORDIA,fellagarrison@gmail.com,(318) 336-4797,2203784644
Behavioral Health Service,All Out Community Care Services,8562 Jefferson Hwy Suites A&B,BATON ROUGE,LA,70809,EAST BATON ROUGE,info@alloutcc.com,(225) 227-2468,2203784640
Behavioral Health Service,All Pro Behavioral Health Services,"1340 West Tunnel Blvd, Suite 230",HOUMA,LA,70360,TERREBONNE,allprobha7@gmail.com,(504) 314-1737,2203783561
Behavioral Health Service,"Allcare of Louisiana, Inc","4615 Monkhouse Drive, Ste 116",SHREVEPORT,LA,71109,CADDO,cpouncy@allcareofla.com,(318) 670-7461,2203783803
Behavioral Health Service,"Alliance Northeast Healthcare, LLC",2116 Justice Street,MONROE,LA,71201,OUACHITA,1stladydouglas@gmail.com,(318) 807-2025,2203783366
Behavioral Health Service,"Allstar Community Care, LLC",2211 Weymouth Drive Suites B& C,BATON ROUGE,LA,70809,EAST BATON ROUGE,allstarccllc@gmail.com,(225) 923-3733,2203784588
Behavioral Health Service,"Alternative Family & Community Services, LLC",203 East Oak Street,AMITE,LA,70422,TANGIPAHOA,alternativeservices@outlook.com,(225) 205-1824,2203783319
Behavioral Health Service,Alternative Outpatient Services,"341 Doucet Road, Suite A",LAFAYETTE,LA,70503,LAFAYETTE,bchenry@hushmail.com,(337) 234-0830,2203782727
Behavioral Health Service,"Ameliorable Solutions, Inc.",2439 Manhattan Blvd. Suite 301,HARVEY,LA,70058,JEFFERSON,ameliorablesolutions@gmail.com,(504) 309-4628,2203783482
Behavioral Health Service,American Active Rehab LLC,401 Whitney Avenue Suite 320,GRETNA,LA,70056,JEFFERSON,rehabact@bellsouth.net,(504) 263-1403,2203783632
Behavioral Health Service,Americas Best Counseling,"10001 Lake Forest Blvd, Suite 600",NEW ORLEANS,LA,70127,ORLEANS,pesmith37@yahoo.com,(504) 329-5875,2203783783
Behavioral Health Service,An Endless Care Service,"4111 Metro Drive, Suite B",SHREVEPORT,LA,71109,CADDO,endlesscare17@gmail.com,(318) 636-0390,2203783442
Behavioral Health Service,Anchor Community Services,"9111 Interline Avenue, Suite 17A",BATON ROUGE,LA,70809,EAST BATON ROUGE,tsynetteb@yahoo.com,(225) 615-7282,2203784557
Behavioral Health Service,"Anchored in Wellness, LLC",1799 Stumpf Blvd Building 4 Ste. 4,GRETNA,LA,70056,JEFFERSON,anchoredinwellnessllc@gmail.com,(504) 266-2522,2203784564
Behavioral Health Service,"Apple Gate Recovery, LLC","1605 Benton Road, Suite D",BOSSIER CITY,LA,71111,BOSSIER,mmatthews@applegaterecovery.com,(318) 742-0500,2203783095
Behavioral Health Service,Ark La Tex Counseling and Rehab,"7505 Pines Road, Suite 1104",SHREVEPORT,LA,71129,CADDO,arklatexcrehab@gmail.com,(318) 670-8313,2203783367
Behavioral Health Service,"Array of Hope Outreach Center, LLC",11940 Bricksome Avenue Ste.C,BATON ROUGE,LA,70816,EAST BATON ROUGE,thearrayofhope@gmail.com,(225) 250-5829,2203784692
Behavioral Health Service,Ascension Behavioral Health,1056 E. Worthey Street Suite B,GONZALES,LA,70737,ASCENSION,laurence.conkerton@la.gov,(225) 621-5770,2203784683
Behavioral Health Service,Ascension Counseling Center,1112-A E. Ascension Complex Blvd,GONZALES,LA,70737,ASCENSION,lwebercurry@apgov.us,(225) 450-1172,2203782827
Behavioral Health Service,Aspiring Behavioral Health Services,"10001 Lake Forest Blvd, Suite 302",NEW ORLEANS,LA,70127,ORLEANS,tthibodaux@aspiringhealthsvcs.com,(504) 207-1921,2203782865
Behavioral Health Service,Assertive Aspirations Behavioral Health Services,"1403 Metro Drive, Suite C-1",ALEXANDRIA,LA,71301,RAPIDES,brindajones@assertiveaspirations.com,(318) 625-7467,2203783686
Behavioral Health Service,Assisi Bridge House,600 Bull Run Road,SCHRIEVER,LA,70395,TERREBONNE,nbourgeois@htdiocese.org,(985) 872-5529,2203782517
Behavioral Health Service,"Assurance Care Provider, LLC",2145 Rev Richard Wilson Drive,KENNER,LA,70062,JEFFERSON,acpmhr@yahoo.com,(504) 472-0068,2203782800
Behavioral Health Service,"Assured Behavioral Concepts, LLC",2912 Valley View Drive,SHREVEPORT,LA,71108,CADDO,assuredbehavioral@gmail.com,(318) 626-7143,2203784449
Behavioral Health Service,"Autumn Creek Health Solutions, Inc.","2924 Knight Street, Suite 426",SHREVEPORT,LA,71105,CADDO,sharon_bartley@live.com,(318) 754-3560,2203782840
Behavioral Health Service,Avenues Recovery Center of Louisiana,5620 Read Blvd 5th Floor,NEW ORLEANS,LA,70127,ORLEANS,hudi@avenuesrecovery.com,(504) 470-0102,2203784642
Behavioral Health Service,Avenues Recovery Center of New Orleans,4933 Wabash Street,METAIRIE,LA,70001,JEFFERSON,hudi@avenuesrecovery.com,(504) 780-2766,2203784031
Behavioral Health Service,BAART Programs Alexandria,2116 North Bolton Avenue,ALEXANDRIA,LA,71303,RAPIDES,plrisvan@baymark.com,(318) 445-1250,2203784783
Behavioral Health Service,BAART Programs Breaux Bridge,648 Latiolais Drive,BREAUX BRIDGE,LA,70517,ST. MARTIN,talexander@baartprograms.com,(337) 332-4878,2203783461
Behavioral Health Service,BAART Programs LaPlace,128 Woodland Drive,LA PLACE,LA,70068,ST. JOHN THE BAPTIST,edolmo77@me.com,(985) 651-3777,2203784785
Behavioral Health Service,BAART Programs Northshore,615 Pride Drive,HAMMOND,LA,70401,TANGIPAHOA,casemanager1n@choicesla.com,(985) 419-1666,2203784784
Behavioral Health Service,Bastrop Behavioral Health Clinic,451 East Madison,BASTROP,LA,71220,MOREHOUSE,Sandra.turner@la.gov,(318) 283-0868,2203784027
Behavioral Health Service,"Baton Rouge Area Alcohol & Drug Center, Inc",216 S.Foster Drive,BATON ROUGE,LA,70806,EAST BATON ROUGE,nbolden@braadc.org,(225) 925-5367,2203783793
Behavioral Health Service,Baton Rouge Behavioral Health,2751 Wooddale Blvd,BATON ROUGE,LA,70805,EAST BATON ROUGE,stephen.aguillard@la.gov,(225) 925-1906,2203784685
Behavioral Health Service,Baton Rouge Treatment Center,11445 Reiger Road,BATON ROUGE,LA,70809,EAST BATON ROUGE,schantee.sales@ctcprograms.com,(225) 932-9867,2203782562
Behavioral Health Service,Bayou Health Services,"1615 Poydras Street, Suite 900",NEW ORLEANS,LA,70112,ORLEANS,bayouhealthservices@gmail.com,(504) 919-0039,2203783260
Behavioral Health Service,"Bayou Mental Health Services, LLC",1605 Murray Street,ALEXANDRIA,LA,71301,RAPIDES,latonya@bayoumentalhealth.com,(318) 443-9033,2203783529
Behavioral Health Service,"Bayou Oaks Health Services, LLC",106 Hickory Street,THIBODAUX,LA,70301,LAFOURCHE,bayouoakshealthservices@yahoo.com,(985) 446-4114,2203784180
Behavioral Health Service,Behavioral Health Solutions of Louisiana,501 Rue De Sante Suite 4,LAPLACE,LA,70068,ST. JOHN THE BAPTIST,behavioralhealthsolutions@yahoo.com,(985) 652-7840,2203783302
Behavioral Health Service,"Behavioral Management & Addictive Disorders, Inc",2910 Evangeline Street,MONROE,LA,71201,OUACHITA,sccs@bellsouth.net,(318) 388-5553,2203783619
Behavioral Health Service,Behavioral Management & Addictive Disorders-Shreveport,2611 Betty Street,SHREVEPORT,LA,71108,CADDO,ajbaxter@comcast.net,(318) 216-3748,2203784068
Behavioral Health Service,Behavioral Services of Louisiana,8326 Kelwood Avenue,BATON ROUGE,LA,70806,EAST BATON ROUGE,kylejacob@outlook.com,(225) 929-9738,2203784342
Behavioral Health Service,"Behavioral Solutions, LLC","215 Bres Ave, Suite G",MONROE,LA,71201,OUACHITA,behavioral_solutions@comcast.net,(318) 509-8073,2203783165
Behavioral Health Service,"Beyond Words, Inc",1409 Kirkman Street,LAKE CHARLES,LA,70601,CALCASIEU,1beyondwords@gmail.com,(337) 419-3586,2203783305
Behavioral Health Service,"Beyond Words, Inc-New Iberia",177 Duperier Avenue,NEW IBERIA,LA,70563,IBERIA,1beyondwords@gmail.com,(337) 419-3586,2203783504
Behavioral Health Service,BHG Lake Charles Treatment Center,"2829 4th Avenue, Suite 200",LAKE CHARLES,LA,70601,CALCASIEU,Jemece.Gasaway@bhgrecovery.com,(337) 433-8281,2203782597
Behavioral Health Service,BHG NEW ORLEANS DOWNTOWN TREATMENT CENTER,2235 Poydras Street Suite B,NEW ORLEANS,LA,70119,ORLEANS,amanda.karistai@bhgrecovery.com,(504) 524-7205,2203783533
Behavioral Health Service,BHG New Orleans Westbank Treatment Center,"1141 Whitney Avenue, Building 4",GRETNA,LA,70056,JEFFERSON,amanda.karistai@bhgrecovery.com,(504) 347-1120,2203782506
Behavioral Health Service,Biltmore Health Services Inc-Slidell,350 Gateway Drive,SLIDELL,LA,70461,ST. TAMMANY,sheridant80@hotmail.com,(337) 232-9457,2203783474
Behavioral Health Service,Biltmore Health Services-Lafayette,917 General Mouton,LAFAYETTE,LA,70501,LAFAYETTE,oellis01@hotmail.com,(318) 670-3975,2203783746
Behavioral Health Service,Biltmore Health Services-Shreveport,6811 Fairfield Ave,SHREVEPORT,LA,71106,CADDO,oellis01@hotmail.com,(337) 232-9457,2203783747
Behavioral Health Service,"Blue Bird Social Services, LLC",2601 N Hullen St Ste 134,METAIRIE,LA,70002,JEFFERSON,s.beau@bluebirdsocialservices.onmicrosoft.com,(504) 885-8022,2203783567
Behavioral Health Service,Body and Soul Rehabilitation Services,803 Brisco Avenue,BASTROP,LA,71220,MOREHOUSE,bodyandsoulrehab@att.net,(318) 974-6035,2203784314
Behavioral Health Service,Bogalusa Behavioral Health Clinic,400 Georgia Avenue,BOGALUSA,LA,70427,WASHINGTON,melanie.sumrall@fphsa.org,(985) 732-6610,2203784797
Behavioral Health Service,Bold Treatment,40521 Pumpkin Center Road,HAMMOND,LA,70403,TANGIPAHOA,larrycp48@gmail.com,(225) 294-0101,2203782883
Behavioral Health Service,Breakthrough Therapeutic Services,105 Industrial Parkway,LAFAYETTE,LA,70508,LAFAYETTE,kizzyhdixon@yahoo.com,(337) 534-0254,2203783711
Behavioral Health Service,Bridge House Corporation,4150 Earhart Blvd,NEW ORLEANS,LA,70125,ORLEANS,epedersen@bridgehouse.org,(504) 522-4475,2203784376
Behavioral Health Service,"Bridges For Recovery, LLC","7607 Fern Avenue, Suites 902 & 903",SHREVEPORT,LA,71105,CADDO,tjones@bridges2recovery.net,(318) 524-9954,2203783991
Behavioral Health Service,"Bridges to Hope, LLC","200 South Broad Street, Suite 205A",NEW ORLEANS,LA,70119,ORLEANS,info@bthcares.com,(504) 821-7616,2203784349
Behavioral Health Service,Brighter Beginnings Mentorship Program,5160 Groom Road,BAKER,LA,70714,EAST BATON ROUGE,bbmp00@gmail.com,(225) 367-7384,2203784392
Behavioral Health Service,"Brighter Future Counseling Services, LLC",4571 N Market Street,SHREVEPORT,LA,71107,CADDO,yevans@brighterfuturecs.com,(318) 424-8735,2203784055
Behavioral Health Service,Brightside Social Services Louisiana,106 Business Park Avenue,DENHAM SPRINGS,LA,70726,LIVINGSTON,e.roquemore@brightsidela.com,(888) 417-5250,2203783436
Behavioral Health Service,Brightside Social Services Louisiana -Washington,311 Louisiana Avenue,BOGALUSA,LA,70427,WASHINGTON,e.roquemore@brightsidela.com,(888) 417-5250,2203783440
Behavioral Health Service,Brightway Mental Health Clinic,252 Hector Avenue Suite A,GRETNA,LA,70056,JEFFERSON,marym@cpcbhs.org,(504) 435-1444,2203784863
Behavioral Health Service,"Broken Wings Recovery Center, LLC",2869 New Monroe Road,BASTROP,LA,71220,MOREHOUSE,becky@brokenwingsla.com,(318) 538-0500,2203784558
Behavioral Health Service,Bruce Professional Counseling Services-Baton Rouge,"9418 Brookline Ave, Suite C",BATON ROUGE,LA,70809,EAST BATON ROUGE,tina-bruce@att.net,(225) 930-2993,2203783083
Behavioral Health Service,Bruce Professional Counseling Services-Harahan,"824 Elmwood Park Blvd, Suite 150",HARAHAN,LA,70123,JEFFERSON,tina-bruce@att.net,(504) 733-0009,2203783070
Behavioral Health Service,Bruce Professional Counseling Services-Vidalia,4907 Highway 84 W,VIDALIA,LA,71373,CONCORDIA,tina-bruce@att.net,(318) 414-3065,2203784618
Behavioral Health Service,CADA Adolescent Treatment Center,525 Crockett Street,SHREVEPORT,LA,71101,CADDO,bill.rose@cadanwla.org,(318) 226-2890,2203782520
Behavioral Health Service,CADA Adult Treatment Center,527 Crockett Street,SHREVEPORT,LA,71104,CADDO,bill.rose@cadanwla.org,(318) 222-8511,2203782724
Behavioral Health Service,CADA Bossier Treatment Center,1525 Fullilove Drive,BOSSIER CITY,LA,71112,BOSSIER,bill.rose@cadanwla.org,(318) 747-1211,2203782522
Behavioral Health Service,Capital Area Recovery Program,2455 Wooddale Blvd,BATON ROUGE,LA,70805,EAST BATON ROUGE,Joseph.Pete@la.gov,(225) 922-3169,2203782695
Behavioral Health Service,"Care For You Social Services, LLC","1310 South Union Street, Suites 3",OPELOUSAS,LA,70570,ST. LANDRY,marlo.careforyou@gmail.com,(337) 942-9292,2203783713
Behavioral Health Service,Caring Choices of Pineville,5411 Coliseum Bolevard.,ALEXANDRIA,LA,71303,RAPIDES,Rebecca.Craig@la.gov,(318) 484-6850,2203784385
Behavioral Health Service,"CBS ACT Center, LLC",1440 Hawn Ave,SHREVEPORT,LA,71107,CADDO,pamelaphillips@ymail.com,(318) 226-5990,2203783036
Behavioral Health Service,Cenikor Foundation,2414 Bunker Hill Drive,BATON ROUGE,LA,70808,EAST BATON ROUGE,dlee@cenikor.org,(225) 218-1960,2203782622
Behavioral Health Service,"Center for Behavioral Health Louisiana, Inc. ","1303 Line Avenue, Suite 600",SHREVEPORT,LA,71101,CADDO,brant.massman@centerforbehavioralhealth.com,(318) 425-3400,2203782504
Behavioral Health Service,"Center for Behavioral Health Louisiana, Inc.",1910 Ruffin Drive,MONROE,LA,71202,OUACHITA,mary.massman@centerforbehavioralhealth.com,(318) 340-9596,2203782521
Behavioral Health Service,Center for Hope Children and Family Services,"106 Smart Place, Suite B",SLIDELL,LA,70458,ST. TAMMANY,centerforhoperehab@nocoxmail.com,(504) 241-6006,2203782886
Behavioral Health Service,"Center for Hope Children and Family Services, LLC","5630 Crowder Blvd, Suite 208",NEW ORLEANS,LA,70127,ORLEANS,centerforhoperehab@nocoxmail.com,(504) 241-6006,2203782649
Behavioral Health Service,"Center For Thriving Familes, LLC ","114 Curran Lane, Suite A-1",LAFAYETTE,LA,70506,LAFAYETTE,centerforthrivingfamilies@gmail.com,(337) 703-3037,2203784670
Behavioral Health Service,Center of Recovery-CORE,635 Stoner Avenue,SHREVEPORT,LA,71101,CADDO,jmiller@helpforgambling.org,(318) 424-4357,2203782514
Behavioral Health Service,Central City Behavioral Health Center,2221 Philip Street,NEW ORLEANS,LA,70113,ORLEANS,Tremika.Simon@mhsdla.org,(504) 564-3151,2203782851
Behavioral Health Service,Changing Behavior Services - Shreveport,"1434 Hawn Ave, Suite 12",SHREVEPORT,LA,71107,CADDO,pamelaphillips@ymail.com,(318) 675-0224,2203783671
Behavioral Health Service,Changing Lives Counseling & Mentoring LLC,414 Madeline Street,RAYVILLE,LA,71269,RICHLAND,clcmllc@yahoo.com,(318) 552-5126,2203784646
Behavioral Health Service,Chartres-Ponchartrain Behavioral Health Center,719 Elysian Fields Ave,NEW ORLEANS,LA,70117,ORLEANS,Flavia.Lancaster@mhsdla.org,(504) 620-2697,2203782766
Behavioral Health Service,Childrens Bureau of New Orleans,2626 Canal Street Ste 201,NEW ORLEANS,LA,70119,JEFFERSON,jbanks@childrensbureaunola.org,(504) 525-2366,2203783178
Behavioral Health Service,Choices Behavioral Health and Wellness,2331 Canal Street,NEW ORLEANS,LA,70119,ORLEANS,tammitucker.choices@gmail.com,(504) 304-3737,2203783216
Behavioral Health Service,Ciara Independent Living,1424 Dante Street,NEW ORLEANS,LA,70118,ORLEANS,crdistefano@ccano.org,(504) 390-8125,2203783750
Behavioral Health Service,"Circle of Friends Counseling Services, LLC",8101 Kingston Rd Suite 101B,SHREVEPORT,LA,71118,CADDO,circleoffriendscounseling@gmail.com,(318) 828-1317,2203784827
Behavioral Health Service,"City Medical Management Services, Inc.","1799 Stumpf Blvd, Bldg 7, Suite 6",GRETNA,LA,70056,JEFFERSON,cmmgretna1799@gmail.com,(504) 510-3555,2203783534
Behavioral Health Service,Claire House for Women and Children,1101 Southeast Blvd Suite A,MORGAN CITY,LA,70380,ST. MARY,director@clairehouse.com,(985) 395-2424,2203782653
Behavioral Health Service,"Clarke Community Services, LLC",3308 Tulane Avenue Suite 407,NEW ORLEANS,LA,70119,ORLEANS,info.clarkecs@yahoo.com,(504) 821-6830,2203783531
Behavioral Health Service,Cognitive Development Center - Ferriday,615 South E. Wallace Blvd,FERRIDAY,LA,71334,CONCORDIA,lpringle@seasidehc.com,(318) 757-9363,2203783481
Behavioral Health Service,Cognitive Development Center - LaPlace,576 Belle Terre Blvd,LA PLACE,LA,70068,ST. JOHN THE BAPTIST,cjohnson@seasidehc.com,(504) 493-2271,2203783499
Behavioral Health Service,Cognitive Development Center Behavioral Health Services,4951 Central Ave,MONROE,LA,71203,OUACHITA,lpringle@seasidehc.com,(318) 340-1535,2203782776
Behavioral Health Service,"Cognitive Development Center of Baton Rouge, LLC",8706 Jefferson Hwy. Suite A,BATON ROUGE,LA,70809,EAST BATON ROUGE,twallace@seasidehc.com,(225) 926-9706,2203784712
Behavioral Health Service,Cognitive Development Center of Lake Charles,1202 Kirkman Street Suite C,LAKE CHARLES,LA,70601,CALCASIEU,Alewis2@seasidehc.com,(337) 990-5305,2203783761
Behavioral Health Service,"Cognitive Development Center, Inc",1705 Felicia Avenue,TALLULAH,LA,71282,MADISON,twright@seasidehc.com,(318) 574-1232,2203782499
Behavioral Health Service,"Cognitive Institute, Inc","3341 Youree Drive, Suite 10B",SHREVEPORT,LA,71108,CADDO,coginst@att.net,(318) 621-0910,2203784495
Behavioral Health Service,Columbia Behavioral Health Clinic,5159 Highway 4 East,COLUMBIA,LA,71418,CALDWELL,jessica.merrells@la.gov,(318) 649-2333,2203782560
Behavioral Health Service,"Community Care Solutions, Inc","200 South Broad Street, Suite 7",NEW ORLEANS,LA,70119,ORLEANS,anbutler82@yahoo.com,(504) 309-9991,2203783256
Behavioral Health Service,"Community Counseling Agency, LLC","1520 Thomas H Delpit Drive, Suite 125",BATON ROUGE,LA,70802,EAST BATON ROUGE,communitycounselingagency@gmail.com,(225) 636-2395,2203783333
Behavioral Health Service,Community Counseling Center at Cane River,830 Fourth Street,NATCHITOCHES,LA,71457,NATCHITOCHES,jjkarle@yahoo.com,(318) 214-4002,2203783300
Behavioral Health Service,Community Enrichment Programs LLC,842 Margaret Place,SHREVEPORT,LA,71101,CADDO,tammywright6267@aol.com,(318) 675-0406,2203783674
Behavioral Health Service,Community Health Care Solutions,"2800 Youree Drive, Suite 482",SHREVEPORT,LA,71104,CADDO,jayeshaguice.chcs@gmail.com,(318) 869-1899,2203783573
Behavioral Health Service,"Community Health, LLC","2920 Knight Street, Ste 110",SHREVEPORT,LA,71105,CADDO,communityhealthshreveport@gmail.com,(318) 459-1600,2203783953
Behavioral Health Service,"Community Outreach Services, LLC","2133 Silverside Drive, Suite F",BATON ROUGE,LA,70808,EAST BATON ROUGE,elliott@cosbr.net,(225) 939-1324,2203784152
Behavioral Health Service,"Community Rehabilitation Center, LLC","2414 Ferrand Street, Suite 1",MONROE,LA,71201,OUACHITA,crcrehab@att.net,(318) 325-0072,2203783644
Behavioral Health Service,"Community Support Services of Louisiana, Inc",1140 Shirley Road,BUNKIE,LA,71322,AVOYELLES,communitysupport@bellsouth.net,(318) 346-8001,2203783629
Behavioral Health Service,"Community Therapeutic Services, LLC",1608 S Salcedo St,NEW ORLEANS,LA,70125,JEFFERSON,missjudie1@aol.com,(504) 821-0053,2203783155
Behavioral Health Service,"Compass Behavioral Health Services, LLC","7606 Westbank Expressway, Suite B",MARRERO,LA,70072,JEFFERSON,compassbhs1@gmail.com,(504) 265-0801,2203783389
Behavioral Health Service,"Cornerstone Behavioral Health, LLC",3100 Kilpatrick Blvd Suite 102,MONROE,LA,71201,OUACHITA,cornerstonecmhc@yahoo.com,(318) 325-8048,2203783975
Behavioral Health Service,Council on Alcohol & Drug Abuse Greater NOLA,"2640 Canal Street, 4th Floor",NEW ORLEANS,LA,70119,JEFFERSON,jbracey@cadagno.org,(504) 821-2232,2203783435
Behavioral Health Service,Counsel NOLA,2115 Carondelet Street,NEW ORLEANS,LA,70130,ORLEANS,josienne@counselnola.com,(504) 371-5512,2203783832
Behavioral Health Service,"Creative Counseling, LLC",7591 Fern Avenue Suite 1703,SHREVEPORT,LA,71105,CADDO,creativecounselingllc@gmail.com,(318) 221-2828,2203784348
Behavioral Health Service,Crescent Care,1631 Elysian Fields Avenue 2nd Floor,NEW ORLEANS,LA,70117,ORLEANS,noel.twilbeck@crescentcare.org,(504) 821-2601,2203784219
Behavioral Health Service,Crescent Community Outreach,7240 Crowder Blvd Suite 400,NEW ORLEANS,LA,70127,ORLEANS,cco.charrell@gmail.com,(504) 323-3440,2203783820
Behavioral Health Service,Crescent Health,8211 Goodwood Blvd Ste A1,BATON ROUGE,LA,70806,EAST BATON ROUGE,crescentgrp@gmail.com,(225) 421-1921,2203783069
Behavioral Health Service,Cross Over Therapy,206 Clinic Drive,DONALDSONVILLE,LA,70346,ASCENSION,tammy@crossovertherapy.com,(225) 264-6670,2203783408
Behavioral Health Service,Crowley Behavioral Health Clinic,1822 West 2nd Street,CROWLEY,LA,70526,ACADIA,Mickey.Businelle@la.gov,(337) 788-7511,2203782511
Behavioral Health Service,"D & D Community Care, LLC",1200 S Acadian Thruway Ste 104,BATON ROUGE,LA,70806,EAST BATON ROUGE,ddcommunitycare1@gmail.com,(225) 478-9533,2203784911
Behavioral Health Service,Delta Community Enhancement Program,411 Sparrow Street,LAKE PROVIDENCE,LA,71254,EAST CARROLL,dceprogram@yahoo.com,(318) 559-3356,2203783406
Behavioral Health Service,Denham Springs Behavioral Health Clinic,"1951 Florida Blvd, SW,Suites D&E",DENHAM SPRINGS,LA,70726,LIVINGSTON,cheronneia.fisher@fphsa.org,(225) 665-0473,2203784300
Behavioral Health Service,Destined for a Change,2968 General Collins Avenue,NEW ORLEANS,LA,70114,ORLEANS,murphy.joycelyn@yahoo.com,(504) 394-5937,2203784844
Behavioral Health Service,Destined for Options - Chalmette,"908 W Judge Perez, Suite C",CHALMETTE,LA,70043,ST. BERNARD,destinedforoptions@gmail.com,(504) 324-5298,2203783428
Behavioral Health Service,Destined for Options - Metairie,"3100 Ridgelake Drive, Suite 309",METAIRIE,LA,70002,JEFFERSON,destinedforoptions@gmail.com,(504) 309-0259,2203783429
Behavioral Health Service,"Destiny Counseling Agency, LLC",2924 Knight St. Suite 436,SHREVEPORT,LA,71105,CADDO,destinycounseling@msn.com,(318) 606-4247,2203783835
Behavioral Health Service,"Dimensional Behavioral Health Services, Inc      ","3600 Jackson Street, Suite 111B",ALEXANDRIA,LA,71301,RAPIDES,passiontaylorpayne@gmail.com,(318) 483-4155,2203783791
Behavioral Health Service,Disney and Associates,112 State Street,LAKE CHARLES,LA,70605,CALCASIEU,disneyassoc@xspedius.net,(337) 431-7194,2203784782
Behavioral Health Service,"Divine Intervention Rehabilitation, LLC","3221 Behrman Place, Suite 201",NEW ORLEANS,LA,70114,ORLEANS,sjosephdukes@dirnola.com,(504) 263-2800,2203782740
Behavioral Health Service,"DOBI Healthcare Service, LLC",6009 Financial Plaza Suite 105,SHREVEPORT,LA,71129,CADDO,dobihealthcareservices@hotmail.com,(318) 678-8858,2203783726
Behavioral Health Service,Dr. Joseph Henry Tyler Jr Behavioral Health Clinic,302 Dulles Drive,LAFAYETTE,LA,70506,LAFAYETTE,tynese.breaux@la.gov,(337) 262-4100,2203782722
Behavioral Health Service,"DuraCare Counseling and Consulting Services, LLC","4323 Division Street, Suite 102",METAIRIE,LA,70002,JEFFERSON,wendydurant@duracarecounseling.com,(504) 327-5753,2203782581
Behavioral Health Service,Easter Seals Louisiana - Monroe,"1103 Hudson Lane, Suite 1",MONROE,LA,71201,OUACHITA,eodom@laeasterseals.com,(318) 388-0293,2203784280
Behavioral Health Service,Easter Seals Louisiana - Shreveport,"3007 Knight Street, Suite 200",SHREVEPORT,LA,71105,CADDO,eodom@laeasterseals.com,(318) 221-8244,2203783170
Behavioral Health Service,Easy Living Behavioral Health,1648 Carter Street,VIDALIA,LA,71373,CONCORDIA,lnichols.elbh@outlook.com,(318) 734-0034,2203784934
Behavioral Health Service,Easy Living Behavioral Health,216 Ouachita Ave,MONROE,LA,71202,OUACHITA,myrtleburks22@yahoo.com,(318) 322-4770,2203782972
Behavioral Health Service,Eclectic Counseling Services,"6305 Elysian Fields Ave, Suite 404",NEW ORLEANS,LA,70122,ORLEANS,rjones4@my.uno.edu,(504) 281-7735,2203783154
Behavioral Health Service,Edgefield Recovery Center,10627-10631 Highway 71 South,CHENEYVILLE,LA,71325,RAPIDES,ftpwrs@gmail.com,(318) 279-2751,2203782779
Behavioral Health Service,"Ekems Healthcare, Inc",8470 Morrison Rd,NEW ORLEANS,LA,70127,ORLEANS,ekemshealthcarei@bellsouth.net,(504) 248-1581,2203783663
Behavioral Health Service,Elev8 Treatment & Legacy Center,7742 Office Park Blvd Suite C-2,BATON ROUGE,LA,70809,EAST BATON ROUGE,moakley@elev8treatment.com,(225) 448-0440,2203784845
Behavioral Health Service,Enhance Healthcare Services Behavioral Health,"1058 East Worthey Street, Suite B-2",GONZALES,LA,70737,ASCENSION,enhancebhs@gmail.com,(225) 450-3216,2203783526
Behavioral Health Service,"Enhanced Destiny Services, Inc",2740 Iberville Street,NEW ORLEANS,LA,70119,ORLEANS,info@enhanceddestinyservices.org,(504) 821-8184,2203783699
Behavioral Health Service,"Enrich Behavioral Health, LLC","806 North 31st Street, Suite C",MONROE,LA,71201,OUACHITA,kirstenworks@aol.com,(318) 570-2981,2203783135
Behavioral Health Service,"Envision Counseling Services, LLC","7505 Pines Road, Suite 1230",SHREVEPORT,LA,71129,CADDO,ecs@envisioncounselingservicesworks.com,(318) 562-3707,2203783220
Behavioral Health Service,"Essential Care Services, LLC",3901 Ulloa Street,NEW ORLEANS,LA,70119,ORLEANS,T.Gonzalez@essentialcareservices.com,(504) 267-5712,2203783664
Behavioral Health Service,Eternal Crisis Outreach,10830 Greenwell Springs Rd. ,BATON ROUGE,LA,70814,EAST BATON ROUGE,eternalcrisisoutreach@gmail.com,(225) 444-5125,2203784139
