Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Phone Number,Date Accessed
Valley Lakes Assisted Living,ASSISTED-LIVING FACILITY,1006 SOUTH MAYNE STREET,Valley,NE,68064,Douglas,(402) 359-4884,6/29/21
Fountain View Assisted Living & Special Memory Care,ASSISTED-LIVING FACILITY,5710 SOUTH 108TH STREET,Omaha,NE,68137,Douglas,(402) 596-9033,6/29/21
"Continental Senior Living, Llc",ASSISTED-LIVING FACILITY,3200 G STREET,South Sioux City,NE,68776,Dakota,(402) 494-3043,6/29/21
"Liberty House, Wahoo",ASSISTED-LIVING FACILITY,1145 NORTH LAUREL,Wahoo,NE,68066,Saunders,(402) 681-5018,6/29/21
Primrose Retirement Community Of Grand Island,ASSISTED-LIVING FACILITY,3990 W CAPITAL AVENUE,Grand Island,NE,68803,Hall,(308) 381-4100,6/29/21
"Grand Island Country House, Llc",ASSISTED-LIVING FACILITY,833 ALPHA STREET,Grand Island,NE,68803,Hall,(308) 381-1988,6/29/21
Good Samaritan Society - Victorian Legacy,ASSISTED-LIVING FACILITY,1160 SUNRISE STREET,Superior,NE,68978,Nuckolls,(402) 879-3099,6/29/21
Stone Hearth Estates,ASSISTED-LIVING FACILITY,"110 W 20TH STREET, SUITE 400",Gothenburg,NE,69138,Dawson,(308) 537-7771,6/29/21
Via Christe,ASSISTED-LIVING FACILITY,3636 CALIFORNIA STREET,Omaha,NE,68131,Douglas,(402) 551-5557,6/29/21
The Nebraska Masonic Home,ASSISTED-LIVING FACILITY,1300 AVENUE D,Plattsmouth,NE,68048,Cass,(402) 296-7300,6/29/21
College View Assisted Living And Memory Support,ASSISTED-LIVING FACILITY,1100 N 6TH AVENUE,Hastings,NE,68901,Adams,(402) 462-6264,6/29/21
Yankee Hill Village,ASSISTED-LIVING FACILITY,8401 SOUTH 33RD STREET,Lincoln,NE,68516,Lancaster,(402) 489-0331,6/29/21
Parkview-Heights,ASSISTED-LIVING FACILITY,933 GRANT STREET,Imperial,NE,69033,Chase,(308) 882-5333,6/29/21
Meadowlark Pointe Assisted Living,ASSISTED-LIVING FACILITY,2300 AVENUE O,Cozad,NE,69130,Dawson,(308) 784-4100,6/29/21
Meridian Gardens Assisted Living,ASSISTED-LIVING FACILITY,4515 38TH STREET,Columbus,NE,68601,Platte,(402) 564-6300,6/29/21
The Independence Houses At Coddington,ASSISTED-LIVING FACILITY,"PO BOX 85321, 5500 S CODDINGTON AVE",Lincoln,NE,68501,Lancaster,(402) 475-7755,6/29/21
Louisville Care Center-Assisted Living Facility,ASSISTED-LIVING FACILITY,410 WEST 5TH STREET,Louisville,NE,68037,Cass,(402) 234-2125,6/29/21
Elk Ridge Village,ASSISTED-LIVING FACILITY,19400 ELK RIDGE DRIVE,Elkhorn,NE,68022,Douglas,(402) 763-8695,6/29/21
Haven Manor Hickman,ASSISTED-LIVING FACILITY,730 LARKSPUR DRIVE,Hickman,NE,68372,Lancaster,(402) 792-3088,6/29/21
"Compassionate Memory Care 1, Inc",ASSISTED-LIVING FACILITY,2402 N 102 STREET,Omaha,NE,68134,Douglas,(402) 612-6789,6/29/21
Heritage Pointe Assisted Living,ASSISTED-LIVING FACILITY,16811 BURDETTE STREET,Omaha,NE,68116,Douglas,(402) 614-5222,6/29/21
An Angel'S Touch,ASSISTED-LIVING FACILITY,1113 NORTH 85TH STREET,Omaha,NE,68114,Douglas,(402) 397-9597,6/29/21
St Joseph'S Court,ASSISTED-LIVING FACILITY,646 I STREET,David City,NE,68632,Butler,(402) 367-3045,6/29/21
Colonial Courts,ASSISTED-LIVING FACILITY,424 HARRISON,Beemer,NE,68716,Cuming,(402) 528-3268,6/29/21
Prairie Village Retirement Center,ASSISTED-LIVING FACILITY,3000 39TH AVENUE,Columbus,NE,68601,Platte,(402) 563-4213,6/29/21
Carter Place,ASSISTED-LIVING FACILITY,1028 JO ANN DRIVE,Blair,NE,68008,Washington,(402) 426-1977,6/29/21
Custer Care,ASSISTED-LIVING FACILITY,1020 SOUTH 2ND AVENUE,Broken Bow,NE,68822,Custer,(308) 872-6303,6/29/21
The Kensington,ASSISTED-LIVING FACILITY,105 NORTH 6TH,Beatrice,NE,68310,Gage,(402) 228-2000,6/29/21
Ponderosa Villa,ASSISTED-LIVING FACILITY,755 1ST STREET- P O BOX 526,Crawford,NE,69339,Dawes,(308) 665-1224,6/29/21
Life Essentials Assisted Living,ASSISTED-LIVING FACILITY,920 EAST 16TH STREET,Central City,NE,68826,Merrick,(308) 946-3189,6/29/21
Hickory Villa,ASSISTED-LIVING FACILITY,7315 HICKORY STREET,Omaha,NE,68124,Douglas,(402) 392-0767,6/29/21
"The Meadows, Inc.",ASSISTED-LIVING FACILITY,500 SOUTH 18TH STREET,Norfolk,NE,68701,Madison,(402) 371-1730,6/29/21
Cottonwood Estates,ASSISTED-LIVING FACILITY,2316 28TH STREET,Central City,NE,68826,Merrick,(308) 946-2100,6/29/21
"Lincoln Country House, Llc",ASSISTED-LIVING FACILITY,5720 SOUTH 25TH STREET,Lincoln,NE,68512,Lancaster,(402) 421-1160,6/29/21
Prairie Breeze Assisted Living,ASSISTED-LIVING FACILITY,1 MAZOUR DRIVE,Pender,NE,68047,Thurston,(402) 385-1999,6/29/21
Oxbow Living Center,ASSISTED-LIVING FACILITY,1617 BILLS DRIVE,Ashland,NE,68003,Saunders,(402) 944-3400,6/29/21
"Compassionate Memory Care 2, Inc",ASSISTED-LIVING FACILITY,407 SOUTH 86TH STREET,Omaha,NE,68114,Douglas,(402) 612-6789,6/29/21
Ridgewood Active Retirement Community,ASSISTED-LIVING FACILITY,12301 NORTH 149TH CIRCLE,Bennington,NE,68007,Douglas,(402) 884-7644,6/29/21
The Independence Houses At Northview,ASSISTED-LIVING FACILITY,"PO BOX 85321, 2355 SUPERIOR STREET",Lincoln,NE,68501,Lancaster,(402) 475-7755,6/29/21
Willow Brook Assisted Living,ASSISTED-LIVING FACILITY,2714 NORTH LINCOLN AVENUE,York,NE,68467,York,(402) 362-4886,6/29/21
Good Samaritan Society - Crane Meadows Assisted Living,ASSISTED-LIVING FACILITY,4071 TIMBERLINE STREET,Grand Island,NE,68803,Hall,(308) 384-3535,6/29/21
Havelock Manor,ASSISTED-LIVING FACILITY,6330 PLATTE AVENUE,Lincoln,NE,68507,Lancaster,(402) 464-2222,6/29/21
Heritage Ridge Retirement Community,ASSISTED-LIVING FACILITY,1502 FORT CROOK ROAD SOUTH,Bellevue,NE,68005,Sarpy,(402) 932-1881,6/29/21
Oakland Heights Assisted Living,ASSISTED-LIVING FACILITY,207 SOUTH ENGDAHL AVENUE,Oakland,NE,68045,Burt,(402) 685-5683,6/29/21
The Waterford At Williamsburg,ASSISTED-LIVING FACILITY,3940 PINE LAKE ROAD,Lincoln,NE,68516,Lancaster,(402) 423-0000,6/29/21
Saunders House,ASSISTED-LIVING FACILITY,1313 HACKBERRY STREET,Wahoo,NE,68066,Saunders,(402) 443-3333,6/29/21
The Villa At Crown Pointe,ASSISTED-LIVING FACILITY,2820 SOUTH 80TH STREET,Omaha,NE,68124,Douglas,(402) 391-7555,6/29/21
Quality Living Inc - Lied Assisted Living,ASSISTED-LIVING FACILITY,6409 NORTH 70TH PLAZA,Omaha,NE,68104,Douglas,(402) 573-3700,6/29/21
Cherry Corner Estates,ASSISTED-LIVING FACILITY,40 NORTH CHERRY STREET,Red Cloud,NE,68970,Webster,(402) 746-2340,6/29/21
Gracepointe Assisted Living And Memory Care,ASSISTED-LIVING FACILITY,4620 RANDOLPH,Lincoln,NE,68510,Lancaster,(402) 484-9888,6/29/21
"Lincoln Countryhouse Ii, Llc",ASSISTED-LIVING FACILITY,6616 S 84TH STREET,Lincoln,NE,68516,Lancaster,(402) 421-1300,6/29/21
Community Supports Of Lincoln (Csl),ASSISTED-LIVING FACILITY,2231 WEST O STREET,Lincoln,NE,68528,Lancaster,(402) 466-2688,6/29/21
"Highland Park Retirement Community, Inc",ASSISTED-LIVING FACILITY,"PO BOX 1011, 610 EAST 14TH STREET",Mccook,NE,69001,Red Willow,(308) 345-7757,6/29/21
Assisted Living At Lakeside Village,ASSISTED-LIVING FACILITY,17475 FRANCES STREET,Omaha,NE,68130,Douglas,(402) 829-9020,6/29/21
Assisted Living At Immanuel Village,ASSISTED-LIVING FACILITY,6801 NORTH 67TH PLAZA,Omaha,NE,68152,Douglas,(402) 829-3240,6/29/21
Madison House,ASSISTED-LIVING FACILITY,1120 NORTH 1ST STREET,Norfolk,NE,68701,Madison,(402) 644-4567,6/29/21
Morton Place,ASSISTED-LIVING FACILITY,1500 14TH AVENUE,Nebraska City,NE,68410,Otoe,(402) 873-5551,6/29/21
The Waterford At Wilderness Hills Memory Care,ASSISTED-LIVING FACILITY,8939 KEYSTONE DRIVE,Lincoln,NE,68516,Lancaster,(402) 421-8105,6/29/21
Esprit Of Whispering Ridge Omaha,ASSISTED-LIVING FACILITY,17555 EMMET STREET,Omaha,NE,68116,Douglas,(402) 932-7300,6/29/21
Prairie View Assisted Living,ASSISTED-LIVING FACILITY,100 S PINE STREET,Tilden,NE,68781,Antelope,(402) 368-2250,6/29/21
High Plains Alzheimer'S Special Care Center,ASSISTED-LIVING FACILITY,5601 SOUTH 84TH STREET,Lincoln,NE,68516,Lancaster,(402) 483-0250,6/29/21
Prairie Meadows Alzheimer'S Special Care Center,ASSISTED-LIVING FACILITY,13208 MEREDITH AVENUE,Omaha,NE,68164,Douglas,(402) 391-2790,6/29/21
Tri Valley Assisted Living,ASSISTED-LIVING FACILITY,711 MOUSEL AVENUE,Cambridge,NE,69022,Furnas,(308) 697-4422,6/29/21
Providence Place Of Fremont,ASSISTED-LIVING FACILITY,740 E 32ND STREET,Fremont,NE,68025,Dodge,(402) 727-8200,6/29/21
Mahoney House,ASSISTED-LIVING FACILITY,1810 EAST 12TH STREET,York,NE,68467,York,(402) 362-5538,6/29/21
Legato Living,ASSISTED-LIVING FACILITY,2315 SOUTH 168TH STREET,Omaha,NE,68130,Douglas,(402) 445-4474,6/29/21
Countryhouse Residence,ASSISTED-LIVING FACILITY,5030 SOUTH 155TH STREET,Omaha,NE,68137,Douglas,(402) 964-2060,6/29/21
Hemingford Community Care Center & Assisted Living,ASSISTED-LIVING FACILITY,605 DONALD AVENUE,Hemingford,NE,69348,Box Butte,(308) 487-3301,6/29/21
Kingswood Court,ASSISTED-LIVING FACILITY,1005 IDAHO STREET,Superior,NE,68978,Nuckolls,(402) 207-1050,6/29/21
Operation First Step,ASSISTED-LIVING FACILITY,2427 SPENCER STREET,Omaha,NE,68111,Douglas,(402) 639-1512,6/29/21
The Arbors,ASSISTED-LIVING FACILITY,3777 NORTH 58TH STREET,Lincoln,NE,68507,Lancaster,(402) 466-3777,6/29/21
The Heather- O.U.R. Homes,ASSISTED-LIVING FACILITY,2039 Q STREET,Lincoln,NE,68503,Lancaster,(402) 474-2121,6/29/21
Shiloh Place Assisted Living,ASSISTED-LIVING FACILITY,915 NORTH H STREET,Fremont,NE,68025,Dodge,(402) 208-8859,6/29/21
Lakeview Living,ASSISTED-LIVING FACILITY,404 EAST 8TH STREET,Firth,NE,68358,Lancaster,(402) 791-0157,6/29/21
Providence Place Of Hastings,ASSISTED-LIVING FACILITY,3507 W 12TH STREET,Hastings,NE,68901,Adams,(402) 834-3285,6/29/21
The Heritage At Sterling Ridge,ASSISTED-LIVING FACILITY,1111 STERLING RIDGE DRIVE,Omaha,NE,68144,Douglas,(402) 504-3111,6/29/21
"Quality Senior Villages, Inc",ASSISTED-LIVING FACILITY,715 ARAPAHOE LANE,Broken Bow,NE,68822,Custer,(308) 872-6387,6/29/21
Assisted Living At Pacific Springs Village,ASSISTED-LIVING FACILITY,808 SOUTH 173RD COURT,Omaha,NE,68118,Douglas,(402) 829-3288,6/29/21
Hillcrest Grand Lodge Assisted Living,ASSISTED-LIVING FACILITY,6021 GRAND LODGE AVENUE,Papillion,NE,68133,Sarpy,(402) 885-7022,6/29/21
Meadowlark Heights Assisted Living,ASSISTED-LIVING FACILITY,"1111 4TH STREET, BOX 667",Deshler,NE,68340,Thayer,(402) 365-4545,6/29/21
Prescott Place,ASSISTED-LIVING FACILITY,4603 PRESCOTT AVENUE,Lincoln,NE,68506,Lancaster,(402) 483-4086,6/29/21
"Kearney Countryhouse, Llc",ASSISTED-LIVING FACILITY,5605 K AVENUE,Kearney,NE,68847,Buffalo,(308) 455-8000,6/29/21
An Angel'S Touch,ASSISTED-LIVING FACILITY,340 NORTH 93RD STREET,Omaha,NE,68114,Douglas,(402) 359-1242,6/29/21
Aksarben Village Senior Living Community,ASSISTED-LIVING FACILITY,1330 SOUTH 70TH STREET,Omaha,NE,68106,Douglas,(402) 763-0961,6/29/21
Bridging Hands Llc,ASSISTED-LIVING FACILITY,4548 BEDFORD AVENUE,Omaha,NE,68104,Douglas,(402) 506-4169,6/29/21
Richmont Terrace Assisted Living & Memory Care,ASSISTED-LIVING FACILITY,620 FORT CROOK ROAD SOUTH,Bellevue,NE,68005,Sarpy,(402) 291-9800,6/29/21
The Heritage At Legacy,ASSISTED-LIVING FACILITY,2961 SOUTH 169 PLAZA,Omaha,NE,68130,Douglas,(402) 934-2999,6/29/21
"Lincoln Countryhouse Iii, Llc",ASSISTED-LIVING FACILITY,240 SOUTH 70TH STREET,Lincoln,NE,68510,Lancaster,(402) 421-2200,6/29/21
Hope Cooperative Care,ASSISTED-LIVING FACILITY,324 NORTH 5TH STREET,Plattsmouth,NE,68048,Cass,(402) 298-4140,6/29/21
The Heritage At Sagewood,ASSISTED-LIVING FACILITY,1920 SAGEWOOD AVENUE,Grand Island,NE,68803,Hall,(308) 398-8005,6/29/21
Country Lane Retirement Village,ASSISTED-LIVING FACILITY,1203 EAST HYNES,O' Neill,NE,68763,Holt,(402) 961-1358,6/29/21
Whispering Winds Cottage,ASSISTED-LIVING FACILITY,628 NORTH 33RD STREET,Beatrice,NE,68310,Gage,(402) 228-6354,6/29/21
The Woodlands At Hillcrest,ASSISTED-LIVING FACILITY,9421 GABLE PINES ROAD,Lincoln,NE,68527,Lancaster,(402) 261-0261,6/29/21
Knolls Senior Living,ASSISTED-LIVING FACILITY,5801 NORMAN ROAD,Lincoln,NE,68512,Lancaster,(531) 264-7864,6/29/21
Pemberly Place Senior Living,ASSISTED-LIVING FACILITY,7655 ARCHER PLACE,Lincoln,NE,68516,Lancaster,(402) 413-9770,6/29/21
Pawnee City Assisted Living,ASSISTED-LIVING FACILITY,330 12TH STREET,Pawnee City,NE,68420,Pawnee,(402) 852-2055,6/29/21
Bridging Hands Ii,ASSISTED-LIVING FACILITY,3368 GRAND AVENUE,Omaha,NE,68104,Douglas,(402) 707-9418,6/29/21
Fallbrook Assisted Living & Memory Care,ASSISTED-LIVING FACILITY,6600 JULIET COURT,Lincoln,NE,68521,Lancaster,(402) 261-9050,6/29/21
Brookestone Gardens,ASSISTED-LIVING FACILITY,2615 WEST 11TH STREET,Kearney,NE,68845,Buffalo,(308) 236-0211,6/29/21
Friendship Home Assisted Living,ASSISTED-LIVING FACILITY,"PO BOX 340, 1015 F STREET",Burwell,NE,68823,Garfield,(308) 346-4440,6/29/21
The Meriwether,ASSISTED-LIVING FACILITY,8140 S 97TH PLAZA,La Vista,NE,68128,Sarpy,(402) 597-0700,6/29/21
Hope-Wymore Inc,ASSISTED-LIVING FACILITY,105 EAST D STREET,Wymore,NE,68466,Gage,(402) 645-3198,6/29/21
Becky'S House,ASSISTED-LIVING FACILITY,13016 SHIRLEY STREET,Omaha,NE,68144,Douglas,(402) 885-8103,6/29/21
Lifebrook By Eastmont,ASSISTED-LIVING FACILITY,6315 O STREET,Lincoln,NE,68510,Lancaster,(402) 610-0121,6/29/21
"Grandview Partners, Llc",ASSISTED-LIVING FACILITY,3720 GEORGE B LAKE PARKWAY,Elkhorn,NE,68022,Douglas,(531) 999-2747,6/29/21
The Heritage At Fountain Point,ASSISTED-LIVING FACILITY,3725 MADISON AVENUE,Norfolk,NE,68701,Madison,(402) 758-9000,6/29/21
