Facility Address,Facility ID,Facility Name,Administrator,Telephone,Type,County Name,Facility has Secured Bed?,address,fac_city,fac_st,fac_zip,Facility Email,Open Date,Owner Address,Owner Category,Owner Company,Owner Phone,Cert Beds,Licensed Beds,securebeds
"9875 W MORRISON RD LAKEWOOD, CO 80227",23R667,MORRISON MANOR LLC,Ms URSLA MARTINEZ,3039862216,ASSISTED LIVING RESIDENCE,DENVER,No,9875 W MORRISON RD,LAKEWOOD,CO,80227,,3/6/20,"1685 S COLORADO BLVD SUITE S404 DENVER, CO 80222", LIMITED LIABIL,MORRISON MANOR LLC,720-371-1080,0,12,0
"555 SOUTH PIERCE ST LAKEWOOD, CO 80226",23R738,LAKEWOOD RESERVE,Ms BARBARA DICE,3037424800,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,555 SOUTH PIERCE ST,LAKEWOOD,CO,80226,,11/9/00,"400 BROADACRES DR. BLOOMFIELD, NJ 07003", LIMITED LIABIL,PIERCE SENIOR CARE LLC,973-661-8300,0,274,19
"222 EAGLE CREST DRIVE RANGELY, CO 81648",23R741,EAGLE CREST ASSISTED LIVING COMMUNITY,Ms TAMMY DUNKER,9706754298,ASSISTED LIVING RESIDENCE,RIO BLANCO,No,222 EAGLE CREST DRIVE,RANGELY,CO,81648,sshriver@rdhosp.org,4/4/01,"225 EAGLE CREST DRIVE RANGELY, CO 81648", DISTRICT,RANGELY HOSPITAL DISTRICT,970-675-4231,20,20,0
"7052 W STANFORD AVE LITTLETON, CO 80123",23R742,"GARDENS CARE HOMES PINEHURST, THE",Ms JENNIFER CONRAD,3034216539,ASSISTED LIVING RESIDENCE,JEFFERSON,No,7052 W STANFORD AVE,LITTLETON,CO,80123,thegardenscarehomes@gmail.com,6/5/18,"12650 W 64TH AVE E172 ARVADA, CO 80004", LIMITED LIABIL,"GARDENS CARE HOMES LLC, THE",303-566-1085,0,12,0
"3205 LESLIE DRIVE COLORADO SPRINGS, CO 80909",23R889,"COUNTRY CLUB ASSISTED LIVING, INC",Mr FRANCK MARTIN,7193291200,ASSISTED LIVING RESIDENCE,EL PASO,No,3205 LESLIE DRIVE,COLORADO SPRINGS,CO,80909,fmartin@promsi.com,11/19/01,"3205 LESLIE DRIVE COLORADO SPRINGS, CO 80909", LIMITED LIABIL,"COUNTRY CLUB ASSISTED LIVING, LLC",,0,8,0
"5050 TROY DENVER, CO 80239",23R990,TY'S HOUSE LLC,Ms CAROLYN SHOCKLEY,3033078332,ASSISTED LIVING RESIDENCE,DENVER,No,5050 TROY,DENVER,CO,80239,carolyn_@qwestoffice.net,1/8/01,"5060 TROY DENVER, CO 80239", LIMITED LIABIL,"TY'S HOUSE, LLC",303-307-8332,4,8,0
"6197 W 83RD WAY ARVADA, CO 80003",23S208,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,Ms NICOLE SCHIAVONE,3034634363,ASSISTED LIVING RESIDENCES,JEFFERSON,No,6197 W 83RD WAY,ARVADA,CO,80003,nicole@awildflowerassistedliving.com,7/25/06,"1140 US HWY 287 UNIT 400-298 BROOMFIELD, CO 80020", PROFIT-CORPORA,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,720-628-9092,8,8,0
"2450 LOWER GOLD CAMP RD COLORADO SPRINGS, CO 80906",23S293,MORNINGSTAR AT BEAR CREEK,Mr TERRY LAMANTIA,7196941411,ASSISTED LIVING RESIDENCE,EL PASO,Yes,2450 LOWER GOLD CAMP RD,COLORADO SPRINGS,CO,80906,bearcreek.ed@morningstarseniorliving.com,9/3/14,"1180 PEACHTREE STREET NE 30TH FLOOR ATLANTA, GA 30309", LIMITED LIABIL,MORNINGSTAR BEAR CREEK OPERATOR,404-724-1830,0,60,60
"8385 S YARROW STREET LITTLETON, CO 80128",23S294,"THRIVECARE YARROW, LLC",Mr CASEY LENO,7208087307,ASSISTED LIVING RESIDENCE,JEFFERSON,No,8385 S YARROW STREET,LITTLETON,CO,80128,,11/19/15,"716 RIDGEMONT PL HIGHLANDS RANCH, CO 80126", LIMITED LIABIL,"THRIVECARE YARROW, LLC",720-808-7307,0,10,0
"2141 S LANSING CT AURORA, CO 80014",23S305,LANSING ASSISTED LIVING,Ms JOANN DEDMON,7205358028,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2141 S LANSING CT,AURORA,CO,80014,g.dirks@comcast.net,8/14/06,"PO BOX 4633 GREENWOOD VILLAGE, CO 80155", LIMITED LIABIL,JEWELL LANSING ASSISTED LIVING LLC,303-960-9586,0,8,
"11275 GRANT DRIVE NORTHGLENN, CO 80233",23V344,SUNNYSLOPE ESTATE VILLA,,7206637141,ASSISTED LIVING RESIDENCE,ADAMS,No,11275 GRANT DRIVE,NORTHGLENN,CO,80233,,6/8/12,"P.O. BOX 934 BROOMFIELD, CO 80038", LIMITED LIABIL,CARE GROUP LLC,303-736-1187,28,32,
"1333 DARBY STREET COLORADO SPRINGS, CO 80907",2305HN,GENTLE CARE HOUSE,Ms AMANDA COLE,7194669863,ASSISTED LIVING RESIDENCE,EL PASO,No,1333 DARBY STREET,COLORADO SPRINGS,CO,80907,gentlecarehouse@yahoo.com,12/9/95,"825 STAGECOACH DRIVE SANTE FE, NM 87501", CORPORATE NON-,HUBBARD PROPERTY MANAGEMENT INC,719-522-1671,0,8,
"4761 E COSTILLA AVE CENTENNIAL, CO 80122",2304VQ,SOMEREN GLEN ASSISTED LIVING,Mr CRAIG SPARKMAN,3037415555,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,4761 E COSTILLA AVE,CENTENNIAL,CO,80122,,9/23/96,"9570 S. KINGSTON CT., SUITE 300 ENGLEWOOD, CO 80112", CORPORATE NON-,CHRISTIAN LIVING NEIGHBORHOODS,720-974-3555,0,55,0
"1380 CHARLES DRIVE LONGMONT, CO 80503",230383,BEATRICE HOVER ASSISTED LIVING RESIDENCE,Ms LISA BRYANT,3037729292,ASSISTED LIVING RESIDENCE,BOULDER,No,1380 CHARLES DRIVE,LONGMONT,CO,80503,lczolowski@hovercommunity.org,4/2/90,"1380 CHARLES DRIVE LONGMONT, CO 80503", CORPORATE NON-,"HOVER COMMUNITY, INC",303-772-9292,0,55,0
"12150 E ANDREWS DRIVE SUITE B DENVER, CO 80239",235HXR,OPEN ARMS ASSISTED LIVING SUITE B,Ms JENNIFER MONEYPENNY,7204528006,ASSISTED LIVING RESIDENCE,DENVER,No,12150 E ANDREWS DRIVE SUITE B,DENVER,CO,80239,,11/10/20,"101 S REID STREET SIOUX FALLS, SD 57103", CORPORATE NON-,OPEN ARMS ASSISTED LIVING,909-241-0964,0,14,0
"4115 W 38TH AVENUE DENVER, CO 80212",230464,"ARGYLE, THE",Mr TOM CARLSON,3034559513,ASSISTED LIVING RESIDENCE,DENVER,No,4115 W 38TH AVENUE,DENVER,CO,80212,,11/7/86,"4115 W 38TH AVENUE DENVER, CO 80212", CORPORATE NON-,"LADIES RELIEF SOCIETY OF DENVER, THE",303-455-9513,0,140,0
"2825 W 32ND AVE DENVER, CO 80211",230426,GARDENS AT ST ELIZABETH,Ms JANE WOLOSON (KELLEY),3039642000,ASSISTED LIVING RESIDENCE,DENVER,No,2825 W 32ND AVE,DENVER,CO,80211,mbouhall@chilivingcomm.org,5/19/92,"5942 RENAISSANCE PLACE TOLDEO, OH 43623", CORPORATE NON-,CHI LIVING COMMUNITIES,567-455-0414,0,145,0
"9221 WADSWORTH PARKWAY WESTMINSTER, CO 80021",230432,COVENANT VILLAGE ASSISTED LIVING,Ms. JESSICA WEBB,3035156370,ASSISTED LIVING RESIDENCE,JEFFERSON,No,9221 WADSWORTH PARKWAY,WESTMINSTER,CO,80021,pjmilbourn@covenantretirement.org,12/15/97,"9153 YARROW STREET WESTMINSTER, CO 80021", CORPORATE NON-,COVENANT LIVING OF COLORADO,303-403-2900,0,60,0
"508 W TRILBY ROAD FORT COLLINS, CO 80525",230329,FORT COLLINS GOOD SAMARITAN RETIREMENT VILLAGE-ALR,Ms JULIE RICH,9702264909,ASSISTED LIVING RESIDENCE,LARIMER,No,508 W TRILBY ROAD,FORT COLLINS,CO,80525,jrich@good-sam.com,10/28/86,"4800 WEST 57TH STREET SIOUX FALLS, SD 57108", CORPORATE NON-,"EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, THE",605-362-3100,0,28,0
"2101 S GARFIELD AVE LOVELAND, CO 80537",230373,GOOD SAMARITAN SOCIETY -LOVELAND VILLAGE,Ms MELISSA RIEHL,9706693100,ASSISTED LIVING RESIDENCE,LARIMER,No,2101 S GARFIELD AVE,LOVELAND,CO,80537,,5/6/95,"4800 WEST 57TH STREET SIOUX FALLS, SD 57108", CORPORATE NON-,"EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, THE",605-362-3100,0,60,0
"1819 PAVILION DR MONTROSE, CO 81401",23L630,"HOMESTEAD AT MONTROSE, THE",Ms ERINB SMITH-BERGE,9709643400,ASSISTED LIVING RESIDENCE,MONTROSE,No,1819 PAVILION DR,MONTROSE,CO,81401,dswanson@voa.org,4/22/04,"7485 OFFICE RIDGE CIRCLE EDEN PRAIRIE, MN 55344", CORPORATE NON-,"HOMESTEAD AT MONTROSE, INC, THE",952-941-0305,0,70,0
"1920 EDISON ST BRUSH, CO 80723",2301H4,EBEN EZER LUTHERAN CARE CENTER-II,Ms LYNELLE PHILLIPS,9708422861,ASSISTED LIVING RESIDENCE,MORGAN,No,1920 EDISON ST,BRUSH,CO,80723,lynelle.phillips@ebenezer-cares.org,9/18/95,"122 HOSPITAL ROAD BRUSH, CO 80723", CORPORATE NON-,EBEN EZER LUTHERAN CARE CENTER,970-842-2861,0,28,0
"36049 WELD COUNTY ROAD 51 GALETON, CO 80622",230343,TRIANGLE CROSS RANCH, SUSAN LABONDE,9704542219,ASSISTED LIVING RESIDENCE,WELD,No,36049 WELD COUNTY ROAD 51,GALETON,CO,80622,director@trianglecrossranch.org,11/11/96,"36045 WELD COUNTY ROAD 51 GALETON, CO 80622", CORPORATE NON-,TRIANGLE CROSS RANCH INC,970-454-2219,0,24,0
"5905 S MILWAUKEE WAY CENTENNIAL, CO 80121",23W277,ROCKY MOUNTAIN ASSISTED LIVING- MILWAUKEE,Ms JESSICA HARMON,3039966886,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,5905 S MILWAUKEE WAY,CENTENNIAL,CO,80121,dave@rockymountainassistedliving.com,5/5/14,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", CORPORATE NON-,"ROCKY MOUNTAIN ASSISTED LIVING, LLC",303-996-6886,0,12,12
"5590 E PEAKVIEW AVENUE CENTENNIAL, CO 80121",23Y389,"SUITES AT HOLLY CREEK ASSISTED LIVING, THE",Mr ERIC ADOLPH,7202662601,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,5590 E PEAKVIEW AVENUE,CENTENNIAL,CO,80121,,11/13/08,"9570 S. KINGSTON CT., SUITE 300 ENGLEWOOD, CO 80112", CORPORATE NON-,CHRISTIAN LIVING COMMUNITIES,720-974-3555,0,46,12
"1831 COMPASSION DR WINDSOR, CO 80550",23V721,GOOD SAMARITAN SOCIETY WATER VALLEY SR LVG RESORT,Ms AMANDA KERR,9706862743,ASSISTED LIVING RESIDENCE,WELD,Yes,1831 COMPASSION DR,WINDSOR,CO,80550,,4/21/20,"4800 WEST 57TH STREET SIOUX FALLS, SD 57108", CORPORATE NON-,"EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, THE",605-362-3100,0,68,16
"4950 THUNDERBIRD DRIVE BOULDER, CO 80303",23J640,FRASIER MEADOWS MANOR INC ASSISTED LIVING CENTER,Ms MEGAN THOMAS,7205624462,ASSISTED LIVING RESIDENCE,BOULDER,Yes,4950 THUNDERBIRD DRIVE,BOULDER,CO,80303,mmcparland@frasiermeadows.org,8/5/02,"350 PONCA PLACE BOULDER, CO 80303", CORPORATE NON-,"FRASIER MEADOWS MANOR, INC.",303-499-4888,0,55,19
"2479 S CLERMONT STREET DENVER, CO 80222",230463,CLERMONT PARK ASSISTED LIVING,Ms MIKAELA CRAIG,7209747275,ASSISTED LIVING RESIDENCE,DENVER,Yes,2479 S CLERMONT STREET,DENVER,CO,80222,cmiller@clcmail.org,11/7/86,"9570 S. KINGSTON CT., SUITE 300 ENGLEWOOD, CO 80112", CORPORATE NON-,CHRISTIAN LIVING NEIGHBORHOODS,720-974-3555,0,40,19
"243 N CHERRY STREET FRUITA, CO 81521",231128,"WILLOWS, THE",Mr JASON DAVIS,9708582184,ASSISTED LIVING RESIDENCE,MESA,Yes,243 N CHERRY STREET,FRUITA,CO,81521,jdavis@fhw.org,6/27/46,"228 NORTH CHERRY STREET FRUITA, CO 81521", CORPORATE NON-,THE LOWER VALLEY HOSPITAL ASSOCIATION,970-858-2164,0,26,26
"555 S ROCKRIMMON BLVD COLORADO SPRINGS, CO 80919",230541,VIEWPOINTE,Ms ROBYN PARKER,7195288000,ASSISTED LIVING RESIDENCE,EL PASO,Yes,555 S ROCKRIMMON BLVD,COLORADO SPRINGS,CO,80919,rparker@ba.org,,"15475 GLENEAGLE DRIVE COLORADO SPRINGS, CO 80921", CORPORATE NON-,BSLC II,719-481-0100,0,107,32
"1379 ASPEN WAY DELTA, CO 81416",23Z699,CROSSROADS AT DELTA MEMORY,Ms SARAH GASAWAY,9708086020,ASSISTED LIVING RESIDENCE,DELTA,Yes,1379 ASPEN WAY,DELTA,CO,81416,,1/7/16,"990 RESERVE DR SUITE 100 ROSEVILLE, CA 95678", CORPORATE NON-,CROSSROADS AT DELTA MEMORY,916-774-7700,0,48,48
"8201 WEST JEWELL AVENUE LAKEWOOD, CO 80232",23T750,CROSSROADS AT LAKEWOOD, CORY STRAUCH,7203580014,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,8201 WEST JEWELL AVENUE,LAKEWOOD,CO,80232,michele.strauch@crossroadsalc.org,7/15/16,"990 RESERVE DR SUITE 240 ROSEVILLE, CA 95678", CORPORATE NON-,CROSSROADS AT LAKEWOOD,916-774-7700,0,55,55
"1555 GLEN DEE DR LAKEWOOD, CO 80215",2304FK,LEARNING SERVICES CORPORATION - GLEN DEE,Ms SHERI RENE MILLS,3032323236,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1555 GLEN DEE DR,LAKEWOOD,CO,80215,rmills@learningservices.com,4/18/00,"10 SPEEN STREET 4TH FLOOR FRAMINGHAM, MA 01701", INDIVIDUAL,LEARNING SERVICES CORPORATION,508-270-5200,0,8,0
"1379 AVENIDA DEL SOL DURANGO, CO 81301",23Y298,"VILLA LUXURY SENIOR LIVING, THE",Ms CAROL CLYNE,9707497494,ASSISTED LIVING RESIDENCE,LA PLATA,No,1379 AVENIDA DEL SOL,DURANGO,CO,81301,,2/21/20,"1379 AVENIDA DEL SOL DURANGO, CO 81301", INDIVIDUAL,CAROL CLYNE,970-749-7494,0,8,0
"14601 E HAMPDEN PLACE AURORA, CO 80014",23T696,HAMPDEN HILLS ASSISTED LIVING LLC,Ms JOANN DEDMON,3036993480,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,14601 E HAMPDEN PLACE,AURORA,CO,80014,jjdedmon@gmail.com,8/29/12,"1582 S. PARKER RD STE. 300 DENVER, CO 80231", LIMITED LIABIL,ANDROMEDA INVESTMENTS LLC,303-597-1010,0,15,
"9271 E JEWELL CIRCLE DENVER, CO 80231",2304JQ,JEWELL ASSISTED LIVING,Ms JOANN DEDMON,3037557602,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,9271 E JEWELL CIRCLE,DENVER,CO,80231,g.dirks@comcast.net,3/19/97,"PO BOX 4633 GREENWOOD VILLAGE, CO 80155", LIMITED LIABIL,JEWELL LANSING ASSISTED LIVING LLC,303-960-9586,0,12,
"2440 S WABASH ST DENVER, CO 80231",23P249,MODENA CHERRY CREEK,Ms FELICITY FERGUSON,7204050500,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2440 S WABASH ST,DENVER,CO,80231,,10/20/20,"2440 S WABASH ST DENVER, CO 80231", LIMITED LIABIL,WABASH OWNER LLC,312-402-5589,0,105,
"8788 S FORREST DRIVE HIGHLANDS RANCH, CO 80126",23E526,SOLANGE AT SOUTH FORREST LLC,Mr BRYAN VILLARINO,7209650484,ASSISTED LIVING RESIDENCE,DOUGLAS,No,8788 S FORREST DRIVE,HIGHLANDS RANCH,CO,80126,,8/23/16,, LIMITED LIABIL,SOLANGE AT SOUTH FORREST LLC,,0,8,
"2395 H RD, BLDG B GRAND JUNCTION, CO 81505",23Z786,LA COLMENA LLC,Mr ADAM GATES,9705496554,ASSISTED LIVING RESIDENCE,MESA,No,"2395 H RD, BLDG B",GRAND JUNCTION,CO,81505,,3/2/21,"2395 H ROAD GRAND JUNCTION, CO 81505", LIMITED LIABIL,LA COLMENA LLC,970-549-6554,0,16,
"3151 W 20TH ST GREELEY, CO 80634",2303C0,GARDEN SQUARE AT WESTLAKE,Mr JEFFERY SHAHAN,9703461222,ASSISTED LIVING RESIDENCE,WELD,No,3151 W 20TH ST,GREELEY,CO,80634,gsgadministrator@gardensquaregreeley.com,11/3/97,"30 EAST BROADWAY  SUITE 160 EUGENE, OR 97401", LIMITED LIABIL,WESTLAKE ASSISTED LIVING LLC,541-686-1119,0,64,
"2670 SOUTH ABILENE STREET EAST AURORA, CO 80014",23G126,ST ANDREWS VILLAGE,Ms VIRGINIA SANDOVAL,3036959300,ASSISTED LIVING RESIDENCE,ADAMS,No,2670 SOUTH ABILENE STREET EAST,AURORA,CO,80014,vasandoval@watermarkcommunities.com,3/20/06,"2020 WEST RUDASILL ROAD TUSCON, AZ 85704", LIMITED LIABIL,AURORA SENIOR HOUSING LLC,520-797-4000,0,72,0
"422 SUNSHINE WAY BRIGHTON, CO 80601",23A842,SKY WALKER LEGACY LLC,Ms. ROBYN MASON,7204088939,ASSISTED LIVING RESIDENCE,ADAMS,No,422 SUNSHINE WAY,BRIGHTON,CO,80601,r.l.mason@hotmail.com,6/13/19,"13408 COUNTY ROAD 4 BRIGHTON, CO 80630", LIMITED LIABIL,SKY WALKER LEGACY LLC,720-810-2999,0,6,0
"7200 S LINCOLN WAY CENTENNIAL, CO 80122",23T700,ABUNDANT BLESSINGS & CARE ASSISTED LIVING-LINCOLN,Ms CAROL EIBER,3034788174,ASSISTED LIVING RESIDENCE,ADAMS,No,7200 S LINCOLN WAY,CENTENNIAL,CO,80122,,5/15/19,"7781 S GLENCOE CT CENTENNIAL, CO 80122", LIMITED LIABIL,ABUNDANT BLESSINGS & CARE ASSISTED LIVING LLC,303-478-8174,0,10,0
"280 E STERNE BLVD CENTENNIAL, CO 80122",23Y819,LOVING TOUCH ELDERLY ASSISTANT CARE INC,Ms OLIVEA NICHOLSON,3037980074,ASSISTED LIVING RESIDENCE,ADAMS,No,280 E STERNE BLVD,CENTENNIAL,CO,80122,lovingtouchec@aol.com,3/24/14,"280 E STERNE BLVD CENTENNIAL, CO 80122", LIMITED LIABIL,LOVING TOUCH ELDERLY ASSISTANT CARE LLP,720-798-0074,0,12,0
"6824 CHESTNUT HILL STREET HIGHLANDS RANCH, CO 80130",23D976,ROCKY MOUNTAIN ASSISTED LIVING - CHESTNUT,Ms JESSICA HARMON,3039966886,ASSISTED LIVING RESIDENCE,ADAMS,No,6824 CHESTNUT HILL STREET,HIGHLANDS RANCH,CO,80130,jessica@rockymountainassistedliving.com,12/29/15,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,303-996-6886,0,16,0
"13533 CLERMONT STREET THORNTON, CO 80241",23J974,GOLDEN ROCKIES ASSISTED LIVING,Ms MARILOU BRUCE,3036580346,ASSISTED LIVING RESIDENCE,ADAMS,No,13533 CLERMONT STREET,THORNTON,CO,80241,,4/30/18,"2191 E. 98TH AVE THORNTON, CO 80229", LIMITED LIABIL,GOLDEN ROCKIES ASSISTED LIVING LLC,303-332-9216,0,8,0
"12951 CLARKSON CIRCLE THORNTON, CO 80241",23J600,KARAMBI ASSISTED LIVING HOME LLC,Ms FRANCISCA RICHARDSON,3035877209,ASSISTED LIVING RESIDENCE,ADAMS,No,12951 CLARKSON CIRCLE,THORNTON,CO,80241,,6/8/20,"12951 CLARKSON CIRCLE THORNTON, CO 80241", LIMITED LIABIL,KARAMBI ASSISTED LIVING HOME LLC,303-587-7209,0,8,0
"3331 E 120TH AVE THORNTON, CO 80233",23R673,ROCKY MOUNTAIN ASSISTED LIVING 120TH EAST,Ms JESSICA HARMON,3039966886,ASSISTED LIVING RESIDENCE,ADAMS,No,3331 E 120TH AVE,THORNTON,CO,80233,,10/30/17,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,303-996-6886,0,16,0
"3407 CARROLL STREET ALAMOSA, CO 81101",23Y773,BRIDGE AT ALAMOSA THE,Ms KHRISTINA MUNIZ (ROBERTO),7195873514,ASSISTED LIVING RESIDENCE,ALAMOSA,No,3407 CARROLL STREET,ALAMOSA,CO,81101,carolr@thebridgeatalamosa.com,7/19/07,"3570 KEITH STREET, NW CLEVELAND, TN 37312", LIMITED LIABIL,"ALAMOSA ASSISTED LIVING INVESTORS, LLC",423-473-5867,0,85,0
"18931 E BRUNSWICK PLACE AURORA, CO 80013",23O148,PLANET VIEW ASSISTED LIVING LLC,Mr CHUKWUMA EMEH,5052315585,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,18931 E BRUNSWICK PLACE,AURORA,CO,80013,,1/23/17,"18931 E BRUNSWICK PL AURORA, CO 80013", LIMITED LIABIL,PLANET VIEW ASSISTED LIVING LLC,505-231-5585,0,5,0
"16651 EAST NAVARRO DRIVE AURORA, CO 80013",23W364,CARDAN MANOR ASSISTED LIVING,Ms CAROLE ABAM,3035961265,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,16651 EAST NAVARRO DRIVE,AURORA,CO,80013,cabam@cardanmanor.com,11/15/13,"21991 E RIDE TRAIL CIR AURORA, CO 80016", LIMITED LIABIL,CARDAN MANOR ASSISTED LIVING LLC,720-209-5625,0,5,0
"17419 EAST FLORA PLACE AURORA, CO 80013",23R196,NORA PERSONAL CARE ASSISTED LIVING LLC, NORA QWEWON,3036178131,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,17419 EAST FLORA PLACE,AURORA,CO,80013,cabam@norapersonalcare.com,5/30/11,"17419 EAST FLORA PLACE AURORA, CO 80013", LIMITED LIABIL,NORA PERSONAL CARE ASSISTED LIVING LLC,720-205-9522,0,6,0
"11010 E COLORADO DRIVE AURORA, CO 80012",23Q657,"ASPEN VIEW LIVING, LLC",Mr DEREK MAIN,3036957777,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,11010 E COLORADO DRIVE,AURORA,CO,80012,dmainpt@yahoo.com,4/25/14,"11010 E COLORADO DR AURORA, CO 80012", LIMITED LIABIL,ASPEN VIEW LIVING LLC,303-341-0840,0,8,0
"20 SOUTH DE GAULLE STREET AURORA, CO 80014",23C957,BRASSWOOD ASSISTED LIVING,Ms ANELLA SMITH,7202343657,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,20 SOUTH DE GAULLE STREET,AURORA,CO,80014,,11/14/13,, LIMITED LIABIL,SAS HEALTH SERVICES LLC,,0,8,0
"18603 E LEHIGH AVE AURORA, CO 80013",23N226,SUNSET ASSISTED LIVING LLC,Ms AMINATA TOUNKARA,7202311198,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,18603 E LEHIGH AVE,AURORA,CO,80013,,4/1/20,"18603 E LEIGH AVE AURORA, CO 80013", LIMITED LIABIL,SUNSET ASSISTED LIVING LLC,720-231-1198,0,8,0
"3828 S EAGLE STREET AURORA, CO 80014",23H518,"GARDENS CARE HOMES - MEADOW HILLS, THE",Ms JENNIFER CONRAD,3034216539,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,3828 S EAGLE STREET,AURORA,CO,80014,,3/3/09,"12650 W 64TH AVE E172 ARVADA, CO 80004", LIMITED LIABIL,"GARDENS CARE HOMES LLC, THE",303-566-1085,0,16,0
"14555 E HAMPDEN AVENUE AURORA, CO 80014",2.30E+08,CHERRY CREEK RETIREMENT VILLAGE,Mr LUKE BAKER,3036930200,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,14555 E HAMPDEN AVENUE,AURORA,CO,80014,,8/13/90,"3570 KEITH STREET NW CLEVELAND, TN 37312", LIMITED LIABIL,"AURORA RETIREMENT, LLC",423-473-5867,0,35,0
"14500 BELLEVIEW AVE AURORA, CO 80015",23R712,BELLEVIEW HEIGHTS ALZHEIMER'S SPECIAL CARE CENTER,Ms KIMBERLY BOUGHTON,3036900700,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,14500 BELLEVIEW AVE,AURORA,CO,80015,,10/1/15,"114 PACIFICA SUITE 310 IRVINE, CA 92618", LIMITED LIABIL,AURORA CARE GROUP LLC,,0,66,0
"14211 EAST EVANS AVENUE AURORA, CO 80014",23O623,GARDEN PLAZA OF AURORA,Mr RALPH BORREGO,3037500820,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,14211 EAST EVANS AVENUE,AURORA,CO,80014,,7/30/08,"3570 KEITH STREET, NW CLEVELAND, TN 37312", LIMITED LIABIL,"ARAPAHOE ASSISTED LIVING INVESTORS, LLC",423-473-5867,0,90,0
"6088 SOUTH LOCUST STREET CENTENNIAL, CO 80111",2304M2,LIGHTHOUSE ASSISTED LIVING MAPLEWOOD LLC,Ms ELISABETH LITTLETON,7206351951,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,6088 SOUTH LOCUST STREET,CENTENNIAL,CO,80111,,4/3/98,"PO BOX 631395 HIGHLANDS RANCH, CO 80163", LIMITED LIABIL,LIGHTHOUSE ASSISTED LIVING MAPLEWOOD LLC,720-635-1951,0,8,0
"6002 S GLENCOE WAY CENTENNIAL, CO 80121",23A463,ROCKY MOUNTAIN ASSISTED LIVING - GLENCOE,Ms JESSICA HARMON,3039966886,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,6002 S GLENCOE WAY,CENTENNIAL,CO,80121,,5/16/12,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,303-996-6886,0,10,0
"1137 E GEDDES AVE CENTENNIAL, CO 80122",23O624,ABUNDANT BLESSINGS AND CARE ASST LVG - GEDDES AVE,Ms CAROL EIBER,3039606711,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,1137 E GEDDES AVE,CENTENNIAL,CO,80122,carol@abundantblessingsandcare.com,9/5/13,"7781 S GLENCOE CT CENTENNIAL, CO 80122", LIMITED LIABIL,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,303-478-8174,0,10,0
"6203 SOUTH MARION WAY CENTENNIAL, CO 80121",23V339,ABUNDANT BLESSINGS AND CARE-MARION WAY,Ms CAROL EIBER,3034788174,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,6203 SOUTH MARION WAY,CENTENNIAL,CO,80121,,5/26/15,"7781 S GLENCOE CT CENTENNIAL, CO 80122", LIMITED LIABIL,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,303-478-8174,0,10,0
