State Facility Type 2 Literal,Facility ID,License Number,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Capacity,Licensee,Ownership Type,Latitude,Longitude
ASSISTED LIVING RESIDENCE,NJ30A001,30A001,Brookdale West Orange,520 PROSPECT AVENUE,WEST ORANGE,NJ,7052,ESSEX,(973) 325-5700,Jlischak29@brookdale.com,116,"BREA WEST ORANGE, LLC",Profit - LLC,40.7875879,-74.2566845
ASSISTED LIVING RESIDENCE,NJ90138,90138,Brookdale Westampton,480 W. WOODLANE ROAD,WESTAMPTON,NJ,8060,BURLINGTON,(609) 877-0555,kdickinson7@brookdale.com,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",Profit - Corporation,40.0239,-74.8586
ASSISTED LIVING RESIDENCE,NJ03A006,03A006,Cambridge Enhanced Senior Living,255 E MAIN STREET,MOORESTOWN,NJ,8057,BURLINGTON,(856) 235-1214,Vrobinson@mhslp.com,64,"CAMBRIDGE ASSISTED LIVING, LLC",,39.9679533,-74.9344604
ASSISTED LIVING RESIDENCE,NJ35A001,35A001,Cardinal Village,455 HURFFVILLE-CROSSKEYS ROAD,SEWELL,NJ,8080,GLOUCESTER,(856) 582-5292,susanw@cardinalvillage.com,115,"CARE HSL CARDINAL VILLAGE OPCO, LP",,39.73634,-75.0696284
ASSISTED LIVING RESIDENCE,NJAL12001,AL12001,Care One at East Brunswick Assisted Living,664 CRANBURY ROAD,EAST BRUNSWICK,NJ,8816,MIDDLESEX,(732) 653-1178,Kseaman@care-one.com,106,"CARE ONE AT EAST BRUNSWICK ASSISTED LIVING, LLC",,,
ASSISTED LIVING RESIDENCE,NJ03A001,03A001,Care One At Evesham Assisted Living,874 ROUTE 70 EAST,MARLTON,NJ,8053,BURLINGTON,(856) 988-2400,Amulryne@care-one.com,80,"CARE ONE AT EVESHAM ASSISTED LIVING, LLC",Profit - LLC,39.895759,-74.9423344
ASSISTED LIVING RESIDENCE,NJX1KYQQ,X1KYQQ,Care One At Hamilton,1660 WHITEHORSE-HAMILTON SQUARE ROAD,HAMILTON TOWNSHIP,NJ,8619,MERCER,(609) 586-4600,HamiltonAdministrator@care-one.com,95,"CARE ONE AT HAMILTON, LLC",Profit - Corporation,40.2128449,-74.6804805
ASSISTED LIVING RESIDENCE,NJ30A009,30A009,Care One At Livingston Assisted Living,76 PASSAIC AVENUE,LIVINGSTON,NJ,7039,ESSEX,(973) 758-4100,MAlfano@care-one.com,93,CARE TWO LLC,Profit - LLC,40.7647488,-74.353311
ASSISTED LIVING RESIDENCE,NJ10A100,10A100,Care One at Moorestown,895 WESTFIELD AVENUE,MOORESTOWN,NJ,8057,BURLINGTON,(856) 914-0444,moorestownadministrator@care-one.com,54,"CARE ONE AT MOORESTOWN, LLC",Profit - LLC,39.9899,-74.9355
ASSISTED LIVING RESIDENCE,NJ60A007,60A007,Care One At Morris Assisted Living,200 MAZDABROOK ROAD,PARSIPPANY TROY HILL,NJ,7054,MORRIS,(973) 739-9490,kwalsh@care-one.com,93,"CARE ONE AT PARSIPPANY-TROY HILLS, LLC",Profit - LLC,40.85915,-74.4046065
ASSISTED LIVING RESIDENCE,NJ18A105,18A105,Care One at Somerset Valley Assisted Living,1621 ROUTE 22 WEST,BOUND BROOK,NJ,8805,SOMERSET,(732) 469-2000,blong@care-one.com,72,"1621 ROUTE 22 WEST OPERATING, LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ5A000,5a000,Care One at The Cupola,W 100 RIDGEWOOD AVENUE,PARAMUS,NJ,7652,BERGEN,(201) 444-8200,lrhoads@care-one.com,169,"MILLENIUM HEALTHCARE CENTERS, LLC",Profit - LLC,40.964258,-74.066682
ASSISTED LIVING RESIDENCE,NJVQXWIZ,VQXWIZ,Care One at Wayne - ALR,493 BLACK OAK RIDGE ROAD,WAYNE,NJ,7470,PASSAIC,(973) 692-9500,hunger@care-one.com,59,"493 BLACK OAK RIDGE ROAD, L.L.C.",Profit - LLC,40.9573946,-74.2697216
ASSISTED LIVING RESIDENCE,NJ02A031,02A031,Care One Harmony Village at Paramus,189 PARAMUS ROAD,PARAMUS,NJ,7652,BERGEN,(551) 276-7200,tcasper@care-one.com,126,"GES HEALTHCARE VENTURES, LLC",,,
ASSISTED LIVING RESIDENCE,NJ60A011,60A011,Cedar Crest/Mountainview Gardens,4 CEDAR CREST VILLAGE DRIVE,POMPTON PLAINS,NJ,7444,MORRIS,(973) 831-3546,kristy.stallard@erickson.com,92,"CEDAR CREST VILLAGE, INC.",NonProfit - Corporation,40.9851421,-74.3245725
ASSISTED LIVING RESIDENCE,NJ70A000,70A000,The Chelsea at Bald Eagle,197 CAHILL CROSS ROAD,WEST MILFORD,NJ,7480,PASSAIC,(973) 728-6000,chelseabaldeagleed@gmail.com,86,"BALD EAGLE SENIOR LIVING, LLC",Profit - LLC,41.119043,-74.359388
ASSISTED LIVING RESIDENCE,NJ65A007,65a007,The Chelsea at Brick,458 JACK MARTIN BLVD.,BRICK,NJ,8724,OCEAN,(732) 206-9800,ntaylor@cslal.com,123,"BRICK SENIOR CARE, LLC",Profit - LLC,40.0797809,-74.1322296
ASSISTED LIVING RESIDENCE,NJ80A007,80A007,The Chelsea at Bridgewater,680 202/206 NORTH,BRIDGEWATER,NJ,8807,SOMERSET,(908) 252-3400,jhamlett@cslal.com,115,"BRIDGEWATER SENIOR CARE, LLC",Profit - LLC,40.6027222,-74.6239319
ASSISTED LIVING RESIDENCE,NJ21A001,21A001,The Chelsea at Brookfield,1 BROOKFIELD COURT,BELVIDERE,NJ,7823,WARREN,(908) 475-5556,sponist@cslal.com,115,"BROOKFIELD SENIOR LIVING, LLC",Profit - LLC,40.814233,-75.059224
ASSISTED LIVING RESIDENCE,NJ50A000,50A000,The Chelsea At East Brunswick,606 CRANBURY ROAD,EAST BRUNSWICK,NJ,8816,MIDDLESEX,(732) 651-6100,crozenberg@cslal.com,102,"EAST BRUNSWICK SENIOR CARE, LLC",Profit - LLC,40.409097,-74.4204409
ASSISTED LIVING RESIDENCE,NJ90A000,90A000,The Chelsea at Fanwood,295 SOUTH AVENUE,FANWOOD,NJ,7023,UNION,(908) 654-5200,awatson@cslal.com,95,"FANWOOD SENIOR CARE, LLC",Profit - LLC,40.641555,-74.3823801
ASSISTED LIVING RESIDENCE,NJ82462,82462,The Chelsea at Forsgate,319 FORSGATE DRIVE,JAMESBURG,NJ,8831,MIDDLESEX,(732) 656-1000,mricciardi@cslal.com,156,"FORSGATE SENIOR CARE ,LLC",Profit - LLC,40.3458215,-74.447998
ASSISTED LIVING RESIDENCE,O5MOOY,05MOOY,The Chelsea at Manalapan,445 ROUTE 9 SOUTH,MANALAPAN,NJ,7726,MONMOUTH,(732) 972-6200,kpietrocola@cslal.com,73,"MANALAPAN SENIOR CARE, LLC",Profit - LLC,40.31919,-74.3060308
ASSISTED LIVING RESIDENCE,NJ13A019,13A019,"Chelsea at Shrewsbury, The",515 SHREWSBURY AVENUE,SHREWSBURY,NJ,7702,MONMOUTH,(732) 747-7540,Ndandrea@cslal.com,110,"CSH SHREWSBURY LICENSEE, LLC",,,
ASSISTED LIVING RESIDENCE,NJ19A004,19A004,"Chelsea At Sparta, The",513 LAFAYETTE ROAD,SPARTA,NJ,7871,SUSSEX,(908) 889-4200,acline@cslal.com,75,"SPARTA SENIOR LIVING, LLC",,,
ASSISTED LIVING RESIDENCE,NJ55A000,55A000,The Chelsea at Tinton Falls,ONE HARTFORD DRIVE,TINTON FALLS,NJ,7701,MONMOUTH,(732) 933-4700,csydorr@cslal.com,70,"TINTON FALLS SENIOR CARE, LLC",Profit - LLC,40.329996,-74.075521
ASSISTED LIVING RESIDENCE,NJ65A114,65A114,The Chelsea at Toms River,1657 SILVERTON ROAD,TOMS RIVER,NJ,8753,OCEAN,(732) 941-8100,MOSHAUGHNESSY@CSLAL.COM,140,"CMG BRENTWOOD, LLC",Profit - LLC,40.0242214,-74.1867009
ASSISTED LIVING RESIDENCE,NJ80A003,80A003,The Chelsea at Warren,274 KING GEORGE ROAD,WARREN,NJ,7059,SOMERSET,(908) 903-0911,fmolfetta@cslal.com,94,"WARREN SENIOR CARE, LLC",Profit - LLC,40.643225,-74.514082
ASSISTED LIVING RESIDENCE,NJ16A001,16A001,Chestnut Hill Residences by Complete Care,338 CHESTNUT STREET,PASSAIC,NJ,7055,PASSAIC,(973) 777-7800,michaelb@chestnuthillcc.net,125,"CHESTNUT HILL RESIDENCES BY COMPLETE CARE, LLC",,40.8649758,-74.135263
ASSISTED LIVING RESIDENCE,NJ5A005,5a005,Christian Health Care Center,301 SICOMAC AVENUE,WYCKOFF,NJ,7481,BERGEN,(201) 848-4300,prooney@chccnj.org,95,CHRISTIAN HEALTH CARE CENTER,NonProfit - Religious Affiliation,40.9841201,-74.1706686
ASSISTED LIVING RESIDENCE,J6TDGC,j6tdgc,The Clare Estate,201 CROSSWICKS STREET,BORDENTOWN,NJ,8505,BURLINGTON,(609) 298-9960,SSMITH@THECLAREESTATE.COM,58,"CROSSWICKS, LLC",,40.1460982,-74.7052391
ASSISTED LIVING RESIDENCE,NJ30A008,30A008,The Cliffs At Eagle Rock,707 EAGLE ROCK AVENUE,WEST ORANGE,NJ,7052,ESSEX,(973) 669-0011,ldeguzman@thecliffsateaglerock.org,85,BAPTIST HOME SOCIETY OF NEW JERSEY,NonProfit - Religious Affiliation,40.8117275,-74.2649473
ASSISTED LIVING RESIDENCE,NJ90119,90119,Complete Care at Arbors Haven,1700 ROUTE 37 WEST,TOMS RIVER,NJ,8757,OCEAN,(732) 341-0880,jack@peacecap.com,96,"COMPLETE CARE AT ARBORS HAVEN, LLC",,39.9907829,-74.2682967
ASSISTED LIVING RESIDENCE,NJ20A015,20A105,Continuing Care At Lantern Hill,537 MOUNTAIN AVENUE,NEW PROVIDENCE,NJ,7974,UNION,(908) 516-9300,ryan.fitzpatrick@erickson.com,45,"LANTERN HILL, INC.",Non-Profit - Corporation,,
ASSISTED LIVING RESIDENCE,T5SN2I,T5SN2I,Continuing Care at Seabrook,3002 ESSEX ROAD,TINTON FALLS,NJ,7753,MONMOUTH,(732) 643-2029,bruce.ladson@erickson.com,96,"SEABROOK VILLAGE, INC.",NonProfit - Corporation,40.231958,-74.092112
ASSISTED LIVING RESIDENCE,NJ19A001,19a001,"EverMay At Branchville, LLC",3 PHILLIPS ROAD,BRANCHVILLE,NJ,7826,SUSSEX,(973) 948-8884,dtramontozzi@bentleyassistedliving.com,71,"EVERMAY AT BRANCHVILLE, LLC",Profit - LLC,41.1561949,-74.748361
ASSISTED LIVING RESIDENCE,NJ02A001,02A001,Five Star Premier Residences of Teaneck,655 POMANDER WALK,TEANECK,NJ,7666,BERGEN,(201) 836-3634,Msturiale@5ssl.com,40,"SNH TEANECK TENANT, LLC",Profit - LLC,40.889624,-74.032214
ASSISTED LIVING RESIDENCE,NJ15A007,15a007,The Fountains At Cedar Parke,114 HAYES MILL ROAD,ATCO,NJ,8004,CAMDEN,(856) 753-2000,Akuiken@foxtrailseniorliving.com ,113,FOUNTAINS CCRC HOLDING LLC,,39.763169,-74.906876
ASSISTED LIVING RESIDENCE,NJ35A000,35a000,Fox Trail Senior Living at Deptford,1674 DELSEA DRIVE,DEPTFORD,NJ,8096,GLOUCESTER,(856) 686-9500,rkozek@brookdale.com,52,LAN DEPTFORD LLC,,39.8148989,-75.125542
ASSISTED LIVING RESIDENCE,NJ75A002,75A002,Friends Village At Woodstown (ALR),ONE FRIENDS DRIVE,WOODSTOWN,NJ,8098,SALEM,(856) 769-1500,twoodside@friendsvillage.org,67,"FRIENDS HOME AT WOODSTOWN, INC.",NonProfit - Religious Affiliation,39.6476023,-75.3161788
ASSISTED LIVING RESIDENCE,NJ65A001,65A001,Georgetown Commons at The Pines at Whiting,507 ROUTE 530,WHITING,NJ,8759,OCEAN,(732) 849-0400,ppolchak@thepinesatwhiting.org,96,"KESWICK PINES, INC.",NonProfit - Corporation,39.9465992,-74.3542905
ASSISTED LIVING RESIDENCE,NJ10A000,10A000,Granville Place,111 SUNSET ROAD,BURLINGTON,NJ,8016,BURLINGTON,(609) 239-5440,Skansupada@enlivant.com,47,GRANVILLE AID OPCO LLC,,40.050478,-74.844559
ASSISTED LIVING RESIDENCE,NJ15A115,15A115,Harmony Village at CareOne Jackson,11 HISTORY LANE,JACKSON,NJ,8527,OCEAN,(732) 367-6600,KSeaman@care-one.com,104,"11 HISTORY LANE OPERATING COMPANY, L.L.C.",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ03A004,03A004,Harmony Village at CareOne Stanwick Road,301 N STANWICK ROAD,MOORESTOWN,NJ,8057,BURLINGTON,(856) 638-1244,RWittman@care-one.com,68,"CARE ONE AT STANWICK, LLC",Profit - LLC,39.9723,-74.9319
ASSISTED LIVING RESIDENCE,NJ65A003,65a003,Hearthstone Estates,77 WILLIAMS STREET,LAKEWOOD,NJ,8701,OCEAN,(732) 363-8505,kdickinson@hearthstoneal.com,47,"HEARTHSTONE ESTATES, LLC",Profit - LLC,40.076245,-74.220303
ASSISTED LIVING RESIDENCE,NJ1A006,1a006,The Heritage Assisted Living,45 ROUTE 206,HAMMONTON,NJ,8037,ATLANTIC,(609) 561-8977,weaz@comcast.net,107,RT. 206 INC.,Profit - Corporation,39.651235,-74.788555
ASSISTED LIVING RESIDENCE,NJ50A005,50a005,Heritage of Clara Barton,1015 AMBOY AVENUE,EDISON,NJ,8837,MIDDLESEX,(732) 225-5990,Kimberly.Greer@genesishcc.com,98,HERITAGE OF CLARA BARTON CORP.,,40.534699,-74.3370112
ASSISTED LIVING RESIDENCE,NJ11A017,11A017,Homestead At Hamilton,2560 KUSER ROAD,HAMILTON,NJ,8691,MERCER,(609) 438-9900,mowens@HomesteadatHamilton.com,130,"HOMESTEAD SENIOR LIVING, LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ95A001,95A001,House Of The Good Shepherd,798 WILLOW GROVE STREET,HACKETTSTOWN,NJ,7840,WARREN,(908) 684-5900,Slanza@hotgs.org,35,"HOUSE OF THE GOOD SHEPHERD, INC.",NonProfit - Corporation,40.868373,-74.808812
ASSISTED LIVING RESIDENCE,NJ45A000,45a000,Independence Manor At Hunterdon,188 STATE HIGHWAY 31,FLEMINGTON,NJ,8822,HUNTERDON,(908) 788-4893,rsopronyi@independencemanor.com,106,INDEPENDENCE MANOR AT HUNTERDON,Profit - Corporation,40.531737,-74.853818
ASSISTED LIVING RESIDENCE,NJ02A00,02A00,Jewish Home Assisted Living,685 WESTWOOD AVENUE,RIVER VALE,NJ,7675,BERGEN,(201) 666-2370,celliott@jhalnj.org,124,JEWISH HOME ASSISTED LIVING,NonProfit - Corporation,40.994414,-74.004074
ASSISTED LIVING RESIDENCE,NJ30A006,30a006,Job Haines Home For Aged People/Hearthside Commons,250 BLOOMFIELD AVENUE,BLOOMFIELD,NJ,7003,ESSEX,(973) 743-0792,drepoli@job-haines.org,67,JOB HAINES HOME FOR AGED PEOPLE,NonProfit - Corporation,40.783301,-74.1928439
ASSISTED LIVING RESIDENCE,NJ60A006,60A006,Juniper Village At Chatham,500 SOUTHERN BOULEVARD,CHATHAM,NJ,7928,MORRIS,(973) 966-5483,FRANK.PASCALE@junipercommunities.com,134,JUNIPER VILLAGE AT CHATHAM LLC,Profit - Corporation,40.742571,-74.4307634
ASSISTED LIVING RESIDENCE,NJ35A005,35A005,Juniper Village at Williamstown,1640 S. BLACK HORSE PIKE,WILLIAMSTOWN,NJ,8094,GLOUCESTER,(856) 740-9400,linda.donato@junipercommunities.com,51,JUNIPER VILLAGE AT WILLIAMSTOWN LLC,Profit - Partnership,39.665106,-74.967259
ASSISTED LIVING RESIDENCE,NJ35A004,35A004,"Juniper Village at Williamstown, Wellspring Memory Care Program",1648 S. BLACK HORSE PIKE,WILLIAMSTOWN,NJ,8094,GLOUCESTER,(856) 740-9400,Diane.Velez@JUNIPERCOMMUNITIES.COM,36,JUNIPER VILLAGE AT WILLIAMSTOWN LLC,Profit - Partnership,39.6645791,-74.967893
ASSISTED LIVING RESIDENCE,NJ65A111,65A111,The Lakewood Courtyard,52 MADISON AVENUE,LAKEWOOD,NJ,8701,OCEAN,(732) 905-2055,HPalmucci@esquireg.com,100,"LAKEWOOD COURTYARD ASSISTED LIVING, L.L.C.",Profit - LLC,40.08996,-74.2165307
ASSISTED LIVING RESIDENCE,NJ11A018,11A018,"Landing Of Hamilton, The",1750 YARDVILLE-HAMILTON SQUARE ROAD,HAMILTON,NJ,8690,MERCER,(609) 421-0300,mjuno@leisurecare.com,142,WRP OPERATING HAMILTON NJ LLC,,,
ASSISTED LIVING RESIDENCE,NJ08A010,08A010,"Landing Of Washington Square, The",120 TOWN CENTER BOULEVARD,SEWELL,NJ,8080,GLOUCESTER,(585) 225-7370,mjuno@leisurecare.com,144,"WRP OPERATING WASHINGTON NJ, LLC",,,
ASSISTED LIVING RESIDENCE,NJ75A000,75A000,Lindsay Place,39 SUPAWNA ROAD,PENNSVILLE,NJ,8070,SALEM,(856) 339-0100,rlipsky@enlivant.com,47,LINDSAY AID OPCO LLC,,39.605222,-75.496028
ASSISTED LIVING RESIDENCE,NJ04A003,04A003,Lions Gate,1100 LAUREL OAK ROAD,VOORHEES,NJ,8043,CAMDEN,(856) 667-3100,cpalella@lionsgateccrc.org,74,"SJF-CCRC, INC.",NonProfit - Corporation,39.847458,-74.972696
ASSISTED LIVING RESIDENCE,NJ30A005,30a005,Lutheran Social Ministries At Crane's Mill,459 PASSAIC AVENUE,WEST CALDWELL,NJ,7006,ESSEX,(973) 276-3030,cfranco@lsmnj.org,70,LUTHERAN SOCIAL MINISTRIES OF NJ,NonProfit - Corporation,40.843372,-74.305012
ASSISTED LIVING RESIDENCE,YMOSFX,YMOSFX,Magnolia Gardens,1935 LAKEWOOD ROAD,TOMS RIVER,NJ,8755,OCEAN,(732) 557-6500,cdelvalle@magnoliaal.com,120,"MAGNOLIA GARDENS SOUTH, LP",,40.0224148,-74.2210212
ASSISTED LIVING RESIDENCE,NJ80A110,80A110,"Martin and Edith Stein Assisted Living Residence, Inc.",350 DEMOTT LANE,SOMERSET,NJ,8873,SOMERSET,(732) 568-1155,jleone@wilfcampus.org,90,"MARTIN AND EDITH STEIN ASSISTED LIVING RESIDENCE,",NonProfit - Corporation,40.4996939,-74.5126301
ASSISTED LIVING RESIDENCE,NJ55A009,55A009,Mattison Crossing at Manalapan Ave,93 MANALAPAN AVENUE,FREEHOLD,NJ,7728,MONMOUTH,(732) 303-8800,ed@mattisoncrossing.com,199,"BRIDGE-BROOKSIDE, LLC",Profit - LLC,40.260126,-74.286208
ASSISTED LIVING RESIDENCE,NJ90108,90108,Maurice House,1719 WEST MAIN STREET,MILLVILLE,NJ,8332,CUMBERLAND,(856) 825-4002,mparent@seniorlifestyle.com,47,"SL MILLVILLE, LLC",Profit - LLC,39.400011,-75.079877
ASSISTED LIVING RESIDENCE,NJ47A001,47a001,Meadow Lakes,300 MEADOW LAKES,EAST WINDSOR,NJ,8520,MERCER,(609) 448-4100,lvernachio@springpointsl.org,44,"SPRINGPOINT AT MEADOW LAKES, INC",NonProfit - Religious Affiliation,40.2580802,-74.5158597
ASSISTED LIVING RESIDENCE,NJ75A001,75A001,Merion Gardens Assisted Living,315 MERION AVENUE,CARNEYS POINT,NJ,8069,SALEM,(856) 299-0300,administratormerion@comcast.net,98,MERION GARDENS ASSISTED LIVING COMPANY LLC,Profit - LLC,39.704237,-75.4684429
ASSISTED LIVING RESIDENCE,NJ14A002,14A002,"Merry Heart Assisted Living, Llc",118 MAIN STREET,SUCCASUNNA,NJ,7876,MORRIS,(973) 584-4000,EXECDIRECTOR_MHAL@MERRYHEART.COM,100,"MERRY HEART ASSISTED LIVING, LLC",Profit - LLC,40.8698491,-74.6407838
ASSISTED LIVING RESIDENCE,NJLRR782,LRR782,Mill Gardens At Midland Park,36 FANER ROAD,MIDLAND PARK,NJ,7432,BERGEN,(201) 493-7400,nickdrivanos@millgardens.com,98,"MATURE ENVIRONMENTS, INC.",Profit - Corporation,40.98745,-74.14733
ASSISTED LIVING RESIDENCE,NJ55A005,55a005,Monmouth Crossing,560 IRON BRIDGE ROAD,FREEHOLD,NJ,7728,MONMOUTH,(732) 303-8600,hgladstein@centrastate.com,94,"CENTRA STATE ASSISTED LIVING, INC.",NonProfit - Corporation,40.235425,-74.30977
ASSISTED LIVING RESIDENCE,NJ50A8312,50A8312,Monroe Village Assisted Living,ONE DAVID BRAINERD DRIVE,MONROE TOWNSHIP,NJ,8831,MIDDLESEX,(732) 521-6400,THANOMAN@SPRINGPOINTSL.ORG,42,"SPRINGPOINT AT MONROE VILLAGE, INC",NonProfit - Religious Affiliation,40.3377472,-74.4527743
ASSISTED LIVING RESIDENCE,922TYU,922TYU,Mt Arlington Senior Living,2 HILLSIDE DRIVE,MOUNT ARLINGTON,NJ,7856,MORRIS,(973) 601-0988,ehagedoorn@5ssl.com,120,SNH NJ TENANT LLC,,40.9035879,-74.63843
ASSISTED LIVING RESIDENCE,NJ08A009,08A009,Mullica Gardens Assisted Living,161 MULLICA HILL ROAD,MULLICA HILL,NJ,8062,GLOUCESTER,(856) 434-4000,administratormullica@comcast.net,80,MULLICA GARDENS ASSISTED LIVING LLC,Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ03A005,03A005,OakBridge Terrace Assisted Living at Evergreens,309 BRIDGEBORO ROAD,MOORESTOWN,NJ,8057,BURLINGTON,(856) 439-2000,meredith.becker@actslife.org,66,THE EVERGREENS,NonProfit - Corporation,39.9841,-74.9487
ASSISTED LIVING RESIDENCE,NJ60A002,60a002,The Oaks at Denville,19 POCONO ROAD,DENVILLE,NJ,7834,MORRIS,(973) 586-5000,lrose@springpointsl.org,34,"SPRINGPOINT AT DENVILLE, INC.",Non-Profit - Corporation,40.895088,-74.468853
ASSISTED LIVING RESIDENCE,3EGDKS,3EGDKS,The Orchards At Bartley,100 NORTH COUNTY LINE ROAD,JACKSON,NJ,8527,OCEAN,(732) 730-1700,jramos@bartleyhealthcare.com>,100,BARTLEY ASSISTED LIVING LLC,Profit - LLC,40.1330141,-74.2818389
ASSISTED LIVING RESIDENCE,NJ12A007,12A007,Parker At Stonegate,443 RIVER ROAD,HIGHLAND PARK,NJ,8904,MIDDLESEX,(732) 565-2500,rmuniz@parkerlife.org,80,"THE FRANCIS E. PARKER MEMORIAL HOME, INC.",NonProfit - Corporation,40.5083025,-74.4437697
ASSISTED LIVING RESIDENCE,NJ15A005,15A005,Premier Cadbury of Cherry Hill,2150 ROUTE 38,CHERRY HILL,NJ,8002,CAMDEN,(856) 667-4550,sharking@premiercadbury.com,88,"PREMIER CADBURY, LLC",Profit - LLC,39.941131,-75.0154699
ASSISTED LIVING RESIDENCE,NJ50A002,50a002,Reformed Church Home,1990 ROUTE 18 NORTH,OLD BRIDGE,NJ,8857,MIDDLESEX,(732) 607-9230,kshepard@rchnj.org,54,REFORMED CHURCH MINISTRIES TO THE AGING,NonProfit - Religious Affiliation,40.384349,-74.3277206
ASSISTED LIVING RESIDENCE,NJ47A002,47a002,Rose Hill Assisted Living,1150 WASHINGTON BLVD,ROBBINSVILLE,NJ,8691,MERCER,(609) 371-7007,Administrator-rh@rosehillassistedliving.com,76,"ROSE HILL ASSOCIATES, LLC",Profit - LLC,40.223828,-74.634429
ASSISTED LIVING RESIDENCE,NJ01A006,01a006,Seashore Gardens Living Center,22 WEST JIMMIE LEEDS ROAD,GALLOWAY TOWNSHIP,NJ,8205,ATLANTIC,(609) 404-4848,priceaj@seashoregardens.org,40,HEBREW OLD AGE CENTER T/A SEASHORE GARDENS LIV CTR,NonProfit - Corporation,39.472947,-74.523201
ASSISTED LIVING RESIDENCE,NJ13A014,13A014,The Solana Marlboro,52 COUNTY ROAD 520,MORGANVILLE,NJ,7751,MONMOUTH,(732) 536-3000,JKELLENBACH@CSLAL.COM,100,"MARLBORO SENIOR HOUSING, LLC",,,
ASSISTED LIVING RESIDENCE,NJ1A002,01A002,Somers Place,199 STEELMANVILLE ROAD,EGG HARBOR TOWNSHIP,NJ,8234,ATLANTIC,(609) 926-5891,kmendez@enlivant.com,47,MEY AID OPCO LLC,,39.345889,-74.604842
ASSISTED LIVING RESIDENCE,NJ60A005,60a005,Spring Hills At Morristown,17 SPRING PLACE,MORRISTOWN,NJ,7960,MORRIS,(973) 539-3370,kgriffiths@spring-hills.net,108,"SPRING HILL ASSISTED LIVING ASSOCIATES, LLC",Profit - LLC,40.7986439,-74.4780642
ASSISTED LIVING RESIDENCE,NJ80A001,80a001,Spring Hills at Somerset,473 DEMOTT LANE,SOMERSET,NJ,8873,SOMERSET,(732) 873-4800,khalsey@spring-hills.net,120,"SPRING HILLS AT SOMERSET, L.L.C.",Profit - LLC,40.4989754,-74.5221473
ASSISTED LIVING RESIDENCE,NJ04A006,04A006,Spring Hills Cherry Hill,1450 MARLTON PIKE,CHERRY HILL,NJ,8034,CAMDEN,(856) 874-7700,Gcain@spring-hills.net,150,"SPRING HILLS CHERRY HILL, LLC",Profit - LLC,39.9101572,-74.9893119
ASSISTED LIVING RESIDENCE,NJ1A003,01a003,Spring Home at Galloway,42 WEST JIMMIE LEEDS,GALLOWAY TOWNSHIP,NJ,8205,ATLANTIC,(609) 404-1126,johnson.xiomara@springvillage.co,52,"JIMMIE LEEDS SENIOR CARE, LLC",Profit - LLC,39.473465,-74.5215748
ASSISTED LIVING RESIDENCE,NJ1A004,01a004,Spring Home at Galloway,46 WEST JIMMIE LEEDS ROAD,GALLOWAY TOWNSHIP,NJ,8205,ATLANTIC,(609) 404-1099,larotonda.donna@springvillage.co,78,"JIMMIE LEEDS SENIOR CARE, LLC",Profit - LLC,39.476058,-74.538226
ASSISTED LIVING RESIDENCE,NJ65A006,65a006,Spring Oak Assisted Living at Forked River,601 NORTH MAIN STREET,LANOKA HARBOR,NJ,8734,OCEAN,(609) 242-2661,cdifiore@springoak.net,104,SPRING OAK ASSISTED LIVING AT FORKED RIVER LLC,Profit - LLC,39.8603494,-74.1748545
ASSISTED LIVING RESIDENCE,NJ25A002,25a002,Spring Oak Assisted Living At Vineland,1611 SOUTH MAIN ROAD,VINELAND,NJ,8360,CUMBERLAND,(856) 507-1505,admin3@springoak.net,115,SPRING OAK ASSISTED LIVING AT VINELAND LLC,Profit - LLC,39.5080956,-74.9926912
ASSISTED LIVING RESIDENCE,NJ15A008,15A008,Spring Oak Assisted Living at Voorhees,396 SO. WHITE HORSE PIKE,BERLIN,NJ,8009,CAMDEN,(856) 719-9599,jcohen@esauireg.com,115,SPRING OAK ASSISTED LIVING AT VOORHEES LLC,Profit - LLC,39.7819683,-74.9157952
ASSISTED LIVING RESIDENCE,NJ65A113,65A113,Spring Oak of Toms River,2145 WHITESVILLE ROAD,TOMS RIVER,NJ,8755,OCEAN,(732) 905-9222,hrunne@springoak.net,104,"THE RESIDENCE AT LAKE RIDGE, LLC",Profit - LLC,40.0403214,-74.244409
ASSISTED LIVING RESIDENCE,NJ80A112,80A112,Stonebridge At Montgomery Health Care Center,100 HOLLINSHEAD SPRING ROAD,SKILLMAN,NJ,8558,SOMERSET,(609) 759-3600,mcannonr@springpointsl.org,61,"SPRINGPOINT AT MONTGOMERY, INC",NonProfit - Corporation,40.4151768,-74.7363863
ASSISTED LIVING RESIDENCE,NJ90110,90110,Summit Place,540 MULLICA HILL ROAD,GLASSBORO,NJ,8028,GLOUCESTER,(856) 307-0617,dvelez@enlivant.com,47,POST AID OPCO LLC,,39.711766,-75.131656
