FACILITY_TYPE,FACID,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,Lic_Expires,Lic_Beds_Slots,ADMIN,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,RunDate,LAT,LNG
ADULT DAY HEALTH CARE SERVICES,NJAD13001,AD13001,Senior Comfort Adult Medical Day Care,SENIOR COMFORT ADULT MEDICAL DAY CARE,"3 PARAGON WAY, SUITE 150", ,FREEHOLD,NJ,07728,"FREEHOLD, NJ  07728",MONMOUTH,(732) 984-6380,(732) 984-6424,mkravchenko@wishingwellcare.com,1/31/22,240,Mr. HAROLD HERSKOWITZ,SENIOR COMFORT LLC,"3 PARAGON WAY, SUITE 150","FREEHOLD, NJ  07728",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ408331,408331,Senior Spirit Of Jersey City,SENIOR SPIRIT OF JERSEY CITY,675 GARFIELD AVENUE, ,JERSEY CITY,NJ,07305,"JERSEY CITY, NJ  07305",HUDSON,(201) 761-0280,(201) 761-0290,seniorspiritjc1@gmail.com,10/31/21,160,Ms. LUISA UBIERA,"FAMILY SENIOR HEALTH, LLC",675 GARFIELD AVENUE (2ND FL),"JERSEY CITY, NJ  07305",Profit - LLC,6/15/21,40.7030924,-74.0762659
ADULT DAY HEALTH CARE SERVICES,NJ908117,908117,Senior Spirit Of Roselle Park,SENIOR SPIRIT OF ROSELLE PARK,430 EAST WESTFIELD AVENUE, ,ROSELLE PARK,NJ,07204,"ROSELLE PARK, NJ  07204",UNION,(908) 241-9393,(908) 241-5622,rickg@seniorspirit.com,2/28/22,150,. LOURDES RUIZ,"SENIOR SPIRIT OF ROSELLE PARK, LLC",430 EAST WESTFIELD AVENUE,"ROSELLE PARK, NJ  07204",Profit - LLC,6/15/21,40.6633,-74.2491
ADULT DAY HEALTH CARE SERVICES,NJ478310,478310,Senior Star,SENIOR STAR,1676 NORTH OLDEN AVENUE, ,EWING,NJ,08638,"EWING, NJ  08638",MERCER,(609) 434-0041,(609) 434-0043,juliak@seniorstarnj.com,5/31/22,200,. JEREMY GONZALEZ,SENIOR STAR CORP,1676 N. OLDEN AVENUE,"EWING, NJ  08638",Profit - Corporation,6/15/21,40.2518297,-74.7869828
ADULT DAY HEALTH CARE SERVICES,NJ12031,12031,Sewa Adult Day Care,SEWA ADULT DAY CARE,"1020 ROUTE 18 NORTH, SUITE M", ,EAST BRUNSWICK,NJ,08816,"EAST BRUNSWICK, NJ  08816",MIDDLESEX,(732) 210-2727,(732) 210-2666,ajy1054@yahoo.com,7/31/21,140,Ms. BINDU CHAUDHARY,"SEWA ADULT DAY CARE, LLC","1020 ROUTE 18 NORTH, SUITE M","EAST BRUNSWICK, NJ  08816",Profit - LLC,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ08011,08011,Sewell Senior Citizen Center LLC,SEWELL SENIOR CITIZEN CENTER,"475 HURFFVILLE-CROSS KEYS ROAD, SUITE 12/13", ,SEWELL,NJ,08080,"SEWELL, NJ  08080",GLOUCESTER,(732) 284-6020,          ,archanadesai26@gmail.com,2/28/22,138,Mrs. ARCHANA DESAI,"SEWELL SENIOR CITIZEN CENTER, LLC",2 RALEIGH WAY,"FREEHOLD, NJ  07728",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ308119,308119,Signature Medical Day Care of Montclair,SIGNATURE MEDICAL DAY CARE OF MONTCLAIR,110 GREENWOOD AVENUE, ,MONTCLAIR,NJ,07042,"MONTCLAIR, NJ  07042",ESSEX,(973) 783-5589,(973) 783-3711,vishnupatell@yahoo.com,8/31/21,170,Mr. VISHNU PATEL,"FREEHOLD MONTCLAIR HEALTHCARE, LLC","40 VREELAND AVENUE,STE 101A","TOTOWA, NJ  07512",,6/15/21,40.8160778,-74.2104114
ADULT DAY HEALTH CARE SERVICES,NJ15102,15102,Silver Time Adult Day Health Care Center LLC,SILVER TIME ADULT DAY HEALTH CARE CENTER LLC,600 MULE ROAD, ,TOMS RIVER,NJ,08753,"TOMS RIVER, NJ  08753",OCEAN,(848) 224-4285,(732) 234-5902,stdaycare@yahoo.com,10/31/21,110,Ms. MICHELE LARDIERI,SILVER TIME ADULT DAY HEALTH CARE CENTER LLC,"600 MULE ROAD, SUITE #15","TOMS RIVER, NJ  08753",Profit - LLC,6/15/21,39.956835,-74.245022
ADULT DAY HEALTH CARE SERVICES,NJ508310,508310,South Amboy Adult Day Health Care Center,SOUTH AMBOY ADULT DAY HEALTH CARE CENTER,540 BORDENTOWN AVENUE, ,SOUTH AMBOY,NJ,08879,"SOUTH AMBOY, NJ  08879",MIDDLESEX,(732) 553-1600,(732) 553-1608,BP@FIRSTHC.COM,6/30/22,120,Ms. MARYANN STATKUS,FIRST HEALTHCARE LLC,4557 ROUTE 9 NORTH,"HOWELL, NJ  07731",Profit - LLC,6/15/21,40.4752951,-74.2863435
ADULT DAY HEALTH CARE SERVICES,NJ408330,408330,St. Ann's Home for the Aged,ST ANN'S HOME FOR THE AGED,198 OLD BERGEN ROAD, ,JERSEY CITY,NJ,07305,"JERSEY CITY, NJ  07305",HUDSON,(201) 433-0950,(201) 433-6554,rshalakho@peacecorenj.org,8/31/21,50,Mr. ROGER SHALAKHO,ST. ANN'S HOME FOR THE AGED,198 OLD BERGEN ROAD,"JERSEY CITY, NJ  07305",NonProfit - Corporation,6/15/21,40.6961566,-74.0935106
ADULT DAY HEALTH CARE SERVICES,NJ04016,04016,Stars Adult Medical Day Care Center,STARS ADULT MEDICAL DAY CARE CENTER,1470 HADDON AVENUE, ,CAMDEN,NJ,08103,"CAMDEN, NJ  08103",CAMDEN,(856) 203-3548,(856) 203-3582,Margarita@starsamdc.com,7/31/21,107,Ms. MARAGARITA SANTIAGO,"STARS ADULT MEDICAL DAY CARE CENTER, LLC",1470 HADDON AVENUE,"CA MDEN, NJ  08103",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ12013,12013,Sterling Adult Day Care Center LLC,STERLING ADULT DAY CARE CENTER LLC,119-120 NORTH CENTER DRIVE, ,NORTH BRUNSWICK,NJ,08902,"NORTH BRUNSWICK, NJ  08902",MIDDLESEX,(732) 951-2020,(732) 951-2307,dasondis@gmail.com,12/31/21,200,Ms. SEJAL DASONDI,"STERLING ADULT DAY CARE CENTER, LLC",120 NORTH CENTER DRIVE,"NORTH BRUNSWICK, NJ  08902",Profit - LLC,6/15/21,40.4456001,-74.5010582
ADULT DAY HEALTH CARE SERVICES,NJ708100,708100,Straight and Narrow Medical Day Care,STRAIGHT AND NARROW MEDICAL DA,"182 FIRST STREET, 1ST FLOOR", ,PASSAIC,NJ,07055,"PASSAIC, NJ  07055",PASSAIC,(973) 405-6675,(973) 405-6887,jraphael@straightandnarrowinc.org,11/30/19,36,Mr. SAM PIROZZI,"STRAIGHT & NARROW, INC.",P O BOX 2738,"PATERSON, NJ  07509",NonProfit - Corporation,6/15/21,40.8672111,-74.1180205
ADULT DAY HEALTH CARE SERVICES,NJ408210,408210,Sunflower Medical Adult Day Care,SUNFLOWER MEDICAL ADULT DAY CARE,300 BROADWAY, ,BAYONNE,NJ,07002,"BAYONNE, NJ  07002",HUDSON,(201) 243-0666,(201) 243-1836,Jamie@sunfloweramdc.com,12/31/21,96,Ms. JAMIE RYAN,METROPOLITAN LIFE CARE CORP,300 BROADWAY,"BAYONNE, NJ  07002",Profit - Corporation,6/15/21,40.6571367,-74.1238827
ADULT DAY HEALTH CARE SERVICES,NJ12014,12014,Sunny Days Adult Day Care Center,SUNNY DAYS ADULT DAY CARE CENTER,"1 ETHEL ROAD, SUITE 106C", ,EDISON,NJ,08817,"EDISON, NJ  08817",MIDDLESEX,(732) 791-4888,(908) 769-5104,sunnydayssp@gmail.com,8/31/21,128,Mr. TEJAS PATEL,"SATYANARAYAN HEALTHCARE, LLC",217 DURHAM AVENUE,"SOUTH PLAINFIELD, NJ  07080",Profit - LLC,6/15/21,40.5582197,-74.4165571
ADULT DAY HEALTH CARE SERVICES,NJ58110,058110,Sunshine Adult Day Health Care Center,SUNSHINE ADULT DAY HEALTH CARE CENTER,16 N. WASHINGTON AVENUE, ,BERGENFIELD,NJ,07621,"BERGENFIELD, NJ  07621",BERGEN,(201) 387-8500,(201) 387-0300,sedelstein@sunshineadhcc.com,3/31/22,120,Mr. STEVEN EDELSTEIN,"FIRST HEALTHCARE BERGENFIELD, LLC",4557 ROUTE 9 NORTH,"HOWELL, NJ  07731",Profit - LLC,6/15/21,40.928328,-73.996397
ADULT DAY HEALTH CARE SERVICES,NJ708115,708115,Sweet Home Adult Medical Day Care,SWEET HOME ADULT MEDICAL DAY CARE,45 E MADISON AVENUE, ,CLIFTON,NJ,07011,"CLIFTON, NJ  07011",PASSAIC,(973) 478-4200,(973) 478-0909,carzak@gmail.com,8/31/21,118,. JANICE SHAKO,SWEET HOME ADULT MEDICAL DAY CARE INC,45 E MADISON AVENUE,"CLIFTON, NJ  07011",Profit - Corporation,6/15/21,40.8750818,-74.1351324
ADULT DAY HEALTH CARE SERVICES,NJ20004,20004,Town Square Adult Medical Day Care Center,TOWN SQUARE ADULT MEDICAL DAY CARE CENTER,1155 EAST JERSEY STREET, ,ELIZABETH,NJ,07201,"ELIZABETH, NJ  07201",UNION,(908) 787-0980,(908) 787-0983,futurefocusinc@yahoo.com,12/31/21,80,. CONNER GRANATO,TOWN SQUARE ADULT MEDICAL DAY CARE CENTER INC,1155 EAST JERSEY STREET,"ELIZABETH, NJ  07201",Profit - Corporation,6/15/21,40.6651115,-74.2139377
ADULT DAY HEALTH CARE SERVICES,NJ02033,02033,TruCare Adult Medical Day Care,TRUCARE ADULT MEDICAL DAY CARE,111 PAULISON AVENUE, ,CLIFTON,NJ,07011,"CLIFTON, NJ  07011",PASSAIC,(201) 803-3072,          ,a.usmani@trucareadc.com,5/31/22,120,Ms. LAURA BURGOS,TRUCARE ADULT MEDICAL DAY CARE,1111 PAULSON AVENUE,"CLIFTON, NJ  07011",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ12034,12034,Vatsalya Adult Day Care,VATSALYA ADULT DAY CARE,"1412 STELTON ROAD, UNIT 6-10", ,PISCATAWAY,NJ,08854,"PISCATAWAY, NJ  08854",MIDDLESEX,(732) 331-8966,          ,b.parmar@yahoo.com,10/31/21,150,Ms. DIPIKA PATEL,VATSALYA ADULT DAY CARE,"1412 STELTON ROAD, UNIT 6-10","PISCATAWAY, NJ  08854",Profit - LLC,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ12033,12033,"Vcare Adult Center, LLC","VCARE ADULT CENTER, LLC",121 ETHEL ROAD WEST, ,PISCATAWAY,NJ,08854,"PISCATAWAY, NJ  08854",MIDDLESEX,(732) 640-0455,(732) 640-0454,Vcareadc@gmail.com,5/31/22,190,Ms. ALPA MEHTA,"VCARE NJ HOLDINGS, LLC","4849 RUGBY AVE, FL 1","BETHESDA, MD  20814",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ13007,13007,"We Care Adult Care, Inc","WE CARE ADULT CARE, INC",552A HIGHWAY 35 SOUTH, ,RED BANK,NJ,07701,"RED BANK, NJ  07701",MONMOUTH,(732) 741-7363,(732) 741-9188,wecareadultcare@aol.com,12/31/21,70,Ms. TRACEY WOLFMAN,"WE CARE ADULT CARE, INC",552-A HIGHWAY 35,"RED BANK, NJ  07701",Profit - Corporation,6/15/21,40.3737754,-74.0878639
ADULT DAY HEALTH CARE SERVICES,NJ80473,080473,Wiley Christian Adult Medical Services,WILEY CHRISTIAN ADULT MEDICAL SERVICES,6103 WESTFIELD AVENUE, ,PENNSAUKEN,NJ,08110,"PENNSAUKEN, NJ  08110",CAMDEN,(856) 486-9737,(856) 486-1098,gfgilmore@wileymission.org,10/31/21,160,Mr. THOMAS MCKENNA,"WILEY CHRISTIAN ADULT DAY SERVICES, INC.",99 EAST MAIN STREET,"MARLTON, NJ  08053",NonProfit - Religious Affiliation,6/15/21,39.963343,-75.058606
ADULT DAY HEALTH CARE SERVICES,NJ11012,11012,Wishing Well Adult Day Health Care,WISHING WELL ADULT DAY HEALTH CARE,"3450 PRINCETON PIKE, SUITE 120", ,LAWRENCEVILLE,NJ,08648,"LAWRENCEVILLE, NJ  08648",MERCER,(609) 356-0628,(732) 242-9741,Mkravchenko@wishingwellcare.us,2/28/22,200,Mr. MICHAEL KRAVCHENKO,"WISHING WELL ADULT DAY HEALTH CARE, LLC","3450 PRINCETON PIKE, SUITE 120","LAWRENCEVILLE, NJ  08648",Profit - LLC,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ16007,16007,Xanadu Adult Medical Day Care Center,XANADU ADULT MEDICAL DAY CARE CENTER,"615 MAIN AVENUE, 3RD FLOOR", ,PASSAIC,NJ,07055,"PASSAIC, NJ  07055",PASSAIC,(973) 365-0079,(973) 365-1772,abolanos2011@gmail.com,5/31/22,160,Ms. ARACELY BOLANOS,"MER ASSOCIATES, LLC",615 MAIN AVENUE,"PASSAIC, NJ  07055",Profit - LLC,6/15/21,40.8599165,-74.125409
ADULT DAY HEALTH CARE SERVICES,NJ558110,558110,Young at Heart of Eatontown,YOUNG AT HEART OF EATONTOWN,139 GRANT AVENUE, ,EATONTOWN,NJ,07724,"EATONTOWN, NJ  07724",MONMOUTH,(732) 578-1888,(732) 935-7509,bdarlington@optonline.net,10/31/21,35,Mr. YEHUDAH KRAMER,RIVAARON LLC,139 GRANT AVENUE,"EATONTOWN, NJ  07724",Profit - LLC,6/15/21,40.292467,-74.063914
ADULT FAMILY CARE,NJ82445,082445,Care Management 2000,CARE MANAGEMENT 2000,258 PARK ST, ,UPPER MONTCLAIR,NJ,07043,"UPPER MONTCLAIR, NJ  07043",ESSEX,(973) 655-0121,(973) 655-0402,cm2000inc@AOL.com,9/30/21,0,Ms. SUSAN STANGO,"CARE MANAGEMENT 2000, INC.",258 PARK STREET,"UPPER MONTCLAIR, NJ  07043",Profit - Corporation,6/15/21,40.831415,-74.206346
ADULT FAMILY CARE,NJ308121,308121,Clarendon Alternate Family Care,CLARENDON ALTERNATE FAMILY CARE,212 CLIFTON AVENUE, ,NEWARK,NJ,07104,"NEWARK, NJ  07104",ESSEX,(973) 481-6516,(973) 227-1117,rochelle.a.smith@icloud.com,2/28/22,0,Ms. ROCHELLE SMITH-MAGNONE,"BRANCH BROOK PARK MANOR, INC.",212 CLIFTON AVENUE,"NEWARK, NJ  07104",Profit - Corporation,6/15/21,40.7570446,-74.1768137
ADULT FAMILY CARE,NJ90901,90901,Royal Homecare Management,ROYAL HOMECARE MANAGEMENT,285 ROSEVILLE AVENUE, ,NEWARK,NJ,07107,"NEWARK, NJ  07107",ESSEX,(973) 481-2200,(973) 481-3200,rosevillehealth@optimum.net,1/31/22,0,Ms. MARY CUDJOE,ROYAL HOME CARE MANAGEMENT LLC,285 ROSEVILLE AVENUE,"NEWARK, NJ  07107",Profit - LLC,6/15/21,40.7606696,-74.1886046
ADULT FAMILY CARE,NJ157100,157100,"Senior Citizens United Community Services, Inc.",SENIOR CITIZENS UNITED COMMUNI,537 NICHOLSON ROAD, ,AUDUBON,NJ,08106,"AUDUBON, NJ  08106",CAMDEN,(856) 456-1121,(856) 547-2685,scucs@scucs.org,12/31/21,0,Ms. KATHLEEN SILVAGNI,"SENIOR CITIZENS UNITED COMMUNITY SERVICES, INC",537 NICHOLSON ROAD,"AUDUBON, NJ  08106",NonProfit - Corporation,6/15/21,39.8828732,-75.0866307
ASSISTED LIVING PROGRAM,NJ11A006,11A006,"Assisted Living, Inc","ASSISTED LIVING, INC",1015 WHITEHEAD ROAD EXTENSION, ,EWING,NJ,08638,"EWING, NJ  08638",MERCER,(609) 883-8502,(609) 883-8503,rlynn@assistedlivinginc.org,1/31/22,0,Ms. REBECCA LYNN,"ASSISTED LIVING, INC",1008 RIVER ROAD,"EWING, NJ  08628",NonProfit - Corporation,6/15/21,40.261732,-74.756751
ASSISTED LIVING PROGRAM,NJ04A005,04A005,Bentley ALP,BENTLEY ALP,7999 NORTH ROUTE 130, ,PENNSAUKEN,NJ,08110,"PENNSAUKEN, NJ  08110",CAMDEN,(856) 488-5557,(856) 488-9523,stlee@prioritylc.com,1/31/22,0,Ms. STACEY LEE,"KDG OPERATING COMPANY, LLC",7999 NORTH ROUTE 130,"PENNSAUKEN, NJ  08110",Profit - LLC,6/15/21,39.9751041,-75.0352624
ASSISTED LIVING PROGRAM,NJ12A024,12A024,Care Strategies,CARE STRATEGIES,201 CROSSWICKS STREET, ,BORDENTOWN,NJ,08505,"BORDENTOWN, NJ  08505",BURLINGTON,(609) 656-4205,(609) 656-4209,dmanzi@cisnj.com,11/30/21,0,Ms. DA NETTE MANZI,"STATEWIDE CARE, LLC","1970 BRUNSWICK AVE, SUITE 100","LAWRENCEVILLE, NJ  08648",Profit - LLC,6/15/21,40.1460849,-74.7052432
ASSISTED LIVING PROGRAM,NJ20A004,20A004,Care Strategies,CARE STRATEGIES,201 CROSSWICKS STREET, ,BORDENTOWN,NJ,08505,"BORDENTOWN, NJ  08505",BURLINGTON,(609) 656-4205,(609) 656-4209,dmanzi@clsnj.com,7/31/21,0,Mr. DAVID MULRYNE,"STATEWIDE CARE, LLC","1970 BRUNSWICK AVE, SUITE 100","LAWRENCEVILLE, NJ  08648",Profit - LLC,6/15/21,40.5991762,-74.271745
ASSISTED LIVING PROGRAM,NJ01A007,01A007,"Caring Senior Living, Inc","CARING SENIOR LIVING, INC",227 NORTH VERMONT AVENUE, ,ATLANTIC CITY,NJ,08401,"ATLANTIC CITY, NJ  08401",ATLANTIC,(609) 345-3089,(609) 345-2341,jdougherty@caringinc.org,11/30/21,0,. NORMA SANTIAGO,"CARING SENIOR LIVING, INC",P.O. BOX 964,"PLEASANTVILLE, NJ  08232",Profit - Corporation,6/15/21,39.3714226,-74.4161296
ASSISTED LIVING PROGRAM,NJ90A100,90A100,Center for Hope Hospice  Inc.,CENTER FOR HOPE HOSPICE  INC,1900 RARITAN ROAD, ,SCOTCH PLAINS,NJ,07076,"SCOTCH PLAINS, NJ  07076",UNION,(908) 889-7780,(908) 288-9151,nrager@centerforhope.com,8/31/21,0,Ms. NANCY RAGER,CENTER FOR HOPE HOSPICE,1900 RARITAN ROAD,"SCOTCH PLAINS, NJ  07076",NonProfit - Corporation,6/15/21,40.6216,-74.353
ASSISTED LIVING PROGRAM,NJ10A101,10A101,The Clare Estate,"CLARE ESTATE, THE",201 CROSSWICKS STREET, ,BORDENTOWN,NJ,08505,"BORDENTOWN, NJ  08505",BURLINGTON,(609) 298-6628,(609) 298-0641,dmanzi@cisnj.com,11/30/21,0,Mr. ULYSSES AKRIDGE,"CROSSWICKS, LLC",201 CROSSWICKS STREET,"BORDENTOWN, NJ  08505",,6/15/21,40.1460982,-74.7052391
ASSISTED LIVING PROGRAM,NJ04A015,04A105,DPSP Health Care,DPSP HEALTH CARE,102 HEARTHSTONE DRIVE, ,BERLIN,NJ,08009,"BERLIN, NJ  08009",CAMDEN,(856) 308-2163,(856) 338-0285,DPSP.Healthcare@gmail.com,7/31/21,0,Ms. DAWN OGREN,"DPSP HEALTH CARE, LLC",102 HEARTHSTONE DRIVE,"BERLIN, NJ  08012",,6/15/21,,
ASSISTED LIVING PROGRAM,NJ50A110,50A110,Heritage of Clara Barton,HERITAGE OF CLARA BARTON,1015 AMBOY AVENUE, ,EDISON,NJ,08837,"EDISON, NJ  08837",MIDDLESEX,(732) 225-5990,(732) 225-5288,administrator@hofcb.com,12/31/21,0,. THANA SERMSUWAN,HERITAGE OF CLARA BARTON CORP.,14 BACK DRIVE,"EDISON, NJ  08817",,6/15/21,40.534699,-74.3370112
ASSISTED LIVING PROGRAM,NJ85A100,85A100,Knoll View Corp,KNOLL VIEW CORP,8 KNOLL ROAD, ,SPARTA,NJ,07871,"SPARTA, NJ  07871",SUSSEX,(973) 729-4311,(973) 729-2750,fmckernan@knollcommunities.org,5/31/21,0,Ms.. FRANCESCA MCKERNAN,KNOLL VIEW CORP,39 TRAPASSO DR,"SPARTA, NJ  07871",NonProfit - Corporation,6/15/21,41.0390298,-74.643422
ASSISTED LIVING PROGRAM,NJ07A031,07A031,"MC Properties Associates, ALP","MC PROPERTIES ASSOCIATES, ALP",285 ROSEVILLE AVENUE, ,NEWARK,NJ,07107,"NEWARK, NJ  07107",ESSEX,(908) 343-1429,(973) 481-3200,Mary_07205@yahoo.com,6/30/22,0,Ms. MARY CUDJOE,MC PROPERTIES ASSOCIATES ALP,285 ROSEVILLE AVENUE,"NEWARK, NJ  07107",,6/15/21,,
ASSISTED LIVING PROGRAM,NJ02A021,02A021,Portable Assisted Living Services (PALS),PORTABLE ASSISTED LIVING SERVICES (PALS),300 TEANECK ROAD, ,TEANECK,NJ,07666,"TEANECK, NJ  07666",BERGEN,(201) 692-1000,(201) 692-0293,elizabethdavis@brightsidemanor.org,12/31/21,0,Ms. JULIE MCGAFFIN,"GERIATRIC LIVING SOLUTIONS, INC.",300 TEANECK ROAD,"TEANECK, NJ  07666",,6/15/21,,
ASSISTED LIVING PROGRAM,NJ15A101,15A101,Spring Oak Of Toms River,SPRING OAK OF TOMS RIVER,2145 WHITESVILLE ROAD, ,TOMS RIVER,NJ,08755,"TOMS RIVER, NJ  08755",OCEAN,(732) 905-9222,(732) 905-9442,hrunne@springoak.net,7/31/21,0,Ms. TAKOLA GONZALEZ,"THE RESIDENCE AT LAKE RIDGE, LLC",2145 WHITESVILLE ROAD,"TOMS RIVER, NJ  08755",Profit - LLC,6/15/21,40.0403214,-74.244409
ASSISTED LIVING PROGRAM,NJ11A015,11A015,St. Francis Assisted Living Program,ST FRANCIS ASSISTED LIVING PROGRAM,601 HAMILTON AVENUE, ,TRENTON,NJ,08629,"TRENTON, NJ  08629",MERCER,(609) 599-5261,(609) 475-6071,jromano@stfrancismedical.org,2/28/22,0,Ms. ELIZABETH OSBORNE,ST. FRANCIS MEDICAL CENTER,601 HAMILTON AVENUE,"TRENTON, NJ  08629",Non-Profit - Hospital,6/15/21,,
ASSISTED LIVING PROGRAM,NJ04A023,04A023,"Watson Street Assisted Living Program, LLC",WATSON STREET ASSISTED LIVING PROGRAM LLC,"2021 WATSON STREET, 2ND FLOOR", ,CAMDEN,NJ,08105,"CAMDEN, NJ  08105",CAMDEN,(856) 968-2700,(856) 968-2752,vfigueroa@camdenhousing.org,10/31/21,0,. MICHAEL DUGGER,HOUSING AUTHORITY CITY OF CAMDEN ALP PROGRAM,"2021 WATSON STREET, 2ND FLOOR","CAMDEN, NJ  08105",,6/15/21,,
ASSISTED LIVING RESIDENCE,NJ47A102,47A102,Abrams Residence,ABRAMS RESIDENCE,50 WALTER STREET, ,EWING,NJ,08628,"EWING, NJ  08628",MERCER,(609) 883-5391,(609) 883-0177,dkatz@greenwoodhouse.org,7/31/21,29,Mr. DAVID KATZ,GREENWOOD HOUSE HOME FOR THE JEWISH AGED,53 WALTER STREET,"TRENTON, NJ  08628",NonProfit - Religious Affiliation,6/15/21,40.26109,-74.80053
ASSISTED LIVING RESIDENCE,NJAL02007,AL02007,"Actors Fund Home, The","ACTORS FUND HOME, THE",155-175 WEST HUDSON AVENUE, ,ENGLEWOOD,NJ,07631,"ENGLEWOOD, NJ  07631",BERGEN,(201) 871-8882,          ,jstrohl@actorsfund.org,5/31/22,41,Mr. JORDAN STROHL,"ACTORS' FUND OF AMERICA, INC.","729 SEVENTH AVE, 10TH FL","NEW YORK, NY  10019",NonProfit - Corporation,6/15/21,,
ASSISTED LIVING RESIDENCE,NJ7U0NFD,7U0NFD,Alaris Health at The Atrium,ALARIS HEALTH AT THE ATRIUM,330 NINTH STREET, ,JERSEY CITY,NJ,07302,"JERSEY CITY, NJ  07302",HUDSON,(201) 716-8000,(201) 716-8005,Derek. Froiran@atrium.com,4/30/22,113,Mr. DEREK FROIRAN,"HAMILTON PARK ATRIUM OPCO, LLC",1150 WEST CHESTNUT STREET,"UNION, NJ  07083",Profit - LLC,6/15/21,40.7287462,-74.0486926
ASSISTED LIVING RESIDENCE,NJ18A113,18A113,All American Assisted Living at Hillsborough,ALL AMERICAN ASSISTED LIVING AT HILLSBOROUGH,351 ROUTE 206, ,HILLSBOROUGH,NJ,08844,"HILLSBOROUGH, NJ  08844",SOMERSET,(516) 496-1505,(516) 496-1509,rdioguardi@kapdev.com,5/31/22,112,Mr. DREW ROBINSON,"SHI-II HILLSBOROUGH, LLC",,",   ",,6/15/21,,
ASSISTED LIVING RESIDENCE,NJ08A012,08A012,All American Assisted Living at Washington Township,ALL AMERICAN ASSISTED LIVING AT WASHINGTON TOWNSHI,339 GREENTREE ROAD, ,SEWELL,NJ,08080,"SEWELL, NJ  08080",GLOUCESTER,(856) 553-6694,(856) 956-3023,DPetrone@allamericanatwashington.com,1/31/22,112,. DEBRA PETRONE,"SHI-III WASHINGTON TOWNSHIP, LLC","100 JERICHO QUADRANGLE, SUITE 142","JERICHO, NY  11753",,6/15/21,,
ASSISTED LIVING RESIDENCE,NJ90A120,90A120,"Amber Court of Elizabeth, LLC","AMBER COURT OF ELIZABETH, LLC",1155 EAST JERSEY STREET, ,ELIZABETH,NJ,07201,"ELIZABETH, NJ  07201",UNION,(908) 352-9200,(908) 352-8026,sdasilva@ambercourtal.com,5/31/22,120,Ms. SHEENA DASILVA,"AMBER COURT OF ELIZABETH, LLC",155 E. JERSEY STREET,"ELIZABETH, NJ  07201",,6/15/21,40.6651115,-74.2139377
ASSISTED LIVING RESIDENCE,NJ13A003,13A003,Applewood Estates Assisted Living Residence,APPLEWOOD ESTATES ASSISTED LIVING RESIDENCE,ONE APPLEWOOD DRIVE, ,FREEHOLD,NJ,07728,"FREEHOLD, NJ  07728",MONMOUTH,(732) 780-7370,(732) 303-1240,Sawad@centrastate.com,3/31/22,50,Ms. SALLY AWAD,"CENTER FOR AGING, INC.",ONE APPLEWOOD DRIVE,"FREEHOLD, NJ  07728",NonProfit - Corporation,6/15/21,40.2474765,-74.3151645
ASSISTED LIVING RESIDENCE,NJ80A000,80a000,Arbor at Laurel Circle,ARBOR AT LAUREL CIRCLE,100 MONROE STREET, ,BRIDGEWATER,NJ,08807,"BRIDGEWATER, NJ  08807",SOMERSET,(908) 595-6500,(908) 595-6515,Akuiken@foxtrailseniorliving.com,6/30/22,35,Mr. ALOK ANAND,LCS BRIDGEWATER OPERATIONS LLC,400 LOCUST STREET SUITE 820,"DES MOINES, IA  50309",,6/15/21,40.573708,-74.592159
ASSISTED LIVING RESIDENCE,NJ13A012,13A012,Arbor Terrace Morris Plains,ARBOR TERRACE MORRIS PLAINS,361 SPEEDWELL AVENUE, ,MORRIS PLAINS,NJ,07950,"MORRIS PLAINS, NJ  07950",MORRIS,(973) 718-3636,          ,kevin.seidel@arborcompany.com,5/31/22,100,Mr. KEVIN SEIDEL,SHP VI MORRIS PLAINS LLC,7 GIRALDA FARMS,"MADISON, NJ  07940",,6/15/21,,
ASSISTED LIVING RESIDENCE,NJ03A014,03A014,Arbor Terrace Mount Laurel,ARBOR TERRACE MOUNT LAUREL,785  CENTERTON ROAD, ,MOUNT LAUREL,NJ,08054,"MOUNT LAUREL, NJ  08054",BURLINGTON,(908) 461-5108,          ,jfix@arborcompany.com,12/31/21,110,Ms. JACQUELINE FIX,"CSH MOUNT LAUREL LICENSEE, LLC",1275 PENNSYLVANIA AVE NW 2 FL,"WASHINGTON, DC  20004",,6/15/21,,
