State Facility Type 2 Literal,Facility ID,License Number,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Capacity,Licensee,Ownership Type,Latitude,Longitude,Date Accessed,State Facility Type 1 Literal
ASSISTED LIVING RESIDENCE,NJ16A023,16A023,The Bristal At Wayne,1440 HAMBURG TURNPIKE,Wayne,NJ,7470,Passaic,(973) 987-3600,mmckeon@ultimatecaremgmt.com,170,"ENGEL BURMAN AT WAYNE, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A016,02A016,The Bristal At Woodcliff Lake,364 CHESTNUT RIDGE ROAD,Woodcliff Lake,NJ,7677,Bergen,(201) 505-9500,bpastor@ultimatecaremgmt.com,160,"WOODCLIFF LAKE SENIOR CARE, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ20A001,20A001,Brookdale Cape May,591 ROUTE 9 SOUTH,Cape May Court House,NJ,8210,Cape May,(609) 463-6344,yvonne.sullivan@brookdale.com,146,EMERITUS CORPORATION,PROFIT - CORPORATION,39.0739312,-74.8283518,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ5A004,05A004,Brookdale Emerson,590 OLD HOOK ROAD,Emerson,NJ,7630,Bergen,(201) 986-9009,amoore104@brookdale.com,105,"BREA EMERSON, LLC",PROFIT - LLC,40.9806167,-74.0026403,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A000,15A000,Brookdale Evesham,ONE BRENDENWOOD DRIVE,Voorhees,NJ,8043,Camden,(856) 424-7773,jgarcia35@brookdale.com,200,"BLC-BRENDENWOOD, LLC",PROFIT - LLC,39.8721779,-74.9329522,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ10A001,10a001,Brookdale Florence,901 BROAD STREET,Florence,NJ,8518,Burlington,(609) 499-6662,dgordon16@brookdale.com,46,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",PROFIT - CORPORATION,40.1128,-74.8092,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A000,60a000,Brookdale Florham Park,8 JAMES STREET,Florham Park,NJ,7932,Morris,(973) 443-0444,lgaspard-craan@brookdale.com,77,"AHC FLORHAM PARK, LLC",PROFIT - LLC,40.7890358,-74.387091,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ47A000,47a000,Brookdale Hamilton,1645 WHITEHORSE-MERCERVILLE ROAD,Trenton,NJ,8619,Mercer,(609) 586-4000,ericigliani@brookdale.com,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",PROFIT - CORPORATION,40.221014,-74.688068,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A002,80a002,Brookdale Hillsborough,600 AUTEN ROAD,Hillsborough,NJ,8844,Somerset,(908) 431-1300,michael.juliano@brookdale.com,94,"SUMMERVILLE AT HILLSBOROUGH, LLC",PROFIT - LLC,40.5023131,-74.6593798,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ50A003,50a003,Brookdale Monroe,380 FORSGATE DRIVE,Monroe Township,NJ,8831,Middlesex,(609) 409-7525,blavelle1@brookdale.com,116,"AHC MONROE TOWNSHIP, LLC",PROFIT - LLC,40.3415619,-74.4575611,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ5A006,05A006,Brookdale Paramus,186 PARAMUS ROAD,Paramus,NJ,7652,Bergen,(201) 251-9600,ccarnes3@brookdale.com,140,"S-H OPCO PARAMUS, LLC",PROFIT - LLC,40.938764,-74.091523,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ70A003,70A003,Brookdale Wayne,820 HAMBURG TURNPIKE,Wayne,NJ,7470,Passaic,(973) 942-4800,ashley.mastroianni@brookdale.com,105,"BREA WAYNE, LLC",PROFIT - LLC,40.9582838,-74.2253553,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A001,30A001,Brookdale West Orange,520 PROSPECT AVENUE,West Orange,NJ,7052,Essex,(973) 325-5700,jlischak29@brookdale.com,116,"BREA WEST ORANGE, LLC",PROFIT - LLC,40.7875879,-74.2566845,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90138,90138,Brookdale Westampton,480 W. WOODLANE ROAD,Westampton,NJ,8060,Burlington,(609) 877-0555,kdickinson7@brookdale.com,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",PROFIT - CORPORATION,40.0239,-74.8586,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ03A006,03A006,Cambridge Enhanced Senior Living,255 E MAIN STREET,Moorestown,NJ,8057,Burlington,(856) 235-1214,vrobinson@mhslp.com,64,"CAMBRIDGE ASSISTED LIVING, LLC",,39.9679533,-74.9344604,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ35A001,35A001,Cardinal Village,455 HURFFVILLE-CROSSKEYS ROAD,Sewell,NJ,8080,Gloucester,(856) 582-5292,susanw@cardinalvillage.com,115,"CARE HSL CARDINAL VILLAGE OPCO, LP",,39.73634,-75.0696284,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJAL12001,AL12001,Care One At East Brunswick Assisted Living,664 CRANBURY ROAD,East Brunswick,NJ,8816,Middlesex,(732) 653-1178,kseaman@care-one.com,106,"CARE ONE AT EAST BRUNSWICK ASSISTED LIVING, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ03A001,03A001,Care One At Evesham Assisted Living,874 ROUTE 70 EAST,Marlton,NJ,8053,Burlington,(856) 988-2400,amulryne@care-one.com,80,"CARE ONE AT EVESHAM ASSISTED LIVING, LLC",PROFIT - LLC,39.895759,-74.9423344,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJX1KYQQ,X1KYQQ,Care One At Hamilton,1660 WHITEHORSE-HAMILTON SQUARE ROAD,Hamilton Township,NJ,8619,Mercer,(609) 586-4600,hamiltonadministrator@care-one.com,95,"CARE ONE AT HAMILTON, LLC",PROFIT - CORPORATION,40.2128449,-74.6804805,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A009,30A009,Care One At Livingston Assisted Living,76 PASSAIC AVENUE,Livingston,NJ,7039,Essex,(973) 758-4100,malfano@care-one.com,93,CARE TWO LLC,PROFIT - LLC,40.7647488,-74.353311,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ10A100,10A100,Care One At Moorestown,895 WESTFIELD AVENUE,Moorestown,NJ,8057,Burlington,(856) 914-0444,moorestownadministrator@care-one.com,54,"CARE ONE AT MOORESTOWN, LLC",PROFIT - LLC,39.9899,-74.9355,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A007,60A007,Care One At Morris Assisted Living,200 MAZDABROOK ROAD,Parsippany Troy Hill,NJ,7054,Morris,(973) 739-9490,kwalsh@care-one.com,93,"CARE ONE AT PARSIPPANY-TROY HILLS, LLC",PROFIT - LLC,40.85915,-74.4046065,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ18A105,18A105,Care One At Somerset Valley Assisted Living,1621 ROUTE 22 WEST,Bound Brook,NJ,8805,Somerset,(732) 469-2000,blong@care-one.com,72,"1621 ROUTE 22 WEST OPERATING, LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ5A000,5a000,Care One At The Cupola,W 100 RIDGEWOOD AVENUE,Paramus,NJ,7652,Bergen,(201) 444-8200,lrhoads@care-one.com,169,"MILLENIUM HEALTHCARE CENTERS, LLC",PROFIT - LLC,40.964258,-74.066682,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJVQXWIZ,VQXWIZ,Care One At Wayne - Alr,493 BLACK OAK RIDGE ROAD,Wayne,NJ,7470,Passaic,(973) 692-9500,hunger@care-one.com,59,"493 BLACK OAK RIDGE ROAD, L.L.C.",PROFIT - LLC,40.9573946,-74.2697216,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A031,02A031,Care One Harmony Village At Paramus,189 PARAMUS ROAD,Paramus,NJ,7652,Bergen,(551) 276-7200,tcasper@care-one.com,126,"GES HEALTHCARE VENTURES, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A011,60A011,Cedar Crest/Mountainview Gardens,4 CEDAR CREST VILLAGE DRIVE,Pompton Plains,NJ,7444,Morris,(973) 831-3546,kristy.stallard@erickson.com,92,"CEDAR CREST VILLAGE, INC.",NONPROFIT - CORPORATION,40.9851421,-74.3245725,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ70A000,70A000,The Chelsea At Bald Eagle,197 CAHILL CROSS ROAD,West Milford,NJ,7480,Passaic,(973) 728-6000,chelseabaldeagleed@gmail.com,86,"BALD EAGLE SENIOR LIVING, LLC",PROFIT - LLC,41.119043,-74.359388,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A007,65a007,The Chelsea At Brick,458 JACK MARTIN BLVD.,Brick,NJ,8724,Ocean,(732) 206-9800,ntaylor@cslal.com,123,"BRICK SENIOR CARE, LLC",PROFIT - LLC,40.0797809,-74.1322296,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A007,80A007,The Chelsea At Bridgewater,680 202/206 NORTH,Bridgewater,NJ,8807,Somerset,(908) 252-3400,jhamlett@cslal.com,115,"BRIDGEWATER SENIOR CARE, LLC",PROFIT - LLC,40.6027222,-74.6239319,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ21A001,21A001,The Chelsea At Brookfield,1 BROOKFIELD COURT,Belvidere,NJ,7823,Warren,(908) 475-5556,sponist@cslal.com,115,"BROOKFIELD SENIOR LIVING, LLC",PROFIT - LLC,40.814233,-75.059224,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ50A000,50A000,The Chelsea At East Brunswick,606 CRANBURY ROAD,East Brunswick,NJ,8816,Middlesex,(732) 651-6100,crozenberg@cslal.com,102,"EAST BRUNSWICK SENIOR CARE, LLC",PROFIT - LLC,40.409097,-74.4204409,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90A000,90A000,The Chelsea At Fanwood,295 SOUTH AVENUE,Fanwood,NJ,7023,Union,(908) 654-5200,awatson@cslal.com,95,"FANWOOD SENIOR CARE, LLC",PROFIT - LLC,40.641555,-74.3823801,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ82462,82462,The Chelsea At Forsgate,319 FORSGATE DRIVE,Jamesburg,NJ,8831,Middlesex,(732) 656-1000,mricciardi@cslal.com,156,"FORSGATE SENIOR CARE ,LLC",PROFIT - LLC,40.3458215,-74.447998,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,O5MOOY,05MOOY,The Chelsea At Manalapan,445 ROUTE 9 SOUTH,Manalapan,NJ,7726,Monmouth,(732) 972-6200,kpietrocola@cslal.com,73,"MANALAPAN SENIOR CARE, LLC",PROFIT - LLC,40.31919,-74.3060308,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ13A019,13A019,"Chelsea At Shrewsbury, The",515 SHREWSBURY AVENUE,Shrewsbury,NJ,7702,Monmouth,(732) 747-7540,ndandrea@cslal.com,110,"CSH SHREWSBURY LICENSEE, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ19A004,19A004,"Chelsea At Sparta, The",513 LAFAYETTE ROAD,Sparta,NJ,7871,Sussex,(908) 889-4200,acline@cslal.com,75,"SPARTA SENIOR LIVING, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A000,55A000,The Chelsea At Tinton Falls,ONE HARTFORD DRIVE,Tinton Falls,NJ,7701,Monmouth,(732) 933-4700,csydorr@cslal.com,70,"TINTON FALLS SENIOR CARE, LLC",PROFIT - LLC,40.329996,-74.075521,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A114,65A114,The Chelsea At Toms River,1657 SILVERTON ROAD,Toms River,NJ,8753,Ocean,(732) 941-8100,moshaughnessy@cslal.com,140,"CMG BRENTWOOD, LLC",PROFIT - LLC,40.0242214,-74.1867009,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A003,80A003,The Chelsea At Warren,274 KING GEORGE ROAD,Warren,NJ,7059,Somerset,(908) 903-0911,fmolfetta@cslal.com,94,"WARREN SENIOR CARE, LLC",PROFIT - LLC,40.643225,-74.514082,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ16A001,16A001,Chestnut Hill Residences By Complete Care,338 CHESTNUT STREET,Passaic,NJ,7055,Passaic,(973) 777-7800,michaelb@chestnuthillcc.net,125,"CHESTNUT HILL RESIDENCES BY COMPLETE CARE, LLC",,40.8649758,-74.135263,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ5A005,5a005,Christian Health Care Center,301 SICOMAC AVENUE,Wyckoff,NJ,7481,Bergen,(201) 848-4300,prooney@chccnj.org,95,CHRISTIAN HEALTH CARE CENTER,NONPROFIT - RELIGIOUS AFFILIATION,40.9841201,-74.1706686,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,J6TDGC,j6tdgc,The Clare Estate,201 CROSSWICKS STREET,Bordentown,NJ,8505,Burlington,(609) 298-9960,ssmith@theclareestate.com,58,"CROSSWICKS, LLC",,40.1460982,-74.7052391,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A008,30A008,The Cliffs At Eagle Rock,707 EAGLE ROCK AVENUE,West Orange,NJ,7052,Essex,(973) 669-0011,ldeguzman@thecliffsateaglerock.org,85,BAPTIST HOME SOCIETY OF NEW JERSEY,NONPROFIT - RELIGIOUS AFFILIATION,40.8117275,-74.2649473,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90119,90119,Complete Care At Arbors Haven,1700 ROUTE 37 WEST,Toms River,NJ,8757,Ocean,(732) 341-0880,jack@peacecap.com,96,"COMPLETE CARE AT ARBORS HAVEN, LLC",,39.9907829,-74.2682967,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ20A015,20A105,Continuing Care At Lantern Hill,537 MOUNTAIN AVENUE,New Providence,NJ,7974,Union,(908) 516-9300,ryan.fitzpatrick@erickson.com,45,"LANTERN HILL, INC.",NON-PROFIT - CORPORATION,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,T5SN2I,T5SN2I,Continuing Care At Seabrook,3002 ESSEX ROAD,Tinton Falls,NJ,7753,Monmouth,(732) 643-2029,bruce.ladson@erickson.com,96,"SEABROOK VILLAGE, INC.",NONPROFIT - CORPORATION,40.231958,-74.092112,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ19A001,19a001,"Evermay At Branchville, Llc",3 PHILLIPS ROAD,Branchville,NJ,7826,Sussex,(973) 948-8884,dtramontozzi@bentleyassistedliving.com,71,"EVERMAY AT BRANCHVILLE, LLC",PROFIT - LLC,41.1561949,-74.748361,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A001,02A001,Five Star Premier Residences Of Teaneck,655 POMANDER WALK,Teaneck,NJ,7666,Bergen,(201) 836-3634,msturiale@5ssl.com,40,"SNH TEANECK TENANT, LLC",PROFIT - LLC,40.889624,-74.032214,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A007,15a007,The Fountains At Cedar Parke,114 HAYES MILL ROAD,Atco,NJ,8004,Camden,(856) 753-2000,akuiken@foxtrailseniorliving.com ,113,FOUNTAINS CCRC HOLDING LLC,,39.763169,-74.906876,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ35A000,35a000,Fox Trail Senior Living At Deptford,1674 DELSEA DRIVE,Deptford,NJ,8096,Gloucester,(856) 686-9500,rkozek@brookdale.com,52,LAN DEPTFORD LLC,,39.8148989,-75.125542,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ75A002,75A002,Friends Village At Woodstown (Alr),ONE FRIENDS DRIVE,Woodstown,NJ,8098,Salem,(856) 769-1500,twoodside@friendsvillage.org,67,"FRIENDS HOME AT WOODSTOWN, INC.",NONPROFIT - RELIGIOUS AFFILIATION,39.6476023,-75.3161788,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A001,65A001,Georgetown Commons At The Pines At Whiting,507 ROUTE 530,Whiting,NJ,8759,Ocean,(732) 849-0400,ppolchak@thepinesatwhiting.org,96,"KESWICK PINES, INC.",NONPROFIT - CORPORATION,39.9465992,-74.3542905,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ10A000,10A000,Granville Place,111 SUNSET ROAD,Burlington,NJ,8016,Burlington,(609) 239-5440,skansupada@enlivant.com,47,GRANVILLE AID OPCO LLC,,40.050478,-74.844559,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A115,15A115,Harmony Village At Careone Jackson,11 HISTORY LANE,Jackson,NJ,8527,Ocean,(732) 367-6600,kseaman@care-one.com,104,"11 HISTORY LANE OPERATING COMPANY, L.L.C.",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ03A004,03A004,Harmony Village At Careone Stanwick Road,301 N STANWICK ROAD,Moorestown,NJ,8057,Burlington,(856) 638-1244,rwittman@care-one.com,68,"CARE ONE AT STANWICK, LLC",PROFIT - LLC,39.9723,-74.9319,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A003,65a003,Hearthstone Estates,77 WILLIAMS STREET,Lakewood,NJ,8701,Ocean,(732) 363-8505,kdickinson@hearthstoneal.com,47,"HEARTHSTONE ESTATES, LLC",PROFIT - LLC,40.076245,-74.220303,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ1A006,1a006,The Heritage Assisted Living,45 ROUTE 206,Hammonton,NJ,8037,Atlantic,(609) 561-8977,weaz@comcast.net,107,RT. 206 INC.,PROFIT - CORPORATION,39.651235,-74.788555,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ50A005,50a005,Heritage Of Clara Barton,1015 AMBOY AVENUE,Edison,NJ,8837,Middlesex,(732) 225-5990,kimberly.greer@genesishcc.com,98,HERITAGE OF CLARA BARTON CORP.,,40.534699,-74.3370112,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ11A017,11A017,Homestead At Hamilton,2560 KUSER ROAD,Hamilton,NJ,8691,Mercer,(609) 438-9900,mowens@homesteadathamilton.com,130,"HOMESTEAD SENIOR LIVING, LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ95A001,95A001,House Of The Good Shepherd,798 WILLOW GROVE STREET,Hackettstown,NJ,7840,Warren,(908) 684-5900,slanza@hotgs.org,35,"HOUSE OF THE GOOD SHEPHERD, INC.",NONPROFIT - CORPORATION,40.868373,-74.808812,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ45A000,45a000,Independence Manor At Hunterdon,188 STATE HIGHWAY 31,Flemington,NJ,8822,Hunterdon,(908) 788-4893,rsopronyi@independencemanor.com,106,INDEPENDENCE MANOR AT HUNTERDON,PROFIT - CORPORATION,40.531737,-74.853818,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A00,02A00,Jewish Home Assisted Living,685 WESTWOOD AVENUE,River Vale,NJ,7675,Bergen,(201) 666-2370,celliott@jhalnj.org,124,JEWISH HOME ASSISTED LIVING,NONPROFIT - CORPORATION,40.994414,-74.004074,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A006,30a006,Job Haines Home For Aged People/Hearthside Commons,250 BLOOMFIELD AVENUE,Bloomfield,NJ,7003,Essex,(973) 743-0792,drepoli@job-haines.org,67,JOB HAINES HOME FOR AGED PEOPLE,NONPROFIT - CORPORATION,40.783301,-74.1928439,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A006,60A006,Juniper Village At Chatham,500 SOUTHERN BOULEVARD,Chatham,NJ,7928,Morris,(973) 966-5483,frank.pascale@junipercommunities.com,134,JUNIPER VILLAGE AT CHATHAM LLC,PROFIT - CORPORATION,40.742571,-74.4307634,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ35A005,35A005,Juniper Village At Williamstown,1640 S. BLACK HORSE PIKE,Williamstown,NJ,8094,Gloucester,(856) 740-9400,linda.donato@junipercommunities.com,51,JUNIPER VILLAGE AT WILLIAMSTOWN LLC,PROFIT - PARTNERSHIP,39.665106,-74.967259,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ35A004,35A004,"Juniper Village At Williamstown, Wellspring Memory Care Program",1648 S. BLACK HORSE PIKE,Williamstown,NJ,8094,Gloucester,(856) 740-9400,diane.velez@junipercommunities.com,36,JUNIPER VILLAGE AT WILLIAMSTOWN LLC,PROFIT - PARTNERSHIP,39.6645791,-74.967893,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A111,65A111,The Lakewood Courtyard,52 MADISON AVENUE,Lakewood,NJ,8701,Ocean,(732) 905-2055,hpalmucci@esquireg.com,100,"LAKEWOOD COURTYARD ASSISTED LIVING, L.L.C.",PROFIT - LLC,40.08996,-74.2165307,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ11A018,11A018,"Landing Of Hamilton, The",1750 YARDVILLE-HAMILTON SQUARE ROAD,Hamilton,NJ,8690,Mercer,(609) 421-0300,mjuno@leisurecare.com,142,WRP OPERATING HAMILTON NJ LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ08A010,08A010,"Landing Of Washington Square, The",120 TOWN CENTER BOULEVARD,Sewell,NJ,8080,Gloucester,(585) 225-7370,mjuno@leisurecare.com,144,"WRP OPERATING WASHINGTON NJ, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ75A000,75A000,Lindsay Place,39 SUPAWNA ROAD,Pennsville,NJ,8070,Salem,(856) 339-0100,rlipsky@enlivant.com,47,LINDSAY AID OPCO LLC,,39.605222,-75.496028,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ04A003,04A003,Lions Gate,1100 LAUREL OAK ROAD,Voorhees,NJ,8043,Camden,(856) 667-3100,cpalella@lionsgateccrc.org,74,"SJF-CCRC, INC.",NONPROFIT - CORPORATION,39.847458,-74.972696,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A005,30a005,Lutheran Social Ministries At Crane'S Mill,459 PASSAIC AVENUE,West Caldwell,NJ,7006,Essex,(973) 276-3030,cfranco@lsmnj.org,70,LUTHERAN SOCIAL MINISTRIES OF NJ,NONPROFIT - CORPORATION,40.843372,-74.305012,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,YMOSFX,YMOSFX,Magnolia Gardens,1935 LAKEWOOD ROAD,Toms River,NJ,8755,Ocean,(732) 557-6500,cdelvalle@magnoliaal.com,120,"MAGNOLIA GARDENS SOUTH, LP",,40.0224148,-74.2210212,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A110,80A110,"Martin And Edith Stein Assisted Living Residence, Inc.",350 DEMOTT LANE,Somerset,NJ,8873,Somerset,(732) 568-1155,jleone@wilfcampus.org,90,"MARTIN AND EDITH STEIN ASSISTED LIVING RESIDENCE,",NONPROFIT - CORPORATION,40.4996939,-74.5126301,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A009,55A009,Mattison Crossing At Manalapan Ave,93 MANALAPAN AVENUE,Freehold,NJ,7728,Monmouth,(732) 303-8800,ed@mattisoncrossing.com,199,"BRIDGE-BROOKSIDE, LLC",PROFIT - LLC,40.260126,-74.286208,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90108,90108,Maurice House,1719 WEST MAIN STREET,Millville,NJ,8332,Cumberland,(856) 825-4002,mparent@seniorlifestyle.com,47,"SL MILLVILLE, LLC",PROFIT - LLC,39.400011,-75.079877,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ47A001,47a001,Meadow Lakes,300 MEADOW LAKES,East Windsor,NJ,8520,Mercer,(609) 448-4100,lvernachio@springpointsl.org,44,"SPRINGPOINT AT MEADOW LAKES, INC",NONPROFIT - RELIGIOUS AFFILIATION,40.2580802,-74.5158597,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ75A001,75A001,Merion Gardens Assisted Living,315 MERION AVENUE,Carneys Point,NJ,8069,Salem,(856) 299-0300,administratormerion@comcast.net,98,MERION GARDENS ASSISTED LIVING COMPANY LLC,PROFIT - LLC,39.704237,-75.4684429,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ14A002,14A002,"Merry Heart Assisted Living, Llc",118 MAIN STREET,Succasunna,NJ,7876,Morris,(973) 584-4000,execdirector_mhal@merryheart.com,100,"MERRY HEART ASSISTED LIVING, LLC",PROFIT - LLC,40.8698491,-74.6407838,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJLRR782,LRR782,Mill Gardens At Midland Park,36 FANER ROAD,Midland Park,NJ,7432,Bergen,(201) 493-7400,nickdrivanos@millgardens.com,98,"MATURE ENVIRONMENTS, INC.",PROFIT - CORPORATION,40.98745,-74.14733,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A005,55a005,Monmouth Crossing,560 IRON BRIDGE ROAD,Freehold,NJ,7728,Monmouth,(732) 303-8600,hgladstein@centrastate.com,94,"CENTRA STATE ASSISTED LIVING, INC.",NONPROFIT - CORPORATION,40.235425,-74.30977,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ50A8312,50A8312,Monroe Village Assisted Living,ONE DAVID BRAINERD DRIVE,Monroe Township,NJ,8831,Middlesex,(732) 521-6400,thanoman@springpointsl.org,42,"SPRINGPOINT AT MONROE VILLAGE, INC",NONPROFIT - RELIGIOUS AFFILIATION,40.3377472,-74.4527743,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,922TYU,922TYU,Mt Arlington Senior Living,2 HILLSIDE DRIVE,Mount Arlington,NJ,7856,Morris,(973) 601-0988,ehagedoorn@5ssl.com,120,SNH NJ TENANT LLC,,40.9035879,-74.63843,6/29/21,ASSISTED LIVING SERVICE
