Facility Name,Licensee,State Facility Type 1 Literal,Address,City,Island,Phone Number,License Number,Capacity,State Facility Type 2 Literal
Hale Malama,Leticia Dexter,Type I Expanded Adult Residential Care Home,94-1088 Farrington Highway,Waipahu,Oahu,8082005841,1577-C,5,Ambulatory
Hale Malamalama Mauka,Pauline Fukumura,Type I  Adult Residential Care Home,246 Moomuku Place,Honolulu,Oahu,8083960537,1535-C,5,Ambulatory
Hale Mohalu,"Glenn M. Wasserman, M.D., M.P.H.",Type II Expanded Adult Residential Care Home,3650 Maunalei Avenue,Honolulu,Oahu,8087338080,1477-C,14,Ambulatory
"Hale Nohea, L.L.C.",Patricia Mosher,Type II Expanded Adult Residential Care Home,5071 Maunalani Circle,Honolulu,Oahu,8087344680,1439-C,8,Fully Ambulatory
Hale O Meleana,Abbey Weerasinghe,Type II Adult Residential Care Home,2230 Liliha Street,Honolulu,Oahu,8082658554,1618-C,110,Ambulatory
"Hale Olu Care Home, L.L.C.",Sharlene Zaharis,Type I  Adult Residential Care Home,1573 Ala Lani Street,Honolulu,Oahu,8082181098,1217-C,2,Fully Ambulatory
Hanami Care Home Kailua,Won Joo,Type I  Adult Residential Care Home,316 A Kalama Street,Kailua,Oahu,8084623480,1608-C,5,Fully Ambulatory
Haven ARCH,Raquel Abuan,Type I Expanded Adult Residential Care Home,4475 Lua'ole Street,Honolulu,Oahu,8084882048,1275-C,4,Ambulatory
Hawaii Kai ARCH,Belarmina Rol,Type I Expanded Adult Residential Care Home,308 Kuliouou Road,Honolulu,Oahu,8083964195,1482-C,5,Ambulatory
Hawaii Loa Care Services LLC,Susan Halvorsen,Type I Expanded Adult Residential Care Home,272 Panio Street,Honolulu,Oahu,8087413240,1609-C,5,Fully Ambulatory
Heart To Heart Care Home,Tracy Lockhart,Type I  Adult Residential Care Home,94-384 Ana Lane,Waipahu,Oahu,8086360904,1544-C,5,Ambulatory
Helen Y. Agbayani,Helen Agbayani,Type I Expanded Adult Residential Care Home,1328 Kamehameha IV Road,Honolulu,Oahu,8088438203,1345-C,5,Ambulatory
Hermelina Apuya,Hermelina Apuya,Type I Expanded Adult Residential Care Home,92-761 Paakai Street,Kapolei,Oahu,8086820642,1153-C,5,Ambulatory
Hernani T. Valenzuela Aguilar ARCH/EC-ARCH,Hernani Valenzuela Aguilar,Type I Expanded Adult Residential Care Home,98-864 Kaamilo Street,Aiea,Oahu,8084869243,1530-C,4,Ambulatory
"Hokulaki Senior Living, L.L.C.",Myriam Tabaniag,Type II Expanded Adult Residential Care Home,45-217A William Henry Road,Kaneohe,Oahu,8082358388,1471-C,8,Ambulatory
Holy Family ARCH I,Virginia Guillermo,Type I Expanded Adult Residential Care Home,47-410 Ahuimanu Road,Kaneohe,Oahu,8082397993,472-C,5,Ambulatory
Holy Family II,Virginia Guillermo,Type II Expanded Adult Residential Care Home,47-410 Ahuimanu Road,Kaneohe,Oahu,8082397993,538-C,40,Ambulatory
Home Away From Home,Ema Arelliano,Type I  Adult Residential Care Home,1321A Palolo Avenue,Honolulu,Oahu,8087390640,1278-C,5,Fully Ambulatory
Home Away From Home II Corporation,Ema Arelliano,Type I  Adult Residential Care Home,1321 A Palolo Avenue,Honolulu,Oahu,8083123937,1549-C,5,Ambulatory
Honesty,Zenaida Valdez,Type I  Adult Residential Care Home,775 Analio Street,Wailuku,Maui,8089860008,1236-C,5,Ambulatory
Hoomaluhia ARCH,Josephine Lesa,Type I Expanded Adult Residential Care Home,45-672 Luluku Road,Kaneohe,Oahu,,1629-C,5,
Ho'onani Care Home,Karyn Clay,Type I  Adult Residential Care Home,65-1267B Lindsey Road,Kamuela,Big Island,8088966417,1538-C,5,Ambulatory
House of Aloha,"Sister Lorlene Panaligan, O.P.",Type I  Adult Residential Care Home,86-569 Paheehee Road,Waianae,Oahu,8086963021,1512-C,5,Ambulatory
"Huapala Senior Care A, LLC",Paul Dold,Type II Expanded Adult Residential Care Home,2649 A Huapala Street,Honolulu,Oahu,8089887505,1526-C,8,Ambulatory
"Huapala Senior Care B, LLC",Paul Dold,Type II Expanded Adult Residential Care Home,2649 B Huapala Street,Honolulu,Oahu,8089887394,1527-C,8,Ambulatory
"Huapala Senior Care C, LLC",Paul Dold,Type II Expanded Adult Residential Care Home,2649 C Huapala Street,Honolulu,Oahu,8089887505,1534-C,8,Ambulatory
"Huapala Senior Care D, LLC",Paul Dold,Type II Expanded Adult Residential Care Home,2649 D Huapala Street,Honolulu,Oahu,8089887505,1536-C,8,Ambulatory
"Ilar, Emelyn",Emelyn Ilar,Type I Expanded Adult Residential Care Home,1712 Keone Street,Hilo,Big Island,8089591247,1123-C,5,Ambulatory
Imelda  G. Arreola,Imelda Arreola,Type I Expanded Adult Residential Care Home,87-164 Kaukamana Street,Waianae,Oahu,8083580746,1224-C,5,Ambulatory
Indel's,Indelicia Brillante,Type I Expanded Adult Residential Care Home,58-109 Kaunala Street,Haleiwa,Oahu,8087229159,1016-C,4,Ambulatory
"Inocencio, Patricia",Patricia Inocencio,Type I  Adult Residential Care Home,1423 Mailani Street,Hilo,Big Island,8089594530,1043-C,5,Ambulatory
Irene Della Adult Residential Care Home,Irene Della,Type I  Adult Residential Care Home,189 Maika Street,Wailuku,Maui,8082984703,1518-C,4,Ambulatory
Irenea B. Alipio,Irenea Alipio,Type I  Adult Residential Care Home,733 Iluna Place,Kahului,Maui,8088729770,1318-C,3,Ambulatory
Island Care Home LLC,Hestia Yi Lee,Type I Expanded Adult Residential Care Home,151 Chong Street,Hilo,,8083158078,1632-C,5,
Island Living II ARCH/EARCH,Narcisa Jatico,Type I Expanded Adult Residential Care Home,92-1238 Umena Street,Kapolei,Oahu,8086727952,1446-C,5,Ambulatory
Island Ohana Care,Ninan Barnes,Type I  Adult Residential Care Home,3846 Noeau Street,Honolulu,Oahu,8087375102,1600-C,5,Ambulatory
Island Promise ARCH,Anita Felipe,Type I  Expanded Adult Residential Care Home,4330 Laakea Street,Honolulu,Oahu,8084280990,1615-C,5,Ambulatory
Island Promise ARCH II,Anita Felipe,Type I Expanded Adult Residential Care Home,1177 Kukila Street,Honolulu,Oahu,,1627-C,5,
J & A,Susan Bondoc,Type I Expanded Adult Residential Care Home,45-349 Kenela Street,Kaneohe,Oahu,8082341580,1357-C,5,Ambulatory
J & J,Flora Cadiz,Type I Expanded Adult Residential Care Home,94-276 Pupukoae Street,Waipahu,Oahu,8086767027,1112-C,5,Ambulatory
J. Quinabo ARCH #1,"J. Quinabo Care Home, LLC",Type I Expanded Adult Residential Care Home,1553 Kaweloka Street,Pearl City,Oahu,8084564190,1391-C,5,Ambulatory
J.B.M. ARCH,Janette Mendoza,Type I Expanded Adult Residential Care Home,94-1282 Hiapaiole Place,Waipahu,Oahu,8086770474,1448-C,5,Fully Ambulatory
J.C.,Catalina Garcia,Type I Expanded Adult Residential Care Home,203 Awa Place,Kihei,Maui,8088794827,1074-C,5,Ambulatory
Jai Adult Residential Care Home,Jennifer Ibana,Type I Expanded Adult Residential Care Home,1719 Perry Street,Honolulu,Oahu,8087620524,1561-C,5,Fully Ambulatory
Jaja ARCH,Agnes Tabangcura,Type I  Adult Residential Care Home,1459 Kaleilani Street,Pearl City,Oahu,8086641988,1305-C,5,Ambulatory
"Jamandre, Evangeline G.",Evangeline Jamandre,Type I Expanded Adult Residential Care Home,2030 Uhu Street,Honolulu,Oahu,8088426597,1331-C,5,Ambulatory
Jerez Care Home,Leonora Jerez,Type I  Adult Residential Care Home,24 Puukani Street,Kahului,Maui,8088717881,1271-C,5,Ambulatory
Jesusa Quinabo ARCH #II,Jesusa Quinabo,Type I Expanded Adult Residential Care Home,1805 Hookupa Street,Pearl City,Oahu,8084569375,1113-C,5,Ambulatory
JML,Merlyne Lim,Type I Expanded Adult Residential Care Home,92-560 Pilipono Street,Kapolei,Oahu,8086723406,1281-C,4,Ambulatory
Josephine Cabal,Josephine Cabal,Type I Expanded Adult Residential Care Home,2322 Awapuhi Street,Hilo,Big Island,8089810058,1317-C,5,Ambulatory
Josie's Ohana,Josefina Rodrigues,Type I Expanded Adult Residential Care Home,1388 Haloa Drive,Honolulu,Oahu,8084224323,1225-C,5,Ambulatory
Joy S. Alconcel,Jocelyn Alconcel,Type I Expanded Adult Residential Care Home,339-A Elelupe Road,Honolulu,Oahu,8083962283,1144-C,5,Ambulatory
JRR ARCH,Jean Ramiro,Type I Expanded Adult Residential Care Home,94-564 Anaaina Place,Waipahu,Oahu,8086770245,1259-C,5,Ambulatory
Juanita's,Juanita Fajardo,Type I Expanded Adult Residential Care Home,1902 Palamoi Street,Pearl City,Oahu,8084551175,537-C,5,Ambulatory
Judy's,Judita Dagdag,Type I  Adult Residential Care Home,934 Anohea Way,Wailuku,Maui,8082448194,683-C,4,Ambulatory
"Julian, Clarita",Clarita Julian,Type I  Adult Residential Care Home,2364 Haumana Place,Honolulu,Oahu,8088416783,762-C,4,Ambulatory
"Justo, Charing",Charing Justo,Type I  Adult Residential Care Home,28-2865 Kukuikea Place,Pepeekeo,Big Island,8089645445,1006-C,4,Ambulatory
Ka Malama Home II,Helen Elizalde,Type I Expanded Adult Residential Care Home,45-332 Ka Hanahou Circle,Kaneohe,Oahu,8082345555,1378-C,5,Ambulatory
Kaamilo Hale LLC,Carol Fardal,Type II Expanded Adult Residential Care Home,944 Maiha Circle,Pearl City,Oahu,8087448136,1472-C,8,Ambulatory
Kahuanani Hale,Kanani Stone,Type I  Adult Residential Care Home,94-284 Kahuanani Place,Waipahu,Oahu,8087443420,1587-C,5,Ambulatory
Kailua Ohana,Edna Lomboy,Type I Expanded Adult Residential Care Home,1346 Akamai Street,Kailua,Oahu,8082308131,1300-C,5,Ambulatory
Kaimuki Home LLC,"Mingsang Lin, M.D.",Type I  Adult Residential Care Home,1021 17th Avenue,Honolulu,Oahu,8087377415,1568-C,5,Ambulatory
"Kaimuki Senior Care, L.L.C. (918)",Paul Dold,Type II Expanded Adult Residential Care Home,918 12th Avenue,Honolulu,Oahu,8084400560,1349-C,8,Ambulatory
"Kaimuki Senior Care, L.L.C. (930)",Paul Dold,Type II Expanded Adult Residential Care Home,930 12th Avenue,Honolulu,Oahu,8084400560,1358-C,8,Ambulatory
Kalaupapa Care Home,"Glenn M. Wasserman, M.D., M.P.H.",Type I Expanded Adult Residential Care Home,814 Damien Road,Kalaupapa,Molokai,8085676938,1478-C,5,Ambulatory
Karen R. Yamashita,Karen Yamashita,Type I  Adult Residential Care Home,99-701 Kealaluina Drive,Aiea,Oahu,8084287388,1612-C,5,Ambulatory
"Khrist  Emmanuel Care Home, LLC",Anita Peralta,Type I Expanded Adult Residential Care Home,94-1178 Hina Street,Waipahu,Oahu,8086718607,1137-C,4,Ambulatory
"Kina 'Ole Estate Ekolu, LLC",Elizabeth Slavens,Type II Expanded Adult Residential Care Home,45-225 William Henry Road,Kaneohe,Oahu,8082364451,1495-C,8,Ambulatory
"Kina 'Ole Estate Elima, LLC",Elizabeth Slavens,Type II Expanded Adult Residential Care Home,1368 Kuloaa Place,Kailua,Oahu,8082334455,1379-C,8,Ambulatory
"Kina 'Ole Estate Elua, LLC",Elizabeth Slavens,Type II Expanded Adult Residential Care Home,45-225 William Henry Road,Kaneohe,Oahu,8082334455,1430-C,8,Ambulatory
"Kina 'Ole Estate, LLC",Elizabeth Slavens,Type II Expanded Adult Residential Care Home,45-225 William Henry Road,Kaneohe,Oahu,8082334455,1327-C,8,Ambulatory
Knight's Victoria House,MaeAnn Arciaga,Type I Expanded Adult Residential Care Home,268 Panio Street,Honolulu,Oahu,8083737437,1555-C,5,Ambulatory
Kokua Gardens,Lyndon Odrunia,Type I Expanded Adult Residential Care Home,340-B Kawainui Street,Kailua,Oahu,8082635624,1350-C,5,Ambulatory
Korean Care Home,Sam Sil Yun Cannon,Type II Adult Residential Care Home,525 Kiapu Place,Honolulu,Oahu,8085333157,105-C,31,Ambulatory
Kuakini Home,William Oshima,Type II Adult Residential Care Home,347 N. Kuakini Street,Honolulu,Oahu,8085479208,106-C,34,Ambulatory
"Lanihale, Inc.",Lani Moore,Type I  Adult Residential Care Home,187 Nenue Street,Honolulu,Oahu,8083894194,1566-C,5,Ambulatory
Laniolu Hale LLC,Anthony Defiesta,Type I  Adult Residential Care Home,1261 Lunalilo Home Road,Honolulu,Oahu,8083940770,1410-C,5,Ambulatory
Laulima Hale,Darrell Aguinaldo,Type I  Adult Residential Care Home,1010C Wanaka Street,Honolulu,Oahu,8083044876,1581-C,5,Ambulatory
Lavigne-Namoca Care Home,Ann Lavigne-Namoca,Type I  Adult Residential Care Home,98-609 Kaamilo Street,Aiea,Oahu,8084850133,1277-C,5,Ambulatory
"Leano, Glenda",Glenda Leano,Type I  Adult Residential Care Home,94-945 Kuhaulua Street,Waipahu,Oahu,8086770262,331-C,5,Ambulatory
Leila's Care Home LLC,Josephine Cabalo,Type I Expanded Adult Residential Care Home,1467 Haloa Drive,Honolulu,Oahu,8084220686,1565-C,5,Ambulatory
Leticia's Care Home,Tessie Fernando,Type I  Adult Residential Care Home,1375 Ala Hoku Place,Honolulu,Oahu,8083671364,490-C,5,Fully Ambulatory
Lettie's,Leticia Tesoro,Type I  Adult Residential Care Home,739-D N. Judd Street,Honolulu,Oahu,8085372622,333-C,5,Ambulatory
Lilibeth Badua E-ARCH,Lilibeth Badua,Type I Expanded Adult Residential Care Home,4318 Laakea Street,Honolulu,Oahu,8087440648,1594-C,5,Ambulatory
Lita Soria,Angelita Soria,Type I Expanded Adult Residential Care Home,94-346 Hene Street,Waipahu,Oahu,8086772174,1160-C,5,Ambulatory
Living Manoa Gardens,Todd Pang,Type II Expanded Adult Residential Care Home,2385 Beckwith Street,Honolulu,Oahu,8087798871,1531-C,8,Ambulatory
Lolita Suga,Lolita Suga,Type I Expanded Adult Residential Care Home,94-414 Hianakiu Street,Waipahu,Oahu,8087292113,460-C,1,Ambulatory
"Lorenzo Care Home, LLC",Catherine Lorenzo,Type I Expanded Adult Residential Care Home,98-1591 Hoomaike Street,Pearl City,Oahu,8084568878,1347-C,5,Ambulatory
Loretta G. Domingo,Loretta Domingo,Type I Expanded Adult Residential Care Home,1419 Ala Leleu Street,Honolulu,Oahu,8088393091,1435-C,3,Ambulatory
Lory's,Lorenza Parel,Type I Expanded Adult Residential Care Home,94-1492 Waipahu Street,Waipahu,Oahu,8082301903,1406-C,5,Ambulatory
Lota Bumanglag,Lota Bumanglag,Type I  Adult Residential Care Home,94-366 Kahuanani Street,Waipahu,Oahu,8086781967,1220-C,5,Ambulatory
Loumaile Cottage,Maile Drake,Type I Expanded Adult Residential Care Home,1118 Kaili Street,Honolulu,Oahu,8086994899,1539-C,3,Ambulatory
Lunalilo Home,"Diane Paloma, Ph.D., CEO",Type II Expanded Adult Residential Care Home,501 Kekauluohi Street,Honolulu,Oahu,8083951000,1295-C,42,Ambulatory
Lusitana,Carolyn De Guzman,Type I Expanded Adult Residential Care Home,1925 Lusitana Street,Honolulu,Oahu,8085458641,1409-C,5,Ambulatory
Lydia Quemado,Lydia Quemado,Type I  Adult Residential Care Home,94-1292 Huakai Street,Waipahu,Oahu,8085174799,573-C,3,Ambulatory
Macrina Castillo,Marina Castillo,Type I Expanded Adult Residential Care Home,1789 Piikea Street,Honolulu,Oahu,8084225376,516-C,5,Ambulatory
Maestro Care Home,Amalia Maestro,Type I  Adult Residential Care Home,613 Hoohale Street,Pearl City,Oahu,8087414065,1537-C,4,Ambulatory
"Magaoay, Shirley",Shirley Magaoay,Type I  Adult Residential Care Home,1529 Leilani Street,Honolulu,Oahu,8088411448,919-C,5,Ambulatory
"Magsanide's Care Home, L.L.C.",Editha Magsanide,Type I Expanded Adult Residential Care Home,1439 Middle Street,Honolulu,Oahu,8088421676,1459-C,5,Ambulatory
Makiki Valley Care Home,Gregory Honbo,Type I  Adult Residential Care Home,2041 Keeaumoku Street,Honolulu,Oahu,8083842300,1574-C,5,Ambulatory
Malamaimua Care Home LLC,Franklin Valiente,Type I Expanded Adult Residential Care Home,47-508 Haanopu Way,Kaneohe,Oahu,8082843064,1614-C,5,Fully Ambulatory
Manayan's ARCH-EC-LLC,Florence Manayan,Type I Expanded Adult Residential Care Home,1319 Gulick Avenue,Honolulu,Oahu,8088487730,1286-C,5,Ambulatory
Manoa Cottage,Sandra Shim,Type II Expanded Adult Residential Care Home,2035 Kamehameha Avenue,Honolulu,Oahu,8089438767,1279-C,8,Fully Ambulatory
Manoa Cottage Too,Sandra Shim,Type II Expanded Adult Residential Care Home,2035 Kamehameha Avenue,Honolulu,Oahu,8089438767,1356-C,8,Ambulatory
Manoa Cottage Tree,Sandra Shim,Type II Expanded Adult Residential Care Home,2035 Kamehameha Avenue,Honolulu,Oahu,8089438767,1433-C,8,Ambulatory
"Manoa Elder Care, L.L.C.",Paul Dold,Type II Expanded Adult Residential Care Home,2870 Oahu Avenue,Honolulu,Oahu,8084400560,1299-C,8,Ambulatory
Manoa Senior Care A,Paul Dold,Type II Expanded Adult Residential Care Home,2250 Oahu Avenue,Honolulu,Oahu,8084400560,1253-C,8,Ambulatory
Manoa Senior Care B,Paul Dold,Type II Expanded Adult Residential Care Home,2240 Oahu Avenue,Honolulu,Oahu,8084400560,1262-C,8,Ambulatory
"Manoa Senior Care, L.L.C.",Paul Dold,Type II Expanded Adult Residential Care Home,2872 Oahu Avenue,Honolulu,Oahu,8084400560,1292-C,8,Ambulatory
Manoa Senior Living,Laura Jackson,Type I  Adult Residential Care Home,3147 Kahiwa Place,Honolulu,Oahu,8082005665,1582-C,2,Fully Ambulatory
Margee's Care Home LLC,Marjorie  Racpan,Type I  Adult Residential Care Home,1547 Haloa Drive,Honolulu,Oahu,8085976280,1596-C,3,Fully Ambulatory
Maria Norma Jacinto ARCH-EC,Maria Jacinto,Type I Expanded Adult Residential Care Home,94-332 Kipou Place,Waipahu,Oahu,8086807851,1263-C,5,Ambulatory
"Mariano, Gloria",Gloria Mariano,Type I  Adult Residential Care Home,1614 Merkle Sttreet,Honolulu,Oahu,8088458436,1000-C,5,Ambulatory
"Marie Malunao, LLC",Marie Malunao,Type I  Adult Residential Care Home,"98-801 Ahikoe Street, Suite B",Kapolei,Oahu,8084899612,1599-C,4,Ambulatory
Marie Viduya,Rose Marie Viduya,Type I  Adult Residential Care Home,94-1177 Halelehua Street,Waipahu,Oahu,8086717662,650-C,5,Ambulatory
Marina Manuel Care Home,Marina Manuel,Type I Expanded Adult Residential Care Home,94-1035 Lumikula Street,Waipahu,Oahu,8086718817,561-C,5,Ambulatory
"Marquez, Luz",Luz Marquez,Type I Expanded Adult Residential Care Home,94-908 Kumuao Street,Waipahu,Oahu,8086770932,467-C,5,Ambulatory
"Marrhey Care Home, LLC","Marrhey Care Home, LLC",Type I Expanded Adult Residential Care Home,94-211 Loaa Street,Waipahu,Oahu,8086710069,1091-C,3,Ambulatory
Martha's,Maata Taumalolo,Type I  Adult Residential Care Home,516 Ihe Street,Honolulu,Oahu,8085216181,1359-C,4,Fully Ambulatory
Martin Obaldo,Martin Obaldo,Type I  Adult Residential Care Home,94-572 Apii Place,Waipahu,Oahu,8086765384,1168-C,3,Ambulatory
Mary Ann's,Mary Ann Ford,Type I Expanded Adult Residential Care Home,745 Puu Kala Street,Pearl City,Oahu,8084563138,1249-C,5,Ambulatory
Mary ARCH,Marites Failma,Type I Expanded Adult Residential Care Home,94-231 Moena Place,,,,1630-C,3,
"Mary's Peaceful Haven, LLC",Marivic Palting,Type I  Adult Residential Care Home,2777 Kalihi Street,Honolulu,Oahu,8088471070,1604-C,5,Fully Ambulatory
"Medy's ARCH I, Inc.",Mediatrix De Lara,Type I Expanded Adult Residential Care Home,1447 Ala Leleu Street,Honolulu,Oahu,8088330919,701-C,5,Ambulatory
Medy's ARCH II,Mediatrix De Lara,Type I Expanded Adult Residential Care Home,1447 Ala Pili Loop,Honolulu,Oahu,8088330919,1502-C,5,Ambulatory
Mely Mueller,Mely Ballocanag,Type I  Adult Residential Care Home,94-949 Lumiloke Street,Waipahu,Oahu,8086779089,1140-C,4,Ambulatory
Michelle Cacayorin Adult Residential Care Home,Michelle Cacayorin,Type I Expanded Adult Residential Care Home,94-109 Palai Place,Waipahu,Oahu,8087442529,1584-C,4,Ambulatory
Mildred's,Mildred Bumanglag,Type I Expanded Adult Residential Care Home,94-1273 Peke Place,Waipahu,Oahu,8086713752,1290-C,5,Ambulatory
Mililani Care Home LLC,Sonia Galvez,Type I Expanded Adult Residential Care Home,95-117 Waikalani Drive,Mililani,Oahu,8082921603,1558-C,5,Ambulatory
MIVA ARCH,Imelda Arreola,Type I Expanded Adult Residential Care Home,87-158 Kaukamana Street,Waianae,Oahu,8083580746,1339-C,5,Ambulatory
MJB,Michelle Barranco,Type I Expanded Adult Residential Care Home,4221 Likini Street,Honolulu,Oahu,8085172114,1427-C,5,Ambulatory
Mona Liza,Presentacion Valentin,Type I  Adult Residential Care Home,94-455 Kahualena Street,Waipahu,Oahu,8086770524,535-C,4,Ambulatory
Monegas Care Home And Expanded ARCH,Brenda Monegas,Type I Expanded Adult Residential Care Home,94-913 Kuhaulua Street,Waipahu,Oahu,8086800636,1055-C,5,Ambulatory
Morning Glory Care Home,Debbie Osorio,Type I  Adult Residential Care Home,91-1531 Keonekapu Street,Ewa Beach,Oahu,8086854926,1617-C,4,Fully Ambulatory
Mother & Daughter,Raynilda Guting,Type I  Adult Residential Care Home,94-369 Apowale Street,Waipahu,Oahu,8086768893,1211-C,5,Ambulatory
MSI ARCH/EXPANDED ARCH,Marcelo Ibera,Type I Expanded Adult Residential Care Home,99-603 Alia Place,Aiea,Oahu,8084872893,1445-C,5,Ambulatory
My Kind Heart,Imelda Hyde,Type I  Adult Residential Care Home,98-034 Kuleana Place,Pearl City,Oahu,8084921446,1610-C,5,Ambulatory
Myles Care Home,Victoria Paranada,Type I  Adult Residential Care Home,719 S. Kei Place,Kahului,Maui,8088777494,1051-C,4,Ambulatory
"Navarro, Rebecca",Rebecca Navarro,Type I Expanded Adult Residential Care Home,94-1354 Hiaai Place,Waipahu,Oahu,8086710294,695-C,5,Ambulatory
"Nebreja, Raymunda",Raymunda Nebreja,Type I  Adult Residential Care Home,94-023 Poailani Circle,Waipahu,Oahu,8086712291,542-C,4,Ambulatory
Negrillo ARCH & EARCH LLC,Shirley Negrillo,Type I  Adult Residential Care Home,4719 Opukea Street,Lihue,Kauai,8082411340,1485-C,5,Ambulatory
Nenita's,Nenita Andrada-Jose,Type I Expanded Adult Residential Care Home,5193 Likini Street,Honolulu,Oahu,8088336762,1157-C,5,Ambulatory
Nita's,Anita Domingo,Type I  Adult Residential Care Home,98-029 Lii-Ipo Street,Aiea,Oahu,8084882088,638-C,5,Ambulatory
Nita's Quality Home Care Services,Cionita Salvador,Type I  Adult Residential Care Home,1533 Ala Iolani Place,Honolulu,Oahu,8088360489,330-C,4,Fully Ambulatory
Noemi's ARCH,Noemi Laguit,Type I Expanded Adult Residential Care Home,94-919 Kumuao Street,Waipahu,Oahu,8086777875,1192-C,5,Ambulatory
Nonales',Lilia Nonales,Type I Expanded Adult Residential Care Home,1035 Kukila Street,Honolulu,Oahu,8084211106,1181-C,4,Ambulatory
"Obrero, Esperanza",Esperanza Obrero,Type I  Adult Residential Care Home,1609 Maliu Street,Honolulu,Oahu,8088412142,708-C,5,Ambulatory
Ohana,Carmen Dona,Type I Expanded Adult Residential Care Home,2011 Kaumualii Street,Honolulu,Oahu,8088423003,1212-C,5,Ambulatory
"Ohana Hale, L.L.C.",Jerry Felicitas,Type I Expanded Adult Residential Care Home,94-1063 Halelehua Street,Waipahu,Oahu,8086779718,1364-C,5,Ambulatory
Ohanalani L.L.C.,Nora Soriano-Trias,Type I Expanded Adult Residential Care Home,5339 Oio Drive,Honolulu,Oahu,8083775456,1470-C,5,Ambulatory
"Oililua Elder Care, Inc., #III",Norma Tenorio,Type I Expanded Adult Residential Care Home,711 Oneawa Street,Kailua,Oahu,8082637778,1489-C,5,Ambulatory
Oililua Eldercare Inc.,Geronimo Tenorio,Type I Expanded Adult Residential Care Home,429 Ulupaina Street Unit B1,Kailua,Oahu,8082637778,1556-C,5,Ambulatory
"Oililua Eldercare, Inc #I",Geronimo Tenorio,Type I Expanded Adult Residential Care Home,94-379 Oililua Place,Waipahu,Oahu,8086770882,1294-C,5,Ambulatory
"Oililua Senior Care, Inc., #II",Norma Tenorio,Type I Expanded Adult Residential Care Home,711 Oneawa Street,Kailua,Oahu,8082637778,1370-C,5,Ambulatory
Okano Care Home,Stacey Okano,Type I Expanded Adult Residential Care Home,16-1397 35th Avenue,Keaau,Big Island,8089827828,1525-C,5,Ambulatory
"Olalani Senior Care, LLC",Myriam Tabaniag,Type II Expanded Adult Residential Care Home,45-217 William Henry Road,Kaneohe,Oahu,8082358388,1567-C,8,Ambulatory
"Olipares, Celestina",Celestina Olipares,Type I  Adult Residential Care Home,45-693 Keneke Street,Kaneohe,Oahu,8082356993,729-C,4,Ambulatory
"Olivas, Rosalinda",Rosalinda Olivas,Type I Expanded Adult Residential Care Home,3410 Aliamanu Street,Honolulu,Oahu,8084231002,1169-C,5,Ambulatory
Olivia Lewin's EARCH,Olivia Lewin,Type I Expanded Adult Residential Care Home,92-1336 Pueonani Street,Kapolei,Oahu,,1625-C,,
"Padre, Norma",Norma Padre,Type I  Adult Residential Care Home,94-607 Mahoe Street,Waipahu,Oahu,8086777174,745-C,5,Fully Ambulatory
"Padron, Martina",Martina Padron,Type I  Adult Residential Care Home,67-361 Farrington Highway,Waialua,Oahu,8086379918,415-C,4,Ambulatory
"Paguirigan, Marietta B.",Marietta Paguirigan,Type I Expanded Adult Residential Care Home,4007 Keaka Drive,Honolulu,Oahu,8084210171,1311-C,5,Ambulatory
Palolo Chinese Home Lani Booth,Darlene Nakayama,Type II Expanded Adult Residential Care Home,2459 10th Avenue,Honolulu,Oahu,8087351754,1563-C,17,Ambulatory
Palolo Korean Care Home,Sam Fujii,Type I Expanded Adult Residential Care Home,2565 Waiomao Road,Honolulu,Oahu,8082846259,1622-C,5,Ambulatory
Paradise ARCH,Marlyn Acuram,Type I Expanded Adult Residential Care Home,86-112 Hoaha Street,Waianae,Oahu,8086962430,1340-C,5,Ambulatory
Paranada #2,Leandro Paranada,Type I Expanded Adult Residential Care Home,16 Hoolaulea Street,Hilo,Big Island,8089597394,1245-C,5,Ambulatory
"Parubrub, Tina",Tina Parubrub,Type I  Adult Residential Care Home,94-1108 Hina Street,Waipahu,Oahu,8086713637,824-C,4,Ambulatory
"Pascual, Esther",Esther Pascual,Type I  Adult Residential Care Home,1802 Wahine Place,Honolulu,Oahu,8088420227,791-C,4,Ambulatory
"Pascual, Marissa G.",Marissa G. Pascual,Type I Expanded Adult Residential Care Home,45-220 Namoku Street,Kaneohe,Oahu,8082357515,1183-C,5,Ambulatory
"Pascual, Soledad",Soledad Pascual,Type I  Adult Residential Care Home,91-711 Fort Weaver Road,Ewa Beach,Oahu,8086898569,770-C,4,Fully Ambulatory
Pascual's,Trina Pascual,Type I  Adult Residential Care Home,1521 Ala Iolani Place,Honolulu,Oahu,8088342970,342-C,5,Fully Ambulatory
Pat's ARCH,Patricia Nunez,Type I Expanded Adult Residential Care Home,91-1029 Hanakahi Street,Ewa Beach,Oahu,8086896800,1363-C,5,Fully Ambulatory
Pearl's Paradise,Perlita Tabil,Type I  Adult Residential Care Home,1304 Anapa Street,Honolulu,Oahu,8084239507,1580-C,5,Ambulatory
Pohai Nani - 'Ahui Nani,Judith Matthews,Type I Expanded Adult Residential Care Home,45-090 Namoku Street,Kaneohe,Oahu,8082476211,1241-C,5,Ambulatory
Pohai Nani - 'Ahui 'Olu,Judith Matthews,Type I Expanded Adult Residential Care Home,45-090 Namoku Street,Kaneohe,Oahu,8082476211,1242-C,5,Ambulatory
