Facility ID,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip,County,Capacity,License Number,Phone Number,Email Address,Licensee,Ownership Type
UT000341,AL2,MISSION AT COMMUNITY ASSISTED LIVING,10 WEST 400 SOUTH,CENTERFIELD,UT,84622,SANPETE,16,2019-ALII-UT000341,(435) 528-2800,kathy.lloyd@missionhealthservices.org,GUNNISON VALLEY HOSPITAL SPECIAL SERVICE DISTRICT,GOVERNMENT-HOS
UT000869,AL2,MISSION AT CRESCENT SENIOR LIVING,11052 GRAPEVINE COVE,SANDY,UT,84070,SALT LAKE,116,2019-ALII-UT000869,(801) 790-2400,warren@crescentseniorliving.com,"CRESCENT SENIOR LIVING, LLC",FOR PROFIT - C
UT000888,AL2,MISSION AT MAPLE SPRINGS AL,1010 SOUTH MEDICAL DRIVE,BRIGHAM CITY,UT,84302,BOX ELDER,20,2020-ALII-UT000888,(435) 310-5800,james.hadfield@missionhealthservices.org,"MISSION AT MAPLE SPRINGS, LLC",
UT000352,AL2,MONROE CANYON ASSISTED LIVING,535 SOUTH MAIN STREET,MONROE,UT,84754,SEVIER,27,2021-ALII-UT000352,(435) 527-8870,bryan@monroecanyon.com/ parkerdavidson1@gmail.com,PK OPERATION MONROE CANYON ALF LLC,FOR PROFIT-IND
UT207326,AL2,OAK RIDGE ASSISTED LIVING OF BOUNTIFUL,905 WEST 4000 SOUTH,BOUNTIFUL,UT,84010,DAVIS,16,2021-ALII-UT207326,(801) 295-3171,oakridgealfofbountiful@gmail.com,"DALY WEST HOLDING COMPANY, LLC",FOR PROFIT - C
UT000975,AL2,ORCHARD VIEW ASSISTED LIVING & MEMORY CARE,1173 SOUTH TURF FARM ROAD,PAYSON,UT,84651,UTAH,93,2021-ALII-UT000975,(801) 851-5300,elkridgeassistedliving@yahoo.com,"OVAL, LLC",
UT000756,AL2,OUR HOUSE OF OGDEN,446 NORTH JEFFERSON AVENUE,OGDEN,UT,84404,WEBER,55,2019-ALII-UT000756,(801) 782-4444,pat@ourhouseassistedliving.com,OHO HOLDINGS LLC,FOR PROFIT - C
UT000945,AL2,OUR HOUSE OF TOOELE,251 EAST 1000 NORTH,TOOELE,UT,84074,TOOELE,84,2021-ALII-UT000945,(435) 843-5100,trevor@ourhouseassistedliving.com,"OH TOOELE HOLDINGS, LLC",
UT000830,AL2,OUR HOUSE OF TREMONTON,429 NORTH 400 WEST,TREMONTON,UT,84337,BOX ELDER,33,2020--UT000830,(435) 257-5658,myranda@ourhouseassistedliving.com,,
UT000249,AL2,PACIFICA SENIOR LIVING MILLCREEK AL II,777 EAST 3900 SOUTH,SALT LAKE CITY,UT,84107,SALT LAKE,6,2020-ALII-UT000249,(801) 288-0700,ed.millcreek@pacificaseniorliving.com,EXTENDED CARE PORTFOLIO MULTISTATE POOL TENANT LLC,FOR PROFIT - C
UT207348,AL2,PEACHTREE PLACE,4607 MIDLAND DRIVE,WEST HAVEN,UT,84401,WEBER,64,2019-ALII-9990,(801) 732-0060,jon@welcometopeachtree.com,"PEACH TREE PLACE VII, LLC",NON PROFIT-OTH
UT000907,AL2,PETERSEN FARMS ASSISTED LIVING AND MEMORY CARE,6980 SOUTH 475 EAST,SOUTH WEBER,UT,84405,WEBER,30,2021-ALII-UT000907,(801) 479-6000,jami@eldercaremanagementgroup.com,PETERSEN FARMS ASSISTED LIVING AND MEMORY CARE,
UT000748,AL2,PHEASANT RUN ALZHEIMER'S SPECIAL CARE CENTER,2664 WEST 11400 SOUTH,SOUTH JORDAN,UT,84095,SALT LAKE,66,2020-ALII-UT000748,(801) 260-0007,pheasantrun-adm@jeaseniorliving.com,"SOUTH JORDAN CARE GROUP, LLC",FOR PROFIT - C
UT000450,AL2,"PHEASANT VIEW ASSISTED LIVING, LLC",1242 EAST PHEASANT VIEW DRIVE,LAYTON,UT,84041,DAVIS,48,2021-ALII-UT000450,(801) 546-4100,teryn.pheasant@gmail.com,"PHEASANT VIEW ASSISTED LIVING, LLC",FOR PROFIT - C
UT000548,AL2,PINEVIEW ASSISTED LIVING OF EDEN,2547 NORTH VALLEY JUNCTION DRIVE,EDEN,UT,84310,WEBER,36,2021-ALII-UT000548,(801) 745-6667,pineviewassisted@gmail.com,"PINE VALLEY MANAGEMENT, LLC",FOR PROFIT - C
UT000540,AL2,PROVO ASSISTED LIVING LLC,462 SOUTH 900 EAST,PROVO,UT,84606,UTAH,58,2019-ALII-106519,(801) 375-2216,sherry.provoassistedliving@gmail.com,BENEDICA LLC,FOR PROFIT - C
UT000615,AL2,"QUAIL MEADOW ASSISTED LIVING, LLC",786 EAST 2100 NORTH,NORTH OGDEN,UT,84414,WEBER,53,2020-ALII-UT000615,(801) 782-7440,brent@eldercaremanagementgroup.com,"QUAIL MEADOW ASSISTED LIVING, LLC",FOR PROFIT - C
UT000704,AL2,RAINTREE SENIOR LIVING,2063 WEST 1900 SOUTH,SYRACUSE,UT,84075,DAVIS,28,2021-ALII-UT000704,(801) 621-8733,bryce@raintreeseniorliving.com,SYRACUSE ASSISTED LIVING PHASE 1,FOR PROFIT - C
UT207229,AL2,RIDGEVIEW GARDENS OF ST GEORGE,220 SOUTH 1200 EAST,ST GEORGE,UT,84790,WASHINGTON,50,2021-ALII-UT207229,(435) 656-2700,debbie@ridgeviewgardens.com,"MRSC UT RIDGEVIEW MASTER TENANT, LLC",FOR PROFIT - C
UT000253,AL2,RIVER MEADOWS SENIOR LIVING,137 EAST RED PINE DRIVE,ALPINE,UT,84004,UTAH,25,2020-ALII-79181,(801) 692-2100,executivedirector@rivermeadows.org,"RIVER MEADOWS SENIOR LIVING CENTER, LLC",FOR PROFIT - C
UT000779,AL2,RIVERWAY ASSISTED LIVING AND MEMORY CARE,1352 WEST 11400 SOUTH,SOUTH JORDAN,UT,84095,SALT LAKE,74,2021-ALII-UT000779,(801) 282-3711,jim@riverwayassistedliving.com,"OUR HOUSE LAND HOLDING, LLC",FOR PROFIT - C
UT000937,AL2,ROCKY MOUNTAIN CARE - GROVE CREEK ASSISTED LIVING,175 NORTH STATE STREET,LINDON,UT,84042,UTAH,70,2021-ALII-UT000937,(385) 273-7100,todd.christensen@rmcare.com,"ROCKY MOUNTAIN CARE - LINDON MANAGER, LLC",
UT000936,AL2,ROCKY MOUNTAIN CARE- LANDMARK ASSISTED LIVING,301 EAST 100 SOUTH,VERNAL,UT,84078,UINTAH,42,2021-ALII-UT000936,(801) 397-4697,contracting@rmcare.com,"ROCKY MOUNTAIN CARE - VERNAL MANAGER, LLC",
UT000724,AL2,ROSEWOOD ASSISTED CARE,464 EAST 3700 SOUTH,SOUTH SALT LAKE,UT,84115,SALT LAKE,29,2021-ALII-UT000724,(801) 290-6061,allan@rosewoodassistedcare.com,"FENTON COURT CARE CENTER ASSISTED LIVING, LLC",FOR PROFIT - C
UT000685,AL2,SAGEWOOD AT DAYBREAK,11289 SOUTH OAKMOND ROAD,SOUTH JORDAN,UT,84009,SALT LAKE,125,2021-ALII-UT000685,(801) 938-9389,wade.vest@kiscosl.com,"WELLTOWER KISCO RIDEA TENANT, LLC",FOR PROFIT - C
UT000720,AL2,SEASONS ASSISTED LIVING OF FARR WEST,1979 HERITAGE DRIVE,FARR WEST,UT,84404,WEBER,28,2020-ALII-UT000720,(801) 394-0044,hollyseasonsassistedliving@gmail.com,"SEASONS ASSISTED LIVING OF FARR WEST, LLC",FOR PROFIT - C
UT000543,AL2,SEASONS OF SANTAQUIN,785 EAST 150 SOUTH,SANTAQUIN,UT,84655,UTAH,38,2019-ALII-107091,(801) 754-1108,mikalaporter.sos@gmail.com,SEASONS OF SANTAQUIN LLC,FOR PROFIT - C
UT207342,AL2,SOUTHGATE SENIOR LIVING,134 WEST 2025 SOUTH CIRCLE,ST GEORGE,UT,84770,WASHINGTON,96,2020-ALII-UT207342,(435) 628-1117,southgate.ed@stellarliving.com,"S-H OPCO CLIFF VIEW, LLC",FOR PROFIT - C
UT000669,AL2,SPRING GARDENS HEBER,551 EAST 1200 SOUTH,HEBER CITY,UT,84032,WASATCH,100,2021-ALII-UT000669,(435) 657-8888,kjensen@springgardens.com,"HEBER OPCO, LLC",FOR PROFIT-PAR
UT000786,AL2,SPRING GARDENS HOLLADAY,2728 EAST 3900 SOUTH,HOLLADAY,UT,84124,SALT LAKE,83,2021-ALII-UT000786,(801) 432-7003,kgladstone@springgardens.com,"HOLLADAY OPCO, LLC",
UT000716,AL2,SPRING GARDENS MAPLETON,1483 WEST 800 SOUTH,MAPLETON,UT,84664,UTAH,72,2021-ALII-UT000716,(801) 515-6699,cthomas@springgardens.com,"MAPLETON OPCO, LLC",FOR PROFIT - C
UT000746,AL2,SPRING GARDENS OF LINDON,815 WEST 700 NORTH,LINDON,UT,84042,UTAH,116,2021-ALII-UT000746,(801) 785-0800,srobinson@avistaseniorliving.com,"SRE ASL LINDON, LLC",FOR PROFIT - C
UT000525,AL2,SPRING GARDENS OF ST GEORGE,2654 E RED CLIFFS DRIVE,ST GEORGE,UT,84790,WASHINGTON,126,2019-ALII-UT000525,(435) 688-1622,lendsley@avistaseniorliving.com,"SRE ASL SG, LLC",FOR PROFIT - C
UT207232,AL2,ST JOSEPH VILLA ASSISTED LIVING,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,SALT LAKE,48,2020-ALII-99456,(801) 487-7557,renewals@ensignservices.net,"SUCCESSOR HEALTHCARE, INC.",FOR PROFIT - C
UT207349,AL2,STERLING COURT,324 NORTH 1680 EAST,ST GEORGE,UT,84790,WASHINGTON,113,2019-ALII-21547,(435) 628-1400,cdraper@platinumseniorliving.com,STERLING COURT,FOR PROFIT - C
UT207350,AL2,STONEY BROOKE OF RIVERDALE,4390 SOUTH 700 WEST,RIVERDALE,UT,84405,WEBER,16,2020-ALII-UT207350,(801) 393-2824,vangemvhs@gmail.com,"MEADOW VALLEY MANAGEMENT, LLC",FOR PROFIT - C
UT207240,AL2,SUMMERFIELD RETIREMENT LIVING INC,911 NORTH 800 WEST,OREM,UT,84057,UTAH,50,2019-ALII-983,(801) 434-7581,administrator@summerfieldinfo.com,"TRIVIEW, LLC",FOR PROFIT - C
UT000744,AL2,SUMMIT SENIOR LIVING,5524 WEST 6200 SOUTH,KEARNS,UT,84118,SALT LAKE,117,2020-ALII-UT000744,(801) 840-4600,bnnawahine@watermarkcommunities.com,"KEARNS SENIOR LIVING, LLC",NON PROFIT-COR
UT000762,AL2,SUNRIDGE ASSISTED LIVING AND MEMORY CARE,7037 SOUTH 4800 WEST,WEST JORDAN,UT,84084,SALT LAKE,75,2021-ALII-UT000762,(801) 280-2244,liz@sunridgeassistedliving.com,"GLENWOOD ACRES, LLC",FOR PROFIT - C
UT000873,AL2,SUNRIDGE ASSISTED LIVING OF LAYTON,835 SOUTH ANGEL STREET,LAYTON,UT,84041,DAVIS,75,2021-ALII-UT000873,(801) 544-2200,brandon@sunridgeassistedliving.com,"SR LAYTON HOLDINGS, LLC",FOR PROFIT - C
UT000902,AL2,SUNRIDGE ASSISTED LIVING OF ROY,3673 WEST 5600 SOUTH,ROY,UT,84067,WEBER,73,2020-ALII-UT000902,(801) 731-4444,deb@sunridgeassistedliving.com,"SR ROY HOLDINGS, LLC",
UT000306,AL2,SUNRISE AT HOLLADAY,4650 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84117,SALT LAKE,101,2019-ALII-106495,(801) 424-2200,holladay.ed@sunriseseniorliving.com,"MS HOLLADAY SH, LLC",FOR PROFIT - C
UT000233,AL2,SUNRISE OF SANDY,2130 EAST 9400 SOUTH,SANDY,UT,84093,SALT LAKE,116,2019-ALII-77789,(801) 453-9600,sandy.ed@sunriseseniorliving.com,"SZR SANDY SENIOR LIVING, LLC",FOR PROFIT - C
UT207241,AL2,TERRACE GROVE ASSISTED LIVING,345 NORTH 200 WEST,LOGAN,UT,84321,CACHE,72,2020-ALII-953,(435) 787-2855,karmon.reese@sunshineterrace.com,"SUNSHINE TERRACE FOUNDATION, INC.",NON PROFIT-OTH
UT207235,AL2,THE AUBERGE AT NORTH OGDEN,1340 NORTH WASHINGTON BOULEVARD,OGDEN,UT,84404,WEBER,126,2020-ALII-UT207235,(801) 737-1230,administrator@aubergenorthogden.com,WELLTOWER TENANT GROUP LLC,
UT000187,AL2,THE CHARLESTON AT CEDAR HILLS,10020 NORTH 4600 WEST,CEDAR HILLS,UT,84062,UTAH,78,2021-ALII-UT000187,(801) 772-0123,waynebarney@mbk.com,"SSSHT OPCO 10020 N 4600 W STREET, LLC",FOR PROFIT - C
UT000924,AL2,THE GRAND AT HOLLADAY,5941 SOUTH HOLLADAY BOULEVARD,HOLLADAY,UT,84121,SALT LAKE,22,2021-ALII-UT000924,(801) 676-9688,emily@thegrandal.com,THE GRAND AT HOLLADAY,FOR PROFIT - C
UT000851,AL2,THE INN BETWEEN,1216 EAST 1300 SOUTH,SALT LAKE CITY,UT,84105,SALT LAKE,25,2019-ALII-UT000851,(801) 410-8314,monte@tibhospice.org,THE INN BETWEEN,NON PROFIT-OTH
UT207339,AL2,THE INN ON BARTON CREEK,499 EAST 500 SOUTH,BOUNTIFUL,UT,84010,DAVIS,80,2021-ALII-UT207339,(801) 298-4200,scott@bayshirellc.com / angie.a@bartoncreeksl.com,"BARTON CARE, LLC",FOR PROFIT - C
UT000300,AL2,THE LODGE AT JORDAN RIVER,1341 WEST SOUTH JORDAN PARKWAY,SOUTH JORDAN,UT,84095,SALT LAKE,26,2021-ALII-UT000300,(801) 316-1040,landonhale@seniorlife-mgmt.com,"COLINA LODGES - JORDAN RIVER, LLC",FOR PROFIT - C
UT000901,AL2,THE LODGE AT NORTH OGDEN,204 EAST 1700 NORTH,OGDEN,UT,84404,WEBER,99,2020-ALII-UT000901,(801) 719-5121,kflint@watermarkcommunities.com,"NORTH OGDEN SENIOR LIVING, LLC",FOR PROFIT-IND
UT000696,AL2,THE LODGE AT RIVERTON,12416 SOUTH 3600 WEST,RIVERTON,UT,84065,SALT LAKE,53,2021-ALII-UT000696,(801) 727-7200,landonhale@seniorlife-mgmt.com,"COLINA LODGES-RIVERTON, LLC",FOR PROFIT - C
UT000702,AL2,THE RETREAT AT SUNBROOK ASSISTED LIVING,359 NORTH DIXIE DRIVE,ST GEORGE,UT,84770,WASHINGTON,74,2020-ALII-UT000702,(435) 272-0202,trsb.adm@meridiansenior.com,"MS - AC SUNBROOK SENIOR LIVING, LLC",FOR PROFIT - C
UT000515,AL2,THE RETREAT AT SUNRIVER ST GEORGE,4480 SOUTH ARROWHEAD CANYON DRIVE,ST GEORGE,UT,84790,WASHINGTON,60,2020-ALII-UT000515,(435) 256-8900,trsr.adm@meridiansenior.com,MS - AC SUNRIVER SENIOR LIVING LLC,FOR PROFIT - C
UT000645,AL2,THE RIDGE COTTONWOOD,5600 SOUTH HIGHLAND DRIVE,HOLLADAY,UT,84121,SALT LAKE,138,2021-ALII-UT000645,(801) 947-7400,bginn@theridgefoothill.com,"ZBES 125281, LLC",FOR PROFIT - C
UT000770,AL2,THE RIDGE FOOTHILL,2363 SOUTH FOOTHILL DRIVE,SALT LAKE CITY,UT,84109,SALT LAKE,162,2020-ALII-UT000770,(801) 466-1122,bginn@theridgefoothill.com,"2363 FOOTHILL, LLC",FOR PROFIT - C
UT000838,AL2,THE SHERIDAN AT SOUTH JORDAN,10569 RIVER HEIGHTS DRIVE,SOUTH JORDAN,UT,84095,SALT LAKE,103,2021-ALII-UT000838,(385) 274-2000,wcline@seniorlifestyle.com,"CA SENIOR SOUTH JORDAN OPERATOR, LLC",FOR PROFIT - C
UT000712,AL2,THE VILLAS AT BAER CREEK,770 SOUTH MAIN STREET,KAYSVILLE,UT,84037,DAVIS,16,2021-ALII-UT000712,(385) 888-9063,cara@thevillasatbaercreek.com,BAER CREEK MANAGEMENT,FOR PROFIT - C
UT207353,AL2,THE WELLINGTON,4522 SOUTH 1300 EAST,SALT LAKE CITY,UT,84117,SALT LAKE,140,2021-ALII-UT207353,(801) 281-3477,kevinclem@mbk.com,"SSSHT OPCO 4522 S 1300 E, LLC",FOR PROFIT - C
UT000752,AL2,THE WENTWORTH AT COVENTRY II SENIOR LIVING,6898 SOUTH 2300 EAST,SALT LAKE CITY,UT,84121,SALT LAKE,32,2020-ALII-UT000752,(801) 943-5858,executivedirector@wentworthcoventry.com,"UTNV COVENTRY AT COTTONWOOD HEIGHTS, LLC",FOR PROFIT - C
UT000134,AL2,THE WENTWORTH AT COVENTRY III SENIOR LIVING,6895 SOUTH WHITMORE WAY,SALT LAKE CITY,UT,84121,SALT LAKE,56,2020-ALII-UT000134,(801) 943-3909,executivedirector@wentworthcoventry.com,"UTNV WENTWORTH AT COTTONWOOD HEIGHTS, LLC",FOR PROFIT - C
UT207354,AL2,THE WENTWORTH AT DRAPER,11631 SOUTH 700 EAST,DRAPER,UT,84020,SALT LAKE,106,2021-ALII-UT207354,(801) 523-9393,executivedirector@wentworthatdraper.com,"UTNV DRAPER OPERATOR, LLC",FOR PROFIT - C
UT207242,AL2,THE WENTWORTH AT EAST MILLCREEK,1871 EAST 3300 SOUTH,SALT LAKE CITY,UT,84106,SALT LAKE,49,2021-ALII-UT207242,(801) 485-0123,executivedirector@wentwortheastmillcreek.com,"UTNV EAST MILLCREEK, LLC",FOR PROFIT - C
UT000562,AL2,THE WENTWORTH AT THE MEADOWS II,950 SOUTH 400 EAST,ST GEORGE,UT,84770,WASHINGTON,16,2021-ALII-UT000562,(435) 628-0090,executivedirector@meadowsstgeorge.com,"UTNV MEADOWS I, LLC",FOR PROFIT - C
UT000753,AL2,THE WENTWORTH AT THE MEADOWS III MEMORY CARE,333 EAST 1160 SOUTH,ST GEORGE,UT,84770,WASHINGTON,48,2020-ALII-UT000753,(435) 628-2262,executivedirector@meadowsstgeorge.com,"UTNV MEADOWS II, LLC",
UT207358,AL2,THE WENTWORTH AT WILLOW CREEK,8325 SOUTH HIGHLAND DRIVE,SANDY,UT,84093,SALT LAKE,61,2021-ALII-UT207358,(801) 733-6363,executivedirector@wentworthwillowcreek.com,"UTNV WILLOW CREEK, LLC",FOR PROFIT - C
UT000549,AL2,TRADITION ASSISTED LIVING,2938 SOUTH REDWOOD ROAD,WEST VALLEY CITY,UT,84119,SALT LAKE,72,2020-ALII-UT000549,(801) 978-2424,sarah@traditionassistedliving.com,OQUIRRH MEADOWS INVESTMENT LLC,FOR PROFIT - C
UT207338,AL2,"TRUEWOOD BY MERRILL, BOUNTIFUL",1150 SOUTH MAIN STREET,BOUNTIFUL,UT,84010,DAVIS,156,2021-ALII-UT207338,(801) 298-3241,gm.heritageplace@merrillgardens.com,"MG BOUNTIFUL SUBTENANT, LLC",FOR PROFIT - C
UT207357,AL2,"TRUEWOOD BY MERRILL, COTTONWOOD HEIGHTS",7235 SOUTH UNION PARK AVENUE,COTTONWOOD,UT,84047,SALT LAKE,126,2021-ALII-UT207357,(801) 568-9909,gm.canyoncreek@merrillgardens.com,MG COTTONWOOD HEIGHTS SUBTENANT LLC,
UT000219,AL2,WELCOME HOME ASSISTED LIVING,633 EAST MEDICAL DRIVE,BOUNTIFUL,UT,84010,DAVIS,34,2020-ALII-76694,(801) 298-4969,whal633@gmail.com,"WELCOME HOME, INC",FOR PROFIT - C
UT000879,AL2,WELCOME HOME ASSISTED LIVING AMERICAN FORK,1889 WEST 930 NORTH,PLEASANT GROVE,UT,84062,UTAH,50,2021-ALII-UT000879,(801) 899-2682,hollie@welcomehomeassistedlivingutah.com,BMJM INC.,
UT000906,AL2,WHISPER COVE ASSISTED LIVING AND MEMORY CARE,725 SOUTH MAIN STREET,KAYSVILLE,UT,84037,DAVIS,83,2020-ALII-UT000906,(801) 874-6464,nikkia@whispercoveassistedliving.com,WHISPER COVE ASSISTED LIVING CENTER OF KAYSVILLE L,FOR PROFIT - C
UT207299,AL1,ABBINGTON MANOR AL I,215 NORTH CENTER STREET,LEHI,UT,84043,UTAH,31,2020-ALI-104079,(801) 768-3900,rwalker@theabbington.com,"LEHI ALOP, LLC",FOR PROFIT - C
UT207204,AL1,ALTA RIDGE - HOLLADAY,1009 EAST MURRAY-HOLLADAY ROAD,MILLCREEK,UT,84117,SALT LAKE,28,2020-ALI-UT207204,(801) 268-6342,megan@altaridgeassistedliving.com,"MRSC UT HOLLADAY MASTER TENANT, LLC",FOR PROFIT - C
UT207276,AL1,APPLE TREE ASSISTED LIVING,565 NORTH 300 WEST,KAYSVILLE,UT,84037,DAVIS,74,2020-ALI-485,(801) 546-5600,john@senis.com,APPLE TREE RETIREMENT LLC,FOR PROFIT - C
UT207283,AL1,BEEHIVE HOME OF LAYTON,59 NORTH KING STREET,LAYTON,UT,84041,DAVIS,13,2021-ALI-74068,(801) 593-0338,beaglesk@hotmail.com nicolekeyes71@gmail.com,KEB SERVICES INC.,FOR PROFIT - C
UT207281,AL1,"BEEHIVE HOMES OF AMERICAN FORK SOUTH, BUILDING ONE",164 WEST 200 SOUTH,AMERICAN FORK,UT,84003,UTAH,16,2021-ALI-104825,(801) 855-0597,carrie.brown@welbrook.com,"TIMPANOGOS TERRACE ASSISTED LIVING, LLC",FOR PROFIT - C
UT207184,AL1,BEEHIVE HOMES OF CEDAR CITY #1,332 SOUTH 400 EAST,CEDAR CITY,UT,84720,IRON,13,2020-ALI-UT207184,(435) 867-8641,acarlile@beehivehomes.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C
UT207185,AL1,BEEHIVE HOMES OF CEDAR CITY #2,330 SOUTH 400 EAST,CEDAR CITY,UT,84720,IRON,13,2020-ALI-UT207185,(435) 867-8641,acarlile@beehivehomes.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C
UT207282,AL1,BEEHIVE HOMES OF KANAB,1364 SOUTH POWELL DRIVE,KANAB,UT,84741,KANE,9,2020-ALI-18383,(435) 644-8100,chad@beehivehomes.com,"CARE AGE PROPERTIES, LLC",FOR PROFIT - C
UT207305,AL1,BEEHIVE HOMES OF LOGAN,352 SOUTH 500 WEST,LOGAN,UT,84321,CACHE,12,2019-ALI-UT207305,(435) 787-1484,tami@beehivehomes.com,"SUNSET SERVICES, INC.",FOR PROFIT - C
UT000122,AL1,BEEHIVE HOMES OF MAESER,940 NORTH 2335 WEST,VERNAL,UT,84078,UINTAH,16,2021-ALI-UT000122,(435) 789-6969,beehiveofvernal@gmail.com,"4 HALLS ENTERPRISES, INC.",FOR PROFIT - C
UT207186,AL1,BEEHIVE HOMES OF MAGNA,3346 SOUTH 8000 WEST,MAGNA,UT,84044,SALT LAKE,16,2020-ALI-UT207186,(801) 250-0072,vmills@beehivehomes.com,"ALAMO ONE, INC.",FOR PROFIT - C
UT207191,AL1,BEEHIVE HOMES OF RICHFIELD #1,540 NORTH 600 WEST,RICHFIELD,UT,84701,SEVIER,12,2021-ALI-UT207191,(435) 896-4536,beehiveofrichfield@gmail.com,"GOLDEN HORIZONS, LLC",FOR PROFIT - C
UT207178,AL1,BEEHIVE HOMES OF RICHFIELD #2,535 NORTH 600 WEST,RICHFIELD,UT,84701,SEVIER,10,2021-ALI-UT207178,(435) 896-1990,beehiveofrichfield@gmail.com,"GOLDEN HORIZONS, LLC",FOR PROFIT - C
UT207304,AL1,BEEHIVE HOMES OF ROY,4965 SOUTH 3500 WEST,ROY,UT,84067,WEBER,12,2021-ALI-UT207304,(385) 268-8909,lrivera@beehivehomes.com,"CARE-A-LOT HOMES, LLC",FOR PROFIT-PAR
UT000119,AL1,BEEHIVE HOMES OF SALEM,1015 SOUTH 550 WEST,SALEM,UT,84653,UTAH,10,2020-ALI-UT000119,(801) 423-2305,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C
UT207193,AL1,BEEHIVE HOMES OF ST GEORGE #1,1542 WEST 1170 NORTH,ST GEORGE,UT,84770,WASHINGTON,12,2019-ALI-UT207193,(435) 634-8321,chad@beehivehomes.com,"CAREAGE PROPERTIES, LLC",FOR PROFIT - C
UT207286,AL1,BEEHIVE HOMES OF TOOELE,464 SOUTH MAIN STREET,TOOELE,UT,84074,TOOELE,16,2021-ALI-UT207286,(435) 833-0202,branddy@beehivehomes.com bdub_III@hotmail.com,"WILLIAMS WAY, LLC",FOR PROFIT - C
UT207287,AL1,BEEHIVE HOMES OF WASHINGTON COUNTY #3,831 SOUTH 700 WEST,HURRICANE,UT,84737,WASHINGTON,14,2019-ALI-UT207287,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C
UT000192,AL1,BEEHIVE HOMES OF WASHINGTON COUNTY #5,1122 NORTH CORAL CANYON BOULEVARD,WASHINGTON,UT,84780,WASHINGTON,14,2019-ALI-UT000192,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C
UT207194,AL1,BEEHIVE HOMES OF WEST JORDAN #1,8912 SOUTH 2700 WEST,WEST JORDAN,UT,84088,SALT LAKE,11,2020-ALI-UT207194,(801) 569-2771,rebecca@ashsco.com,"KNIGHTSHAYES LAND HOLDINGS, LLC",FOR PROFIT - C
UT207195,AL1,BEEHIVE HOMES OF WEST JORDAN #2,8912 SOUTH 2700 WEST,WEST JORDAN,UT,84088,SALT LAKE,12,2020-ALI-UT207195,(801) 569-2771,rebecca@ashsco.com,"KNIGHTSHAYES LAND HOLDINGS, LLC",FOR PROFIT - C
UT207196,AL1,BEL AIRE HOMES,436 EAST 700 NORTH,OREM,UT,84097,UTAH,16,2020-ALI-975,(801) 221-5100,steve@belaire-assistedliving.com,"BEL AIRE HOMES, LLC",FOR PROFIT - C
UT000342,AL1,BEST ASSISTED LIVING OF BELL CANYON,2270 HIGH MOUNTAIN DRIVE,SANDY,UT,84092,SALT LAKE,4,2021-ALI-UT000342,(801) 495-1086,bestassistedlivingut@gmail.com / jekyo62@gmail.com,BEST ASSISTED LIVING OF BELL CANYON,
UT000191,AL1,"BEST ASSISTED LIVING, LLC",2499 EAST CHARROS ROAD,SANDY,UT,84092,SALT LAKE,4,2021-ALI-UT000191,(801) 571-4595,rinkun@yahoo.com,"BEST ASSISTED LIVING, LLC",FOR PROFIT-IND
UT207318,AL1,BRIGHTON HOUSE OF SOUTH JORDAN,10386 SOUTH 2200 WEST,SOUTH JORDAN,UT,84095,SALT LAKE,10,2020-ALI-UT207318,(801) 253-2882,ervlogan@gmail.com,"BRIGHTON HOUSE ASSISTED LIVING, LLC",FOR PROFIT - C
UT000399,AL1,BRIGHTWORK VILLA AMERICAN FORK,272 WEST 500 NORTH,AMERICAN FORK,UT,84003,UTAH,11,2020-ALI-UT000399,(801) 756-4949,admin@brightworkliving.com,"BRIGHTWORK LIVING, INC.",FOR PROFIT - C
UT000405,AL1,BRIGHTWORK VILLA PARK PLACE,565 EAST 300 SOUTH,PLEASANT GROVE,UT,84062,UTAH,10,2020-ALI-UT000405,(801) 477-1957,chris@brightworkliving.com,"BRIGHTWORK LIVING, INC.",FOR PROFIT - C
UT000353,AL1,BRIGHTWORK VILLA PLEASANT GROVE,60 EAST 1200 NORTH,PLEASANT GROVE,UT,84062,UTAH,10,2020-ALI-UT000353,(801) 425-9124,support@brightworkliving.com,"BRIGHTWORK LIVING, INC.",FOR PROFIT - C
UT207289,AL1,CANTERBURY ASSISTED LIVING,198 SOUTH 1300 EAST,SPRINGVILLE,UT,84663,UTAH,8,2020-ALI-81696,(801) 491-9866,jason.giatras@gmail.com,"SNAKE MEN, LLC",FOR PROFIT-PAR
UT000941,AL1,CORADALE RESIDENTIAL ASSISTED LIVING,5159 WEST 11000 NORTH,HIGHLAND,UT,84003,UTAH,9,2021--UT000941,(801) 623-8547,coradalehomes@gmail.com,,
