Facility Name,Address 1,Address 2,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type
Somerby at St. Vincent's One Nineteen,200 One Nineteen Blvd.,,Hoover,AL,35242,Shelby,D5913,(205) 745-4630,Assisted Living Facility,56,Congregate Assisted Living Facility,Limited Liability Company
Somerset Assisted Living Facility/East,815 John D. Odom Road,,Dothan,AL,36303,Houston,D3507,(334) 671-1176,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Somerset Assisted Living Facility/West,815 John D. Odom Road,,Dothan,AL,36303,Houston,D3504,(334) 671-9990,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Sonrise Assisted Living,1607 Hwy. 43 South,,Demopolis,AL,36732,Marengo,D4602,(334) 289-5131,Assisted Living Facility,16,Group Assisted Living Facility,Individual
Southern Estates Assisted Living Community,212 E. Stewart Road,,Scottsboro,AL,35769,Jackson,D3603,(256) 574-4202,Assisted Living Facility,32,Congregate Assisted Living Facility,Limited Liability Company
Spring Terrace Assisted Living Facility,1104 West Hickory Street,,Sylacauga,AL,35150,Talladega,D6106,(256) 245-6611,Assisted Living Facility,36,Congregate Assisted Living Facility,Limited Liability Company
St. Martins in the Pines Assisted Living Facility,4941 Montevallo Road,,Birmingham,AL,35210,Jefferson,D3701,(205) 956-1831,Assisted Living Facility,71,Congregate Assisted Living Facility,Non-Profit Corporation
Sturgis Hall/John Knox Manor III,4401 Narrow Lane Road,,Montgomery,AL,36116,Montgomery,D5107,(334) 288-6462,Assisted Living Facility,8,Group Assisted Living Facility,Corporation
Summer Village Azalea Place,1601 Professional Parkway,,Auburn,AL,36830,Lee,D4108,(334) 501-0904,Assisted Living Facility,56,Congregate Assisted Living Facility,Limited Liability Company
"Summit,The",140 McRae Street,,Atmore,AL,36502,Escambia,D2706,(251) 368-0270,Assisted Living Facility,28,Congregate Assisted Living Facility,Limited Liability Company
Sumter Assisted Living Facility,1505 East 4th Avenue,,York,AL,36925,Sumter,D6001,(205) 343-7335,Assisted Living Facility,12,Group Assisted Living Facility,Limited Liability Company
Sunrise Manor II,1609 Sunrise Road,,Jasper,AL,35504,Walker,D6411,(205) 387-7400,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Taylor Mill Oaks,2805 Taylor Mill Road,,Elba,AL,36323,Coffee,D1603,(334) 313-5505,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
"Terrace at Grove Park, The",101 Tulip Lane,,Dothan,AL,36305,Houston,D3515,(334) 792-7349,Assisted Living Facility,52,Congregate Assisted Living Facility,Limited Liability Company
"Terrace at Priceville, The",200 Terrace Lane,,Decatur,AL,35603,Morgan,D5209,(256) 260-0400,Assisted Living Facility,38,Congregate Assisted Living Facility,Corporation
Terrace Lake Assisted Living,100 Terrace Lake Drive,,Guntersville,AL,35976,Marshall,D4802,(256) 582-1700,Assisted Living Facility,26,Congregate Assisted Living Facility,Limited Liability Company
The Huntingdon,108 Homestead Village,,Fairhope,AL,36532,Baldwin,D0206,(251) 929-0270,Assisted Living Facility,50,Congregate Assisted Living Facility,Limited Liability Company
The Landings of Northport -ALF,951 Rose Drive,,Northport,AL,35476,Tuscaloosa,D6313,(205) 330-1700,Assisted Living Facility,83,Congregate Assisted Living Facility,Limited Liability Company
The Renaissance Assisted Living,3275 County Road 47,,Florence,AL,35630,Lauderdale,D3909,(256) 740-6999,Assisted Living Facility,83,Congregate Assisted Living Facility,Limited Liability Company
Thrive at Jones Farm,2238 Cecil Ashburn Dr. SE,,Huntsville,AL,35802,Madison,D4548,(256) 429-3008,Assisted Living Facility,75,Congregate Assisted Living Facility,Limited Liability Company
Traditions of Athens,22171 Traditions Way,,Athens,AL,35613,Limestone,D4210,(256) 444-3255,Assisted Living Facility,80,Congregate Assisted Living Facility,Limited Liability Company
Tranquility Harbor of Mobile,12250 Hifields Road,,Grand Bay,AL,36541,Mobile,D4962,(251) 868-2273,Assisted Living Facility,24,Group Assisted Living Facility,Limited Liability Company
"Truewood by Merrill, Riverchase ALF",1851 Data Drive,,Hoover,AL,35244,Jefferson,D3771,(205) 982-7000,Assisted Living Facility,101,Congregate Assisted Living Facility,Limited Liability Company
Twin Magnolias Assisted Living,3084 U.S. 431 South,,Abbeville,AL,36310,Henry,D3403,(334) 585-1072,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Valley Park Manor,10 Medical Park Drive North,,Valley,AL,36854,Chambers,D0908,(334) 756-2600,Assisted Living Facility,56,Congregate Assisted Living Facility,Limited Liability Company
"Veranda Suites, The",165 Landing Lane,P. O. Box 335,Dadeville,AL,36853,Tallapoosa,D6206,(256) 825-4685,Assisted Living Facility,30,Congregate Assisted Living Facility,Limited Liability Company
Village at Cook Springs Assisted Living Facility,415 Cook Springs Road,,Pell City,AL,35125,St. Clair,D5802,(205) 338-2221,Assisted Living Facility,81,Congregate Assisted Living Facility,Limited Liability Company
Wesley Gardens Retirement Community,1555 Taylor Road,,Montgomery,AL,36117,Montgomery,D5104,(334) 272-7917,Assisted Living Facility,56,Congregate Assisted Living Facility,Non-Profit Corporation
Wesley Place on Honeysuckle - Assisted Living,718 Honeysuckle Road,,Dothan,AL,36305,Houston,D3501,(334) 792-0921,Assisted Living Facility,66,Congregate Assisted Living Facility,Non-Profit Corporation
"Westbrook Assisted Living, LLC","100 West Lake Professional Park, Suite 6",,Geneva,AL,36340,Geneva,D3103,(334) 684-1072,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Westminster Assisted Living of Cullman,1020 Olive St.,,Cullman,AL,35055,Cullman,D2215,(256) 255-0361,Assisted Living Facility,24,Congregate Assisted Living Facility,Limited Liability Company
Westminster Assisted Living of Decatur,2106 Modaus Road SW,,Decatur,AL,35603,Morgan,D5211,(256) 309-5300,Assisted Living Facility,24,Congregate Assisted Living Facility,Limited Liability Company
Whitehall Assisted Living Community,2094 John D. Odom Road,,Dothan,AL,36303,Houston,D3517,(334) 699-4255,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Whitehall West Assisted Living,2094 John D. Odom Road,,Dothan,AL,36303,Houston,D3518,(334) 699-4277,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Williamsburg Manor II,1208 Yancey Street,P. O. Box 467,Roanoke,AL,36274,Randolph,D5605,(334) 863-3500,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
"Willows Assisted Living, The",2712 Washington Street,,Alexander City,AL,35010,Tallapoosa,D6202,(256) 234-0800,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Wills Creek Village,1050 Airport Road West,,Fort Payne,AL,35968,Dekalb,D2507,(256) 845-3002,Assisted Living Facility,40,Congregate Assisted Living Facility,Corporation
Woodlands at Tannehill,8071 Kimbrell Cut Off Road,,McCalla,AL,35111,Tuscaloosa,D6314,(205) 776-4663,Assisted Living Facility,52,Congregate Assisted Living Facility,Limited Liability Company
"Woodmoore, The",1709 North Main Street,,Opp,AL,36467,Covington,D2004,(334) 493-2721,Assisted Living Facility,16,Group Assisted Living Facility,Individual
Wynnwood Oaks I,201 Wynn Road,,Enterprise,AL,36330,Coffee,D1601,(334) 313-5505,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Wynnwood Oaks II,203 Wynn Road,,Enterprise,AL,36330,Coffee,D1604,(334) 313-5505,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
