Facility Name,Address Line 1,Address Line 2,City,State,ZIP,County,Fac ID,Medicare #,Medicaid #,Administrator Name,Phone,Facility Type,Licensed Beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,Licensee Type,License Status,Deemed Status
"Meadows of Monroeville, The",600 Highway 21 Bypass,,Monroeville,AL,36460,Monroe,D5001,,,Skylar Frye,(251) 575-9855,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Meadows, The",202 Medical Park Drive,,Atmore,AL,36502,Escambia,D2703,,,Morgan Smith,(251) 446-9317,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Merrill Gardens at Madison,121 Brookridge Drive,,Madison,AL,35758,Madison,D4538,,,Lori Moore,(256) 850-0058,Assisted Living Facility,160,,,Congregate Assisted Living Facility,160,,0,,0,,0,,0,Limited Liability Company,Regular,
Monarch Place,105 Michelle Street NW,,Hanceville,AL,35077,Cullman,D2209,,,Tina Miller Rider,(256) 352-3141,Assisted Living Facility,55,,,Congregate Assisted Living Facility,55,,0,,0,,0,,0,Limited Liability Company,Regular,
Morning Glory Meadows,2055 Main Street,,Fyffe,AL,35971,Dekalb,D2506,,,Donna Stewart,(256) 623-2626,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Morningside of Auburn,871 Twin Forks Avenue,,Auburn,AL,36830,Lee,D4106,,,Rebecca Ballas,(334) 887-1061,Assisted Living Facility,49,,,Congregate Assisted Living Facility,49,,0,,0,,0,,0,Partnership,Regular,
Morningside of Cullman,"2021 Dahlke Drive, N. E.",,Cullman,AL,35058-0607,Cullman,D2210,,,Deidra Cleghorn,(256) 737-1088,Assisted Living Facility,45,,,Congregate Assisted Living Facility,45,,0,,0,,0,,0,Limited Liability Company,Regular,
Morningside of Decatur,"2115 Point Mallard Drive, SE",,Decatur,AL,35601,Morgan,D5207,,,Sammi Brooks,(256) 350-0089,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Partnership,Regular,
Morningside of Madison,49 Hughes Road,,Madison,AL,35758,Madison,D4521,,,Mcihelle Ergle,(256) 464-9090,Assisted Living Facility,46,,,Congregate Assisted Living Facility,46,,0,,0,,0,,0,Limited Liability Company,Regular,
Morningside of Riverchase,2184 Parkway Lake Dr.,,Birmingham,AL,35244,Shelby,D5917,,,Danielle Moore,(205) 403-7400,Assisted Living Facility,38,,,Congregate Assisted Living Facility,38,,0,,0,,0,,0,Limited Liability Company,Regular,
Morningside of Sheffield,413 Cox Blvd.,,Sheffield,AL,35660,Colbert,D1703,,,Laura Fithian,(256) 381-1058,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
Morningside of Vestavia Hills,2435 Columbiana Road,,Birmingham,AL,35216,Jefferson,D3728,,,David Wilbanks,(205) 822-4773,Assisted Living Facility,77,,,Congregate Assisted Living Facility,77,,0,,0,,0,,0,Corporation,Regular,
Morningview Estates,"404 25th Street, Northwest",,Fayette,AL,35555,Fayette,D2902,,,Tammy Lynn(Jones) Walker,(205) 932-4003,Assisted Living Facility,38,,,Congregate Assisted Living Facility,38,,0,,0,,0,,0,Limited Liability Company,Regular,
Mountain Cove,6330 U. S. Highway 411,,Gadsden,AL,35901,Etowah,D2809,,,Kimberly Arledge,(256) 543-9991,Assisted Living Facility,34,,,Congregate Assisted Living Facility,34,,0,,0,,0,,0,Limited Liability Company,Regular,
Murray House,1257 Government Street,,Mobile,AL,36604,Mobile,D4938,,,Sharon Phillips,(251) 432-2272,Assisted Living Facility,64,,,Congregate Assisted Living Facility,64,,0,,0,,0,,0,Non-Profit Corporation,Regular,
"Noble Manor, LLC",610 Botts Avenue,,Troy,AL,36081-3802,Pike,D5506,,,Dale Law,(334) 566-8543,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Noble Manor, LLC II",610 Botts Avenue,,Troy,AL,36081-3802,Pike,D5507,,,Dale Law,(334) 808-8778,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
North River Village,"5810 Rice Mine Road, NE",,Tuscaloosa,AL,35406,Tuscaloosa,D6312,,,Brooke O`Briant,(205) 759-9875,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
"Oak Circle Assisted Living, LLC","605 Fifteenth Street, North",,Pell City,AL,35125,St. Clair,D5804,,,Andrea St John,(205) 884-4663,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Oak Grove Inn,3801 Oak Grove Drive,,Montgomery,AL,36116,Montgomery,D5132,,,Julie Benson,(334) 215-8881,Assisted Living Facility,52,,,Congregate Assisted Living Facility,52,,0,,0,,0,,0,Limited Liability Company,Regular,
Oak Landing,616 Gaines Street,,Attalla,AL,35954,Etowah,D2807,,,Melissa Tinsley,(256) 393-1965,Assisted Living Facility,22,,,Congregate Assisted Living Facility,22,,0,,0,,0,,0,Corporation,Regular,
OakBridge Terrace Assisted Living Residence at Magnolia Trace,One Crown Circle,,Huntsville,AL,35802,Madison,D4532,,,Keisha Payton,(256) 261-1600,Assisted Living Facility,30,,,Congregate Assisted Living Facility,30,,0,,0,,0,,0,Corporation,Regular,
Oakbridge Terrace Assisted Living Residence at Westminster Village,500 Spanish Fort Boulevard,,Spanish Fort,AL,36527,Baldwin,D0201,,,Scott Lindsey,(251) 626-7007,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Oaks on Parkwood Assisted Living Facility,2651 Laurel Oak Drive,P.O. Box 360227,Bessemer,AL,35022,Jefferson,D3773,,,Gwendolyn Smith,(205) 497-4570,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
Old Town Home,203 West Cahaba Avenue,,Linden,AL,36748,Marengo,D4601,,,Alison Glass,(334) 295-5120,Assisted Living Facility,12,,,Group Assisted Living Facility,12,,0,,0,,0,,0,Healthcare Authority,Regular,
Paden Ridge Assisted Living,255 Murray Drive,,Gadsden,AL,35902,Etowah,D2805,,,Amy Lamberty,(256) 543-0076,Assisted Living Facility,16,,,Group Assisted Living Facility,16,Family Assisted Living Facility,0,,0,,0,,0,Corporation,Regular,
Peachtree Senior Living,3740 Eagle Drive,,Trussville,AL,35173,Jefferson,D3772,,,Judith A. Jones,(205) 790-1469,Assisted Living Facility,32,,,Congregate Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
"Pearl of the Shoals ALF, The",2904 S Wilson Dam Rd,,Muscle Shoals,AL,35661,Colbert,D1705,,,Tonya Belew,(256) 386-7177,Assisted Living Facility,40,,,Congregate Assisted Living Facility,40,,0,,0,,0,,0,Limited Liability Company,Probational,
Pine Needle Place,600 Glendale Avenue,,Greenville,AL,36037,Butler,D0702,,,Cecil Rainey,(334) 382-3757,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Pine Place,150 Hickory Lane,,Arley,AL,35541,Winston,D6701,,,Marla Tyree,(205) 387-8100,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
Pine Valley Retirement Community,800 Rice Valley Road North,,Tuscaloosa,AL,35406,Tuscaloosa,D6309,,,Anne McKinney,(205) 349-8700,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Providence Home,171 Grimes Road,,Ozark,AL,36360,Dale,D2301,,,Caryl Welch,(334) 774-0364,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Regal Place at Regency Pointe,510 East Grande Ave,,Rainbow City,AL,35906,Etowah,D2808,,,Julia Weidenbach,(256) 442-1856,Assisted Living Facility,46,,,Congregate Assisted Living Facility,46,,0,,0,,0,,0,Limited Liability Company,Regular,
Regency Assisted Living,2004 Max Luther Drive,,Huntsville,AL,35810,Madison,D4501,,,Carisa Proctor,(256) 852-0033,Assisted Living Facility,72,,,Congregate Assisted Living Facility,72,,0,,0,,0,,0,Corporation,Regular,
Regency Retirement Village,285 West Oxmoor Road,,Birmingham,AL,35209,Jefferson,D3777,,,Charles Goff,(205) 957-3355,Assisted Living Facility,48,,,Congregate Assisted Living Facility,48,,0,,0,,0,,0,Limited Liability Company,Regular,
Regency Retirement Village of Tuscaloosa,5001 Old Montgomery Highway,,Tuscaloosa,AL,35405,Tuscaloosa,D6305,,,Sonja Edwards,(205) 752-5500,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
River Oaks Assisted Living,903 West Union Street,,Eufaula,AL,36027,Barbour,D0302,,,Julie Fortune,(334) 687-6089,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Rosewood Manor Assisted Living,1513 County Park Road,,Scottsboro,AL,35769,Jackson,D3602,,,Janet Gable,(256) 574-4800,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Savannah Terrace of Andalusia I,660 Moore Road,,Andalusia,AL,36420,Covington,D2002,,,Lynn A. McCrory,(334) 222-2133,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Savannah Terrace of Andalusia II,660 Moore Road,,Andalusia,AL,36420,Covington,D2003,,,Lynn A. McCrory,(334) 222-0494,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Seagrass Village of Gulf Shores,21298 Cotton Creek Drive,,Gulf Shores,AL,32789,Baldwin,D0227,,,Paige Davison,(251) 200-5700,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Limited Liability Company,Regular,
"Seasons of Talladega #2, The",130 Seasons Way,,Talladega,AL,35160,Talladega,D6107,,,Malinda Hoffman,(256) 362-1072,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Serenity Place I,741 Houston Loop Rd. W,P.O. Box 680129,Fort Payne,AL,35968,Dekalb,D2510,,,Lisa Manus,(256) 979-1239,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Somerby at St. Vincent's One Nineteen,200 One Nineteen Blvd.,,Hoover,AL,35242,Shelby,D5913,,,Lee Anne Montgomery,(205) 745-4630,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
Somerset Assisted Living Facility/East,815 John D. Odom Road,,Dothan,AL,36303,Houston,D3507,,,Kimberly Falkner,(334) 671-1176,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Somerset Assisted Living Facility/West,815 John D. Odom Road,,Dothan,AL,36303,Houston,D3504,,,Kimberly Falkner,(334) 671-9990,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Sonrise Assisted Living,1607 Hwy. 43 South,,Demopolis,AL,36732,Marengo,D4602,,,Annette Dixon,(334) 289-5131,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
Southern Estates Assisted Living Community,212 E. Stewart Road,,Scottsboro,AL,35769,Jackson,D3603,,,Bishop Dawson,(256) 574-4202,Assisted Living Facility,32,,,Congregate Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
Spring Terrace Assisted Living Facility,1104 West Hickory Street,,Sylacauga,AL,35150,Talladega,D6106,,,Valerie Scoggins,(256) 245-6611,Assisted Living Facility,36,,,Congregate Assisted Living Facility,36,,0,,0,,0,,0,Limited Liability Company,Regular,
St. Martins in the Pines Assisted Living Facility,4941 Montevallo Road,,Birmingham,AL,35210,Jefferson,D3701,,,Judith Jones,(205) 956-1831,Assisted Living Facility,71,,,Congregate Assisted Living Facility,71,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Sturgis Hall/John Knox Manor III,4401 Narrow Lane Road,,Montgomery,AL,36116,Montgomery,D5107,,,Joyce Robinson,(334) 288-6462,Assisted Living Facility,8,,,Group Assisted Living Facility,8,,0,,0,,0,,0,Corporation,Regular,
Summer Village Azalea Place,1601 Professional Parkway,,Auburn,AL,36830,Lee,D4108,,,Karen Ingram,(334) 501-0904,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
"Summit,The",140 McRae Street,,Atmore,AL,36502,Escambia,D2706,,,Jeanie Lambeth,(251) 368-0270,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Limited Liability Company,Regular,
Sumter Assisted Living Facility,1505 East 4th Avenue,,York,AL,36925,Sumter,D6001,,,Jacqueline Holiday,(205) 343-7335,Assisted Living Facility,12,,,Group Assisted Living Facility,12,,0,,0,,0,,0,Limited Liability Company,Regular,
Sunrise Manor II,1609 Sunrise Road,,Jasper,AL,35504,Walker,D6411,,,Eunice Renee Moore,(205) 387-7400,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Taylor Mill Oaks,2805 Taylor Mill Road,,Elba,AL,36323,Coffee,D1603,,,Katrina H. Calhoun,(334) 313-5505,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
"Terrace at Grove Park, The",101 Tulip Lane,,Dothan,AL,36305,Houston,D3515,,,Sheila Bryan,(334) 792-7349,Assisted Living Facility,52,,,Congregate Assisted Living Facility,52,,0,,0,,0,,0,Limited Liability Company,Regular,
"Terrace at Priceville, The",200 Terrace Lane,,Decatur,AL,35603,Morgan,D5209,,,Katina Eades,(256) 260-0400,Assisted Living Facility,38,,,Congregate Assisted Living Facility,38,,0,,0,,0,,0,Corporation,Regular,
Terrace Lake Assisted Living,100 Terrace Lake Drive,,Guntersville,AL,35976,Marshall,D4802,,,Michele Watson,(256) 582-1700,Assisted Living Facility,26,,,Congregate Assisted Living Facility,26,,0,,0,,0,,0,Limited Liability Company,Regular,
The Huntingdon,108 Homestead Village,,Fairhope,AL,36532,Baldwin,D0206,,,Wendi Bass-Bergeron,(251) 929-0270,Assisted Living Facility,50,,,Congregate Assisted Living Facility,50,,0,,0,,0,,0,Limited Liability Company,Regular,
The Landings of Northport -ALF,951 Rose Drive,,Northport,AL,35476,Tuscaloosa,D6313,,,Melissa McGlothlin,(205) 330-1700,Assisted Living Facility,83,,,Congregate Assisted Living Facility,83,,0,,0,,0,,0,Limited Liability Company,Regular,
The Renaissance Assisted Living,3275 County Road 47,,Florence,AL,35630,Lauderdale,D3909,,,Laura Fithian,(256) 740-6999,Assisted Living Facility,83,,,Congregate Assisted Living Facility,83,,0,,0,,0,,0,Limited Liability Company,Regular,
Thrive at Jones Farm,2238 Cecil Ashburn Dr. SE,,Huntsville,AL,35802,Madison,D4548,,,Kelli Long,(256) 429-3008,Assisted Living Facility,75,,,Congregate Assisted Living Facility,75,,0,,0,,0,,0,Limited Liability Company,Regular,
Traditions of Athens,22171 Traditions Way,,Athens,AL,35613,Limestone,D4210,,,April Cowperthwait,(256) 444-3255,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
Tranquility Harbor of Mobile,12250 Hifields Road,,Grand Bay,AL,36541,Mobile,D4962,,,Ladawn Moore,(251) 868-2273,Assisted Living Facility,24,,,Group Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
"Truewood by Merrill, Riverchase ALF",1851 Data Drive,,Hoover,AL,35244,Jefferson,D3771,,,Charles Chip Cook,(205) 982-7000,Assisted Living Facility,101,,,Congregate Assisted Living Facility,101,,0,,0,,0,,0,Limited Liability Company,Regular,
Twin Magnolias Assisted Living,3084 U.S. 431 South,,Abbeville,AL,36310,Henry,D3403,,,Darden Kirby,(334) 585-1072,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Valley Park Manor,10 Medical Park Drive North,,Valley,AL,36854,Chambers,D0908,,,Amber Griggs,(334) 756-2600,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
"Veranda Suites, The",165 Landing Lane,P. O. Box 335,Dadeville,AL,36853,Tallapoosa,D6206,,,Jan L. Henry,(256) 825-4685,Assisted Living Facility,30,,,Congregate Assisted Living Facility,30,,0,,0,,0,,0,Limited Liability Company,Regular,
Village at Cook Springs Assisted Living Facility,415 Cook Springs Road,,Pell City,AL,35125,St. Clair,D5802,,,Wilma Yopp,(205) 338-2221,Assisted Living Facility,81,,,Congregate Assisted Living Facility,81,,0,,0,,0,,0,Limited Liability Company,Regular,
Wesley Gardens Retirement Community,1555 Taylor Road,,Montgomery,AL,36117,Montgomery,D5104,,,Randy Allen,(334) 272-7917,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Wesley Place on Honeysuckle - Assisted Living,718 Honeysuckle Road,,Dothan,AL,36305,Houston,D3501,,,Vivian Readus,(334) 792-0921,Assisted Living Facility,66,,,Congregate Assisted Living Facility,66,,0,,0,,0,,0,Non-Profit Corporation,Regular,
"Westbrook Assisted Living, LLC","100 West Lake Professional Park, Suite 6",,Geneva,AL,36340,Geneva,D3103,,,Regina Harrison,(334) 684-1072,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Westminster Assisted Living of Cullman,1020 Olive St.,,Cullman,AL,35055,Cullman,D2215,,,Wanda Raines,(256) 255-0361,Assisted Living Facility,24,,,Congregate Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Westminster Assisted Living of Decatur,2106 Modaus Road SW,,Decatur,AL,35603,Morgan,D5211,,,Jennifer Cannon,(256) 309-5300,Assisted Living Facility,24,,,Congregate Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Whitehall Assisted Living Community,2094 John D. Odom Road,,Dothan,AL,36303,Houston,D3517,,,Kimberly Keller,(334) 699-4255,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Whitehall West Assisted Living,2094 John D. Odom Road,,Dothan,AL,36303,Houston,D3518,,,Kimberly Keller,(334) 699-4277,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Williamsburg Manor II,1208 Yancey Street,P. O. Box 467,Roanoke,AL,36274,Randolph,D5605,,,Terri Smith,(334) 863-3500,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
"Willows Assisted Living, The",2712 Washington Street,,Alexander City,AL,35010,Tallapoosa,D6202,,,Cecily Sloan,(256) 234-0800,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Wills Creek Village,1050 Airport Road West,,Fort Payne,AL,35968,Dekalb,D2507,,,Tasha Hilyer,(256) 845-3002,Assisted Living Facility,40,,,Congregate Assisted Living Facility,40,,0,,0,,0,,0,Corporation,Regular,
Woodlands at Tannehill,8071 Kimbrell Cut Off Road,,McCalla,AL,35111,Tuscaloosa,D6314,,,Sharon Sanders,(205) 776-4663,Assisted Living Facility,52,,,Congregate Assisted Living Facility,52,,0,,0,,0,,0,Limited Liability Company,Regular,
"Woodmoore, The",1709 North Main Street,,Opp,AL,36467,Covington,D2004,,,Becky Bracke,(334) 493-2721,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
Wynnwood Oaks I,201 Wynn Road,,Enterprise,AL,36330,Coffee,D1601,,,Katrina H. Calhoun,(334) 313-5505,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Wynnwood Oaks II,203 Wynn Road,,Enterprise,AL,36330,Coffee,D1604,,,Katrina H. Calhoun,(334) 313-5505,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
