Facility Name,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type,Date Accessed,Address
Monarch Place,Hanceville,AL,35077,Cullman,D2209,(256) 352-3141,ASSISTED LIVING FACILITY,55,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,105 MICHELLE STREET NW
Morning Glory Meadows,Fyffe,AL,35971,Dekalb,D2506,(256) 623-2626,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2055 MAIN STREET
Morningside Of Auburn,Auburn,AL,36830,Lee,D4106,(334) 887-1061,ASSISTED LIVING FACILITY,49,CONGREGATE ASSISTED LIVING FACILITY,PARTNERSHIP,6/24/21,871 TWIN FORKS AVENUE
Morningside Of Cullman,Cullman,AL,35058-0607,Cullman,D2210,(256) 737-1088,ASSISTED LIVING FACILITY,45,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"2021 DAHLKE DRIVE, N. E."
Morningside Of Decatur,Decatur,AL,35601,Morgan,D5207,(256) 350-0089,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,PARTNERSHIP,6/24/21,"2115 POINT MALLARD DRIVE, SE"
Morningside Of Madison,Madison,AL,35758,Madison,D4521,(256) 464-9090,ASSISTED LIVING FACILITY,46,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,49 HUGHES ROAD
Morningside Of Riverchase,Birmingham,AL,35244,Shelby,D5917,(205) 403-7400,ASSISTED LIVING FACILITY,38,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2184 PARKWAY LAKE DR.
Morningside Of Sheffield,Sheffield,AL,35660,Colbert,D1703,(256) 381-1058,ASSISTED LIVING FACILITY,56,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,413 COX BLVD.
Morningside Of Vestavia Hills,Birmingham,AL,35216,Jefferson,D3728,(205) 822-4773,ASSISTED LIVING FACILITY,77,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2435 COLUMBIANA ROAD
Morningview Estates,Fayette,AL,35555,Fayette,D2902,(205) 932-4003,ASSISTED LIVING FACILITY,38,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"404 25TH STREET, NORTHWEST"
Mountain Cove,Gadsden,AL,35901,Etowah,D2809,(256) 543-9991,ASSISTED LIVING FACILITY,34,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,6330 U. S. HIGHWAY 411
Murray House,Mobile,AL,36604,Mobile,D4938,(251) 432-2272,ASSISTED LIVING FACILITY,64,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,1257 GOVERNMENT STREET
"Noble Manor, Llc",Troy,AL,36081-3802,Pike,D5506,(334) 566-8543,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,610 BOTTS AVENUE
"Noble Manor, Llc Ii",Troy,AL,36081-3802,Pike,D5507,(334) 808-8778,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,610 BOTTS AVENUE
North River Village,Tuscaloosa,AL,35406,Tuscaloosa,D6312,(205) 759-9875,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"5810 RICE MINE ROAD, NE"
"Oak Circle Assisted Living, Llc",Pell City,AL,35125,St. Clair,D5804,(205) 884-4663,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"605 FIFTEENTH STREET, NORTH"
Oak Grove Inn,Montgomery,AL,36116,Montgomery,D5132,(334) 215-8881,ASSISTED LIVING FACILITY,52,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3801 OAK GROVE DRIVE
Oak Landing,Attalla,AL,35954,Etowah,D2807,(256) 393-1965,ASSISTED LIVING FACILITY,22,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,616 GAINES STREET
Oakbridge Terrace Assisted Living Residence At Magnolia Trace,Huntsville,AL,35802,Madison,D4532,(256) 261-1600,ASSISTED LIVING FACILITY,30,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,ONE CROWN CIRCLE
Oakbridge Terrace Assisted Living Residence At Westminster Village,Spanish Fort,AL,36527,Baldwin,D0201,(251) 626-7007,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,500 SPANISH FORT BOULEVARD
Oaks On Parkwood Assisted Living Facility,Bessemer,AL,35022,Jefferson,D3773,(205) 497-4570,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"2651 LAUREL OAK DRIVE, P.O. BOX 360227"
Old Town Home,Linden,AL,36748,Marengo,D4601,(334) 295-5120,ASSISTED LIVING FACILITY,12,GROUP ASSISTED LIVING FACILITY,HEALTHCARE AUTHORITY,6/24/21,203 WEST CAHABA AVENUE
Paden Ridge Assisted Living,Gadsden,AL,35902,Etowah,D2805,(256) 543-0076,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,255 MURRAY DRIVE
Peachtree Senior Living,Trussville,AL,35173,Jefferson,D3772,(205) 790-1469,ASSISTED LIVING FACILITY,32,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3740 EAGLE DRIVE
"Pearl Of The Shoals Alf, The",Muscle Shoals,AL,35661,Colbert,D1705,(256) 386-7177,ASSISTED LIVING FACILITY,40,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2904 S WILSON DAM RD
Pine Needle Place,Greenville,AL,36037,Butler,D0702,(334) 382-3757,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,600 GLENDALE AVENUE
Pine Place,Arley,AL,35541,Winston,D6701,(205) 387-8100,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,INDIVIDUAL,6/24/21,150 HICKORY LANE
Pine Valley Retirement Community,Tuscaloosa,AL,35406,Tuscaloosa,D6309,(205) 349-8700,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,800 RICE VALLEY ROAD NORTH
Providence Home,Ozark,AL,36360,Dale,D2301,(334) 774-0364,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,171 GRIMES ROAD
Regal Place At Regency Pointe,Rainbow City,AL,35906,Etowah,D2808,(256) 442-1856,ASSISTED LIVING FACILITY,46,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,510 EAST GRANDE AVE
Regency Assisted Living,Huntsville,AL,35810,Madison,D4501,(256) 852-0033,ASSISTED LIVING FACILITY,72,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2004 MAX LUTHER DRIVE
Regency Retirement Village,Birmingham,AL,35209,Jefferson,D3777,(205) 957-3355,ASSISTED LIVING FACILITY,48,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,285 WEST OXMOOR ROAD
Regency Retirement Village Of Tuscaloosa,Tuscaloosa,AL,35405,Tuscaloosa,D6305,(205) 752-5500,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,5001 OLD MONTGOMERY HIGHWAY
River Oaks Assisted Living,Eufaula,AL,36027,Barbour,D0302,(334) 687-6089,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,903 WEST UNION STREET
Rosewood Manor Assisted Living,Scottsboro,AL,35769,Jackson,D3602,(256) 574-4800,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1513 COUNTY PARK ROAD
Savannah Terrace Of Andalusia I,Andalusia,AL,36420,Covington,D2002,(334) 222-2133,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,660 MOORE ROAD
Savannah Terrace Of Andalusia Ii,Andalusia,AL,36420,Covington,D2003,(334) 222-0494,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,660 MOORE ROAD
Seagrass Village Of Gulf Shores,Gulf Shores,AL,32789,Baldwin,D0227,(251) 200-5700,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,21298 COTTON CREEK DRIVE
"Seasons Of Talladega #2, The",Talladega,AL,35160,Talladega,D6107,(256) 362-1072,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,130 SEASONS WAY
Serenity Place I,Fort Payne,AL,35968,Dekalb,D2510,(256) 979-1239,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,"741 HOUSTON LOOP RD. W, P.O. BOX 680129"
Somerby At St. Vincent'S One Nineteen,Hoover,AL,35242,Shelby,D5913,(205) 745-4630,ASSISTED LIVING FACILITY,56,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,200 ONE NINETEEN BLVD.
Somerset Assisted Living Facility/East,Dothan,AL,36303,Houston,D3507,(334) 671-1176,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,815 JOHN D. ODOM ROAD
Somerset Assisted Living Facility/West,Dothan,AL,36303,Houston,D3504,(334) 671-9990,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,815 JOHN D. ODOM ROAD
Sonrise Assisted Living,Demopolis,AL,36732,Marengo,D4602,(334) 289-5131,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,INDIVIDUAL,6/24/21,1607 HWY. 43 SOUTH
Southern Estates Assisted Living Community,Scottsboro,AL,35769,Jackson,D3603,(256) 574-4202,ASSISTED LIVING FACILITY,32,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,212 E. STEWART ROAD
Spring Terrace Assisted Living Facility,Sylacauga,AL,35150,Talladega,D6106,(256) 245-6611,ASSISTED LIVING FACILITY,36,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1104 WEST HICKORY STREET
St. Martins In The Pines Assisted Living Facility,Birmingham,AL,35210,Jefferson,D3701,(205) 956-1831,ASSISTED LIVING FACILITY,71,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,4941 MONTEVALLO ROAD
Sturgis Hall/John Knox Manor Iii,Montgomery,AL,36116,Montgomery,D5107,(334) 288-6462,ASSISTED LIVING FACILITY,8,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,4401 NARROW LANE ROAD
Summer Village Azalea Place,Auburn,AL,36830,Lee,D4108,(334) 501-0904,ASSISTED LIVING FACILITY,56,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1601 PROFESSIONAL PARKWAY
"Summit,The",Atmore,AL,36502,Escambia,D2706,(251) 368-0270,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,140 MCRAE STREET
Sumter Assisted Living Facility,York,AL,36925,Sumter,D6001,(205) 343-7335,ASSISTED LIVING FACILITY,12,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1505 EAST 4TH AVENUE
Sunrise Manor Ii,Jasper,AL,35504,Walker,D6411,(205) 387-7400,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,1609 SUNRISE ROAD
Taylor Mill Oaks,Elba,AL,36323,Coffee,D1603,(334) 313-5505,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2805 TAYLOR MILL ROAD
"Terrace At Grove Park, The",Dothan,AL,36305,Houston,D3515,(334) 792-7349,ASSISTED LIVING FACILITY,52,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,101 TULIP LANE
"Terrace At Priceville, The",Decatur,AL,35603,Morgan,D5209,(256) 260-0400,ASSISTED LIVING FACILITY,38,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,200 TERRACE LANE
Terrace Lake Assisted Living,Guntersville,AL,35976,Marshall,D4802,(256) 582-1700,ASSISTED LIVING FACILITY,26,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,100 TERRACE LAKE DRIVE
The Huntingdon,Fairhope,AL,36532,Baldwin,D0206,(251) 929-0270,ASSISTED LIVING FACILITY,50,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,108 HOMESTEAD VILLAGE
The Landings Of Northport -Alf,Northport,AL,35476,Tuscaloosa,D6313,(205) 330-1700,ASSISTED LIVING FACILITY,83,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,951 ROSE DRIVE
The Renaissance Assisted Living,Florence,AL,35630,Lauderdale,D3909,(256) 740-6999,ASSISTED LIVING FACILITY,83,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3275 COUNTY ROAD 47
Thrive At Jones Farm,Huntsville,AL,35802,Madison,D4548,(256) 429-3008,ASSISTED LIVING FACILITY,75,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2238 CECIL ASHBURN DR. SE
Traditions Of Athens,Athens,AL,35613,Limestone,D4210,(256) 444-3255,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,22171 TRADITIONS WAY
Tranquility Harbor Of Mobile,Grand Bay,AL,36541,Mobile,D4962,(251) 868-2273,ASSISTED LIVING FACILITY,24,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,12250 HIFIELDS ROAD
"Truewood By Merrill, Riverchase Alf",Hoover,AL,35244,Jefferson,D3771,(205) 982-7000,ASSISTED LIVING FACILITY,101,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1851 DATA DRIVE
Twin Magnolias Assisted Living,Abbeville,AL,36310,Henry,D3403,(334) 585-1072,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,3084 U.S. 431 SOUTH
Valley Park Manor,Valley,AL,36854,Chambers,D0908,(334) 756-2600,ASSISTED LIVING FACILITY,56,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,10 MEDICAL PARK DRIVE NORTH
"Veranda Suites, The",Dadeville,AL,36853,Tallapoosa,D6206,(256) 825-4685,ASSISTED LIVING FACILITY,30,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"165 LANDING LANE, P. O. BOX 335"
Village At Cook Springs Assisted Living Facility,Pell City,AL,35125,St. Clair,D5802,(205) 338-2221,ASSISTED LIVING FACILITY,81,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,415 COOK SPRINGS ROAD
Wesley Gardens Retirement Community,Montgomery,AL,36117,Montgomery,D5104,(334) 272-7917,ASSISTED LIVING FACILITY,56,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,1555 TAYLOR ROAD
Wesley Place On Honeysuckle - Assisted Living,Dothan,AL,36305,Houston,D3501,(334) 792-0921,ASSISTED LIVING FACILITY,66,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,718 HONEYSUCKLE ROAD
"Westbrook Assisted Living, Llc",Geneva,AL,36340,Geneva,D3103,(334) 684-1072,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"100 WEST LAKE PROFESSIONAL PARK, SUITE 6"
Westminster Assisted Living Of Cullman,Cullman,AL,35055,Cullman,D2215,(256) 255-0361,ASSISTED LIVING FACILITY,24,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1020 OLIVE ST.
Westminster Assisted Living Of Decatur,Decatur,AL,35603,Morgan,D5211,(256) 309-5300,ASSISTED LIVING FACILITY,24,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2106 MODAUS ROAD SW
Whitehall Assisted Living Community,Dothan,AL,36303,Houston,D3517,(334) 699-4255,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2094 JOHN D. ODOM ROAD
Whitehall West Assisted Living,Dothan,AL,36303,Houston,D3518,(334) 699-4277,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2094 JOHN D. ODOM ROAD
Williamsburg Manor Ii,Roanoke,AL,36274,Randolph,D5605,(334) 863-3500,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,"1208 YANCEY STREET, P. O. BOX 467"
"Willows Assisted Living, The",Alexander City,AL,35010,Tallapoosa,D6202,(256) 234-0800,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2712 WASHINGTON STREET
Wills Creek Village,Fort Payne,AL,35968,Dekalb,D2507,(256) 845-3002,ASSISTED LIVING FACILITY,40,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,1050 AIRPORT ROAD WEST
Woodlands At Tannehill,Mccalla,AL,35111,Tuscaloosa,D6314,(205) 776-4663,ASSISTED LIVING FACILITY,52,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,8071 KIMBRELL CUT OFF ROAD
"Woodmoore, The",Opp,AL,36467,Covington,D2004,(334) 493-2721,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,INDIVIDUAL,6/24/21,1709 NORTH MAIN STREET
Wynnwood Oaks I,Enterprise,AL,36330,Coffee,D1601,(334) 313-5505,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,201 WYNN ROAD
Wynnwood Oaks Ii,Enterprise,AL,36330,Coffee,D1604,(334) 313-5505,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,203 WYNN ROAD
Angels For The Elderly I,Montgomery,AL,36109,Montgomery,P5115,(334) 270-8050,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,52 ANGELS COURT
Angels For The Elderly Ii,Montgomery,AL,36109,Montgomery,P5101,(334) 270-8050,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,44 ANGELS COURT
Angels For The Elderly Iii,Montgomery,AL,36109,Montgomery,P5102,(334) 270-9122,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,48 ANGELS COURT
Angels For The Elderly Iv,Montgomery,AL,36109,Montgomery,P5112,(334) 270-9122,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,40 ANGELS COURT
"Arbors Specialty Care At Somerby Of West Mobile, The",Mobile,AL,36695,Mobile,P4910,(251) 776-1455,ASSISTED LIVING FACILITY (SPECIALTY CARE),24,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,901 SOMERBY DRIVE
Ashbury Manor,Mobile,AL,36608,Mobile,P4908,(251) 340-7528,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,6562 OLD SHELL ROAD
Atria Regency Specialty Care,Mobile,AL,36609,Mobile,P4903,(251) 380-0053,ASSISTED LIVING FACILITY (SPECIALTY CARE),20,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4720 MORRISON DRIVE
Autumn Cove Memory Care,Anniston,AL,36207,Calhoun,P0801,(256) 831-7474,ASSISTED LIVING FACILITY (SPECIALTY CARE),27,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4425 GREENBRIER DEAR ROAD
"Blake Memory Care Community, The",Daphne,AL,36526,Baldwin,P0205,(251) 625-6400,ASSISTED LIVING FACILITY (SPECIALTY CARE),45,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,11626 US HIGHWAY 90
"Bluffs At Greystone Ii, The",Birmingham,AL,35242,Shelby,P5927,(205) 379-0322,ASSISTED LIVING FACILITY (SPECIALTY CARE),32,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,6328 FARLEY LANE
"Brennity At Daphne Mc , The",Daphne,AL,36526,Baldwin,P0203,(251) 626-9000,ASSISTED LIVING FACILITY (SPECIALTY CARE),64,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,27296 COUNTY ROAD 13
Brentwood Retirement Community I,Muscle Shoals,AL,35661,Colbert,P1702,(256) 381-7443,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2505 ALABAMA AVENUE
Brentwood Retirement Community Ii,Muscle Shoals,AL,35661,Colbert,P1703,(256) 381-7443,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2505 ALABAMA AVENUE
Briar Glen Alzheimer'S Special Care Center,Hoover,AL,35226,Jefferson,P3701,(205) 823-2393,ASSISTED LIVING FACILITY (SPECIALTY CARE),90,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,570 SOUTHLAND DRIVE
"Bridgewood Gardens, Memory Care",Albertville,AL,35951,Marshall,P4801,(256) 878-3132,ASSISTED LIVING FACILITY (SPECIALTY CARE),22,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,151 WOODHAM DRIVE
Brookdale Hampton Cove,Hampton Cove,AL,35763,Madison,P4505,(256) 564-8383,ASSISTED LIVING FACILITY (SPECIALTY CARE),50,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,6379 HIGHWAY 431 SOUTH
Brookdale University Park Scalf (Al),Birmingham,AL,35209,Jefferson,P3707,(205) 870-0786,ASSISTED LIVING FACILITY (SPECIALTY CARE),30,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,400 UNIVERSITY PARK DRIVE
Brookside Memory And Specialty Care On Cody,Mobile,AL,36695,Mobile,P4913,(251) 639-0494,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,680 CODY ROAD
Carillon Oaks Mobile,Theodore,AL,36582,Mobile,P4917,(251) 287-6300,ASSISTED LIVING FACILITY (SPECIALTY CARE),48,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,5461 KOOIMAN ROAD
Carrington Place,Satsuma,AL,36572,Mobile,P4905,(251) 776-1683,ASSISTED LIVING FACILITY (SPECIALTY CARE),40,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,300 BAKER ROAD
Cedar Hill Specialty Care Assisted Living,Selma,AL,36701,Dallas,P2402,(334) 875-1225,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,1300 OLD ORRVILLE ROAD
Chapman Specialty Care Assisted Living Facility,Alexander City,AL,35010,Tallapoosa,P6201,(256) 234-6366,ASSISTED LIVING FACILITY (SPECIALTY CARE),46,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,3701 DADEVILLE ROAD
Cherokee Village Specialty Care Assisted Living Facility,Centre,AL,35960,Cherokee,P1001,(256) 927-4307,ASSISTED LIVING FACILITY (SPECIALTY CARE),36,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,HEALTHCARE AUTHORITY,6/24/21,201 DEAN BUTTRAM SENIOR AVENUE
Country Cottage - Montgomery - Holly,Montgomery,AL,36117,Montgomery,P5107,(334) 260-8373,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"235 SYLVEST DRIVE, BLDG. 100"
Country Cottage Magnolia Cottage,Hoover,AL,35216,Jefferson,P3721,(205) 987-0847,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4000 GREENWOOD DRIVE
Country Cottage Montgomery-Magnolia,Montgomery,AL,36117,Montgomery,P5116,(256) 361-0084,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,235 SYLVEST DRIVE
Country Place Memory Care Of Greenville,Greenville,AL,36037,Butler,P0702,(334) 382-6507,ASSISTED LIVING FACILITY (SPECIALTY CARE),16,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,3108 LUVERNE HIGHWAY
Covenant Woods Of Gardendale,Gardendale,AL,35071,Jefferson,P3720,(205) 608-2200,ASSISTED LIVING FACILITY (SPECIALTY CARE),32,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,PARTNERSHIP,6/24/21,1411 THOMPSON CIRCLE
Dugger Mountain Specialty Care Assisted Living,Piedmont,AL,36272,Calhoun,P0806,(256) 447-9444,ASSISTED LIVING FACILITY (SPECIALTY CARE),9,GROUP SPECIALTY CARE ASSISTED LIVING FACILITY,HEALTHCARE AUTHORITY,6/24/21,1100 DAILY STREET
Elmcroft Of Heritage Woods Specialty Care Assisted Living Facility,Mobile,AL,36695,Mobile,P4911,(251) 665-9063,ASSISTED LIVING FACILITY (SPECIALTY CARE),23,CONGREGATE SPECIALTY CARE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3440 HILLCREST ROAD
