LICENSE #,TYPE,SUBTYPE,FACILITY,ADDRESS,CITY,STATE,ZIP,ADMINISTRATOR,PHONE,EFFECTIVE,EXPIRATION,BEDS,COUNTY
04468,Collecting Station,,CONCORD HOSPITAL OCCUPATIONAL AND EMPLOYEE HEALTH,248 PLEASANT ST. STE 202,Concord,NH,03301,SHANEY BLAIS,(603) 230-1220,12/14/20,11/30/21,,Merrimack
04344,Collecting Station,,CONCORD METRO TREATMENT CENTER,100 HALL ST,CONCORD,NH,03301,SHARON DRAKE,(603) 229-4260,06/01/21,05/31/22,,Merrimack
04449,Collecting Station,,CRANMORE HEALTH PARTNERS,1875 WHITE MOUNTAIN HWY,North Conway,NH,03860,"SOHAIB SIDDIQUI, MD",(603) 730-5356,10/01/21,09/30/22,,Carroll
03589,Collecting Station,,DARTMOUTH-HITCHCOCK BEDFORD CS,25 SOUTH RIVER ROAD,BEDFORD,NH,03110,DAVEY PILCHER,(603) 695-2580,04/01/21,03/31/22,,HILLSBOROUGH
03881,Collecting Station,,DARTMOUTH-HITCHCOCK HEATER ROAD,18 OLD ETNA ROAD,LEBANON,NH,03766,MICHAEL T HARHEN,(603) 650-4025,11/01/20,10/31/21,,GRAFTON
03736,Collecting Station,,DARTMOUTH-HITCHCOCK HUDSON CS,208 ROBINSON ROAD,HUDSON,NH,03051,DAVEY PILCHER,(603) 577-3410,07/01/21,06/30/22,,HILLSBOROUGH
03586,Collecting Station,,DARTMOUTH-HITCHCOCK MERRIMACK CS,294 DANIEL WEBSTER HIGHWAY,MERRIMACK,NH,03054,DAVEY PILCHER,(603) 440-7808,04/01/21,03/31/22,,HILLSBOROUGH
03587,Collecting Station,,DARTMOUTH-HITCHCOCK MILFORD CS,14 ARMORY ROAD,MILFORD,NH,03055,DAVEY PILCHER,(603) 673-2515,04/01/21,03/31/22,,HILLSBOROUGH
04105,Collecting Station,,DARTMOUTH-HITCHCOCK WASHINGTON PLACE COLLECTING STATION,5 WASHINGTON PLACE,BEDFORD,NH,03110,DAVEY PILCHER,(603) 695-2900,09/01/21,08/31/22,,Hillsborough
03690,Collecting Station,,ELLIOT COLLECTION STATION @ 185 QUEEN CITY,185 QUEEN CITY AVENUE,MANCHESTER,NH,03101,ALEXANDRA MOREAU,(603) 663-2557,03/01/21,02/28/22,,HILLSBOROUGH
03747,Collecting Station,,ELLIOT COLLECTION STATION @ 190 TARRYTOWN RD,190 TARRYTOWN ROAD,MANCHESTER,NH,03103,ALEXANDRA MOREAU,(603) 663-2557,08/01/21,07/31/22,,HILLSBOROUGH
03525,Collecting Station,,ELLIOT COLLECTION STATION @ 20 CHAMBERS RD,20 CHAMBERS ROAD,HOOKSETT,NH,03106,ALEXANDRA MOREAU,(603) 663-2557,06/01/21,05/31/22,,MERRIMACK
04321,Collecting Station,,ELLIOT COLLECTION STATION @ 25 LEAVY DRIVE,25 LEAVY DRIVE,BEDFORD,NH,03110,ALEXANDRA MOREAU,(603) 663-2557,03/01/21,02/28/22,,Hillsborough
04189,Collecting Station,,ELLIOT LAB @ NORTHEAST REHAB HOSPITAL-SALEM,70 BUTLER ST,SALEM,NH,03079,ALEXANDRA MOREAU,(603) 663-2557,11/01/21,10/31/22,,Rockingham
02945,Collecting Station,,EXETER HOSPITAL-COLLECTING STATION,5 ALUMNI DRIVE,EXETER,NH,03833,ELLEN M SIMMS,(603) 580-7085,05/01/21,04/30/22,,ROCKINGHAM
04403,Collecting Station,,GRANITE STATE LAB,"120 WASHINGTON ST, STE 103",ROCHESTER,NH,03839,BRENDA NILAND,(603) 330-7057,03/01/21,02/28/22,,Strafford
04338,Collecting Station,,KEENE METRO TREATMENT CENTER,1076 WEST SWANZEY RD,SWANZEY,NH,03446,CARLA J EMERY,(603) 358-0500,05/01/21,04/30/22,,Cheshire
04381,Collecting Station,,KING HEALTHCARE DBA INTEGRATE,26 EAST PEARL STREET,NASHUA,NH,03060,NICOLE WHITE,(781) 771-8199,12/01/20,11/30/21,,Hillsborough
04395,Collecting Station,,LABCORP DMC,15 TSIENNETO RD,DERRY,NH,03038,LAURA DUNN,(603) 845-5093,02/01/21,01/31/22,,Rockingham
03156,Collecting Station,,LABCORP/BEDFORD COMMONS PSC,101 RIVERWAY PLACE,BEDFORD,NH,03110,LAURA DUNN,(603) 622-2357,06/01/21,05/31/22,,HILLSBOROUGH
04177,Collecting Station,,LABCORP/CENTRAL COMMONS,750 CENTRAL AVE,DOVER,NH,03820,LAURA DUNN,(603) 749-4444,08/01/21,07/31/22,,Belknap
03142,Collecting Station,,LABCORP/EXETER PCS-HAMPTON RD,19 HAMPTON ROAD #13,EXETER,NH,03833,LAURA DUNN,(603) 772-9603,04/01/21,03/31/22,,ROCKINGHAM
03642,Collecting Station,,LABCORP/GREENLAND RD PSC,875 GREENLAND ROAD,PORTSMOUTH,NH,03801,LAURA DUNN,(603) 436-1760,09/01/21,08/31/22,,ROCKINGHAM
03148,Collecting Station,,LABCORP/LAFAYETTE PROF. PARK,230 LAFAYETTE ROAD BLDG. D,PORTSMOUTH,NH,03801,LAURA DUNN,(603) 436-5311,06/01/21,05/31/22,,ROCKINGHAM
03140,Collecting Station,,LABCORP/ROCHESTER PSC,40 WINTER STREET STE 200,ROCHESTER,NH,03867,LAURA DUNN,(603) 332-6181,05/01/21,04/30/22,,STRAFFORD
03971,Collecting Station,,LABCORP-GREENHOUSE NATUROPATHIC,109 PONEMAH ROAD,AMHERST,NH,03031,LAURA DUNN,(603) 430-4143,10/01/21,09/30/22,,Belknap
03757,Collecting Station,,LABCORP-PELHAM RD,25 PELHAM ROAD 103A,SALEM,NH,03079,LAURA DUNN,(603) 890-3708,11/01/21,10/31/22,,ROCKINGHAM
03967,Collecting Station,,LABCORP-SOMERSWORTH,21 CLARK WAY,SOMERSWORTH,NH,03878,LAURA DUNN,(603) 841-2588,09/01/21,08/31/22,,STRAFFORD
03873,Collecting Station,,LABCORP-WINDHAM PSC,49 RANGE ROAD SUITE 101,WINDHAM,NH,03087,LAURA DUNN,(603) 681-9194,10/01/21,09/30/22,,ROCKINGHAM
04340,Collecting Station,,LANDMARK LABCORP,50 NASHUA RD #301,LONDONDERRY,NH,03053,LAURA DUNN,(603) 828-3666,06/01/21,05/31/22,,Rockingham
04329,Collecting Station,,LOWELL GENERAL PELHAM PATIENT SERVICE CENTER,49 ATWOOD RD STE 2,PELHAM,NH,03076,AMY HOEY,(978) 323-7051,04/01/21,03/31/22,,Hillsborough
03216,Collecting Station,,MANCHESTER HEALTH DEPARTMENT CS,1528 ELM STREET,MANCHESTER,NH,03101,"ANNA THOMAS, MPH",(603) 624-6466,12/01/20,11/30/21,,HILLSBOROUGH
04330,Collecting Station,,MANCHESTER METRO TREATMENT CENTER,228 MAPLE ST,MANCHESTER,NH,03103,KATHLEEN M CHOQUETTE,(603) 622-5005,04/01/21,03/31/22,,Hillsborough
03517,Collecting Station,,MOULTONBORO FAMILY MEDICINE,984 WHITTIER HIGHWAY,MOULTONBOROUGH,NH,03254,KELLY QUINN-HALL,(603) 476-2216,05/01/21,04/30/22,,CARROLL
04336,Collecting Station,,NEW SEASONS FRANKLIN,880 CENTRAL ST STE 10,Franklin,NH,03235,LADD RAINE,(603) 671-7065,05/01/21,04/30/22,,Merrimack
02929,Collecting Station,,NEWPORT HEALTH CENTER,11 JOHN STARK HIGHWAY,NEWPORT,NH,03773,CLOIE BRIDGEO,(603) 863-4100,03/01/21,02/28/22,,SULLIVAN
02469,Collecting Station,,NUTFIELD COLLECTION STATION,44 BIRCH STREET STE 300,DERRY,NH,03038,JANA PETERSON,(603) 421-2266,05/01/21,04/30/22,,ROCKINGHAM
03513,Collecting Station,,OSSIPEE FAMILY MEDICINE,3 WATER VILLAGE ROAD,OSSIPEE,NH,03864,KELLY QUINN-HALL,(603) 539-6996,05/01/21,04/30/22,,CARROLL
04097,Collecting Station,,PRH PATIENT SERVICE CENTER-PEASE,25 NEW HAMPSHIRE AVE STE 105,PORTSMOUTH,NH,03801,ALYSSA M CRAFTS,(603) 570-3130,06/01/21,05/31/22,,Rockingham
03239,Collecting Station,,PRH-PATIENT SERVICE CENTER,330 BORTHWICK AVENUE SUITE 112,PORTSMOUTH,NH,03801,ALYSSA M CRAFTS,(603) 433-1331,03/01/21,02/28/22,,ROCKINGHAM
03646,Collecting Station,,PRH-PATIENT SERVICE CENTER GRIFFIN RD,155 GRIFFIN ROAD,PORTSMOUTH,NH,03801,ALYSSA M CRAFTS,(603) 610-8825,10/01/20,09/30/21,,ROCKINGHAM
03283,Collecting Station,,PRH-PATIENT SERVICES CENTER,55 HIGH STREET - SUITE 104,HAMPTON,NH,03842,ALYSSA M CRAFTS,(603) 433-5282,07/01/21,06/30/22,,ROCKINGHAM
04334,Collecting Station,,QUEST - GOODWIN,311 NH-108,SOMERSWORTH,NH,03878,KATHLEEN WALSH,(603) 327-9217,05/01/21,04/30/22,,Strafford
03035,Collecting Station,,QUEST DIAGNOSTICS,195 MCGREGOR ST,MANCHESTER,NH,03102,SARAH M RONDEAU,(772) 494-3973,11/01/21,10/31/22,,HILLSBOROUGH
04225,Collecting Station,,QUEST DIAGNOSTICS,160 SOUTH RIVER RD,BEDFORD,NH,03110,MADELINE CAPANO,(774) 369-3900,08/01/21,07/31/22,,Hillsborough
02817,Collecting Station,,QUEST DIAGNOSTICS,160 SOUTH RIVER ROAD SUITE 100,BEDFORD,NH,03110,MADELINE E CAPANO,(603) 641-2613,06/01/21,05/31/22,,HILLSBOROUGH
03052,Collecting Station,,QUEST DIAGNOSTICS,200 GRIFFIN RD UNIT 12,PORTSMOUTH,NH,03801,KATHLEEN WALSH,(603) 327-9217,04/01/21,03/31/22,,ROCKINGHAM
03083,Collecting Station,,QUEST DIAGNOSTICS,128 STATE STREET ROUTE 27,RAYMOND,NH,03077,SARAH M RONDEAU,(603) 244-7365,08/01/21,07/31/22,,ROCKINGHAM
04337,Collecting Station,,QUEST DIAGNOSTICS AT CLEARCHOICE MD LEBANON,410 MIRACLE MILE,Lebanon,NH,03766,MADELINE CAPANO,(603) 443-9916,05/01/21,04/30/22,,Grafton
03214,Collecting Station,,QUEST DIAGNOSTICS-300 MAIN STREET,300 MAIN STREET,NASHUA,NH,03060,MADELINE E CAPANO,(603) 578-0323,12/01/20,11/30/21,,HILLSBOROUGH
04072,Collecting Station,,QUEST DIAGNOSTICS-AMHERST,282 STATE RTE 101,AMHERST,NH,03031,MADELINE CAPANO,(603) 249-5306,02/01/21,01/31/22,,Hillsborough
04026,Collecting Station,,QUEST DIAGNOSTICS-ATKINSON,58 ISLAND POND RD,ATKINSON,NH,03811,KATHLEEN WALSH,(603) 327-9217,08/01/21,07/31/22,,Rockingham
03458,Collecting Station,,QUEST DIAGNOSTICS-BEDFORD,169 S RIVER RD,BEDFORD,NH,03110,SARAH M RONDEAU,(781) 942-7000,11/01/20,10/31/21,,HILLSBOROUGH
04025,Collecting Station,,QUEST DIAGNOSTICS-CENTRAL AVE,770 CENTRAL AVE,DOVER,NH,03820,KATHLEEN WALSH,(603) 327-9217,08/01/21,07/31/22,,Strafford
04186,Collecting Station,,QUEST DIAGNOSTICS-CLARK WY,5 CLARK WY,SOMERSWORTH,NH,03878,MADELINE CAPANO,(774) 369-3900,11/01/20,10/31/21,,Strafford
04074,Collecting Station,,QUEST DIAGNOSTICS-CONCORD,10 FERRY ST,CONCORD,NH,03301,MADELINE CAPANO,(603) 715-5910,02/01/21,01/31/22,,Merrimack
03132,Collecting Station,,QUEST DIAGNOSTICS-DERRY,6 TSIENNETO ROAD,DERRY,NH,03038,KATHLEEN M. WALSH,(603) 434-2741,05/01/21,04/30/22,,ROCKINGHAM
04169,Collecting Station,,QUEST DIAGNOSTICS-FAMILY FIRST,100 CAMPUS DR #12,PORTSMOUTH,NH,03801,KATHLEEN WALSH,(603) 627-9217,08/01/21,07/31/22,,Rockingham
03671,Collecting Station,,QUEST DIAGNOSTICS-GILFORD,14 COUNTRY CLUB ROAD,GILFORD,NH,03249,MADELINE E CAPANO,(603) 524-5946,01/01/21,12/31/21,,BELKNAP
03994,Collecting Station,,QUEST DIAGNOSTICS-KEEYWAYDIN DR,22 KEEWAYDIN DR,Salem,NH,03079,SARAH M RONDEAU,(603) 685-6977,01/01/21,12/31/21,,Rockingham
02730,Collecting Station,,QUEST DIAGNOSTICS-LONDONDERRY,6 BUTTERICK ROAD -  SUITE 302,LONDONDERRY,NH,03053,KATHLEEN M WALSH,(603) 327-9217,02/01/21,01/31/22,,ROCKINGHAM
03130,Collecting Station,,QUEST DIAGNOSTICS-NEWMARKET,207 SOUTH MAIN ST,NEWMARKET,NH,03857,SARAH M RONDEAU,(603) 659-0295,04/01/21,03/31/22,,ROCKINGHAM
03480,Collecting Station,,QUEST DIAGNOSTICS-ORCHARD PARK,875 GREENLAND RD,PORTSMOUTH,NH,03801,KATHLEEN WALSH,(603) 327-9217,01/01/21,12/31/21,,ROCKINGHAM
03131,Collecting Station,,QUEST DIAGNOSTICS-PLEASANT ST. CONCORD,280 PLEASANT STREET #1,CONCORD,NH,03301,MADELINE E CAPANO,(603) 223-0307,01/01/21,12/31/21,,Belknap
03756,Collecting Station,,QUEST DIAGNOSTICS-PROSPECT ST,22 PROSPECT STREET,NASHUA,NH,03060,MADELINE E CAPANO,(603) 579-4789,11/01/20,10/31/21,,HILLSBOROUGH
03737,Collecting Station,,QUEST DIAGNOSTICS-RIVERWAY PLACE,201 RIVERWAY PLACE,BEDFORD,NH,03110,MADELINE E CAPANO,(603) 624-8759,07/01/20,06/30/21,,HILLSBOROUGH
04289,Collecting Station,,QUEST DIAGNOSTICS-SALEM NH PSC,8 STILES RD UNIT 111,SALEM,NH,03079,SARAH M RONDEAU,(603) 890-6053,10/01/20,09/30/21,,Rockingham
03995,Collecting Station,,QUEST DIAGNOSTICS-STILES RD,23 STILES RD STE 213,SALEM,NH,03079,SARAH M RONDEAU,(774) 436-9390,01/01/21,12/31/21,,Rockingham
03762,Collecting Station,,QUEST DIAGNOSTICS-TSIENNETO RD,14 TSIENNETO RD #201,DERRY,NH,03038,KATHLEEN M WALSH,(603) 327-9217,12/01/20,11/30/21,,ROCKINGHAM
04024,Collecting Station,,QUEST DIAGNOSTICS-WEST ST,391 WEST ST,KEENE,NH,03431,MADELINE CAPANO,(603) 352-6631,08/01/21,07/31/22,,Cheshire
04476,Collecting Station,,SACO RIVER MEDICAL GROUP,7 GREENWOOD AVE,Conway,NH,03818,MADELINE CAPANO,(603) 447-3500,01/12/21,12/31/21,,Carroll
04412,Collecting Station,,SJH LAB DRAWING STATION-SOUTH NASHUA,173 DANIEL WEBSTER HWY,Nashua,NH,03060,JEANNE WILSON,(603) 891-4483,03/01/21,02/28/22,,Hillsborough
03260,Collecting Station,,SNH MEDICAL CENTER - DERRY RD,300 DERRY ROAD,HUDSON,NH,03051,ALEXANDRA MOREAU,(603) 577-2000,05/01/21,04/30/22,,HILLSBOROUGH
03891,Collecting Station,,SNHMC - PROSPECT ST,17 PROSPECT STREET,NASHUA,NH,03060,ALEXANDRA MOREAU,(603) 577-2000,12/01/20,11/30/21,,HILLSBOROUGH
03213,Collecting Station,,SNHMC-280 MAIN ST 1ST FLOOR,280 MAIN STREET 1ST FLOOR,NASHUA,NH,03060,ALEXANDRA MOREAU,(603) 577-2000,12/01/20,11/30/21,,HILLSBOROUGH
03645,Collecting Station,,SNHMC-JONES RD,10 JONES ROAD,MILFORD,NH,03055,ALEXANDRA MOREAU,(603) 577-2000,10/01/21,09/30/22,,HILLSBOROUGH
04040,Collecting Station,,SNHMC-MAIN ST,280 MAIN ST STE 321,NASHUA,NH,03061,ALEXANDRA MOREAU,(603) 577-2000,10/01/21,09/30/22,,Hillsborough
03849,Collecting Station,,SO NH MEDICAL CENTER CS - PELHAM,33 WINDHAM ROAD,PELHAM,NH,03079,ALEXANDRA T MOREAU,(603) 577-2000,07/01/21,06/30/22,,Rockingham
03952,Collecting Station,,SO NH MEDICAL CENTER-SPIT BROOK RD,112 SPIT BROOK ROAD,NASHUA,NH,03062,ALEXANDRA T MOREAU,(603) 577-2000,07/01/21,06/30/22,,HILLSBOROUGH
02681,Collecting Station,,SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,10 PROSPECT ST,NASHUA,NH,03060,ALEXANDRA MOREAU,(603) 577-2000,08/01/21,07/31/22,,HILLSBOROUGH
03483,Collecting Station,,SOUTHERN NH MEDICAL CENTER - DW HIGHWAY,696 D W HIGHWAY,Merrimack,NH,03054,ALEXANDRA MOREAU,(603) 577-2000,02/01/21,01/31/22,,Hillsborough
04121,Collecting Station,,SOUTHERN NH MEDICAL CENTER -LIMBO LN,8 LIMBO LANE,AMHERST,NH,03031,ALEXANDRA MOREAU,(603) 577-2000,11/01/21,10/31/22,,Hillsborough
03091,Collecting Station,,SOUTHERN NH MEDICAL CENTER-NW BLVD,29 NORTHWEST BLVD,NASHUA,NH,03063,ALEXANDRA MOREAU,(603) 577-2000,11/01/21,10/31/22,,HILLSBOROUGH
03107,Collecting Station,,ST JOSEPH HOSPITAL AMHERST STREET LAB DRAWING STATION,460 AMHERST STREET,NASHUA,NH,03063,JEANNE WILSON,(603) 595-3624,01/01/21,12/31/21,,Hillsborough
03571,Collecting Station,,ST JOSEPH HOSPITAL HUDSON LAB DRAWING STATION,208 ROBINSON ROAD,HUDSON,NH,03051,JEANNE WILSON,(603) 598-2437,02/01/21,01/31/22,,HILLSBOROUGH
03988,Collecting Station,,ST JOSEPH HOSPITAL MILFORD LAB DRAWING STATION,442 NASHUA ST,MILFORD,NH,03055,JEANNE WILSON,(603) 673-5625,12/01/20,11/30/21,,Hillsborough
03514,Collecting Station,,TAMWORTH FAMILY MEDICINE,577 WHITE MOUNTAIN HWY,TAMWORTH,NH,03886,KELLY QUINN-HALL,(603) 323-3311,05/01/21,04/30/22,,CARROLL
04122,Collecting Station,,THE CENTER FOR ORTHOPEDICS AND MOVEMENT COLLECTING STATION,7 ALUMNI DR,EXETER,NH,03833,CANDICE GARDNER,(603) 580-8446,12/01/20,11/30/21,,Rockingham
03508,Collecting Station,,THE WD PROFESSIONAL CNTR @ DOVER CS,10 MEMBERS WAY,DOVER,NH,03820,"SRINIVAS MAGANTI, PhD",(603) 742-1123,05/01/21,04/30/22,,STRAFFORD
04388,Collecting Station,,WENTWORTH-DOUGLASS HOSPITAL LABORATORY SERVICES,67 CORPORATE DR,Portsmouth,NH,03801,"SRINIVAS MAGANTI, PhD",(603) 868-8568,01/01/21,12/31/21,,Rockingham
04399,Collecting Station,,WHITE MOUNTAIN MEDICAL CENTER,2531 WHITE MOUNTAIN HIGHWAY,SANBORNVILLE,NH,03872,BRENDA NILAND,(603) 522-0186,03/01/21,02/28/22,,Carroll
04006,Community Residence (4+ beds),,128 B PASSACONAWAY RD,128 B PASSACONAWAY RD,Conway,NH,03818,WENDY OSTER,(603) 447-1973,04/01/21,03/31/22,6,Carroll
03937,Community Residence (4+ beds),,128 PASSACONAWAY RD,128 PASSACONAWAY RD,North Conway,NH,03860,WENDY OSTER,(603) 356-0282,09/01/20,08/31/21,6,Carroll
00705,Community Residence (4+ beds),,AMOSKEAG RESIDENCE,34 BROWN AVENUE,MANCHESTER,NH,03101,CARLY K PEICOTT,(603) 628-7745,09/01/20,08/31/21,12,HILLSBOROUGH
02911,Community Residence (4+ beds),,ARBOR VIEW INN,163 SUMMER STREET,NEWPORT,NH,03773,JOLENE LONGTIN,(603) 863-1785,08/01/20,07/31/21,16,SULLIVAN
04417,Community Residence (4+ beds),,BARRINGTON RESIDENCE,909 STRAFFORD RD,Barrington,NH,03825,FREDDI GALE,(603) 335-8696,04/20/20,03/31/21,6,Strafford
03783,Community Residence (4+ beds),,BAYBERRY HOUSE,5 HOWARD ROAD,CONCORD,NH,03301,PAUL DANN,(603) 746-7550,07/01/21,06/30/22,6,MERRIMACK
03786,Community Residence (4+ beds),,BRICK HOUSE,91 PLEASANT STREET,CONCORD,NH,03301,PAUL DANN,(603) 746-7550,07/01/21,06/30/22,7,MERRIMACK
02439,Community Residence (4+ beds),,COLUMBIA HOUSE,18 STODDARD ROAD,Columbia,NH,03576,ELIZABETH CHARLES,(603) 237-8537,02/01/21,01/31/22,6,Coos
04444,Community Residence (4+ beds),,DEER RIDGE,87 HORNE RD,Belmont,NH,03220,CRYSTAL CAMERON,(603) 573-6387,09/17/20,08/31/21,16,Belknap
01764,Community Residence (4+ beds),,EMERALD HOUSE,32 EMERALD STREET,KEENE,NH,03431,RAYMOND LAGASSE,(603) 352-6649,05/01/21,04/30/22,10,CHESHIRE
03486,Community Residence (4+ beds),,FAIRVIEW RESIDENCE,16 FAIRVIEW STREET,LACONIA,NH,03246,HOLLY STYLES,(603) 527-1950,01/01/21,12/31/21,6,BELKNAP
01344,Community Residence (4+ beds),,FAIRWEATHER LODGE,463 BREAKFAST HILL RD,GREENLAND,NH,03840,GERALDINE COUTURE,(603) 431-2250,01/01/21,12/31/21,8,Belknap
00992,Community Residence (4+ beds),,FELLOWSHIP HOUSE,11 CHESLEY STREET,CONCORD,NH,03301,"HERBERT S CARPENTER, IV",(603) 225-0977,06/01/20,05/31/21,12,MERRIMACK
03960,Community Residence (4+ beds),,FRANKLIN FALLS FARM,348 VICTORY DRIVE,FRANKLIN,NH,03235,PRATAP THAPA,(603) 934-6700,12/01/19,11/30/20,6,MERRIMACK
01687,Community Residence (4+ beds),,GILPIN RESIDENCE,145 HIGH STREET,LITTLETON,NH,03561,AMY L FINKLE,(603) 444-3905,08/01/20,07/31/21,6,GRAFTON
03785,Community Residence (4+ beds),,GREY HOUSE,93 PLEASANT STREET,CONCORD,NH,03301,PAUL DANN,(603) 746-7550,07/01/21,06/30/22,8,MERRIMACK
02487,Community Residence (4+ beds),,HARBOR AVENUE RESIDENCE,62 HARBOR AVENUE,NASHUA,NH,03060,KIM SHOTTES,(603) 882-2042,07/01/21,06/30/22,5,HILLSBOROUGH
01464,Community Residence (4+ beds),,HARBOR HOMES III INC,156 CHESTNUT ST,NASHUA,NH,03060,PETER KELLEHER,(603) 882-2355,02/01/21,01/31/22,10,HILLSBOROUGH
00709,Community Residence (4+ beds),,HARBOR HOMES INC,3 WINTER STREET,NASHUA,NH,03060,PETER KELLEHER,(603) 595-8601,09/01/20,08/31/21,9,HILLSBOROUGH
03961,Community Residence (4+ beds),,HOPE AVE RESIDENCE,25 HOPE AVENUE,CONCORD,NH,03301,SADDICHCHHA SHAH,(603) 224-3562,08/01/20,07/31/21,6,MERRIMACK
00722,Community Residence (4+ beds),,HUDSON HOUSE,112 MUSQUASH RD,HUDSON,NH,03051,KIM B SHOTTES,(603) 889-0652,10/01/20,09/30/21,4,HILLSBOROUGH
04419,Community Residence (4+ beds),,IONA HOUSE,1172 GIBBONS HIGHWAY,Wilton,NH,03086,PAUL MARTIN,(603) 878-2325,10/01/20,05/31/21,6,Hillsborough
04460,Community Residence (4+ beds),,ISAAC HOUSE,997 ISAAC FRYE HWY,Wilton,NH,03086,RENE SULLIVAN,(603) 722-8428,03/01/21,10/31/21,4,Hillsborough
04392,Community Residence (4+ beds),,KACIE LANE,16 KACIE LANE,Danville,NH,03819,RACHEL SOUZA,(603) 382-0677,02/01/21,01/31/22,4,Rockingham
00801,Community Residence (4+ beds),,KEARSARGE COMMUNITY RESIDENCE,138 KEARSARGE RD,NORTH CONWAY,NH,03860,LEONARD JEWELL,(603) 356-2032,05/01/21,04/30/22,11,CARROLL
03280,Community Residence (4+ beds),,KEARSARGE ROAD (426),426 KEARSARGE ROAD,North Conway,NH,03860,WENDY OSTER,(603) 356-8514,09/01/20,08/31/21,4,Carroll
02761,Community Residence (4+ beds),,LACONIA DEVELOPMENTAL SERVICES/DRF,54 GREEN STREET,LACONIA,NH,03246,JOSHUA GEHLING,(603) 528-5986,06/01/20,05/31/21,6,BELKNAP
04052,Community Residence (4+ beds),,MAPLE LODGE,787 MAPLE ST,Bethlehem,NH,03574,PAUL DANN,(603) 869-0027,03/01/21,02/28/22,8,Grafton
04514,Community Residence (4+ beds),,MAURA COMMUNITY RESIDENCE,69 TAMWORTH ROAD,Tamworth,NH,03886,EDWARD MAURA,(603) 323-7107,06/01/21,11/30/21,4,Carroll
04231,Community Residence (4+ beds),,MOBILE CRISIS RESPONSE TEAM,293 WILSON ST,Manchester,NH,03103,JESSICA LACHANCE,(800) 688-3544,09/01/20,08/31/21,4,Hillsborough
03573,Community Residence (4+ beds),,NEURORESTORATIVE NEW HAMPSHIRE,6 KING ROAD,CHICHESTER,NH,03258,JANICE COMTOIS,(603) 798-3376,03/01/21,02/28/22,8,Merrimack
04039,Community Residence (4+ beds),,NEURORESTORATIVE NH NOTTINGHAM,98 NOTTINGHAM RD,DEERFIELD,NH,03037,JANICE COMTOIS,(603) 463-1053,10/01/20,09/30/21,6,Rockingham
04060,Community Residence (4+ beds),,NEURORESTORATIVE NH-FREEDOM HOUSE,269 VILLAGE RD,FREEDOM,NH,03836,CAROL RIVARD,(603) 539-1073,06/01/20,05/31/21,5,Carroll
04002,Community Residence (4+ beds),,NEURORESTORATIVE NH-HEMLOCK HILL,45 HEMLOCK HILL DR,Loudon,NH,03307,JANICE COMTOIS,(603) 961-0020,09/01/20,08/31/21,4,Merrimack
04061,Community Residence (4+ beds),,NEURORESTORATIVE NH-THOMPSON HOUSE,266 EATON RD,Freedom,NH,03836,CAROL RIVARD,(603) 539-2699,12/01/20,11/30/21,4,Carroll
04063,Community Residence (4+ beds),,NEURORESTORATIVE NH-WENTWORTH HOUSE,70 MOULTONVILLE RD,Center Ossipee,NH,03814,CHERI FISHER,(603) 539-9083,08/01/20,07/31/21,8,Carroll
04101,Community Residence (4+ beds),,NEXT STEPS COMMUNITY SERVICES LLC,2444 MAIN STREET,Bethlehem,NH,03574,LISA D'INNECENZO,(603) 530-2148,02/01/20,01/31/21,7,Grafton
04519,Community Residence (4+ beds),,NEXT STEPS COMMUNITY SERVICES LLC,4266 PROVINCE LAKE RD,East Wakefield,NH,03830,LISA D'INNOCENZO,(603) 871-8111,06/29/21,12/31/21,4,Carroll
02280,Community Residence (4+ beds),,ORFORD ROAD RESIDENCE,16 ORFORD ROAD,LYME,NH,03768,MARK MILLS,(603) 795-4893,01/01/21,12/31/21,10,GRAFTON
01674,Community Residence (4+ beds),,OSGOOD ROAD DUPLEX,482 OSGOOD ROAD,MILFORD,NH,03055,KIM SHOTTES,(603) 673-5829,05/01/21,04/30/22,4,HILLSBOROUGH
02937,Community Residence (4+ beds),,PEASLEE ROAD,26 PEASLEE ROAD,MERRIMACK,NH,03054,KIM SHOTTES,(603) 595-9760,04/01/21,03/31/22,4,HILLSBOROUGH
04520,Community Residence (4+ beds),,PILLAR HOUSE CRISIS APTS,40 PLEASANT ST,Concord,NH,03301,LISA K MADDEN,(603) 226-0817,06/01/21,05/31/22,4,Merrimack
03782,Community Residence (4+ beds),,POND PLACE EAST,125 PLEASANT STREET,CONCORD,NH,03301,PAUL DANN,(603) 746-7550,07/01/21,06/30/22,4,MERRIMACK
03781,Community Residence (4+ beds),,POND PLACE WEST,125 PLEASANT STREET,CONCORD,NH,03301,PAUL DANN,(603) 746-7550,06/01/21,05/31/22,6,MERRIMACK
04369,Community Residence (4+ beds),,STAGE COACH,52 LOOP RD,CONCORD,NH,03301,FAY E BLAKE,(603) 573-6387,11/01/20,12/31/21,8,Merrimack
04028,Community Residence (4+ beds),,START CENTER,46 CORN HILL RD,BOSCAWEN,NH,03303,MICHAEL M BLAU,(603) 225-4153,08/01/21,07/31/22,6,Merrimack
03865,Community Residence (4+ beds),,SWETT ST (20),20 SWETT ST,North Conway,NH,03860,WENDY OSTER,(603) 356-0282,05/01/20,04/30/21,4,Carroll
