License Number,TYPE,Facility Name,Address,City,State,Zip Code,Phone Number,Capacity,County
2817,Collecting Station,QUEST DIAGNOSTICS,160 SOUTH RIVER ROAD SUITE 100,BEDFORD,NH,3110,(603) 641-2613,,HILLSBOROUGH
3052,Collecting Station,QUEST DIAGNOSTICS,200 GRIFFIN RD UNIT 12,PORTSMOUTH,NH,3801,(603) 327-9217,,ROCKINGHAM
3083,Collecting Station,QUEST DIAGNOSTICS,128 STATE STREET ROUTE 27,RAYMOND,NH,3077,(603) 244-7365,,ROCKINGHAM
4337,Collecting Station,QUEST DIAGNOSTICS AT CLEARCHOICE MD LEBANON,410 MIRACLE MILE,Lebanon,NH,3766,(603) 443-9916,,Grafton
3214,Collecting Station,QUEST DIAGNOSTICS-300 MAIN STREET,300 MAIN STREET,NASHUA,NH,3060,(603) 578-0323,,HILLSBOROUGH
4072,Collecting Station,QUEST DIAGNOSTICS-AMHERST,282 STATE RTE 101,AMHERST,NH,3031,(603) 249-5306,,Hillsborough
4026,Collecting Station,QUEST DIAGNOSTICS-ATKINSON,58 ISLAND POND RD,ATKINSON,NH,3811,(603) 327-9217,,Rockingham
3458,Collecting Station,QUEST DIAGNOSTICS-BEDFORD,169 S RIVER RD,BEDFORD,NH,3110,(781) 942-7000,,HILLSBOROUGH
4025,Collecting Station,QUEST DIAGNOSTICS-CENTRAL AVE,770 CENTRAL AVE,DOVER,NH,3820,(603) 327-9217,,Strafford
4186,Collecting Station,QUEST DIAGNOSTICS-CLARK WY,5 CLARK WY,SOMERSWORTH,NH,3878,(774) 369-3900,,Strafford
4074,Collecting Station,QUEST DIAGNOSTICS-CONCORD,10 FERRY ST,CONCORD,NH,3301,(603) 715-5910,,Merrimack
3132,Collecting Station,QUEST DIAGNOSTICS-DERRY,6 TSIENNETO ROAD,DERRY,NH,3038,(603) 434-2741,,ROCKINGHAM
4169,Collecting Station,QUEST DIAGNOSTICS-FAMILY FIRST,100 CAMPUS DR #12,PORTSMOUTH,NH,3801,(603) 627-9217,,Rockingham
3671,Collecting Station,QUEST DIAGNOSTICS-GILFORD,14 COUNTRY CLUB ROAD,GILFORD,NH,3249,(603) 524-5946,,BELKNAP
3994,Collecting Station,QUEST DIAGNOSTICS-KEEYWAYDIN DR,22 KEEWAYDIN DR,Salem,NH,3079,(603) 685-6977,,Rockingham
2730,Collecting Station,QUEST DIAGNOSTICS-LONDONDERRY,6 BUTTERICK ROAD -  SUITE 302,LONDONDERRY,NH,3053,(603) 327-9217,,ROCKINGHAM
3130,Collecting Station,QUEST DIAGNOSTICS-NEWMARKET,207 SOUTH MAIN ST,NEWMARKET,NH,3857,(603) 659-0295,,ROCKINGHAM
3480,Collecting Station,QUEST DIAGNOSTICS-ORCHARD PARK,875 GREENLAND RD,PORTSMOUTH,NH,3801,(603) 327-9217,,ROCKINGHAM
3131,Collecting Station,QUEST DIAGNOSTICS-PLEASANT ST. CONCORD,280 PLEASANT STREET #1,CONCORD,NH,3301,(603) 223-0307,,Belknap
3756,Collecting Station,QUEST DIAGNOSTICS-PROSPECT ST,22 PROSPECT STREET,NASHUA,NH,3060,(603) 579-4789,,HILLSBOROUGH
3737,Collecting Station,QUEST DIAGNOSTICS-RIVERWAY PLACE,201 RIVERWAY PLACE,BEDFORD,NH,3110,(603) 624-8759,,HILLSBOROUGH
4289,Collecting Station,QUEST DIAGNOSTICS-SALEM NH PSC,8 STILES RD UNIT 111,SALEM,NH,3079,(603) 890-6053,,Rockingham
3995,Collecting Station,QUEST DIAGNOSTICS-STILES RD,23 STILES RD STE 213,SALEM,NH,3079,(774) 436-9390,,Rockingham
3762,Collecting Station,QUEST DIAGNOSTICS-TSIENNETO RD,14 TSIENNETO RD #201,DERRY,NH,3038,(603) 327-9217,,ROCKINGHAM
4024,Collecting Station,QUEST DIAGNOSTICS-WEST ST,391 WEST ST,KEENE,NH,3431,(603) 352-6631,,Cheshire
4476,Collecting Station,SACO RIVER MEDICAL GROUP,7 GREENWOOD AVE,Conway,NH,3818,(603) 447-3500,,Carroll
4412,Collecting Station,SJH LAB DRAWING STATION-SOUTH NASHUA,173 DANIEL WEBSTER HWY,Nashua,NH,3060,(603) 891-4483,,Hillsborough
3260,Collecting Station,SNH MEDICAL CENTER - DERRY RD,300 DERRY ROAD,HUDSON,NH,3051,(603) 577-2000,,HILLSBOROUGH
3891,Collecting Station,SNHMC - PROSPECT ST,17 PROSPECT STREET,NASHUA,NH,3060,(603) 577-2000,,HILLSBOROUGH
3213,Collecting Station,SNHMC-280 MAIN ST 1ST FLOOR,280 MAIN STREET 1ST FLOOR,NASHUA,NH,3060,(603) 577-2000,,HILLSBOROUGH
3645,Collecting Station,SNHMC-JONES RD,10 JONES ROAD,MILFORD,NH,3055,(603) 577-2000,,HILLSBOROUGH
4040,Collecting Station,SNHMC-MAIN ST,280 MAIN ST STE 321,NASHUA,NH,3061,(603) 577-2000,,Hillsborough
3849,Collecting Station,SO NH MEDICAL CENTER CS - PELHAM,33 WINDHAM ROAD,PELHAM,NH,3079,(603) 577-2000,,Rockingham
3952,Collecting Station,SO NH MEDICAL CENTER-SPIT BROOK RD,112 SPIT BROOK ROAD,NASHUA,NH,3062,(603) 577-2000,,HILLSBOROUGH
2681,Collecting Station,SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,10 PROSPECT ST,NASHUA,NH,3060,(603) 577-2000,,HILLSBOROUGH
3483,Collecting Station,SOUTHERN NH MEDICAL CENTER - DW HIGHWAY,696 D W HIGHWAY,Merrimack,NH,3054,(603) 577-2000,,Hillsborough
4121,Collecting Station,SOUTHERN NH MEDICAL CENTER -LIMBO LN,8 LIMBO LANE,AMHERST,NH,3031,(603) 577-2000,,Hillsborough
3091,Collecting Station,SOUTHERN NH MEDICAL CENTER-NW BLVD,29 NORTHWEST BLVD,NASHUA,NH,3063,(603) 577-2000,,HILLSBOROUGH
3107,Collecting Station,ST JOSEPH HOSPITAL AMHERST STREET LAB DRAWING STATION,460 AMHERST STREET,NASHUA,NH,3063,(603) 595-3624,,Hillsborough
3571,Collecting Station,ST JOSEPH HOSPITAL HUDSON LAB DRAWING STATION,208 ROBINSON ROAD,HUDSON,NH,3051,(603) 598-2437,,HILLSBOROUGH
3988,Collecting Station,ST JOSEPH HOSPITAL MILFORD LAB DRAWING STATION,442 NASHUA ST,MILFORD,NH,3055,(603) 673-5625,,Hillsborough
3514,Collecting Station,TAMWORTH FAMILY MEDICINE,577 WHITE MOUNTAIN HWY,TAMWORTH,NH,3886,(603) 323-3311,,CARROLL
4122,Collecting Station,THE CENTER FOR ORTHOPEDICS AND MOVEMENT COLLECTING STATION,7 ALUMNI DR,EXETER,NH,3833,(603) 580-8446,,Rockingham
3508,Collecting Station,THE WD PROFESSIONAL CNTR @ DOVER CS,10 MEMBERS WAY,DOVER,NH,3820,(603) 742-1123,,STRAFFORD
4388,Collecting Station,WENTWORTH-DOUGLASS HOSPITAL LABORATORY SERVICES,67 CORPORATE DR,Portsmouth,NH,3801,(603) 868-8568,,Rockingham
4399,Collecting Station,WHITE MOUNTAIN MEDICAL CENTER,2531 WHITE MOUNTAIN HIGHWAY,SANBORNVILLE,NH,3872,(603) 522-0186,,Carroll
4006,Community Residence (4+ beds),128 B PASSACONAWAY RD,128 B PASSACONAWAY RD,Conway,NH,3818,(603) 447-1973,6,Carroll
3937,Community Residence (4+ beds),128 PASSACONAWAY RD,128 PASSACONAWAY RD,North Conway,NH,3860,(603) 356-0282,6,Carroll
705,Community Residence (4+ beds),AMOSKEAG RESIDENCE,34 BROWN AVENUE,MANCHESTER,NH,3101,(603) 628-7745,12,HILLSBOROUGH
2911,Community Residence (4+ beds),ARBOR VIEW INN,163 SUMMER STREET,NEWPORT,NH,3773,(603) 863-1785,16,SULLIVAN
4417,Community Residence (4+ beds),BARRINGTON RESIDENCE,909 STRAFFORD RD,Barrington,NH,3825,(603) 335-8696,6,Strafford
3783,Community Residence (4+ beds),BAYBERRY HOUSE,5 HOWARD ROAD,CONCORD,NH,3301,(603) 746-7550,6,MERRIMACK
3786,Community Residence (4+ beds),BRICK HOUSE,91 PLEASANT STREET,CONCORD,NH,3301,(603) 746-7550,7,MERRIMACK
2439,Community Residence (4+ beds),COLUMBIA HOUSE,18 STODDARD ROAD,Columbia,NH,3576,(603) 237-8537,6,Coos
4444,Community Residence (4+ beds),DEER RIDGE,87 HORNE RD,Belmont,NH,3220,(603) 573-6387,16,Belknap
1764,Community Residence (4+ beds),EMERALD HOUSE,32 EMERALD STREET,KEENE,NH,3431,(603) 352-6649,10,CHESHIRE
3486,Community Residence (4+ beds),FAIRVIEW RESIDENCE,16 FAIRVIEW STREET,LACONIA,NH,3246,(603) 527-1950,6,BELKNAP
1344,Community Residence (4+ beds),FAIRWEATHER LODGE,463 BREAKFAST HILL RD,GREENLAND,NH,3840,(603) 431-2250,8,Belknap
992,Community Residence (4+ beds),FELLOWSHIP HOUSE,11 CHESLEY STREET,CONCORD,NH,3301,(603) 225-0977,12,MERRIMACK
3960,Community Residence (4+ beds),FRANKLIN FALLS FARM,348 VICTORY DRIVE,FRANKLIN,NH,3235,(603) 934-6700,6,MERRIMACK
1687,Community Residence (4+ beds),GILPIN RESIDENCE,145 HIGH STREET,LITTLETON,NH,3561,(603) 444-3905,6,GRAFTON
3785,Community Residence (4+ beds),GREY HOUSE,93 PLEASANT STREET,CONCORD,NH,3301,(603) 746-7550,8,MERRIMACK
2487,Community Residence (4+ beds),HARBOR AVENUE RESIDENCE,62 HARBOR AVENUE,NASHUA,NH,3060,(603) 882-2042,5,HILLSBOROUGH
1464,Community Residence (4+ beds),HARBOR HOMES III INC,156 CHESTNUT ST,NASHUA,NH,3060,(603) 882-2355,10,HILLSBOROUGH
709,Community Residence (4+ beds),HARBOR HOMES INC,3 WINTER STREET,NASHUA,NH,3060,(603) 595-8601,9,HILLSBOROUGH
3961,Community Residence (4+ beds),HOPE AVE RESIDENCE,25 HOPE AVENUE,CONCORD,NH,3301,(603) 224-3562,6,MERRIMACK
722,Community Residence (4+ beds),HUDSON HOUSE,112 MUSQUASH RD,HUDSON,NH,3051,(603) 889-0652,4,HILLSBOROUGH
4419,Community Residence (4+ beds),IONA HOUSE,1172 GIBBONS HIGHWAY,Wilton,NH,3086,(603) 878-2325,6,Hillsborough
4460,Community Residence (4+ beds),ISAAC HOUSE,997 ISAAC FRYE HWY,Wilton,NH,3086,(603) 722-8428,4,Hillsborough
4392,Community Residence (4+ beds),KACIE LANE,16 KACIE LANE,Danville,NH,3819,(603) 382-0677,4,Rockingham
801,Community Residence (4+ beds),KEARSARGE COMMUNITY RESIDENCE,138 KEARSARGE RD,NORTH CONWAY,NH,3860,(603) 356-2032,11,CARROLL
3280,Community Residence (4+ beds),KEARSARGE ROAD (426),426 KEARSARGE ROAD,North Conway,NH,3860,(603) 356-8514,4,Carroll
2761,Community Residence (4+ beds),LACONIA DEVELOPMENTAL SERVICES/DRF,54 GREEN STREET,LACONIA,NH,3246,(603) 528-5986,6,BELKNAP
4052,Community Residence (4+ beds),MAPLE LODGE,787 MAPLE ST,Bethlehem,NH,3574,(603) 869-0027,8,Grafton
4514,Community Residence (4+ beds),MAURA COMMUNITY RESIDENCE,69 TAMWORTH ROAD,Tamworth,NH,3886,(603) 323-7107,4,Carroll
4231,Community Residence (4+ beds),MOBILE CRISIS RESPONSE TEAM,293 WILSON ST,Manchester,NH,3103,(800) 688-3544,4,Hillsborough
3573,Community Residence (4+ beds),NEURORESTORATIVE NEW HAMPSHIRE,6 KING ROAD,CHICHESTER,NH,3258,(603) 798-3376,8,Merrimack
4039,Community Residence (4+ beds),NEURORESTORATIVE NH NOTTINGHAM,98 NOTTINGHAM RD,DEERFIELD,NH,3037,(603) 463-1053,6,Rockingham
4060,Community Residence (4+ beds),NEURORESTORATIVE NH-FREEDOM HOUSE,269 VILLAGE RD,FREEDOM,NH,3836,(603) 539-1073,5,Carroll
4002,Community Residence (4+ beds),NEURORESTORATIVE NH-HEMLOCK HILL,45 HEMLOCK HILL DR,Loudon,NH,3307,(603) 961-0020,4,Merrimack
4061,Community Residence (4+ beds),NEURORESTORATIVE NH-THOMPSON HOUSE,266 EATON RD,Freedom,NH,3836,(603) 539-2699,4,Carroll
4063,Community Residence (4+ beds),NEURORESTORATIVE NH-WENTWORTH HOUSE,70 MOULTONVILLE RD,Center Ossipee,NH,3814,(603) 539-9083,8,Carroll
4101,Community Residence (4+ beds),NEXT STEPS COMMUNITY SERVICES LLC,2444 MAIN STREET,Bethlehem,NH,3574,(603) 530-2148,7,Grafton
4519,Community Residence (4+ beds),NEXT STEPS COMMUNITY SERVICES LLC,4266 PROVINCE LAKE RD,East Wakefield,NH,3830,(603) 871-8111,4,Carroll
2280,Community Residence (4+ beds),ORFORD ROAD RESIDENCE,16 ORFORD ROAD,LYME,NH,3768,(603) 795-4893,10,GRAFTON
1674,Community Residence (4+ beds),OSGOOD ROAD DUPLEX,482 OSGOOD ROAD,MILFORD,NH,3055,(603) 673-5829,4,HILLSBOROUGH
2937,Community Residence (4+ beds),PEASLEE ROAD,26 PEASLEE ROAD,MERRIMACK,NH,3054,(603) 595-9760,4,HILLSBOROUGH
4520,Community Residence (4+ beds),PILLAR HOUSE CRISIS APTS,40 PLEASANT ST,Concord,NH,3301,(603) 226-0817,4,Merrimack
3782,Community Residence (4+ beds),POND PLACE EAST,125 PLEASANT STREET,CONCORD,NH,3301,(603) 746-7550,4,MERRIMACK
3781,Community Residence (4+ beds),POND PLACE WEST,125 PLEASANT STREET,CONCORD,NH,3301,(603) 746-7550,6,MERRIMACK
4369,Community Residence (4+ beds),STAGE COACH,52 LOOP RD,CONCORD,NH,3301,(603) 573-6387,8,Merrimack
4028,Community Residence (4+ beds),START CENTER,46 CORN HILL RD,BOSCAWEN,NH,3303,(603) 225-4153,6,Merrimack
3865,Community Residence (4+ beds),SWETT ST (20),20 SWETT ST,North Conway,NH,3860,(603) 356-0282,4,Carroll
4382,Community Residence (4+ beds),THE EQUESTRIAN,50 MANCHESTER DR,WEBSTER,NH,3303,(603) 573-6387,8,Merrimack
4324,Community Residence (4+ beds),THS BRADFORD,2554 ROUTE 103 BLDG 2,Bradford,NH,3221,(603) 938-5014,4,Merrimack
4266,Community Residence (4+ beds),TRANSITIONAL HOUSING SERVICES BRADFORD,2554 ROUTE 103,Bradford,NH,3221,(603) 938-5014,8,Merrimack
2222,Community Residence (4+ beds),TWITCHELL HOUSE,111 PLEASANT STREET,CONCORD,NH,3301,(603) 226-7505,15,MERRIMACK
3369,Community Residence (4+ beds),VERDUN STREET COMMUNITY RESIDENCE,85 VERDUN STREET,BERLIN,NH,3570,(603) 752-2689,8,COOS
4240,Community Residence (4+ beds),WOODRIDGE LN (14),14 WOODRIDGE LN,North Hampton,NH,3862,(603) 379-2392,4,Rockingham
3784,Community Residence (4+ beds),YELLOW HOUSE,89 PLEASANT STREET,CONCORD,NH,3301,(603) 746-7550,9,MERRIMACK
2033,Educational Health Center,BAIRD HEALTH & COUNSELING CENTER,541 MAIN STREET,NEW LONDON,NH,3257,(603) 526-3621,,MERRIMACK
3164,Educational Health Center,BREWSTER ACADEMY HEALTH CENTER,205 SOUTH MAIN STREET,WOLFEBORO,NH,3894,(603) 569-7121,6,CARROLL
37,Educational Health Center,CLARK HOUSE,325 PLEASANT STREET,CONCORD,NH,3301,(603) 229-4850,14,MERRIMACK
251,Educational Health Center,DICK HALL'S HOUSE,5-7 ROPE FERRY ROAD,HANOVER,NH,3755,(603) 646-9423,10,GRAFTON
2003,Educational Health Center,FRANKLIN PIERCE UNIVERSITY HEALTH SVCS,40 UNIVERSITY  DRIVE,RINDGE,NH,3461,(603) 899-4132,,CHESHIRE
3242,Educational Health Center,HAMILTON FAMILY FOUNDATION,19 CRAWFORD HINMAN WAY,CANAAN,NH,3741,(603) 523-3520,4,GRAFTON
4466,Educational Health Center,HIGH MOWING SCHOOL,222 ISAAC FRYE HWY,Wilton,NH,3086,(603) 654-9408,,Hillsborough
2983,Educational Health Center,HOLDERNESS SCHOOL HEALTH CENTER,33 CHAPEL LANE,HOLDERNESS,NH,3245,(603) 779-5367,4,GRAFTON
39,Educational Health Center,LAMONT HEALTH AND WELLNESS CENTER,10 TAN LANE,EXETER,NH,3833,(603) 777-3420,14,ROCKINGHAM
2832,Educational Health Center,NEW ENGLAND COLLEGE,32 UNION STREET,HENNIKER,NH,3242,(603) 428-2253,,MERRIMACK
3870,Educational Health Center,NEW HAMPTON SCHOOL STUDENT HEALTH CENTER,5 ACADEMIC DR,NEW HAMPTON,NH,3256,(603) 677-3456,,BELKNAP
3165,Educational Health Center,NHTI HEALTH & COUNSELING SERVICES,4 INSTITUTE DRIVE,CONCORD,NH,3301,(603) 230-4043,,MERRIMACK
365,Educational Health Center,PROCTOR ACADEMY HEALTH CENTER,72 NORTH STREET,ANDOVER,NH,3216,(603) 735-6737,5,MERRIMACK
3454,Educational Health Center,QUIBIN STUDENT HEALTH SERVICES,420 MAIN STREET,NASHUA,NH,3060,(603) 897-8295,,HILLSBOROUGH
4300,Educational Health Center,SABRA HAMILTON HEALTH CENTER,30 SCHOOL ST,TILTON,NH,3276,(603) 286-1760,4,Belknap
1616,Educational Health Center,SAINT ANSELM COLLEGE-HEALTH SERVICE,100 ST ANSELM DRIVE,MANCHESTER,NH,3102,(603) 641-7028,,HILLSBOROUGH
4405,Educational Health Center,SHORTRIDGE ACADEMY LLC,619 GOVERNOR'S RD,Milton,NH,3851,(603) 775-3096,,Strafford
3639,Educational Health Center,SNHU HEALTH SERVICES,2500 NORTH RIVER ROAD,MANCHESTER,NH,3106,(603) 645-9679,,MERRIMACK
3403,Educational Health Center,TRACY HEALTH CENTER,51 MAIN STREET,MERIDEN,NH,3770,(603) 469-2055,4,SULLIVAN
3893,End-Stage Renal Dialysis,BEDFORD DIALYSIS,15 CONSTITUTION DRIVE SUITE 1C,BEDFORD,NH,3110,(603) 471-1904,,HILLSBOROUGH
1641,End-Stage Renal Dialysis,CENTRAL NEW HAMPSHIRE KIDNEY CENTER LLC,87 SPRING STREET,LACONIA,NH,3246,(603) 528-3738,,BELKNAP
3896,End-Stage Renal Dialysis,COCHECO RIVER DIALYSIS CENTER,343 SIXTH STREET,DOVER,NH,3820,(603) 742-9765,,STRAFFORD
3580,End-Stage Renal Dialysis,DERRY DIALYSIS,1 ACTION BLVD SUITE 2,LONDONDERRY,NH,3053,(603) 421-9724,,ROCKINGHAM
2748,End-Stage Renal Dialysis,FMC DIALYSIS SERVICES EXETER,"1 HAMPTON ROAD, SUITE 109",EXETER,NH,3833,(603) 777-9931,,ROCKINGHAM
3540,End-Stage Renal Dialysis,FMC STRAFFORD COUNTY,27 STERLING DRIVE,ROCHESTER,NH,3867,(603) 330-0483,,STRAFFORD
4242,End-Stage Renal Dialysis,FRESENIUS KIDNEY CARE OF NASHUA,20 COTTON RD SUITE 101,NASHUA,NH,3063,(603) 577-4547,,Hillsborough
3328,End-Stage Renal Dialysis,FRESENIUS MEDICAL CARE LEBANON,56 ETNA ROAD,LEBANON,NH,3766,(603) 448-5550,,Grafton
3089,End-Stage Renal Dialysis,FRESENIUS MEDICAL CARE OF LANCASTER,173 MIDDLE STREET,LANCASTER,NH,3584,(603) 788-5222,,COOS
3510,End-Stage Renal Dialysis,FRESENIUS MEDICAL CARE OF LONDONDERRY,1F COMMONS DRIVE,LONDONDERRY,NH,3053,(603) 434-4517,,ROCKINGHAM
3902,End-Stage Renal Dialysis,FRESENIUS MEDICAL CARE OF SOUTHERN NH,586 NASHUA STREET UNIT 20 B,MILFORD,NH,3055,(603) 672-6678,,HILLSBOROUGH
3987,End-Stage Renal Dialysis,FRESENIUS MEDICAL CARE ROCKINGHAM COUNTY,19 KEEYWADIN DRIVE,SALEM,NH,3079,(603) 870-0969,,Rockingham
4248,End-Stage Renal Dialysis,MANCHESTER DIALYSIS,903 HANOVER ST,MANCHESTER,NH,3104,(603) 621-4903,,Hillsborough
3875,End-Stage Renal Dialysis,MANCHESTER KIDNEY CENTER,1750 ELM STREET,MANCHESTER,NH,3104,(603) 647-4042,,HILLSBOROUGH
2619,End-Stage Renal Dialysis,MONADNOCK DIALYSIS CENTER,426 B WINCHESTER STREET,KEENE,NH,3431,(603) 357-3600,,CHESHIRE
3862,End-Stage Renal Dialysis,MT WASHINGTON VALLEY DIALYSIS CENTER,21 B POLIQUIN DRIVE,CONWAY,NH,3818,(603) 447-3976,,CARROLL
3097,End-Stage Renal Dialysis,NASHUA DIALYSIS,"38 TYLER ST., SUITE 100",NASHUA,NH,3060,(603) 598-1665,,HILLSBOROUGH
2414,End-Stage Renal Dialysis,NEW HAMPSHIRE KIDNEY CENTER,248 PLEASANT STREET PILLSBURY BLDG,CONCORD,NH,3301,(603) 224-9996,,MERRIMACK
4023,End-Stage Renal Dialysis,ROCKINGHAM COUNTY DIALYSIS,18 PELHAM RD STE 1,SALEM,NH,3079,(603) 870-9487,,Rockingham
3305,End-Stage Renal Dialysis,SEACOAST DIALYSIS CENTER,155 BORTHWICK AVE. SUITE 100,PORTSMOUTH,NH,3801,(603) 436-4567,,ROCKINGHAM
4331,Freestanding Megavoltage Radiation Thera,SEACOAST CANCER CENTER-PORTSMOUTH,121 CORPORATE DR STE 100,PORTSMOUTH,NH,3801,(603) 742-8787,,Rockingham
2877,Home Care - Durable Medical,HERRON AND SMITH,8 INDUSTRIAL PARK DRIVE #20,HOOKSETT,NH,3106,(603) 627-8500,,MERRIMACK
2875,Home Care - Durable Medical,HM MED EQUIP & INFUS SV OF MANCH & SO NH,1050 HOLT AVE UNIT 5,MANCHESTER,NH,31095608,(603) 663-2728,,HILLSBOROUGH
2866,Home Care - Durable Medical,"KEENE MEDICAL PRODUCTS, LLC",5 LANDING RD,ENFIELD,NH,3748,(603) 448-5290,,Grafton
2997,Home Care - Durable Medical,TECH MED INC,114 PERIMETER RD UNIT D,NASHUA,NH,3060,(603) 595-8717,,HILLSBOROUGH
4304,Home Care Service Provider,ABUNDANT BLESSINGS HOME CARE INC,22 COSMAR DR,SANBORNVILLE,NH,3872,(603) 473-2510,,Carroll
3938,Home Care Service Provider,AGE AT HOME,24 HAMMOND ST,CONCORD,NH,3301,(603) 224-6100,,MERRIMACK
4503,Home Care Service Provider,AGING EXCELLENCE,949 WHITTIER HWY,Moultonborough,NH,3254,(207) 329-9075,,Carroll
3948,Home Care Service Provider,AGING EXCELLENCE,125 BREWERY LANE SUITE 8,PORTSMOUTH,NH,3801,(603) 294-0119,,ROCKINGHAM
4461,Home Care Service Provider,ALLIED CAREGIVERS,15 CONSTITUTION DR,Bedford,NH,3110,(603) 477-4369,,Hillsborough
4303,Home Care Service Provider,ALPHA HOME CARE SOLUTIONS INC,20 TECHNOLOGY WAY,NASHUA,NH,3060,(603) 943-7006,,Hillsborough
4496,Home Care Service Provider,ARCADIA NEW ENGLAND,130 CENTRAL AVE STE 105,Dover,NH,3820,(603) 842-5020,,Strafford
3066,Home Care Service Provider,AREA HOME CARE AND FAMILY SERVICES,1320 WOODBURY AVE,PORTSMOUTH,NH,3801,(603) 436-9059,,ROCKINGHAM
4181,Home Care Service Provider,ARMISTEAD SENIOR CARE,127 MASCOMA ST STE 1,LEBANON,NH,3766,(603) 489-5682,,Grafton
3526,Home Care Service Provider,ASCENTRIA IN-HOME CARE,261 SHEEP DAVIS ROAD,CONCORD,NH,3301,(603) 224-3010,,MERRIMACK
4418,Home Care Service Provider,ATTENTIVE CARING AT HOME LLC,107 MAIN ST,HAMPSTEAD,NH,3841,(603) 770-7529,,Rockingham
4462,Home Care Service Provider,BEDSIDE HOME CARE SERVICES LLC,7 ALLARD CT UNIT A,Hudson,NH,3051,(774) 281-4253,,Hillsborough
4380,Home Care Service Provider,BLOOM AND SHINE SERVICES,90 AIRPORT ROAD STE 27,CONCORD,NH,3301,(603) 262-0500,,Merrimack
4416,Home Care Service Provider,BLUE SKY,1087 ELM ST,Manchester,NH,3101,(603) 371-0777,,Hillsborough
4319,Home Care Service Provider,CARE HAVEN LLC,127 MAIN ST #14,NASHUA,NH,3060,(603) 459-8932,,Hillsborough
4196,Home Care Service Provider,CAREPOINT PLUS LLC,530 CHESTNUT ST #1B,MANCHESTER,NH,3101,(603) 647-1000,,Hillsborough
2993,Home Care Service Provider,"CARING WITH A HEART, LLC",609 PORTSMOUTH AVE UNIT 12,Greenland,NH,3840,(603) 571-7473,,Rockingham
4485,Home Care Service Provider,CHRISTINA'S CAREGIVING & HOME HEALTH CARE LLC,502 US-4 STE 2,Enfield,NH,3748,(603) 293-6260,,Grafton
3638,Home Care Service Provider,COLONY HOME CARE,21 UPPER MILE POINT DR,MEREDITH,NH,3253,(6032) 791-5000,,BELKNAP
3735,Home Care Service Provider,COMFORT KEEPERS-KEENE,55 MAIN STREET STE B,KEENE,NH,3431,(603) 352-2227,,CHESHIRE
4506,Home Care Service Provider,COMFORTING HANDS CARE LLC,68 MAIN ST,Northwood,NH,3261,(866) 488-0445,,Rockingham
4348,Home Care Service Provider,COMMONWEALTH NURSING SERVICES,"847 ROGERS ST, STE 201",LOWELL,MA,1852,(978) 459-7771,,Middlesex
4265,Home Care Service Provider,"COMPANION CARE PARTNERS, LLC",727 LAFAYETTE RD STE 6,SEABROOK,NH,3874,(215) 618-2324,,Rockingham
4505,Home Care Service Provider,CONCORD COMPASSIONATE CARE,8 N MAIN ST STE 1C,Concord,NH,3301,(603) 785-6584,,Merrimack
3557,Home Care Service Provider,CURTIS QUALITY CARE LLC,127 ROUTE 28 UNIT 11,Ossipee,NH,3864,(603) 569-2838,,Carroll
4420,Home Care Service Provider,D & S ELDERSERVICES LLC,257 VALLEY RD,Walpole,NH,3608,(603) 313-5691,,Cheshire
4420,Home Care Service Provider,D & S ELDERSERVICES LLC,257 VALLEY RD,Walpole,NH,3608,(603) 313-5691,,Cheshire
4042,Home Care Service Provider,DAVIS CARE GROUP LLC,62 PORTSMOUTH AVE #4,STRATHAM,NH,38850000,(603) 583-4580,,Rockingham
4233,Home Care Service Provider,ELLIE'S FAMILY HOME CARE LLC,595 NH ROUTE 10,ORFORD,NH,3777,(603) 353-9200,,Belknap
4479,Home Care Service Provider,EMINENCE HOME CARE LLC,15 CONSTITUTION DR,Bedford,NH,3110,(603) 635-4444,,Hillsborough
4518,Home Care Service Provider,FCP LIVE-IN LLC,2573 MAIN STREET,Stratford,CT,6615,(877) 845-8527,,Fairfield
3772,Home Care Service Provider,FIRST LIGHT HOME CARE,"940 ROOSEVELT TRL, #6",WINDHAM,ME,4062,(207) 627-1125,,Cumberland
3346,Home Care Service Provider,"FRIENDLY FOLKS, LLC",716 MAIN STREET,DUBLIN,NH,3444,(603) 563-8991,,CHESHIRE
4118,Home Care Service Provider,"HELP AT HOME, LLC",88 PROSPECT ST,White River Junction,VT,5001,(844) 524-9921,,Windsor
4488,Home Care Service Provider,HOME HELPERS,243 S MAIN ST,Laconia,NH,3246,(603) 832-4612,,Belknap
4280,Home Care Service Provider,HOME HELPERS OF LONDONDERRY,3 SANBORN RD 2ND FLOOR UNIT 3,LONDONDERRY,NH,3053,(603) 848-3443,,Belknap
4442,Home Care Service Provider,HOME INSTEAD SENIOR CARE MANCHESTER,100A MIDDLE ST,MANCHESTER,NH,3101,(603) 475-0981,,Hillsborough
4389,Home Care Service Provider,HOMECAREPROS,150 VILLAGE RD,Freedom,NH,3836,(603) 651-9280,,Carroll
4161,Home Care Service Provider,HOMEWATCH CAREGIVERS,70 MAIN ST #410,PETERBOROUGH,NH,3458,(603) 924-5924,,Hillsborough
4423,Home Care Service Provider,IMPRESS HEALTHCARE CORP,814 ELM ST,Manchester,NH,3101,(603) 239-0025,,Hillsborough
