Facility Name,Address,City,Phone Number,Date Accessed,State Facility Type 1 Literal,Capacity,State
The Assisted Living Residences At Hancock Park,164 PARKINGWAY,Quincy,(617) 773-4222,6/28/21,ASSISTED LIVING RESIDENCE,42,MA
The Branches Of Framingham,518 PLEASANT STREET,Framingham,(774) 505-7040,6/28/21,ASSISTED LIVING RESIDENCE,58,MA
The Branches Of Marlboro,421 BOLTON STREET,Marlborough,(508) 841-3923,6/28/21,ASSISTED LIVING RESIDENCE,58,MA
The Branches Of North Attleboro,40 ROBERT F.TONER BLVD,North Attleboro,(508) 455-4095,6/28/21,ASSISTED LIVING RESIDENCE,52,MA
The Cottages At Dartmouth Village,214 SLOCUM ROAD,Dartmouth,(508) 999-0404,6/28/21,ASSISTED LIVING RESIDENCE,88,MA
The Elms At Briarwood,70 BRIARWOOD CIRCLE,Worcester,(508) 852-2670,6/28/21,ASSISTED LIVING RESIDENCE,27,MA
The Enclave Of Franklin,656 KING ST,Franklin,(508) 520-1150,6/28/21,ASSISTED LIVING RESIDENCE,81,MA
The Evergreens,"68 BRIARWOOD CIRCLE, PO BOX 500",Worcester,(508) 852-9065,6/28/21,ASSISTED LIVING RESIDENCE,12,MA
The Falls At Cordingly Dam,2300 WASHINGTON STREET,Newton,(617) 928-0007,6/28/21,ASSISTED LIVING RESIDENCE,89,MA
The Gables At Winchester,299 CAMBRIDGE STREET,Winchester,(781) 756-1026,6/28/21,ASSISTED LIVING RESIDENCE,123,MA
The Gables Of Fitchburg,935 JOHN FITCH HIGHWAY,Fitchburg,(978) 343-8789,6/28/21,ASSISTED LIVING RESIDENCE,47,MA
The Inn At Silver Lake,19 & 21 CHIPMAN WAY,Kingston,(781) 585-4101,6/28/21,ASSISTED LIVING RESIDENCE,86,MA
The Landing At Laurel Lake,600 LAUREL STREET,Lee,(413) 243-4747,6/28/21,ASSISTED LIVING RESIDENCE,53,MA
The Linden At Danvers,200 CONANT STREET,Danvers,(978) 777-5717,6/28/21,ASSISTED LIVING RESIDENCE,114,MA
The Linden At Dedham,391 COMMON STREET,Dedham,(781) 407-7711,6/28/21,ASSISTED LIVING RESIDENCE,113,MA
The Parc At Harbor View Senior Living,46 LINCOLN STREET,Winthrop,(617) 207-3009,6/28/21,ASSISTED LIVING RESIDENCE,73,MA
The Reserve At East Longmeadow,721 PARKER STREET,East Longmeadow,(413) 224-2200,6/28/21,ASSISTED LIVING RESIDENCE,103,MA
The Residence At Cedar Dell,628 OLD WESTPORT ROAD,Dartmouth,(508) 636-0590,6/28/21,ASSISTED LIVING RESIDENCE,78,MA
The Residence At Five Corners,678 DEPOT STREET,Easton,(508) 535-2203,6/28/21,ASSISTED LIVING RESIDENCE,84,MA
The Residence At Freeman Lake,4 TECHNOLOGY DRIVE,North Chelmsford,(978) 458-0099,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
The Residence At Melrose Station,158 ESSEX STREET,Melrose,(781) 620-8990,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
The Residence At Orchard Grove,258 WALNUT ST,Shrewsbury,(508) 841-5735,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
The Residence At Pearl Street,75 PEARL STREET,Reading,(781) 944-9200,6/28/21,ASSISTED LIVING RESIDENCE,83,MA
The Residence At Penniman Hill,276 WHITING STREET,Hingham,(781) 556-8121,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
The Residence At Riverbend,149 COUNTY ROAD,Ipswich,(978) 356-1300,6/28/21,ASSISTED LIVING RESIDENCE,75,MA
The Residence At Sherburne Commons,40 SHERBURNE COMMONS,Nantucket,(508) 228-4080,6/28/21,ASSISTED LIVING RESIDENCE,32,MA
The Residence At Valley Farm,639 POND STREET,Ashland,(508) 532-3197,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
The Residence At Vinnin Square,224 SALEM STREET,Swampscott,(781) 603-0099,6/28/21,ASSISTED LIVING RESIDENCE,84,MA
The Residence At Watertown Square,20 SUMMER STREET,Watertown,(617) 924-8100,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
The Residences At Great Woods,190 MANSFIELD AVENUE,Norton,(508) 285-3355,6/28/21,ASSISTED LIVING RESIDENCE,72,MA
The Rubin Home Assisted Living,50 HOUSTON AVE,Saugus,(781) 558-1909,6/28/21,ASSISTED LIVING RESIDENCE,9,MA
The Saab Residence,1085 VARNUM AVENUE,Lowell,(978) 569-1016,6/28/21,ASSISTED LIVING RESIDENCE,60,MA
The Wellington At Springfield,942 GRAYSON DRIVE,Springfield,(413) 426-9868,6/28/21,ASSISTED LIVING RESIDENCE,91,MA
The Woodlands Inn At Edgewood,575 OSGOOD STREET,North Andover,(978) 725-4102,6/28/21,ASSISTED LIVING RESIDENCE,40,MA
Thirwood Place,237 NORTH MAIN STREET,Yarmouth,(508) 398-8006,6/28/21,ASSISTED LIVING RESIDENCE,69,MA
Traditions Of Dedham,735 WASHINGTON STREET,Dedham,(781) 251-9330,6/28/21,ASSISTED LIVING RESIDENCE,95,MA
Traditions Of Wayland,10 GREEN WAY,Wayland,(508) 358-0700,6/28/21,ASSISTED LIVING RESIDENCE,76,MA
Victorian Health Of Chatham,389 ORLEANS ROAD,Chatham,(508) 945-1211,6/28/21,ASSISTED LIVING RESIDENCE,40,MA
Village At Willow Crossings,25 COBB STREET,Mansfield,(508) 261-1333,6/28/21,ASSISTED LIVING RESIDENCE,104,MA
Visiting Nurse Assisted Living,259 LOWELL STREET,Somerville,(617) 776-9800,6/28/21,ASSISTED LIVING RESIDENCE,97,MA
Waltham Crossings,126 SMITH STREET,Waltham,(781) 466-9912,6/28/21,ASSISTED LIVING RESIDENCE,89,MA
Waterstone At Wellesley,23 WASHINGTON STREET,Wellesley,(781) 235-1614,6/28/21,ASSISTED LIVING RESIDENCE,52,MA
Whaler'S Cove,114 RIVERSIDE AVENUE,New Bedford,(508) 997-2880,6/28/21,ASSISTED LIVING RESIDENCE,120,MA
Whitcomb House,245 WEST STREET,Milford,(508) 634-2440,6/28/21,ASSISTED LIVING RESIDENCE,68,MA
White Oak Cottages,6 LONGWOD DRIVE,Westwood,(781) 320-1999,6/28/21,ASSISTED LIVING RESIDENCE,24,MA
Whitney Place At Natick,3 VISION DRIVE,Natick,(508) 655-5000,6/28/21,ASSISTED LIVING RESIDENCE,88,MA
Whitney Place At Northborough,238 WEST MAIN STREET,Northborough,(508) 393-5655,6/28/21,ASSISTED LIVING RESIDENCE,75,MA
Whitney Place At Northbridge,85 BEAUMONT DRIVE,Northbridge,(508) 234-4769,6/28/21,ASSISTED LIVING RESIDENCE,26,MA
Whitney Place At Sharon,675 SOUTH MAIN STREET,Sharon,(781) 784-0111,6/28/21,ASSISTED LIVING RESIDENCE,88,MA
Whitney Place At Westborough,5 LYMAN STREET,Westborough,(508) 366-3662,6/28/21,ASSISTED LIVING RESIDENCE,60,MA
Whitney Suites At Westborough,ONE LYMAN STREET,Westborough,(508) 366-3662,6/28/21,ASSISTED LIVING RESIDENCE,34,MA
Winchester Mount Vernon House,110 MOUNT VERNON STREET,Winchester,(781) 729-0497,6/28/21,ASSISTED LIVING RESIDENCE,17,MA
Windrose At Weymouth,670 MAIN STREET,Weymouth,(781) 331-5555,6/28/21,ASSISTED LIVING RESIDENCE,50,MA
Windrose At Woburn,857 MAIN STREET,Woburn,(781) 935-3333,6/28/21,ASSISTED LIVING RESIDENCE,33,MA
Windsor Place Of Wilmington,92 WEST STREET,Wilmington,(978) 988-2300,6/28/21,ASSISTED LIVING RESIDENCE,87,MA
Wingate Residences At Boylston Place,615 HEATH STREET,Brookline-Chestnut Hill,(617) 244-6400,6/28/21,ASSISTED LIVING RESIDENCE,48,MA
Wingate Residences At Haverhill,10 RESIDENCES WAY,Haverhill,(978) 912-9250,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Wingate Residences At Melbourne,140 MELBOURNE ROAD,Pittsfield,(413) 499-1992,6/28/21,ASSISTED LIVING RESIDENCE,118,MA
Wingate Residences At Needham,235 GOULD STREET,Needham,(781) 455-9080,6/28/21,ASSISTED LIVING RESIDENCE,91,MA
Wingate Residences At Norton,190 MANSFIELD ROAD,Norton,(508) 285-3355,6/28/21,ASSISTED LIVING RESIDENCE,72,MA
Winter Valley Residences,600 CANTON AVENUE,Milton,(617) 698-3005,6/28/21,ASSISTED LIVING RESIDENCE,16,MA
Wood Haven Senior Living,2580 MAIN STREET,Tewksbury,(978) 657-0800,6/28/21,ASSISTED LIVING RESIDENCE,50,MA
Woodbridge Assisted Living At The Cottages Of Southwick,ONE SAWMILL PARK,Southwick,(413) 569-1945,6/28/21,ASSISTED LIVING RESIDENCE,18,MA
"Youville House Assisted Living Residence, Inc.",1573 CAMBRIDGE STREET,Cambridge,(617) 491-1234,6/28/21,ASSISTED LIVING RESIDENCE,95,MA
Youville Place,10 PELHAM ROAD,Lexington,(781) 861-3535,6/28/21,ASSISTED LIVING RESIDENCE,94,MA
Zelma Lacey House,9 WEST SCHOOL STREET,Boston-Charlestown,(617) 241-0328,6/28/21,ASSISTED LIVING RESIDENCE,66,MA
