Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code
Divine Grace Assisted Living Home,101438,5,Lea Gabo Mina,727-5986,lmina869@gmail.com,7940 Ladasa Place,Anchorage,99507
Divine Mercy ALH,100397,5,"Divine Mercy ALH, LLC.",868-8608,rachelpentecostesm@gmail.com,3554 Newcomb Drive,Anchorage,99508
DP Assisted Living Home,101397,1,Dalein Peevy,350-7578,dpassistedliving1@aol.com,1104 Orca St. Unit B,Anchorage,99501
Drelani's Home,101298,2,Andre L. Coleman & Kayelani R. Grey,885-4172,kayelanigrey18@gmail.com,8609 East 10th Aveune Apt #B,Anchorage,99504
Eagle,101211,4,Genacta In-Home Care,907-631-3078,jeanne.owen@genacta.com,5545 S. Irwin Drive #1,Wasilla,99654
Eagle Crest III ALH,100977,5,Belinda and David Baldwin,688-4123,eaglecrest1@me.com,22626 Chamber Lane,Chugiak,99567
Eagle House,101282,2,"All Good Homes, LLC",357-3046,jennifer@allgoodhomesllc.com,2359 W. Eagles Nest Circle,Wasilla,99654
Eagle's Wings II,101078,12,Timothy and Jamie Opperman,385-0485,admin@eagleswingsalh.com,2793 Perimeter Drive,North Pole,99705
"Eagle's Wings, LLC",100924,11,Timothy and Jamie Opperman,385-0485,admin@eagleswingsalh.com,109 E. 5th Avenue,North Pole,99705
Elder Care ALH,100724,5,"Marita Cunanan/ Elder Care ALH, LLC",333-7888,ritzcare@ymail.com,5210 Lionheart Drive,Anchorage,99508
Elena's Place I,99,5,Rodolfo (Rudy) and Teresita Regacho,344-7607,rudyregacho@gmail.com,8551 Arctic Blvd.,Anchorage,99515
Elizabeth Andrews,100177,3,Elizabeth Andrews,338-2123,"applewench49@gmail.com, angelliz414@gmail.com",8481 Majestic Drive,Anchorage,99504
Emerald Inn,101148,3,"All Good Homes, LLC",357-3045,itsallgood777@msn.com,1045 E. Carney Road,Wasilla,99654
Emmanuel Assisted Living Home,101098,2,"Emmanuel Assisted Living Home, INC",750-6785,emmanuelresidentialcare@gmail.com,239 Ina Street,Fairbanks,99701
Emmanuel Assisted Living Home West,101292,5,"Emmanuel Assisted Living Home, Inc.",750-6785,emmanuelassistedlivinghome@gmail.com,70 Steelhead Road,Fairbanks,99709
Entire Care LLC.,101390,2,Tierice Coleman,,entirecare1@protonmail.com,3705 Carleton Avenue,Anchorage,99517
Esperance ALH 2,101319,5,Aminata Palmer,907-929-1321,aminata_39@hotmail.com,3400 Stanford Drive,Anchorage,99508
Esperance Assisted Living,101127,5,Aminata Palmer,,aminiat_39@hotmail.com,2649 Carroll Place #B,Anchorage,99508
Extended Family Alaska LLC,101264,5,Extended Family Alaska LLC,205-7427,EFALSK@yahoo.com,12725 Landmark Street Apt # A,Anchorage,99515
"Extended Family Alaska, Care",101398,2,Deon A. Burns,,efalsk@yahoo.com,805 Merlin Loop,Anchorage,99518
"Extended Family Alaska, Knik",101161,5,Deon Burns,205-7427,dbtruthislife@gmail.com,7293 West Carmel Road,Wasilla,99654
FamaCARE Home 1,100912,3,Modou E. Manneh,646-9118,famacare@hotmail.com,10979 Retreat Circle,Anchorage,99515
FamaCARE Home 2,101061,5,Modou E. Manneh,727-3600,famacare@hotmail.com,1750 Ponds Circle,Anchorage,99507
Family Care Assisted Living LLC,101412,5,Family Care Assisted Living LLC,306-9776,FCALalaska@gmail.com,3120 W. 79th Avenue,Anchorage,99502
FCS - Aliak #1,101422,2,Frontier Community Services,262-6331,afaulkner@fcsonline.org,1701 B E. Aliak #1,Kenai,99611
FCS - Aliak #2,101261,3,Frontier Community Services,262-6331,afaulkner@fcsonline.org,1701 B E. Aliak #2,Kenai,99611
FCS - Coho,100700,4,Frontier Community Services,262-6331,jkamauoha@fcsonline.org,1235 Coho Place,Valdez,99686
FCS - Cottonwood,100111,4,Frontier Community Services,262-6331,jkamauoha@fcsonline.org,825 Cottonwood Drive,Valdez,99686
FCS - Little (Formerly FCS-Irons),100736,3,Frontier Community Services,262-6331,afaulkner@fcsonline.org,143 W. Little Avenue #A,Soldotna,99669
FCS - Riverhills,100109,5,Frontier Community Services,262-6331,afaulkner@fcsonline.org,36680 River Hills Drive,Kenai,99611
FCS - Snowflake,101293,2,Frontier Community Services,262-6331,afaulkner@fcsonline.org,1406 Hedley Drive,Kenai,99611
FCS - St. Andrews,101140,4,Frontier Community Services,262-6331,afaulkner@fcsonline.org,36615 St. Andrews Road,Kenai,99611
FCS - Walnut,101380,3,Frontier Community Services,262-6631,afaulkner@fcsonline.org,1083 Walnut Drive,Kenai,99611
Feathered Nest,101065,2,Feathered Nest Inc.,355-5622,rosslois@mtaonline.net,8270 Mallard Lane,Wasilla,99654
Feh's Humanitarian ALH,101002,3,"Feh's Humanitarian ALH, LLC",887-6007,providencafeh@yahoo.com,2948 Kimberlie Court,Anchorage,99508
Fe's Assisted Living Home,100592,3,Fe Comon & Ventura G Laurio,222-5027,fe.comon@yahoo.com,1841 E. 57th Avenue,Anchorage,99507
Fidelity Assisted Living Home,100774,4,Aurora Preston,229-3717,abpreslee07@yahoo.com,6133 East 12th Avenue,Anchorage,99504
Fine Pearle Assisted Living,100463,5,Fine Pearle LLC,229-3980,finepearle@yahoo.com,1725 Minerva Way,Anchorage,99515
Fine Pearle Too ALH,100883,3,Fine Pearle LLC,229-3980,finepearle@yahoo.com,1743 Minerva Way,Anchorage,99515
Fireweed Assisted Living,100102,1,Betsy & Mark Balts,,mabalts@gmail.com,3140 De Armoun Road,Anchorage,99516
"First Class Home Assisted Living, LLC",101364,5,Lineni Makihele,,linenirosie1@gmail.com,17241 N Juanita Loop,Eagle River,99577
"Fitchetts Assisted Living, LLC",100015,3,"Fitchetts Assisted Living, LLC",242-9698,fitchett61@gci.net,8481 Ridgeway Avenue,Anchorage,99504
"Flourishing Assisted Living Home, Inc.",101289,5,Marivic Blancas,,mblancas26@gmail.com,5815 Buckner Dr.,Anchorage,99504
Forget Me Not Care Home,101350,4,Mary Miller,,texnak10@gmail.com,4519 W Amanda Drive,Wasilla,99623
"Forget Me Not Homes, LLC",101395,3,David Groat and Kristal Steele,631-2097,forgetmenothomes907@gmail.com,2650 N. Garnet Lane,Wasilla,99654
FRA - Condor Residence,101067,9,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,4455 Condor Court,Fairbanks,99709
FRA - Craig Residence,100188,4,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,430 Craig Street,Fairbanks,99701
FRA - Erickson Residence,100160,4,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,3747 Erickson Avenue,Fairbanks,99701
FRA - Flodin Residence,101068,9,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,2980 Mack Boulevard,Fairbanks,99709
FRA - Ruby Residence,361700,5,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,2505 Ruby Avenue,Fairbanks,99701
FRA - Slater Residence,100151,4,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,594 Slater Drive,Fairbanks,99701
FRA - Tamarack I Residence,101069,8,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,1616 Tamarack Street,Fairbanks,99709
FRA - Tamarack II Residence,101070,9,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,1608 Tamarack Street,Fairbanks,99709
FRA - Turner Residence,100345,4,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,11 Steelhead Road,Fairbanks,99701
FRA - Wright Residence,101071,10,Fairbanks Resource Agency,456-8901,emily@fra-alaska.net,721 East 8th Avenue,North Pole,99705
"Freedom Estate Assisted Living, LLC.",101313,5,"Freedom Estate Assisted Living, LLC.",252-7990,vasyandjenny@yahoo.com,36872 Bradford Rd.,Sterling,99672
Freedom House,100807,5,Abdoukarim Mboge,868-3099,abdoukarimmboge@yahoo.com,5876 Kennyhill Drive,Anchorage,99504
Freedom House ALH II,100982,5,Abdoukarim Mboge,868-1054,cbenta@ymail.com,5807 E. 9th Court,Anchorage,99504
"Friendly Empire Assisted Living Home, LLC",101439,5,"Friendly Empire Assisted Living Home, LLC",868-3747,friendlyempirealh@gmail.com,2721 W. 29th Ave,Anchorage,99502
Frontier Assisted Living,101222,12,Frontier Assisted Living LLC,328-2200,lynda@frontierseniors.com,1015 Evergreen Street,Fairbanks,99709
Frontier Assisted Living LLC - University West,101346,12,Frontier Assisted Living LLC,328-2200,lynda@frontierseniors.com,4910 Palo Verde,Fairbanks,99709
Frontier Home Health Care,100472,5,Michael A. Brown,337-2332,fhhc@gci.net,7940 Little Dipper Avenue,Anchorage,99504
Frontier Home Health Care - East,100698,5,Michael A. Brown,337-2332,fhhc@gci.net,5710 Cope Street,Anchorage,99518
Frontier Home Health Care - Mirage,101136,4,Michael A. Brown,337-2332,fhhc@gci.net,3651 Mirage Circle,Anchorage,99504
Frontier Home Health Care - Tranquil,101245,5,Michael Brown,333-6620,fhhc@gci.net,4621 Chelsea Way,Anchorage,99504
Fuerstenau ALH,100460,1,David Fuerstenau,225-2842,djfuerstenau@kpunet.net,426 Buren Road,Ketchikan,99901
Fulani Assisted Living Home,100880,2,Momodou Jallow,310-3417,moisa09@yahoo.com,2591 Lyvona Lane,Anchorage,99502
Full Circle ALH,100802,2,Jackie Shuravloff,644-8254,mickshur@yahoo.com,1510 Lily Pond Circle,Anchorage,99507
Full Life Assisted Living & Group Home,101370,2,Justin Wood,,full.life.ak@gmail.com,12309 Gara Drive,Kodiak,99615
Gentle Hands Care,101338,4,"Gentle Hands Care Assisted Living Home, LLC.",201-1985,gentlehandscarealhllc@gmail.com,4092 W. Marble Way,Wasilla,99654
Gentle Loving Care Assisted Living Home,101291,5,Flory Tapulgo,891-4118,florytapulgo@gmail.com,1504 Rosemary St.,Anchorage,99508
Glacier Assisted Living Home,101126,5,Andrew and Patricia Weiss LLC,332-0007,apbweiss@yahoo.com,7913 E. 20th Avenue,Anchorage,99504
"Glorious Life ALH, LLC.",100438,4,"Glorious Life ALH, LLC",341-3277,joeros@gci.net,16641 Marcus Street,Eagle River,99577
"Golden Agers Homecare, LLC.",101194,5,"Golden Agers Homecare, LLC.",631-4222,goldenagershomecarellc@gmail.com,591 East Susitna Avenue,Wasilla,99654
"Golden Age's Manor, LLC.",101188,10,"Golden Age's Manor, LLC.",885-8002,goldenagesmanor@yahoo.com,309 E. 24th Avenue,Anchorage,99503
Golden Friendship Home for Elderly,101087,5,"Golden Friendship Home for Elderly, LLC",248-5276,Corral_abigail@hotmail.com,9221 Aphrodite Drive,Anchorage,99515
Golden Hearts Agency - Blackberry,100738,3,Golden Hearts Incorporated,344-2729,dgoldenhearts@aol.com,3442 West 64th Avenue,Anchorage,99502
Golden Hearts Agency - Concord,100295,5,Golden Hearts Incorporated,344-2729,dgoldenhearts@aol.com,2961 Concord Lane,Anchorage,99502
Golden Hearts Agency- Lavender House,101182,5,Golden Hearts Incorporated,334-2729,dgoldenhearts@aol.com,3313 W. 79th Avenue,Anchorage,99502
"Golden Hearts ALH, LLC",101057,5,"Golden Hearts Assisted Living Home, LLC",342-5937,goldenheartsalh@yahoo.com,3300 East 15th Ave. #1,Anchorage,99508
Golden Sunrise ALH,101372,5,Golden Years LLC,907-301-4646,rmuhlenbruch@gci.net,2941 Morgan Loop,Anchorage,99516
Good Grace ALH II,101007,5,Julie and Cornelion Pentecostes,332-1862,pentecostesjuly@yahoo.com,6700 Howard Avenue,Anchorage,99504
Good Samaritan ALH,156,5,Rudy and Teresita Regacho,336-9090,rudyregacho@gmail.com,8611 Arctic Blvd. #1,Anchorage,99515
GR Home,101416,2,"General Relief Care, Incorparated",382-8087,cullenhayes28@yahoo.com,3421 W 64th Ave Unit 1,Anchorage,99502
Grace of God ALH,101326,5,Elena and Eduardo Canlas,250-9404,canlaselena@yahoo.com,1311 W. 40th Ave,Anchorage,99503
Graceful Living ALH I,131,5,"Graceful Living, LLC",338-3135,gracefulliving2017@gmail.com,6600 E 11th Avenue,Anchorage,99504
Granny's Log Cabin Inc.,100785,12,Granny's Log Cabin Inc.,631-3261,sherry.butters@gmail.com,3041 Cambay Court,Wasilla,99654
Graystone Assisted Living Home LLC,101308,5,Graystone Assisted Living Home LLC,331-8545,amiensanneh@yahoo.com,922 Cherry Street,Anchorage,99504
Guardian Angel ALH,101299,2,Dorothy 'Denise' Cole,885-4715,dndalh01@gmail.com,8403 Mentra Street,Anchorage,99518
Gugy's Assisted Living Home,101190,12,"Sunshine Haven Assisted Living Home, LLC.",887-4416,gugyalh@gmail.com,4316 Dale Street Unit D,Anchorage,99508
Guiding Light Assisted Living Home,100652,5,"Guiding Light Assisted Living, LLC",696-5545,guidinglight61@gmail.com,11522 Aurora Street,Eagle River,99577
"H & L Assisted Living, LLC",101324,5,"H & L Assisted Living, LLC",222-9991,hnlassistedliving@gmail.com,2401 E. 68th Ave Unit 2,Anchorage,99507
Haines Assisted Living,100793,10,Haines Assisted Living Inc.,766-3616,jstudley@hainesassistedliving.org,219 Union Street,Haines,99827
Hale Ohana,100573,5,Leilanie Corpuz,677-0326,ilynnec@yahoo.com,4715 Malibu Road,Anchorage,99517
Hale Wai Nani,100847,5,Dan Corpuz,952-4541,oipus@yahoo.com,1054 E. 28th Avenue,Anchorage,99508
Hamme Assisted Living Home,100330,2,David Hamme,355-0260,davidhamme61@gmail.com,13740 North Willow Lake Drive,Willow,99688
"Happy Haven 1 ALH, LLC",101340,4,Michelle McGraw,232-2700,ms.michelle11e@hotmail.com,225 E. Danna Ave.,Wasilla,99654
Happy House ALH,100531,5,Mam Jallow,929-5620,yagouj@gci.net,1010 & 1016 W 29th Place,Anchorage,99503
Happy Valley Assisted Living,101187,5,"Happy Valley Assisted Living, LLC",907-567-3419,thenelands@gmail.com,69423 Seitz Avenue,Ninilchik,99639
Happy Valley Assisted Living LLC 2,101387,5,Erica Neland,907-567-3419,,"69323 Seitz Ave., #2",Ninilchik,99639
Harbor View Manor,100719,17,Tranquility Manor LLC,746-4220,bckorman@mtaonline.net,4070 Birch Cove Drive,Wasilla,99654
Hea Lani Assisted Living Home,101167,5,Luz Umayam,808-205-8451,luzumayam@yahoo.com,1756 South Heather Meadows Loop,Anchorage,99507
Heart and Harmony,101036,5,Heart and Harmony LLC,222-1725,mvallangca@yahoo.com,6327 E. 31st. Avenue,Anchorage,99504
Heart of Care,101060,4,Jocelyn Pangilinan,529-8087,heartofcare@yahoo.com,7038 Peck Avenue,Anchorage,99504
Heart of Love Assisted Living Home,101177,5,Crystal Morrison- Grey,854-3298,crystal.morrison38@yahoo.com,1317 O Street,Anchorage,99501
Hearts and Hands of Care,101110,4,"Hearts and Hands of Care, Inc",907-929-5826,eddy@heartsandhandsofcare.com,2030 Brigadier Drive,Anchorage,99507
Hearts and Hands of Care II,101159,2,"Hearts and Hands of Care, Inc",868-3771,eddy@heartsandhandsofcare.com,2431 McKenzie Drive,Anchorage,99517
Hearts and Hands of Care III,101237,4,"Hearts and Hands of Care, Inc",222-3464,eddy@heartsandhandsofcare.com,8393 Duben Avenue,Anchorage,99504
Hearts and Hands of Care V,101243,4,"Hearts and Hands of Care, Inc",745-3544,eddy@heartsandhandsofcare.com,16365 Childers Circle,Palmer,99645
Hearts and Hands of Care VI,101246,5,"Hearts and Hands of Care, Inc",,eddy@heartsandhandsofcare.com,16015 Noble Point Drive,Anchorage,99516
Hearts and Hands of Care VII,101328,4,"Hearts and Hands of Care, Inc",,eddy@heartsandhandsofcare.com,9401 Aphrodite Drive,Anchorage,99515
Hearts and Hands of Care VIII - Salmon House,101363,4,"Hearts and Hands of Care, Inc",,eddy@heartsandhandsofcare.com,6631 E. King Salmon Drive,Wasilla,99654
Heavenly Hands 2,101327,5,"Maria Wells, LLC",952-1178,maria@heavenlyhandsalh.com,324 Dewey Circle,Anchorage,99508
Heavenly Hands ALH,100780,5,Maria Wells,952-1178,maria@heavenlyhandsalh.com,11631 Nix Court - A,Anchorage,99515
Helpful Hands,100979,5,Scotty Jackson,,superscotty6@me.com,3607 Wesleyan Drive,Anchorage,99508
"Heritage Assisted Living Home, LLC",100927,10,"Heritage Assisted Living Home, LLC.",868-1887,heritagealh@hotmail.com,6754 O'Brien Street,Anchorage,99507
"Heritage Home, LLC.",101116,10,"Heritage Home, LLC.",868-1887,heritagealh@hotmail.com,6730 O'Brien Street,Anchorage,99507
Hibiscus ALH,101229,5,Ma Marie Aguilar,306-3414,eiramsolver@gmail.com,2501 Wesleyan Drive,Anchorage,99508
Hickok Assisted Living Home,100961,3,The Hickok Assisted Living Home (ALH) LLC,274-0060,shickok2010@gmail.com,6074 Doncaster Drive,Anchorage,99504
Holy Family ALH II,107,5,"Holy Family Assisted Living, LLC.",360-4844,hfamilycarol46@yahoo.com,1454 Saint Gotthard Street,Anchorage,99508
Holy Family ALH III,187,5,"Holy Family Assisted Living, LLC.",360-4844,hfamilycarol46@yahoo.com,2030 Duke Drive,Anchorage,99508
Home of Love ALH,100441,5,Elena Canlas,868-1156,canlaselena@yahoo.com,7430 Margaret Circle,Anchorage,99518
Home on Mulchatna,100393,3,Brendan McCann,357-6201,sbrdaddy@yahoo.com,1460 Mulchatna Drive,Wasilla,99654
Hope - Alex Court,100517,4,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,37975 Alex Court,Soldotna,99669
Hope - Alma Drive,100281,3,"Hope Community Resources, Inc.",561-5335,alma@hopealaska.org,2760 Alma Drive,Wasilla,99654
Hope - Amber Bay,100301,2,"Hope Community Resources, Inc.",561-5335,amberbay@hopealaska.org,3540 Amber Bay Loop,Anchorage,99515
Hope - Arlene,100222,7,"Hope Community Resources, Inc.",561-5335,arlene@hopealaska.org,8907 Arlene Street,Anchorage,99502
Hope - Barrow,101046,6,"Hope Community Resources, Inc.",561-5335,mmboob@hopealaska.org,5115 Herman Street,Utqiagvik,99723
Hope - Beaver Place,100552,3,"Hope Community Resources, Inc.",561-5335,e20@hopealaska.org,1430 Beaver Place,Anchorage,99504
Hope - Celestial,101386,2,"Hope Community Resources, Inc.",561-5335,,11339 Celestial Court,Eagle River,99577
Hope - Chapel,100362,3,"Hope Community Resources, Inc.",561-5335,chapel@hopealaska.org,12854 Chapel Circle,Anchorage,99516
Hope - Cherokee,100057,2,"Hope Community Resources, Inc.",561-5335,cherokee@hopealaska.org,6830 Cherokee Way,Anchorage,99504
Hope - Colonial Court,100873,5,"Hope Community Resources, Inc.",561-5335,colonial@hopealaska.org,6920 Colonial Court,Anchorage,99502
Hope - Core Court,100801,4,"Hope Community Resources, Inc.",561-5335,chinook@hopealaska.org,3711 Core Court,Anchorage,99502
Hope - Creekside,100890,1,"Hope Community Resources, Inc.",561-5335,creekside@hopealaska.org,7401 E. 6th Avenue. Units 1,Anchorage,99504
Hope - Creekside 2,101394,1,"Hope Community Resources, Inc.",561-5335,,7401 E. 6th Avebye Unit 2,Anchorage,99504
Hope - Daisy Petal,100401,4,"Hope Community Resources, Inc.",561-5335,daisy-petal@hopealaska.org,3470 N. Daisy Petal Circle,Wasilla,99654
Hope - Discovery Bay,101234,2,"Hope Community Resources, Inc.",561-5335,,2815 Discovery Bay Drive,Anchorage,99515
Hope - Dunbar,100800,4,"Hope Community Resources, Inc.",561-5335,dunbar@hopealaska.org,6230 Dunbar Lane,Anchorage,99504
Hope - Eadies Way,100571,4,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,407 Eadies Way,Kenai,99611
Hope - East 145th,100851,3,"Hope Community Resources, Inc.",561-5335,east145@hopealaska.org,4400 E. 145th Avenue,Anchorage,99516
Hope - East 34th,100906,3,"Hope Community Resources, Inc.",561-5335,east34th@hopealaska.org,3246 Sherrie Street,Anchorage,99504
Hope - East 40th,100456,3,"Hope Community Resources, Inc.",561-5335,east40th@hopealaska.org,1503 E. 40th Court,Anchorage,99508
Hope - Evergreen,100274,3,"Hope Community Resources, Inc.",561-5335,evergreen@hopealaska.org,3501 Evergreen Street,Anchorage,99504
Hope - Farm Loop,100216,3,"Hope Community Resources, Inc.",561-5335,farm-loop@hopealaska.org,4401 Farm Loop Road,Palmer,99645
Hope - Forest,101189,9,"Hope Community Resources, Inc.",561-5335,,3400 E. 20th Avenue,Anchorage,99508
Hope - Furrow Ranch,359514,4,"Hope Community Resources, Inc.",561-5335,furrow@hopealaska.org,3911 Furrow Creek Road,Anchorage,99516
Hope - Gardner 3,100647,3,"Hope Community Resources, Inc.",561-5335,gardner@hopealaska.org,3910 Gardner Street Units 2 & 3,Anchorage,99508
Hope - Grandview #2 - Lesko Peanut Butter and Jelly,101268,2,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,40466 Brightside Loop,Soldotna,99669
Hope - Grandview #3 - Lulu Belle,101285,2,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,40444 Brightside Loop,Soldotna,99669
Hope - Grandview #4 - Bright Side Bungalow,101260,2,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,40426 Brightside Loop,Soldotna,99669
Hope - Grandview #5 - Bright Minds Cottage,101267,2,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,40402 Brightside Loop,Soldotna,99669
Hope - Grandview #6 - Man Cave,101269,2,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,40384 Brightside Loop,Soldotna,99669
Hope - Grandview #7 - Maclaren,101280,2,"Hope Community Resources, Inc.",420-3600,shaywood@hopealaska.org,40358 Brightside Loop,Soldotna,99669
Hope - Greendale,350645,3,"Hope Community Resources, Inc.",561-5335,greendale@hopealaska.org,1800 Greendale Drive,Anchorage,99504
Hope - Hidden View,100099,2,"Hope Community Resources, Inc.",561-5335,hidden-view@hopealaska.org,8511 Hidden View Court,Anchorage,99504
Hope - Iceburg,100514,2,"Hope Community Resources, Inc.",561-5335,iceberg@hopealaska.org,655 Iceburg Circle,Wasilla,99654
Hope - Idaho,100371,3,"Hope Community Resources, Inc.",561-5335,idaho@hopealaska.org,419 Idaho Street,Anchorage,99504
Hope - Jade,100065,2,"Hope Community Resources, Inc.",561-5335,jade@hopealaska.org,9310 Jade Street,Anchorage,99502
Hope - Juliana,100029,7,"Hope Community Resources, Inc.",561-5335,juliana@hopealaska.org,8918 Juliana Street,Anchorage,99502
Hope - Lighthouse,100263,2,"Hope Community Resources, Inc.",561-5335,lighthouse@hopealaska.org,900 Lighthouse Court,Anchorage,99515
Hope - Lily Pond,100206,2,"Hope Community Resources, Inc.",561-5335,lilypond@hopealaska.org,1610 Lily Pond Circle,Anchorage,99507
Hope - Lloyd,100050,3,"Hope Community Resources, Inc.",561-5335,lloyd@hopealaska.org,8016 Lloyd Drive,Anchorage,99502
Hope - Lord Baranof,356493,4,"Hope Community Resources, Inc.",561-5335,lord-baranof@hopealaska.org,2715 Lord Baranof Drive,Anchorage,99517
Hope - Maple,101174,5,"Hope Community Resources, Inc.",512-2500,,1115 Selief Lane,Kodiak,99615
Hope - Marian Bay,101421,5,"Hope Community Resources, Inc.",561-5335,mbarbaza@hopealaska.org,2425 Marian Bay Circle,Anchorage,99515
Hope-  Muir Court,100570,4,"Hope Community Resources, Inc.",561-5335,muir@hopealaska.org,8650 Muir Court,Anchorage,99504
Hope - Northwind,100053,2,"Hope Community Resources, Inc.",561-5335,north-wind@hopealaska.org,8321 Northwind Drive,Anchorage,99504
Hope - Nugget Lane,361791,3,"Hope Community Resources, Inc.",561-5335,nugget-lane@hopealaska.org,2746 Nugget Lane,Anchorage,99516
Hope - Perenosa,100494,3,"Hope Community Resources, Inc.",561-5335,perenosa@hopealaska.org,3791 Perenosa Circle,Anchorage,99515
Hope - Phoenix Way,100972,2,"Hope Community Resources, Inc.",561-5335,phoenix@hopealasaka.org,1705 Resurrection Blvd.,Seward,99664
Hope - Pioneer Muldoon,100280,2,"Hope Community Resources, Inc.",561-5335,pioneer-anc@hopealaska.org,8350 Pioneer Drive,Anchorage,99504
Hope - Pioneer Parkway,100051,4,"Hope Community Resources, Inc.",561-5335,pioneer-mat@hopealaska.org,340 Pioneer Parkway,Palmer,99645
Hope - Pribilof,100112,2,"Hope Community Resources, Inc.",561-5335,pribilof@hopealaska.org,2811 Pribilof Street,Anchorage,99517
Hope - Raspberry,100114,3,"Hope Community Resources, Inc.",561-5335,raspberry@hopealaska.org,6905 Arlene Street,Anchorage,99502
Hope - Resolution Bay,100088,4,"Hope Community Resources, Inc.",561-5335,resolution@hopealaska.org,2750 Resolution Bay,Wasilla,99654
Hope - Resurrection,100179,2,"Hope Community Resources, Inc.",561-5335,resurrection@hopealaska.org,1707 Resurrection Blvd.,Seward,99664
Hope - Ruby,100043,2,"Hope Community Resources, Inc.",561-5335,ruby@hopealaska.org,2741 Ruby Drive,Anchorage,99502
Hope - Sandy Place,100334,3,"Hope Community Resources, Inc.",561-5335,sandy-place@hopealaska.org,8324 Sandy Place A,Anchorage,99507
Hope - Saratoga,100874,4,"Hope Community Resources, Inc.",561-5335,saratoga@hopealaska.org,2036 Saratoga Avenue,Anchorage,99517
Hope - Seal Point,100164,5,"Hope Community Resources, Inc.",561-5335,seal-point@hopealaska.org,9130 Seal Point Circle,Anchorage,99507
Hope - Seclusion,100117,2,"Hope Community Resources, Inc.",333-3403,seclusion@hopealaska.org,8108 Seclusion Drive,Anchorage,99504
Hope - Selief,101108,6,"Hope Community Resources, Inc.",512-2500,codavis@hopealaska.org,1117 Selief Lane,Kodiak,99615
Hope - Shenandoah,100052,2,"Hope Community Resources, Inc.",561-5335,shenandoah@hopealaska.org,12230 Shenandoah Road,Anchorage,99516
Hope - Sherrie Street,356644,5,"Hope Community Resources, Inc.",561-5335,sherrie-street@hopealaska.org,3424 Sherrie Street,Anchorage,99504
Hope - Sherwood,359839,2,"Hope Community Resources, Inc.",561-5335,sherwood@hopealaska.org,6820 Sherwood Avenue,Anchorage,99504
Hope - Shorecrest,360004,4,"Hope Community Resources, Inc.",561-5335,shorecrest@hopealaska.org,9300 Shorecrest Drive,Anchorage,99502
Hope - Solar Drive,358124,4,"Hope Community Resources, Inc.",561-5335,solar@hopealaska.org,8520 Solar Drive,Anchorage,99507
Hope - Sunrise,232051,5,"Hope Community Resources, Inc.",561-5335,sunrise@hopealaska.org,1677 Sunrise Drive,Anchorage,99508
Hope - Tudor 1,100771,2,"Hope Community Resources, Inc.",561-5335,tudor@hopealaska.org,8011 Northwind Avenue #1,Anchorage,99504
Hope - Tudor 2,101393,2,"Hope Community Resources, Inc.",561-5335,,8011 Northwind Avenue #2,Anchorage,99504
Hope - Turpin,100062,2,"Hope Community Resources, Inc.",561-5335,turpin@hopealaska.org,1406 Turpin Street,Anchorage,99504
Hope - Vassar,100752,5,"Hope Community Resources, Inc.",561-5335,vassar@hopealaska.org,3581 Vassar Drive,Anchorage,99508
Hope - Viburnum,100359,3,"Hope Community Resources, Inc.",561-5335,viburnum@hopealaska.org,7041 Viburnum Drive,Anchorage,99507
Hope - Viewcrest,361520,5,"Hope Community Resources, Inc.",512-2500,codavis@hopealaska.org,3194 Viewcrest Lane,Kodiak,99615
Hope - Watson,100957,4,"Hope Community Resources, Inc.",561-5335,tomwatson@hopealaska.org,1000 N. Tom Watson Place,Wasilla,99654
Hope - West 42nd #2,100458,2,"Hope Community Resources, Inc.",561-5335,west42@hopealaska.org,420 W. 42nd Avenue #2,Anchorage,99503
Hope - West 75th,100740,2,"Hope Community Resources, Inc.",561-5335,west75@hopealaska.org,716 W. 75th Avenue,Anchorage,99515
Hope - West 79th,100039,2,"Hope Community Resources, Inc.",561-5335,west-79@hopealaska.org,3510 W. 79th Avenue,Anchorage,99502
Hope - Whale Bay,100104,2,"Hope Community Resources, Inc.",561-5335,whale-bay@hopealaska.org,10011 Whale Bay Circle,Anchorage,99515
Hope - Winners Circle,360078,3,"Hope Community Resources, Inc.",561-5335,winners-circle@hopealaska.org,1100 Winners Circle,Anchorage,99518
