Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code,Date Accessed,State Facility Type 1 Literal,State
Carel Ii Assisted Living Home Llc,101040,5,CAREL II ASSISTED LIVING HOME LLC,677-2645,epentecostes@gmail.com,2988 GLACIER STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
"Caring Bridges Assisted Living Home, Inc.",200,16,"CARING BRIDGES ASSISTED LIVING HOME, INC.",479-0360,oakdale@acsalaska.net,107 7TH AVENUE UNIT 1,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
"Caring Hands And Homes, Ltd.",101160,5,"CARING HANDS AND HOMES, LTD.",699-8581,mattdobbs569@gmail.com,2935 N. CHURCH ROAD #A,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Caring Hands Assisted Living,101047,10,ELISA WINCHESTER,202-0559,caringhands413@gmail.com,174 W. SPRUCE AVENUE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Caritas Assisted Living Home,100540,4,"CARITAS ASSISTED LIVING HOME, INC.",929-4819,jopenpk@yahoo.com,1720 ADONIS DRIVE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
"Caritas Assisted Living Home Ii, Inc.",100767,5,"CARITAS ASSISTED LIVING HOME, INC.",929-4819,jopenpk@yahoo.com,1307 W. 46TH AVENUE,Anchorage,99503,8/2/21,ASSISTED LIVING HOME,AK
Carmelite Home,100955,5,AINA FOWLER,336-1296,asianpop23@yahoo.com,3963 SCENIC VIEW,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Casa Bella Assisted Living Home,101376,2,"CASA BELLA ASSISTED LIVING HOME, LLC.",727-6092,katherine.forest@yahoo.com,2630 KINGSBRIDGE CIRCLE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Chadellynh Home,100665,5,"CHADELLYNH HOME, LLC",764-9223,mariloualonso@hotmail.com,2940 COLUMBIA STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Chandler Alh,100858,1,CECILIA CHANDLER,225-1174,alaskan_china@icloud.com,11 LODE LANE,Ketchikan,99901,8/2/21,ASSISTED LIVING HOME,AK
Charis Place Assisted Living,101027,90,"JAC ENTERPRISES, INC.",335-2052,charisplace@gmail.com,701 N FOREST DRIVE,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Charis Place Assisted Living #3,101383,6,"JAC ENTERPRISES, INC.",335-2052,charisplace@gmail.com,701 N FOREST DRIVE BLD. #3,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Charis Place Assisted Living #4,101384,6,"JAC ENTERPRISES, INC.",335-2052,charisplace@gmail.com,701 N FOREST DRIVE BLD. #4,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Charisse'S Helping Hands Assistant Living Home 2,101389,2,SAUDA ABDUL-HAQQ & CHARISSE MATTHEWS,,sauda3.sah@gmail.com,524 NORTH PARK STREET #2,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Charlena Angel Assisted Living Home,101408,2,RANDALL DARGAN,222-4652,alaskadargan@gmail.com,9601 NEWHAVEN LOOP,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Chesser Assisted Living Home,100313,2,DEANNA/RUSSEL CHESSER,399-1235,rddcr@acsalaska.net,35020 SCANDINAVIAN DRIVE,Anchor Point,99556,8/2/21,ASSISTED LIVING HOME,AK
Chugiak Senior Citizens,12,21,"CHUGIAK SENIOR CITIZENS', INC.",688-2661,assistedliving@mtaonline.net,22424 BIRCHWOOD LOOP,Chugiak,99567,8/2/21,ASSISTED LIVING HOME,AK
Cindy & Vic'S Blessings Bungalow,101104,4,"CINDY & VIC'S R&R, INC.",230-3618,cindy@cindyandvics.com,2324 MARIAN BAY CIRCLE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Cindy & Vic'S Harmony House,100915,4,"CINDY & VIC'S R&R, INC.",230-3618,cindy@cindyandvics.com,7801 LADASA PLACE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Cindy & Vic'S Joyful Joint,101010,4,"CINDY & VIC'S R&R, INC.",230-3618,cindy@cindyandvics.com,4041 RED TALON CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Cindy & Vic'S Peace Place,100975,4,"CINDY & VIC'S R&R, INC.",244-8427,cindy@cindyandvics.com\mailto:vic@cindyandvics.com,4134 RED TALON CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Cindy And Vic'S Kincaid Cottage,101429,2,"CINDY AND VIC'S R& R, INC.",,,5916 BIG BEND LOOP,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Cindy And Vic'S Wilderness Retreat,101192,2,"CINDY AND VIC'S R&R, INC.",,,12305 WILDERNESS RD,Anchorage,99516,8/2/21,ASSISTED LIVING HOME,AK
Cjw Healthcare,101402,5,WILLIE ZAMORA,644-3044,phoebecervas@icloud.com,343 EGAVIK DRIVE,Anchorage,99503,8/2/21,ASSISTED LIVING HOME,AK
Clearfield Assisted Living Home,100820,5,RODOLFO RAFAEL SR.,334-9497,rodolforafael@rocketmail.com,7673 WINCHESTER STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Clearview Haven Assisted Living Home,176,5,JAIME ATHERTON,224-5220,clearview@gci.net,33343 WINTERSET CIRCLE,Seward,99664,8/2/21,ASSISTED LIVING HOME,AK
"Clouds Rest Commons, Inc.",100687,5,"CLOUDS REST COMMONS, INC.",376-3495,paulhartig@gmail.com,5772 E. MORNING MIST DRIVE,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
Coles Cares,101314,2,DAVID COLE,222-2515,colecaresak@gmail.com,2022 TERREBONNE LOOP,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Colony House Assisted Living,100604,12,"COLONY HOUSE, INC.",354-5483,colonymanor@mac.com,2801 E. BOGARD ROAD,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Colony Manor,196,5,"COLONY MANOR ASSISTED LIVING CARE CENTERS, CORP.",373-1880,colonymanor@mac.com,1715 N DRIFTWOOD CIRCLE,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
Colony Manor At Creekside,268,5,"COLONY MANOR ASSISTED LIVING CARE CENTERS, CORP.",373-1880,colonymanor@mac.com,1998 CREEKSIDE DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Colony Manor At Village Park,100649,5,"COLONY MANOR ASSISTED LIVING CARE CENTERS, CORP.",373-1880,colonymanor@mac.com,2051 PORCUPINE TRAIL,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Comfort Assisted Living Ii,300,5,COMFORT ALH INC.,351-9870,calhljk@gmail.com,7390 WINCHESTER STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Comfort Assisted Living Iii,299,5,COMFORT ALH INC.,351-9870,calhljk@gmail.com,7370 WINCHESTER STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Compassionate Care Alh,101414,5,KATHLEEN CORLETO,,compassionatecarealh@yahoo.com,3180 AMANDA GAYLE CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Cotter'S Assisted Living Home,100414,2,NOEL COTTER,745-1260,noel.mak@hotmail.com,2060 NORTH PALOMINO LANE,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
Creative Care Assisted Living Home,100934,4,CAROLYNN SMITH & DENNIS SMITH,903-0443,carolynn.laliberte@yahoo.com,11401 THUNDERBRUSH CIRCLE,Anchorage,99516,8/2/21,ASSISTED LIVING HOME,AK
Creekside Assisted Living,101210,5,"HOWARD HOUSE, LLC",333-4454,creeksideassistedliving@yahoo.com,7710 MARYLAND AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Crossroads Assisted Living,100268,16,DONNA RUTH AND ROBERT SCHWARTZ,529-7800,crossroadsal@gci.net,5316 E. 24TH AVENUE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Crossroads Counseling And Training (Ccats) 1,100497,12,CROSSROADS COUNSELING AND TRAINING SERVICES,455-9737,nnelson@crossroadcounseling.org,1509 24TH AVENUE,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Crossroads Counseling And Training (Ccats) 2,100668,3,CROSSROADS COUNSELING AND TRAINING SERVICES,455-9737,nnelson@crossroadcounseling.org,1021 AKIAK AVENUE,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Crossroads Counseling And Training (Ccats) 3,101316,5,CROSSROADS COUNSELING AND TRAINING SERVICES,455-9737,nnelson@crossroadcounseling.org,4655 DRAKE STREET,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Crossroads Counseling And Training (Ccats) 4,101287,2,CROSSROADS COUNSELING AND TRAINING SERVICES,455-9737,nnelson@crossroadcounseling.org,2735 MACK BLVD.,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Crossroads Counseling And Training (Ccats) 5,100886,2,CROSSROADS COUNSELING AND TRAINING SERVICES,455-9737,nnelson@crossroadcounseling.org,1025 AKIAK AVENUE,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Dabakh Assisted Living Home Ii,101333,2,BABA SY,,b.sy01@hotmail.com,1710 S. SALEM DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Dabakh'S Alh,101001,5,BABA SY,350-866-1952,b.sy01@hotmail.com,3760 W. 74TH AVENUE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Darboe'S Assisted Living Home,101407,2,TINEKA WILLIAMS,,mstineka28@gmail.com,7604 MELODY COMMONS COURT,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Day Spring Alh,100848,5,"DAY SPRING ASSISTED LIVING HOME, LLC",947-2890,irenerose.antonio@gmail.com,7001 CLOGIA CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Day Spring Alh Ii,101220,5,IRENEROSE ANTONIO,947-2890,irenerose.antonio@gmail.com,2701 WESLEYAN DRIVE #B,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Dbg-Travis Circle,101332,5,"DE BAND GLOBAL, LLC",313-9278,"masslawal@yahoo.com, masslawal123@gmail.com",7121 TRAVIS CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Debbie'S Assisted Living Home,100671,1,DEBRA A CLARKE,479-8349,dclarke@gci.net,1173 SUNSET DRIVE,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Dehart Assisted Living Home,100086,3,LIANNE HOBBS (FORMERLY SCHWARTZ),745-5065,lianne@gci.net,2930 N. BARRYS RESORT DRIVE,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
"Demeluz Assisted Living Home, Llc",101041,5,"DEMELUZ ASSISTED LIVING HOME, LLC",868-1793,demeluzalh@gmail.com,7231 BERN STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Denali Assisted Living Services,101145,5,AMADOU NDURE,,mattasanneh@hotmail.com,2649 CARROLL PLACE #A,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
"Denali Ridge Assisted Living, Llc.",101124,5,"DENALI RIDGE ASSISTED LIVING, LLC.",315-1415,denaliridge.ak@gmail.com,1450 N. GRUBSTAKE DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Destiny Home Care,101351,2,MELISA MANAS FADHEL,,crystalalh@yahoo.com,8540 CRYSTAL STREET,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Diaz,101092,2,SARA AND CARLOS DIAZ,229-7017,sarasharmain19@yahoo.com,8060 BERRY PATCH DRIVE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Discovery Living Assisted Living - Chinook Home,101235,5,"DISCOVERY LIVING, LLC",440-7259,discoverylivingllc@gmail.com,16845 ELEANORA STREET,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
Divine Grace Assisted Living Home,101438,5,LEA GABO MINA,727-5986,lmina869@gmail.com,7940 LADASA PLACE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Divine Mercy Alh,100397,5,"DIVINE MERCY ALH, LLC.",868-8608,rachelpentecostesm@gmail.com,3554 NEWCOMB DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Dp Assisted Living Home,101397,1,DALEIN PEEVY,350-7578,dpassistedliving1@aol.com,1104 ORCA ST. UNIT B,Anchorage,99501,8/2/21,ASSISTED LIVING HOME,AK
Drelani'S Home,101298,2,ANDRE L. COLEMAN & KAYELANI R. GREY,885-4172,kayelanigrey18@gmail.com,8609 EAST 10TH AVEUNE APT #B,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Eagle,101211,4,GENACTA IN-HOME CARE,907-631-3078,jeanne.owen@genacta.com,5545 S. IRWIN DRIVE #1,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Eagle Crest Iii Alh,100977,5,BELINDA AND DAVID BALDWIN,688-4123,eaglecrest1@me.com,22626 CHAMBER LANE,Chugiak,99567,8/2/21,ASSISTED LIVING HOME,AK
Eagle House,101282,2,"ALL GOOD HOMES, LLC",357-3046,jennifer@allgoodhomesllc.com,2359 W. EAGLES NEST CIRCLE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Eagle'S Wings Ii,101078,12,TIMOTHY AND JAMIE OPPERMAN,385-0485,admin@eagleswingsalh.com,2793 PERIMETER DRIVE,North Pole,99705,8/2/21,ASSISTED LIVING HOME,AK
"Eagle'S Wings, Llc",100924,11,TIMOTHY AND JAMIE OPPERMAN,385-0485,admin@eagleswingsalh.com,109 E. 5TH AVENUE,North Pole,99705,8/2/21,ASSISTED LIVING HOME,AK
Elder Care Alh,100724,5,"MARITA CUNANAN/ ELDER CARE ALH, LLC",333-7888,ritzcare@ymail.com,5210 LIONHEART DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Elena'S Place I,99,5,RODOLFO (RUDY) AND TERESITA REGACHO,344-7607,rudyregacho@gmail.com,8551 ARCTIC BLVD.,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Elizabeth Andrews,100177,3,ELIZABETH ANDREWS,338-2123,"applewench49@gmail.com, angelliz414@gmail.com",8481 MAJESTIC DRIVE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Emerald Inn,101148,3,"ALL GOOD HOMES, LLC",357-3045,itsallgood777@msn.com,1045 E. CARNEY ROAD,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Emmanuel Assisted Living Home,101098,2,"EMMANUEL ASSISTED LIVING HOME, INC",750-6785,emmanuelresidentialcare@gmail.com,239 INA STREET,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Emmanuel Assisted Living Home West,101292,5,"EMMANUEL ASSISTED LIVING HOME, INC.",750-6785,emmanuelassistedlivinghome@gmail.com,70 STEELHEAD ROAD,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Entire Care Llc.,101390,2,TIERICE COLEMAN,,entirecare1@protonmail.com,3705 CARLETON AVENUE,Anchorage,99517,8/2/21,ASSISTED LIVING HOME,AK
Esperance Alh 2,101319,5,AMINATA PALMER,907-929-1321,aminata_39@hotmail.com,3400 STANFORD DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Esperance Assisted Living,101127,5,AMINATA PALMER,,aminiat_39@hotmail.com,2649 CARROLL PLACE #B,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Extended Family Alaska Llc,101264,5,EXTENDED FAMILY ALASKA LLC,205-7427,efalsk@yahoo.com,12725 LANDMARK STREET APT # A,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
"Extended Family Alaska, Care",101398,2,DEON A. BURNS,,efalsk@yahoo.com,805 MERLIN LOOP,Anchorage,99518,8/2/21,ASSISTED LIVING HOME,AK
"Extended Family Alaska, Knik",101161,5,DEON BURNS,205-7427,dbtruthislife@gmail.com,7293 WEST CARMEL ROAD,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Famacare Home 1,100912,3,MODOU E. MANNEH,646-9118,famacare@hotmail.com,10979 RETREAT CIRCLE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Famacare Home 2,101061,5,MODOU E. MANNEH,727-3600,famacare@hotmail.com,1750 PONDS CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Family Care Assisted Living Llc,101412,5,FAMILY CARE ASSISTED LIVING LLC,306-9776,fcalalaska@gmail.com,3120 W. 79TH AVENUE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Aliak #1,101422,2,FRONTIER COMMUNITY SERVICES,262-6331,afaulkner@fcsonline.org,1701 B E. ALIAK #1,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Aliak #2,101261,3,FRONTIER COMMUNITY SERVICES,262-6331,afaulkner@fcsonline.org,1701 B E. ALIAK #2,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Coho,100700,4,FRONTIER COMMUNITY SERVICES,262-6331,jkamauoha@fcsonline.org,1235 COHO PLACE,Valdez,99686,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Cottonwood,100111,4,FRONTIER COMMUNITY SERVICES,262-6331,jkamauoha@fcsonline.org,825 COTTONWOOD DRIVE,Valdez,99686,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Little (Formerly Fcs-Irons),100736,3,FRONTIER COMMUNITY SERVICES,262-6331,afaulkner@fcsonline.org,143 W. LITTLE AVENUE #A,Soldotna,99669,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Riverhills,100109,5,FRONTIER COMMUNITY SERVICES,262-6331,afaulkner@fcsonline.org,36680 RIVER HILLS DRIVE,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Snowflake,101293,2,FRONTIER COMMUNITY SERVICES,262-6331,afaulkner@fcsonline.org,1406 HEDLEY DRIVE,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Fcs - St. Andrews,101140,4,FRONTIER COMMUNITY SERVICES,262-6331,afaulkner@fcsonline.org,36615 ST. ANDREWS ROAD,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Fcs - Walnut,101380,3,FRONTIER COMMUNITY SERVICES,262-6631,afaulkner@fcsonline.org,1083 WALNUT DRIVE,Kenai,99611,8/2/21,ASSISTED LIVING HOME,AK
Feathered Nest,101065,2,FEATHERED NEST INC.,355-5622,rosslois@mtaonline.net,8270 MALLARD LANE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Feh'S Humanitarian Alh,101002,3,"FEH'S HUMANITARIAN ALH, LLC",887-6007,providencafeh@yahoo.com,2948 KIMBERLIE COURT,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Fe'S Assisted Living Home,100592,3,FE COMON & VENTURA G LAURIO,222-5027,fe.comon@yahoo.com,1841 E. 57TH AVENUE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Fidelity Assisted Living Home,100774,4,AURORA PRESTON,229-3717,abpreslee07@yahoo.com,6133 EAST 12TH AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Fine Pearle Assisted Living,100463,5,FINE PEARLE LLC,229-3980,finepearle@yahoo.com,1725 MINERVA WAY,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Fine Pearle Too Alh,100883,3,FINE PEARLE LLC,229-3980,finepearle@yahoo.com,1743 MINERVA WAY,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Fireweed Assisted Living,100102,1,BETSY & MARK BALTS,,mabalts@gmail.com,3140 DE ARMOUN ROAD,Anchorage,99516,8/2/21,ASSISTED LIVING HOME,AK
"First Class Home Assisted Living, Llc",101364,5,LINENI MAKIHELE,,linenirosie1@gmail.com,17241 N JUANITA LOOP,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
"Fitchetts Assisted Living, Llc",100015,3,"FITCHETTS ASSISTED LIVING, LLC",242-9698,fitchett61@gci.net,8481 RIDGEWAY AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Flourishing Assisted Living Home, Inc.",101289,5,MARIVIC BLANCAS,,mblancas26@gmail.com,5815 BUCKNER DR.,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Forget Me Not Care Home,101350,4,MARY MILLER,,texnak10@gmail.com,4519 W AMANDA DRIVE,Wasilla,99623,8/2/21,ASSISTED LIVING HOME,AK
"Forget Me Not Homes, Llc",101395,3,DAVID GROAT AND KRISTAL STEELE,631-2097,forgetmenothomes907@gmail.com,2650 N. GARNET LANE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Fra - Condor Residence,101067,9,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,4455 CONDOR COURT,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Fra - Craig Residence,100188,4,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,430 CRAIG STREET,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Fra - Erickson Residence,100160,4,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,3747 ERICKSON AVENUE,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Fra - Flodin Residence,101068,9,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,2980 MACK BOULEVARD,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Fra - Ruby Residence,361700,5,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,2505 RUBY AVENUE,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Fra - Slater Residence,100151,4,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,594 SLATER DRIVE,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Fra - Tamarack I Residence,101069,8,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,1616 TAMARACK STREET,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Fra - Tamarack Ii Residence,101070,9,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,1608 TAMARACK STREET,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Fra - Turner Residence,100345,4,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,11 STEELHEAD ROAD,Fairbanks,99701,8/2/21,ASSISTED LIVING HOME,AK
Fra - Wright Residence,101071,10,FAIRBANKS RESOURCE AGENCY,456-8901,emily@fra-alaska.net,721 EAST 8TH AVENUE,North Pole,99705,8/2/21,ASSISTED LIVING HOME,AK
"Freedom Estate Assisted Living, Llc.",101313,5,"FREEDOM ESTATE ASSISTED LIVING, LLC.",252-7990,vasyandjenny@yahoo.com,36872 BRADFORD RD.,Sterling,99672,8/2/21,ASSISTED LIVING HOME,AK
Freedom House,100807,5,ABDOUKARIM MBOGE,868-3099,abdoukarimmboge@yahoo.com,5876 KENNYHILL DRIVE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Freedom House Alh Ii,100982,5,ABDOUKARIM MBOGE,868-1054,cbenta@ymail.com,5807 E. 9TH COURT,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Friendly Empire Assisted Living Home, Llc",101439,5,"FRIENDLY EMPIRE ASSISTED LIVING HOME, LLC",868-3747,friendlyempirealh@gmail.com,2721 W. 29TH AVE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Frontier Assisted Living,101222,12,FRONTIER ASSISTED LIVING LLC,328-2200,lynda@frontierseniors.com,1015 EVERGREEN STREET,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Frontier Assisted Living Llc - University West,101346,12,FRONTIER ASSISTED LIVING LLC,328-2200,lynda@frontierseniors.com,4910 PALO VERDE,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
Frontier Home Health Care,100472,5,MICHAEL A. BROWN,337-2332,fhhc@gci.net,7940 LITTLE DIPPER AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Frontier Home Health Care - East,100698,5,MICHAEL A. BROWN,337-2332,fhhc@gci.net,5710 COPE STREET,Anchorage,99518,8/2/21,ASSISTED LIVING HOME,AK
Frontier Home Health Care - Mirage,101136,4,MICHAEL A. BROWN,337-2332,fhhc@gci.net,3651 MIRAGE CIRCLE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Frontier Home Health Care - Tranquil,101245,5,MICHAEL BROWN,333-6620,fhhc@gci.net,4621 CHELSEA WAY,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Fuerstenau Alh,100460,1,DAVID FUERSTENAU,225-2842,djfuerstenau@kpunet.net,426 BUREN ROAD,Ketchikan,99901,8/2/21,ASSISTED LIVING HOME,AK
Fulani Assisted Living Home,100880,2,MOMODOU JALLOW,310-3417,moisa09@yahoo.com,2591 LYVONA LANE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Full Circle Alh,100802,2,JACKIE SHURAVLOFF,644-8254,mickshur@yahoo.com,1510 LILY POND CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Full Life Assisted Living & Group Home,101370,2,JUSTIN WOOD,,full.life.ak@gmail.com,12309 GARA DRIVE,Kodiak,99615,8/2/21,ASSISTED LIVING HOME,AK
Gentle Hands Care,101338,4,"GENTLE HANDS CARE ASSISTED LIVING HOME, LLC.",201-1985,gentlehandscarealhllc@gmail.com,4092 W. MARBLE WAY,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Gentle Loving Care Assisted Living Home,101291,5,FLORY TAPULGO,891-4118,florytapulgo@gmail.com,1504 ROSEMARY ST.,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Glacier Assisted Living Home,101126,5,ANDREW AND PATRICIA WEISS LLC,332-0007,apbweiss@yahoo.com,7913 E. 20TH AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Glorious Life Alh, Llc.",100438,4,"GLORIOUS LIFE ALH, LLC",341-3277,joeros@gci.net,16641 MARCUS STREET,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
"Golden Agers Homecare, Llc.",101194,5,"GOLDEN AGERS HOMECARE, LLC.",631-4222,goldenagershomecarellc@gmail.com,591 EAST SUSITNA AVENUE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
"Golden Age'S Manor, Llc.",101188,10,"GOLDEN AGE'S MANOR, LLC.",885-8002,goldenagesmanor@yahoo.com,309 E. 24TH AVENUE,Anchorage,99503,8/2/21,ASSISTED LIVING HOME,AK
Golden Friendship Home For Elderly,101087,5,"GOLDEN FRIENDSHIP HOME FOR ELDERLY, LLC",248-5276,corral_abigail@hotmail.com,9221 APHRODITE DRIVE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Golden Hearts Agency - Blackberry,100738,3,GOLDEN HEARTS INCORPORATED,344-2729,dgoldenhearts@aol.com,3442 WEST 64TH AVENUE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Golden Hearts Agency - Concord,100295,5,GOLDEN HEARTS INCORPORATED,344-2729,dgoldenhearts@aol.com,2961 CONCORD LANE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Golden Hearts Agency- Lavender House,101182,5,GOLDEN HEARTS INCORPORATED,334-2729,dgoldenhearts@aol.com,3313 W. 79TH AVENUE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
