State Facility Type 1 Literal,License Number,Facility Name,Phone Number,Capacity,County,Address,City,State,Zip Code,Date Accessed,State
ASSISTED LIVING FACILITY,31541,Home Away From Home Inc.,406-293-2768,12,Lincoln,39042 US HWY 2,Libby,MT,59923.0,8/2/21,MT
ASSISTED LIVING FACILITY,13423,Caslen Living Centers Inc-Livingston,406-222-0797,30,Park,1301 WINEGLASS LANE,Livingston,MT,59047.0,8/2/21,MT
ASSISTED LIVING FACILITY,31532,Kenhodro Inc. Dba Frontier Assisted Living Center,406-222-6102,52,Park,121 S 3RD STREET,Livingston,MT,59047.0,8/2/21,MT
ASSISTED LIVING FACILITY,31554,Hi-Line Retirement Center Inc.,406-654-1190,20,Phillips,801 S 3RD ST W,Malta,MT,59538.0,8/2/21,MT
ASSISTED LIVING FACILITY,13175,"Churchill  Retirement Home, Inc",406-282-7631,16,Gallatin,6151 SHADY REST ST,Manhattan,MT,59741.0,8/2/21,MT
ASSISTED LIVING FACILITY,13441,Parkhaven,406-282-7488,62,Gallatin,100 HAMILTON COURT,Manhattan,MT,59741.0,8/2/21,MT
ASSISTED LIVING FACILITY,12892,Cottonwood Care Home,406-232-2273,10,Custer,3420 BRISBON,Miles City,MT,59301.0,8/2/21,MT
ASSISTED LIVING FACILITY,31485,Hearts & Home Assisted Living & Respite Care Llc,406-232-8886,9,Custer,1018 PLEASANT ST.,Miles City,MT,59301.0,8/2/21,MT
ASSISTED LIVING FACILITY,13473,Homestead Homes Inc,406-234-6670,12,Custer,2706 PLEASANT ST,Miles City,MT,59301.0,8/2/21,MT
ASSISTED LIVING FACILITY,13421,Parkview Caring,406-234-9289,9,Custer,106 S STREVELL,Miles City,MT,59301.0,8/2/21,MT
ASSISTED LIVING FACILITY,31477,At Home Also,406-549-8127,12,Missoula,1300 SPEEDWAY AVE,Missoula,MT,59802.0,8/2/21,MT
ASSISTED LIVING FACILITY,13251,At Home Assisted Living,406-549-8127,20,Missoula,1300 SPEEDWAY,Missoula,MT,59802.0,8/2/21,MT
ASSISTED LIVING FACILITY,13252,Edgewood Missoula Senior Living Llc,406-549-9660,25,Missoula,2815 PALMER,Missoula,MT,59802.0,8/2/21,MT
ASSISTED LIVING FACILITY,13398,Flor-Haven Home (Pc),406-542-2598,4,Missoula,433 S 3RD ST W,Missoula,MT,59806.0,8/2/21,MT
ASSISTED LIVING FACILITY,13184,Missoula Health & Rehab,406-549-0988,22,Missoula,3018 RATTLESNAKE DR,Missoula,MT,59802.0,8/2/21,MT
ASSISTED LIVING FACILITY,12636,Pleasant View Personal Care Home,406-728-8675,8,Missoula,4322 W CENTRAL AVE,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,13424,"Quality Assisted Care Inc, Bee Hive Homes Of Missoula #1",406-728-0115,18,Missoula,2406 RIVER RD,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,13502,"Quality Assisted Care Inc, Bee Hive Homes Of Missoula #2",406-721-0549,12,Missoula,2406 RIVER RD,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,13500,"Quality Assisted Care Inc, Bee Hive Homes Of Missoula #3",406-543-0605,14,Missoula,2406 RIVER RD,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,12824,"Quality Assisted Care Inc, Bee Hive Homes Of Missoula #4",406-728-8557,14,Missoula,2406 RIVER RD,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,13498,"Quality Assisted Care Inc, Bee Hive Homes Of Missoula #5",406-721-3446,15,Missoula,2406 RIVER ROAD,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,12789,Rosetta  Assisted Living,406-728-5822,17,Missoula,2810 GREAT NORTHERN LOOP,Missoula,MT,59808.0,8/2/21,MT
ASSISTED LIVING FACILITY,31464,Rosetta Assisted Living - Missoula #2,406-728-5822,17,Missoula,2814 GREAT NORTHERN LOOP,Missoula,MT,59808.0,8/2/21,MT
ASSISTED LIVING FACILITY,31556,Senescence Care Assisted Living: The Vista'S House,406-203-7972,8,Missoula,3677 BRANDON WAY,Missoula,MT,59803.0,8/2/21,MT
ASSISTED LIVING FACILITY,31512,Senescense Care Inc.,406-203-7972,8,Missoula,3000 ST THOMAS DR,Missoula,MT,59803.0,8/2/21,MT
ASSISTED LIVING FACILITY,31536,The Auberge At Missoula Valley,406-542-7009,120,Missoula,3620 AMERICAN WAY,Missoula,MT,59808.0,8/2/21,MT
ASSISTED LIVING FACILITY,13055,The Springs At Missoula,406-273-0101,80,Missoula,3710 AMERICAN WAY,Missoula,MT,59808.0,8/2/21,MT
ASSISTED LIVING FACILITY,31560,La Casa Personal Care,406-765-1669,32,Sheridan,408 LASATER AVENUE,Plentywood,MT,59254.0,8/2/21,MT
ASSISTED LIVING FACILITY,13333,St Joseph Assisted Living,406-883-1011,47,Lake,11 17TH AVE E,Polson,MT,59860.0,8/2/21,MT
ASSISTED LIVING FACILITY,13374,The Pines Of Polson,406-883-1021,12,Lake,405 6TH AVE W,Polson,MT,59860.0,8/2/21,MT
ASSISTED LIVING FACILITY,13532,The Retreat,406-883-4897,15,Lake,1303 RIVENDELL COURT,Polson,MT,59860.0,8/2/21,MT
ASSISTED LIVING FACILITY,13529,The Willows,406-446-1020,25,Carbon,2475 NORTH BROADWAY,Red Lodge,MT,59068.0,8/2/21,MT
ASSISTED LIVING FACILITY,31543,Heartland Assisted Living,406-281-0880,10,Carbon,8874 US HIGHWAY 212,Roberts,MT,59070.0,8/2/21,MT
ASSISTED LIVING FACILITY,31469,"Sunflower Gardens Alf, Inc",406-323-4663,17,Musselshell,1021 3RD STREET EAST,Roundup,MT,59072.0,8/2/21,MT
ASSISTED LIVING FACILITY,31488,Tlc Assisted Living,406-320-0203,10,Musselshell,804 2ND STREET WEST,Roundup,MT,59072.0,8/2/21,MT
ASSISTED LIVING FACILITY,13125,Whispering Pines Personal Care Home,406-323-3212,8,Musselshell,40 HORSETHEIF RD,Roundup,MT,59072.0,8/2/21,MT
ASSISTED LIVING FACILITY,13439,Savage Sunrise Manor,406-776-2040,9,Richland,407 MESA ST SOUTH,Savage,MT,59262.0,8/2/21,MT
ASSISTED LIVING FACILITY,31559,Logan Heath Assisted Living - Shelby Dba Marias Heritage Center,406-434-3290,40,Toole,111 2ND STREET,Shelby,MT,59474.0,8/2/21,MT
ASSISTED LIVING FACILITY,13465,Home Park Assisted Living,406-842-5133,12,Madison,504 RAY LANE,Sheridan,MT,59749.0,8/2/21,MT
ASSISTED LIVING FACILITY,13472,The Lodge At Lone Tree Creek,406-488-4682,40,Richland,1015 7TH AVE SW,Sidney,MT,59270.0,8/2/21,MT
ASSISTED LIVING FACILITY,31529,Closer To Home,406-745-0272,16,Lake,61262 WATSON ROAD,St Ignatius,MT,59865.0,8/2/21,MT
ASSISTED LIVING FACILITY,13470,Pines Of Mission,406-745-1021,22,Lake,320 MISSION DRIVE,St Ignatius,MT,59865.0,8/2/21,MT
ASSISTED LIVING FACILITY,31462,The Living Centre Ltd,406-777-5411,40,Ravalli,63 MAIN,Stevensville,MT,59870.0,8/2/21,MT
ASSISTED LIVING FACILITY,13478,Cherry Hill Assisted Living,406-827-1272,8,Sanders,214 CHURCH STREET,Thompson Falls,MT,59873.0,8/2/21,MT
ASSISTED LIVING FACILITY,31498,Pathways Assisted Living,406-285-5227,11,Gallatin,622 MAIN ST.,Three Forks,MT,59752.0,8/2/21,MT
ASSISTED LIVING FACILITY,31495,"Serenity Point Living, Llc",406-266-3711,10,Broadwater,128 US HWY 12 EAST,Townsend,MT,59644.0,8/2/21,MT
ASSISTED LIVING FACILITY,31497,Silver Springs Assisted Living,406-980-1117,17,Broadwater,35 CARROLL LANE,Townsend,MT,59644.0,8/2/21,MT
ASSISTED LIVING FACILITY,13165,The Springs At Whitefish,406-862-6322,100,Flathead,1001 RIVER LAKES PARKWAY,Whitefish,MT,59937.0,8/2/21,MT
ASSISTED LIVING FACILITY,13281,"Caslen Living Centers Inc, Dba Meadowlark Manor",406-287-5530,16,Jefferson,35 SKYLINE DRIVE,Whitehall,MT,59759.0,8/2/21,MT
ASSISTED LIVING FACILITY,13018,Liberty Place 1,406-287-7996,12,Jefferson,1173 HIGHWAY 55,Whitehall,MT,59759.0,8/2/21,MT
ASSISTED LIVING FACILITY,12705,Liberty Place 2,406-287-2300,10,Jefferson,113 WEST THIRD,Whitehall,MT,59759.0,8/2/21,MT
