State Facility Type 1 Literal,License Number,Facility Name,Phone Number,Capacity,County,Address,"City
","State
","Zip Code
"
Assisted Living Facility,31469,"SUNFLOWER GARDENS ALF, INC",406-323-4663,17,Musselshell,1021 3rd Street East,Roundup,MT,59072
Assisted Living Facility,31488,TLC Assisted Living,406-320-0203,10,Musselshell,804 2nd Street West,Roundup,MT,59072
Assisted Living Facility,13125,WHISPERING PINES PERSONAL CARE HOME,406-323-3212,8,Musselshell,40 HORSETHEIF RD,Roundup,MT,59072
Assisted Living Facility,13439,SAVAGE SUNRISE MANOR,406-776-2040,9,Richland,407 MESA ST SOUTH,Savage,MT,59262
Assisted Living Facility,31559,Logan Heath Assisted Living - Shelby dba Marias Heritage Center,406-434-3290,40,Toole,111 2nd Street,Shelby,MT,59474
Assisted Living Facility,13465,HOME PARK ASSISTED LIVING,406-842-5133,12,Madison,504 RAY LANE,Sheridan,MT,59749
Assisted Living Facility,13472,THE LODGE AT LONE TREE CREEK,406-488-4682,40,Richland,1015 7TH AVE SW,Sidney,MT,59270
Assisted Living Facility,31529,CLOSER TO HOME,406-745-0272,16,Lake,61262 WATSON ROAD,St Ignatius,MT,59865
Assisted Living Facility,13470,PINES OF MISSION,406-745-1021,22,Lake,320 MISSION DRIVE,St Ignatius,MT,59865
Assisted Living Facility,31462,The Living Centre LTD,406-777-5411,40,Ravalli,63 Main,Stevensville,MT,59870
Assisted Living Facility,13478,CHERRY HILL ASSISTED LIVING,406-827-1272,8,Sanders,214 CHURCH STREET,Thompson Falls,MT,59873
Assisted Living Facility,31498,Pathways Assisted Living,406-285-5227,11,Gallatin,622 Main St.,Three Forks,MT,59752
Assisted Living Facility,31495,"Serenity Point Living, LLC",406-266-3711,10,Broadwater,128 US Hwy 12 East,Townsend,MT,59644
Assisted Living Facility,31497,Silver Springs Assisted Living,406-980-1117,17,Broadwater,35 Carroll Lane,Townsend,MT,59644
Assisted Living Facility,13165,THE SPRINGS AT WHITEFISH,406-862-6322,100,Flathead,1001 RIVER LAKES PARKWAY,Whitefish,MT,59937
Assisted Living Facility,13281,"CASLEN LIVING CENTERS INC, DBA MEADOWLARK MANOR",406-287-5530,16,Jefferson,35 SKYLINE DRIVE,Whitehall,MT,59759
Assisted Living Facility,13018,LIBERTY PLACE 1,406-287-7996,12,Jefferson,1173 HIGHWAY 55,Whitehall,MT,59759
Assisted Living Facility,12705,LIBERTY PLACE 2,406-287-2300,10,Jefferson,113 WEST THIRD,Whitehall,MT,59759
