Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Type,Classification
Judson Meadows,39 Swaggertown Road,Schenectady,Glenville,12302,(518) 831-2400,AF0711A,"Baptist Health Enriched Housing Program, Inc.",650-S-009,80,EHP/ALP,NFP
Village Walk A Carlisle Assisted Living Community,131 East Main Street,Suffolk,Patchogue,11772,(631) 503-9000,AF0759A,"Carlisle Patchogue Operator, Inc",700-F-941,146,AH,PPHA
"Briarwood Manor, Inc.",1001 Lincoln Avenue,Niagara,Lockport,14094,(716) 433-1513,AF0457A,"Ferreri, Salvatore",500-F-092,160,AH/ALP,PPHA
Claremont Village ALP,1160 Teller Avenue,Bronx,Bronx,10456,(718) 293-1500,AF0720B,DOJ ALP Operations Associates LLC,020-F-135,70,AH/ALP,PPHA
Samaritan Summit Village,22691 Campus Drive,Jefferson,Watertown,13601,(315) 782-6800,AF0705A,"Samaritan Senior Village, Inc.",330-E-005,120,AH/ALP,NFP
Hamilton Manor Home for Adults,8196 Green Road,Madison,Hubbardsville,13355,(315) 691-4051,AF0052B,8196 Green Road LLC,360-F-010,38,AH,PPHA
Elderwood Village at Vestal,505 Clubhouse Road,Broome,Vestal,13850,(607) 722-3422,AF0137D,"505 Clubhouse Road Operating Company, LLC",030-F-060,116,AH,PPHA
Peregrine's Landing Senior Community,575 Cayuga Creek Road,Erie,Cheektowaga,14227,(716) 893-3000,AF0615A,"Peregrine's Landing, L.L.C",240-S-109,112,EHP,PPHA
The Arbors at Hauppauge,1740 Express Drive South,Suffolk,Hauppauge,11788,(631) 582-3334,AF0388C,"Arcadia Management, Inc.",700-F-916,200,AH,PPHA
Atria Cutter Mill,96 Cutter Mill Road,Nassau,Great Neck,11021,(516) 858-3023,AF0747A,"ATR New York LH, Inc.",400-S-328,130,EHP,PPHA
Arcadia Residence,25 Carrier Street,Sullivan,Liberty,12754,(845) 292-7011,AF0665A,"Greater Adult Neighbors, Inc.",710-F-063,114,AH,PPHA
Inspir Carnegie Hill,1802 2nd Avenue,New York,New York,10128,(646) 978-9040,AF0923A,"Inspir Carnegie Hill, LLC",420-S-397,100,EHP,PPHA
RPH-West,48 Cottage Grove Circle,Monroe,North Chili,14514,(585) 235-9100,AF0667A,"Rochester Presbyterian Home, Inc.",370-E-200,52,AH,NFP
Chai Home,125-02 Ocean Promenade,Queens,Belle Harbor,11694,(718) 634-6100,AF0222B,"Chai Home, LLC",530-F-057,71,AH,PPHA
Samuel F. Vilas Home,61 Beekman Street,Clinton,Plattsburgh,12901,(518) 563-4960,AF0106B,"Plattsburgh ALR, Inc",090-F-005,44,AH,PPHA
Whisper Woods of Smithtown,71 St. Johnland Road,Suffolk,Smithtown,11787,(631) 320-3181,AF0765A,"BSL Smithtown Operations, Inc.",700-F-957,136,AH,PPHA
The Amberleigh,2330-40 Maple Road,Erie,Amherst,14221,(716) 689-4195,AF0743A,"CSL Amberleigh, Inc.",240-S-125,76,EHP,PPHA
Apple Gate Adult Home,400 Ohio Street,Orleans,Medina,14103,(585) 798-3420,AF0443A,"Alan R. Johnson, II  Alan R. Johnson",550-F-004,28,AH,PPHA
Maplewood Commons,1015 Saw Mill River Road,Westchester,Ardsley,10502,(914) 400-1103,AF0627C,"ATR New York LH, Inc.",800-S-149,80,EHP,PPHA
Missionary Sisters of St. Benedict,350 Cuba Hill Road,Suffolk,Huntington,11743,(631) 368-9528,AF0315A,Missionary Sisters Of St. Benedict,700-E-054,60,AH,NFP
Brookdale Ithaca Assisted Living,103 Bundy Road,Tompkins,Ithaca,14850,(607) 256-2580,AF0822A,"SH Ithaca Operator, Inc.",730-S-011,53,EHP,PPHA
Clinton Crest Manor,411 Clinton Street,Yates,Penn Yan,14527,(315) 536-8800,AF0471A,"Harpending Housing, Inc.",910-E-004,42,AH,NFP
Babylon Beach House Home for Adults,23 Yacht Club Road,Suffolk,Babylon,11702,(631) 669-3323,AF0199A,William A. Lockwood William R. Lockwood Scott W. Lockwood Paul M. Lockwood,700-F-131,67,AH,PPHA
The Eliot at Erie Station ALP,10 - 18 John Street,Orange,Middletown,10940,(845) 342-2077,AF0414B,"The Eliot Management Group, LLC",540-F-028,136,AH/ALP,PPHA
"Cedarbrook Village, Incorporated",101 Sitrin Lane,Oneida,New Hartford,13413,(315) 737-2227,AF0666A,"Cedarbrook Village, Inc.",510-S-064,65,EHP/ALP,NFP
Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,(516) 352-4252,AF0361A,"Plattduetsche Altenheim Gesellschaft Von Brooklyn Und Umgegend, Inc.",400-S-290,90,EHP,NFP
The Osborn,101 Theall Road,Westchester,Rye,10580,(914) 925-8200,AF0902A,The Osborn,800-S-141,103,EHP,NFP
Horizons,3132 State Route 21 South,Ontario,Canandaigua,14424,(585) 396-3390,AF0517A,"DePaul Adult Care Communities, Inc.",530-E-051,76,AH/ALP,NFP
Oceanview Manor Home for Adults,3010 West 33rd Street,Kings,Brooklyn,11224,(718) 996-1500,AF0383B,"Oceanview Manor Home for Adults, Inc.",331-F-270,176,AH/ALP,PPHA
Beacon Pointe Memory Care Community,1 Emma Lane,Saratoga,Clifton Park,12065,(518) 371-2200,AF0029C,"Peregrine Properties of Upstate, LLC",640-F-042,52,AH,PPHA
"Millview of Latham, LLC",514 Old Loudon Road,Albany,Cohoes,12047,(518) 785-7788,AF0018B,"Millview of Latham, LLC",000-F-294,55,AH,PPHA
Greece Long Pond Senior Housing,1 GBC Parkway,Monroe,Rochester,14626,(585) 227-3007,AF0734A,"Family Service of Rochester, Inc.",370-S-857,30,EHP,NFP
Promenade at Chestnut Ridge,168 Red Schoolhouse Road,Rockland,Chestnut Ridge,10977,(845) 620-0606,AF0394B,"Chestnut Operating Company, LLC",620-F-081,198,AH/ALP,PPHA
Hultquist Place,715 Falconer Street,Chautauqua,Jamestown,14701,(716) 720-9610,AF0646A,Lutheran Housing Realty Inc.,060-E-015,96,AH/ALP,NFP
Queens Adult Care Center,80-08 45th Avenue,Queens,Elmhurst,11373,(718) 639-1800,AF0293B,"Hofgur, LLC",590-F-309,352,AH/ALP,PPHA
Shire Senior Living Assisted Living Program,2515 Culver Road,Monroe,Rochester,14609,(585) 467-4544,AF0554B,Shire Senior Living LLC,370-F-240,200,AH/ALP,PPHA
The Watermark at Brooklyn Heights,21 Clark Street,Kings,Brooklyn,11201,(347) 343-4900,AF0920A,"Brooklyn Operating Company, LLC",331-S-016,256,EHP,PPHA
Country Valley Home,5946 County Route 11,Steuben,Bath,14810,(607) 776-5730,AF0479A,"Tetor Enterprises, Ltd.",690-F-039,19,AH,PPHA
Culinarians' Home Foundation,71 Old Tschirky Road,Ulster,New Paltz,12561,(845) 255-7010,AF0229A,Culinarians' Home Foundation,740-E-002,18,AH,NFP
Park Creek Senior Living Community,410 Mill Street,Erie,Amherst,14221,(716) 632-3000,AF0657B,Mill Street Assisted Living LLC,240-F-876,94,AH,PPHA
Cloverhill Adult Home,355 South Main Street,Orleans,Albion,14411,(585) 589-7832,AF0473A,Alan R. Johnson Alan R. Johnson II,550-F-002,44,AH,PPHA
Dawn Hill Adult Home,65 Lisa Drive,Suffolk,North Port,11768,(631) 261-8088,AF0232A,"Flowerfield Associates, Inc.",700-F-897,30,AH,PPHA
West Seventy-Fourth Street Home,300 Amsterdam Avenue,New York,New York,10023,(212) 595-8983,AF0433A,West Side Federation For Senior and Support Housing,420-E-254,95,AH,NFP
"Longview, an Ithacare Community",1 Bella Vista Drive,Tompkins,Ithaca,14850,(607) 375-6300,AF0171A,"Ithacare Center Service Company, Inc.",730-E-002,96,AH,NFP
The Farrar Home,46 Constable Street,Franklin,Malone,12953,(518) 483-7550,AF0041A,Farrar Home For Deserving Old Ladies,270-E-005,30,AH,NFP
St. Mary's Manor,60 Doughty Boulevard,Nassau,Inwood,11096,(516) 250-3234,AF0651A,"St. Mary's Manor for Senior Citizen Housing Development Fund Company, Inc.",400-S-312,28,EHP,NFP
The Plaza at Clover Lake,838 Fair Street,Putnam,Carmel,10512,(845) 878-4111,AF0696A,"Clover Lake Management, LLC",580-F-001,175,AH/ALP,PPHA
Green Briar Adult Home,26 Old Route 82,Dutchess,Millbrook,12545,(845) 677-9997,AF0256B,"Green Briar Adult Home, LLC",230-F-072,53,AH,PPHA
The Landing of Brighton,1350 Westfall Road,Monroe,Rochester,14618,(585) 271-1925,AF0716B,"Brighton Senior Care, LLC",370-S-197,121,EHP,PPHA
Crestview Manor ALP,150 Old Saw Mill River Road,Westchester,Hawthorne,10532,(914) 769-1762,AF0228A,Azzy Reckess Paula Reckess,800-F-129,76,AH/ALP,PPHA
Pearl Garden Manor,36 Locust Avenue,Suffolk,Islip,11751,(631) 859-3228,AF0356C,"HSN, Inc.",700-F-911,26,AH,PPHA
The Club at Briarcliff Manor,25 Scarborough Road,Westchester,Briarcliff Manor,10510,(914) 618-5496,AF0908A,"SL Briarcliff Manor Operator, Inc.",800-S-157,145,EHP,PPHA
Kendal at Ithaca,2230 North Triphammer Road,Tompkins,Ithaca,14850,(607) 266-5300,AF0167A,"Kendal at Ithaca, Inc.",730-E-005,36,AH,NFP
Five Star Premier Residences of Yonkers,537 Riverdale Avenue,Westchester,Yonkers,10705,(914) 709-1234,AF0272C,D&R Yonkers LLC,800-F-992,40,AH,PPHA
The Bristal at Jericho,310 Jericho Turnpike,Nassau,Jericho,11753,(516) 219-8688,AF0867A,"Engel Burman Senior Care at Jericho, LLC",400-S-332,200,EHP,PPHA
The Meadows,2650 North Forest Road,Erie,Getzville,14068,(716) 639-3311,AF0731A,"Menorah Campus Adult Home, Inc.",240-S-123,48,EHP,NFP
Rudolf Steiner Fellowship Foundation,241 Hungry Hollow Road,Rockland,Spring Valley,10977,(845) 356-8494,AF0376A,"Rudolf Steiner Fellowship Foundation, Inc.",620-E-013,33,AH,NFP
Meadowview at the Wartburg,2 Wartburg Place,Westchester,Mount Vernon,10552,(914) 699-0800,AF0309A,"Wartburg Senior Housing, Inc.",800-S-125,105,EHP,NFP
Rodden Home,15 Wittridge Street,Suffolk,Lake Ronkonkoma,11779,(631) 585-1906,AF0373A,Matthew Patkowski Margaret Patkowski,700-F-109,23,AH,PPHA
Grande'Vie Senior Living,2140 Five Mile Line Road,Monroe,Penfield,14526,(520) 797-4000,AF0503C,"Rochester Operating Company, LLC",370-F-250,178,AH,PPHA
Manor Hills,4192-B Bolivar Road,Allegany,Wellsville,14895,(585) 593-9800,AF0528B,Manor Hills Inc.,010-F-017,137,AH,PPHA
Genesee Adult Home,278 Bank Street,Genesee,Batavia,14020,(585) 344-0584,AF0498B,Genesee Center Operating II LLC,290-F-007,80,AH,PPHA
Randolph Manor,40 East Main Street,Cattaraugus,Randolph,14772,(716) 358-4041,AF0546A,"Randolph Manor Home for Adults, LLC",040-F-026,50,AH,PPHA
"Mariners Residence, Inc.",2099 Forest Avenue,Richmond,Staten Island,10303,(718) 720-8800,AF0377B,"Mariners Residence, Inc.",610-F-066,270,AH,PPHA
The Terrace at the Glen at Hiland Meadows,71 Longview Drive,Warren,Queensbury,12804,(518) 832-7894,AF0127A,The Glen at Hiland Meadows Inc.,750-S-002,52,EHP,NFP
The Mohawk Homestead,62 East Main Street,Herkimer,Mohawk,13407,(315) 866-1841,AF0085A,The Mohawk Homestead,320-E-005,41,AH/ALP,NFP
Vassar-Warner Home,52 South Hamilton Street,Dutchess,Poughkeepsie,12601,(845) 454-3754,AF0430A,Vassar-Warner Home,230-E-014,58,AH/ALP,NFP
Leroy Manor,8678 Lake Street Road,Genesee,Leroy,14482,(585) 768-6291,AF0512D,"Leroy Manor, LLC",290-F-005,79,AH/ALP,PPHA
Elm York Home for Adults,100-30 Ditmars Boulevard,Queens,East Elmhurst,11369,(718) 446-7900,AF0243B,Elm York LLC,590-F-319,262,AH/ALP,PPHA
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,(516) 691-0706,AF0648B,"EB CARE at Massapequa, LLC",400-S-314,86,EHP,PPHA
Dosberg Manor,2680 North Forest Road,Erie,Amherst,14068,(716) 639-3311,AF0484A,"Menorah Campus Adult Home, Inc.",240-E-141,96,AH/ALP,NFP
Island Assisted Living,800-820 Front Street,Nassau,Hempstead,11550,(516) 564-1100,AF0715A,Newco ALP Inc.,400-E-295,200,AH/ALP,NFP
Massry Residence at Daughters of Sarah,182 Washington Ave. Extension,Albany,Albany,12203,(518) 689-0453,AF0591A,"Daughters of Sarah Housing Company, Inc.",000-S-006,70,EHP,NFP
NY Found-Sr Citizens EHP#5 Clinton Gardens,404-412 W. 54 St.- Clinton Gardens,New York,New York,10019,(212) 489-9339,AF0336A,"New York Foundation for Senior Citizens, Inc.",420-S-376,47,EHP,NFP
New Haven Manor,1526 New Haven Avenue,Queens,Far Rockaway,11691,(718) 471-7200,AF0328B,"New Haven Manor Home for Adults, LLC",590-F-172,123,AH,PPHA
Fairport Baptist Homes Adult Care Facility,4646 Nine Mile Point Road,Monroe,Fairport,14450,(585) 377-0350,AF0670A,"Fairport Baptist Homes Adult Care Facility, Inc.",370-E-202,42,AH/ALP,NFP
Argyle Center for Independent Living,4573 State Route 40,Washington,Argyle,12809,(518) 638-8274,AF0094B,Washington AH Operations Associates LLC,760-F-016,35,AH/ALP,PPHA
Brookdale Fayetteville,5125 Highbridge Street,Onondaga,Fayetteville,13066,(315) 637-2000,AF0153A,"Manlius Clare Bridge Operator, Inc.",520-F-145,52,AH,PPHA
Yorktown Assisted Living Residence,2276 Catherine Street,Westchester,Cortlandt Manor,10567,(914) 737-2255,AF0600B,"YALR Operating, LLC",800-F-134,85,AH/ALP,PPHA
Ahana House,31 Sixth Street,Saratoga,Waterford,12188,(518) 238-0471,AF0011A,"Support Ministries, Inc",640-E-034,17,AH,NFP
Sunnydale Home,809 Stuart Avenue,Westchester,Mamaroneck,10543,(914) 698-2824,AF0408A,Perlita Guerzon Robert Guerzon,800-F-127,17,AH,PPHA
Camillus Ridge Terrace,2453 W. Genesee Turnpike,Onondaga,Camillus,13031,(315) 672-3790,AF0645A,"Eastview Associates, LLC",520-F-157,56,AH,PPHA
"Kingsway Manor, LLC",357 Kings Road,Schenectady,Schenectady,12304,(518) 393-4304,AF0071B,"Kingsway Manor, LLC",650-F-103,140,AH,PPHA
Atria South Setauket,4089 Nesconset Highway,Suffolk,Centereach,11720,(631) 473-8000,AF0392C,"ATR New York LH, Inc.",700-F-933,200,AH,PPHA
Woodview Court,1015 Saw Mill River Road,Westchester,Ardsley,10502,(914) 400-1103,AF0628C,"ATR New York LH, Inc.",800-F-998,40,AH,PPHA
The Villa at Westhampton,68 Old Country Road,Suffolk,Westhampton,11977,(631) 240-8100,AF0752A,"Westhampton Senior Living, Inc.",700-F-939,100,AH,PPHA
Laurelwood at the Highlands,300 Hahnemann Trail,Monroe,Pittsford,14534,(585) 389-1630,AF0523A,Highland Community Development Corp.,370-S-835,68,EHP,NFP
The Pavilion at Vestal,105 West Sheedy Road,Broome,Vestal,13850,(607) 754-4105,AF0733A,"The Pavilion at Vestal, LLC",030-F-058,40,AH/ALP,PPHA
Castle Gardens Keepsake Village,1715 Castle Gardens Road,Broome,Vestal,13850,(607) 748-5700,AF0909A,"Hearth Management, LLC",030-F-062,48,AH,PPHA
Brookdale Hospital Medical Center ALP,558-578 Rockaway Parkway,Kings,Brooklyn,11212,(718) 240-6225,AF0212A,Brookdale Hospital Medical Center,331-S-001,43,EHP/ALP,NFP
NY Found-Sr Citizens EHP#3,1850 Second Avenue,New York,New York,10128,(212) 369-5523,AF0340A,"New York Foundation for Senior Citizens, Inc.",420-S-370,39,EHP,NFP
North Brook Heights Home for Adults,170 Murray Street Extension,Cayuga,Auburn,13021,(315) 253-2755,AF0182B,"North Brook Heights Home for Adults, Inc.",050-F-022,178,AH/ALP,PPHA
The Belvedere,5110 19th Avenue,Kings,Brooklyn,11204,(718) 223-1800,AF0367B,Boro Park Senior Living Community LLC,331-F-288,200,AH,PPHA
Presbyterian Residential Community,4300 Middle Settlement Road,Oneida,New Hartford,13413,(315) 724-9300,AF0097A,"Presbyterian Residential Community, Inc.",510-E-065,96,AH/ALP,NFP
Pine Harbour,15 New Hampshire Street,Clinton,Plattsburgh,12903,(518) 561-5307,AF0652A,"Pine Harbour, Inc.",090-S-001,66,EHP,NFP
Wolk Manor Enriched Living Center,4000 Summit Circle Drive,Monroe,Rochester,14618,(585) 442-1950,AF0561A,"Jewish Home of Rochester Enriched Housing, Inc.",370-S-836,85,EHP,NFP
Manlius Home for Adults,215 East Pleasant Street,Onondaga,Manlius,13104,(315) 682-6725,AF0179B,215 East Pleasant Street LLC,520-F-167,39,AH/ALP,PPHA
Atria Riverdale,3718-3726 Henry Hudson Parkway,Bronx,Riverdale,10463,(718) 432-2448,AF0827A,"ATR New York LH, Inc.",020-S-001,195,EHP,PPHA
Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Suffolk,Melville,11747,(631) 531-0000,AF0589B,Brandywine Senior Living at Huntington Terrace LLC,700-S-299,110,EHP,PPHA
Brooklyn Terrace,2316 Surf Avenue,Kings,Brooklyn,11224,(718) 996-8400,AF0409B,"Brooklyn Terrace, LLC",331-F-290,200,AH,PPHA
"Lakeside Manor Home for Adults, Inc.",797 Brighton Avenue,Richmond,Staten Island,10301,(718) 720-9600,AF0291A,"Lakeside Manor Home For Adults, Inc.",610-F-037,200,AH/ALP,PPHA
Family Srvs/Rochester EHP1 Danforth Towers East,140 West Avenue,Monroe,Rochester,14611,(585) 436-9462,AF0494A,"Family Service of Rochester, Inc.",370-S-051,28,EHP,NFP
Cohocton Valley Home for Adults,64 South Main Street,Steuben,Avoca,14809,(607) 566-2543,AF0475A,Cohocton Valley Home for Adults LLC,690-F-031,10,AH,PPHA
The Hamlet at Park Ridge,1471 Long Pond Road,Monroe,Rochester,14626,(585) 723-7820,AF0540A,"Park Ridge Housing, Inc.",370-S-193,66,EHP,NFP
Cook Adult Home,1 Prospect Street,Saratoga,Mechanicville,12118,(518) 664-8014,AF0033A,"Saltzman, Leonard",640-F-032,13,AH,PPHA
Parkview Home for Adults,3200 Bronx Boulevard,Bronx,Bronx,10467,(718) 547-9300,AF0355B,"Parkview HFA, Inc.",020-F-131,134,AH,PPHA
Evergreen Heights,8939 Oakland Street,Cayuga,Weedsport,13166,(315) 834-6142,AF0158B,"Central New York Adult Homes, Inc.",050-E-010,60,AH,NFP
Masonic Home,2150 Bleecker Street,Oneida,Utica,13501,(315) 798-4800,AF0079A,Trustees of The Masonic Hall and Asylym Fund,510-E-033,96,AH,NFP
Buckley Landing Enriched Housing Site #6,7430 Buckley Road,Onondaga,North Syracuse,13212,(315) 452-1207,AF0151A,"Loretto Adult Community, Inc.",520-S-121,90,EHP/ALP,NFP
Bethany Village,3005 Watkins Road,Chemung,Horseheads,14845,(607) 739-8711,AF0450A,"Bethany Retirement Home, Inc.",070-E-002,144,AH/ALP,NFP
GreenField Terrace,5979 Broadway Street,Erie,Lancaster,14086,(716) 681-4434,AF0526A,"Lutheran Church Home Of Buffalo, Inc.",240-E-013,56,AH,NFP
Brookdale Clinton,115 Brookside Drive,Oneida,Clinton,13323,(315) 859-1947,AF0013A,"Clinton Sterling Cottage Operator, Inc.",510-F-057,40,AH,PPHA
Crimson Ridge Meadows,3 Treeline Drive,Monroe,Rochester,14612,(585) 720-9330,AF0604B,"Peregrine Properties of Upstate, LLC",370-F-227,52,AH,PPHA
The Kensington,100 Maple Avenue,Westchester,White Plains,10601,(914) 390-0080,AF0688A,"White Plains Kensington, LLC",800-F-988,130,AH,PPHA
Atria West 86,333 West 86th Street,New York,New York,10024,(212) 712-0200,AF0675B,"ATR New York LH, Inc.",420-S-389,189,EHP,PPHA
"Good Shepherd- Fairview Home, Inc.",80 Fairview Avenue,Broome,Binghamton,13904,(607) 724-2477,AF0049A,"Good Shepherd-Fairview Home, Inc.",030-E-005,67,AH/ALP,NFP
Marchand Manor,"121 Main Street, Route 10",Schoharie,Sharon Springs,13459,(518) 284-2357,AF0076B,"Marchand Manor, LLC",660-F-051,36,AH/ALP,PPHA
The Pavilion at Robinson Terrace,One Buntline Drive,Delaware,Stamford,12167,(607) 652-2960,AF0690B,"RTACF, LLC",220-F-032,60,AH/ALP,PPHA
The Springs at Fountainview,2000 Fountainview Drive,Rockland,Monsey,10952,(845) 426-6757,AF0764A,"Fountainview at College Road, Inc.",620-E-021,60,EHP/ALP,NFP
Atria Shaker,345 Northern Boulevard,Albany,Albany,12204,(518) 465-4444,AF0016B,"ATR New York LH, Inc.",000-S-011,146,EHP,PPHA
The Arbors at Islandia East,1515A Veterans Memorial Highway,Suffolk,Islandia,11749,(631) 232-3131,AF0277C,"Arcadia Management, Inc.",700-F-914,200,AH,PPHA
Old Peoples Russian Orthodox Convent,100 Smith Road,Rockland,Nanuet,10954,(845) 356-8250,AF0344A,Russian Orthodox Convent,620-E-010,76,AH,NFP
The Women's Christian Association,134 Temple Street,Chautauqua,Fredonia,14063,(716) 672-7961,AF0582A,The Women's Christian Association,060-E-014,42,AH/ALP,NFP
Clark Meadows at Ferris Hills,One Clark Meadows,Ontario,Canandaigua,14424,(585) 393-4330,AF0470A,"FF Thompson Senior Communities, Inc.",530-S-003,54,EHP,PPHA
Sunrise at Mill Basin,5905 Strickland Avenue,Kings,Brooklyn,11234,(718) 444-2600,AF0809A,"GWC-Mill Basin, Inc.",331-S-011,142,EHP,PPHA
Hudson Valley Senior Residence,80 Washington Avenue,Ulster,Kingston,12401,(845) 331-0630,AF0270B,The Lutheran Care Network,740-E-008,48,AH,NFP
Fredonia Place,50 Howard Street,Chautauqua,Fredonia,14063,(716) 679-2250,AF0606A,"Water/Howard Associates, LLC",060-S-003,84,EHP,PPHA
Bickford Home,56 Main Street,Wayne,Macedon,14502,(315) 986-5552,AF0451B,Peter Schumacher Shirley A. Schumacher,770-F-035,24,AH,PPHA
Elmore Home for Adults,330 Elmore Street,Suffolk,Central Islip,11722,(631) 234-6506,AF0244A,Josevito Miranda Teresita Vasquez,700-F-300,22,AH,PPHA
"Woodside Hall, LLC",1 Main Street,Otsego,Cooperstown,13326,(607) 547-0600,AF0664A,Woodside Hall LLC,570-F-044,37,AH,PPHA
The Glen at Maple Pointe,260 Maple Avenue,Nassau,Rockville Center,11570,(516) 764-4848,AF0592C,"Maple Pointe Senior Care, LLC",400-S-316,83,EHP/ALP,PPHA
Brentland Woods,3831 East Henrietta Road,Monroe,Henrietta,14467,(585) 321-1490,AF0455A,"CH Services, Inc.",370-S-838,60,EHP,NFP
Long Island Living Center,431 Beach 20th Street,Queens,Far Rockaway,11691,(718) 327-2700,AF0298B,"Long Island Living Center, LLC",590-F-328,306,AH/ALP,PPHA
Brightview Tarrytown,581 Old White Plains Rd,Westchester,Tarrytown,10591,(914) 297-8594,AF0728A,"BV Tarrytown Operator, LLC",800-F-131,107,AH,PPHA
Greenfield Court,5951 Broadway,Erie,Lancaster,14086,(716) 684-8400,AF0507A,Lutheran Church Home at Greenfield Inc.,240-S-105,57,EHP,NFP
St. Nicholas Home,437 Ovington Avenue,Kings,Brooklyn,11209,(718) 238-8141,AF0404A,St. Nicholas Home Inc.,331-E-125,75,AH,NFP
Seniorfirst Assisted Living at Valley Manor,1530 East Avenue,Monroe,Rochester,14610,(585) 770-1953,AF0685A,"Presbyterian Residential Community, Inc.",370-S-853,13,EHP,NFP
Ingersoll Place,3359 Consaul Road,Schenectady,Schenectady,12304,(518) 370-4419,AF0663A,"Ingersoll Adult Home, Inc.",650-E-007,78,AH,NFP
Elderwood Village at Greece,1404 Long Pond Road,Monroe,Rochester,14626,(585) 225-7210,AF0576D,"1404 Long Pond Road Operating Company, LLC",370-F-248,72,AH,PPHA
Elderwood Assisted Living at Tonawanda,111 Ensminger Road,Erie,Tonawanda,14150,(716) 871-1814,AF0568C,"111 Ensminger Road Operating Company, LLC",240-F-890,120,AH/ALP,PPHA
Rosewood on the Sound,59 Bayville Avenue,Nassau,Bayville,11709,(516) 628-1350,AF0284B,"Rosewood on the Sound, LLC",400-F-333,50,AH,PPHA
Brookdale Niagara Assisted Living,6741 Nash Road,Niagara,North Tonawanda,14120,(716) 731-1634,AF0872A,"SH Niagara Operator, Inc.",500-S-002,53,EHP,PPHA
Brookdale Painted Post,120 Creekside Drive,Steuben,Painted Post,14870,(607) 962-5096,AF0506C,"Painted Post, LLC",690-F-044,110,AH,PPHA
The Terraces at Brookmeade,54 Brookmeade Drive,Dutchess,Rhinebeck,12572,(845) 876-5522,AF0669A,"Brookview, Inc.",230-S-001,29,EHP,NFP
"Eger Harbor House, Inc.",110 Meisner Avenue,Richmond,Staten Island,10306,(718) 554-8700,AF0625A,"Eger Harbor House, Inc.",610-S-001,75,EHP/ALP,NFP
Atria Park of Great Neck,51 Great Neck Road,Nassau,Great Neck,11021,(516) 829-4100,AF0391B,"ATR New York LH, Inc.",400-S-326,162,EHP,PPHA
Sanford Home,140-40 Sanford Avenue,Queens,Flushing,11355,(718) 353-1400,AF0379B,"Sanford Home for Adults, LLC",590-F-142,200,AH,PPHA
Artis Senior Living of Commack,1131 Jericho Turnpike,Suffolk,Commack,11725,(631) 343-7942,AF0926A,"Artis Senior Living Operator of Commack, LLC",700-F-961,64,AH,PPHA
The Avalon Assisted Living and Wellness Center,1629 Route 376,Dutchess,Wappingers Falls,12590,(845) 463-0500,AF0415A,Azzy Reckess Paula Reckess,230-F-068,76,AH/ALP,PPHA
Atria Guilderland,300 Mill Rose Court,Albany,Slingerlands,12159,(518) 218-0506,AF0614C,"ATR New York LH, Inc.",000-F-308,120,AH,PPHA
Long Beach Assisted Living,274 West Broadway,Nassau,Long Beach,11561,(516) 897-0140,AF0267C,"Hempstead ALP, LLC",400-F-301,200,AH/ALP,PPHA
Braemar Living at Wallkill,21 Riverside Drive,Orange,Middletown,10941,(914) 305-2230,AF0722A,"The Hamlet at Wallkill, LLC",540-F-036,200,AH/ALP,PPHA
Eden Heights of Olean,161 South Twenty-Fifth Street,Cattaraugus,Olean,14760,(716) 372-4466,AF0488A,"Eden Management of Olean, Inc.",040-F-028,120,AH,PPHA
Atria East Northport,10 Cheshire Place,Suffolk,East Northport,11731,(631) 757-8000,AF0390C,"ATR New York LH, Inc.",700-F-929,200,AH,PPHA
Canterbury Woods Gates Circle,1 Gates Circle,Erie,Buffalo,14209,(716) 929-5150,AF0757A,"Episcopal Church Home & Affiliates Life Care Community, Inc.",240-S-127,5,EHP,NFP
New Sunnyside Adult Home,7010 Collamer Road,Onondaga,East Syracuse,13057,(315) 656-8606,AF0181B,"New Sunnyside Adult Home, Inc.",520-F-148,20,AH,PPHA
Heritage Manor of Ransomville Assisted Living Program,3509 Ransomville Road,Niagara,Ransomville,14131,(716) 791-4211,AF0510D,"Heritage Ransomville Management, LLC",500-F-099,142,AH/ALP,PPHA
Hillcrest Spring Residential,"5052 Rte30 Upper Market St, POB 383",Montgomery,Amsterdam,12010,(518) 843-3770,AF0060A,Paul F. Wolfe,380-F-043,80,AH/ALP,PPHA
The Arbors at Bohemia,1065 Smithtown Avenue,Suffolk,Bohemia,11716,(631) 567-3113,AF0276C,"Arcadia Management, Inc.",700-F-913,200,AH,PPHA
Promenade at Blue Hill,582 Veterans Memorial Drive,Rockland,Pearl River,10965,(845) 735-6846,AF0225B,Promenade Blue Hill LLC,620-F-085,61,AH,PPHA
Ivy Lodge,108 Main Street,Ulster,Saugerties,12477,(845) 246-4646,AF0832A,"Ivy Hall at the Family Lodge, LLC",740-F-082,40,AH,PPHA
Boulevard ALP,71-61 159th Street,Queens,Flushing,11365,(718) 969-8102,AF0629B,Queens Boulevard ALP LLC,590-S-317,239,EHP/ALP,PPHA
