Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,Ownership Type,State
"Central Assisted Living, Llc",1509 CENTRAL AVENUE,Queens,Far Rockaway,11691,(718) 471-7700,AF0326B,"CENTRAL ASSISTED LIVING, LLC",590-F-322,186,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Brompton Heights,275 BROMPTON ROAD,Erie,Williamsville,14221,(716) 634-5734,AF0460A,"BROMPTON HEIGHTS, INC.",240-F-133,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Castle Senior Living At Forest Hills,108-25 HORACE HARDING EXPRESSWAY,Queens,Forest Hills,11368,(718) 760-4600,AF0218D,"MIDWAY A.L., LLC",590-S-307,177,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Braemar Living At Medford,1529 NORTH OCEAN AVENUE,Suffolk,Medford,11763,(631) 289-0600,AF0660A,MEDFORD HAMLET LLC,700-F-921,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Cumberland Gardens Ny Foundation Ehp #6,425 CUMBERLAND STREET,Kings,Brooklyn,11201,(718) 623-8181,AF0230A,"NEW YORK FOUNDATION FOR SENIOR CITIZENS, INC.",331-S-003,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Home Of The Good Shepherd At Highpointe,26 ROCK ROSE WAY,Saratoga,Malta,12020,(518) 581-2800,AF0613A,"THE CHURCH AID OF THE PROTESTANT EPISCOPAL CHURCH IN THE TOWN OF SARATOGA SPRINGS, INC.",640-E-036,86,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Adirondack Manor Hfa D.B.A. Willow Park Hfa,1550 HERKIMER ROAD,Oneida,Utica,13502,(315) 732-2257,AF0009A,JAMES E. KANE SR. JAMES E. KANE JR.,510-F-055,60,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Bida Adult Home,4 WASHINGTON PARK RD,Chenango,Oxford,13830,(607) 843-6769,AF0017A,WILLIAM J. LYONS,080-F-010,28,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Bristal At Lake Success,69 NORTH SERVICE ROAD,Nassau,Lake Success,11020,(516) 600-1800,AF0750A,EB CARE AT LAKE SUCCESS LLC,400-F-337,110,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Hearth On James,830 JAMES STREET,Onondaga,Syracuse,13203,(315) 422-2173,AF0612B,"HEARTH MANAGEMENT, L.L.C.",520-S-135,60,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
"The Shores At Peconic Landing Assisted Living Residence, Inc.",1600 BRECKNOCK ROAD,Suffolk,Greenport,11944,(631) 477-3800,AF0601B,"THE SHORES AT PECONIC LANDING ASSISTED LIVING RESIDENCE, INC.",700-S-298,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Eliot At Catskill,122 JEFFERSON HEIGHTS,Greene,Catskill,12414,(518) 943-7100,AF0091C,"THE ELIOT AT CATSKILL, LLC",300-F-033,98,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Woodlawn Commons,156 LAWRENCE STREET,Saratoga,Saratoga Springs,12866,(518) 587-4100,AF0138A,"WOODLAWN APARTMENTS, INC.",640-S-001,42,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Eden Heights Of West Seneca,3030 CLINTON STREET,Erie,West Seneca,14224,(716) 822-4466,AF0486B,"EDEN MANAGEMENT OF WEST SENECA, INC.",240-F-848,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Heritage Home For Women,1519 UNION STREET,Schenectady,Schenectady,12309,(518) 374-6921,AF0058A,HERITAGE HOME FOR WOMEN,650-E-003,36,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Elderwood Village At Bassett Park,245 BASSETT ROAD,Erie,Williamsville,14221,(716) 688-4011,AF0446D,"245 BASSETT ROAD OPERATING COMPANY, LLC",240-F-898,105,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Regency At Glen Cove,94 SCHOOL STREET,Nassau,Glen Cove,11542,(516) 674-3007,AF0422A,"NATIONAL HEALTHPLEX, INC.",400-E-290,143,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Birchwood Suites,423 CLAY PITTS ROAD,Suffolk,East Northport,11731,(631) 368-5252,AF0208C,BIRCHWOOD SUITES OPERATOR LLC,700-F-943,95,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria Crossgate,140 WASHINGTON AVENUE EXTENSION,Albany,Albany,12203,(518) 869-0211,AF0113B,"ATR NEW YORK LH, INC.",000-S-009,83,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Ny Found-Sr Citizens Ehp#4 Ridge Street Gardens,80-92 RIDGE STREET,New York,New York,10002,(212) 598-4148,AF0341A,"NEW YORK FOUNDATION FOR SENIOR CITIZENS, INC.",420-S-375,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Holbrook Adult Home,73 NORTH STREET,Washington,Granville,12832,(518) 642-3476,AF0062C,"73 NORTH OF GRANVILLE, INC.",760-F-014,33,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Eliot At New Rochelle,41 LOCKWOOD AVE.,Westchester,New Rochelle,10801,(914) 303-9710,AF0331C,"THE ELIOT AT NEW ROCHELLE, LLC",800-F-011,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Quail Summit,5102 PARRISH STREET EXT.,Ontario,Canandaigua,14424,(585) 396-1010,AF0545A,"QUAIL SUMMIT, INC.",530-S-001,55,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Dutchess Care,186 WASHINGTON STREET,Dutchess,Poughkeepsie,12601,(845) 471-7930,AF0239A,AZZY RECKESS PAULA RECKESS,230-F-044,92,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Arkell Hall,55 MONTGOMERY STREET,Montgomery,Canajoharie,13317,(518) 673-5514,AF0014A,ARKELL HALL FOUNDATION,380-E-002,24,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Brookdale Bellevue,4330 ONONDAGA BOULEVARD,Onondaga,Syracuse,13219,(315) 468-5108,AF0148C,"PAINTED POST, LLC",520-F-163,91,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Hearth At Greenpoint Senior Living,150 OLD LIVERPOOL ROAD,Onondaga,Liverpool,13088,(315) 453-7911,AF0162B,"HEARTH MANAGEMENT, L.L.C.",520-S-129,139,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Amsterdam At Harborside,300 EAST OVERLOOK,Nassau,Port Washington,11050,(516) 472-6626,AF0681A,"AMSTERDAM HOUSE CONTINUING CARE RETIREMENT COMMUNITY, INC.",400-S-320,55,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Brentwood Adult Home,147 SECOND AVENUE,Suffolk,Brentwood,11717,(631) 273-7204,AF0210A,SARAH HALPERT SIMON HALPERT,700-F-013,30,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Peregrine Senior Living At Colonie,5 SOUTH FAMILY DRIVE,Albany,Colonie,12205,(518) 456-4500,AF0753A,"PEREGRINE SENIOR LIVING OF COLONIE, LLC",000-F-312,68,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Bristal At North Hills,99 SOUTH SERVICE ROAD,Nassau,North Hills,11040,(516) 233-3100,AF0643A,"ENGEL BURMAN SENIOR HOUSING AT NORTH HILLS, INC.",400-F-310,60,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Chenango County Home Preston Manor,"1150 COUNTY ROAD 4  RFD #2, BOX 203",Chenango,Oxford,13830,(607) 334-9428,AF0024A,CHENANGO COUNTY D.S.S.,080-N-007,48,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The New Golden Acres Sp Llc,11 PROSPECT STREET,Rockland,Spring Valley,10977,(845) 356-2440,AF0253C,THE NEW GOLDEN ACRES SP LLC,620-F-091,79,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Eden Heights,4071 HARDT ROAD,Erie,Eden,14057,(716) 992-4466,AF0487B,"EDEN HEIGHTS OF EDEN OPERATING, LLC",240-F-900,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria On The Hudson,321 NORTH HIGHLAND AVENUE,Westchester,Ossining,10562,(914) 762-1980,AF0684B,"ATR NEW YORK LH, INC.",800-S-147,185,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Sunrise Of Huntington,300 WEST HILLS ROAD,Suffolk,Huntington Station,11746,(631) 760-2044,AF0913A,"GWC-WEST HILLS, INC.",700-F-959,130,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Wheatfield Commons,3920 FOREST PARKWAY,Niagara,North Tonawanda,14120,(716) 475-7600,AF0756A,"DEPAUL ADULT CARE COMMUNITIES, INC.",500-E-014,114,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
The Bristal At White Plains,305 NORTH STREET,Westchester,White Plains,10605,(914) 984-5343,AF0700A,"EBC WHITE PLAINS, LLC",800-S-145,190,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Westchester Center For Independent And Assisted Living,75 STRATTON STREET SOUTH,Westchester,Yonkers,10701,(914) 787-7400,AF0692A,"WESTCHESTER ALP MANAGEMENT, LLC",800-F-990,195,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Peregrine'S Landing At Orchard Park,101 STERLING DRIVE,Erie,Orchard Park,14127,(716) 675-1022,AF0466B,"PEREGRINE PROPERTIES OF UPSTATE, LLC",240-F-827,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Brookdale Pittsford,159 SULLY'S TRAIL,Monroe,Pittsford,14534,(585) 249-9990,AF0468A,"PERINTON CLARE BRIDGE OPERATOR, INC.",370-F-217,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Pavilion At Pine Valley,661 NORTH MAIN STREET,Rockland,Spring Valley,10977,(845) 426-5600,AF0741A,"TPPV, LLC",620-F-095,56,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Bristal At Lynbrook,8 FREER STREET,Nassau,Lynbrook,11563,(516) 593-2424,AF0387D,"LYNBROOK SENIOR CARE, LLC",400-F-335,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Pines At Heartwood,2405 FIFTEENTH STREET,Rensselaer,Troy,12180,(518) 266-9654,AF0057B,"TROY CROSSINGS, LLC",600-F-250,86,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
White Plains Guest Home For Adults,32 RIDGEVIEW AVENUE,Westchester,White Plains,10606,(914) 949-8984,AF0436B,"FAMILY SERVICES OF WESTCHESTER, INC.",800-E-134,15,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Fredonia Place Of Williamsville,201 REIST STREET,Erie,Williamsville,14221,(716) 632-2155,AF0921A,SOSF VENTURES L.P.,240-F-904,99,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Clara Welch Thanksgiving Home,48 GROVE STREET,Otsego,Cooperstown,13326,(607) 547-8844,AF0028A,"CLARA WELCH THANKSGIVING HOME, INC.",570-E-002,26,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Keepsake Village At Greenpoint,138 OLD LIVERPOOL ROAD,Onondaga,Liverpool,13088,(315) 451-4567,AF0163A,"GREENPOINT SPECIAL NEEDS, INC.",520-F-143,57,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Ny Found-Sr Citizens Ehp#2 Brown Gardens,225 EAST 93RD STREET,New York,New York,10128,(212) 369-5523,AF0339A,"NEW YORK FOUNDATION FOR SENIOR CITIZENS, INC.",420-S-272,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
"Sutton Gardens, Llc",147-02 34TH AVENUE,Queens,Flushing,11354,(718) 461-1923,AF0238C,"SUTTON GARDENS, LLC",590-F-326,47,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Hilltop Manor West,286 DEYO HILL ROAD,Broome,Johnson City,13790,(607) 798-7818,AF0061B,UMH NY CORP.,030-E-008,98,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
St. Louise Manor,861 FRONT STREET,Broome,Binghamton,13905,(607) 724-4000,AF0116C,UMH NY CORP.,030-E-052,52,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Norwegian Christian Home And Health Center,1250-1270 67TH STREET,Kings,Brooklyn,11219,(718) 232-2322,AF0337A,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,331-E-030,88,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Assisted Living At Northern Riverview,89 SOUTH ROUTE 9W,Rockland,Haverstraw,10927,(845) 429-4300,AF0198A,"ASSISTED LIVING AT NORTHERN RIVERVIEW, INC.",620-E-019,105,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Brookdale Manlius,100 FLUME ROAD,Onondaga,Manlius,13104,(315) 682-9261,AF0844A,"WW MANLIUS OPERATOR, INC.",520-S-137,86,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Walden Place,839 BENNIE RD.,Cortland,Cortland,13045,(607) 756-8101,AF0585B,"SL WALDEN, LLC",210-F-030,86,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Pinecrest Home For Adults,7 CHARLESWORTH AVENUE,Steuben,Avoca,14809,(607) 566-2252,AF0543A,PINECREST VOLUNTARY HOME FOR THE AGED,690-E-001,17,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Hilton East Assisted Living,231 EAST AVENUE,Monroe,Hilton,14468,(585) 392-7171,AF0515A,HILTON EAST ASSISTED LIVING LLC,370-F-208,205,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Judson Meadows,39 SWAGGERTOWN ROAD,Schenectady,Glenville,12302,(518) 831-2400,AF0711A,"BAPTIST HEALTH ENRICHED HOUSING PROGRAM, INC.",650-S-009,80,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Village Walk A Carlisle Assisted Living Community,131 EAST MAIN STREET,Suffolk,Patchogue,11772,(631) 503-9000,AF0759A,"CARLISLE PATCHOGUE OPERATOR, INC",700-F-941,146,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
"Briarwood Manor, Inc.",1001 LINCOLN AVENUE,Niagara,Lockport,14094,(716) 433-1513,AF0457A,"FERRERI, SALVATORE",500-F-092,160,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Claremont Village Alp,1160 TELLER AVENUE,Bronx,Bronx,10456,(718) 293-1500,AF0720B,DOJ ALP OPERATIONS ASSOCIATES LLC,020-F-135,70,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Samaritan Summit Village,22691 CAMPUS DRIVE,Jefferson,Watertown,13601,(315) 782-6800,AF0705A,"SAMARITAN SENIOR VILLAGE, INC.",330-E-005,120,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Hamilton Manor Home For Adults,8196 GREEN ROAD,Madison,Hubbardsville,13355,(315) 691-4051,AF0052B,8196 GREEN ROAD LLC,360-F-010,38,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Elderwood Village At Vestal,505 CLUBHOUSE ROAD,Broome,Vestal,13850,(607) 722-3422,AF0137D,"505 CLUBHOUSE ROAD OPERATING COMPANY, LLC",030-F-060,116,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Peregrine'S Landing Senior Community,575 CAYUGA CREEK ROAD,Erie,Cheektowaga,14227,(716) 893-3000,AF0615A,"PEREGRINE'S LANDING, L.L.C",240-S-109,112,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Arbors At Hauppauge,1740 EXPRESS DRIVE SOUTH,Suffolk,Hauppauge,11788,(631) 582-3334,AF0388C,"ARCADIA MANAGEMENT, INC.",700-F-916,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria Cutter Mill,96 CUTTER MILL ROAD,Nassau,Great Neck,11021,(516) 858-3023,AF0747A,"ATR NEW YORK LH, INC.",400-S-328,130,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Arcadia Residence,25 CARRIER STREET,Sullivan,Liberty,12754,(845) 292-7011,AF0665A,"GREATER ADULT NEIGHBORS, INC.",710-F-063,114,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Inspir Carnegie Hill,1802 2ND AVENUE,New York,New York,10128,(646) 978-9040,AF0923A,"INSPIR CARNEGIE HILL, LLC",420-S-397,100,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Rph-West,48 COTTAGE GROVE CIRCLE,Monroe,North Chili,14514,(585) 235-9100,AF0667A,"ROCHESTER PRESBYTERIAN HOME, INC.",370-E-200,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Chai Home,125-02 OCEAN PROMENADE,Queens,Belle Harbor,11694,(718) 634-6100,AF0222B,"CHAI HOME, LLC",530-F-057,71,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Samuel F. Vilas Home,61 BEEKMAN STREET,Clinton,Plattsburgh,12901,(518) 563-4960,AF0106B,"PLATTSBURGH ALR, INC",090-F-005,44,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Whisper Woods Of Smithtown,71 ST. JOHNLAND ROAD,Suffolk,Smithtown,11787,(631) 320-3181,AF0765A,"BSL SMITHTOWN OPERATIONS, INC.",700-F-957,136,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Amberleigh,2330-40 MAPLE ROAD,Erie,Amherst,14221,(716) 689-4195,AF0743A,"CSL AMBERLEIGH, INC.",240-S-125,76,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Apple Gate Adult Home,400 OHIO STREET,Orleans,Medina,14103,(585) 798-3420,AF0443A,"ALAN R. JOHNSON, II  ALAN R. JOHNSON",550-F-004,28,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Maplewood Commons,1015 SAW MILL RIVER ROAD,Westchester,Ardsley,10502,(914) 400-1103,AF0627C,"ATR NEW YORK LH, INC.",800-S-149,80,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Missionary Sisters Of St. Benedict,350 CUBA HILL ROAD,Suffolk,Huntington,11743,(631) 368-9528,AF0315A,MISSIONARY SISTERS OF ST. BENEDICT,700-E-054,60,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Brookdale Ithaca Assisted Living,103 BUNDY ROAD,Tompkins,Ithaca,14850,(607) 256-2580,AF0822A,"SH ITHACA OPERATOR, INC.",730-S-011,53,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Clinton Crest Manor,411 CLINTON STREET,Yates,Penn Yan,14527,(315) 536-8800,AF0471A,"HARPENDING HOUSING, INC.",910-E-004,42,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Babylon Beach House Home For Adults,23 YACHT CLUB ROAD,Suffolk,Babylon,11702,(631) 669-3323,AF0199A,WILLIAM A. LOCKWOOD WILLIAM R. LOCKWOOD SCOTT W. LOCKWOOD PAUL M. LOCKWOOD,700-F-131,67,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Eliot At Erie Station Alp,10 - 18 JOHN STREET,Orange,Middletown,10940,(845) 342-2077,AF0414B,"THE ELIOT MANAGEMENT GROUP, LLC",540-F-028,136,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
"Cedarbrook Village, Incorporated",101 SITRIN LANE,Oneida,New Hartford,13413,(315) 737-2227,AF0666A,"CEDARBROOK VILLAGE, INC.",510-S-064,65,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Plattduetsche Home Society,1150 HEMPSTEAD TURNPIKE,Nassau,Franklin Square,11010,(516) 352-4252,AF0361A,"PLATTDUETSCHE ALTENHEIM GESELLSCHAFT VON BROOKLYN UND UMGEGEND, INC.",400-S-290,90,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The Osborn,101 THEALL ROAD,Westchester,Rye,10580,(914) 925-8200,AF0902A,THE OSBORN,800-S-141,103,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Horizons,3132 STATE ROUTE 21 SOUTH,Ontario,Canandaigua,14424,(585) 396-3390,AF0517A,"DEPAUL ADULT CARE COMMUNITIES, INC.",530-E-051,76,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Oceanview Manor Home For Adults,3010 WEST 33RD STREET,Kings,Brooklyn,11224,(718) 996-1500,AF0383B,"OCEANVIEW MANOR HOME FOR ADULTS, INC.",331-F-270,176,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Beacon Pointe Memory Care Community,1 EMMA LANE,Saratoga,Clifton Park,12065,(518) 371-2200,AF0029C,"PEREGRINE PROPERTIES OF UPSTATE, LLC",640-F-042,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
"Millview Of Latham, Llc",514 OLD LOUDON ROAD,Albany,Cohoes,12047,(518) 785-7788,AF0018B,"MILLVIEW OF LATHAM, LLC",000-F-294,55,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Greece Long Pond Senior Housing,1 GBC PARKWAY,Monroe,Rochester,14626,(585) 227-3007,AF0734A,"FAMILY SERVICE OF ROCHESTER, INC.",370-S-857,30,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Promenade At Chestnut Ridge,168 RED SCHOOLHOUSE ROAD,Rockland,Chestnut Ridge,10977,(845) 620-0606,AF0394B,"CHESTNUT OPERATING COMPANY, LLC",620-F-081,198,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Hultquist Place,715 FALCONER STREET,Chautauqua,Jamestown,14701,(716) 720-9610,AF0646A,LUTHERAN HOUSING REALTY INC.,060-E-015,96,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Queens Adult Care Center,80-08 45TH AVENUE,Queens,Elmhurst,11373,(718) 639-1800,AF0293B,"HOFGUR, LLC",590-F-309,352,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Shire Senior Living Assisted Living Program,2515 CULVER ROAD,Monroe,Rochester,14609,(585) 467-4544,AF0554B,SHIRE SENIOR LIVING LLC,370-F-240,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Watermark At Brooklyn Heights,21 CLARK STREET,Kings,Brooklyn,11201,(347) 343-4900,AF0920A,"BROOKLYN OPERATING COMPANY, LLC",331-S-016,256,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Country Valley Home,5946 COUNTY ROUTE 11,Steuben,Bath,14810,(607) 776-5730,AF0479A,"TETOR ENTERPRISES, LTD.",690-F-039,19,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Culinarians' Home Foundation,71 OLD TSCHIRKY ROAD,Ulster,New Paltz,12561,(845) 255-7010,AF0229A,CULINARIANS' HOME FOUNDATION,740-E-002,18,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Park Creek Senior Living Community,410 MILL STREET,Erie,Amherst,14221,(716) 632-3000,AF0657B,MILL STREET ASSISTED LIVING LLC,240-F-876,94,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Cloverhill Adult Home,355 SOUTH MAIN STREET,Orleans,Albion,14411,(585) 589-7832,AF0473A,ALAN R. JOHNSON ALAN R. JOHNSON II,550-F-002,44,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Dawn Hill Adult Home,65 LISA DRIVE,Suffolk,North Port,11768,(631) 261-8088,AF0232A,"FLOWERFIELD ASSOCIATES, INC.",700-F-897,30,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
West Seventy-Fourth Street Home,300 AMSTERDAM AVENUE,New York,New York,10023,(212) 595-8983,AF0433A,WEST SIDE FEDERATION FOR SENIOR AND SUPPORT HOUSING,420-E-254,95,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
"Longview, An Ithacare Community",1 BELLA VISTA DRIVE,Tompkins,Ithaca,14850,(607) 375-6300,AF0171A,"ITHACARE CENTER SERVICE COMPANY, INC.",730-E-002,96,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
The Farrar Home,46 CONSTABLE STREET,Franklin,Malone,12953,(518) 483-7550,AF0041A,FARRAR HOME FOR DESERVING OLD LADIES,270-E-005,30,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
St. Mary'S Manor,60 DOUGHTY BOULEVARD,Nassau,Inwood,11096,(516) 250-3234,AF0651A,"ST. MARY'S MANOR FOR SENIOR CITIZEN HOUSING DEVELOPMENT FUND COMPANY, INC.",400-S-312,28,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
