Facility,Capacity,Physical Address,City,State,Zip
Avalon House on Dolley Madison,8,"829 Dolley Madison Boulevard,",Mc Lean,VA,22101
Morningside House of Leesburg,77,"316 Harrison Harrison Street,",Leesburg,VA,20175
The Kensington Reston,97,"11501 Sunrise Valley Drive,",Reston,VA,20191
Sunrise of Falls Church,69,"330 North Washington Street,",Falls Church,VA,22046
Sunrise at Countryside,130,"45800 Jona Drive,",Sterling,VA,20165
Sunrise of Arlington,60,"2000 North Glebe Road,",Arlington,VA,22207
Sunrise at Bluemont Park,250,"5910 Wilson Boulevard,",Arlington,VA,22205
Sunrise of Old Town,115,"400 N.Washington Street,",Alexandria,VA,22314
Pacifica Senior Living Sterling,80,"46555 Harry Byrd Highway,",Sterling,VA,20164
The Culpeper,123,"12425 Village Loop,",Culpeper,VA,22701-4375
Marian Manor of Stafford,39,"177 Old Potomac Church Road,",Stafford,VA,22554-7258
Caton Merchant House,125,"9201 Portner Avenue,",Manassas,VA,20110-5055
Hughes Home,110,"100 Caroline Street,",Fredericksburg,VA,22401-6104
Potomac Place,148,"2133 Montgomery Place,",Woodbridge,VA,22191-2655
Westminster At Lake RIdge,46,"12185 Clipper Drive,",Lake Ridge,VA,22192-2236
The Aurora Home Inc.,6,"14605 Aurora Drive,",Woodbridge,VA,22193-1231
District Home Assisted Living at Birmingham Green,64,"8605 Centreville Road,",Manassas,VA,20110-5265
Brookdale Lake Ridge,107,"3940 Prince William Parkway,",Woodbridge,VA,22192-4513
Our Father's House Christian Home,23,"15261 Jubilee Road,",Culpeper,VA,22701-4501
Blue Ridge Christian Homes,36,"7034 Catlett Road,",Bealeton,VA,22712-7700
Aspen Hill Assisted Living,8,"12395 Forest Hill Road,",Woodbridge,VA,22192-2015
Jackson House Assisted Living Corporation,8,"8 Jackson Lane,",Boston,VA,22713-1720
Golden Years and More,8,"13114 Canova Drive,",Manassas,VA,20112-7840
Birmingham Green Adult Care Residence - Willow Oaks,107,"7080 Brooks Farm Road,",Mechanicsville,VA,23111
Harmony at Falls Run,100,"60 Brimley Drive,",Fredericksburg,VA,22406
Greenfield Assisted Living of Spotsylvania,66,"9300 Onyx Court,",Fredericksburg,VA,22407
Spring Arbor of Fredericksburg,100,"5308 River Road,",Fredericksburg,VA,22407
The Villa at Suffield Meadows,72,"6735 Suffield Lane,",Warrenton,VA,20187
Aspen Hill at Harbor Place,6,"12628 Harbor Drive,",Woodbridge,VA,22192
Love 'Em Care,6,"14441 Colony Creek Court,",Woodbridge,VA,22193
Russell Road Assisted Living Facility,8,"3802 Russell Road,",Woodbridge,VA,22192
Poet's Walk Fredericksburg,70,"3020 Gordon W. Shelton Blvd.,",Fredericksburg,VA,22401
Arbor Terrace Sudley Manor,82,"7750 Garner Drive,",Manassas,VA,20109
Bickford of Spotsylvania,74,"5000 Spotsylvania Parkway,",Fredericksburg,VA,22407
Fredericksburg Assisted Living,19,"3902 Plank Road,",Fredericksburg,VA,22407
Fox Trail Senior Living at Manassas,23,"10140 Hastings Drive,",Manassas,VA,20110
Tribute at The Glen,152,"4151 Old Bridge Road,",Woodbridge,VA,22192
"Poets Walk Warrenton, Legal Name: NJTELLC",68,"33 Woodlands Way,",Warrenton,VA,20186
Harbor Chase of Prince William Commons,157,"14080 Central Loop,",Woodbridge,VA,22193
Paramount Senior Living at Manassas,125,"8341 Barrett Drive,",Manassas,VA,20109
Paramount Senior Living at Fredericksburg,196,"3500 Meekins Drive,",Fredericksburg,VA,22407
Heritage Village Assisted Living and Memory Care,152,"13650 Heathcote Boulevard,",Gainesville,VA,20155
"Desired Living Home Care, LLC",8,"603 Montrose Drive,",Fredericksburg,VA,22407
The Wellington at Lake Manassas,140,"7820 Baltusrol Blvd,",Gainesville,VA,20155
Camellia Colony of Chancellor's Village,45,"12100 Chancellor's Village,",Fredericksburg,VA,22407
Commonwealth Senior Living at Stafford,62,"30 Kings Crest Drive,",Stafford,VA,22554
Commonwealth Senior Living at Fredericksburg,38,"1001 Northside Drive,",Fredericksburg,VA,22405
Heartfields at Fredericksburg,99,"20 Heartfields Lane,",Fredericksburg,VA,22405
Legacy Ridge Memory Care Community,72,"16001 Loves Mill Lane,",Gainesville,VA,20155
Evermore Senior Living,8,"4358 Prince William Parkway,",Woodbridge,VA,22192
"White Springs Senior Living, LLC",100,"349 Legion Drive,",Warrenton,VA,20186
Cardinal Village,68,"4621 Spotsylvania Parkway,",Fredericksburg,VA,22408
Noble Senior Living at Culpeper,23,"215 Southridge Parkway,",Culpeper,VA,22701
Noble Senior Living at Warrenton,41,"239 Alexandria Pike,",Warrenton,VA,20186
Spring Arbor Cottage of Fredericksburg,40,"1804 Bragg Road,",Fredericksburg,VA,22407
Westminster Canterbury of Lynchburg,78,"501 V.E.S. Road,",Lynchburg,VA,24503
Chastain Home for Gentlewomen,9,"370 Mountain Rd.,",Halifax,VA,24558
Williams Home Incorporated,38,"1201 Langhorne Road,",Lynchburg,VA,24503
"Friendship Assisted Living, Inc.",120,"320 Hershberger Road,",Roanoke,VA,24012
Hairston Home for Adults,38,"601 Armstead Ave,",Martinsville,VA,24112
Hermitage Roanoke,120,"1009 Old Country Club Road, N.W.,",Roanoke,VA,24017
Harmony Hall Assisted Living Facility,50,"4153 Fairystone Park Highway,",Bassett,VA,24055
Highland House,30,"3501 Longdale Furnace Road,",Clifton Forge,VA,24422
The Mayflower,39,"409 South Main Street,",Lexington,VA,24450
"Babcock Manor, Inc.",33,"State Route 691,",Appomattox,VA,24522
Restin South,12,"6347 Crowell Gap Road,",Roanoke,VA,24014
Candis Assisted Living,17,"1619 Hanover Ave,",Roanoke,VA,24017
Pinecrest Adult Home,54,"709 River Ridge Road,",Danville,VA,24541
Our Lady of the Valley,105,"650 N. Jefferson St,",Roanoke,VA,24016
Cana Adult Home,24,"2004 Wards Gap Road,",Cana,VA,24317
Brandon Oaks,80,"3804 Brandon Avenue SW,",Roanoke,VA,24018
Kings Grant Retirement Community-Craig Assisted Living,85,"350 Kings Way Rd.,",Martinsville,VA,24112-6631
The Oaks at Richfield,80,"3706 Knollridge Rd,",Salem,VA,24153
Valley View Retirement Community,40,"1213 Long Meadows Drive,",Lynchburg,VA,24502
Virginia's Residential & Assisted Living,27,"1205 Moorman Rd. NW,",Roanoke,VA,24017
Joseph C. Thomas Center,87,"3939 Daugherty Road,",Salem,VA,24153
Brookdale Danville Piedmont,99,"149 Executive Court,",Danville,VA,24541
Blue Ridge Christian Home,20,"85 Beulah Drive,",Raphine,VA,24472
Kendal at Lexington Webster Center,20,"160 Kendal Drive,",Lexington,VA,24450
Runk & Pratt of Forest,84,"208 Gristmill Drive,",Forest,VA,24551
Virginia Veterans Care Center,28,"4550 Shenandoah Ave.,",Roanoke,VA,24017
The Glebe,84,"200 The Glebe Boulevard,",Daleville,VA,24083
Magnolia Ridge ALF,34,"1007 Amherst Street, SW,",Roanoke,VA,24015
Cave Creek ALF,55,"8088 Lee Highway,",Troutville,VA,24175
Brookdale Roanoke,56,"1127 Persinger Road, S.W.,",Roanoke,VA,24015
Brookdale Salem,90,"2001 Ridgewood Drive,",Salem,VA,24153
Red Oak Manor,72,"18360 Virgil Goode Highway,",Rocky Mount,VA,24151
Summit Assisted Living,50,"1320 Enterprise Drive,",Lynchburg,VA,24502
Jeanne's Elderly Care,8,"1682 Monterey Road,",Roanoke,VA,24019
Smith Mountain Lake Retirement Village,115,"115 Retirement Drive,",Hardy,VA,24101
Second Chance,11,"524 Pisgah Church Road,",Rice,VA,23966
Carriage Hill Retirement,140,"1203 Roundtree Drive,",Bedford,VA,24523
The Harmony Collection at Roanoke Independent Living,127,"4428 Pheasant Ridge Road,",Roanoke,VA,24014
Salem Terrace at Harrogate,90,"1851 Harrogate Drive,",Salem,VA,24153
Bentley Commons at Lynchburg,135,"1604 Graves Mill Road,",Lynchburg,VA,24502
North Roanoke Assisted Living,225,"6910 Williamson Road,",Roanoke,VA,24019
Pheasant Ridge Senior Living (Operated by Pheasant Ridge Operati,130,"4435 Pheasant Ridge Road SW,",Roanoke,VA,24014
Hope Haven,8,"24532 Prince Edward Highway,",Rice,VA,23966
Commonwealth Senior Living at South Boston,87,"435 Hamilton Boulevard,",South Boston,VA,24592
"Banister Residential Care Facility, Inc.",15,"1017 Bethel Road,",Halifax,VA,24558
Evergreen Assisted Living Community,5,"1437 Peter's Creek Road, NW,",Roanoke,VA,24017
Runk and Pratt at Liberty Ridge,204,"30 Monica Blvd.,",Lynchburg,VA,24502
The Elms of Lynchburg,61,"2249 Murrell Road,",Lynchburg,VA,24501
Havenwood,10,"50 Havenwood Drive,",Lexington,VA,24450
Brandon Oaks Intensive Assisted Living,43,"3837 Brandon Avenue,",Roanoke,VA,24018
Starling View Manor #1,8,"301 Starling Avenue,",Martinsville,VA,24112
Meadow Hills Assisted Living Facility,30,"5046 Williamson Road,",Roanoke,VA,24012
Bright Leaf Place,120,"432 Hermitage Drive,",Danville,VA,24541
Cave Spring Place,118,"3585 Brambleton Avenue,",Roanoke,VA,24018
Commonwealth Senior Living at Stratford House,68,"1111 Main Street,",Danville,VA,24541
Cardinal Senior Communities,57,"1350 Longwood Avenue,",Bedford,VA,24523
Carrington Cottage Memory Care Center,88,"270 Commons Parkway,",Daleville,VA,24083
The Harmony Collection at Roanoke Memory Care,64,"4414 Pheasant Ridge Road,",Roanoke,VA,24014
Liberty Ridge Memory Support - Pearls of Life,84,"107 Monica Blvd.,",Lynchburg,VA,24502
Fork Mountain Adult Home,39,"2925 Fork Mountain Road,",Rocky Mount,VA,24151
"TLC Adult Home, Inc.",10,"880 Lillian Naff Drive,",Henry,VA,24102
Runk & Pratt Residential Adult Care of Lynchburg,94,"20212 Leesville Road,",Lynchburg,VA,24502
Heritage Green Assisted Living Communities,124,"201 & 202 Lillian Lane,",Lynchburg,VA,24502
Town Creek Assisted Living Facility,62,"393 Front Street,",Lovingston,VA,22949
The Landmark Center,75,"227 Landmark Drive,",Stuart,VA,24171
Mulberry Creek Assisted Living,60,"400 Blue Ridge Street,",Martinsville,VA,24112
The Harmony Collection at Roanoke Assisted Living,105,"4402 Pheasant Ridge Road,",Roanoke,VA,24014
"Woodland Hills Independent Living, Assisted Living & Memory Care",130,"3365 Ogden Road,",Roanoke,VA,24018
Autumn Care of Altavista,16,"1317 Lola Avenue,",Altavista,VA,24517
The Park at Oak Grove,164,"4920 Woodmar Drive,",Roanoke,VA,24018
Noble Senior Living at Bedford,150,"931 Ashland Avenue,",Bedford,VA,24523
Crestwood,106,"1401 Virginia Avenue,",Harrisonburg,VA,22802
Sunnyside Retirement Community Eiland Assisted Living,91,"3935 Sunnyside Drive, Suite A",Harrisonburg,VA,22801-2336
"Bridgewater Home, Inc.",161,"302 N. Second Street,",Bridgewater,VA,22812
Maple Lawn Residential Living,16,"2526 Lee Jackson Highway,",Staunton,VA,24401
Dogwood Village of Orange County Senior Living,80,"120 Dogwood Lane,",Orange,VA,22960
"Countryside Assisted Living, LLC",19,"1240 Orange Road,",Pratts,VA,22731
Shenandoah Valley Westminster-Canterbury,66,"300 Westminster-Canterbury Drive,",Winchester,VA,22603
"Pine Meadows, Inc.",20,"218 Mill Road,",Woodstock,VA,22664
"SEARCH Group Home, Inc.",8,"5742 N. Main Street,",Mount Jackson,VA,22842
Dutch Haven Assisted Living,52,"257 Toll House Road,",Maurertown,VA,22644
"Willow Estates Retirement, Inc.",62,"180 Titus Drive,",Penn Laird,VA,22846
Stuarts Draft Christian Home,42,"144 Patton Farm Road,",Stuarts Draft,VA,24477
White Birch Communities,78,"847 Oakwood Drive,",Rockingham,VA,22801-3924
Summit Square,40,"501 Oak Avenue,",Waynesboro,VA,22980
The Willows at Meadow Branch,85,"1881 Harvest Drive,",Winchester,VA,22601
Stoney Creek Adult Care,19,"526 Stoney Creek Boulevard,",Edinburg,VA,22824
Woods Cove Assisted Living,67,"201 W. Criser Road,",Front Royal,VA,22630
Whispering Pines Assisted Living Facility,60,"200 Leaksville Road,",Luray,VA,22835
Hawksbill Assisted Living,50,"122 N. Hawksbill Street,",Luray,VA,22835
Brookdale Harrisonburg,114,"2101 Deyerle Avenue,",Harrisonburg,VA,22801
The Village at Gordon House,58,"501 N. Main Street,",Gordonsville,VA,22942
Shenandoah Nursing Home,24,"339 Westminister Drive,",Fishersville,VA,22939
"Shenandoah Place, Inc.",30,"50 Burkholder Lane,",New Market,VA,22844
Greenfield Reflections of Strasburg LLC,40,"304 Bowman Mill Road,",Strasburg,VA,22657
Greenfield Senior Living of Woodstock,49,"935 Ox Road,",Woodstock,VA,22664
Hidden Springs Senior Living,71,"973 Buck Mountain Road,",Bentonville,VA,22610
Journeys Crossing,40,"102 N. Stuart Avenue,",Elkton,VA,22827
Timberview Crossing,42,"351 New Market Road,",Timberville,VA,22853
Cardinal House,35,"1182 Eastside Highway,",Waynesboro,VA,22980
Spring Arbor of Winchester,100,"2093 Northwestern Pike,",Winchester,VA,22603
Oak Grove Manor,20,"8 Rainbow Lane,",Waynesboro,VA,22980
Renaissance Assisted Living,25,"118 William Mills Drive,",Stanardsville,VA,22973
The Harbor at Renaissance,64,"422 William Mills Drive,",Stanardsville,VA,22973
"The Legacy at North Augusta, Inc.",135,"1410 A N. Augusta Street,",Staunton,VA,24401
Commonwealth Senior Living at Front Royal,110,"600 Mount View Street,",Front Royal,VA,22630
Memory Lane Assisted Living,24,"123 Lakeview Drive,",Woodstock,VA,22664
The Village at Orchard Ridge,18,"400 Clocktower Ridge Drive,",Winchester,VA,22603
Brightview Baldwin Park,75,"31 Woodlee Road,",Staunton,VA,24401
Green Valley Commons Assisted Living,43,"549 Valley Mill Road,",Winchester,VA,22602
Bellaire at Stone Port,105,"1684 Port Hills Drive,",Harrisonburg,VA,22801
Care Corner Senior Care,31,"224 Fishersville Road,",Fishersville,VA,22939
Living Waters Senior Care,40,"379 N. Main Street,",Timberville,VA,22853
Shenandoah Terrace,30,"447 W. Old Cross Road,",New Market,VA,22844
"Mission House, LLC",22,"516 W. Spotswood Trail,",Elkton,VA,22827
Waynesboro Manor,40,"809 Hopeman Parkway,",Waynesboro,VA,22980
Hilltop,96,"111 Denny Lane,",Winchester,VA,22603
Fox Trail Senior Living at Orange,29,"680 University Lane,",Orange,VA,22960
Fox Trail Senior Living at Stephens City,41,"110 Spanish Oak Road,",Stephens City,VA,22655
Fox Trail Senior Living at Front Royal,24,"106 Westminster Drive,",Front Royal,VA,22630
Green Valley Manor,70,"1011 Pennsylvania Avenue,",Winchester,VA,22601
Greenfield Reflections of Woodstock,36,"1222 S. Ox Road,",Woodstock,VA,22664
Golden Gardens,16,"201 Dodge Street,",Stuarts Draft,VA,24477
The Retreat at Berryville,66,"450 Mosby Blvd.,",Berryville,VA,22611
Greenfield Senior Living of Strasburg,45,"14 Maynard Lane,",Strasburg,VA,22657
Brookdale Staunton,144,"1900 Hillsmere Lane,",Staunton,VA,24401
Royal Care at Birch Ridge,28,"54 Imperial Drive,",Staunton,VA,24401
Birch Gardens,39,"12 Royal Drive,",Staunton,VA,24401
Commonwealth Senior Living at Berryville,66,"413 McClellan Street,",Berryville,VA,22611
The Retreat at Fishersville,66,"25 Old Oaks Drive,",Fishersville,VA,22939
Regency at Augusta,96,"43 Pinnacle Drive,",Fishersville,VA,22939
Trinity Senior Village,46,"3017 Somerville Road,",Locust Grove,VA,22508
Hillside Residential Living,53,"403 N. Coalter Street,",Staunton,VA,24401
Shenandoah Senior Living,78,"103 Lee Burke Road,",Front Royal,VA,22630
Gregory's Rest Home,24,"29255 &29271 Walker Lane,",Meadowview,VA,24361
Fort Shelby Manor,44,"200 Solar Street,",Bristol,VA,24201
Chestnut Grove Home for Adults,104,"786 Chris Barney Road,",Dryden,VA,24243
Showalter Center,90,"1060 Showalter Drive,",Blacksburg,VA,24060
Grayson House,10,"110 Bedwell Street,",Independence,VA,24348
Fairview Home,64,"5140 Hatcher Road,",Dublin,VA,24084
Mountain View Retirement Home,41,"2336 Coal Tipple Hollow,",Lebanon,VA,24266
Golden Homestead,19,"120 Fourth Street,",Coeburn,VA,24230
Greystone Manor,34,"302 Greystone Drive,",Castlewood,VA,24224
International Rejuvenation Center,19,"221 West Main Street,",Marion,VA,24354
Hummingbird Retirement Villa,26,"282 New Hope Drive,",Lebanon,VA,24266
Town & Country Adult Care Residence,30,"60 Town & Country Drive,",Lebanon,VA,24266
The Wybe & Marietje Kroontje Health Care Center,60,"1000 Litton Lane,",Blacksburg,VA,24060
Hilltop Home for Adults,19,"180 Rainbow Circle Drive,",Independence,VA,24348
Brookdale Bristol,125,"375 Liberty Place,",Bristol,VA,24201
Carrington Place at Wytheville-Birdmont Center,193,"990 Holston Road,",Wytheville,VA,24382
The Laurels Retirement & Assisted Living,51,"5635 BSG Drive,",Norton,VA,24273
Kingston Center,108,"428 Cecil D. Quillen Drive, Thomas Village",Duffield,VA,24244
Commonwealth Senior Living at Hillsville,78,"100 Kyle Drive,",Hillsville,VA,24343
Commonwealth Senior Living at Radford,74,"7486 Lee Highway,",Radford,VA,24141
Commonwealth Senior Living at Christiansburg,84,"201 Wheatland Court,",Christiansburg,VA,24073
Guardian Assisted Living,25,"99 Culbertson Lane,",Castlewood,VA,24224
Westwood Center,25,"20 Westwood Medical Park,",Bluefield,VA,24605
Commonwealth Senior Living at Cedar Bluff,70,"500 Clinic Drive,",Cedar Bluff,VA,24609
Commonwealth Senior Living at Abingdon,83,"860 Wolf Creek Trail NW,",Abingdon,VA,24210
English Meadows Abingdon Campus,82,"15089 Harmony Hills Lane,",Abingdon,VA,24211
Dogwood Crossing Senior Living And Memory Care,70,"130 Deer Ridge Trail,",Tazewell,VA,24651
Oakmont at Gordon Park,167,"401 Gordon Ave,",Bristol,VA,24201
Hillcrest Adult Care I,34,"27468 Overbrook Drive,",Meadowview,VA,24361
Greendale Home,60,"18180 Rich Valley Road,",Abingdon,VA,24210
New Horizons of Abingdon,54,"482 Bradley Street,",Abingdon,VA,24210
The Memory Care at Bristol,30,"301 Village Circle,",Bristol,VA,24201
Burks Manor Rest Home,13,"305 Hill Creek Road,",Rosedale,VA,24280
Dickensonville Assisted Living,27,"80 Yahweh Road,",Castlewood,VA,24224
English Meadows Blacksburg Campus,110,"3400 South Point Dr.,",Blacksburg,VA,24060
Gray Ridge Village LLC,92,"155 Ridgefield Rd,",Marion,VA,24354
"Grandview Adult Care, LLC",16,"27294 Denton Valley Road,",Abingdon,VA,24211
Care Oasis Assisted Living Providers LLC,23,"21573 Green Spring Road,",Abingdon,VA,24211
Valley ALF Operator LLC,26,"940 East Lee Hwy,",Chilhowie,VA,24319
Noble Senior Living at Christiansburg,82,"1140 West Main Street,",Christiansburg,VA,24073
